 INPUT STRING:	براحة
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	مين
     IS_TRANS:	myn
        INDEX:	P10W3
      OFFSETS:	8-11
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miyn_1]
   UNSPLITVOC:	(miyn)
          POS:	INTERROG_PRON
          VOC:	miyn
        GLOSS:	who

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P10W4
      OFFSETS:	12-14
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P10W5
      OFFSETS:	15-19
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN
          VOC:	wAHid
        GLOSS:	person/ individual

 INPUT STRING:	خرب
     IS_TRANS:	xrb
        INDEX:	P10W6
      OFFSETS:	20-23
       TOKENS:	P10W7-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xar~ab_1]
   UNSPLITVOC:	(xar~ab)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	xar~ab+(null)
        GLOSS:	destroy+he/it

 INPUT STRING:	دولة
     IS_TRANS:	dwlp
        INDEX:	P10W7
      OFFSETS:	24-28
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(dawlap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	dawl+ap
        GLOSS:	state/country/states/countries+[fem.sg.]

 INPUT STRING:	باكلمها
     IS_TRANS:	bAklmhA
        INDEX:	P10W8
      OFFSETS:	29-36
       TOKENS:	P10W9-P10W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(bAklmhA)
          POS:	TYPO
          VOC:	bAklmhA
        GLOSS:	nogloss

 INPUT STRING:	وشتت
     IS_TRANS:	w$tt
        INDEX:	P10W9
      OFFSETS:	37-41
       TOKENS:	P10W10-P10W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$at~it_1]
   UNSPLITVOC:	(wi$at~it)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+$at~it+(null)
        GLOSS:	and+scatter+he/it

 INPUT STRING:	نصف
     IS_TRANS:	nSf
        INDEX:	P10W10
      OFFSETS:	42-45
       TOKENS:	P10W12-P10W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niSof_1]
   UNSPLITVOC:	(niSof)
          POS:	NOUN
          VOC:	niSof
        GLOSS:	half

 INPUT STRING:	سكانه
     IS_TRANS:	skAnh
        INDEX:	P10W11
      OFFSETS:	46-51
       TOKENS:	P10W13-P10W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAkin_1]
   UNSPLITVOC:	(suk~Anuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	suk~An+uh
        GLOSS:	citizens+him

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P10W12
      OFFSETS:	51-52
       TOKENS:	P10W15-P10W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P10W13
      OFFSETS:	53-56
       TOKENS:	P10W16-P10W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P10W14
      OFFSETS:	57-61
       TOKENS:	P10W17-P10W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN
          VOC:	wAHid
        GLOSS:	person/ individual

 INPUT STRING:	فتح
     IS_TRANS:	ftH
        INDEX:	P10W15
      OFFSETS:	62-65
       TOKENS:	P10W18-P10W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fataH_1]
   UNSPLITVOC:	(fataH)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	fataH+(null)
        GLOSS:	open/conquer/be opened/be conquered+he/it

 INPUT STRING:	حنفية
     IS_TRANS:	Hnfyp
        INDEX:	P10W16
      OFFSETS:	66-71
       TOKENS:	P10W19-P10W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hanafiy~ap_1]
   UNSPLITVOC:	(Hanafiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Hanafiy~+ap
        GLOSS:	faucet/tap+[fem.sg.]

 INPUT STRING:	الدم
     IS_TRANS:	Aldm
        INDEX:	P10W17
      OFFSETS:	72-76
       TOKENS:	P10W20-P10W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dam~_1]
   UNSPLITVOC:	(Ald~am~)
          POS:	DET+NOUN
          VOC:	Al+dam~
        GLOSS:	the+blood

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P10W18
      OFFSETS:	77-79
       TOKENS:	P10W21-P10W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	المظاهرات
     IS_TRANS:	AlmZAhrAt
        INDEX:	P10W19
      OFFSETS:	80-89
       TOKENS:	P10W22-P10W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muZAharap_1]
   UNSPLITVOC:	(AlmuZAharAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+muZAhar+At
        GLOSS:	the+demonstrations/rallies+[fem.pl.]

 INPUT STRING:	وبيدعوا
     IS_TRANS:	wbydEwA
        INDEX:	P10W20
      OFFSETS:	90-97
       TOKENS:	P10W23-P10W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[daEaY_1]
   UNSPLITVOC:	(wbyadEuwA)
          POS:	CONJ+PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	w+b+ya+dE+uwA
        GLOSS:	and+will+they+call+they

 INPUT STRING:	لفرقة
     IS_TRANS:	lfrqp
        INDEX:	P10W21
      OFFSETS:	98-103
       TOKENS:	P10W26-P10W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[firoqap_1]
   UNSPLITVOC:	(lifiroqap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+firoq+ap
        GLOSS:	for/to+disunity/dissent/split-up+[fem.sg.]

 INPUT STRING:	بين
     IS_TRANS:	byn
        INDEX:	P10W22
      OFFSETS:	104-107
       TOKENS:	P10W28-P10W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bayn_1]
   UNSPLITVOC:	(bayn)
          POS:	NOUN
          VOC:	bayn
        GLOSS:	between

 INPUT STRING:	الامة
     IS_TRANS:	AlAmp
        INDEX:	P10W23
      OFFSETS:	108-113
       TOKENS:	P10W29-P10W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~ap_1]
   UNSPLITVOC:	(Al>um~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+>um~+ap
        GLOSS:	the+nation/people/nations/peoples/Nations+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P10W24
      OFFSETS:	113-114
       TOKENS:	P10W30-P10W30
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P11W1
      OFFSETS:	0-3
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P11W2
      OFFSETS:	4-7
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>iyoh_1]
   UNSPLITVOC:	(>iyoh)
          POS:	INTERROG_PRON
          VOC:	>iyoh
        GLOSS:	what

 INPUT STRING:	بالظبط
     IS_TRANS:	bAlZbT
        INDEX:	P11W3
      OFFSETS:	8-14
       TOKENS:	P11W3-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ZaboT_1]
   UNSPLITVOC:	(biAlZ~aboT)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+ZaboT
        GLOSS:	with/by+the+exactly

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P11W4
      OFFSETS:	15-16
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	أنا
     IS_TRANS:	>nA
        INDEX:	P12W1
      OFFSETS:	0-3
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	معاكي
     IS_TRANS:	mEAky
        INDEX:	P12W2
      OFFSETS:	4-9
       TOKENS:	P12W2-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAkiy)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	maEa+ik
        GLOSS:	with+your

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P12W3
      OFFSETS:	10-12
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	حبيبتي
     IS_TRANS:	Hbybty
        INDEX:	P12W4
      OFFSETS:	13-19
       TOKENS:	P12W5-P12W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Habiybap_1]
   UNSPLITVOC:	(Habiybtiy)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	Habiyb+ap+iy
        GLOSS:	dear+[fem.sg.]+my

 INPUT STRING:	وحب
     IS_TRANS:	wHb
        INDEX:	P12W5
      OFFSETS:	20-23
       TOKENS:	P12W7-P12W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hub~_1]
   UNSPLITVOC:	(wiHub~)
          POS:	CONJ+NOUN
          VOC:	wi+Hub~
        GLOSS:	and+love/affection/out of affection for/for love of

 INPUT STRING:	الوطن
     IS_TRANS:	AlwTn
        INDEX:	P12W6
      OFFSETS:	24-29
       TOKENS:	P12W9-P12W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waTan_1]
   UNSPLITVOC:	(AlwaTan)
          POS:	DET+NOUN
          VOC:	Al+waTan
        GLOSS:	the+nation/homeland

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P12W7
      OFFSETS:	30-32
       TOKENS:	P12W10-P12W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بالثقافة
     IS_TRANS:	bAlvqAfp
        INDEX:	P12W8
      OFFSETS:	33-41
       TOKENS:	P12W11-P12W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vaqAfap_1]
   UNSPLITVOC:	(biAlv~aqAfap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+vaqAf+ap
        GLOSS:	with/by+the+culture/civilization+[fem.sg.]

 INPUT STRING:	والشعارات
     IS_TRANS:	wAl$EArAt
        INDEX:	P12W9
      OFFSETS:	42-51
       TOKENS:	P12W13-P12W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$iEAr_1]
   UNSPLITVOC:	(wiAl$iEArAt)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_PL
          VOC:	wi+Al+$iEAr+At
        GLOSS:	and+the+slogans/mottos+[fem.pl.]

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P12W10
      OFFSETS:	52-54
       TOKENS:	P12W15-P12W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	بالإحساس
     IS_TRANS:	bAl<HsAs
        INDEX:	P12W11
      OFFSETS:	55-63
       TOKENS:	P12W16-P12W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iHosAs_1]
   UNSPLITVOC:	(biAl<iHosAs)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+<iHosAs
        GLOSS:	with/by+the+feeling/sensitivity

 INPUT STRING:	والخوف
     IS_TRANS:	wAlxwf
        INDEX:	P12W12
      OFFSETS:	64-70
       TOKENS:	P12W18-P12W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xawf_1]
   UNSPLITVOC:	(wiAlxawf)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+xawf
        GLOSS:	and+the+fear

 INPUT STRING:	عليه
     IS_TRANS:	Elyh
        INDEX:	P12W13
      OFFSETS:	71-75
       TOKENS:	P12W20-P12W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayh)
          POS:	PREP+PRON_3MS
          VOC:	EalaY+uh
        GLOSS:	on/above+he/it

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P12W14
      OFFSETS:	76-78
       TOKENS:	P12W22-P12W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P12W15
      OFFSETS:	79-81
       TOKENS:	P12W23-P12W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	شر
     IS_TRANS:	$r
        INDEX:	P12W16
      OFFSETS:	82-84
       TOKENS:	P12W24-P12W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ar~_1]
   UNSPLITVOC:	($ar~)
          POS:	NOUN
          VOC:	$ar~
        GLOSS:	evil/malice

