 INPUT STRING:	أنا
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P36W20
      OFFSETS:	86-87
       TOKENS:	P36W25-P36W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P36W21
      OFFSETS:	87-88
       TOKENS:	P36W26-P36W26
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P36W22
      OFFSETS:	88-89
       TOKENS:	P36W27-P36W27
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وان
     IS_TRANS:	wAn
        INDEX:	P36W23
      OFFSETS:	91-94
       TOKENS:	P36W28-P36W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ino_1]
   UNSPLITVOC:	(wa<ino)
          POS:	CONJ+SUB_CONJ
          VOC:	wa+<ino
        GLOSS:	and+Although, (even) though, even if, despite, in spite of the fact that, verily, truly

 INPUT STRING:	بدا
     IS_TRANS:	bdA
        INDEX:	P36W24
      OFFSETS:	95-98
       TOKENS:	P36W30-P36W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[badA_1]
   UNSPLITVOC:	(badA)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	badA+(null)
        GLOSS:	appear/seem+he/it

 INPUT STRING:	ذلك
     IS_TRANS:	*lk
        INDEX:	P36W25
      OFFSETS:	99-102
       TOKENS:	P36W31-P36W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*alik_1]
   UNSPLITVOC:	(*alik)
          POS:	DEM_PRON_MS
          VOC:	*alik
        GLOSS:	that

 INPUT STRING:	للسلطة
     IS_TRANS:	llslTp
        INDEX:	P36W26
      OFFSETS:	103-109
       TOKENS:	P36W32-P36W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suloTap_1]
   UNSPLITVOC:	(lils~uloTap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+suloT+ap
        GLOSS:	for/to+the+power/authority/rule/authorities/powers/authorities/rules+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P36W27
      OFFSETS:	110-111
       TOKENS:	P36W34-P36W34
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P36W28
      OFFSETS:	111-112
       TOKENS:	P36W35-P36W35
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P36W29
      OFFSETS:	112-113
       TOKENS:	P36W36-P36W36
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P36W30
      OFFSETS:	116-118
       TOKENS:	P36W37-P36W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(mano)
          POS:	REL_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	لايفهم
     IS_TRANS:	lAyfhm
        INDEX:	P36W31
      OFFSETS:	119-125
       TOKENS:	P36W38-P36W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[faham_1]
   UNSPLITVOC:	(lAyafham)
          POS:	NEG_PART+IV3MS+IV
          VOC:	lA+ya+fham
        GLOSS:	not+he/it+understand

 INPUT STRING:	عليه
     IS_TRANS:	Elyh
        INDEX:	P36W32
      OFFSETS:	126-130
       TOKENS:	P36W40-P36W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayh)
          POS:	PREP+PRON_3MS
          VOC:	EalaY+uh
        GLOSS:	on/above+it/him

 INPUT STRING:	بالتاريخ
     IS_TRANS:	bAltAryx
        INDEX:	P36W33
      OFFSETS:	131-139
       TOKENS:	P36W42-P36W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAriyx_1]
   UNSPLITVOC:	(biAlt~Ariyx)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+tAriyx
        GLOSS:	with/by+the+date/history

 INPUT STRING:	فمن
     IS_TRANS:	fmn
        INDEX:	P37W1
      OFFSETS:	1-4
       TOKENS:	P37W1-P37W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(famano)
          POS:	CONJ+REL_PRON
          VOC:	fa+mano
        GLOSS:	so/and+who/whom

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P37W2
      OFFSETS:	5-8
       TOKENS:	P37W3-P37W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	يعيش
     IS_TRANS:	yEy$
        INDEX:	P37W3
      OFFSETS:	9-13
       TOKENS:	P37W4-P37W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EA$_1]
   UNSPLITVOC:	(yaEiy$)
          POS:	IV3MS+IV
          VOC:	ya+Eiy$
        GLOSS:	he/it+live/experience/long live!/be lived/be experienced

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P37W4
      OFFSETS:	14-16
       TOKENS:	P37W5-P37W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	قصر
     IS_TRANS:	qSr
        INDEX:	P37W5
      OFFSETS:	17-20
       TOKENS:	P37W6-P37W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaSor_1]
   UNSPLITVOC:	(qaSor)
          POS:	NOUN
          VOC:	qaSor
        GLOSS:	castle/palace

 INPUT STRING:	وكل
     IS_TRANS:	wkl
        INDEX:	P37W6
      OFFSETS:	21-24
       TOKENS:	P37W7-P37W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(wikul~)
          POS:	CONJ+NOUN_QUANT
          VOC:	wi+kul~
        GLOSS:	and+all, entire, every, whole

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P37W7
      OFFSETS:	25-27
       TOKENS:	P37W9-P37W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(mano)
          POS:	REL_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	حوله
     IS_TRANS:	Hwlh
        INDEX:	P37W8
      OFFSETS:	28-32
       TOKENS:	P37W10-P37W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hawl_1]
   UNSPLITVOC:	(Hwluh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	Hwl+uh
        GLOSS:	around+him

 INPUT STRING:	يسبح
     IS_TRANS:	ysbH
        INDEX:	P37W9
      OFFSETS:	33-37
       TOKENS:	P37W12-P37W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sab~aH_1]
   UNSPLITVOC:	(yisbH)
          POS:	IV3MS+IV
          VOC:	yi+sbH
        GLOSS:	he/it+speak

 INPUT STRING:	بأسمه
     IS_TRANS:	b>smh
        INDEX:	P37W10
      OFFSETS:	38-43
       TOKENS:	P37W13-P37W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisom_1]
   UNSPLITVOC:	(bi<isomuh)
          POS:	PREP+NOUN+POSS_PRON_3MS
          VOC:	bi+<isom+uh
        GLOSS:	with/by+name+his/its

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P37W11
      OFFSETS:	44-45
       TOKENS:	P37W16-P37W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P37W12
      OFFSETS:	45-46
       TOKENS:	P37W17-P37W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P37W13
      OFFSETS:	46-47
       TOKENS:	P37W18-P37W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P37W14
      OFFSETS:	48-50
       TOKENS:	P37W19-P37W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	انكر
     IS_TRANS:	Ankr
        INDEX:	P37W15
      OFFSETS:	51-55
       TOKENS:	P37W20-P37W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>anokar_1]
   UNSPLITVOC:	(>anokar)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	>anokar+(null)
        GLOSS:	deny/disavow/refuse/be denied/be disavowed/be refused+he/it

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P37W16
      OFFSETS:	56-58
       TOKENS:	P37W21-P37W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although,even if, despite, in spite of the fact that, verily, truly

 INPUT STRING:	هناك
     IS_TRANS:	hnAk
        INDEX:	P37W17
      OFFSETS:	59-63
       TOKENS:	P37W22-P37W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinAk_1]
   UNSPLITVOC:	(hinAk)
          POS:	ADV
          VOC:	hinAk
        GLOSS:	there

 INPUT STRING:	واقع
     IS_TRANS:	wAqE
        INDEX:	P37W18
      OFFSETS:	64-68
       TOKENS:	P37W23-P37W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAqiE_1]
   UNSPLITVOC:	(wAqiE)
          POS:	NOUN
          VOC:	wAqiE
        GLOSS:	fact/reality/actual

 INPUT STRING:	آخر
     IS_TRANS:	|xr
        INDEX:	P37W19
      OFFSETS:	69-72
       TOKENS:	P37W24-P37W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|xar_1]
   UNSPLITVOC:	(|xar)
          POS:	ADJ
          VOC:	|xar
        GLOSS:	other/another

 INPUT STRING:	خارج
     IS_TRANS:	xArj
        INDEX:	P37W20
      OFFSETS:	73-77
       TOKENS:	P37W25-P37W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xArij_1]
   UNSPLITVOC:	(xArij)
          POS:	ADJ
          VOC:	xArij
        GLOSS:	outside/outer part/leaving/departing/exiting

 INPUT STRING:	اسوار
     IS_TRANS:	AswAr
        INDEX:	P37W21
      OFFSETS:	78-83
       TOKENS:	P37W26-P37W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suwr_1]
   UNSPLITVOC:	(>asowAr)
          POS:	NOUN
          VOC:	>asowAr
        GLOSS:	walls/enclosures

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P37W22
      OFFSETS:	84-87
       TOKENS:	P37W27-P37W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*A)
          POS:	DEM_PRON_MS
          VOC:	ha*A
        GLOSS:	this [masc.sg.]

 INPUT STRING:	القصر
     IS_TRANS:	AlqSr
        INDEX:	P37W23
      OFFSETS:	88-93
       TOKENS:	P37W28-P37W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaSor_1]
   UNSPLITVOC:	(AlqaSor)
          POS:	DET+NOUN
          VOC:	Al+qaSor
        GLOSS:	the+castle/palace

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P37W24
      OFFSETS:	94-95
       TOKENS:	P37W29-P37W29
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P37W25
      OFFSETS:	95-96
       TOKENS:	P37W30-P37W30
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P37W26
      OFFSETS:	96-97
       TOKENS:	P37W31-P37W31
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	فهو
     IS_TRANS:	fhw
        INDEX:	P37W27
      OFFSETS:	98-101
       TOKENS:	P37W32-P37W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(fahuw~a)
          POS:	CONJ+PRON_3MS
          VOC:	fa+huw~a
        GLOSS:	so/and+it/he

 INPUT STRING:	ساذج
     IS_TRANS:	sA*j
        INDEX:	P37W28
      OFFSETS:	102-106
       TOKENS:	P37W34-P37W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sA*ij_1]
   UNSPLITVOC:	(sA*ij)
          POS:	ADJ
          VOC:	sA*ij
        GLOSS:	naive

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P37W29
      OFFSETS:	107-108
       TOKENS:	P37W35-P37W35
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P37W30
      OFFSETS:	108-109
       TOKENS:	P37W36-P37W36
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P37W31
      OFFSETS:	109-110
       TOKENS:	P37W37-P37W37
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P37W32
      OFFSETS:	111-113
       TOKENS:	P37W38-P37W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	فكر
     IS_TRANS:	fkr
        INDEX:	P37W33
      OFFSETS:	114-117
       TOKENS:	P37W39-P37W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fak~ar_1]
   UNSPLITVOC:	(fak~ar)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	fak~ar+(null)
        GLOSS:	think/consider/ponder+he/it

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P37W34
      OFFSETS:	118-120
       TOKENS:	P37W40-P37W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although,even if, despite, in spite of the fact that, verily, truly

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P37W35
      OFFSETS:	121-124
       TOKENS:	P37W41-P37W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*A)
          POS:	DEM_PRON_MS
          VOC:	ha*A
        GLOSS:	this [masc.sg.]

 INPUT STRING:	الواقع
     IS_TRANS:	AlwAqE
        INDEX:	P37W36
      OFFSETS:	125-131
       TOKENS:	P37W42-P37W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAqiE_1]
   UNSPLITVOC:	(AlwAqiE)
          POS:	DET+NOUN
          VOC:	Al+wAqiE
        GLOSS:	the+fact/reality/actual

 INPUT STRING:	بعيد
     IS_TRANS:	bEyd
        INDEX:	P37W37
      OFFSETS:	132-136
       TOKENS:	P37W43-P37W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[biEiyd_1]
   UNSPLITVOC:	(biEiyd)
          POS:	NOUN
          VOC:	biEiyd
        GLOSS:	remote/distant/far

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P37W38
      OFFSETS:	137-139
       TOKENS:	P37W44-P37W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he

 INPUT STRING:	عنه
     IS_TRANS:	Enh
        INDEX:	P37W39
      OFFSETS:	140-143
       TOKENS:	P37W45-P37W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean~uh)
          POS:	PREP+PRON_3MS
          VOC:	Ean~+uh
        GLOSS:	(away) from, off, about, on, over+it/him

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P37W40
      OFFSETS:	144-145
       TOKENS:	P37W47-P37W47
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P37W41
      OFFSETS:	145-146
       TOKENS:	P37W48-P37W48
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P37W42
      OFFSETS:	146-147
       TOKENS:	P37W49-P37W49
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P37W43
      OFFSETS:	147-148
       TOKENS:	P37W50-P37W50
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P37W44
      OFFSETS:	149-150
       TOKENS:	P37W51-P37W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	يعتقد
     IS_TRANS:	yEtqd
        INDEX:	P37W45
      OFFSETS:	151-156
       TOKENS:	P37W52-P37W52
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEotaqad_1]
   UNSPLITVOC:	(yaEotaqid)
          POS:	IV3MS+IV
          VOC:	ya+Eotaqid
        GLOSS:	he/it+believe

 INPUT STRING:	انه
     IS_TRANS:	Anh
        INDEX:	P37W46
      OFFSETS:	157-160
       TOKENS:	P37W53-P37W54
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+it/he

 INPUT STRING:	يخدع
     IS_TRANS:	yxdE
        INDEX:	P37W47
      OFFSETS:	161-165
       TOKENS:	P37W55-P37W55
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xadaE_1]
   UNSPLITVOC:	(yixodaE)
          POS:	IV3MS+IV
          VOC:	yi+xodaE
        GLOSS:	he/it+cheat

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P37W48
      OFFSETS:	166-171
       TOKENS:	P37W56-P37W56
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation/peoples/nations

 INPUT STRING:	وانه
     IS_TRANS:	wAnh
        INDEX:	P37W49
      OFFSETS:	172-176
       TOKENS:	P37W57-P37W59
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~a_1]
   UNSPLITVOC:	(wa>an~ahu)
          POS:	CONJ+SUB_CONJ+PRON_3MS
          VOC:	wa+>an~a+hu
        GLOSS:	and+that+it/he

 INPUT STRING:	يصدقه
     IS_TRANS:	ySdqh
        INDEX:	P37W50
      OFFSETS:	177-182
       TOKENS:	P37W60-P37W61
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sad~aq_1]
   UNSPLITVOC:	(yiSad~aquh)
          POS:	IV3MS+IV+IVSUFF_DO:3MS
          VOC:	yi+Sad~aq+uh
        GLOSS:	he/it+believe/give credence to/confirm/be believed+them

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P38W1
      OFFSETS:	2-3
       TOKENS:	P38W1-P38W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P38W2
      OFFSETS:	3-4
       TOKENS:	P38W2-P38W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P38W3
      OFFSETS:	4-5
       TOKENS:	P38W3-P38W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	أم
     IS_TRANS:	>m
        INDEX:	P38W4
      OFFSETS:	5-7
       TOKENS:	P38W4-P38W4
