 INPUT STRING:	حملة
   UNSPLITVOC:	(<in~uhum)
          POS:	SUB_CONJ+PRON_3P
          VOC:	<in~+hum
        GLOSS:	that+they [masc.pl.]

 INPUT STRING:	مهيمنين
     IS_TRANS:	mhymnyn
        INDEX:	P18W9
      OFFSETS:	38-45
       TOKENS:	P18W10-P18W10
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mhymnyn)
          POS:	NO_FUNC
          VOC:	mhymnyn
        GLOSS:	nogloss

 INPUT STRING:	ومسيطرين
     IS_TRANS:	wmsyTryn
        INDEX:	P18W10
      OFFSETS:	46-54
       TOKENS:	P18W11-P18W11
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wmsyTryn)
          POS:	NO_FUNC
          VOC:	wmsyTryn
        GLOSS:	nogloss

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P18W11
      OFFSETS:	55-58
       TOKENS:	P18W12-P18W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	اعلامة
     IS_TRANS:	AElAmp
        INDEX:	P18W12
      OFFSETS:	59-65
       TOKENS:	P18W13-P18W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iEolAm_1]
   UNSPLITVOC:	(<iEolAmuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	AElAm+uh
        GLOSS:	information/media+his/its

 INPUT STRING:	واقتصادة
     IS_TRANS:	wAqtSAdp
        INDEX:	P18W13
      OFFSETS:	66-74
       TOKENS:	P18W15-P18W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiqotiSAd_1]
   UNSPLITVOC:	(wiAiqotiSAduh)
          POS:	CONJ+NOUN+POSS_PRON_3MS
          VOC:	wi+AiqotiSAd+uh
        GLOSS:	and+economy/saving+its/his

 INPUT STRING:	عندهم
     IS_TRANS:	Endhm
        INDEX:	P19W1
      OFFSETS:	0-5
       TOKENS:	P19W1-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanoduhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	Eanod+hum
        GLOSS:	with / at+their

 INPUT STRING:	قدرة
     IS_TRANS:	qdrp
        INDEX:	P19W2
      OFFSETS:	6-10
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qudorap_1]
   UNSPLITVOC:	(qudorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qudor+ap
        GLOSS:	capacity/ability/potential/power+[fem.sg.]

 INPUT STRING:	غريبة
     IS_TRANS:	grybp
        INDEX:	P19W3
      OFFSETS:	11-16
       TOKENS:	P19W4-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gariyb_1]
   UNSPLITVOC:	(gariybap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	gariyb+ap
        GLOSS:	strange+[fem.sg.]

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P19W4
      OFFSETS:	17-20
       TOKENS:	P19W5-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	تزييف
     IS_TRANS:	tzyyf
        INDEX:	P19W5
      OFFSETS:	21-26
       TOKENS:	P19W6-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tazoyiyf_1]
   UNSPLITVOC:	(tazoyiyf)
          POS:	NOUN
          VOC:	tazoyiyf
        GLOSS:	forgery/falsification

 INPUT STRING:	الحقائق
     IS_TRANS:	AlHqA}q
        INDEX:	P19W6
      OFFSETS:	27-34
       TOKENS:	P19W7-P19W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haqiyqap_1]
   UNSPLITVOC:	(AlHaqA}iq)
          POS:	DET+NOUN
          VOC:	Al+HaqA}iq
        GLOSS:	the+truth/facts

 INPUT STRING:	لكن
     IS_TRANS:	lkn
        INDEX:	P19W7
      OFFSETS:	35-38
       TOKENS:	P19W8-P19W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(lakin)
          POS:	CONJ
          VOC:	lakin
        GLOSS:	but

 INPUT STRING:	دا
     IS_TRANS:	dA
        INDEX:	P19W8
      OFFSETS:	39-41
       TOKENS:	P19W9-P19W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this/that

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P19W9
      OFFSETS:	42-44
       TOKENS:	P19W10-P19W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	هيمنعنا
     IS_TRANS:	hymnEnA
        INDEX:	P19W10
      OFFSETS:	45-52
       TOKENS:	P19W11-P19W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[manaE_1]
   UNSPLITVOC:	(HayimnaEnA)
          POS:	FUT_PART+IV3MS+IV+IVSUFF_DO:1P
          VOC:	Ha+yi+mnaE+nA
        GLOSS:	will+he/it+prevent/forbid+us

 INPUT STRING:	اننا
     IS_TRANS:	AnnA
        INDEX:	P19W11
      OFFSETS:	53-57
       TOKENS:	P19W14-P19W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~inA)
          POS:	SUB_CONJ+PRON_1P
          VOC:	<in~+nA
        GLOSS:	that+we

 INPUT STRING:	نعمل
     IS_TRANS:	nEml
        INDEX:	P19W12
      OFFSETS:	58-62
       TOKENS:	P19W16-P19W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(niEomil)
          POS:	IV1P+IV
          VOC:	ni+Eomil
        GLOSS:	we+work/function/act

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P19W13
      OFFSETS:	63-67
       TOKENS:	P19W17-P19W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	نقدر
     IS_TRANS:	nqdr
        INDEX:	P19W14
      OFFSETS:	68-72
       TOKENS:	P19W18-P19W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qidir_1]
   UNSPLITVOC:	(niqodar)
          POS:	IV1P+IV
          VOC:	ni+qodar
        GLOSS:	we+can/be able to

 INPUT STRING:	علية
     IS_TRANS:	Elyp
        INDEX:	P19W15
      OFFSETS:	73-77
       TOKENS:	P19W19-P19W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayh)
          POS:	PREP+PRON_3MS
          VOC:	EalaY+uh
        GLOSS:	on/above+it/he

 INPUT STRING:	أكيد
     IS_TRANS:	>kyd
        INDEX:	P20W1
      OFFSETS:	0-4
       TOKENS:	P20W1-P20W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akiyd_1]
   UNSPLITVOC:	(>akiyd)
          POS:	NOUN
          VOC:	>akiyd
        GLOSS:	certain/definite

 INPUT STRING:	هننشر
     IS_TRANS:	hnn$r
        INDEX:	P20W2
      OFFSETS:	5-10
       TOKENS:	P20W2-P20W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[na$ar_1]
   UNSPLITVOC:	(Hanino$ur)
          POS:	FUT_PART+IV1P+IV
          VOC:	Ha+ni+no$ur
        GLOSS:	will+we+publish/announce/spread

 INPUT STRING:	الروابط
     IS_TRANS:	AlrwAbT
        INDEX:	P20W3
      OFFSETS:	11-18
       TOKENS:	P20W4-P20W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAbiT_1]
   UNSPLITVOC:	(Alr~awAbiT)
          POS:	DET+NOUN
          VOC:	Al+rawAbiT
        GLOSS:	the+links

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P20W4
      OFFSETS:	19-21
       TOKENS:	P20W5-P20W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON
          VOC:	diy
        GLOSS:	this/that

 INPUT STRING:	وهنفضحهم
     IS_TRANS:	whnfDHhm
        INDEX:	P20W5
      OFFSETS:	22-30
       TOKENS:	P20W6-P20W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faDaH_1]
   UNSPLITVOC:	(wiHanifoDaHhum)
          POS:	SUB_CONJ+FUT_PART+IV1P+IV+IVSUFF_DO:3P
          VOC:	wi+Ha+ni+foDaH+hum
        GLOSS:	while+will+we+stigmatize+them

 INPUT STRING:	وهندعي
     IS_TRANS:	whndEy
        INDEX:	P20W6
      OFFSETS:	31-37
       TOKENS:	P20W10-P20W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEA_1]
   UNSPLITVOC:	(wiHanidoEiy)
          POS:	SUB_CONJ+FUT_PART+IV1P+IV
          VOC:	wi+Ha+ni+doEiy
        GLOSS:	while+will+we+pray/praying

 INPUT STRING:	عليهم
     IS_TRANS:	Elyhm
        INDEX:	P20W7
      OFFSETS:	38-43
       TOKENS:	P20W13-P20W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayhum)
          POS:	PREP+PRON_3P
          VOC:	EalaY+hum
        GLOSS:	on/above+it/them

 INPUT STRING:	يعلم
     IS_TRANS:	yElm
        INDEX:	P21W1
      OFFSETS:	0-4
       TOKENS:	P21W1-P21W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eilim_1]
   UNSPLITVOC:	(yiEolam)
          POS:	IV3MS+IV
          VOC:	yi+Eolam
        GLOSS:	he/it+know/find out

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P21W2
      OFFSETS:	5-9
       TOKENS:	P21W2-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	قدر
     IS_TRANS:	qdr
        INDEX:	P21W3
      OFFSETS:	10-13
       TOKENS:	P21W3-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qador_1]
   UNSPLITVOC:	(qador)
          POS:	NOUN
          VOC:	qador
        GLOSS:	extent/degree/amount/value/level

 INPUT STRING:	الغليان
     IS_TRANS:	AlglyAn
        INDEX:	P21W4
      OFFSETS:	14-21
       TOKENS:	P21W4-P21W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[galayAn_1]
   UNSPLITVOC:	(AlgalayAn)
          POS:	DET+NOUN
          VOC:	Al+galayAn
        GLOSS:	the+boiling

 INPUT STRING:	الذي
     IS_TRANS:	Al*y
        INDEX:	P21W5
      OFFSETS:	22-26
       TOKENS:	P21W5-P21W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	which/who/whom [masc.sg.]

 INPUT STRING:	يشعر
     IS_TRANS:	y$Er
        INDEX:	P21W6
      OFFSETS:	27-31
       TOKENS:	P21W6-P21W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$aEar_1]
   UNSPLITVOC:	(yu$Eur)
          POS:	IV3MS+IV
          VOC:	yu+$Eur
        GLOSS:	he/it+feel/be aware

 INPUT STRING:	بة
     IS_TRANS:	bp
        INDEX:	P21W7
      OFFSETS:	32-34
       TOKENS:	P21W7-P21W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(buh)
          POS:	PREP+PRON_3MS
          VOC:	bi+uh
        GLOSS:	with/by+it/him

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P21W8
      OFFSETS:	35-37
       TOKENS:	P21W9-P21W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	مسلم
     IS_TRANS:	mslm
        INDEX:	P21W9
      OFFSETS:	38-42
       TOKENS:	P21W10-P21W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musolim_1]
   UNSPLITVOC:	(musolim)
          POS:	NOUN
          VOC:	musolim
        GLOSS:	Muslim

 INPUT STRING:	كلما
     IS_TRANS:	klmA
        INDEX:	P21W10
      OFFSETS:	43-47
       TOKENS:	P21W11-P21W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kul~amA_1]
   UNSPLITVOC:	(kul~amA)
          POS:	REL_ADV
          VOC:	kul~amA
        GLOSS:	whenever

 INPUT STRING:	شاهد
     IS_TRANS:	$Ahd
        INDEX:	P21W11
      OFFSETS:	48-52
       TOKENS:	P21W12-P21W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Ahid_1]
   UNSPLITVOC:	($Ahid)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$Ahid+(null)
        GLOSS:	watch/observe/witness/be observed/be seen+he/it

 INPUT STRING:	مجازرهم
     IS_TRANS:	mjAzrhm
        INDEX:	P21W12
      OFFSETS:	53-60
       TOKENS:	P21W13-P21W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majozarap_1]
   UNSPLITVOC:	(majAzirhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	majAzir+hum
        GLOSS:	massacres/slaughters+their

 INPUT STRING:	ووحشيتهم
     IS_TRANS:	wwH$ythm
        INDEX:	P21W13
      OFFSETS:	61-69
       TOKENS:	P21W15-P21W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[waHo$iy~ap_1]
   UNSPLITVOC:	(wiwaHo$iy~ithum)
          POS:	CONJ+NOUN+NSUFF_FEM_SG+POSS_PRON_3P
          VOC:	wi+waHo$iy~+ap+hum
        GLOSS:	and+brutality+[fem.sg.]+their

 INPUT STRING:	تسلم
     IS_TRANS:	tslm
        INDEX:	P22W1
      OFFSETS:	0-4
       TOKENS:	P22W1-P22W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sal~im_1]
   UNSPLITVOC:	(tisal~im)
          POS:	IV2MS+IV
          VOC:	ti+sal~im
        GLOSS:	You+be safe/be faultless

 INPUT STRING:	محمد
     IS_TRANS:	mHmd
        INDEX:	P22W2
      OFFSETS:	5-9
       TOKENS:	P22W2-P22W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHam~ad_1]
   UNSPLITVOC:	(maHam~ad)
          POS:	NOUN_PROP
          VOC:	maHam~ad
        GLOSS:	Muhammad/Mohamed

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P23W1
      OFFSETS:	0-3
       TOKENS:	P23W1-P23W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	أفعال
     IS_TRANS:	>fEAl
        INDEX:	P23W2
      OFFSETS:	4-9
       TOKENS:	P23W2-P23W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(>afoEAl)
          POS:	NOUN
          VOC:	>afoEAl
        GLOSS:	acts/actions/deeds

 INPUT STRING:	القرصنة
     IS_TRANS:	AlqrSnp
        INDEX:	P23W3
      OFFSETS:	10-17
       TOKENS:	P23W3-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaroSanap_1]
   UNSPLITVOC:	(AlqaroSanap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+qaroSan+ap
        GLOSS:	the+piracy+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P23W4
      OFFSETS:	18-19
       TOKENS:	P23W4-P23W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	قتل
     IS_TRANS:	qtl
        INDEX:	P23W5
      OFFSETS:	20-23
       TOKENS:	P23W5-P23W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qatol_1]
   UNSPLITVOC:	(qatol)
          POS:	NOUN
          VOC:	qatol
        GLOSS:	murder/killing

 INPUT STRING:	المتطوعين
     IS_TRANS:	AlmtTwEyn
        INDEX:	P23W6
      OFFSETS:	24-33
       TOKENS:	P23W6-P23W6
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(AlmtTwEyn)
          POS:	NO_FUNC
          VOC:	AlmtTwEyn
        GLOSS:	nogloss

 INPUT STRING:	فضحت
     IS_TRANS:	fDHt
        INDEX:	P23W7
      OFFSETS:	34-38
       TOKENS:	P23W7-P23W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[faDaH_1]
   UNSPLITVOC:	(faDaHit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	faDaH+it
        GLOSS:	expose/disgrace/stigmatize+it/they/she [verb]

 INPUT STRING:	اسرائيل
     IS_TRANS:	AsrA}yl
        INDEX:	P23W8
      OFFSETS:	39-46
       TOKENS:	P23W8-P23W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isorA}iyl_1]
   UNSPLITVOC:	(<isorA}iyl)
          POS:	NOUN_PROP
          VOC:	<isorA}iyl
        GLOSS:	Israel

 INPUT STRING:	نفسها
     IS_TRANS:	nfshA
        INDEX:	P23W9
      OFFSETS:	47-52
       TOKENS:	P23W9-P23W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafosahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	nafos+hA
        GLOSS:	same/self/selves+its/their/her

 INPUT STRING:	بنفسها
     IS_TRANS:	bnfshA
        INDEX:	P23W10
      OFFSETS:	53-59
       TOKENS:	P23W11-P23W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(binafosahA)
          POS:	PREP+NOUN+POSS_PRON_3FS
          VOC:	bi+nafos+hA
        GLOSS:	with/by+same/self/selves+its/their/her

 INPUT STRING:	لم
     IS_TRANS:	lm
        INDEX:	P24W1
      OFFSETS:	0-2
       TOKENS:	P24W1-P24W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lam_1]
   UNSPLITVOC:	(lam)
          POS:	NEG_PART
          VOC:	lam
        GLOSS:	did not

 INPUT STRING:	يعد
     IS_TRANS:	yEd
        INDEX:	P24W2
      OFFSETS:	3-6
       TOKENS:	P24W2-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EAd_1]
   UNSPLITVOC:	(yaEud)
          POS:	IV3MS+IV
          VOC:	ya+Eud
        GLOSS:	he/it+no longer

 INPUT STRING:	يجدى
     IS_TRANS:	yjdY
        INDEX:	P24W3
      OFFSETS:	7-11
       TOKENS:	P24W3-P24W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ajodaY_1]
   UNSPLITVOC:	(yujodiy)
          POS:	IV3MS+IV
          VOC:	yu+jodiy
        GLOSS:	he/it+be useful

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P24W4
      OFFSETS:	12-14
       TOKENS:	P24W4-P24W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	something with

 INPUT STRING:	العالم
     IS_TRANS:	AlEAlm
        INDEX:	P24W5
      OFFSETS:	15-21
       TOKENS:	P24W5-P24W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAlam_1]
   UNSPLITVOC:	(AlEAlam)
          POS:	DET+NOUN
          VOC:	Al+EAlam
        GLOSS:	the+world/worlds

 INPUT STRING:	المبررات
     IS_TRANS:	AlmbrrAt
        INDEX:	P24W6
      OFFSETS:	22-30
       TOKENS:	P24W6-P24W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubar~ir_1]
   UNSPLITVOC:	(Almubar~irAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+mubar~ir+At
        GLOSS:	the+excuse/justification+[fem.pl.]

 INPUT STRING:	الواهية
     IS_TRANS:	AlwAhyp
        INDEX:	P24W7
      OFFSETS:	31-38
       TOKENS:	P24W7-P24W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAhiy_1]
   UNSPLITVOC:	(AlwAhiyap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+wAhiy+ap
        GLOSS:	the+feeble/fragile/flimsy+[fem.sg.]

 INPUT STRING:	التى
     IS_TRANS:	AltY
        INDEX:	P24W8
      OFFSETS:	39-43
       TOKENS:	P24W8-P24W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~atiy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which/who/whom [fem.sg.]

 INPUT STRING:	يصرحون
     IS_TRANS:	ySrHwn
        INDEX:	P24W9
      OFFSETS:	44-50
       TOKENS:	P24W9-P24W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Sar~aH_1]
   UNSPLITVOC:	(yuSar~iHuwn)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yu+Sar~iH+uwn
        GLOSS:	they (people)+declare/announce+[masc.pl.]

 INPUT STRING:	بها
     IS_TRANS:	bhA
        INDEX:	P24W10
      OFFSETS:	51-54
       TOKENS:	P24W10-P24W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(bihA)
          POS:	PREP+PRON_3FS
          VOC:	bi+hA
        GLOSS:	with/by+it/them/her

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P24W11
      OFFSETS:	55-58
       TOKENS:	P24W12-P24W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P24W12
      OFFSETS:	59-61
       TOKENS:	P24W13-P24W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
