 INPUT STRING:	هذا
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	والثمن
     IS_TRANS:	wAlvmn
        INDEX:	P46W1
      OFFSETS:	0-6
       TOKENS:	P46W1-P46W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[vaman_1]
   UNSPLITVOC:	(waAlvaman)
          POS:	CONJ+DET+NOUN
          VOC:	wa+Al+vaman
        GLOSS:	and+the+value/price

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P46W2
      OFFSETS:	7-9
       TOKENS:	P46W3-P46W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[huwa_1]
   UNSPLITVOC:	(huwa)
          POS:	PRON_3MS
          VOC:	huwa
        GLOSS:	it/he

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P46W3
      OFFSETS:	10-12
       TOKENS:	P46W4-P46W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	تنفصل
     IS_TRANS:	tnfSl
        INDEX:	P46W4
      OFFSETS:	13-18
       TOKENS:	P46W5-P46W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{inofaSal_1]
   UNSPLITVOC:	(tanofaSila)
          POS:	IV3FS+IV+IVSUFF_MOOD:S
          VOC:	ta+nofaSil+a
        GLOSS:	it/they/she+be separated/be removed+[sub.]

 INPUT STRING:	دارفور
     IS_TRANS:	dArfwr
        INDEX:	P46W5
      OFFSETS:	19-25
       TOKENS:	P46W6-P46W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dArofuwr_1]
   UNSPLITVOC:	(dArofuwr)
          POS:	NOUN_PROP
          VOC:	dArofuwr
        GLOSS:	Darfour/Darfur

 INPUT STRING:	بكل
     IS_TRANS:	bkl
        INDEX:	P46W6
      OFFSETS:	26-29
       TOKENS:	P46W7-P46W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(bikul~)
          POS:	PREP+NOUN_QUANT
          VOC:	bi+kul~
        GLOSS:	with/by+all, entire, every, whole

 INPUT STRING:	ثرواتها
     IS_TRANS:	vrwAthA
        INDEX:	P46W7
      OFFSETS:	30-37
       TOKENS:	P46W9-P46W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[varowap_1]
   UNSPLITVOC:	(varawAtihA)
          POS:	NOUN+NSUFF_FEM_PL+CASE_DEF_ACC+POSS_PRON_3FS
          VOC:	varaw+At+i+hA
        GLOSS:	wealth/abundance/riches+[fem.pl.]+[def.acc.]+its/their/her

 INPUT STRING:	وسكانها
     IS_TRANS:	wskAnhA
        INDEX:	P46W8
      OFFSETS:	38-45
       TOKENS:	P46W11-P46W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sAkin_1]
   UNSPLITVOC:	(wasuk~AnihA)
          POS:	CONJ+NOUN+CASE_DEF_GEN+POSS_PRON_3FS
          VOC:	wa+suk~An+i+hA
        GLOSS:	and+residents/inhabitants+[def.gen.]+its/their/her

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P46W9
      OFFSETS:	45-46
       TOKENS:	P46W14-P46W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P46W10
      OFFSETS:	46-47
       TOKENS:	P46W15-P46W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	والثمن
     IS_TRANS:	wAlvmn
        INDEX:	P47W1
      OFFSETS:	0-6
       TOKENS:	P47W1-P47W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[vaman_1]
   UNSPLITVOC:	(waAlvaman)
          POS:	CONJ+DET+NOUN
          VOC:	wa+Al+vaman
        GLOSS:	and+the+value/price

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P47W2
      OFFSETS:	7-9
       TOKENS:	P47W3-P47W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[huwa_1]
   UNSPLITVOC:	(huwa)
          POS:	PRON_3MS
          VOC:	huwa
        GLOSS:	it/he

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P47W3
      OFFSETS:	10-12
       TOKENS:	P47W4-P47W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	تتحوَّل
     IS_TRANS:	ttHw~al
        INDEX:	P47W4
      OFFSETS:	13-20
       TOKENS:	P47W5-P47W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoHaw~il_1]
   UNSPLITVOC:	(titoHaw~il)
          POS:	IV3FS+IV
          VOC:	ti+toHaw~il
        GLOSS:	it/they/she+be changed/be transformed

 INPUT STRING:	السودان
     IS_TRANS:	AlswdAn
        INDEX:	P47W5
      OFFSETS:	21-28
       TOKENS:	P47W6-P47W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[suwdAn_1]
   UNSPLITVOC:	(AlsuwdAn)
          POS:	DET+NOUN_PROP
          VOC:	Al+suwdAn
        GLOSS:	the+Sudan

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P47W6
      OFFSETS:	29-31
       TOKENS:	P47W7-P47W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	دولة
     IS_TRANS:	dwlp
        INDEX:	P47W7
      OFFSETS:	32-36
       TOKENS:	P47W8-P47W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dawolap_1]
   UNSPLITVOC:	(dawolap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	dawol+ap
        GLOSS:	state/country+[fem.sg.]

 INPUT STRING:	إسلامية
     IS_TRANS:	<slAmyp
        INDEX:	P47W8
      OFFSETS:	37-44
       TOKENS:	P47W9-P47W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[<isolAmiy~_1]
   UNSPLITVOC:	(<isolAmiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	<isolAmiy~+ap
        GLOSS:	Islamic/Islamist/Muslim+[fem.sg.]

 INPUT STRING:	التوجُّه
     IS_TRANS:	Altwj~uh
        INDEX:	P47W9
      OFFSETS:	45-53
       TOKENS:	P47W10-P47W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawaj~uh_1]
   UNSPLITVOC:	(Alt~awaj~uh)
          POS:	DET+NOUN
          VOC:	Al+tawaj~uh
        GLOSS:	the+attitude/approach/orientation

 INPUT STRING:	إلى
     IS_TRANS:	<lY
        INDEX:	P47W10
      OFFSETS:	54-57
       TOKENS:	P47W11-P47W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ilaY_1]
   UNSPLITVOC:	(<ilaY)
          POS:	PREP
          VOC:	<ilaY
        GLOSS:	to/towards

 INPUT STRING:	دولة
     IS_TRANS:	dwlp
        INDEX:	P47W11
      OFFSETS:	58-62
       TOKENS:	P47W12-P47W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dawolap_1]
   UNSPLITVOC:	(dawolap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	dawol+ap
        GLOSS:	state/country+[fem.sg.]

 INPUT STRING:	علمانية
     IS_TRANS:	ElmAnyp
        INDEX:	P47W12
      OFFSETS:	63-70
       TOKENS:	P47W13-P47W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[EilomAniy~_1]
   UNSPLITVOC:	(EilomAniy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EilomAniy~+ap
        GLOSS:	secular+[fem.sg.]

 INPUT STRING:	تفصل
     IS_TRANS:	tfSl
        INDEX:	P47W13
      OFFSETS:	71-75
       TOKENS:	P47W14-P47W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[faSal-i_1]
   UNSPLITVOC:	(tafoSila)
          POS:	IV3FS+IV+IVSUFF_MOOD:S
          VOC:	ta+foSil+a
        GLOSS:	it/they/she+separate/detach/set apart+[sub.]

 INPUT STRING:	الدين
     IS_TRANS:	Aldyn
        INDEX:	P47W14
      OFFSETS:	76-81
       TOKENS:	P47W15-P47W15
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[diyn_1]
   UNSPLITVOC:	(Aldiyn)
          POS:	DET+NOUN
          VOC:	Al+diyn
        GLOSS:	the+religion

 INPUT STRING:	تمامًا
     IS_TRANS:	tmAmFA
        INDEX:	P47W15
      OFFSETS:	82-88
       TOKENS:	P47W16-P47W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tamAm_1]
   UNSPLITVOC:	(tamAmAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	tamAm+AF
        GLOSS:	exacte/complete+[acc.indef.]

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P47W16
      OFFSETS:	89-91
       TOKENS:	P47W17-P47W17
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	الدولة
     IS_TRANS:	Aldwlp
        INDEX:	P47W17
      OFFSETS:	92-98
       TOKENS:	P47W18-P47W18
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dawolap_1]
   UNSPLITVOC:	(Aldawolap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+dawol+ap
        GLOSS:	the+state/country+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P47W18
      OFFSETS:	98-99
       TOKENS:	P47W19-P47W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P47W19
      OFFSETS:	99-100
       TOKENS:	P47W20-P47W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	والثمن
     IS_TRANS:	wAlvmn
        INDEX:	P48W1
      OFFSETS:	0-6
       TOKENS:	P48W1-P48W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[vaman_1]
   UNSPLITVOC:	(waAlvaman)
          POS:	CONJ+DET+NOUN
          VOC:	wa+Al+vaman
        GLOSS:	and+the+value/price

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P48W2
      OFFSETS:	7-9
       TOKENS:	P48W3-P48W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[huwa_1]
   UNSPLITVOC:	(huwa)
          POS:	PRON_3MS
          VOC:	huwa
        GLOSS:	it/he

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P48W3
      OFFSETS:	10-12
       TOKENS:	P48W4-P48W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	تنفصل
     IS_TRANS:	tnfSl
        INDEX:	P48W4
      OFFSETS:	13-18
       TOKENS:	P48W5-P48W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{inofaSal_1]
   UNSPLITVOC:	(tanofaSila)
          POS:	IV3FS+IV+IVSUFF_MOOD:S
          VOC:	ta+nofaSil+a
        GLOSS:	it/they/she+be separated/be removed+[sub.]

 INPUT STRING:	شرق
     IS_TRANS:	$rq
        INDEX:	P48W5
      OFFSETS:	19-22
       TOKENS:	P48W6-P48W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aroq_1]
   UNSPLITVOC:	($aroq)
          POS:	NOUN
          VOC:	$aroq
        GLOSS:	east/East

 INPUT STRING:	السودان
     IS_TRANS:	AlswdAn
        INDEX:	P48W6
      OFFSETS:	23-30
       TOKENS:	P48W7-P48W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[suwdAn_1]
   UNSPLITVOC:	(AlsuwdAn)
          POS:	DET+NOUN_PROP
          VOC:	Al+suwdAn
        GLOSS:	the+Sudan

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P48W7
      OFFSETS:	31-33
       TOKENS:	P48W8-P48W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	دولة
     IS_TRANS:	dwlp
        INDEX:	P48W8
      OFFSETS:	34-38
       TOKENS:	P48W9-P48W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dawolap_1]
   UNSPLITVOC:	(dawolap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	dawol+ap
        GLOSS:	state/country+[fem.sg.]

 INPUT STRING:	جديدة
     IS_TRANS:	jdydp
        INDEX:	P48W9
      OFFSETS:	39-44
       TOKENS:	P48W10-P48W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jadiyd_1]
   UNSPLITVOC:	(jadiydap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	jadiyd+ap
        GLOSS:	new/modern+[fem.sg.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P48W10
      OFFSETS:	44-45
       TOKENS:	P48W11-P48W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وكذلك
     IS_TRANS:	wk*lk
        INDEX:	P49W1
      OFFSETS:	0-5
       TOKENS:	P49W1-P49W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*`lika_1]
   UNSPLITVOC:	(waka*`lika)
          POS:	CONJ+PREP+DEM_PRON_MS
          VOC:	wa+ka+*`lika
        GLOSS:	and+like/such as+that

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P49W2
      OFFSETS:	6-8
       TOKENS:	P49W4-P49W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	ينفصل
     IS_TRANS:	ynfSl
        INDEX:	P49W3
      OFFSETS:	9-14
       TOKENS:	P49W5-P49W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{inofaSal_1]
   UNSPLITVOC:	(yanofaSila)
          POS:	IV3MS+IV+IVSUFF_MOOD:S
          VOC:	ya+nofaSil+a
        GLOSS:	he/it+be separated/be removed+[sub.]

 INPUT STRING:	أقصى
     IS_TRANS:	>qSY
        INDEX:	P49W4
      OFFSETS:	15-19
       TOKENS:	P49W6-P49W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aqoSaY_3]
   UNSPLITVOC:	(>aqoSaY)
          POS:	ADJ
          VOC:	>aqoSaY
        GLOSS:	farthest/most remote

 INPUT STRING:	شمال
     IS_TRANS:	$mAl
        INDEX:	P49W5
      OFFSETS:	20-24
       TOKENS:	P49W7-P49W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$amAl_1]
   UNSPLITVOC:	($amAl)
          POS:	NOUN
          VOC:	$amAl
        GLOSS:	north/North

 INPUT STRING:	السودان
     IS_TRANS:	AlswdAn
        INDEX:	P49W6
      OFFSETS:	25-32
       TOKENS:	P49W8-P49W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[suwdAn_1]
   UNSPLITVOC:	(AlsuwdAn)
          POS:	DET+NOUN_PROP
          VOC:	Al+suwdAn
        GLOSS:	the+Sudan

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P49W7
      OFFSETS:	33-35
       TOKENS:	P49W9-P49W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	دولة
     IS_TRANS:	dwlp
        INDEX:	P49W8
      OFFSETS:	36-40
       TOKENS:	P49W10-P49W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dawolap_1]
   UNSPLITVOC:	(dawolap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	dawol+ap
        GLOSS:	state/country+[fem.sg.]

 INPUT STRING:	أخرى
     IS_TRANS:	>xrY
        INDEX:	P49W9
      OFFSETS:	41-45
       TOKENS:	P49W11-P49W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[>uxoraY_1]
   UNSPLITVOC:	(>uxoraY)
          POS:	ADJ
          VOC:	>uxoraY
        GLOSS:	other/another/additional

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P49W10
      OFFSETS:	45-46
       TOKENS:	P49W12-P49W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P50W1
      OFFSETS:	0-3
       TOKENS:	P50W1-P50W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+no/not/non-

 INPUT STRING:	يبقى
     IS_TRANS:	ybqY
        INDEX:	P50W2
      OFFSETS:	4-8
       TOKENS:	P50W3-P50W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baqiy-a_1]
   UNSPLITVOC:	(yaboqaY)
          POS:	IV3MS+IV+IVSUFF_MOOD:I
          VOC:	ya+boqaY+(null)
        GLOSS:	he/it+remain/last+[ind.]

 INPUT STRING:	إلا
     IS_TRANS:	<lA
        INDEX:	P50W3
      OFFSETS:	9-12
       TOKENS:	P50W4-P50W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	RESTRIC_PART
          VOC:	<il~A
        GLOSS:	except for

 INPUT STRING:	وسط
     IS_TRANS:	wsT
        INDEX:	P50W4
      OFFSETS:	13-16
       TOKENS:	P50W5-P50W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wasaT_1]
   UNSPLITVOC:	(wasaT)
          POS:	NOUN
          VOC:	wasaT
        GLOSS:	center/environment

 INPUT STRING:	السودان
     IS_TRANS:	AlswdAn
        INDEX:	P50W5
      OFFSETS:	17-24
       TOKENS:	P50W6-P50W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[suwdAn_1]
   UNSPLITVOC:	(AlsuwdAn)
          POS:	DET+NOUN_PROP
          VOC:	Al+suwdAn
        GLOSS:	the+Sudan

 INPUT STRING:	فقط
     IS_TRANS:	fqT
        INDEX:	P50W6
      OFFSETS:	25-28
       TOKENS:	P50W7-P50W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faqaT_1]
   UNSPLITVOC:	(faqaT)
          POS:	ADV
          VOC:	faqaT
        GLOSS:	only

 INPUT STRING:	مُمَثِّلاً
     IS_TRANS:	mumav~ilAF
        INDEX:	P50W7
      OFFSETS:	29-39
       TOKENS:	P50W8-P50W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mumav~il_1]
   UNSPLITVOC:	(mumav~ilAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	mumav~il+AF
        GLOSS:	representative/delegate+[acc.indef.]

 INPUT STRING:	لدولة
     IS_TRANS:	ldwlp
        INDEX:	P50W8
      OFFSETS:	40-45
       TOKENS:	P50W9-P50W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dawolap_1]
   UNSPLITVOC:	(ladawolap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	la+dawol+ap
        GLOSS:	for/to+state/country+[fem.sg.]

 INPUT STRING:	السودان
     IS_TRANS:	AlswdAn
        INDEX:	P50W9
      OFFSETS:	46-53
       TOKENS:	P50W11-P50W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[suwdAn_1]
   UNSPLITVOC:	(AlsuwdAn)
          POS:	DET+NOUN_PROP
          VOC:	Al+suwdAn
        GLOSS:	the+Sudan

 INPUT STRING:	القديمة
     IS_TRANS:	Alqdymp
        INDEX:	P50W10
      OFFSETS:	54-61
       TOKENS:	P50W12-P50W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qadiym_1]
   UNSPLITVOC:	(Alqadiymap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+qadiym+ap
        GLOSS:	the+old/ancient+[fem.sg.]

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P50W11
      OFFSETS:	61-62
       TOKENS:	P50W13-P50W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	والثمن
     IS_TRANS:	wAlvmn
        INDEX:	P51W1
      OFFSETS:	0-6
       TOKENS:	P51W1-P51W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[vaman_1]
   UNSPLITVOC:	(waAlvaman)
          POS:	CONJ+DET+NOUN
          VOC:	wa+Al+vaman
        GLOSS:	and+the+value/price

 INPUT STRING:	أيضًا
     IS_TRANS:	>yDFA
        INDEX:	P51W2
      OFFSETS:	7-12
       TOKENS:	P51W3-P51W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ayDAF_1]
   UNSPLITVOC:	(>ayDAF)
          POS:	ADV
          VOC:	>ayDAF
        GLOSS:	also/too

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P51W3
      OFFSETS:	13-15
       TOKENS:	P51W4-P51W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[huwa_1]
   UNSPLITVOC:	(huwa)
          POS:	PRON_3MS
          VOC:	huwa
        GLOSS:	it/he

 INPUT STRING:	ألاَّ
     IS_TRANS:	>lA~a
        INDEX:	P51W4
      OFFSETS:	16-21
       TOKENS:	P51W5-P51W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(>lA~a)
          POS:	TYPO
          VOC:	>lA~a
        GLOSS:	nogloss

 INPUT STRING:	يفتح
     IS_TRANS:	yftH
        INDEX:	P51W5
      OFFSETS:	22-26
       TOKENS:	P51W6-P51W6
