 INPUT STRING:	أخواتي
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(wiyikuwn)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+kuwn
        GLOSS:	and+he+be

 INPUT STRING:	عندنا
     IS_TRANS:	EndnA
        INDEX:	P17W9
      OFFSETS:	41-46
       TOKENS:	P17W11-P17W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(EanodinA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	Eanod+nA
        GLOSS:	possession+our

 INPUT STRING:	استعداد
     IS_TRANS:	AstEdAd
        INDEX:	P17W10
      OFFSETS:	47-54
       TOKENS:	P17W13-P17W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isotiEodAd_2]
   UNSPLITVOC:	(<isotiEodAd)
          POS:	NOUN
          VOC:	<isotiEodAd
        GLOSS:	readiness/willingness

 INPUT STRING:	لدفع
     IS_TRANS:	ldfE
        INDEX:	P17W11
      OFFSETS:	55-59
       TOKENS:	P17W14-P17W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dafoE_1]
   UNSPLITVOC:	(lidafoE)
          POS:	PREP+NOUN
          VOC:	li+dafoE
        GLOSS:	for/to+payment

 INPUT STRING:	الثمن
     IS_TRANS:	Alvmn
        INDEX:	P17W12
      OFFSETS:	60-65
       TOKENS:	P17W16-P17W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[vaman_1]
   UNSPLITVOC:	(Altaman)
          POS:	DET+NOUN
          VOC:	Al+vaman
        GLOSS:	the+value/price

 INPUT STRING:	لكن
     IS_TRANS:	lkn
        INDEX:	P18W1
      OFFSETS:	0-3
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(lakin)
          POS:	CONJ
          VOC:	lakin
        GLOSS:	but

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P18W2
      OFFSETS:	4-6
       TOKENS:	P18W2-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الواضح
     IS_TRANS:	AlwADH
        INDEX:	P18W3
      OFFSETS:	7-13
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wADiH_1]
   UNSPLITVOC:	(AlwADiH)
          POS:	DET+NOUN
          VOC:	Al+wADiH
        GLOSS:	the+clear/obvious/visible

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P18W4
      OFFSETS:	14-16
       TOKENS:	P18W4-P18W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P18W5
      OFFSETS:	17-22
       TOKENS:	P18W5-P18W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation/peoples/nations

 INPUT STRING:	المصري
     IS_TRANS:	AlmSry
        INDEX:	P18W6
      OFFSETS:	23-29
       TOKENS:	P18W6-P18W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy)
          POS:	DET+ADJ
          VOC:	Al+maSoriy
        GLOSS:	the+egyptian

 INPUT STRING:	نفسه
     IS_TRANS:	nfsh
        INDEX:	P18W7
      OFFSETS:	30-34
       TOKENS:	P18W7-P18W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nafas_1]
   UNSPLITVOC:	(nafashu)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	nafas+hu
        GLOSS:	breath/puff+its/his

 INPUT STRING:	قصير
     IS_TRANS:	qSyr
        INDEX:	P18W8
      OFFSETS:	35-39
       TOKENS:	P18W9-P18W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaSiyr_1]
   UNSPLITVOC:	(qaSiyr)
          POS:	ADJ
          VOC:	qaSiyr
        GLOSS:	short/small

 INPUT STRING:	قوي
     IS_TRANS:	qwy
        INDEX:	P18W9
      OFFSETS:	40-43
       TOKENS:	P18W10-P18W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(qawiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	strong/powerful

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P18W10
      OFFSETS:	43-44
       TOKENS:	P18W11-P18W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P18W11
      OFFSETS:	44-45
       TOKENS:	P18W12-P18W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P18W12
      OFFSETS:	45-46
       TOKENS:	P18W13-P18W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	nogloss

 INPUT STRING:	اما
     IS_TRANS:	AmA
        INDEX:	P19W1
      OFFSETS:	0-3
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>am~A_1]
   UNSPLITVOC:	(>am~A)
          POS:	FOCUS_PART
          VOC:	>am~A
        GLOSS:	As to, as for, as far as , but, however, yet, on the other hand

 INPUT STRING:	بالنسبه
     IS_TRANS:	bAlnsbh
        INDEX:	P19W2
      OFFSETS:	4-11
       TOKENS:	P19W2-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisobap_1]
   UNSPLITVOC:	(biAln~isobap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+nisob+ap
        GLOSS:	with/by+the+according to+[fem.sg.]

 INPUT STRING:	للاخوان
     IS_TRANS:	llAxwAn
        INDEX:	P19W3
      OFFSETS:	12-19
       TOKENS:	P19W4-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ixowAn_1]
   UNSPLITVOC:	(lilAixowAn)
          POS:	PREP+DET+NOUN_PROP
          VOC:	li+Al+<ixowAn
        GLOSS:	for/to+the+Ekhwan

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P19W4
      OFFSETS:	20-23
       TOKENS:	P19W6-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	معاكي
     IS_TRANS:	mEAky
        INDEX:	P19W5
      OFFSETS:	24-29
       TOKENS:	P19W7-P19W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAkiy)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	maEa+ik
        GLOSS:	something with+you

 INPUT STRING:	انه
     IS_TRANS:	Anh
        INDEX:	P19W6
      OFFSETS:	30-33
       TOKENS:	P19W9-P19W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+he

 INPUT STRING:	فصيل
     IS_TRANS:	fSyl
        INDEX:	P19W7
      OFFSETS:	34-38
       TOKENS:	P19W11-P19W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faSiyl_1]
   UNSPLITVOC:	(faSiyl)
          POS:	NOUN
          VOC:	faSiyl
        GLOSS:	cell/branch/group

 INPUT STRING:	لكن
     IS_TRANS:	lkn
        INDEX:	P19W8
      OFFSETS:	39-42
       TOKENS:	P19W12-P19W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(lakin)
          POS:	CONJ
          VOC:	lakin
        GLOSS:	but

 INPUT STRING:	موضوع
     IS_TRANS:	mwDwE
        INDEX:	P19W9
      OFFSETS:	43-48
       TOKENS:	P19W13-P19W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(mawDuwE)
          POS:	NOUN
          VOC:	mawDuwE
        GLOSS:	subject/theme/issue

 INPUT STRING:	وطني
     IS_TRANS:	wTny
        INDEX:	P19W10
      OFFSETS:	49-53
       TOKENS:	P19W14-P19W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waTaniy_1]
   UNSPLITVOC:	(waTaniy)
          POS:	ADJ
          VOC:	waTaniy
        GLOSS:	national

 INPUT STRING:	وبيحب
     IS_TRANS:	wbyHb
        INDEX:	P19W11
      OFFSETS:	54-59
       TOKENS:	P19W15-P19W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(wibiyiHib~)
          POS:	CONJ+PROG_PART+IV3MS+IV
          VOC:	wi+bi+yi+Hib~
        GLOSS:	and+[present-tense]+he/it+love

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P19W12
      OFFSETS:	60-63
       TOKENS:	P19W18-P19W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P19W13
      OFFSETS:	63-64
       TOKENS:	P19W19-P19W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P19W14
      OFFSETS:	64-65
       TOKENS:	P19W20-P19W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	اشك
     IS_TRANS:	A$k
        INDEX:	P19W15
      OFFSETS:	66-69
       TOKENS:	P19W21-P19W21
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(A$k)
          POS:	NO_FUNC
          VOC:	A$k
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P19W16
      OFFSETS:	69-70
       TOKENS:	P19W22-P19W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	وراجعي
     IS_TRANS:	wrAjEy
        INDEX:	P20W1
      OFFSETS:	0-6
       TOKENS:	P20W1-P20W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAjiE_1]
   UNSPLITVOC:	(wirAjiEiy)
          POS:	CONJ+CV+CVSUFF_SUBJ:2FS
          VOC:	wi+rAjiE+iy
        GLOSS:	and+revise+you

 INPUT STRING:	موقف
     IS_TRANS:	mwqf
        INDEX:	P20W2
      OFFSETS:	7-11
       TOKENS:	P20W3-P20W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawqif_1]
   UNSPLITVOC:	(mawqif)
          POS:	NOUN
          VOC:	mawqif
        GLOSS:	position

 INPUT STRING:	الاخوان
     IS_TRANS:	AlAxwAn
        INDEX:	P20W3
      OFFSETS:	12-19
       TOKENS:	P20W4-P20W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ixwAn_1]
   UNSPLITVOC:	(Al<ixwAn)
          POS:	DET+NOUN_PROP
          VOC:	Al+<ixwAn
        GLOSS:	the+Ekhwan

 INPUT STRING:	وتصريحات
     IS_TRANS:	wtSryHAt
        INDEX:	P20W4
      OFFSETS:	20-28
       TOKENS:	P20W5-P20W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaSoriH_1]
   UNSPLITVOC:	(witaSoriyHAt)
          POS:	CONJ+NOUN+NSUFF_FEM_PL
          VOC:	wi+taSoriyH+At
        GLOSS:	and+declaration+[fem.pl.]

 INPUT STRING:	الجماعة
     IS_TRANS:	AljmAEp
        INDEX:	P20W5
      OFFSETS:	29-36
       TOKENS:	P20W7-P20W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamAEap_1]
   UNSPLITVOC:	(AljamAEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+jamAE+ap
        GLOSS:	the+party/group/squad/groups/parties/squads/Gama'a/Jemaah+[fem.sg.]

 INPUT STRING:	قبل
     IS_TRANS:	qbl
        INDEX:	P20W6
      OFFSETS:	37-40
       TOKENS:	P20W8-P20W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qabol_1]
   UNSPLITVOC:	(qabol)
          POS:	NOUN
          VOC:	qabol
        GLOSS:	before/previously/formerly

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P20W7
      OFFSETS:	41-47
       TOKENS:	P20W9-P20W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	واثناء
     IS_TRANS:	wAvnA'
        INDEX:	P20W8
      OFFSETS:	48-54
       TOKENS:	P20W10-P20W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>avonA'a_1]
   UNSPLITVOC:	(wa>avonA')
          POS:	CONJ+NOUN
          VOC:	wa+>avonA'
        GLOSS:	and+during/meanwhile/meantime

 INPUT STRING:	وبعد
     IS_TRANS:	wbEd
        INDEX:	P20W9
      OFFSETS:	55-59
       TOKENS:	P20W12-P20W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(wibaEod)
          POS:	CONJ+NOUN
          VOC:	wi+baEod
        GLOSS:	and+after

 INPUT STRING:	وانتي
     IS_TRANS:	wAnty
        INDEX:	P21W1
      OFFSETS:	0-5
       TOKENS:	P21W1-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(waAinotiy)
          POS:	CONJ+PRON_2FS
          VOC:	wa+Ainotiy
        GLOSS:	and+you

 INPUT STRING:	تعرفي
     IS_TRANS:	tErfy
        INDEX:	P21W2
      OFFSETS:	6-11
       TOKENS:	P21W3-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(tiEorafiy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+Eoraf+iy
        GLOSS:	you+know+[fem.sg.]

 INPUT STRING:	انهم
     IS_TRANS:	Anhm
        INDEX:	P21W3
      OFFSETS:	12-16
       TOKENS:	P21W4-P21W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uhum)
          POS:	SUB_CONJ+PRON_3P
          VOC:	<in~+hum
        GLOSS:	that+they

 INPUT STRING:	نزلوا
     IS_TRANS:	nzlwA
        INDEX:	P21W4
      OFFSETS:	17-22
       TOKENS:	P21W6-P21W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nizil_1]
   UNSPLITVOC:	(nizoluwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	nizol+uwA
        GLOSS:	came down+they

 INPUT STRING:	بشكل
     IS_TRANS:	b$kl
        INDEX:	P21W5
      OFFSETS:	23-27
       TOKENS:	P21W7-P21W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$akol_1]
   UNSPLITVOC:	(bi$akol)
          POS:	PREP+NOUN
          VOC:	bi+$akol
        GLOSS:	with/by+manner/form/configuration/manners / types/forms/configurations

 INPUT STRING:	رسمي
     IS_TRANS:	rsmy
        INDEX:	P21W6
      OFFSETS:	28-32
       TOKENS:	P21W9-P21W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rasomiy_1]
   UNSPLITVOC:	(rasomiy)
          POS:	ADJ
          VOC:	rasomiy
        GLOSS:	formaly

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P21W7
      OFFSETS:	33-35
       TOKENS:	P21W10-P21W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maE
        GLOSS:	something with

 INPUT STRING:	الجيش
     IS_TRANS:	Aljy$
        INDEX:	P21W8
      OFFSETS:	36-41
       TOKENS:	P21W11-P21W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(Aljay$)
          POS:	DET+NOUN
          VOC:	Al+jay$
        GLOSS:	the+army/troops

 INPUT STRING:	وخرجوا
     IS_TRANS:	wxrjwA
        INDEX:	P21W9
      OFFSETS:	42-48
       TOKENS:	P21W12-P21W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaraj_1]
   UNSPLITVOC:	(wixarajuwA)
          POS:	CONJ+PV+PVSUFF_SUBJ:3P
          VOC:	wi+xaraj+uwA
        GLOSS:	and+oust/remove+they

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P21W10
      OFFSETS:	49-51
       TOKENS:	P21W14-P21W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الميدان
     IS_TRANS:	AlmydAn
        INDEX:	P21W11
      OFFSETS:	52-59
       TOKENS:	P21W15-P21W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miydAn_1]
   UNSPLITVOC:	(AlmiydAn)
          POS:	DET+NOUN
          VOC:	Al+miydAn
        GLOSS:	the+square

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P21W12
      OFFSETS:	60-62
       TOKENS:	P21W16-P21W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	something with

 INPUT STRING:	الجيش
     IS_TRANS:	Aljy$
        INDEX:	P21W13
      OFFSETS:	63-68
       TOKENS:	P21W17-P21W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(Aljay$)
          POS:	DET+NOUN
          VOC:	Al+jay$
        GLOSS:	the+army/troops

 INPUT STRING:	واكيد
     IS_TRANS:	wAkyd
        INDEX:	P21W14
      OFFSETS:	69-74
       TOKENS:	P21W18-P21W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akiyd_1]
   UNSPLITVOC:	(wi>akiyd)
          POS:	CONJ+NOUN
          VOC:	wi+>akiyd
        GLOSS:	and+sure

 INPUT STRING:	كلنا
     IS_TRANS:	klnA
        INDEX:	P21W15
      OFFSETS:	75-79
       TOKENS:	P21W20-P21W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~inA)
          POS:	NOUN_QUANT+POSS_PRON_1P
          VOC:	kul~i+nA
        GLOSS:	all+us

 INPUT STRING:	عارفين
     IS_TRANS:	EArfyn
        INDEX:	P21W16
      OFFSETS:	80-86
       TOKENS:	P21W22-P21W22
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(EArfyn)
          POS:	NO_FUNC
          VOC:	EArfyn
        GLOSS:	nogloss

 INPUT STRING:	الجيش
     IS_TRANS:	Aljy$
        INDEX:	P22W1
      OFFSETS:	0-5
       TOKENS:	P22W1-P22W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(Aljay$)
          POS:	DET+NOUN
          VOC:	Al+jay$
        GLOSS:	the+army/troops

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P22W2
      OFFSETS:	6-9
       TOKENS:	P22W2-P22W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	نازل
     IS_TRANS:	nAzl
        INDEX:	P22W3
      OFFSETS:	10-14
       TOKENS:	P22W3-P22W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAzil_1]
   UNSPLITVOC:	(nAzil)
          POS:	ADJ
          VOC:	nAzil
        GLOSS:	going down

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P22W4
      OFFSETS:	15-18
       TOKENS:	P22W4-P22W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layoh_1]
   UNSPLITVOC:	(layoh)
          POS:	REL_ADV
          VOC:	layoh
        GLOSS:	why

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P22W5
      OFFSETS:	18-19
       TOKENS:	P22W5-P22W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P23W1
      OFFSETS:	0-2
       TOKENS:	P23W1-P23W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الطبيعي
     IS_TRANS:	AlTbyEy
        INDEX:	P23W2
      OFFSETS:	3-10
       TOKENS:	P23W2-P23W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TabiyEiy_1]
   UNSPLITVOC:	(AlT~abiyEiy)
          POS:	DET+ADJ
          VOC:	Al+TabiyEiy
        GLOSS:	the+natural

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P23W3
      OFFSETS:	11-13
       TOKENS:	P23W3-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	الواجد
     IS_TRANS:	AlwAjd
        INDEX:	P23W4
      OFFSETS:	14-20
       TOKENS:	P23W4-P23W4
