 INPUT STRING:	الرسالة
        GLOSS:	substitute/replacement/alternative/substitutes/replacements/alternatives

 INPUT STRING:	رخيص
     IS_TRANS:	rxyS
        INDEX:	P23W4
      OFFSETS:	17-21
       TOKENS:	P23W6-P23W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rixiyS_1]
   UNSPLITVOC:	(rixiyS)
          POS:	ADJ
          VOC:	rixiyS
        GLOSS:	cheap

 INPUT STRING:	جوهريا
     IS_TRANS:	jwhryA
        INDEX:	P23W5
      OFFSETS:	22-28
       TOKENS:	P23W7-P23W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jawohariy_1]
   UNSPLITVOC:	(jawohariy~AF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	jawohariy~+AF
        GLOSS:	fundamntal/essential+[acc.indef.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P23W6
      OFFSETS:	30-32
       TOKENS:	P23W8-P23W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بيعيش
     IS_TRANS:	byEy$
        INDEX:	P23W7
      OFFSETS:	33-38
       TOKENS:	P23W9-P23W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EA$_1]
   UNSPLITVOC:	(biyiEiy$)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+Eiy$
        GLOSS:	[present-tense]+he/it+live/experience/long live!/be lived/be experienced

 INPUT STRING:	وثمين
     IS_TRANS:	wvmyn
        INDEX:	P23W8
      OFFSETS:	40-45
       TOKENS:	P23W11-P23W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[vamiyn_1]
   UNSPLITVOC:	(wivamiyn)
          POS:	CONJ+ADJ
          VOC:	wi+vamiyn
        GLOSS:	and+costly/precious

 INPUT STRING:	شكليا
     IS_TRANS:	$klyA
        INDEX:	P23W9
      OFFSETS:	46-51
       TOKENS:	P23W13-P23W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$akoliy~_1]
   UNSPLITVOC:	($akoliy~AF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	$akoliy~+AF
        GLOSS:	formal/figurative+[acc.indef.]

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P23W10
      OFFSETS:	52-54
       TOKENS:	P23W14-P23W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	ماتعرفش
     IS_TRANS:	mAtErf$
        INDEX:	P23W11
      OFFSETS:	55-62
       TOKENS:	P23W15-P23W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(mA_tiEorafi$)
          POS:	NEG_PART+IV2MS+IV+NEG_PART
          VOC:	mA+ti+Eoraf+$
        GLOSS:	not+you+be known/know+not

 INPUT STRING:	إنه
     IS_TRANS:	<nh
        INDEX:	P23W12
      OFFSETS:	63-66
       TOKENS:	P23W18-P23W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+he/it

 INPUT STRING:	صيني
     IS_TRANS:	Syny
        INDEX:	P23W13
      OFFSETS:	67-71
       TOKENS:	P23W20-P23W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Siyniy_1]
   UNSPLITVOC:	(Siyniy)
          POS:	ADJ
          VOC:	Siyniy
        GLOSS:	Chinese/a chinese/porcelain

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P23W14
      OFFSETS:	71-72
       TOKENS:	P23W21-P23W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P23W15
      OFFSETS:	72-73
       TOKENS:	P23W22-P23W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	المجتمع
     IS_TRANS:	AlmjtmE
        INDEX:	P24W1
      OFFSETS:	0-7
       TOKENS:	P24W1-P24W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mijotimiE_1]
   UNSPLITVOC:	(AlmijotimiE)
          POS:	DET+NOUN
          VOC:	Al+mijotimiE
        GLOSS:	the+society

 INPUT STRING:	كله
     IS_TRANS:	klh
        INDEX:	P24W2
      OFFSETS:	8-11
       TOKENS:	P24W2-P24W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uh)
          POS:	NOUN_QUANT+POSS_PRON_3MS
          VOC:	kul~+uh
        GLOSS:	all/entire/every/whole+his/its

 INPUT STRING:	بيتظاهر
     IS_TRANS:	bytZAhr
        INDEX:	P24W3
      OFFSETS:	12-19
       TOKENS:	P24W4-P24W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoZAhir_1]
   UNSPLITVOC:	(biyitoZAhir)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+toZAhir
        GLOSS:	[present-tense]+he/it+demonstrate/go in demonstrations/manifest

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P24W4
      OFFSETS:	19-20
       TOKENS:	P24W6-P24W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P24W5
      OFFSETS:	20-21
       TOKENS:	P24W7-P24W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	بيمثل
     IS_TRANS:	bymvl
        INDEX:	P24W6
      OFFSETS:	22-27
       TOKENS:	P24W8-P24W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mav~al_1]
   UNSPLITVOC:	(biyimav~il)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+mav~il
        GLOSS:	[present-tense]+he/it+represent/constitute/act

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P24W7
      OFFSETS:	27-28
       TOKENS:	P24W10-P24W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P24W8
      OFFSETS:	28-29
       TOKENS:	P24W11-P24W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P24W9
      OFFSETS:	30-32
       TOKENS:	P24W12-P24W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	عدش
     IS_TRANS:	Ed$
        INDEX:	P24W10
      OFFSETS:	33-36
       TOKENS:	P24W13-P24W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ead~_1]
   UNSPLITVOC:	(Ead~i$)
          POS:	PV+PVSUFF_SUBJ:3MS+NEG_PART
          VOC:	Ead~+(null)+$
        GLOSS:	return+he/it+not

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P24W11
      OFFSETS:	37-40
       TOKENS:	P24W15-P24W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liyh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	for/to+him/it

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P24W12
      OFFSETS:	41-44
       TOKENS:	P24W17-P24W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[giyr_1]
   UNSPLITVOC:	(giyr)
          POS:	NOUN
          VOC:	giyr
        GLOSS:	not/other

 INPUT STRING:	التظاهر
     IS_TRANS:	AltZAhr
        INDEX:	P24W13
      OFFSETS:	45-52
       TOKENS:	P24W18-P24W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taZAhur_1]
   UNSPLITVOC:	(Alt~aZAhur)
          POS:	DET+NOUN
          VOC:	Al+taZAhur
        GLOSS:	the+demonstration/exhibition/simulation

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P24W14
      OFFSETS:	52-53
       TOKENS:	P24W19-P24W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P24W15
      OFFSETS:	53-54
       TOKENS:	P24W20-P24W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	بيتظاهر
     IS_TRANS:	bytZAhr
        INDEX:	P25W1
      OFFSETS:	0-7
       TOKENS:	P25W1-P25W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoZAhir_1]
   UNSPLITVOC:	(biyitoZAhir)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+toZAhir
        GLOSS:	[present-tense]+he/it+demonstrate/go in demonstrations

 INPUT STRING:	إنه
     IS_TRANS:	<nh
        INDEX:	P25W2
      OFFSETS:	8-11
       TOKENS:	P25W3-P25W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+he/it

 INPUT STRING:	بياكل
     IS_TRANS:	byAkl
        INDEX:	P25W3
      OFFSETS:	12-17
       TOKENS:	P25W5-P25W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aakal_1]
   UNSPLITVOC:	(biyAkul)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+y+Akul
        GLOSS:	[present-tense]+he/it+eat/consume/be eaten/be consumed

 INPUT STRING:	فواكه
     IS_TRANS:	fwAkh
        INDEX:	P25W4
      OFFSETS:	18-23
       TOKENS:	P25W7-P25W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fAkhap_1]
   UNSPLITVOC:	(fawAkih)
          POS:	NOUN
          VOC:	fawAkih
        GLOSS:	fruits

 INPUT STRING:	فريش
     IS_TRANS:	fry$
        INDEX:	P25W5
      OFFSETS:	24-28
       TOKENS:	P25W8-P25W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(fry$)
          POS:	FOREIGN
          VOC:	fry$
        GLOSS:	nogloss

 INPUT STRING:	وشكلها
     IS_TRANS:	w$klhA
        INDEX:	P25W6
      OFFSETS:	29-35
       TOKENS:	P25W9-P25W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$akol_1]
   UNSPLITVOC:	(wi$akolahA)
          POS:	CONJ+NOUN+POSS_PRON_3FS
          VOC:	wi+$akol+hA
        GLOSS:	and+manner/form/configuration/manners/types/forms/configurations+its/their/her

 INPUT STRING:	ممتاز
     IS_TRANS:	mmtAz
        INDEX:	P25W7
      OFFSETS:	36-41
       TOKENS:	P25W12-P25W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumotAz_1]
   UNSPLITVOC:	(mumotAz)
          POS:	ADJ
          VOC:	mumotAz
        GLOSS:	excellent/superior/first-rate/privileged/favored

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P25W8
      OFFSETS:	41-42
       TOKENS:	P25W13-P25W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P25W9
      OFFSETS:	42-43
       TOKENS:	P25W14-P25W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وجوهرياً
     IS_TRANS:	wjwhryAF
        INDEX:	P25W10
      OFFSETS:	44-52
       TOKENS:	P25W15-P25W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jawohariy_1]
   UNSPLITVOC:	(wijawohariy~AF)
          POS:	CONJ+ADJ+CASE_INDEF_ACC
          VOC:	wi+jawohariy~+AF
        GLOSS:	and+essential/fundamental+[acc.indef.]

 INPUT STRING:	مرشوشة
     IS_TRANS:	mr$w$p
        INDEX:	P25W11
      OFFSETS:	53-59
       TOKENS:	P25W17-P25W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maro$uw$_1]
   UNSPLITVOC:	(maro$uw$ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	maro$uw$+ap
        GLOSS:	splattered/sprinkled+[fem.sg.]

 INPUT STRING:	مبيدات
     IS_TRANS:	mbydAt
        INDEX:	P25W12
      OFFSETS:	60-66
       TOKENS:	P25W18-P25W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubiyd_1]
   UNSPLITVOC:	(mubiydAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	mubiyd+At
        GLOSS:	exterminating/destructive/pesticides+[fem.pl.]

 INPUT STRING:	مسرطنة
     IS_TRANS:	msrTnp
        INDEX:	P25W13
      OFFSETS:	67-73
       TOKENS:	P25W19-P25W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musaroTin_1]
   UNSPLITVOC:	(musaroTinap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	musaroTin+ap
        GLOSS:	causing cancer+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P25W14
      OFFSETS:	73-74
       TOKENS:	P25W20-P25W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P25W15
      OFFSETS:	74-75
       TOKENS:	P25W21-P25W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	بيتظاهر
     IS_TRANS:	bytZAhr
        INDEX:	P26W1
      OFFSETS:	0-7
       TOKENS:	P26W1-P26W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoZAhir_1]
   UNSPLITVOC:	(biyitoZAhir)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+toZAhir
        GLOSS:	[present-tense]+he/it+demonstrate/go in demonstrations/manifest

 INPUT STRING:	إنه
     IS_TRANS:	<nh
        INDEX:	P26W2
      OFFSETS:	8-11
       TOKENS:	P26W3-P26W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+he/it

 INPUT STRING:	بيشرب
     IS_TRANS:	by$rb
        INDEX:	P26W3
      OFFSETS:	12-17
       TOKENS:	P26W5-P26W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$irib_1]
   UNSPLITVOC:	(biyi$orab)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+$orab
        GLOSS:	[present-tense]+he/it+drink

 INPUT STRING:	مية
     IS_TRANS:	myp
        INDEX:	P26W4
      OFFSETS:	18-21
       TOKENS:	P26W7-P26W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[may~ap_1]
   UNSPLITVOC:	(may~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	may~+ap
        GLOSS:	water+[fem.sg.]

 INPUT STRING:	النيل
     IS_TRANS:	Alnyl
        INDEX:	P26W5
      OFFSETS:	22-27
       TOKENS:	P26W8-P26W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niyl_1]
   UNSPLITVOC:	(Aln~iyl)
          POS:	DET+NOUN_PROP
          VOC:	Al+niyl
        GLOSS:	the+Nile

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P26W6
      OFFSETS:	28-32
       TOKENS:	P26W9-P26W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whow/whom/what/whose/which

 INPUT STRING:	اتعملت
     IS_TRANS:	AtEmlt
        INDEX:	P26W7
      OFFSETS:	33-39
       TOKENS:	P26W10-P26W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(AitoEamalit)
          POS:	PV_PASS+PVSUFF_SUBJ:3FS
          VOC:	AitoEamal+it
        GLOSS:	function/make/act/do+it/they/she

 INPUT STRING:	عليه
     IS_TRANS:	Elyh
        INDEX:	P26W8
      OFFSETS:	40-44
       TOKENS:	P26W11-P26W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayh)
          POS:	PREP+PRON_3MS
          VOC:	EalaY+uh
        GLOSS:	on/above+it/him

 INPUT STRING:	أغاني
     IS_TRANS:	>gAny
        INDEX:	P26W9
      OFFSETS:	45-50
       TOKENS:	P26W13-P26W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ugoniy~ap_1]
   UNSPLITVOC:	(>agAniy)
          POS:	NOUN
          VOC:	>agAniy
        GLOSS:	melody/songs/song

 INPUT STRING:	ياما
     IS_TRANS:	yAmA
        INDEX:	P26W10
      OFFSETS:	51-55
       TOKENS:	P26W14-P26W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yAmA_1]
   UNSPLITVOC:	(yAmA)
          POS:	NOUN
          VOC:	yAmA
        GLOSS:	much/how much/how many!/alot

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P26W11
      OFFSETS:	55-56
       TOKENS:	P26W15-P26W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P26W12
      OFFSETS:	56-57
       TOKENS:	P26W16-P26W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وجوهرياً
     IS_TRANS:	wjwhryAF
        INDEX:	P26W13
      OFFSETS:	58-66
       TOKENS:	P26W17-P26W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jawohariy_1]
   UNSPLITVOC:	(wijawohariy~AF)
          POS:	CONJ+ADJ+CASE_INDEF_ACC
          VOC:	wi+jawohariy~+AF
        GLOSS:	and+essential/fundamental+[acc.indef.]

 INPUT STRING:	مخلوطة
     IS_TRANS:	mxlwTp
        INDEX:	P26W14
      OFFSETS:	67-73
       TOKENS:	P26W19-P26W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maxoluwT_2]
   UNSPLITVOC:	(maxoluwTap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	maxoluwT+ap
        GLOSS:	mixted/blended+[fem.sg.]

 INPUT STRING:	بمية
     IS_TRANS:	bmyp
        INDEX:	P26W15
      OFFSETS:	74-78
       TOKENS:	P26W20-P26W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[may~ap_1]
   UNSPLITVOC:	(bimay~ap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+may~+ap
        GLOSS:	with/by+water+[fem.sg.]

 INPUT STRING:	مجاري
     IS_TRANS:	mjAry
        INDEX:	P26W16
      OFFSETS:	79-84
       TOKENS:	P26W22-P26W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mijAriy_1]
   UNSPLITVOC:	(mijAriy)
          POS:	NOUN
          VOC:	mijAriy
        GLOSS:	courses/paths

 INPUT STRING:	وكلور
     IS_TRANS:	wklwr
        INDEX:	P26W17
      OFFSETS:	85-90
       TOKENS:	P26W23-P26W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kulawr_1]
   UNSPLITVOC:	(wikulawr)
          POS:	CONJ+NOUN
          VOC:	wi+kulawr
        GLOSS:	and+chlorine

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P26W18
      OFFSETS:	90-91
       TOKENS:	P26W25-P26W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P26W19
      OFFSETS:	91-92
       TOKENS:	P26W26-P26W26
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	بيتظاهر
     IS_TRANS:	bytZAhr
        INDEX:	P27W1
      OFFSETS:	0-7
       TOKENS:	P27W1-P27W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoZAhir_1]
   UNSPLITVOC:	(biyitoZAhir)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+toZAhir
        GLOSS:	[present-tense]+he/it+demonstrate/go in demonstrations/manifest

 INPUT STRING:	إنه
     IS_TRANS:	<nh
        INDEX:	P27W2
      OFFSETS:	8-11
       TOKENS:	P27W3-P27W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+he/it

 INPUT STRING:	بيلبس
     IS_TRANS:	bylbs
        INDEX:	P27W3
      OFFSETS:	12-17
       TOKENS:	P27W5-P27W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[libis_1]
   UNSPLITVOC:	(biyilobis)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+lobis
        GLOSS:	[present-tense]+he/it+wear

 INPUT STRING:	ماركات
     IS_TRANS:	mArkAt
        INDEX:	P27W4
      OFFSETS:	18-24
       TOKENS:	P27W7-P27W7
