 INPUT STRING:	ألحقو
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$AriE_1]
   UNSPLITVOC:	(lil$~AriE)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+$AriE
        GLOSS:	for/to+the+street/streets

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P8W8
      OFFSETS:	43-44
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	معتبراً
     IS_TRANS:	mEtbrAF
        INDEX:	P9W1
      OFFSETS:	0-7
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mEtbrAF)
          POS:	NO_FUNC
          VOC:	mEtbrAF
        GLOSS:	nogloss

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P9W2
      OFFSETS:	8-10
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~a_1]
   UNSPLITVOC:	(>an~a)
          POS:	SUB_CONJ
          VOC:	>an~a
        GLOSS:	that

 INPUT STRING:	أدوات
     IS_TRANS:	>dwAt
        INDEX:	P9W3
      OFFSETS:	11-16
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>adAp_1]
   UNSPLITVOC:	(>adawAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	>adaw+At
        GLOSS:	tools/instruments+[fem.pl.]

 INPUT STRING:	التغيير
     IS_TRANS:	Altgyyr
        INDEX:	P9W4
      OFFSETS:	17-24
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tagoyiyr_1]
   UNSPLITVOC:	(Alt~agoyiyr)
          POS:	DET+NOUN
          VOC:	Al+tagoyiyr
        GLOSS:	the+change/modification/replacement

 INPUT STRING:	السلمى
     IS_TRANS:	AlslmY
        INDEX:	P9W5
      OFFSETS:	25-31
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[silomiy_1]
   UNSPLITVOC:	(Als~ilomiy)
          POS:	DET+ADJ
          VOC:	Al+silomiy
        GLOSS:	the+peaceful/pacifist

 INPUT STRING:	لإسقاط
     IS_TRANS:	l<sqAT
        INDEX:	P9W6
      OFFSETS:	32-38
       TOKENS:	P9W6-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isoqAT_1]
   UNSPLITVOC:	(li<isoqAT)
          POS:	PREP+NOUN
          VOC:	li+<isoqAT
        GLOSS:	for/to+overthrow/shooting down

 INPUT STRING:	النظام
     IS_TRANS:	AlnZAm
        INDEX:	P9W7
      OFFSETS:	39-45
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niZAm_1]
   UNSPLITVOC:	(Aln~iZAm)
          POS:	DET+NOUN
          VOC:	Al+niZAm
        GLOSS:	the+regime/government

 INPUT STRING:	الحاكم
     IS_TRANS:	AlHAkm
        INDEX:	P9W8
      OFFSETS:	46-52
       TOKENS:	P9W9-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAkim_1]
   UNSPLITVOC:	(AlHAkim)
          POS:	DET+ADJ
          VOC:	Al+HAkim
        GLOSS:	the+ruling

 INPUT STRING:	تتم
     IS_TRANS:	ttm
        INDEX:	P9W9
      OFFSETS:	53-56
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tam~_1]
   UNSPLITVOC:	(titim~)
          POS:	IV3FS+IV
          VOC:	ti+tim~
        GLOSS:	it/they/she+conclude/take place

 INPUT STRING:	عبر
     IS_TRANS:	Ebr
        INDEX:	P9W10
      OFFSETS:	57-60
       TOKENS:	P9W11-P9W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eiborap_1]
   UNSPLITVOC:	(Eibar)
          POS:	NOUN
          VOC:	Eibar
        GLOSS:	across/over/via/by means of/crossing

 INPUT STRING:	التوقيع
     IS_TRANS:	AltwqyE
        INDEX:	P9W11
      OFFSETS:	61-68
       TOKENS:	P9W12-P9W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawqiyE_1]
   UNSPLITVOC:	(Alt~awqiyE)
          POS:	DET+NOUN
          VOC:	Al+tawqiyE
        GLOSS:	the+signature

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P9W12
      OFFSETS:	69-72
       TOKENS:	P9W13-P9W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	بيان
     IS_TRANS:	byAn
        INDEX:	P9W13
      OFFSETS:	73-77
       TOKENS:	P9W14-P9W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bayAn_1]
   UNSPLITVOC:	(bayAn)
          POS:	NOUN
          VOC:	bayAn
        GLOSS:	statement

 INPUT STRING:	المطالب
     IS_TRANS:	AlmTAlb
        INDEX:	P9W14
      OFFSETS:	78-85
       TOKENS:	P9W15-P9W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maTolab_1]
   UNSPLITVOC:	(AlmaTAlib)
          POS:	DET+NOUN
          VOC:	Al+maTAlib
        GLOSS:	the+demands/desiderata

 INPUT STRING:	7
     IS_TRANS:	7
        INDEX:	P9W15
      OFFSETS:	86-87
       TOKENS:	P9W16-P9W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(7)
          POS:	NOUN_NUM
          VOC:	7
        GLOSS:	7

 INPUT STRING:	للتغيير
     IS_TRANS:	lltgyyr
        INDEX:	P9W16
      OFFSETS:	88-95
       TOKENS:	P9W17-P9W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tagoyiyr_1]
   UNSPLITVOC:	(lilt~agoyiyr)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+tagoyiyr
        GLOSS:	for/to+the+change/modification/replacement

 INPUT STRING:	التى
     IS_TRANS:	AltY
        INDEX:	P9W17
      OFFSETS:	96-100
       TOKENS:	P9W19-P9W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~atiy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which

 INPUT STRING:	تشمل
     IS_TRANS:	t$ml
        INDEX:	P9W18
      OFFSETS:	101-105
       TOKENS:	P9W20-P9W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$amal_1]
   UNSPLITVOC:	(ti$omal)
          POS:	IV3FS+IV
          VOC:	ti+$omal
        GLOSS:	it/they/she+include

 INPUT STRING:	تعديل
     IS_TRANS:	tEdyl
        INDEX:	P9W19
      OFFSETS:	106-111
       TOKENS:	P9W21-P9W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEodiyl_1]
   UNSPLITVOC:	(taEodiyl)
          POS:	NOUN
          VOC:	taEodiyl
        GLOSS:	adjustment/change/modification/amendment

 INPUT STRING:	المواد
     IS_TRANS:	AlmwAd
        INDEX:	P9W20
      OFFSETS:	112-118
       TOKENS:	P9W22-P9W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAd~ap_1]
   UNSPLITVOC:	(AlmawAd)
          POS:	DET+NOUN
          VOC:	Al+mawAd
        GLOSS:	the+article/paragraph

 INPUT STRING:	67
     IS_TRANS:	67
        INDEX:	P9W21
      OFFSETS:	119-121
       TOKENS:	P9W23-P9W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(67)
          POS:	NOUN_NUM
          VOC:	67
        GLOSS:	67

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P9W22
      OFFSETS:	121-122
       TOKENS:	P9W24-P9W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	77
     IS_TRANS:	77
        INDEX:	P9W23
      OFFSETS:	122-124
       TOKENS:	P9W25-P9W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(77)
          POS:	NOUN_NUM
          VOC:	77
        GLOSS:	77

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P9W24
      OFFSETS:	124-125
       TOKENS:	P9W26-P9W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	88
     IS_TRANS:	88
        INDEX:	P9W25
      OFFSETS:	125-127
       TOKENS:	P9W27-P9W27
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(88)
          POS:	NOUN_NUM
          VOC:	88
        GLOSS:	88

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P9W26
      OFFSETS:	128-130
       TOKENS:	P9W28-P9W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الدستور
     IS_TRANS:	Aldstwr
        INDEX:	P9W27
      OFFSETS:	131-138
       TOKENS:	P9W29-P9W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dusotuwr_1]
   UNSPLITVOC:	(Ald~usotuwr)
          POS:	DET+NOUN
          VOC:	Al+dusotuwr
        GLOSS:	the+constitution/statute/constitutions/statutes

 INPUT STRING:	لإجراء
     IS_TRANS:	l<jrA'
        INDEX:	P9W28
      OFFSETS:	139-145
       TOKENS:	P9W30-P9W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ijorA'_1]
   UNSPLITVOC:	(li<ijorA')
          POS:	PREP+NOUN
          VOC:	li+<ijorA'
        GLOSS:	for/to+conducting/undertaking/carrying out

 INPUT STRING:	انتخابات
     IS_TRANS:	AntxAbAt
        INDEX:	P9W29
      OFFSETS:	146-154
       TOKENS:	P9W32-P9W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{inotixAb_1]
   UNSPLITVOC:	(AinotixAbAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	{inotixAb+At
        GLOSS:	elections/selections+[fem.pl.]

 INPUT STRING:	نزيهة
     IS_TRANS:	nzyhp
        INDEX:	P9W30
      OFFSETS:	155-160
       TOKENS:	P9W33-P9W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naziyh_1]
   UNSPLITVOC:	(naziyhap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	naziyh+ap
        GLOSS:	blameless/righteous/fair/impartial+[fem.sg.]

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P9W31
      OFFSETS:	160-161
       TOKENS:	P9W34-P9W34
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وحق
     IS_TRANS:	wHq
        INDEX:	P10W1
      OFFSETS:	0-3
       TOKENS:	P10W1-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(wiHaq~)
          POS:	CONJ+NOUN
          VOC:	wi+Haq~
        GLOSS:	and+right, prerogative, truth

 INPUT STRING:	المصريين
     IS_TRANS:	AlmSryyn
        INDEX:	P10W2
      OFFSETS:	4-12
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy~iyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+maSoriy~+iyn
        GLOSS:	the+Egyptians+two

 INPUT STRING:	بالخارج
     IS_TRANS:	bAlxArj
        INDEX:	P10W3
      OFFSETS:	13-20
       TOKENS:	P10W4-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xArij_1]
   UNSPLITVOC:	(biAlxArij)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+xArij
        GLOSS:	with/by+the+outside/outer part/overseas/exterior

 INPUT STRING:	للتصويت
     IS_TRANS:	lltSwyt
        INDEX:	P10W4
      OFFSETS:	21-28
       TOKENS:	P10W6-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taSowiyt_1]
   UNSPLITVOC:	(lilt~aSowiyt)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+taSowiyt
        GLOSS:	for/to+the+voting

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P10W5
      OFFSETS:	28-29
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وإنهاء
     IS_TRANS:	w<nhA'
        INDEX:	P11W1
      OFFSETS:	0-6
       TOKENS:	P11W1-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinohA'_1]
   UNSPLITVOC:	(wiAinohA')
          POS:	CONJ+NOUN
          VOC:	wi+AinohA'
        GLOSS:	and+finishing

 INPUT STRING:	حالة
     IS_TRANS:	HAlp
        INDEX:	P11W2
      OFFSETS:	7-11
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAlap_1]
   UNSPLITVOC:	(HAlap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAl+ap
        GLOSS:	condition/case/situation/cases/situations/instances+[fem.sg.]

 INPUT STRING:	الطوارئ
     IS_TRANS:	AlTwAr}
        INDEX:	P11W3
      OFFSETS:	12-19
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Taroqap_1]
   UNSPLITVOC:	(AlT~awAri})
          POS:	DET+NOUN
          VOC:	Al+TawAri}
        GLOSS:	the+emergency

 INPUT STRING:	دكتور
     IS_TRANS:	dktwr
        INDEX:	P12W1
      OFFSETS:	0-5
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dukotawr_1]
   UNSPLITVOC:	(dukotawr)
          POS:	NOUN
          VOC:	dukotawr
        GLOSS:	doctor/Doctor/Dr.

 INPUT STRING:	محمد
     IS_TRANS:	mHmd
        INDEX:	P12W2
      OFFSETS:	6-10
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHam~ad_1]
   UNSPLITVOC:	(maHam~ad)
          POS:	NOUN_PROP
          VOC:	maHam~ad
        GLOSS:	Muhammad/Mohamed

 INPUT STRING:	شخصية
     IS_TRANS:	$xSyp
        INDEX:	P12W3
      OFFSETS:	11-16
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$axoSiy~ap_1]
   UNSPLITVOC:	($axoSiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	$axoSiy~+ap
        GLOSS:	identity/person/personality/individual/identities/personalities/persons/individuals+[fem.sg.]

 INPUT STRING:	محترمة
     IS_TRANS:	mHtrmp
        INDEX:	P12W4
      OFFSETS:	17-23
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHotaram_1]
   UNSPLITVOC:	(muHotaramap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	muHotaram+ap
        GLOSS:	respected+[fem.sg.]

 INPUT STRING:	وطبعا
     IS_TRANS:	wTbEA
        INDEX:	P13W1
      OFFSETS:	0-5
       TOKENS:	P13W1-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaboE_1]
   UNSPLITVOC:	(wiTaboEAF)
          POS:	CONJ+NOUN+CASE_INDEF_ACC
          VOC:	wi+TaboE+AF
        GLOSS:	and+temperament/naturally/of course+[acc.indef.]

 INPUT STRING:	كلامه
     IS_TRANS:	klAmh
        INDEX:	P13W2
      OFFSETS:	6-11
       TOKENS:	P13W3-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(kalAmuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	kalAm+uh
        GLOSS:	speech/statement/remark/talk/saying+his/its

 INPUT STRING:	صح
     IS_TRANS:	SH
        INDEX:	P13W3
      OFFSETS:	12-14
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaH~_1]
   UNSPLITVOC:	(SaH~)
          POS:	ADJ
          VOC:	SaH~
        GLOSS:	true

 INPUT STRING:	ميه
     IS_TRANS:	myh
        INDEX:	P13W4
      OFFSETS:	15-18
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miy~ap_1]
   UNSPLITVOC:	(miy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	miy~+ap
        GLOSS:	hundred+[fem.sg.]

 INPUT STRING:	بالمية
     IS_TRANS:	bAlmyp
        INDEX:	P13W5
      OFFSETS:	19-25
       TOKENS:	P13W7-P13W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miy~ap_1]
   UNSPLITVOC:	(biAlmiy~ap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+miy~+ap
        GLOSS:	with/by+the+hundred+[fem.sg.]

 INPUT STRING:	ننتفض
     IS_TRANS:	nntfD
        INDEX:	P14W1
      OFFSETS:	0-5
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AintafaD_1]
   UNSPLITVOC:	(nintafiD)
          POS:	IV1P+IV
          VOC:	ni+ntafiD
        GLOSS:	we+uprise

 INPUT STRING:	ماشي
     IS_TRANS:	mA$y
        INDEX:	P14W2
      OFFSETS:	6-10
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA$iy_1]
   UNSPLITVOC:	(mA$iy)
          POS:	ADJ
          VOC:	mA$iy
        GLOSS:	going/walking/on foot

 INPUT STRING:	البرادعي
     IS_TRANS:	AlbrAdEy
        INDEX:	P14W3
      OFFSETS:	11-19
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[barAdiEiy~_2]
   UNSPLITVOC:	(AlbarAdiEiy~)
          POS:	DET+NOUN_PROP
          VOC:	Al+barAdiEiy~
        GLOSS:	the+Baradei

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P14W4
      OFFSETS:	20-22
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	والف
     IS_TRANS:	wAlf
        INDEX:	P14W5
      OFFSETS:	23-27
       TOKENS:	P14W5-P14W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alof_1]
   UNSPLITVOC:	(wiAlof)
          POS:	CONJ+NOUN_NUM
          VOC:	wi+Alof
        GLOSS:	and+thousand

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P14W6
      OFFSETS:	28-30
       TOKENS:	P14W7-P14W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P15W1
      OFFSETS:	0-3
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P15W2
      OFFSETS:	4-6
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	هتكلم
     IS_TRANS:	htklm
        INDEX:	P15W3
      OFFSETS:	7-12
       TOKENS:	P15W3-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitokal~im_1]
   UNSPLITVOC:	(HaAatokal~im)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+tokal~im
        GLOSS:	will+I+talk/speak

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P15W4
      OFFSETS:	13-18
       TOKENS:	P15W5-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$a>on
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P15W5
      OFFSETS:	19-23
       TOKENS:	P15W7-P15W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	بالى
     IS_TRANS:	bAlY
        INDEX:	P15W6
      OFFSETS:	24-28
       TOKENS:	P15W8-P15W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAl_1]
   UNSPLITVOC:	(bAliy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	bAl+iy
        GLOSS:	mind/attention+my

 INPUT STRING:	بالك
     IS_TRANS:	bAlk
        INDEX:	P15W7
      OFFSETS:	29-33
       TOKENS:	P15W10-P15W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAl_1]
   UNSPLITVOC:	(bAlak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	bAl+ak
        GLOSS:	mind/attention+your

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P15W8
      OFFSETS:	34-38
       TOKENS:	P15W12-P15W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	ADJ
          VOC:	mumokin
        GLOSS:	possible

 INPUT STRING:	يكونوا
     IS_TRANS:	ykwnwA
        INDEX:	P15W9
      OFFSETS:	39-45
       TOKENS:	P15W13-P15W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yikuwnuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+kuwn+uwA
        GLOSS:	they+be+we

