 INPUT STRING:	مصـــــــر
        INDEX:	P21W5
      OFFSETS:	19-21
       TOKENS:	P21W6-P21W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	وقت
     IS_TRANS:	wqt
        INDEX:	P21W6
      OFFSETS:	22-25
       TOKENS:	P21W7-P21W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqot_1]
   UNSPLITVOC:	(waqot)
          POS:	NOUN
          VOC:	waqot
        GLOSS:	time/moment/period of time

 INPUT STRING:	العمل
     IS_TRANS:	AlEml
        INDEX:	P21W7
      OFFSETS:	26-31
       TOKENS:	P21W8-P21W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(AlEamal)
          POS:	DET+NOUN
          VOC:	Al+Eamal
        GLOSS:	the+work/action

 INPUT STRING:	وان
     IS_TRANS:	wAn
        INDEX:	P21W8
      OFFSETS:	32-35
       TOKENS:	P21W9-P21W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(wi<in~)
          POS:	CONJ+SUB_CONJ
          VOC:	wi+<in~
        GLOSS:	and+that

 INPUT STRING:	الاصلاح
     IS_TRANS:	AlASlAH
        INDEX:	P21W9
      OFFSETS:	36-43
       TOKENS:	P21W11-P21W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiSolAH_1]
   UNSPLITVOC:	(AlAiSolAH)
          POS:	DET+NOUN
          VOC:	Al+AiSolAH
        GLOSS:	the+reform/restoration

 INPUT STRING:	عايز
     IS_TRANS:	EAyz
        INDEX:	P21W10
      OFFSETS:	44-48
       TOKENS:	P21W12-P21W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyiz)
          POS:	ADJ
          VOC:	EAyiz
        GLOSS:	wanting/needing

 INPUT STRING:	وقت
     IS_TRANS:	wqt
        INDEX:	P21W11
      OFFSETS:	49-52
       TOKENS:	P21W13-P21W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqot_1]
   UNSPLITVOC:	(waqot)
          POS:	NOUN
          VOC:	waqot
        GLOSS:	time/moment/period of time

 INPUT STRING:	وشغل
     IS_TRANS:	w$gl
        INDEX:	P21W12
      OFFSETS:	53-57
       TOKENS:	P21W14-P21W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ugol_1]
   UNSPLITVOC:	(wi$ugol)
          POS:	CONJ+NOUN
          VOC:	wi+$ugol
        GLOSS:	and+work/activity/labor/business

 INPUT STRING:	متستعجلوش
     IS_TRANS:	mtstEjlw$
        INDEX:	P22W1
      OFFSETS:	0-9
       TOKENS:	P22W1-P22W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AistaEjil_1]
   UNSPLITVOC:	(mAtistaEjiluwA$)
          POS:	NEG_PART+IV2P+IV+IVSUFF_SUBJ:P+NEG_PART
          VOC:	mA+ti+staEjil+uwA+$
        GLOSS:	not+you+hurry/hasten+you+not

 INPUT STRING:	تحيتى
     IS_TRANS:	tHytY
        INDEX:	P23W1
      OFFSETS:	0-5
       TOKENS:	P23W1-P23W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHiy~ap_1]
   UNSPLITVOC:	(taHiy~atiy)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	taHiy~+ap+iy
        GLOSS:	greeting/salute+[fem.sg.]+my

 INPUT STRING:	موضوع
     IS_TRANS:	mwDwE
        INDEX:	P24W1
      OFFSETS:	0-5
       TOKENS:	P24W1-P24W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(mawDuwE)
          POS:	NOUN
          VOC:	mawDuwE
        GLOSS:	subject/theme/issue/topic

 INPUT STRING:	لطيف
     IS_TRANS:	lTyf
        INDEX:	P24W2
      OFFSETS:	6-10
       TOKENS:	P24W2-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laTiyf_1]
   UNSPLITVOC:	(laTiyf)
          POS:	ADJ
          VOC:	laTiyf
        GLOSS:	delicate/gentle/polite

 INPUT STRING:	عتاب
     IS_TRANS:	EtAb
        INDEX:	P24W3
      OFFSETS:	11-15
       TOKENS:	P24W3-P24W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EitAb_1]
   UNSPLITVOC:	(EitAb)
          POS:	NOUN_PROP
          VOC:	EitAb
        GLOSS:	EitAb

 INPUT STRING:	سامعها
     IS_TRANS:	sAmEhA
        INDEX:	P25W1
      OFFSETS:	0-6
       TOKENS:	P25W1-P25W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAmiE_1]
   UNSPLITVOC:	(sAmiEhA)
          POS:	ADJ+PRON_3FS
          VOC:	sAmiE+hA
        GLOSS:	listening/able to hear+it/them/her

 INPUT STRING:	بتقول
     IS_TRANS:	btqwl
        INDEX:	P25W2
      OFFSETS:	7-12
       TOKENS:	P25W3-P25W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bitquwl)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+t+quwl
        GLOSS:	[present-tense]+it/she+said/say/be said/say/(for example)

 INPUT STRING:	النهاردة
     IS_TRANS:	AlnhArdp
        INDEX:	P25W3
      OFFSETS:	13-21
       TOKENS:	P25W5-P25W5
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(AlnhArdp)
          POS:	NO_FUNC
          VOC:	AlnhArdp
        GLOSS:	nogloss

 INPUT STRING:	ياريت
     IS_TRANS:	yAryt
        INDEX:	P25W4
      OFFSETS:	22-27
       TOKENS:	P25W6-P25W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yArayot_1]
   UNSPLITVOC:	(yArayot)
          POS:	PSEUDO_VERB
          VOC:	yArayot
        GLOSS:	if only/wish

 INPUT STRING:	تتلموا
     IS_TRANS:	ttlmwA
        INDEX:	P25W5
      OFFSETS:	28-34
       TOKENS:	P25W7-P25W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitolam~_1]
   UNSPLITVOC:	(titolam~uwA)
          POS:	IV2P+IV+IVSUFF_SUBJ:P
          VOC:	ti+tolam~+uwA
        GLOSS:	you+gather+we

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P25W6
      OFFSETS:	35-38
       TOKENS:	P25W8-P25W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	so/then

 INPUT STRING:	إنت
     IS_TRANS:	<nt
        INDEX:	P25W7
      OFFSETS:	39-42
       TOKENS:	P25W9-P25W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you

 INPUT STRING:	وهو
     IS_TRANS:	whw
        INDEX:	P25W8
      OFFSETS:	43-46
       TOKENS:	P25W10-P25W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(wihuw~a)
          POS:	CONJ+PRON_3MS
          VOC:	wi+huw~a
        GLOSS:	and+he

 INPUT STRING:	وتتلفتوا
     IS_TRANS:	wttlftwA
        INDEX:	P25W9
      OFFSETS:	47-55
       TOKENS:	P25W12-P25W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitolaf~it_1]
   UNSPLITVOC:	(wititolifituwA)
          POS:	CONJ+IV2P+IV+IVSUFF_SUBJ:P
          VOC:	wi+ti+tolifit+uwA
        GLOSS:	and+you [pl.]+turn around/look after+[pl.]

 INPUT STRING:	لأشغالكم
     IS_TRANS:	l>$gAlkm
        INDEX:	P25W10
      OFFSETS:	56-64
       TOKENS:	P25W14-P25W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ugol_1]
   UNSPLITVOC:	(li>a$ogAlkum)
          POS:	PREP+NOUN+POSS_PRON_2P
          VOC:	li+>a$ogAl+kum
        GLOSS:	for/to+work/labor/business+your [pl.]

 INPUT STRING:	وتفوقوا
     IS_TRANS:	wtfwqwA
        INDEX:	P25W11
      OFFSETS:	65-72
       TOKENS:	P25W17-P25W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAq_1]
   UNSPLITVOC:	(witifuwquwA)
          POS:	CONJ+IV2P+IV+IVSUFF_SUBJ:P
          VOC:	wi+ti+fuwq+uwA
        GLOSS:	and+you [pl.]+wake up/be alert+[pl.]

 INPUT STRING:	شوية
     IS_TRANS:	$wyp
        INDEX:	P25W12
      OFFSETS:	73-77
       TOKENS:	P25W19-P25W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$way~ap_1]
   UNSPLITVOC:	($way~ap)
          POS:	NOUN_QUANT+NSUFF_FEM_SG
          VOC:	$way~+ap
        GLOSS:	a little bit+[fem.sg.]

 INPUT STRING:	موضوع
     IS_TRANS:	mwDwE
        INDEX:	P26W1
      OFFSETS:	0-5
       TOKENS:	P26W1-P26W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(mawDuwE)
          POS:	NOUN
          VOC:	mawDuwE
        GLOSS:	subject/theme/issue/topic

 INPUT STRING:	حلو
     IS_TRANS:	Hlw
        INDEX:	P26W2
      OFFSETS:	6-9
       TOKENS:	P26W2-P26W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilow_1]
   UNSPLITVOC:	(Hilow)
          POS:	ADJ
          VOC:	Hilow
        GLOSS:	nice

 INPUT STRING:	اوى
     IS_TRANS:	AwY
        INDEX:	P26W3
      OFFSETS:	10-13
       TOKENS:	P26W3-P26W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(>awiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	powerful/very much

 INPUT STRING:	ياعتاب
     IS_TRANS:	yAEtAb
        INDEX:	P26W4
      OFFSETS:	14-20
       TOKENS:	P26W4-P26W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EitAb_1]
   UNSPLITVOC:	(yA_EitAb)
          POS:	VOC_PART+NOUN_PROP
          VOC:	yA+EitAb
        GLOSS:	oh+EitAb

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P27W1
      OFFSETS:	0-3
       TOKENS:	P27W1-P27W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	بتقول
     IS_TRANS:	btqwl
        INDEX:	P27W2
      OFFSETS:	4-9
       TOKENS:	P27W2-P27W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bitquwl)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+t+quwl
        GLOSS:	[present-tense]+it/she+said/say/be said/say/(for example)

 INPUT STRING:	النهارده
     IS_TRANS:	AlnhArdh
        INDEX:	P27W3
      OFFSETS:	10-18
       TOKENS:	P27W4-P27W4
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(AlnhArdh)
          POS:	NO_FUNC
          VOC:	AlnhArdh
        GLOSS:	nogloss

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P27W4
      OFFSETS:	19-20
       TOKENS:	P27W5-P27W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[:]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P27W5
      OFFSETS:	20-21
       TOKENS:	P27W6-P27W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[:]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P27W6
      OFFSETS:	21-22
       TOKENS:	P27W7-P27W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[:]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	خالوا
     IS_TRANS:	xAlwA
        INDEX:	P27W7
      OFFSETS:	22-27
       TOKENS:	P27W8-P27W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xAl~Y_1]
   UNSPLITVOC:	(xAl~uwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	xAl~+uwA
        GLOSS:	let/make+you[pl.]verb

 INPUT STRING:	بالكم
     IS_TRANS:	bAlkm
        INDEX:	P27W8
      OFFSETS:	28-33
       TOKENS:	P27W9-P27W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAl_1]
   UNSPLITVOC:	(bAlkum)
          POS:	NOUN+POSS_PRON_2P
          VOC:	bAl+kum
        GLOSS:	mind/attention+your

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P27W9
      OFFSETS:	34-36
       TOKENS:	P27W11-P27W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P27W10
      OFFSETS:	37-40
       TOKENS:	P27W12-P27W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P27W11
      OFFSETS:	41-42
       TOKENS:	P27W13-P27W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P27W12
      OFFSETS:	42-43
       TOKENS:	P27W14-P27W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P27W13
      OFFSETS:	43-44
       TOKENS:	P27W15-P27W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وخليكوا
     IS_TRANS:	wxlykwA
        INDEX:	P27W14
      OFFSETS:	44-51
       TOKENS:	P27W16-P27W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(wixal~iykuwA)
          POS:	CONJ+CV+CVSUFF_SUBJ:2P
          VOC:	wi+xal~iy+kuwA
        GLOSS:	and+let/make+you [pl.] verb

 INPUT STRING:	مصحصحين
     IS_TRANS:	mSHSHyn
        INDEX:	P27W15
      OFFSETS:	52-59
       TOKENS:	P27W18-P27W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSaHoSaH_1]
   UNSPLITVOC:	(miSaHoSaHiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	miSaHoSaH+iyn
        GLOSS:	alert/awake+they[pl.]

 INPUT STRING:	وثابتين
     IS_TRANS:	wvAbtyn
        INDEX:	P27W16
      OFFSETS:	60-67
       TOKENS:	P27W19-P27W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vAbit_1]
   UNSPLITVOC:	(wivAbotiyn)
          POS:	CONJ+ADJ+NSUFF_MASC_PL
          VOC:	wi+vAbot+iyn
        GLOSS:	and+established/determined+they

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P27W17
      OFFSETS:	68-71
       TOKENS:	P27W21-P27W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	تحقيق
     IS_TRANS:	tHqyq
        INDEX:	P27W18
      OFFSETS:	72-77
       TOKENS:	P27W22-P27W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoqiyq_1]
   UNSPLITVOC:	(taHoqiyq)
          POS:	NOUN
          VOC:	taHoqiyq
        GLOSS:	achievement/realization

 INPUT STRING:	المطالب
     IS_TRANS:	AlmTAlb
        INDEX:	P27W19
      OFFSETS:	78-85
       TOKENS:	P27W23-P27W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maTlab_1]
   UNSPLITVOC:	(AlmaTAlib)
          POS:	DET+NOUN
          VOC:	Al+maTAlib
        GLOSS:	the+demands/desiderata

 INPUT STRING:	كاملة
     IS_TRANS:	kAmlp
        INDEX:	P27W20
      OFFSETS:	86-91
       TOKENS:	P27W24-P27W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAmil_1]
   UNSPLITVOC:	(kAmolap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	kAmol+ap
        GLOSS:	complete/full/integral+[fem.sg.]

 INPUT STRING:	لاقتلاع
     IS_TRANS:	lAqtlAE
        INDEX:	P27W21
      OFFSETS:	92-99
       TOKENS:	P27W25-P27W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iqotilAE_1]
   UNSPLITVOC:	(liAiqotilAE)
          POS:	PREP+NOUN
          VOC:	li+<iqotilAE
        GLOSS:	for/to+uprooting/extermination

 INPUT STRING:	الفساد
     IS_TRANS:	AlfsAd
        INDEX:	P27W22
      OFFSETS:	100-106
       TOKENS:	P27W27-P27W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fasAd_1]
   UNSPLITVOC:	(AlfasAd)
          POS:	DET+NOUN
          VOC:	Al+fasAd
        GLOSS:	the+corruption

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P27W23
      OFFSETS:	107-109
       TOKENS:	P27W28-P27W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	جذوره
     IS_TRANS:	j*wrh
        INDEX:	P27W24
      OFFSETS:	110-115
       TOKENS:	P27W29-P27W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ji*or_1]
   UNSPLITVOC:	(ju*uwruh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	ju*uwr+uh
        GLOSS:	roots/stubs+its/his

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P27W25
      OFFSETS:	115-116
       TOKENS:	P27W31-P27W31
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P27W26
      OFFSETS:	116-117
       TOKENS:	P27W32-P27W32
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P27W27
      OFFSETS:	117-118
       TOKENS:	P27W33-P27W33
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P27W28
      OFFSETS:	118-119
       TOKENS:	P27W34-P27W34
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	بجانب
     IS_TRANS:	bjAnb
        INDEX:	P27W29
      OFFSETS:	119-124
       TOKENS:	P27W35-P27W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAnib_1]
   UNSPLITVOC:	(bijAnib)
          POS:	PREP+NOUN
          VOC:	bi+jAnib
        GLOSS:	with/by+side/aspect

 INPUT STRING:	الاهتمام
     IS_TRANS:	AlAhtmAm
        INDEX:	P27W30
      OFFSETS:	125-133
       TOKENS:	P27W37-P27W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AihotimAm_1]
   UNSPLITVOC:	(AlAihotimAm)
          POS:	DET+NOUN
          VOC:	Al+AihotimAm
        GLOSS:	the+interest/concern/care/attention

 INPUT STRING:	باعمالكم
     IS_TRANS:	bAEmAlkm
        INDEX:	P27W31
      OFFSETS:	134-142
       TOKENS:	P27W38-P27W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(bi>aEomAlkum)
          POS:	PREP+NOUN+POSS_PRON_2P
          VOC:	bi+>aEomAl+kum
        GLOSS:	with/by+actions/activities/work+your [pl.]

 INPUT STRING:	حتى
     IS_TRANS:	HtY
        INDEX:	P27W32
      OFFSETS:	143-146
       TOKENS:	P27W41-P27W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	SUB_CONJ
          VOC:	Hat~aY
        GLOSS:	so that

 INPUT STRING:	تكتمل
     IS_TRANS:	tktml
        INDEX:	P27W33
      OFFSETS:	147-152
       TOKENS:	P27W42-P27W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aikotamal_1]
   UNSPLITVOC:	(tikotimil)
          POS:	IV3FS+IV
          VOC:	ti+kotimil
        GLOSS:	it/she+be comlpeted/be perfect/be integral

 INPUT STRING:	المعادلة
     IS_TRANS:	AlmEAdlp
        INDEX:	P27W34
      OFFSETS:	153-161
       TOKENS:	P27W43-P27W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEAdolap_1]
   UNSPLITVOC:	(AlmuEAdolap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+muEAdol+ap
        GLOSS:	the+equation+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P27W35
      OFFSETS:	162-163
       TOKENS:	P27W44-P27W44
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P27W36
      OFFSETS:	163-164
       TOKENS:	P27W45-P27W45
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
