 INPUT STRING:	المسيحيون

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P21W8
      OFFSETS:	39-41
       TOKENS:	P21W10-P21W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	حقيقي
     IS_TRANS:	Hqyqy
        INDEX:	P21W9
      OFFSETS:	42-47
       TOKENS:	P21W11-P21W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haqiyqiy_1]
   UNSPLITVOC:	(Haqiyqiy)
          POS:	ADJ
          VOC:	Haqiyqiy
        GLOSS:	true/real

 INPUT STRING:	يشوفوا
     IS_TRANS:	y$wfwA
        INDEX:	P21W10
      OFFSETS:	48-54
       TOKENS:	P21W12-P21W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(yi$uwfuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+$uwf+uwA
        GLOSS:	they+look+[pl.]

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P21W11
      OFFSETS:	55-59
       TOKENS:	P21W13-P21W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whom/which

 INPUT STRING:	بيحرضوا
     IS_TRANS:	byHrDwA
        INDEX:	P21W12
      OFFSETS:	60-67
       TOKENS:	P21W14-P21W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Har~aD_1]
   UNSPLITVOC:	(biyoHar~aDuwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+Har~aD+uwA
        GLOSS:	[present-tense]+they+rouse/goad/provoke+[pl.]

 INPUT STRING:	بجد
     IS_TRANS:	bjd
        INDEX:	P21W13
      OFFSETS:	68-71
       TOKENS:	P21W16-P21W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jad~_1]
   UNSPLITVOC:	(bijad~)
          POS:	PREP+NOUN
          VOC:	bi+jad~
        GLOSS:	with/by+seriousness/earnestness

 INPUT STRING:	وبيزرعوا
     IS_TRANS:	wbyzrEwA
        INDEX:	P21W14
      OFFSETS:	72-80
       TOKENS:	P21W18-P21W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zaraE_1]
   UNSPLITVOC:	(wibiyizoraEuwA)
          POS:	CONJ+PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	wi+bi+yi+zoraE+uwA
        GLOSS:	and+[present-tense]+they+plant/implant/cultivate+[pl.]

 INPUT STRING:	الفتن
     IS_TRANS:	Alftn
        INDEX:	P21W15
      OFFSETS:	81-86
       TOKENS:	P21W21-P21W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faton_1]
   UNSPLITVOC:	(Alfaton)
          POS:	DET+NOUN
          VOC:	Al+faton
        GLOSS:	the+sedition/dissension/discord

 INPUT STRING:	بين
     IS_TRANS:	byn
        INDEX:	P21W16
      OFFSETS:	87-90
       TOKENS:	P21W22-P21W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[biyn_1]
   UNSPLITVOC:	(biyn)
          POS:	NOUN
          VOC:	biyn
        GLOSS:	between/among

 INPUT STRING:	أخوان
     IS_TRANS:	>xwAn
        INDEX:	P21W17
      OFFSETS:	91-96
       TOKENS:	P21W23-P21W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ax~_1]
   UNSPLITVOC:	(<ixowAn)
          POS:	NOUN
          VOC:	<ixowAn
        GLOSS:	brothers

 INPUT STRING:	الوطن
     IS_TRANS:	AlwTn
        INDEX:	P21W18
      OFFSETS:	97-102
       TOKENS:	P21W24-P21W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waTan_1]
   UNSPLITVOC:	(AlwaTan)
          POS:	DET+NOUN
          VOC:	Al+waTan
        GLOSS:	the+nation/homeland

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P21W19
      OFFSETS:	104-105
       TOKENS:	P21W25-P21W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	وأضاف
     IS_TRANS:	w>DAf
        INDEX:	P22W1
      OFFSETS:	0-5
       TOKENS:	P22W1-P22W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aDAf_1]
   UNSPLITVOC:	(wi>aDAf)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+>aDAf+(null)
        GLOSS:	and+add+he/it [verb]

 INPUT STRING:	أنه
     IS_TRANS:	>nh
        INDEX:	P22W2
      OFFSETS:	6-9
       TOKENS:	P22W3-P22W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+he/it

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P22W3
      OFFSETS:	10-12
       TOKENS:	P22W5-P22W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not/non-

 INPUT STRING:	توجد
     IS_TRANS:	twjd
        INDEX:	P22W4
      OFFSETS:	13-17
       TOKENS:	P22W6-P22W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wajad_1]
   UNSPLITVOC:	(tuwjad)
          POS:	IV3FS+IV
          VOC:	tu+wjad
        GLOSS:	she/it/they+be found/exist

 INPUT STRING:	أية
     IS_TRANS:	>yp
        INDEX:	P22W5
      OFFSETS:	18-21
       TOKENS:	P22W7-P22W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ay~_2]
   UNSPLITVOC:	(>ay~ap)
          POS:	NOUN_QUANT+NSUFF_FEM_SG
          VOC:	>ay~+ap
        GLOSS:	any+[fem.sg.]

 INPUT STRING:	اجراءات
     IS_TRANS:	AjrA'At
        INDEX:	P22W6
      OFFSETS:	22-29
       TOKENS:	P22W8-P22W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ijorA'_1]
   UNSPLITVOC:	(<ijorA'At)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	<ijorA'+At
        GLOSS:	measures/steps+[fem.pl.]

 INPUT STRING:	استثنائية
     IS_TRANS:	AstvnA}yp
        INDEX:	P22W7
      OFFSETS:	30-39
       TOKENS:	P22W9-P22W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotivonA}iy_1]
   UNSPLITVOC:	(AisotivonA}iy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	AisotivonA}iy~+ap
        GLOSS:	exceptional/extraordinary+[fem.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P22W8
      OFFSETS:	40-42
       TOKENS:	P22W10-P22W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	حفلات
     IS_TRANS:	HflAt
        INDEX:	P22W9
      OFFSETS:	43-48
       TOKENS:	P22W11-P22W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hafolap_1]
   UNSPLITVOC:	(HafalAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	Hafal+At
        GLOSS:	celebrations/parties/ceremonies+[fem.pl.]

 INPUT STRING:	عيد
     IS_TRANS:	Eyd
        INDEX:	P22W10
      OFFSETS:	49-52
       TOKENS:	P22W12-P22W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eiyd_1]
   UNSPLITVOC:	(Eiyd)
          POS:	NOUN
          VOC:	Eiyd
        GLOSS:	feast/holiday/festival/holidays/feasts

 INPUT STRING:	الميلاد
     IS_TRANS:	AlmylAd
        INDEX:	P22W11
      OFFSETS:	53-60
       TOKENS:	P22W13-P22W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miylAd_1]
   UNSPLITVOC:	(AlmiylAd)
          POS:	DET+NOUN
          VOC:	Al+miylAd
        GLOSS:	the+Christmas/Christian Era

 INPUT STRING:	والقداسات
     IS_TRANS:	wAlqdAsAt
        INDEX:	P22W12
      OFFSETS:	61-70
       TOKENS:	P22W14-P22W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qud~As_1]
   UNSPLITVOC:	(wiAlqud~AsAt)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_PL
          VOC:	wi+Al+qud~As+At
        GLOSS:	and+the+religious service/Mass+[fem.pl.]

 INPUT STRING:	سوف
     IS_TRANS:	swf
        INDEX:	P22W13
      OFFSETS:	71-74
       TOKENS:	P22W16-P22W16
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sawofa_1]
   UNSPLITVOC:	(sawofa)
          POS:	FUT_PART
          VOC:	sawofa
        GLOSS:	will/shall

 INPUT STRING:	تتم
     IS_TRANS:	ttm
        INDEX:	P22W14
      OFFSETS:	75-78
       TOKENS:	P22W17-P22W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tam~_1]
   UNSPLITVOC:	(titim~)
          POS:	IV3FS+IV
          VOC:	ti+tim~
        GLOSS:	she/it/they+conclude/take place

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P22W15
      OFFSETS:	79-81
       TOKENS:	P22W18-P22W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مختلف
     IS_TRANS:	mxtlf
        INDEX:	P22W16
      OFFSETS:	82-87
       TOKENS:	P22W19-P22W19
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muxotalaf_1]
   UNSPLITVOC:	(muxotalaf)
          POS:	ADJ
          VOC:	muxotalaf
        GLOSS:	controversial/disputed

 INPUT STRING:	الكنائس
     IS_TRANS:	AlknA}s
        INDEX:	P22W17
      OFFSETS:	88-95
       TOKENS:	P22W20-P22W20
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kaniysap_1]
   UNSPLITVOC:	(AlkanA}is)
          POS:	DET+NOUN
          VOC:	Al+kanA}is
        GLOSS:	the+churches/temples

 INPUT STRING:	كما
     IS_TRANS:	kmA
        INDEX:	P22W18
      OFFSETS:	96-99
       TOKENS:	P22W21-P22W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamA_1]
   UNSPLITVOC:	(kamA)
          POS:	CONJ
          VOC:	kamA
        GLOSS:	and/as/also

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P22W19
      OFFSETS:	100-102
       TOKENS:	P22W22-P22W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	معتاد
     IS_TRANS:	mEtAd
        INDEX:	P22W20
      OFFSETS:	103-108
       TOKENS:	P22W23-P22W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEotAd_1]
   UNSPLITVOC:	(muEotAd)
          POS:	ADJ
          VOC:	muEotAd
        GLOSS:	habituated/accustomed

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P22W21
      OFFSETS:	109-110
       TOKENS:	P22W24-P22W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	وأوضح
     IS_TRANS:	w>wDH
        INDEX:	P23W1
      OFFSETS:	0-5
       TOKENS:	P23W1-P23W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>awDaH_1]
   UNSPLITVOC:	(wi>awDaH)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+>awDaH+(null)
        GLOSS:	and+clarify/explain/indicate+he/it [verb]

 INPUT STRING:	أنه
     IS_TRANS:	>nh
        INDEX:	P23W2
      OFFSETS:	6-9
       TOKENS:	P23W3-P23W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+he/it

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P23W3
      OFFSETS:	10-12
       TOKENS:	P23W5-P23W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الممكن
     IS_TRANS:	Almmkn
        INDEX:	P23W4
      OFFSETS:	13-19
       TOKENS:	P23W6-P23W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(Almumokin)
          POS:	DET+ADJ
          VOC:	Al+mumokin
        GLOSS:	the+possible

 INPUT STRING:	جدا
     IS_TRANS:	jdA
        INDEX:	P23W5
      OFFSETS:	20-23
       TOKENS:	P23W7-P23W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(jid~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	very/much+[acc.indef.]

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P23W6
      OFFSETS:	24-26
       TOKENS:	P23W8-P23W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	تتكرر
     IS_TRANS:	ttkrr
        INDEX:	P23W7
      OFFSETS:	27-32
       TOKENS:	P23W9-P23W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitokar~ar_1]
   UNSPLITVOC:	(titokar~ar)
          POS:	IV3FS+IV
          VOC:	ti+tokar~ar
        GLOSS:	she/it/they+be repeated/be reiterated

 INPUT STRING:	حادثة
     IS_TRANS:	HAdvp
        INDEX:	P23W8
      OFFSETS:	33-38
       TOKENS:	P23W10-P23W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAdovap_1]
   UNSPLITVOC:	(HAdovap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAdov+ap
        GLOSS:	incident/event+[fem.sg.]

 INPUT STRING:	كنيسة
     IS_TRANS:	knysp
        INDEX:	P23W9
      OFFSETS:	39-44
       TOKENS:	P23W11-P23W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kiniysap_1]
   UNSPLITVOC:	(kiniysap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	kiniys+ap
        GLOSS:	church+[fem.sg.]

 INPUT STRING:	القديسين
     IS_TRANS:	Alqdysyn
        INDEX:	P23W10
      OFFSETS:	45-53
       TOKENS:	P23W12-P23W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qid~iys_1]
   UNSPLITVOC:	(Alqid~iysiyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+qid~iys+iyn
        GLOSS:	the+saint+[masc.pl.]

 INPUT STRING:	وهذا
     IS_TRANS:	wh*A
        INDEX:	P24W1
      OFFSETS:	0-4
       TOKENS:	P24W1-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(waha*A)
          POS:	CONJ+DEM_PRON_MS
          VOC:	wa+ha*A
        GLOSS:	and+this [masc.sg.]

 INPUT STRING:	لمسناه
     IS_TRANS:	lmsnAh
        INDEX:	P24W2
      OFFSETS:	5-11
       TOKENS:	P24W3-P24W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lamas_1]
   UNSPLITVOC:	(lamasnAh)
          POS:	PV+PVSUFF_SUBJ:1P+PVSUFF_DO:3MS
          VOC:	lamas+nA+uh
        GLOSS:	touch/perceive+we [verb]+it/him

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P24W3
      OFFSETS:	12-14
       TOKENS:	P24W5-P24W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الرعاية
     IS_TRANS:	AlrEAyp
        INDEX:	P24W4
      OFFSETS:	15-22
       TOKENS:	P24W6-P24W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[riEAyap_1]
   UNSPLITVOC:	(Alr~iEAyap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+riEAy+ap
        GLOSS:	the+custody/protection/patronage/sponsorship+[fem.sg.]

 INPUT STRING:	الأمنية
     IS_TRANS:	Al>mnyp
        INDEX:	P24W5
      OFFSETS:	23-30
       TOKENS:	P24W7-P24W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amoniy_1]
   UNSPLITVOC:	(Al>amoniy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+>amoniy~+ap
        GLOSS:	the+security/safety+[fem.sg.]

 INPUT STRING:	التي
     IS_TRANS:	Alty
        INDEX:	P24W6
      OFFSETS:	31-35
       TOKENS:	P24W8-P24W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which/who/whom [fem.sg.]

 INPUT STRING:	تعهدت
     IS_TRANS:	tEhdt
        INDEX:	P24W7
      OFFSETS:	36-41
       TOKENS:	P24W9-P24W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[toEah~id_1]
   UNSPLITVOC:	(toEah~idit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	toEah~id+it
        GLOSS:	undertake/assume obligation+it/they/she [verb]

 INPUT STRING:	بها
     IS_TRANS:	bhA
        INDEX:	P24W8
      OFFSETS:	42-45
       TOKENS:	P24W10-P24W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(bihA)
          POS:	PREP+PRON_3FS
          VOC:	bi+hA
        GLOSS:	with/by+it/them/her

 INPUT STRING:	الداخلية
     IS_TRANS:	AldAxlyp
        INDEX:	P24W9
      OFFSETS:	46-54
       TOKENS:	P24W12-P24W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAxoliy~ap_1]
   UNSPLITVOC:	(Ald~Axoliy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+dAxoliy~+ap
        GLOSS:	the+interior/of state+[fem.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P24W10
      OFFSETS:	55-57
       TOKENS:	P24W13-P24W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	تأمين
     IS_TRANS:	t>myn
        INDEX:	P24W11
      OFFSETS:	58-63
       TOKENS:	P24W14-P24W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ta>omiyn_1]
   UNSPLITVOC:	(ta>omiyn)
          POS:	NOUN
          VOC:	ta>omiyn
        GLOSS:	insurance/guarantee

 INPUT STRING:	الكنائس
     IS_TRANS:	AlknA}s
        INDEX:	P24W12
      OFFSETS:	64-71
       TOKENS:	P24W15-P24W15
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kaniysap_1]
   UNSPLITVOC:	(AlkanA}is)
          POS:	DET+NOUN
          VOC:	Al+kanA}is
        GLOSS:	the+churches/temples

 INPUT STRING:	لهذا
     IS_TRANS:	lh*A
        INDEX:	P24W13
      OFFSETS:	72-76
       TOKENS:	P24W16-P24W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(liha*A)
          POS:	PREP+DEM_PRON_MS
          VOC:	li+ha*A
        GLOSS:	for/to+this [masc.sg.]

 INPUT STRING:	العام
     IS_TRANS:	AlEAm
        INDEX:	P24W14
      OFFSETS:	77-82
       TOKENS:	P24W18-P24W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAm_1]
   UNSPLITVOC:	(AlEAm)
          POS:	DET+NOUN
          VOC:	Al+EAm
        GLOSS:	the+year/years

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P24W15
      OFFSETS:	83-84
       TOKENS:	P24W19-P24W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	ومخاوف
     IS_TRANS:	wmxAwf
        INDEX:	P25W1
      OFFSETS:	0-6
       TOKENS:	P25W1-P25W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maxAwif_1]
   UNSPLITVOC:	(wimaxAwif)
          POS:	CONJ+NOUN
          VOC:	wi+maxAwif
        GLOSS:	and+fears/apprehensions

 INPUT STRING:	المسيحين
     IS_TRANS:	AlmsyHyn
        INDEX:	P25W2
      OFFSETS:	7-15
       TOKENS:	P25W3-P25W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AlmsyHyn)
          POS:	TYPO
          VOC:	AlmsyHyn
        GLOSS:	nogloss

 INPUT STRING:	عادية
     IS_TRANS:	EAdyp
        INDEX:	P25W3
      OFFSETS:	16-21
       TOKENS:	P25W4-P25W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAdiy_1]
   UNSPLITVOC:	(EAdiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EAdiy~+ap
        GLOSS:	ordinary/regular/normal+[fem.sg.]

 INPUT STRING:	وطبيعية
     IS_TRANS:	wTbyEyp
        INDEX:	P25W4
      OFFSETS:	22-29
       TOKENS:	P25W5-P25W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TabiyEiy_1]
   UNSPLITVOC:	(wiTabiyEiy~ap)
          POS:	CONJ+ADJ+NSUFF_FEM_SG
          VOC:	wi+TabiyEiy~+ap
        GLOSS:	and+natural/normal+[fem.sg.]

 INPUT STRING:	ولكن
     IS_TRANS:	wlkn
        INDEX:	P25W5
      OFFSETS:	30-34
       TOKENS:	P25W7-P25W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(wilakin)
          POS:	CONJ+CONJ
          VOC:	wi+lakin
        GLOSS:	and+but

 INPUT STRING:	ليس
     IS_TRANS:	lys
        INDEX:	P25W6
      OFFSETS:	35-38
