 INPUT STRING:	سميرة
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hAtik_1]
   UNSPLITVOC:	(wihAtik)
          POS:	CONJ+ADJ
          VOC:	wi+hAtik
        GLOSS:	and+degradation

 INPUT STRING:	عرض
     IS_TRANS:	ErD
        INDEX:	P8W8
      OFFSETS:	39-42
       TOKENS:	P8W13-P8W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaroD_1]
   UNSPLITVOC:	(EaroD)
          POS:	NOUN
          VOC:	EaroD
        GLOSS:	honour

 INPUT STRING:	فهذا
     IS_TRANS:	fh*A
        INDEX:	P8W9
      OFFSETS:	43-47
       TOKENS:	P8W14-P8W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(faha*A)
          POS:	CONJ+DEM_PRON_MS
          VOC:	fa+ha*A
        GLOSS:	so/and+this [masc.sg.]

 INPUT STRING:	شانكم
     IS_TRANS:	$Ankm
        INDEX:	P8W10
      OFFSETS:	48-53
       TOKENS:	P8W16-P8W16
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	($Ankm)
          POS:	NO_FUNC
          VOC:	$Ankm
        GLOSS:	nogloss

 INPUT STRING:	وربما
     IS_TRANS:	wrbmA
        INDEX:	P8W11
      OFFSETS:	54-59
       TOKENS:	P8W17-P8W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rub~amA_1]
   UNSPLITVOC:	(wirub~amA)
          POS:	CONJ+ADV
          VOC:	wi+rub~amA
        GLOSS:	and+perhaps/maybe

 INPUT STRING:	تتعرضون
     IS_TRANS:	ttErDwn
        INDEX:	P8W12
      OFFSETS:	60-67
       TOKENS:	P8W19-P8W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taEar~aD_1]
   UNSPLITVOC:	(tataEar~aDuwn)
          POS:	IV2P+IV+IVSUFF_SUBJ:P
          VOC:	ta+taEar~aD+uwn
        GLOSS:	you+be exposed to/encounter+[masc.pl.]

 INPUT STRING:	لذلك
     IS_TRANS:	l*lk
        INDEX:	P8W13
      OFFSETS:	68-72
       TOKENS:	P8W20-P8W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*alik_1]
   UNSPLITVOC:	(li*alik)
          POS:	PREP+DEM_PRON_MS
          VOC:	li+*alik
        GLOSS:	for/to+that

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P8W14
      OFFSETS:	73-75
       TOKENS:	P8W22-P8W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P8W15
      OFFSETS:	76-79
       TOKENS:	P8W23-P8W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/some day/ever/days

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P8W16
      OFFSETS:	80-82
       TOKENS:	P8W24-P8W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الايام
     IS_TRANS:	AlAyAm
        INDEX:	P8W17
      OFFSETS:	83-89
       TOKENS:	P8W25-P8W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yuwm_1]
   UNSPLITVOC:	(Al>ay~Am)
          POS:	DET+NOUN
          VOC:	Al+>ay~Am
        GLOSS:	the+days

 INPUT STRING:	وساعتها
     IS_TRANS:	wsAEthA
        INDEX:	P8W18
      OFFSETS:	90-97
       TOKENS:	P8W26-P8W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAEap_1]
   UNSPLITVOC:	(wisAEithA)
          POS:	CONJ+NOUN+NSUFF_FEM_SG+POSS_PRON_3FS
          VOC:	wi+sAE+ap+hA
        GLOSS:	and+hour/time/hours+[fem.sg.]+its/their/her

 INPUT STRING:	هاتقدرو
     IS_TRANS:	hAtqdrw
        INDEX:	P8W19
      OFFSETS:	98-105
       TOKENS:	P8W29-P8W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qadar_1]
   UNSPLITVOC:	(HatiqodaruwA)
          POS:	FUT_PART+IV2P+IV+IVSUFF_SUBJ:P
          VOC:	Ha+ti+qodar+uwA
        GLOSS:	will+you+appreciate+[masc.pl.]

 INPUT STRING:	الاحترام
     IS_TRANS:	AlAHtrAm
        INDEX:	P8W20
      OFFSETS:	106-114
       TOKENS:	P8W31-P8W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHotirAm_1]
   UNSPLITVOC:	(AlAiHotirAm)
          POS:	DET+NOUN
          VOC:	Al+AiHotirAm
        GLOSS:	the+respect/honoring

 INPUT STRING:	صح
     IS_TRANS:	SH
        INDEX:	P8W21
      OFFSETS:	115-117
       TOKENS:	P8W32-P8W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaH~_1]
   UNSPLITVOC:	(SaH~)
          POS:	ADJ
          VOC:	SaH~
        GLOSS:	correct/true

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P9W1
      OFFSETS:	0-2
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	هانحكم
     IS_TRANS:	hAnHkm
        INDEX:	P9W2
      OFFSETS:	3-9
       TOKENS:	P9W2-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hakam_1]
   UNSPLITVOC:	(hAniHokum)
          POS:	FUT_PART+IV1P+IV
          VOC:	hA+ni+Hokum
        GLOSS:	will+we+judge

 INPUT STRING:	بنفص
     IS_TRANS:	bnfS
        INDEX:	P9W3
      OFFSETS:	10-14
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(bnfS)
          POS:	TYPO
          VOC:	bnfS
        GLOSS:	nogloss

 INPUT STRING:	المنطق
     IS_TRANS:	AlmnTq
        INDEX:	P9W4
      OFFSETS:	15-21
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manoTiq_1]
   UNSPLITVOC:	(AlmanoTiq)
          POS:	DET+NOUN
          VOC:	Al+manoTiq
        GLOSS:	the+logic

 INPUT STRING:	فاليكم
     IS_TRANS:	fAlykm
        INDEX:	P9W5
      OFFSETS:	22-28
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(fAlykm)
          POS:	NO_FUNC
          VOC:	fAlykm
        GLOSS:	nogloss

 INPUT STRING:	هذه
     IS_TRANS:	h*h
        INDEX:	P9W6
      OFFSETS:	29-32
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*ihi)
          POS:	DEM_PRON_F
          VOC:	ha*ihi
        GLOSS:	this/these

 INPUT STRING:	الصوره
     IS_TRANS:	AlSwrh
        INDEX:	P9W7
      OFFSETS:	33-39
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(AlS~uwrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Suwr+ap
        GLOSS:	the+picture/image/illustration/photo/pictures/photographs/illustrations/photos+[fem.sg.]

 INPUT STRING:	لكن
     IS_TRANS:	lkn
        INDEX:	P9W8
      OFFSETS:	40-43
       TOKENS:	P9W9-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(lakin)
          POS:	CONJ
          VOC:	lakin
        GLOSS:	but

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P9W9
      OFFSETS:	44-47
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	i

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P9W10
      OFFSETS:	48-50
       TOKENS:	P9W11-P9W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	اقدرش
     IS_TRANS:	Aqdr$
        INDEX:	P9W11
      OFFSETS:	51-56
       TOKENS:	P9W12-P9W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[qadar_1]
   UNSPLITVOC:	(Aa>odar$)
          POS:	IV1S+IV+NEG_PART
          VOC:	Aa+qodar+$
        GLOSS:	I+not able+not

 INPUT STRING:	احكم
     IS_TRANS:	AHkm
        INDEX:	P9W12
      OFFSETS:	57-61
       TOKENS:	P9W14-P9W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hakam_1]
   UNSPLITVOC:	(AaHokum)
          POS:	IV1S+IV
          VOC:	Aa+Hokum
        GLOSS:	I+judge

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P9W13
      OFFSETS:	62-65
       TOKENS:	P9W15-P9W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/ above

 INPUT STRING:	اخلاق
     IS_TRANS:	AxlAq
        INDEX:	P9W14
      OFFSETS:	66-71
       TOKENS:	P9W16-P9W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xuloq_1]
   UNSPLITVOC:	(>axolAq)
          POS:	NOUN
          VOC:	>axolAq
        GLOSS:	morals/character/ethics

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P9W15
      OFFSETS:	72-77
       TOKENS:	P9W17-P9W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P9W16
      OFFSETS:	78-80
       TOKENS:	P9W18-P9W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	صوره
     IS_TRANS:	Swrh
        INDEX:	P9W17
      OFFSETS:	81-85
       TOKENS:	P9W19-P9W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(Suwrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Suwr+ap
        GLOSS:	picture/image/illustration/photo/pictures/photographs/illustrations/photos+[fem.sg.]

 INPUT STRING:	هوا
     IS_TRANS:	hwA
        INDEX:	P10W1
      OFFSETS:	0-3
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he

 INPUT STRING:	دا
     IS_TRANS:	dA
        INDEX:	P10W2
      OFFSETS:	4-6
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	الرد
     IS_TRANS:	Alrd
        INDEX:	P10W3
      OFFSETS:	7-11
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rad~_1]
   UNSPLITVOC:	(Alr~ad~)
          POS:	DET+NOUN
          VOC:	Al+rad~
        GLOSS:	the+reply/response

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P11W1
      OFFSETS:	0-2
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	امتى
     IS_TRANS:	AmtY
        INDEX:	P11W2
      OFFSETS:	3-7
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<imotaY_1]
   UNSPLITVOC:	(<imotaY)
          POS:	REL_ADV
          VOC:	<imotaY
        GLOSS:	when

 INPUT STRING:	كانوا
     IS_TRANS:	kAnwA
        INDEX:	P11W3
      OFFSETS:	8-13
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	kAn+uwA
        GLOSS:	be+they

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P11W4
      OFFSETS:	14-16
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P11W5
      OFFSETS:	17-21
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who / which / whose

 INPUT STRING:	لابسين
     IS_TRANS:	lAbsyn
        INDEX:	P11W6
      OFFSETS:	22-28
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(lAbsyn)
          POS:	NO_FUNC
          VOC:	lAbsyn
        GLOSS:	nogloss

 INPUT STRING:	خمار
     IS_TRANS:	xmAr
        INDEX:	P11W7
      OFFSETS:	29-33
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ximAr_1]
   UNSPLITVOC:	(ximAr)
          POS:	NOUN
          VOC:	ximAr
        GLOSS:	veil

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P11W8
      OFFSETS:	34-36
       TOKENS:	P11W8-P11W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	نقاب
     IS_TRANS:	nqAb
        INDEX:	P11W9
      OFFSETS:	37-41
       TOKENS:	P11W9-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niqAb_1]
   UNSPLITVOC:	(niqAb)
          POS:	NOUN
          VOC:	niqAb
        GLOSS:	veil

 INPUT STRING:	كلهم
     IS_TRANS:	klhm
        INDEX:	P11W10
      OFFSETS:	42-46
       TOKENS:	P11W10-P11W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uhum)
          POS:	NOUN_QUANT+POSS_PRON_3P
          VOC:	kul~+hum
        GLOSS:	all/whole+their

 INPUT STRING:	محترمات
     IS_TRANS:	mHtrmAt
        INDEX:	P11W11
      OFFSETS:	47-54
       TOKENS:	P11W12-P11W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHotaram_1]
   UNSPLITVOC:	(muHotaramAt)
          POS:	ADJ+NSUFF_FEM_PL
          VOC:	muHotaram+At
        GLOSS:	esteemed/respected+[fem.pl.]

 INPUT STRING:	ومن
     IS_TRANS:	wmn
        INDEX:	P12W1
      OFFSETS:	0-3
       TOKENS:	P12W1-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(wamin)
          POS:	CONJ+PREP
          VOC:	wa+min
        GLOSS:	and+from

 INPUT STRING:	امتى
     IS_TRANS:	AmtY
        INDEX:	P12W2
      OFFSETS:	4-8
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<imotaY_1]
   UNSPLITVOC:	(<imotaY)
          POS:	REL_ADV
          VOC:	<imotaY
        GLOSS:	when

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P12W3
      OFFSETS:	9-11
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P12W4
      OFFSETS:	12-16
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who / which / whose

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P12W5
      OFFSETS:	17-19
       TOKENS:	P12W6-P12W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	محجبات
     IS_TRANS:	mHjbAt
        INDEX:	P12W6
      OFFSETS:	20-26
       TOKENS:	P12W7-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHaj~ab_1]
   UNSPLITVOC:	(muHaj~abAt)
          POS:	ADJ+NSUFF_FEM_PL
          VOC:	muHaj~ab+At
        GLOSS:	veiled+[fem.pl.]

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P12W7
      OFFSETS:	27-29
       TOKENS:	P12W8-P12W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	بيلبسوا
     IS_TRANS:	bylbswA
        INDEX:	P12W8
      OFFSETS:	30-37
       TOKENS:	P12W9-P12W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[libis_1]
   UNSPLITVOC:	(biyilobisuwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+lobis+uwA
        GLOSS:	[present-tense]+they+clothed+[masc.pl.]

 INPUT STRING:	لبس
     IS_TRANS:	lbs
        INDEX:	P12W9
      OFFSETS:	38-41
       TOKENS:	P12W11-P12W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[libos_1]
   UNSPLITVOC:	(libos)
          POS:	NOUN
          VOC:	libos
        GLOSS:	clothes/attire

 INPUT STRING:	ضيق
     IS_TRANS:	Dyq
        INDEX:	P12W10
      OFFSETS:	42-45
       TOKENS:	P12W12-P12W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Day~aq_1]
   UNSPLITVOC:	(Day~aq)
          POS:	ADJ
          VOC:	Day~aq
        GLOSS:	narrow/restricted

 INPUT STRING:	كلهم
     IS_TRANS:	klhm
        INDEX:	P12W11
      OFFSETS:	46-50
       TOKENS:	P12W13-P12W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uhum)
          POS:	NOUN_QUANT+POSS_PRON_3P
          VOC:	kul~+hum
        GLOSS:	all/whole+their

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P12W12
      OFFSETS:	51-53
       TOKENS:	P12W15-P12W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	محترمات
     IS_TRANS:	mHtrmAt
        INDEX:	P12W13
      OFFSETS:	54-61
       TOKENS:	P12W16-P12W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHotaram_1]
   UNSPLITVOC:	(muHotaramAt)
          POS:	ADJ+NSUFF_FEM_PL
          VOC:	muHotaram+At
        GLOSS:	esteemed/respected+[fem.pl.]

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P13W1
      OFFSETS:	0-3
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyoh_1]
   UNSPLITVOC:	(<iyoh)
          POS:	REL_PRON
          VOC:	<iyoh
        GLOSS:	what

 INPUT STRING:	العقول
     IS_TRANS:	AlEqwl
        INDEX:	P13W2
      OFFSETS:	4-10
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eaquwl_1]
   UNSPLITVOC:	(AlEaquwl)
          POS:	DET+NOUN
          VOC:	Al+Eaquwl
        GLOSS:	the+senses/intellects/brains

 INPUT STRING:	السطحيه
     IS_TRANS:	AlsTHyh
        INDEX:	P13W3
      OFFSETS:	11-18
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlsaToHiy~_1]
   UNSPLITVOC:	(AlsaToHiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+saToHiy~+ap
        GLOSS:	the+superficial/outward/surface+[fem.sg.]

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P13W4
      OFFSETS:	19-21
       TOKENS:	P13W4-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P14W1
      OFFSETS:	0-4
       TOKENS:	P14W1-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	owner/proprietor/owners/proprietors+our

 INPUT STRING:	يهدى
     IS_TRANS:	yhdY
        INDEX:	P14W2
      OFFSETS:	5-9
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hadaY_1]
   UNSPLITVOC:	(yihodiy)
          POS:	IV3MS+IV
          VOC:	yi+hodiy
        GLOSS:	he/it+guide/direct/lead/be guided/be directed/be led

 INPUT STRING:	ومبروك
     IS_TRANS:	wmbrwk
        INDEX:	P15W1
      OFFSETS:	0-6
       TOKENS:	P15W1-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maboruwk_1]
   UNSPLITVOC:	(wimaboruwk)
          POS:	CONJ+ADJ
