 INPUT STRING:	المصريين
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	manoTiq+ap
        GLOSS:	area/zone/territory+[fem.sg.]

 INPUT STRING:	الشرق
     IS_TRANS:	Al$rq
        INDEX:	P39W25
      OFFSETS:	128-133
       TOKENS:	P39W27-P39W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aroq_1]
   UNSPLITVOC:	(Al$~aroq)
          POS:	DET+NOUN
          VOC:	Al+$aroq
        GLOSS:	the+east/East

 INPUT STRING:	الأوسط
     IS_TRANS:	Al>wsT
        INDEX:	P39W26
      OFFSETS:	134-140
       TOKENS:	P39W28-P39W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>awsaT_1]
   UNSPLITVOC:	(Al>awsaT)
          POS:	DET+ADJ
          VOC:	Al+>awsaT
        GLOSS:	the+middle/central

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P39W27
      OFFSETS:	141-142
       TOKENS:	P39W29-P39W29
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P39W28
      OFFSETS:	142-143
       TOKENS:	P39W30-P39W30
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	ثالثا
     IS_TRANS:	vAlvA
        INDEX:	P40W1
      OFFSETS:	1-6
       TOKENS:	P40W1-P40W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vAliv_1]
   UNSPLITVOC:	(vAlivAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	vAliv+AF
        GLOSS:	third+[acc.indef.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P40W2
      OFFSETS:	7-8
       TOKENS:	P40W2-P40W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	اتفق
     IS_TRANS:	Atfq
        INDEX:	P40W3
      OFFSETS:	9-13
       TOKENS:	P40W3-P40W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ait~afaq_1]
   UNSPLITVOC:	(Aat~ifiq)
          POS:	IV1S+IV
          VOC:	Aa+t~ifiq
        GLOSS:	I+agree

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P40W4
      OFFSETS:	14-16
       TOKENS:	P40W4-P40W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maE
        GLOSS:	something with

 INPUT STRING:	السيد
     IS_TRANS:	Alsyd
        INDEX:	P40W5
      OFFSETS:	17-22
       TOKENS:	P40W5-P40W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[say~id_1]
   UNSPLITVOC:	(Als~ay~id)
          POS:	DET+NOUN
          VOC:	Al+say~id
        GLOSS:	the+Sir/Mr./Mister/Sirs/Messrs./gentlement

 INPUT STRING:	جمال
     IS_TRANS:	jmAl
        INDEX:	P40W6
      OFFSETS:	23-27
       TOKENS:	P40W6-P40W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamAl_1]
   UNSPLITVOC:	(jamAl)
          POS:	NOUN_PROP
          VOC:	jamAl
        GLOSS:	Jamal/Gamal

 INPUT STRING:	الدين
     IS_TRANS:	Aldyn
        INDEX:	P40W7
      OFFSETS:	28-33
       TOKENS:	P40W7-P40W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[diyn_2]
   UNSPLITVOC:	(Aldiyn)
          POS:	DET+NOUN_PROP
          VOC:	Al+diyn
        GLOSS:	the+Din

 INPUT STRING:	سعد
     IS_TRANS:	sEd
        INDEX:	P40W8
      OFFSETS:	34-37
       TOKENS:	P40W8-P40W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saEod_1]
   UNSPLITVOC:	(saEod)
          POS:	NOUN_PROP
          VOC:	saEod
        GLOSS:	Saad

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P40W9
      OFFSETS:	38-39
       TOKENS:	P40W9-P40W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	صراحة
     IS_TRANS:	SrAHp
        INDEX:	P40W10
      OFFSETS:	40-45
       TOKENS:	P40W10-P40W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SarAHap_1]
   UNSPLITVOC:	(SarAHap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	SarAH+ap
        GLOSS:	sincerity/candor/frankness/explicitly/openly+[fem.sg.]

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P40W11
      OFFSETS:	46-49
       TOKENS:	P40W11-P40W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	ماليش
     IS_TRANS:	mAly$
        INDEX:	P40W12
      OFFSETS:	50-55
       TOKENS:	P40W12-P40W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mAliy$)
          POS:	NEG_PART+PREP+PRON_1S+NEG_PART
          VOC:	mA+l+iy+$
        GLOSS:	not+to+I+not

 INPUT STRING:	سابق
     IS_TRANS:	sAbq
        INDEX:	P40W13
      OFFSETS:	56-60
       TOKENS:	P40W16-P40W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAbiq_1]
   UNSPLITVOC:	(sAbiq)
          POS:	ADJ
          VOC:	sAbiq
        GLOSS:	former/previous/preceding

 INPUT STRING:	معرفة
     IS_TRANS:	mErfp
        INDEX:	P40W14
      OFFSETS:	61-66
       TOKENS:	P40W17-P40W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEorifap_1]
   UNSPLITVOC:	(maEorifap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	maEorif+ap
        GLOSS:	knowledge/information+[fem.sg.]

 INPUT STRING:	بيه
     IS_TRANS:	byh
        INDEX:	P40W15
      OFFSETS:	67-70
       TOKENS:	P40W18-P40W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(biyh)
          POS:	PREP+PRON_3MS
          VOC:	bi+uh
        GLOSS:	with+he/it

 INPUT STRING:	لكن
     IS_TRANS:	lkn
        INDEX:	P40W16
      OFFSETS:	71-74
       TOKENS:	P40W20-P40W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(lakin)
          POS:	CONJ
          VOC:	lakin
        GLOSS:	But, however, yet, still, nevertheless, on the other hand

 INPUT STRING:	يشرفني
     IS_TRANS:	y$rfny
        INDEX:	P40W17
      OFFSETS:	75-81
       TOKENS:	P40W21-P40W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ar~af_1]
   UNSPLITVOC:	(yi$ar~afniy)
          POS:	IV3MS+IV+IVSUFF_DO:1S
          VOC:	yi+$ar~af+niy
        GLOSS:	he/it+honor+me

 INPUT STRING:	انى
     IS_TRANS:	AnY
        INDEX:	P40W18
      OFFSETS:	82-85
       TOKENS:	P40W23-P40W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~_1]
   UNSPLITVOC:	(>an~iy)
          POS:	SUB_CONJ+PRON_1S
          VOC:	>an~+iy
        GLOSS:	that+I

 INPUT STRING:	اتعرف
     IS_TRANS:	AtErf
        INDEX:	P40W19
      OFFSETS:	86-91
       TOKENS:	P40W25-P40W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoEar~af_1]
   UNSPLITVOC:	(AatoEar~af)
          POS:	IV1S+IV
          VOC:	Aa+toEar~af
        GLOSS:	I+know

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P40W20
      OFFSETS:	92-95
       TOKENS:	P40W26-P40W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P40W21
      OFFSETS:	96-100
       TOKENS:	P40W27-P40W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN
          VOC:	wAHid
        GLOSS:	person/ individual

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P40W22
      OFFSETS:	101-103
       TOKENS:	P40W28-P40W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	ابطال
     IS_TRANS:	AbTAl
        INDEX:	P40W23
      OFFSETS:	104-109
       TOKENS:	P40W29-P40W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baTal_1]
   UNSPLITVOC:	(AboTAl)
          POS:	NOUN
          VOC:	AboTAl
        GLOSS:	hero/champion/star/heroine/champion/star/heroes/champions/stars

 INPUT STRING:	اكتوبر
     IS_TRANS:	Aktwbr
        INDEX:	P40W24
      OFFSETS:	110-116
       TOKENS:	P40W30-P40W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ukotuwbar_1]
   UNSPLITVOC:	(>ukotuwbar)
          POS:	NOUN_PROP
          VOC:	>ukotuwbar
        GLOSS:	October

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P40W25
      OFFSETS:	117-121
       TOKENS:	P40W31-P40W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who

 INPUT STRING:	بعتبرهم
     IS_TRANS:	bEtbrhm
        INDEX:	P40W26
      OFFSETS:	122-129
       TOKENS:	P40W32-P40W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AiEtabar_1]
   UNSPLITVOC:	(biAaEtibirhum)
          POS:	PROG_PART+IV1S+IV+IVSUFF_DO:3P
          VOC:	bi+Aa+Etibir+hum
        GLOSS:	[present-tense]+I+consider+them

 INPUT STRING:	لحد
     IS_TRANS:	lHd
        INDEX:	P40W27
      OFFSETS:	130-133
       TOKENS:	P40W35-P40W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laHod_1]
   UNSPLITVOC:	(laHod)
          POS:	NOUN
          VOC:	laHod
        GLOSS:	extent/limit/level/border/frontier/limits

 INPUT STRING:	اليوم
     IS_TRANS:	Alywm
        INDEX:	P40W28
      OFFSETS:	134-139
       TOKENS:	P40W36-P40W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(Alyawm)
          POS:	DET+NOUN
          VOC:	Al+yawm
        GLOSS:	the+period

 INPUT STRING:	هما
     IS_TRANS:	hmA
        INDEX:	P40W29
      OFFSETS:	140-143
       TOKENS:	P40W37-P40W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they

 INPUT STRING:	ابطال
     IS_TRANS:	AbTAl
        INDEX:	P40W30
      OFFSETS:	144-149
       TOKENS:	P40W38-P40W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baTal_1]
   UNSPLITVOC:	(AboTAl)
          POS:	NOUN
          VOC:	AboTAl
        GLOSS:	hero/champion/star/heroine/champion/star/heroes/champions/stars

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P40W31
      OFFSETS:	150-153
       TOKENS:	P40W39-P40W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(miSor)
          POS:	NOUN_PROP
          VOC:	miSor
        GLOSS:	Egypt

 INPUT STRING:	الحقيقيين
     IS_TRANS:	AlHqyqyyn
        INDEX:	P40W32
      OFFSETS:	154-163
       TOKENS:	P40W40-P40W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haqiyqiy_1]
   UNSPLITVOC:	(AlHaqiyqiy~iyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+Haqiyqiy~+iyn
        GLOSS:	the+true+[masc.pl.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P41W1
      OFFSETS:	1-2
       TOKENS:	P41W1-P41W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	بدون
     IS_TRANS:	bdwn
        INDEX:	P41W2
      OFFSETS:	3-7
       TOKENS:	P41W2-P41W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duwn_1]
   UNSPLITVOC:	(biduwn)
          POS:	PREP+NOUN
          VOC:	bi+duwn
        GLOSS:	with/by+without/beneath/underneath/inferior/poor

 INPUT STRING:	الخوض
     IS_TRANS:	AlxwD
        INDEX:	P41W3
      OFFSETS:	8-13
       TOKENS:	P41W4-P41W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xawoD_1]
   UNSPLITVOC:	(AlxawoD)
          POS:	DET+NOUN
          VOC:	Al+xawoD
        GLOSS:	the+waging/embarking on/carrying out

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P41W4
      OFFSETS:	14-16
       TOKENS:	P41W5-P41W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	تفاصيل
     IS_TRANS:	tfASyl
        INDEX:	P41W5
      OFFSETS:	17-23
       TOKENS:	P41W6-P41W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tafoSiyl_1]
   UNSPLITVOC:	(tafASiyl)
          POS:	NOUN
          VOC:	tafASiyl
        GLOSS:	detailing/elaboration/giving details

 INPUT STRING:	عسكرية
     IS_TRANS:	Eskryp
        INDEX:	P41W6
      OFFSETS:	24-30
       TOKENS:	P41W7-P41W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokariy_1]
   UNSPLITVOC:	(Easokariy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Easokariy~+ap
        GLOSS:	military/army+[fem.sg.]

 INPUT STRING:	اعتقد
     IS_TRANS:	AEtqd
        INDEX:	P41W7
      OFFSETS:	31-36
       TOKENS:	P41W8-P41W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEotaqad_1]
   UNSPLITVOC:	(AaEotaqid)
          POS:	IV1S+IV
          VOC:	Aa+Eotaqid
        GLOSS:	I+believe

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P41W8
      OFFSETS:	37-39
       TOKENS:	P41W9-P41W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although,even if, despite, in spite of the fact that, verily, truly

 INPUT STRING:	ليبيا
     IS_TRANS:	lybyA
        INDEX:	P41W9
      OFFSETS:	40-45
       TOKENS:	P41W10-P41W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[liybyA_1]
   UNSPLITVOC:	(liybyA)
          POS:	NOUN_PROP
          VOC:	liybyA
        GLOSS:	Libya

 INPUT STRING:	ادت
     IS_TRANS:	Adt
        INDEX:	P41W10
      OFFSETS:	46-49
       TOKENS:	P41W11-P41W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aid~aY_1]
   UNSPLITVOC:	(Aid~it)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	Aid~+it
        GLOSS:	give+it/they/she

 INPUT STRING:	لمصر
     IS_TRANS:	lmSr
        INDEX:	P41W11
      OFFSETS:	50-54
       TOKENS:	P41W12-P41W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(limiSor)
          POS:	PREP+NOUN_PROP
          VOC:	li+miSor
        GLOSS:	for/to+Egypt

 INPUT STRING:	طيران
     IS_TRANS:	TyrAn
        INDEX:	P41W12
      OFFSETS:	55-60
       TOKENS:	P41W14-P41W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TayarAn_1]
   UNSPLITVOC:	(TayarAn)
          POS:	NOUN
          VOC:	TayarAn
        GLOSS:	airline/aviation

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P41W13
      OFFSETS:	61-63
       TOKENS:	P41W15-P41W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	اكتوبر
     IS_TRANS:	Aktwbr
        INDEX:	P41W14
      OFFSETS:	64-70
       TOKENS:	P41W16-P41W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ukotuwbar_1]
   UNSPLITVOC:	(>ukotuwbar)
          POS:	NOUN_PROP
          VOC:	>ukotuwbar
        GLOSS:	October

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P41W15
      OFFSETS:	71-72
       TOKENS:	P41W17-P41W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	سحبته
     IS_TRANS:	sHbth
        INDEX:	P41W16
      OFFSETS:	73-78
       TOKENS:	P41W18-P41W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[saHab_1]
   UNSPLITVOC:	(saHabituh)
          POS:	PV+PVSUFF_SUBJ:3FS+PVSUFF_DO:3MS
          VOC:	saHab+it+uh
        GLOSS:	withdraw/pull out/be pulled out/be withdrawn+she/it+it/him

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P41W17
      OFFSETS:	79-82
       TOKENS:	P41W20-P41W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	بداية
     IS_TRANS:	bdAyp
        INDEX:	P41W18
      OFFSETS:	83-88
       TOKENS:	P41W21-P41W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bidAyap_1]
   UNSPLITVOC:	(bidAyap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bidAy+ap
        GLOSS:	beginning/start+[fem.sg.]

 INPUT STRING:	الحرب
     IS_TRANS:	AlHrb
        INDEX:	P41W19
      OFFSETS:	89-94
       TOKENS:	P41W22-P41W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Harob_1]
   UNSPLITVOC:	(AlHarob)
          POS:	DET+NOUN
          VOC:	Al+Harob
        GLOSS:	the+war/warfare/wars

 INPUT STRING:	بوقت
     IS_TRANS:	bwqt
        INDEX:	P41W20
      OFFSETS:	95-99
       TOKENS:	P41W23-P41W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqot_1]
   UNSPLITVOC:	(biwaqot)
          POS:	PREP+NOUN
          VOC:	bi+waqot
        GLOSS:	with/by+time/moment/period of time

 INPUT STRING:	بسيط
     IS_TRANS:	bsyT
        INDEX:	P41W21
      OFFSETS:	100-104
       TOKENS:	P41W25-P41W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[basiyT_1]
   UNSPLITVOC:	(basiyT)
          POS:	ADJ
          VOC:	basiyT
        GLOSS:	simple/plain/okay/no problem

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P42W1
      OFFSETS:	1-2
       TOKENS:	P42W1-P42W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P42W2
      OFFSETS:	3-5
       TOKENS:	P42W2-P42W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	فعلا
     IS_TRANS:	fElA
        INDEX:	P42W3
      OFFSETS:	6-10
       TOKENS:	P42W3-P42W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(fiEolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	fiEol+AF
        GLOSS:	doing/act/action+[acc.indef.]

 INPUT STRING:	باقى
     IS_TRANS:	bAqY
        INDEX:	P42W4
      OFFSETS:	11-15
       TOKENS:	P42W4-P42W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAqiy_1]
   UNSPLITVOC:	(bAqiy)
          POS:	ADJ
          VOC:	bAqiy
        GLOSS:	remainder

 INPUT STRING:	الجيوش
     IS_TRANS:	Aljyw$
        INDEX:	P42W5
      OFFSETS:	16-22
       TOKENS:	P42W5-P42W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(Aljuyuw$)
          POS:	DET+NOUN
          VOC:	Al+juyuw$
        GLOSS:	the+army/troops

 INPUT STRING:	العربية
     IS_TRANS:	AlErbyp
        INDEX:	P42W6
      OFFSETS:	23-30
       TOKENS:	P42W6-P42W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy~ap_1]
   UNSPLITVOC:	(AlEarabiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Earabiy~+ap
        GLOSS:	the+Arab/Arabic+[fem.sg.]

 INPUT STRING:	بدأت
     IS_TRANS:	bd>t
        INDEX:	P42W7
      OFFSETS:	31-35
       TOKENS:	P42W7-P42W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bada>_1]
   UNSPLITVOC:	(bada>it)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	bada>+it
        GLOSS:	start/begin+it/they/she

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P42W8
      OFFSETS:	36-38
       TOKENS:	P42W8-P42W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	وقف
     IS_TRANS:	wqf
