 INPUT STRING:	حبيب
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	اقل
     IS_TRANS:	Aql
        INDEX:	P9W21
      OFFSETS:	99-102
       TOKENS:	P9W29-P9W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aqal~_1]
   UNSPLITVOC:	(>aqal~)
          POS:	ADJ_COMP
          VOC:	>aqal~
        GLOSS:	least

 INPUT STRING:	منك
     IS_TRANS:	mnk
        INDEX:	P9W22
      OFFSETS:	103-106
       TOKENS:	P9W30-P9W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min~ik)
          POS:	PREP+PRON_2FS
          VOC:	min~+ik
        GLOSS:	from+you

 INPUT STRING:	ايمان
     IS_TRANS:	AymAn
        INDEX:	P9W23
      OFFSETS:	107-112
       TOKENS:	P9W32-P9W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iymAn_1]
   UNSPLITVOC:	(<iymAn)
          POS:	NOUN
          VOC:	<iymAn
        GLOSS:	belief/faith/believing

 INPUT STRING:	بالعكس
     IS_TRANS:	bAlEks
        INDEX:	P9W24
      OFFSETS:	113-119
       TOKENS:	P9W33-P9W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eakos_1]
   UNSPLITVOC:	(biAlEakos)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+Eakos
        GLOSS:	with/by+the+opposite/contrary

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P9W25
      OFFSETS:	120-124
       TOKENS:	P9W35-P9W35
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~`h_1]
   UNSPLITVOC:	(All~`h)
          POS:	NOUN_PROP
          VOC:	All~`h
        GLOSS:	Allah/God

 INPUT STRING:	اعلم
     IS_TRANS:	AElm
        INDEX:	P9W26
      OFFSETS:	125-129
       TOKENS:	P9W36-P9W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aEolam_1]
   UNSPLITVOC:	(>aEolam)
          POS:	ADJ_COMP
          VOC:	>aEolam
        GLOSS:	more/most knowledgeable

 INPUT STRING:	بيا
     IS_TRANS:	byA
        INDEX:	P9W27
      OFFSETS:	130-133
       TOKENS:	P9W37-P9W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(biyA)
          POS:	PREP+PRON_1S
          VOC:	bi+yA
        GLOSS:	with+me

 INPUT STRING:	وبيكى
     IS_TRANS:	wbykY
        INDEX:	P9W28
      OFFSETS:	134-139
       TOKENS:	P9W39-P9W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(wibikiy)
          POS:	CONJ+PREP+PRON_2FS
          VOC:	wi+bi+kiy
        GLOSS:	and+with/by+you

 INPUT STRING:	وعشان
     IS_TRANS:	wE$An
        INDEX:	P9W29
      OFFSETS:	140-145
       TOKENS:	P9W42-P9W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(wiEa$a>on)
          POS:	CONJ+PREP+NOUN
          VOC:	wi+Ea+$a>on
        GLOSS:	and+on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	تبقى
     IS_TRANS:	tbqY
        INDEX:	P9W30
      OFFSETS:	146-150
       TOKENS:	P9W45-P9W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(tiboqaY)
          POS:	IV3FS+IV
          VOC:	ti+boqaY
        GLOSS:	it/they/she+remain

 INPUT STRING:	فاهمة
     IS_TRANS:	fAhmp
        INDEX:	P9W31
      OFFSETS:	151-156
       TOKENS:	P9W46-P9W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAhim_1]
   UNSPLITVOC:	(fAhomap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	fAhom+ap
        GLOSS:	understanding+[fem.sg.]

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P9W32
      OFFSETS:	157-161
       TOKENS:	P9W47-P9W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P9W33
      OFFSETS:	162-165
       TOKENS:	P9W48-P9W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	بحبه
     IS_TRANS:	bHbh
        INDEX:	P9W34
      OFFSETS:	166-170
       TOKENS:	P9W49-P9W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[AaHib~_1]
   UNSPLITVOC:	(biAaHib~uh)
          POS:	PROG_PART+IV1S+IV+IVSUFF_DO:3MS
          VOC:	bi+Aa+Hib~+uh
        GLOSS:	[present-tense]+I+love+him

 INPUT STRING:	فقط
     IS_TRANS:	fqT
        INDEX:	P9W35
      OFFSETS:	171-174
       TOKENS:	P9W52-P9W52
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faqaT_1]
   UNSPLITVOC:	(faqaT)
          POS:	ADV
          VOC:	faqaT
        GLOSS:	only

 INPUT STRING:	لانه
     IS_TRANS:	lAnh
        INDEX:	P9W36
      OFFSETS:	175-179
       TOKENS:	P9W53-P9W55
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(li<in~uh)
          POS:	PREP+SUB_CONJ+PRON_3MS
          VOC:	li+<in~+uh
        GLOSS:	for+that+he

 INPUT STRING:	مسلم
     IS_TRANS:	mslm
        INDEX:	P9W37
      OFFSETS:	180-184
       TOKENS:	P9W56-P9W56
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musolim_1]
   UNSPLITVOC:	(musolim)
          POS:	NOUN
          VOC:	musolim
        GLOSS:	Muslim

 INPUT STRING:	ورمز
     IS_TRANS:	wrmz
        INDEX:	P9W38
      OFFSETS:	185-189
       TOKENS:	P9W57-P9W58
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ramoz_1]
   UNSPLITVOC:	(wiramoz)
          POS:	CONJ+NOUN
          VOC:	wi+ramoz
        GLOSS:	and+sign/symbol/emblem

 INPUT STRING:	لكن
     IS_TRANS:	lkn
        INDEX:	P9W39
      OFFSETS:	190-193
       TOKENS:	P9W59-P9W59
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(lakin)
          POS:	CONJ
          VOC:	lakin
        GLOSS:	but

 INPUT STRING:	بكل
     IS_TRANS:	bkl
        INDEX:	P9W40
      OFFSETS:	194-197
       TOKENS:	P9W60-P9W61
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(bikul~)
          POS:	PREP+NOUN_QUANT
          VOC:	bi+kul~
        GLOSS:	with/by+all, entire, every, whole

 INPUT STRING:	صراحة
     IS_TRANS:	SrAHp
        INDEX:	P9W41
      OFFSETS:	198-203
       TOKENS:	P9W62-P9W62
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SarAHap_1]
   UNSPLITVOC:	(SarAHap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	SarAH+ap
        GLOSS:	sincerity/candor/frankness/explicitly/openly+[fem.sg.]

 INPUT STRING:	عمرى
     IS_TRANS:	EmrY
        INDEX:	P9W42
      OFFSETS:	204-208
       TOKENS:	P9W63-P9W64
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eumor_1]
   UNSPLITVOC:	(Eumoriy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Eumor+iy
        GLOSS:	age/life/ages/age groups+my

 INPUT STRING:	مافهمت
     IS_TRANS:	mAfhmt
        INDEX:	P9W43
      OFFSETS:	209-215
       TOKENS:	P9W65-P9W66
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fah~im_1]
   UNSPLITVOC:	(mA_fah~imit)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:3FS
          VOC:	mA+fah~im+it
        GLOSS:	not+understand+it/they/she

 INPUT STRING:	منه
     IS_TRANS:	mnh
        INDEX:	P9W44
      OFFSETS:	216-219
       TOKENS:	P9W67-P9W68
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min~uh)
          POS:	PREP+PRON_3MS
          VOC:	min~+uh
        GLOSS:	from+it/him

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P9W45
      OFFSETS:	220-224
       TOKENS:	P9W69-P9W69
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	حتى
     IS_TRANS:	HtY
        INDEX:	P9W46
      OFFSETS:	225-228
       TOKENS:	P9W70-P9W70
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hat~aY_2]
   UNSPLITVOC:	(Hat~aY)
          POS:	CONJ
          VOC:	Hat~aY
        GLOSS:	and/and even

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P9W47
      OFFSETS:	229-232
       TOKENS:	P9W71-P9W71
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as, when

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P9W48
      OFFSETS:	233-236
       TOKENS:	P9W72-P9W72
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	بيجى
     IS_TRANS:	byjY
        INDEX:	P9W49
      OFFSETS:	237-241
       TOKENS:	P9W73-P9W74
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[gih_1]
   UNSPLITVOC:	(biyijiy)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+jiy
        GLOSS:	[present-tense]+he/it+come

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P9W50
      OFFSETS:	242-245
       TOKENS:	P9W75-P9W75
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/some day/ever/days/day

 INPUT STRING:	الاربعاء
     IS_TRANS:	AlArbEA'
        INDEX:	P9W51
      OFFSETS:	246-254
       TOKENS:	P9W76-P9W76
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>arobiEA'_1]
   UNSPLITVOC:	(Al>arobiEA')
          POS:	DET+NOUN
          VOC:	Al+>arobiEA'
        GLOSS:	the+Wednesday

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P9W52
      OFFSETS:	255-257
       TOKENS:	P9W77-P9W77
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	برنامج
     IS_TRANS:	brnAmj
        INDEX:	P9W53
      OFFSETS:	258-264
       TOKENS:	P9W78-P9W78
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bironAmij_1]
   UNSPLITVOC:	(bironAmij)
          POS:	NOUN
          VOC:	bironAmij
        GLOSS:	program

 INPUT STRING:	فضفضة
     IS_TRANS:	fDfDp
        INDEX:	P9W54
      OFFSETS:	265-270
       TOKENS:	P9W79-P9W79
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faDofaDap_1]
   UNSPLITVOC:	(faDofaDap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	faDofaD+ap
        GLOSS:	fluttering/ampleness/corpulence/conversation+[fem.sg.]

 INPUT STRING:	الشيخ
     IS_TRANS:	Al$yx
        INDEX:	P9W55
      OFFSETS:	271-276
       TOKENS:	P9W80-P9W80
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ayx_1]
   UNSPLITVOC:	(Al$~ayx)
          POS:	DET+NOUN
          VOC:	Al+$ayx
        GLOSS:	the+Sheikh

 INPUT STRING:	الوحيد
     IS_TRANS:	AlwHyd
        INDEX:	P9W56
      OFFSETS:	277-283
       TOKENS:	P9W81-P9W81
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waHiyd_1]
   UNSPLITVOC:	(AlwaHiyd)
          POS:	DET+ADJ
          VOC:	Al+waHiyd
        GLOSS:	the+exclusive/alone/sole/only

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P9W57
      OFFSETS:	284-288
       TOKENS:	P9W82-P9W82
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	ماكنتش
     IS_TRANS:	mAknt$
        INDEX:	P9W58
      OFFSETS:	289-295
       TOKENS:	P9W83-P9W85
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(mA_kunti$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:1S+NEG_PART
          VOC:	mA+kun+t+$
        GLOSS:	not+be+I+not

 INPUT STRING:	بتكلم
     IS_TRANS:	btklm
        INDEX:	P9W59
      OFFSETS:	296-301
       TOKENS:	P9W86-P9W87
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitokal~im_1]
   UNSPLITVOC:	(bAatokal~im)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+tokal~im
        GLOSS:	[present-tense]+I+speak

 INPUT STRING:	عليه
     IS_TRANS:	Elyh
        INDEX:	P9W60
      OFFSETS:	302-306
       TOKENS:	P9W88-P9W89
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayh)
          POS:	PREP+PRON_3MS
          VOC:	EalaY+uh
        GLOSS:	on/above+him

 INPUT STRING:	وياريتك
     IS_TRANS:	wyArytk
        INDEX:	P10W1
      OFFSETS:	0-7
       TOKENS:	P10W1-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yArayot_1]
   UNSPLITVOC:	(wiyArayotak)
          POS:	CONJ+PSEUDO_VERB+PRON_2MS
          VOC:	wi+yArayot+ak
        GLOSS:	and+if only+you

 INPUT STRING:	تقوليلى
     IS_TRANS:	tqwlylY
        INDEX:	P10W2
      OFFSETS:	8-15
       TOKENS:	P10W4-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(tiquwliy_liy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS+PREP+PRON_1S
          VOC:	ti+quwl+iy+li+iy
        GLOSS:	you+said/say/be said/say/(for example)+you+to/for+I

 INPUT STRING:	كلكوا
     IS_TRANS:	klkwA
        INDEX:	P10W3
      OFFSETS:	16-21
       TOKENS:	P10W7-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~kuw)
          POS:	NOUN_QUANT+POSS_PRON_2P
          VOC:	kul~+kuw
        GLOSS:	all+you

 INPUT STRING:	برضوا
     IS_TRANS:	brDwA
        INDEX:	P10W4
      OFFSETS:	22-27
       TOKENS:	P10W9-P10W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baroDuh_1]
   UNSPLITVOC:	(baroDuh)
          POS:	ADV
          VOC:	baroDuh
        GLOSS:	also

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P10W5
      OFFSETS:	28-32
       TOKENS:	P10W10-P10W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	انتوا
     IS_TRANS:	AntwA
        INDEX:	P10W6
      OFFSETS:	33-38
       TOKENS:	P10W11-P10W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotuw_1]
   UNSPLITVOC:	(Ainotuw)
          POS:	PRON_2P
          VOC:	Ainotuw
        GLOSS:	you

 INPUT STRING:	مين
     IS_TRANS:	myn
        INDEX:	P10W7
      OFFSETS:	39-42
       TOKENS:	P10W12-P10W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(miyn)
          POS:	REL_PRON
          VOC:	miyn
        GLOSS:	who

 INPUT STRING:	الخمسة
     IS_TRANS:	Alxmsp
        INDEX:	P10W8
      OFFSETS:	43-49
       TOKENS:	P10W13-P10W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xamosap_1]
   UNSPLITVOC:	(Alxamosap)
          POS:	DET+NOUN_NUM+NSUFF_FEM_SG
          VOC:	Al+xamos+ap
        GLOSS:	the+five+[fem.sg.]

 INPUT STRING:	ستى
     IS_TRANS:	stY
        INDEX:	P10W9
      OFFSETS:	50-53
       TOKENS:	P10W14-P10W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(stY)
          POS:	TYPO
          VOC:	stY
        GLOSS:	nogloss

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P10W10
      OFFSETS:	54-58
       TOKENS:	P10W15-P10W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	علقوا
     IS_TRANS:	ElqwA
        INDEX:	P10W11
      OFFSETS:	59-64
       TOKENS:	P10W16-P10W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eal~aq_1]
   UNSPLITVOC:	(Eal~aquwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	Eal~aq+uwA
        GLOSS:	comment+they

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P10W12
      OFFSETS:	65-68
       TOKENS:	P10W17-P10W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	موضوعك
     IS_TRANS:	mwDwEk
        INDEX:	P10W13
      OFFSETS:	69-75
       TOKENS:	P10W18-P10W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(mawDuwEik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	mawDuwE+ik
        GLOSS:	subject/theme/issue+your

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P10W14
      OFFSETS:	76-78
       TOKENS:	P10W20-P10W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	احترامى
     IS_TRANS:	AHtrAmY
        INDEX:	P10W15
      OFFSETS:	79-86
       TOKENS:	P10W21-P10W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHotirAm_1]
   UNSPLITVOC:	(AiHotirAmiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	AiHotirAm+iy
        GLOSS:	respect/honoring+my

 INPUT STRING:	يامدام
     IS_TRANS:	yAmdAm
        INDEX:	P10W16
      OFFSETS:	87-93
       TOKENS:	P10W23-P10W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madAm_1]
   UNSPLITVOC:	(yAmadAm)
          POS:	VOC_PART+NOUN
          VOC:	yA+madAm
        GLOSS:	oh+madame/madam

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P10W17
      OFFSETS:	94-96
       TOKENS:	P10W25-P10W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	ياانسة
     IS_TRANS:	yAAnsp
        INDEX:	P10W18
      OFFSETS:	97-103
       TOKENS:	P10W26-P10W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|anisap_1]
   UNSPLITVOC:	(yA|anisap)
          POS:	VOC_PART+NOUN+NSUFF_FEM_SG
          VOC:	yA+|anis+ap
        GLOSS:	oh+miss+[fem.sg.]

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P10W19
      OFFSETS:	104-106
       TOKENS:	P10W28-P10W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	سطحية
     IS_TRANS:	sTHyp
        INDEX:	P10W20
      OFFSETS:	107-112
       TOKENS:	P10W29-P10W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[saToHiy~_1]
   UNSPLITVOC:	(saToHiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	saToHiy~+ap
        GLOSS:	superficial/outward/surface+[fem.sg.]

 INPUT STRING:	المشاركة
     IS_TRANS:	Alm$Arkp
        INDEX:	P11W1
      OFFSETS:	0-8
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$Arokap_1]
   UNSPLITVOC:	(Almu$Arokap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+mu$Arok+ap
        GLOSS:	the+participation/association+[fem.sg.]

 INPUT STRING:	الأصلية
     IS_TRANS:	Al>Slyp
        INDEX:	P11W2
      OFFSETS:	9-16
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AaSoliy_1]
   UNSPLITVOC:	(AlASoliy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+ASoliy~+ap
        GLOSS:	the+original+[fem.sg.]

 INPUT STRING:	كتبت
     IS_TRANS:	ktbt
        INDEX:	P11W3
      OFFSETS:	17-21
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kutib_1]
   UNSPLITVOC:	(kutibat)
          POS:	PV_PASS+PVSUFF_SUBJ:3FS
          VOC:	kutib+at
        GLOSS:	be written/be fated/be destined+it/they/she [verb]

 INPUT STRING:	بواسطة
     IS_TRANS:	bwAsTp
        INDEX:	P11W4
      OFFSETS:	22-28
       TOKENS:	P11W4-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
