 INPUT STRING:	موضوع
     IS_TRANS:	fElA
        INDEX:	P16W2
      OFFSETS:	4-8
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(fiEolAF)
          POS:	NOUN
          VOC:	fiEol
        GLOSS:	actually/in effect

 INPUT STRING:	المفروض
     IS_TRANS:	AlmfrwD
        INDEX:	P16W3
      OFFSETS:	9-16
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maforuwD_1]
   UNSPLITVOC:	(AlmaforuwD)
          POS:	DET+ADJ
          VOC:	Al+maforuwD
        GLOSS:	the+imposed/prescribed

 INPUT STRING:	الأولى
     IS_TRANS:	Al>wlY
        INDEX:	P16W4
      OFFSETS:	17-23
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>awlaY_1]
   UNSPLITVOC:	(Al>awlaY)
          POS:	DET+ADJ_COMP
          VOC:	Al+>awlaY
        GLOSS:	the+more appropriate/prior

 INPUT STRING:	انهم
     IS_TRANS:	Anhm
        INDEX:	P16W5
      OFFSETS:	24-28
       TOKENS:	P16W6-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uhum)
          POS:	SUB_CONJ+PRON_3P
          VOC:	<in~+hum
        GLOSS:	That+they

 INPUT STRING:	يستردوا
     IS_TRANS:	ystrdwA
        INDEX:	P16W6
      OFFSETS:	29-36
       TOKENS:	P16W8-P16W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisotarad~_1]
   UNSPLITVOC:	(yisotarid~uwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+sotarid~+uwA
        GLOSS:	they (people)+recover/reclaim/regain+[masc.pl.]

 INPUT STRING:	الفلوس
     IS_TRANS:	Alflws
        INDEX:	P16W7
      OFFSETS:	37-43
       TOKENS:	P16W9-P16W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[filuws_1]
   UNSPLITVOC:	(Alfiluws)
          POS:	DET+NOUN
          VOC:	Al+filuws
        GLOSS:	the+money

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P16W8
      OFFSETS:	44-48
       TOKENS:	P16W10-P16W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whose/which

 INPUT STRING:	مهربها
     IS_TRANS:	mhrbhA
        INDEX:	P16W9
      OFFSETS:	49-55
       TOKENS:	P16W11-P16W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mihorab_1]
   UNSPLITVOC:	(mihorabhA)
          POS:	ADJ+POSS_PRON_3FS
          VOC:	mihorab+hA
        GLOSS:	escape/refuge+its/their/her

 INPUT STRING:	مبارك
     IS_TRANS:	mbArk
        INDEX:	P16W10
      OFFSETS:	56-61
       TOKENS:	P16W13-P16W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArak)
          POS:	NOUN_PROP
          VOC:	mubArak
        GLOSS:	Mubarak

 INPUT STRING:	والحرميه
     IS_TRANS:	wAlHrmyh
        INDEX:	P16W11
      OFFSETS:	62-70
       TOKENS:	P16W14-P16W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HarAmy_1]
   UNSPLITVOC:	(wiAlHarAmy~ap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+HarAmy+ap
        GLOSS:	and+the+Thieves+[fem.sg.]

 INPUT STRING:	والوزراء
     IS_TRANS:	wAlwzrA'
        INDEX:	P16W12
      OFFSETS:	71-79
       TOKENS:	P16W16-P16W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waziyr_1]
   UNSPLITVOC:	(wiAlwuzarA')
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+wuzarA'
        GLOSS:	and+the+ministers

 INPUT STRING:	ودى
     IS_TRANS:	wdY
        INDEX:	P16W13
      OFFSETS:	80-83
       TOKENS:	P16W18-P16W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(widiy)
          POS:	SUB_CONJ+DEM_PRON_FS
          VOC:	wi+diy
        GLOSS:	while+this

 INPUT STRING:	بالمليارات
     IS_TRANS:	bAlmlyArAt
        INDEX:	P16W14
      OFFSETS:	84-94
       TOKENS:	P16W20-P16W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miloyAr_1]
   UNSPLITVOC:	(biAlmiloyArAt)
          POS:	PART+DET+NOUN_NUM+NSUFF_FEM_PL
          VOC:	bi+Al+miloyAr+At
        GLOSS:	[part.]+the+billions+[fem.pl.]

 INPUT STRING:	وبعد
     IS_TRANS:	wbEd
        INDEX:	P16W15
      OFFSETS:	95-99
       TOKENS:	P16W22-P16W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(wibaEod)
          POS:	CONJ+NOUN
          VOC:	wi+baEod
        GLOSS:	and+after

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P16W16
      OFFSETS:	100-103
       TOKENS:	P16W24-P16W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	that

 INPUT STRING:	يبقى
     IS_TRANS:	ybqY
        INDEX:	P16W17
      OFFSETS:	104-108
       TOKENS:	P16W25-P16W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(yiboqaY)
          POS:	IV3MS+IV
          VOC:	yi+boqaY
        GLOSS:	he/it+become

 INPUT STRING:	يشحتوا
     IS_TRANS:	y$HtwA
        INDEX:	P16W18
      OFFSETS:	109-115
       TOKENS:	P16W26-P16W26
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(y$HtwA)
          POS:	NO_FUNC
          VOC:	y$HtwA
        GLOSS:	nogloss

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P16W19
      OFFSETS:	116-118
       TOKENS:	P16W27-P16W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P16W20
      OFFSETS:	119-124
       TOKENS:	P16W28-P16W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation/peoples/nations

 INPUT STRING:	الغلبان
     IS_TRANS:	AlglbAn
        INDEX:	P16W21
      OFFSETS:	125-132
       TOKENS:	P16W29-P16W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[galobAn_1]
   UNSPLITVOC:	(AlgalobAn)
          POS:	DET+ADJ
          VOC:	Al+galobAn
        GLOSS:	the+poor

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P17W1
      OFFSETS:	0-5
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/country/countries

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P17W2
      OFFSETS:	6-10
       TOKENS:	P17W2-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+it/them/her

 INPUT STRING:	خير
     IS_TRANS:	xyr
        INDEX:	P17W3
      OFFSETS:	11-14
       TOKENS:	P17W4-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xayr_1]
   UNSPLITVOC:	(xayr)
          POS:	NOUN
          VOC:	xayr
        GLOSS:	good

 INPUT STRING:	كتير
     IS_TRANS:	ktyr
        INDEX:	P17W4
      OFFSETS:	15-19
       TOKENS:	P17W5-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitiyr_1]
   UNSPLITVOC:	(kitiyr)
          POS:	ADJ
          VOC:	kitiyr
        GLOSS:	much/more

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P17W5
      OFFSETS:	20-22
       TOKENS:	P17W6-P17W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	هما
     IS_TRANS:	hmA
        INDEX:	P17W6
      OFFSETS:	23-26
       TOKENS:	P17W7-P17W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they

 INPUT STRING:	ناهبينه
     IS_TRANS:	nAhbynh
        INDEX:	P17W7
      OFFSETS:	27-34
       TOKENS:	P17W8-P17W8
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(nAhbynh)
          POS:	NO_FUNC
          VOC:	nAhbynh
        GLOSS:	nogloss

 INPUT STRING:	وباصين
     IS_TRANS:	wbASyn
        INDEX:	P17W8
      OFFSETS:	35-41
       TOKENS:	P17W9-P17W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bASiS_1]
   UNSPLITVOC:	(wibAS~iyn)
          POS:	CONJ+ADJ+NSUFF_MASC_PL
          VOC:	wi+bAS~+iyn
        GLOSS:	and+looking at+[masc.pl.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P17W9
      OFFSETS:	42-45
       TOKENS:	P17W11-P17W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P17W10
      OFFSETS:	46-50
       TOKENS:	P17W12-P17W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whose/which

 INPUT STRING:	فايدين
     IS_TRANS:	fAydyn
        INDEX:	P17W11
      OFFSETS:	51-57
       TOKENS:	P17W13-P17W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aiyd_1]
   UNSPLITVOC:	(fiAiydiyn)
          POS:	PREP+NOUN+NSUFF_MASC_PL
          VOC:	fi+Aiyd+iyn
        GLOSS:	in+hands+[masc.pl.]

 INPUT STRING:	الغلابه
     IS_TRANS:	AlglAbh
        INDEX:	P17W12
      OFFSETS:	58-65
       TOKENS:	P17W15-P17W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[galoban_1]
   UNSPLITVOC:	(AlgalAbap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+galAb+ap
        GLOSS:	the+poor+[fem.sg.]

 INPUT STRING:	والشيخ
     IS_TRANS:	wAl$yx
        INDEX:	P18W1
      OFFSETS:	0-6
       TOKENS:	P18W1-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ayx_1]
   UNSPLITVOC:	(wiAl$ayx)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+$ayx
        GLOSS:	and+the+Sheikh

 INPUT STRING:	محمد
     IS_TRANS:	mHmd
        INDEX:	P18W2
      OFFSETS:	7-11
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHam~ad_1]
   UNSPLITVOC:	(maHam~ad)
          POS:	NOUN_PROP
          VOC:	maHam~ad
        GLOSS:	Muhammad/Mahamed

 INPUT STRING:	حسان
     IS_TRANS:	HsAn
        INDEX:	P18W3
      OFFSETS:	12-16
       TOKENS:	P18W4-P18W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Has~An_1]
   UNSPLITVOC:	(Has~An)
          POS:	NOUN_PROP
          VOC:	Has~An
        GLOSS:	Hassan

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P18W4
      OFFSETS:	17-21
       TOKENS:	P18W5-P18W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	أعلم
     IS_TRANS:	>Elm
        INDEX:	P18W5
      OFFSETS:	22-26
       TOKENS:	P18W6-P18W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aEolam_1]
   UNSPLITVOC:	(>aEolam)
          POS:	ADJ_COMP
          VOC:	>aEolam
        GLOSS:	more/most knowledgeable

 INPUT STRING:	بنواياه
     IS_TRANS:	bnwAyAh
        INDEX:	P18W6
      OFFSETS:	27-34
       TOKENS:	P18W7-P18W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[niy~ap_1]
   UNSPLITVOC:	(binawAyAhu)
          POS:	PREP+NOUN+POSS_PRON_3MS
          VOC:	bi+nawAyA+hu
        GLOSS:	with/by+intentions/desires+its/his

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P19W1
      OFFSETS:	0-4
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	اعلم
     IS_TRANS:	AElm
        INDEX:	P19W2
      OFFSETS:	5-9
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aEolam_1]
   UNSPLITVOC:	(>aEolam)
          POS:	ADJ_COMP
          VOC:	>aEolam
        GLOSS:	more/most knowledgeable

 INPUT STRING:	بنواياه
     IS_TRANS:	bnwAyAh
        INDEX:	P19W3
      OFFSETS:	10-17
       TOKENS:	P19W3-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[niy~ap_1]
   UNSPLITVOC:	(binawAyAh)
          POS:	PREP+NOUN+POSS_PRON_3MS
          VOC:	bi+nawAyA+h
        GLOSS:	with/by+intentions/desires+its/his

 INPUT STRING:	فعلا
     IS_TRANS:	fElA
        INDEX:	P19W4
      OFFSETS:	18-22
       TOKENS:	P19W6-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(fiEolAF)
          POS:	NOUN
          VOC:	fiEol
        GLOSS:	actually/in effect

 INPUT STRING:	لانها
     IS_TRANS:	lAnhA
        INDEX:	P19W5
      OFFSETS:	23-28
       TOKENS:	P19W7-P19W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(li<in~ahA)
          POS:	PREP+SUB_CONJ+PRON_3FS
          VOC:	li+<in~+hA
        GLOSS:	to/for+that+it/she

 INPUT STRING:	خير
     IS_TRANS:	xyr
        INDEX:	P19W6
      OFFSETS:	29-32
       TOKENS:	P19W10-P19W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xayr_1]
   UNSPLITVOC:	(xayr)
          POS:	NOUN
          VOC:	xayr
        GLOSS:	good

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P19W7
      OFFSETS:	33-35
       TOKENS:	P19W11-P19W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although,even if, despite, in spite of the fact that, verily, truly

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P19W8
      OFFSETS:	36-39
       TOKENS:	P19W12-P19W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P19W9
      OFFSETS:	40-44
       TOKENS:	P19W13-P19W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P19W10
      OFFSETS:	45-47
       TOKENS:	P19W14-P19W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	حتى
     IS_TRANS:	HtY
        INDEX:	P19W11
      OFFSETS:	48-51
       TOKENS:	P19W15-P19W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	PART
          VOC:	Hat~aY
        GLOSS:	even/including

 INPUT STRING:	الراجل
     IS_TRANS:	AlrAjl
        INDEX:	P19W12
      OFFSETS:	52-58
       TOKENS:	P19W16-P19W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAjil_1]
   UNSPLITVOC:	(Alr~Ajil)
          POS:	DET+NOUN
          VOC:	Al+rAjil
        GLOSS:	the+man

 INPUT STRING:	سابها
     IS_TRANS:	sAbhA
        INDEX:	P19W13
      OFFSETS:	59-64
       TOKENS:	P19W17-P19W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAb_1]
   UNSPLITVOC:	(sAbhA)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3FS
          VOC:	sAb+(null)+hA
        GLOSS:	Leave+he/it+it/them/her

 INPUT STRING:	خالص
     IS_TRANS:	xAlS
        INDEX:	P19W14
      OFFSETS:	65-69
       TOKENS:	P19W19-P19W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAliS_1]
   UNSPLITVOC:	(xAliS)
          POS:	ADJ
          VOC:	xAliS
        GLOSS:	never

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P19W15
      OFFSETS:	70-72
       TOKENS:	P19W20-P19W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he

 INPUT STRING:	مجرد
     IS_TRANS:	mjrd
        INDEX:	P19W16
      OFFSETS:	73-77
       TOKENS:	P19W21-P19W21
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mjrd)
          POS:	NO_FUNC
          VOC:	mjrd
        GLOSS:	nogloss

 INPUT STRING:	طرح
     IS_TRANS:	TrH
        INDEX:	P19W17
      OFFSETS:	78-81
       TOKENS:	P19W22-P19W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaraH_1]
   UNSPLITVOC:	(TaraH)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	TaraH+(null)
        GLOSS:	submit/suggest/propose+he/it [verb]

 INPUT STRING:	الفكرة
     IS_TRANS:	Alfkrp
        INDEX:	P19W18
      OFFSETS:	82-88
       TOKENS:	P19W23-P19W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikorap_1]
   UNSPLITVOC:	(Alfikorap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+fikor+ap
        GLOSS:	the+idea/notion/concept+[fem.sg.]

 INPUT STRING:	لوجه
     IS_TRANS:	lwjh
        INDEX:	P19W19
      OFFSETS:	89-93
       TOKENS:	P19W24-P19W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wajoh_1]
   UNSPLITVOC:	(liwajoh)
          POS:	PREP+NOUN
          VOC:	li+wajoh
        GLOSS:	for/to+side/aspect

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P19W20
      OFFSETS:	94-98
       TOKENS:	P19W26-P19W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	ثم
     IS_TRANS:	vm
        INDEX:	P19W21
      OFFSETS:	99-101
       TOKENS:	P19W27-P19W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vum~a_1]
   UNSPLITVOC:	(vum~a)
          POS:	CONJ
          VOC:	vum~a
        GLOSS:	then, afterwards, next, moreover

 INPUT STRING:	الحفاظ
     IS_TRANS:	AlHfAZ
        INDEX:	P19W22
      OFFSETS:	102-108
       TOKENS:	P19W28-P19W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HifAZ_1]
   UNSPLITVOC:	(AlHifAZ)
          POS:	DET+NOUN
          VOC:	Al+HifAZ
        GLOSS:	the+preservation/guarding

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P19W23
      OFFSETS:	109-112
       TOKENS:	P19W29-P19W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	كرامة
     IS_TRANS:	krAmp
        INDEX:	P19W24
      OFFSETS:	113-118
       TOKENS:	P19W30-P19W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[karAmap_1]
   UNSPLITVOC:	(karAmap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	karAm+ap
        GLOSS:	dignity/generosity+[fem.sg.]

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P19W25
      OFFSETS:	119-122
       TOKENS:	P19W31-P19W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	وتركها
     IS_TRANS:	wtrkhA
        INDEX:	P19W26
      OFFSETS:	123-129
       TOKENS:	P19W32-P19W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tarak_1]
   UNSPLITVOC:	(witarakhA)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3FS
          VOC:	wi+tarak+(null)+hA
        GLOSS:	and+leave/quit/be left/be abandoned+he/it+it/them/her

 INPUT STRING:	لغيره
     IS_TRANS:	lgyrh
        INDEX:	P19W27
      OFFSETS:	130-135
       TOKENS:	P19W35-P19W37
