 INPUT STRING:	دة
          VOC:	Al+>amor
        GLOSS:	the+matter/issue/matters/issues/order/command/orders/commands

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P41W6
      OFFSETS:	24-25
       TOKENS:	P41W7-P41W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P41W7
      OFFSETS:	26-28
       TOKENS:	P41W8-P41W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	That/to/for

 INPUT STRING:	الحكمين
     IS_TRANS:	AlHkmyn
        INDEX:	P41W8
      OFFSETS:	29-36
       TOKENS:	P41W9-P41W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hukm_1]
   UNSPLITVOC:	(AlHukmiyn)
          POS:	DET+NOUN+NSUFF_MASC_DU
          VOC:	Al+Hukm+iyn
        GLOSS:	the+judgment/decision/verdict+two

 INPUT STRING:	دول
     IS_TRANS:	dwl
        INDEX:	P41W9
      OFFSETS:	37-40
       TOKENS:	P41W10-P41W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawol_1]
   UNSPLITVOC:	(dawol)
          POS:	DEM_PRON_P
          VOC:	dawol
        GLOSS:	these/this/this [pl.]/those

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P41W10
      OFFSETS:	41-43
       TOKENS:	P41W11-P41W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P41W11
      OFFSETS:	44-46
       TOKENS:	P41W12-P41W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	زمنين
     IS_TRANS:	zmnyn
        INDEX:	P41W12
      OFFSETS:	47-52
       TOKENS:	P41W13-P41W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[zaman_1]
   UNSPLITVOC:	(zamaniyn)
          POS:	NOUN+NSUFF_MASC_DU
          VOC:	zaman+iyn
        GLOSS:	time/period/duration+two

 INPUT STRING:	مختلفين
     IS_TRANS:	mxtlfyn
        INDEX:	P41W13
      OFFSETS:	53-60
       TOKENS:	P41W14-P41W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muxtalif_1]
   UNSPLITVOC:	(muxtalifiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	muxtalif+iyn
        GLOSS:	different/various+two

 INPUT STRING:	مثلاً
     IS_TRANS:	mvlAF
        INDEX:	P41W14
      OFFSETS:	61-66
       TOKENS:	P41W15-P41W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maval_1]
   UNSPLITVOC:	(mavalAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	maval+AF
        GLOSS:	for example+[acc.indef.]

 INPUT STRING:	فنقول
     IS_TRANS:	fnqwl
        INDEX:	P41W15
      OFFSETS:	67-72
       TOKENS:	P41W16-P41W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(faniquwl)
          POS:	CONJ+IV1P+IV
          VOC:	fa+ni+quwl
        GLOSS:	so/and+we+said/say/be said/(for example)

 INPUT STRING:	الدنيا
     IS_TRANS:	AldnyA
        INDEX:	P41W16
      OFFSETS:	73-79
       TOKENS:	P41W18-P41W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dunoyA_1]
   UNSPLITVOC:	(Ald~unoyA)
          POS:	DET+NOUN
          VOC:	Al+dunoyA
        GLOSS:	the+world/worlds

 INPUT STRING:	بتتغير
     IS_TRANS:	bttgyr
        INDEX:	P41W17
      OFFSETS:	80-86
       TOKENS:	P41W19-P41W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitogay~ar_1]
   UNSPLITVOC:	(bititogay~ar)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+togay~ar
        GLOSS:	[present-tense]+it/they/she+be changed/modify/be modified/change

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P41W18
      OFFSETS:	86-87
       TOKENS:	P41W21-P41W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P41W19
      OFFSETS:	87-88
       TOKENS:	P41W22-P41W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P41W20
      OFFSETS:	89-92
       TOKENS:	P41W23-P41W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or/nor/neither

 INPUT STRING:	ف
     IS_TRANS:	f
        INDEX:	P41W21
      OFFSETS:	93-94
       TOKENS:	P41W24-P41W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in/about

 INPUT STRING:	محكمتين
     IS_TRANS:	mHkmtyn
        INDEX:	P41W22
      OFFSETS:	95-102
       TOKENS:	P41W25-P41W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maHkamap_1]
   UNSPLITVOC:	(maHkamtiyn)
          POS:	NOUN+NSUFF_FEM_DU
          VOC:	maHkam+tiyn
        GLOSS:	court/tribunal+two

 INPUT STRING:	مختلفتين
     IS_TRANS:	mxtlftyn
        INDEX:	P41W23
      OFFSETS:	103-111
       TOKENS:	P41W26-P41W26
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mxtlftyn)
          POS:	NO_FUNC
          VOC:	mxtlftyn
        GLOSS:	nogloss

 INPUT STRING:	مثلاً
     IS_TRANS:	mvlAF
        INDEX:	P41W24
      OFFSETS:	112-117
       TOKENS:	P41W27-P41W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maval_1]
   UNSPLITVOC:	(mavalAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	maval+AF
        GLOSS:	for example+[acc.indef.]

 INPUT STRING:	فنقول
     IS_TRANS:	fnqwl
        INDEX:	P41W25
      OFFSETS:	118-123
       TOKENS:	P41W28-P41W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(faniquwl)
          POS:	CONJ+IV1P+IV
          VOC:	fa+ni+quwl
        GLOSS:	so/and+we+said/say/be said/(for example)

 INPUT STRING:	إختلاف
     IS_TRANS:	<xtlAf
        INDEX:	P41W26
      OFFSETS:	124-130
       TOKENS:	P41W30-P41W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ixotilAf_1]
   UNSPLITVOC:	(<ixotilAf)
          POS:	NOUN
          VOC:	<ixotilAf
        GLOSS:	variance/disagreement/difference

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P41W27
      OFFSETS:	131-133
       TOKENS:	P41W31-P41W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	وجهات
     IS_TRANS:	wjhAt
        INDEX:	P41W28
      OFFSETS:	134-139
       TOKENS:	P41W32-P41W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wajohap_1]
   UNSPLITVOC:	(wajohAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	wajoh+At
        GLOSS:	point of view/angle/points of view/angles+[fem.pl.]

 INPUT STRING:	النظر
     IS_TRANS:	AlnZr
        INDEX:	P41W29
      OFFSETS:	140-145
       TOKENS:	P41W33-P41W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naZar_1]
   UNSPLITVOC:	(Aln~aZar)
          POS:	DET+NOUN
          VOC:	Al+naZar
        GLOSS:	the+view/look/seeing/eye-sight/glances/looking/in view (of)

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P41W30
      OFFSETS:	145-146
       TOKENS:	P41W34-P41W34
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P41W31
      OFFSETS:	146-147
       TOKENS:	P41W35-P41W35
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P42W1
      OFFSETS:	0-2
       TOKENS:	P42W1-P42W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	these/this

 INPUT STRING:	الحكمين
     IS_TRANS:	AlHkmyn
        INDEX:	P42W2
      OFFSETS:	3-10
       TOKENS:	P42W2-P42W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hukm_1]
   UNSPLITVOC:	(AlHukmiyn)
          POS:	DET+NOUN+NSUFF_MASC_DU
          VOC:	Al+Hukm+iyn
        GLOSS:	the+judgment/decision/verdict+two

 INPUT STRING:	المتناقضين
     IS_TRANS:	AlmtnAqDyn
        INDEX:	P42W3
      OFFSETS:	11-21
       TOKENS:	P42W3-P42W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(AlmtnAqDyn)
          POS:	NO_FUNC
          VOC:	AlmtnAqDyn
        GLOSS:	nogloss

 INPUT STRING:	دول
     IS_TRANS:	dwl
        INDEX:	P42W4
      OFFSETS:	22-25
       TOKENS:	P42W4-P42W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawol_1]
   UNSPLITVOC:	(dawol)
          POS:	DEM_PRON_P
          VOC:	dawol
        GLOSS:	these/this/this [pl.]/those

 INPUT STRING:	كلاهما
     IS_TRANS:	klAhmA
        INDEX:	P42W5
      OFFSETS:	26-32
       TOKENS:	P42W5-P42W5
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(klAhmA)
          POS:	NO_FUNC
          VOC:	klAhmA
        GLOSS:	nogloss

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P42W6
      OFFSETS:	33-35
       TOKENS:	P42W6-P42W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	محكمة
     IS_TRANS:	mHkmp
        INDEX:	P42W7
      OFFSETS:	36-41
       TOKENS:	P42W7-P42W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHokamap_1]
   UNSPLITVOC:	(maHokamap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	maHokam+ap
        GLOSS:	court/tribunal/courts/tribunals+[fem.sg.]

 INPUT STRING:	مجلس
     IS_TRANS:	mjls
        INDEX:	P42W8
      OFFSETS:	42-46
       TOKENS:	P42W8-P42W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(majolis)
          POS:	NOUN
          VOC:	majolis
        GLOSS:	council/board/Majlis/councils/boards

 INPUT STRING:	الدولة
     IS_TRANS:	Aldwlp
        INDEX:	P42W9
      OFFSETS:	47-53
       TOKENS:	P42W9-P42W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(Ald~awlap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+dawl+ap
        GLOSS:	the+state/country/states/countries+[fem.sg.]

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P42W10
      OFFSETS:	54-55
       TOKENS:	P42W10-P42W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	القضاء
     IS_TRANS:	AlqDA'
        INDEX:	P42W11
      OFFSETS:	56-62
       TOKENS:	P42W11-P42W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaDA'_1]
   UNSPLITVOC:	(AlqaDA')
          POS:	DET+NOUN
          VOC:	Al+qaDA'
        GLOSS:	the+justice/judiciary/extermination/annihilation/spending (time)/district/province/districts

 INPUT STRING:	الإداري
     IS_TRANS:	Al<dAry
        INDEX:	P42W12
      OFFSETS:	63-70
       TOKENS:	P42W12-P42W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<idAriy_1]
   UNSPLITVOC:	(Al<idAriy)
          POS:	DET+ADJ
          VOC:	Al+<idAriy
        GLOSS:	the+administrative/management/departmental/officer/administratively/officially

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P42W13
      OFFSETS:	71-72
       TOKENS:	P42W13-P42W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	وصاحبهم
     IS_TRANS:	wSAHbhm
        INDEX:	P42W14
      OFFSETS:	73-80
       TOKENS:	P42W14-P42W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAHib_1]
   UNSPLITVOC:	(wiSAHibhum)
          POS:	CONJ+NOUN+POSS_PRON_3P
          VOC:	wi+SAHib+hum
        GLOSS:	and+owner/originator/owners/originators/friend/companion/friends/companions+their

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P42W15
      OFFSETS:	81-83
       TOKENS:	P42W17-P42W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he

 INPUT STRING:	القاضي
     IS_TRANS:	AlqADy
        INDEX:	P42W16
      OFFSETS:	84-90
       TOKENS:	P42W18-P42W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qADiy_1]
   UNSPLITVOC:	(AlqADiy)
          POS:	DET+NOUN
          VOC:	Al+qADiy
        GLOSS:	the+judge/magistrate/judges/magistrates

 INPUT STRING:	محمد
     IS_TRANS:	mHmd
        INDEX:	P42W17
      OFFSETS:	92-96
       TOKENS:	P42W19-P42W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHam~ad_1]
   UNSPLITVOC:	(maHam~ad)
          POS:	NOUN_PROP
          VOC:	maHam~ad
        GLOSS:	Muhammad/Mohamed

 INPUT STRING:	الحسيني
     IS_TRANS:	AlHsyny
        INDEX:	P42W18
      OFFSETS:	97-104
       TOKENS:	P42W20-P42W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Husiyniy_1]
   UNSPLITVOC:	(AlHusiyniy)
          POS:	DET+NOUN_PROP
          VOC:	Al+Husiyniy
        GLOSS:	the+Hussieny

 INPUT STRING:	رئيس
     IS_TRANS:	r}ys
        INDEX:	P42W19
      OFFSETS:	106-110
       TOKENS:	P42W21-P42W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(ra}iys)
          POS:	NOUN
          VOC:	ra}iys
        GLOSS:	president/head/chairman/presidents

 INPUT STRING:	محكمة
     IS_TRANS:	mHkmp
        INDEX:	P42W20
      OFFSETS:	111-116
       TOKENS:	P42W22-P42W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHokamap_1]
   UNSPLITVOC:	(maHokamap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	maHokam+ap
        GLOSS:	court/tribunal/courts/tribunals+[fem.sg.]

 INPUT STRING:	القضاء
     IS_TRANS:	AlqDA'
        INDEX:	P42W21
      OFFSETS:	117-123
       TOKENS:	P42W23-P42W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaDA'_1]
   UNSPLITVOC:	(AlqaDA')
          POS:	DET+NOUN
          VOC:	Al+qaDA'
        GLOSS:	the+justice/judiciary/extermination/annihilation/spending (time)/district/province/districts

 INPUT STRING:	الإداري
     IS_TRANS:	Al<dAry
        INDEX:	P42W22
      OFFSETS:	124-131
       TOKENS:	P42W24-P42W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<idAriy_1]
   UNSPLITVOC:	(Al<idAriy)
          POS:	DET+ADJ
          VOC:	Al+<idAriy
        GLOSS:	the+administrative/management/departmental/officer/administratively/officially

 INPUT STRING:	الحالي
     IS_TRANS:	AlHAly
        INDEX:	P42W23
      OFFSETS:	132-138
       TOKENS:	P42W25-P42W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAliy_1]
   UNSPLITVOC:	(AlHAliy)
          POS:	DET+ADJ
          VOC:	Al+HAliy
        GLOSS:	the+current/present

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P42W24
      OFFSETS:	138-139
       TOKENS:	P42W26-P42W26
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P42W25
      OFFSETS:	139-140
       TOKENS:	P42W27-P42W27
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P42W26
      OFFSETS:	141-145
       TOKENS:	P42W28-P42W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern/be meant/be signified/be concerned (with)

 INPUT STRING:	بيقول
     IS_TRANS:	byqwl
        INDEX:	P42W27
      OFFSETS:	146-151
       TOKENS:	P42W29-P42W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(biyiquwl)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+quwl
        GLOSS:	[present-tense]+he/it+said/say/be said/(for example)

 INPUT STRING:	زي
     IS_TRANS:	zy
        INDEX:	P42W28
      OFFSETS:	152-154
       TOKENS:	P42W31-P42W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay_1]
   UNSPLITVOC:	(zaY)
          POS:	NOUN
          VOC:	zaY
        GLOSS:	like/such as

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P42W29
      OFFSETS:	155-157
       TOKENS:	P42W32-P42W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that/if/unless/whether/as long as/as soon as

 INPUT STRING:	هوه
     IS_TRANS:	hwh
        INDEX:	P42W30
      OFFSETS:	158-161
       TOKENS:	P42W33-P42W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[huw~ah_1]
   UNSPLITVOC:	(huw~ah)
          POS:	PRON_3MS
          VOC:	huw~ah
        GLOSS:	it/he

 INPUT STRING:	عايز
     IS_TRANS:	EAyz
        INDEX:	P42W31
      OFFSETS:	162-166
       TOKENS:	P42W34-P42W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyiz)
          POS:	ADJ
          VOC:	EAyiz
        GLOSS:	wanting

 INPUT STRING:	ولسه
     IS_TRANS:	wlsh
        INDEX:	P42W32
      OFFSETS:	167-171
       TOKENS:	P42W35-P42W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(wilis~ah)
          POS:	CONJ+ADV
          VOC:	wi+lis~ah
        GLOSS:	and+still/not yet

 INPUT STRING:	موجود
     IS_TRANS:	mwjwd
        INDEX:	P42W33
      OFFSETS:	172-177
       TOKENS:	P42W37-P42W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawjuwd_1]
   UNSPLITVOC:	(mawjuwd)
          POS:	ADJ
          VOC:	mawjuwd
        GLOSS:	present/existing/found

 INPUT STRING:	وفي
     IS_TRANS:	wfy
        INDEX:	P42W34
      OFFSETS:	178-181
       TOKENS:	P42W38-P42W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(wafiy)
          POS:	CONJ+PREP
          VOC:	wa+fiy
        GLOSS:	and+in

 INPUT STRING:	منصبه
     IS_TRANS:	mnSbh
        INDEX:	P42W35
      OFFSETS:	182-187
       TOKENS:	P42W40-P42W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[manSib_1]
   UNSPLITVOC:	(manSibuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	manSib+uh
        GLOSS:	post/position/office/posts/positions/offices+his/its

 INPUT STRING:	عادي
     IS_TRANS:	EAdy
        INDEX:	P42W36
      OFFSETS:	188-192
       TOKENS:	P42W42-P42W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAdiy_1]
   UNSPLITVOC:	(EAdiy)
          POS:	NOUN
          VOC:	EAdiy
        GLOSS:	aggressive/hostile/ordinary/normal/regular/chaser/plain

 INPUT STRING:	خالص
     IS_TRANS:	xAlS
        INDEX:	P42W37
      OFFSETS:	193-197
       TOKENS:	P42W43-P42W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAliS_1]
   UNSPLITVOC:	(xAliS)
          POS:	ADJ
          VOC:	xAliS
        GLOSS:	pure/clear/sincere

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P42W38
      OFFSETS:	197-198
       TOKENS:	P42W44-P42W44
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P42W39
      OFFSETS:	198-199
       TOKENS:	P42W45-P42W45
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
