 INPUT STRING:	يرحم
 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P8W4
      OFFSETS:	20-23
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/some day/ever/day

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P8W5
      OFFSETS:	24-26
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P8W6
      OFFSETS:	27-30
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/some day/ever/day

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P9W1
      OFFSETS:	0-2
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P9W2
      OFFSETS:	3-6
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/some day/ever/day

 INPUT STRING:	بيتطلع
     IS_TRANS:	bytTlE
        INDEX:	P9W3
      OFFSETS:	7-13
       TOKENS:	P9W3-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[TalaE_1]
   UNSPLITVOC:	(biyiTolaE)
          POS:	PROG_PART+IV3MS+IV_PASS
          VOC:	bi+yi+TolaE
        GLOSS:	[present-tense]+he/it+be out

 INPUT STRING:	جذورنا
     IS_TRANS:	j*wrnA
        INDEX:	P9W4
      OFFSETS:	14-20
       TOKENS:	P9W5-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ji*or_1]
   UNSPLITVOC:	(ju*uwrnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	ju*uwr+nA
        GLOSS:	roots/stubs+our

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P9W5
      OFFSETS:	21-23
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الارض
     IS_TRANS:	AlArD
        INDEX:	P9W6
      OFFSETS:	24-29
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aroD_1]
   UNSPLITVOC:	(Al>aroD)
          POS:	DET+NOUN
          VOC:	Al+>aroD
        GLOSS:	the+earth/territory/land/territories/land/earth/lands/territories

 INPUT STRING:	وشجرتنا
     IS_TRANS:	w$jrtnA
        INDEX:	P9W7
      OFFSETS:	30-37
       TOKENS:	P9W9-P9W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$ajarap_1]
   UNSPLITVOC:	(wa$ajaratnA)
          POS:	CONJ+NOUN+NSUFF_FEM_SG+POSS_PRON_1P
          VOC:	wa+$ajar+ap+nA
        GLOSS:	and+tree+[fem.sg.]+our

 INPUT STRING:	بتميل
     IS_TRANS:	btmyl
        INDEX:	P9W8
      OFFSETS:	38-43
       TOKENS:	P9W12-P9W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAl_1]
   UNSPLITVOC:	(bitimiyl)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+miyl
        GLOSS:	[present-tense]+she\it+bend

 INPUT STRING:	واخشى
     IS_TRANS:	wAx$Y
        INDEX:	P9W9
      OFFSETS:	44-49
       TOKENS:	P9W14-P9W14
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wAx$Y)
          POS:	NO_FUNC
          VOC:	wAx$Y
        GLOSS:	nogloss

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P9W10
      OFFSETS:	50-52
       TOKENS:	P9W15-P9W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	what/which

 INPUT STRING:	اخشاه
     IS_TRANS:	Ax$Ah
        INDEX:	P9W11
      OFFSETS:	53-58
       TOKENS:	P9W16-P9W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xa$iy_1]
   UNSPLITVOC:	(>axo$Ah)
          POS:	IV1S+IV+IVSUFF_DO:3MS
          VOC:	>a+xo$A+h
        GLOSS:	I+fear/be afraid+it/him

 INPUT STRING:	وقوع
     IS_TRANS:	wqwE
        INDEX:	P9W12
      OFFSETS:	59-63
       TOKENS:	P9W18-P9W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wuquwE_1]
   UNSPLITVOC:	(wuquwE)
          POS:	NOUN
          VOC:	wuquwE
        GLOSS:	falling

 INPUT STRING:	الشجره
     IS_TRANS:	Al$jrh
        INDEX:	P9W13
      OFFSETS:	64-70
       TOKENS:	P9W19-P9W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ajarap_1]
   UNSPLITVOC:	(Al$~ajarap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+$ajar+ap
        GLOSS:	the+tree/trees+[fem.sg.]

 INPUT STRING:	ولو
     IS_TRANS:	wlw
        INDEX:	P10W1
      OFFSETS:	0-3
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[walaw_1]
   UNSPLITVOC:	(walaw)
          POS:	SUB_CONJ
          VOC:	walaw
        GLOSS:	if

 INPUT STRING:	وقعت
     IS_TRANS:	wqEt
        INDEX:	P10W2
      OFFSETS:	4-8
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wiqiE_1]
   UNSPLITVOC:	(wiqoEit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	wiqoE+it
        GLOSS:	fall+it/they/she

 INPUT STRING:	الشجره
     IS_TRANS:	Al$jrh
        INDEX:	P10W3
      OFFSETS:	9-15
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ajarap_1]
   UNSPLITVOC:	(Al$~ajarap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+$ajar+ap
        GLOSS:	the+tree/trees+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P10W4
      OFFSETS:	16-18
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	هينفع
     IS_TRANS:	hynfE
        INDEX:	P10W5
      OFFSETS:	19-24
       TOKENS:	P10W5-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafaE_1]
   UNSPLITVOC:	(HayinofaE)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+nofaE
        GLOSS:	will+he/it+utilize

 INPUT STRING:	نزرعها
     IS_TRANS:	nzrEhA
        INDEX:	P10W6
      OFFSETS:	25-31
       TOKENS:	P10W7-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[zaraE_1]
   UNSPLITVOC:	(nazoraEhA)
          POS:	IV1P+IV+IVSUFF_DO:3FS
          VOC:	na+zoraE+hA
        GLOSS:	we+plant/implant/cultivate+it/she

 INPUT STRING:	تانى
     IS_TRANS:	tAnY
        INDEX:	P10W7
      OFFSETS:	32-36
       TOKENS:	P10W9-P10W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tAniy_1]
   UNSPLITVOC:	(tAniy)
          POS:	ADJ_NUM
          VOC:	tAniy
        GLOSS:	second

 INPUT STRING:	وفى
     IS_TRANS:	wfY
        INDEX:	P11W1
      OFFSETS:	0-3
       TOKENS:	P11W1-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(wifiy)
          POS:	PART+PREP
          VOC:	wi+fiy
        GLOSS:	[part.]+in

 INPUT STRING:	الوضع
     IS_TRANS:	AlwDE
        INDEX:	P11W2
      OFFSETS:	4-9
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waDoE_1]
   UNSPLITVOC:	(AlwaDoE)
          POS:	DET+NOUN
          VOC:	Al+waDoE
        GLOSS:	the+situation/status/condition

 INPUT STRING:	الحالى
     IS_TRANS:	AlHAlY
        INDEX:	P11W3
      OFFSETS:	10-16
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAliy_1]
   UNSPLITVOC:	(AlHAliy)
          POS:	DET+ADJ
          VOC:	Al+HAliy
        GLOSS:	the+present/current

 INPUT STRING:	فقدنا
     IS_TRANS:	fqdnA
        INDEX:	P11W4
      OFFSETS:	17-22
       TOKENS:	P11W5-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faqad_1]
   UNSPLITVOC:	(faqadnA)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:1P
          VOC:	faqad+(null)+nA
        GLOSS:	lose/be missing/lack/be lost+he/it+us

 INPUT STRING:	معظم
     IS_TRANS:	mEZm
        INDEX:	P11W5
      OFFSETS:	23-27
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEoZam_1]
   UNSPLITVOC:	(muEoZam)
          POS:	NOUN_QUANT
          VOC:	muEoZam
        GLOSS:	majority

 INPUT STRING:	الجذور
     IS_TRANS:	Alj*wr
        INDEX:	P11W6
      OFFSETS:	28-34
       TOKENS:	P11W8-P11W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ji*or_1]
   UNSPLITVOC:	(Aj~u*uwr)
          POS:	DET+NOUN
          VOC:	Al+ju*uwr
        GLOSS:	the+roots/stubs

 INPUT STRING:	ولازم
     IS_TRANS:	wlAzm
        INDEX:	P11W7
      OFFSETS:	35-40
       TOKENS:	P11W9-P11W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(wilAzim)
          POS:	CONJ+ADJ
          VOC:	wi+lAzim
        GLOSS:	and+necessary/required/needed

 INPUT STRING:	نلحق
     IS_TRANS:	nlHq
        INDEX:	P11W8
      OFFSETS:	41-45
       TOKENS:	P11W11-P11W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[liHiq_1]
   UNSPLITVOC:	(niloHaq)
          POS:	IV1P+IV
          VOC:	ni+loHaq
        GLOSS:	we+follow/be attached

 INPUT STRING:	باقى
     IS_TRANS:	bAqY
        INDEX:	P11W9
      OFFSETS:	46-50
       TOKENS:	P11W12-P11W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAqiy_1]
   UNSPLITVOC:	(bAqiy)
          POS:	NOUN
          VOC:	bAqiy
        GLOSS:	remaining

 INPUT STRING:	الجذور
     IS_TRANS:	Alj*wr
        INDEX:	P11W10
      OFFSETS:	51-57
       TOKENS:	P11W13-P11W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ji*or_1]
   UNSPLITVOC:	(Aj~u*uwr)
          POS:	DET+NOUN
          VOC:	Al+ju*uwr
        GLOSS:	the+roots/stubs

 INPUT STRING:	ونثبتها
     IS_TRANS:	wnvbthA
        INDEX:	P11W11
      OFFSETS:	58-65
       TOKENS:	P11W14-P11W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[vab~at_1]
   UNSPLITVOC:	(wanivobithA)
          POS:	CONJ+IV1P+IV+IVSUFF_DO:3FS
          VOC:	wa+ni+vobit+hA
        GLOSS:	and+we+ascertain/establish+it/she

 INPUT STRING:	اعتقد
     IS_TRANS:	AEtqd
        INDEX:	P12W1
      OFFSETS:	0-5
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEotaqad_1]
   UNSPLITVOC:	(AaEotaqid)
          POS:	IV1S+IV
          VOC:	Aa+Eotaqid
        GLOSS:	I+think

 INPUT STRING:	كلنا
     IS_TRANS:	klnA
        INDEX:	P12W2
      OFFSETS:	6-10
       TOKENS:	P12W2-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~nA)
          POS:	NOUN_QUANT+POSS_PRON_1P
          VOC:	kul~+nA
        GLOSS:	all, entire, every, whole+our

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P12W3
      OFFSETS:	11-15
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	ADJ
          VOC:	mumokin
        GLOSS:	possible

 INPUT STRING:	نتخيل
     IS_TRANS:	ntxyl
        INDEX:	P12W4
      OFFSETS:	16-21
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitoxay~al_1]
   UNSPLITVOC:	(nitoxay~al)
          POS:	IV1P+IV
          VOC:	ni+toxay~al
        GLOSS:	we+imagine/suppose

 INPUT STRING:	يعنى
     IS_TRANS:	yEnY
        INDEX:	P12W5
      OFFSETS:	22-26
       TOKENS:	P12W6-P12W6
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(yEnY)
          POS:	NO_FUNC
          VOC:	yEnY
        GLOSS:	nogloss

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P12W6
      OFFSETS:	27-30
       TOKENS:	P12W7-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	REL_ADV
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	شعب
     IS_TRANS:	$Eb
        INDEX:	P12W7
      OFFSETS:	31-34
       TOKENS:	P12W8-P12W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	($aEob)
          POS:	NOUN
          VOC:	$aEob
        GLOSS:	people/nation/peoples/nations

 INPUT STRING:	بلا
     IS_TRANS:	blA
        INDEX:	P12W8
      OFFSETS:	35-38
       TOKENS:	P12W9-P12W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bilA_1]
   UNSPLITVOC:	(bilA)
          POS:	PREP+NEG_PART
          VOC:	bi+lA
        GLOSS:	with+no (without)

 INPUT STRING:	يصمه
     IS_TRANS:	ySmh
        INDEX:	P12W9
      OFFSETS:	39-43
       TOKENS:	P12W11-P12W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(ySmh)
          POS:	TYPO
          VOC:	ySmh
        GLOSS:	nogloss

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P12W10
      OFFSETS:	46-50
       TOKENS:	P12W12-P12W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	be+it/they/she

 INPUT STRING:	بصمتنا
     IS_TRANS:	bSmtnA
        INDEX:	P12W11
      OFFSETS:	51-57
       TOKENS:	P12W13-P12W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baSomap_1]
   UNSPLITVOC:	(baSomatnA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1P
          VOC:	baSom+at+nA
        GLOSS:	fingerprint/imprint+[fem.sg.]+our

 INPUT STRING:	الشهامه
     IS_TRANS:	Al$hAmh
        INDEX:	P12W12
      OFFSETS:	58-65
       TOKENS:	P12W15-P12W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahAmap_1]
   UNSPLITVOC:	(Al$~ahAmap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+$ahAm+ap
        GLOSS:	the+audacity/gallantry+[fem.sg.]

 INPUT STRING:	والتدين
     IS_TRANS:	wAltdyn
        INDEX:	P12W13
      OFFSETS:	66-73
       TOKENS:	P12W16-P12W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taday~un_1]
   UNSPLITVOC:	(wat~aday~un)
          POS:	CONJ+DET+NOUN
          VOC:	wa+Al+taday~un
        GLOSS:	and+the+religiosity/bigotry

 INPUT STRING:	والكرم
     IS_TRANS:	wAlkrm
        INDEX:	P12W14
      OFFSETS:	74-80
       TOKENS:	P12W18-P12W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[karam_1]
   UNSPLITVOC:	(wiAlkaram)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+karam
        GLOSS:	and+the+generosity/munificence

 INPUT STRING:	وحب
     IS_TRANS:	wHb
        INDEX:	P12W15
      OFFSETS:	81-84
       TOKENS:	P12W20-P12W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hub~_1]
   UNSPLITVOC:	(wiHub~)
          POS:	CONJ+NOUN
          VOC:	wi+Hub~
        GLOSS:	and+love/affection/out of affection for/for love of

 INPUT STRING:	الجار
     IS_TRANS:	AljAr
        INDEX:	P12W16
      OFFSETS:	85-90
       TOKENS:	P12W22-P12W22
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAr_1]
   UNSPLITVOC:	(AljAr)
          POS:	DET+NOUN
          VOC:	Al+jAr
        GLOSS:	the+neighbor

 INPUT STRING:	للجار
     IS_TRANS:	lljAr
        INDEX:	P12W17
      OFFSETS:	91-96
       TOKENS:	P12W23-P12W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAr_1]
   UNSPLITVOC:	(liljAr)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+jAr
        GLOSS:	to/for+the+neighbor

 INPUT STRING:	ووجود
     IS_TRANS:	wwjwd
        INDEX:	P12W18
      OFFSETS:	97-102
       TOKENS:	P12W25-P12W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wujuwd_1]
   UNSPLITVOC:	(wiwujuwd)
          POS:	CONJ+NOUN
          VOC:	wi+wujuwd
        GLOSS:	and+presence/existence

 INPUT STRING:	رجل
     IS_TRANS:	rjl
        INDEX:	P12W19
      OFFSETS:	103-106
       TOKENS:	P12W27-P12W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rijol_1]
   UNSPLITVOC:	(rijol)
          POS:	NOUN
          VOC:	rijol
        GLOSS:	man

 INPUT STRING:	العائله
     IS_TRANS:	AlEA}lh
        INDEX:	P12W20
      OFFSETS:	107-114
       TOKENS:	P12W28-P12W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EA}ilap_1]
   UNSPLITVOC:	(AlEA}ilap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+EA}il+ap
        GLOSS:	the+family/household/families/households+[fem.sg.]

 INPUT STRING:	القائد
     IS_TRANS:	AlqA}d
        INDEX:	P12W21
      OFFSETS:	115-121
       TOKENS:	P12W29-P12W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlqA}id_2]
   UNSPLITVOC:	(AlqA}id)
          POS:	DET+ADJ
          VOC:	Al+qA}id
        GLOSS:	the+driving/leading

 INPUT STRING:	وترابط
     IS_TRANS:	wtrAbT
        INDEX:	P12W22
      OFFSETS:	122-128
       TOKENS:	P12W30-P12W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tarAbuT_1]
   UNSPLITVOC:	(witarAbuT)
          POS:	CONJ+NOUN
          VOC:	wi+tarAbuT
        GLOSS:	and+cohesion/interconnectedness

 INPUT STRING:	الاسره
     IS_TRANS:	AlAsrh
        INDEX:	P12W23
      OFFSETS:	129-135
       TOKENS:	P12W32-P12W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>usorap_1]
   UNSPLITVOC:	(Al>usorap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+>usor+ap
        GLOSS:	the+family+[fem.sg.]

 INPUT STRING:	ووحدتها
     IS_TRANS:	wwHdthA
        INDEX:	P12W24
      OFFSETS:	136-143
       TOKENS:	P12W33-P12W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[waHodap_1]
   UNSPLITVOC:	(wawaHodathA)
          POS:	CONJ+NOUN+NSUFF_FEM_SG+POSS_PRON_3FS
          VOC:	wa+waHod+ap+hA
        GLOSS:	and+unity+[fem.sg.]+its/their/her

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P13W1
      OFFSETS:	0-3
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P13W2
      OFFSETS:	4-6
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	صفتنا
     IS_TRANS:	SftnA
        INDEX:	P13W3
      OFFSETS:	7-12
       TOKENS:	P13W3-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sifap_1]
   UNSPLITVOC:	(SifatnA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1P
          VOC:	Sif+ap+nA
        GLOSS:	attribute/characteristic/feature/attributes/characteristics/features+[fem.sg.]+our

 INPUT STRING:	وجود
     IS_TRANS:	wjwd
        INDEX:	P13W4
      OFFSETS:	13-17
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wujuwd_1]
   UNSPLITVOC:	(wujuwd)
          POS:	NOUN
          VOC:	wujuwd
        GLOSS:	presence/existence

 INPUT STRING:	الكبير
     IS_TRANS:	Alkbyr
        INDEX:	P13W5
      OFFSETS:	18-24
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kibiyr_1]
   UNSPLITVOC:	(Alkibiyr)
          POS:	DET+NOUN
          VOC:	Al+kibiyr
        GLOSS:	the+oldest

 INPUT STRING:	المحترم
     IS_TRANS:	AlmHtrm
        INDEX:	P13W6
      OFFSETS:	25-32
       TOKENS:	P13W7-P13W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
