 INPUT STRING:	مارأيك
        LEMMA:	[<imkAn_1]
   UNSPLITVOC:	(Al<imkAn)
          POS:	DET+NOUN
          VOC:	Al+<imkAn
        GLOSS:	the+possibility

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P8W16
      OFFSETS:	92-94
       TOKENS:	P8W22-P8W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P8W17
      OFFSETS:	95-98
       TOKENS:	P8W23-P8W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miSr_1]
   UNSPLITVOC:	(miSr)
          POS:	NOUN_PROP
          VOC:	miSr
        GLOSS:	Egypt

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P8W18
      OFFSETS:	99-102
       TOKENS:	P8W24-P8W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baEd_1]
   UNSPLITVOC:	(baEd)
          POS:	NOUN
          VOC:	baEd
        GLOSS:	after

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P8W19
      OFFSETS:	103-105
       TOKENS:	P8W25-P8W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an_1]
   UNSPLITVOC:	(>an)
          POS:	SUB_CONJ
          VOC:	>an
        GLOSS:	that

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P8W20
      OFFSETS:	106-110
       TOKENS:	P8W26-P8W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	NOT_IN_LEXICON+it/they/she

 INPUT STRING:	هى
     IS_TRANS:	hY
        INDEX:	P8W21
      OFFSETS:	111-113
       TOKENS:	P8W27-P8W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/she

 INPUT STRING:	ذاتها
     IS_TRANS:	*AthA
        INDEX:	P8W22
      OFFSETS:	114-119
       TOKENS:	P8W28-P8W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*At_1]
   UNSPLITVOC:	(*AthA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	*At+hA
        GLOSS:	same/self/essence+its/their/her

 INPUT STRING:	تمدحه
     IS_TRANS:	tmdHh
        INDEX:	P8W23
      OFFSETS:	120-125
       TOKENS:	P8W30-P8W30
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(tmdHh)
          POS:	NO_FUNC
          VOC:	tmdHh
        GLOSS:	nogloss

 INPUT STRING:	مدحا
     IS_TRANS:	mdHA
        INDEX:	P8W24
      OFFSETS:	126-130
       TOKENS:	P8W31-P8W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madoH_1]
   UNSPLITVOC:	(madoHAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	madoH+AF
        GLOSS:	praise/commendation/acclaim+[acc.indef.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P8W25
      OFFSETS:	131-133
       TOKENS:	P8W32-P8W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الماضى
     IS_TRANS:	AlmADY
        INDEX:	P8W26
      OFFSETS:	134-140
       TOKENS:	P8W33-P8W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mADiy_1]
   UNSPLITVOC:	(AlmADiy)
          POS:	DET+NOUN
          VOC:	Al+mADiy
        GLOSS:	the+past (time)

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P8W27
      OFFSETS:	140-141
       TOKENS:	P8W34-P8W34
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	هل
     IS_TRANS:	hl
        INDEX:	P9W1
      OFFSETS:	1-3
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[halo_1]
   UNSPLITVOC:	(halo)
          POS:	INTERROG_PART
          VOC:	halo
        GLOSS:	do?/is?

 INPUT STRING:	رفض
     IS_TRANS:	rfD
        INDEX:	P9W2
      OFFSETS:	4-7
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rafoD_1]
   UNSPLITVOC:	(rafoD)
          POS:	NOUN
          VOC:	rafoD
        GLOSS:	rejection/refusal

 INPUT STRING:	بعض
     IS_TRANS:	bED
        INDEX:	P9W3
      OFFSETS:	8-11
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(baEoD)
          POS:	NOUN_QUANT
          VOC:	baEoD
        GLOSS:	some, a few, little, part

 INPUT STRING:	الساسة
     IS_TRANS:	AlsAsp
        INDEX:	P9W4
      OFFSETS:	12-18
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[siyAsiy~_2]
   UNSPLITVOC:	(Als~Asap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+sAs+ap
        GLOSS:	the+politicians/statesmen+[fem.sg.]

 INPUT STRING:	لطلبه
     IS_TRANS:	lTlbh
        INDEX:	P9W5
      OFFSETS:	19-24
       TOKENS:	P9W5-P9W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Talab_2]
   UNSPLITVOC:	(laTalabihi)
          POS:	PREP+NOUN+CASE_DEF_GEN+POSS_PRON_3MS
          VOC:	la+Talab+i+hi
        GLOSS:	for/to+request/demand+[def.gen.]+its/his

 INPUT STRING:	بالرقابة
     IS_TRANS:	bAlrqAbp
        INDEX:	P9W6
      OFFSETS:	25-33
       TOKENS:	P9W8-P9W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[raqAbap_1]
   UNSPLITVOC:	(biAlr~aqAbap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+raqAb+ap
        GLOSS:	with/by+the+censorship/surveillance+[fem.sg.]

 INPUT STRING:	الدولية
     IS_TRANS:	Aldwlyp
        INDEX:	P9W7
      OFFSETS:	34-41
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dawoliy~_1]
   UNSPLITVOC:	(Ald~awoliy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+dawoliy~+ap
        GLOSS:	the+state/national+[fem.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P9W8
      OFFSETS:	42-45
       TOKENS:	P9W11-P9W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الإنتخابات
     IS_TRANS:	Al<ntxAbAt
        INDEX:	P9W9
      OFFSETS:	46-56
       TOKENS:	P9W12-P9W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{inotixAb_1]
   UNSPLITVOC:	(AlAinotixAbAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+{inotixAb+At
        GLOSS:	the+elections/selections+[fem.pl.]

 INPUT STRING:	خوفا
     IS_TRANS:	xwfA
        INDEX:	P9W10
      OFFSETS:	57-61
       TOKENS:	P9W13-P9W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[xawof_1]
   UNSPLITVOC:	(xawofAF)
          POS:	NOUN.VN+CASE_INDEF_ACC
          VOC:	xawof+AF
        GLOSS:	fear+[acc.indef.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P9W11
      OFFSETS:	62-64
       TOKENS:	P9W14-P9W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	خسارة
     IS_TRANS:	xsArp
        INDEX:	P9W12
      OFFSETS:	65-70
       TOKENS:	P9W15-P9W15
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xasArap_1]
   UNSPLITVOC:	(xasArap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	xasAr+ap
        GLOSS:	loss/casualty/damage/failure+[fem.sg.]

 INPUT STRING:	القبضة
     IS_TRANS:	AlqbDp
        INDEX:	P9W13
      OFFSETS:	71-77
       TOKENS:	P9W16-P9W16
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaboDap_1]
   UNSPLITVOC:	(AlqaboDap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+qaboD+ap
        GLOSS:	the+grip/seizure/fistful+[fem.sg.]

 INPUT STRING:	الحديدية
     IS_TRANS:	AlHdydyp
        INDEX:	P9W14
      OFFSETS:	78-86
       TOKENS:	P9W17-P9W17
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Hadiydiy~_1]
   UNSPLITVOC:	(AlHadiydiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Hadiydiy~+ap
        GLOSS:	the+iron+[fem.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P9W15
      OFFSETS:	87-90
       TOKENS:	P9W18-P9W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P9W16
      OFFSETS:	91-93
       TOKENS:	P9W19-P9W19
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(mano)
          POS:	REL_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	يرغب
     IS_TRANS:	yrgb
        INDEX:	P9W17
      OFFSETS:	94-98
       TOKENS:	P9W20-P9W20
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ragib-a_1]
   UNSPLITVOC:	(yarogabu)
          POS:	IV3MS+IV+IVSUFF_MOOD:I
          VOC:	ya+rogab+u
        GLOSS:	he/it+wish/desire+[ind.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P9W18
      OFFSETS:	99-101
       TOKENS:	P9W21-P9W21
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الإنتخاب
     IS_TRANS:	Al<ntxAb
        INDEX:	P9W19
      OFFSETS:	102-110
       TOKENS:	P9W22-P9W22
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{inotixAb_1]
   UNSPLITVOC:	(AlAinotixAb)
          POS:	DET+NOUN
          VOC:	Al+{inotixAb
        GLOSS:	the+election/selection

 INPUT STRING:	بكامل
     IS_TRANS:	bkAml
        INDEX:	P9W20
      OFFSETS:	111-116
       TOKENS:	P9W23-P9W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAmil_1]
   UNSPLITVOC:	(bikAmil)
          POS:	PREP+ADJ
          VOC:	bi+kAmil
        GLOSS:	with/by+complete/full/integral

 INPUT STRING:	حريته
     IS_TRANS:	Hryth
        INDEX:	P9W21
      OFFSETS:	117-122
       TOKENS:	P9W25-P9W26
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hur~iy~ap_1]
   UNSPLITVOC:	(Hur~iy~atihi)
          POS:	NOUN+NSUFF_FEM_SG+CASE_DEF_GEN+POSS_PRON_3MS
          VOC:	Hur~iy~+at+i+hi
        GLOSS:	freedom+[fem.sg.]+[def.gen.]+his/its

 INPUT STRING:	أم
     IS_TRANS:	>m
        INDEX:	P9W22
      OFFSETS:	123-125
       TOKENS:	P9W27-P9W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>am_1]
   UNSPLITVOC:	(>am)
          POS:	CONJ
          VOC:	>am
        GLOSS:	and

 INPUT STRING:	أنها
     IS_TRANS:	>nhA
        INDEX:	P9W23
      OFFSETS:	126-130
       TOKENS:	P9W28-P9W29
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~a_1]
   UNSPLITVOC:	(>an~ahA)
          POS:	SUB_CONJ+PRON_3FS
          VOC:	>an~a+hA
        GLOSS:	that+it/they/she

 INPUT STRING:	بالفعل
     IS_TRANS:	bAlfEl
        INDEX:	P9W24
      OFFSETS:	131-137
       TOKENS:	P9W30-P9W31
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(biAlfiEol)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+fiEol
        GLOSS:	with/by+the+(actually/in effect)

 INPUT STRING:	تجدها
     IS_TRANS:	tjdhA
        INDEX:	P9W25
      OFFSETS:	138-143
       TOKENS:	P9W32-P9W33
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wajad-i_1]
   UNSPLITVOC:	(tajiduhA)
          POS:	IV3FS+IV+IVSUFF_MOOD:I+IVSUFF_DO:3FS
          VOC:	ta+jid+u+hA
        GLOSS:	it/they/she+find+[ind.]+it/them/her

 INPUT STRING:	إهانة
     IS_TRANS:	<hAnp
        INDEX:	P9W26
      OFFSETS:	144-149
       TOKENS:	P9W34-P9W34
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ihAnap_1]
   UNSPLITVOC:	(<ihAnap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	<ihAn+ap
        GLOSS:	insult/contempt+[fem.sg.]

 INPUT STRING:	لنزاهة
     IS_TRANS:	lnzAhp
        INDEX:	P9W27
      OFFSETS:	150-156
       TOKENS:	P9W35-P9W36
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nazAhap_1]
   UNSPLITVOC:	(linazAhap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+nazAh+ap
        GLOSS:	for/to+impartiality/neutral attitude+[fem.sg.]

 INPUT STRING:	الإنتخابات
     IS_TRANS:	Al<ntxAbAt
        INDEX:	P9W28
      OFFSETS:	157-167
       TOKENS:	P9W37-P9W37
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{inotixAb_1]
   UNSPLITVOC:	(AlAinotixAbAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+{inotixAb+At
        GLOSS:	the+elections/selections+[fem.pl.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P9W29
      OFFSETS:	168-170
       TOKENS:	P9W38-P9W38
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P9W30
      OFFSETS:	171-174
       TOKENS:	P9W39-P9W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(miSor)
          POS:	NOUN_PROP
          VOC:	miSor
        GLOSS:	Egypt

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W31
      OFFSETS:	174-175
       TOKENS:	P9W40-P9W40
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	تلك
     IS_TRANS:	tlk
        INDEX:	P9W32
      OFFSETS:	175-178
       TOKENS:	P9W41-P9W41
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*`lika_1]
   UNSPLITVOC:	(tiloka)
          POS:	DEM_PRON_F
          VOC:	tiloka
        GLOSS:	that/those

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P9W33
      OFFSETS:	179-184
       TOKENS:	P9W42-P9W42
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country

 INPUT STRING:	التى
     IS_TRANS:	AltY
        INDEX:	P9W34
      OFFSETS:	185-189
       TOKENS:	P9W43-P9W43
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which/who/whom [fem.sg.]

 INPUT STRING:	إعترفوا
     IS_TRANS:	<EtrfwA
        INDEX:	P9W35
      OFFSETS:	190-197
       TOKENS:	P9W44-P9W44
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{iEotaraf_1]
   UNSPLITVOC:	(AiEotarafuwA)
          POS:	PV+PVSUFF_SUBJ:3MP
          VOC:	{iEotaraf+uwA
        GLOSS:	acknowledge/recognize/admit/confess+they [verb]

 INPUT STRING:	بإنتشار
     IS_TRANS:	b<nt$Ar
        INDEX:	P9W36
      OFFSETS:	198-205
       TOKENS:	P9W45-P9W46
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{inoti$Ar_1]
   UNSPLITVOC:	(biAinoti$Ar)
          POS:	PREP+NOUN
          VOC:	bi+{inoti$Ar
        GLOSS:	with/by+spreading/spread/diffusion

 INPUT STRING:	الفساد
     IS_TRANS:	AlfsAd
        INDEX:	P9W37
      OFFSETS:	206-212
       TOKENS:	P9W47-P9W47
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fasAd_1]
   UNSPLITVOC:	(AlfasAd)
          POS:	DET+NOUN
          VOC:	Al+fasAd
        GLOSS:	the+corruption

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P9W38
      OFFSETS:	213-217
       TOKENS:	P9W48-P9W49
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+it/them/her

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P9W39
      OFFSETS:	217-218
       TOKENS:	P9W50-P9W50
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P10W1
      OFFSETS:	1-2
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	هل
     IS_TRANS:	hl
        INDEX:	P10W2
      OFFSETS:	3-5
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[halo_1]
   UNSPLITVOC:	(halo)
          POS:	INTERROG_PART
          VOC:	halo
        GLOSS:	do?/is?

 INPUT STRING:	هى
     IS_TRANS:	hY
        INDEX:	P10W3
      OFFSETS:	6-8
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hiya_1]
   UNSPLITVOC:	(hiya)
          POS:	PRON_3FS
          VOC:	hiya
        GLOSS:	it/they/she

 INPUT STRING:	بالفعل
     IS_TRANS:	bAlfEl
        INDEX:	P10W4
      OFFSETS:	9-15
       TOKENS:	P10W4-P10W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(biAlfiEol)
          POS:	PART+DET+NOUN
          VOC:	bi+Al+fiEol
        GLOSS:	[part.]+the+(actually/in effect)

 INPUT STRING:	إهانة
     IS_TRANS:	<hAnp
        INDEX:	P10W5
      OFFSETS:	16-21
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ihAnap_1]
   UNSPLITVOC:	(<ihAnap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	<ihAn+ap
        GLOSS:	insult/contempt+[fem.sg.]

 INPUT STRING:	بالرغم
     IS_TRANS:	bAlrgm
        INDEX:	P10W6
      OFFSETS:	22-28
       TOKENS:	P10W7-P10W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ragom_1]
   UNSPLITVOC:	(biAlr~agomi)
          POS:	PREP+DET+NOUN+CASE_DEF_GEN
          VOC:	bi+Al+ragom+i
        GLOSS:	with/by+the+in spite of/despite+[def.gen.]

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P10W7
      OFFSETS:	29-31
       TOKENS:	P10W9-P10W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~a_1]
   UNSPLITVOC:	(>an~a)
          POS:	SUB_CONJ
          VOC:	>an~a
        GLOSS:	that

 INPUT STRING:	الولايات
     IS_TRANS:	AlwlAyAt
        INDEX:	P10W8
      OFFSETS:	32-40
       TOKENS:	P10W10-P10W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wilAyAt_1]
   UNSPLITVOC:	(AlwilAyAt)
          POS:	DET+NOUN_PROP
          VOC:	Al+wilAyAt
        GLOSS:	the+States

 INPUT STRING:	المتحدة
     IS_TRANS:	AlmtHdp
        INDEX:	P10W9
      OFFSETS:	41-48
       TOKENS:	P10W11-P10W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mut~aHidap_1]
   UNSPLITVOC:	(Almut~aHidap)
          POS:	DET+NOUN_PROP
          VOC:	Al+mut~aHidap
        GLOSS:	the+United

 INPUT STRING:	نفسها
     IS_TRANS:	nfshA
        INDEX:	P10W10
      OFFSETS:	49-54
       TOKENS:	P10W12-P10W12
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(nfshA)
          POS:	NO_FUNC
          VOC:	nfshA
        GLOSS:	nogloss

 INPUT STRING:	لم
     IS_TRANS:	lm
        INDEX:	P10W11
      OFFSETS:	55-57
       TOKENS:	P10W13-P10W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lamo_1]
   UNSPLITVOC:	(lamo)
          POS:	NEG_PART
          VOC:	lamo
        GLOSS:	did not

 INPUT STRING:	تتم
     IS_TRANS:	ttm
        INDEX:	P10W12
      OFFSETS:	58-61
       TOKENS:	P10W14-P10W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tam~-i_1]
   UNSPLITVOC:	(tatim~u)
          POS:	IV3FS+IV+IVSUFF_MOOD:I
          VOC:	ta+tim~+u
        GLOSS:	it/they/she+conclude/take place+[ind.]

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P10W13
      OFFSETS:	62-66
       TOKENS:	P10W15-P10W16
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
