 INPUT STRING:	تحـــذيـــر
   UNSPLITVOC:	(xaTa>)
          POS:	ADJ
          VOC:	xaTa>
        GLOSS:	wrong

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P8W8
      OFFSETS:	29-31
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	الواجب
     IS_TRANS:	AlwAjb
        INDEX:	P8W9
      OFFSETS:	32-38
       TOKENS:	P8W9-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAjib_1]
   UNSPLITVOC:	(AlwAjib)
          POS:	DET+NOUN
          VOC:	Al+wAjib
        GLOSS:	the+duty/obligation/requirement

 INPUT STRING:	اخذ
     IS_TRANS:	Ax*
        INDEX:	P8W10
      OFFSETS:	39-42
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>axo*_1]
   UNSPLITVOC:	(>axo*)
          POS:	NOUN
          VOC:	>axo*
        GLOSS:	seizure/taking

 INPUT STRING:	الاحتياط
     IS_TRANS:	AlAHtyAT
        INDEX:	P8W11
      OFFSETS:	43-51
       TOKENS:	P8W11-P8W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iHotiyAT_1]
   UNSPLITVOC:	(Al<iHotiyAT)
          POS:	DET+NOUN
          VOC:	Al+<iHotiyAT
        GLOSS:	the+caution/precaution

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P9W1
      OFFSETS:	0-2
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	اله
     IS_TRANS:	Alh
        INDEX:	P9W2
      OFFSETS:	3-6
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ilah_1]
   UNSPLITVOC:	(<ilah)
          POS:	NOUN
          VOC:	<ilah
        GLOSS:	God

 INPUT STRING:	الا
     IS_TRANS:	AlA
        INDEX:	P9W3
      OFFSETS:	7-10
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	RESTRIC_PART
          VOC:	<il~A
        GLOSS:	only

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P9W4
      OFFSETS:	11-14
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you [masc.sg.]

 INPUT STRING:	سبحانك
     IS_TRANS:	sbHAnk
        INDEX:	P9W5
      OFFSETS:	15-21
       TOKENS:	P9W5-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suboHAn_1]
   UNSPLITVOC:	(suboHAnak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	suboHAn+ak
        GLOSS:	praise+your [masc.sg.]

 INPUT STRING:	اني
     IS_TRANS:	Any
        INDEX:	P9W6
      OFFSETS:	22-25
       TOKENS:	P9W7-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~iy)
          POS:	SUB_CONJ+PRON_1S
          VOC:	<in~+iy
        GLOSS:	that+I

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P9W7
      OFFSETS:	26-29
       TOKENS:	P9W9-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be+I

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P9W8
      OFFSETS:	30-32
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الظالمين
     IS_TRANS:	AlZAlmyn
        INDEX:	P9W9
      OFFSETS:	33-41
       TOKENS:	P9W11-P9W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ZAlim_1]
   UNSPLITVOC:	(AlZ~Alimiyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+ZAlim+iyn
        GLOSS:	the+oppressor/tyrant+[masc.pl.]

 INPUT STRING:	اللهم
     IS_TRANS:	Allhm
        INDEX:	P10W1
      OFFSETS:	0-5
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~`hum~a_1]
   UNSPLITVOC:	(All~`hum~a)
          POS:	NOUN
          VOC:	All~`hum~a
        GLOSS:	truly/certainly/oh God!/dear God

 INPUT STRING:	احفظنا
     IS_TRANS:	AHfZnA
        INDEX:	P10W2
      OFFSETS:	6-12
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(AHfZnA)
          POS:	NO_FUNC
          VOC:	AHfZnA
        GLOSS:	nogloss

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P11W1
      OFFSETS:	0-4
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	يسترها
     IS_TRANS:	ystrhA
        INDEX:	P11W2
      OFFSETS:	5-11
       TOKENS:	P11W2-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[satar_2]
   UNSPLITVOC:	(yisoturohA)
          POS:	IV3MS+IV+IVSUFF_DO:3FS
          VOC:	yi+soturo+hA
        GLOSS:	he+protect+her/it

 INPUT STRING:	يارب
     IS_TRANS:	yArb
        INDEX:	P11W3
      OFFSETS:	12-16
       TOKENS:	P11W4-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(yArab~)
          POS:	VOC_PART+NOUN
          VOC:	yaA+rab~
        GLOSS:	oh+lord/master

 INPUT STRING:	لاحول
     IS_TRANS:	lAHwl
        INDEX:	P12W1
      OFFSETS:	0-5
       TOKENS:	P12W1-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hawol_2]
   UNSPLITVOC:	(laHawol)
          POS:	NEG_PART+NOUN
          VOC:	la+Hawol
        GLOSS:	not+power

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P12W2
      OFFSETS:	6-9
       TOKENS:	P12W3-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[lA_2]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+no/not

 INPUT STRING:	قوة
     IS_TRANS:	qwp
        INDEX:	P12W3
      OFFSETS:	10-13
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quw~ap_1]
   UNSPLITVOC:	(quw~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	quw~+ap
        GLOSS:	power/strength+[fem.sg.]

 INPUT STRING:	الا
     IS_TRANS:	AlA
        INDEX:	P12W4
      OFFSETS:	14-17
       TOKENS:	P12W6-P12W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	RESTRIC_PART
          VOC:	<il~A
        GLOSS:	only

 INPUT STRING:	بالله
     IS_TRANS:	bAllh
        INDEX:	P12W5
      OFFSETS:	18-23
       TOKENS:	P12W7-P12W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(biAll~ah)
          POS:	PREP+NOUN
          VOC:	bi+All~ah
        GLOSS:	with/by+God

 INPUT STRING:	العلى
     IS_TRANS:	AlElY
        INDEX:	P12W6
      OFFSETS:	24-29
       TOKENS:	P12W9-P12W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlEaliy~_1]
   UNSPLITVOC:	(AlEaliy~)
          POS:	DET+ADJ
          VOC:	Al+Ealiy~
        GLOSS:	the+supreme/high

 INPUT STRING:	العظيم
     IS_TRANS:	AlEZym
        INDEX:	P12W7
      OFFSETS:	30-36
       TOKENS:	P12W10-P12W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaZiym_1]
   UNSPLITVOC:	(AlEaZiym)
          POS:	DET+ADJ
          VOC:	Al+EaZiym
        GLOSS:	the+great/powerful

 INPUT STRING:	خلاص
     IS_TRANS:	xlAS
        INDEX:	P13W1
      OFFSETS:	0-4
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalAS_1]
   UNSPLITVOC:	(xalAS)
          POS:	NOUN
          VOC:	xalAS
        GLOSS:	deliverance/salvation/settlement

 INPUT STRING:	عليه
     IS_TRANS:	Elyh
        INDEX:	P13W2
      OFFSETS:	5-9
       TOKENS:	P13W2-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayh)
          POS:	PREP+PRON_3MS
          VOC:	EalaY+uh
        GLOSS:	on/above+him

 INPUT STRING:	العوض
     IS_TRANS:	AlEwD
        INDEX:	P13W3
      OFFSETS:	10-15
       TOKENS:	P13W4-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EawaD_1]
   UNSPLITVOC:	(AlEawaD)
          POS:	DET+NOUN
          VOC:	Al+EawaD
        GLOSS:	the+compensation

 INPUT STRING:	ومنه
     IS_TRANS:	wmnh
        INDEX:	P13W4
      OFFSETS:	16-20
       TOKENS:	P13W5-P13W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(wimin~uh)
          POS:	CONJ+PREP+PRON_3MS
          VOC:	wi+min~+uh
        GLOSS:	and+from+him

 INPUT STRING:	العوض
     IS_TRANS:	AlEwD
        INDEX:	P13W5
      OFFSETS:	21-26
       TOKENS:	P13W8-P13W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EawaD_1]
   UNSPLITVOC:	(AlEawaD)
          POS:	DET+NOUN
          VOC:	Al+EawaD
        GLOSS:	the+compensation

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P14W1
      OFFSETS:	0-2
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	حول
     IS_TRANS:	Hwl
        INDEX:	P14W2
      OFFSETS:	3-6
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hawol_2]
   UNSPLITVOC:	(Hawol)
          POS:	NOUN
          VOC:	Hawol
        GLOSS:	power

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P14W3
      OFFSETS:	7-10
       TOKENS:	P14W3-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[lA_2]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+no/not

 INPUT STRING:	قوة
     IS_TRANS:	qwp
        INDEX:	P14W4
      OFFSETS:	11-14
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quw~ap_1]
   UNSPLITVOC:	(quw~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	quw~+ap
        GLOSS:	power/strength+[fem.sg.]

 INPUT STRING:	الا
     IS_TRANS:	AlA
        INDEX:	P14W5
      OFFSETS:	15-18
       TOKENS:	P14W6-P14W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	RESTRIC_PART
          VOC:	<il~A
        GLOSS:	only

 INPUT STRING:	بالله
     IS_TRANS:	bAllh
        INDEX:	P14W6
      OFFSETS:	19-24
       TOKENS:	P14W7-P14W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(biAll~ah)
          POS:	PREP+NOUN
          VOC:	bi+All~ah
        GLOSS:	with/by+God

 INPUT STRING:	العلي
     IS_TRANS:	AlEly
        INDEX:	P14W7
      OFFSETS:	25-30
       TOKENS:	P14W9-P14W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlEaliy~_1]
   UNSPLITVOC:	(AlEaliy~)
          POS:	DET+ADJ
          VOC:	Al+Ealiy~
        GLOSS:	the+supreme/high

 INPUT STRING:	العظيم
     IS_TRANS:	AlEZym
        INDEX:	P14W8
      OFFSETS:	31-37
       TOKENS:	P14W10-P14W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaZiym_1]
   UNSPLITVOC:	(AlEaZiym)
          POS:	DET+ADJ
          VOC:	Al+EaZiym
        GLOSS:	the+great/powerful

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P15W1
      OFFSETS:	0-4
       TOKENS:	P15W1-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master+our

 INPUT STRING:	يستر
     IS_TRANS:	ystr
        INDEX:	P15W2
      OFFSETS:	5-9
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[satar_1]
   UNSPLITVOC:	(yusotur)
          POS:	IV3MS+IV
          VOC:	yu+sotur
        GLOSS:	he+protection/shield/cover

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P16W1
      OFFSETS:	0-2
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	اله
     IS_TRANS:	Alh
        INDEX:	P16W2
      OFFSETS:	3-6
       TOKENS:	P16W2-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ilah_1]
   UNSPLITVOC:	(<ilah)
          POS:	NOUN
          VOC:	<ilah
        GLOSS:	God

 INPUT STRING:	الا
     IS_TRANS:	AlA
        INDEX:	P16W3
      OFFSETS:	7-10
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	RESTRIC_PART
          VOC:	<il~A
        GLOSS:	only

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P16W4
      OFFSETS:	11-15
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	حسبى
     IS_TRANS:	HsbY
        INDEX:	P16W5
      OFFSETS:	16-20
       TOKENS:	P16W5-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hasab_1]
   UNSPLITVOC:	(Hasabiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Hasab+iy
        GLOSS:	according to/in accordance with+my

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P16W6
      OFFSETS:	21-25
       TOKENS:	P16W7-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P16W7
      OFFSETS:	26-27
       TOKENS:	P16W8-P16W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	نعم
     IS_TRANS:	nEm
        INDEX:	P16W8
      OFFSETS:	28-31
       TOKENS:	P16W9-P16W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[niEma_1]
   UNSPLITVOC:	(niEma)
          POS:	VERB
          VOC:	niEma
        GLOSS:	how good

 INPUT STRING:	الوكيل
     IS_TRANS:	Alwkyl
        INDEX:	P16W9
      OFFSETS:	32-38
       TOKENS:	P16W10-P16W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wakiyl_1]
   UNSPLITVOC:	(Alwakiyl)
          POS:	DET+NOUN
          VOC:	Al+wakiyl
        GLOSS:	the+attorney

 INPUT STRING:	فيهم
     IS_TRANS:	fyhm
        INDEX:	P16W10
      OFFSETS:	39-43
       TOKENS:	P16W11-P16W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhum)
          POS:	PREP+PRON_3P
          VOC:	fiy+hum
        GLOSS:	in+them

 INPUT STRING:	الف
     IS_TRANS:	Alf
        INDEX:	P17W1
      OFFSETS:	0-3
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alof_1]
   UNSPLITVOC:	(Alof)
          POS:	NOUN_NUM
          VOC:	Alof
        GLOSS:	thousand

 INPUT STRING:	شكر
     IS_TRANS:	$kr
        INDEX:	P17W2
      OFFSETS:	4-7
       TOKENS:	P17W2-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ukor_1]
   UNSPLITVOC:	($ukor)
          POS:	NOUN
          VOC:	$ukor
        GLOSS:	thankfulness/thanks

 INPUT STRING:	ليكي
     IS_TRANS:	lyky
        INDEX:	P17W3
      OFFSETS:	8-12
       TOKENS:	P17W3-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liykiy)
          POS:	PREP+PRON_2FS
          VOC:	li+ik
        GLOSS:	for+you

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P18W1
      OFFSETS:	0-3
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P18W2
      OFFSETS:	4-6
       TOKENS:	P18W2-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	سكان
     IS_TRANS:	skAn
        INDEX:	P18W3
      OFFSETS:	7-11
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAkin_1]
   UNSPLITVOC:	(suk~An)
          POS:	NOUN
          VOC:	suk~An
        GLOSS:	residents/inhabitants

 INPUT STRING:	6
     IS_TRANS:	6
        INDEX:	P18W4
      OFFSETS:	12-13
       TOKENS:	P18W4-P18W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[6_1]
   UNSPLITVOC:	(6)
          POS:	NOUN_NUM
          VOC:	6
        GLOSS:	6

 INPUT STRING:	اكتوبر
     IS_TRANS:	Aktwbr
        INDEX:	P18W5
      OFFSETS:	14-20
       TOKENS:	P18W5-P18W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ukotuwbar_1]
   UNSPLITVOC:	(>ukotuwbar)
          POS:	NOUN_PROP
          VOC:	>ukotuwbar
        GLOSS:	October

 INPUT STRING:	وشكرا
     IS_TRANS:	w$krA
        INDEX:	P18W6
      OFFSETS:	21-26
       TOKENS:	P18W6-P18W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ukor_1]
   UNSPLITVOC:	(wi$ukorAF)
          POS:	CONJ+NOUN+CASE_INDEF_ACC
          VOC:	wi+$ukor+AF
        GLOSS:	and+thank you/thanks+[acc.indef.]

 INPUT STRING:	للتنبيه
     IS_TRANS:	lltnbyh
        INDEX:	P18W7
      OFFSETS:	27-34
       TOKENS:	P18W8-P18W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tanobiyh_1]
   UNSPLITVOC:	(lilt~anobiyh)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+tanobiyh
        GLOSS:	for/to+the+warning/alerting/alarm

 INPUT STRING:	اللهم
     IS_TRANS:	Allhm
        INDEX:	P19W1
      OFFSETS:	0-5
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~`hum~a_1]
   UNSPLITVOC:	(All~`hum~a)
          POS:	NOUN
          VOC:	All~`hum~a
        GLOSS:	truly/certainly/oh God!/dear God

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P19W2
      OFFSETS:	6-8
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	تذرني
     IS_TRANS:	t*rny
        INDEX:	P19W3
      OFFSETS:	9-14
       TOKENS:	P19W3-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wa*ar_1]
   UNSPLITVOC:	(ta*orniy)
          POS:	CV+CVSUFF_SUBJ:2MS+CVSUFF_DO:1S
          VOC:	ta*or+(null)+niy
        GLOSS:	leave behind+you+me

 INPUT STRING:	فردا
     IS_TRANS:	frdA
        INDEX:	P19W4
      OFFSETS:	15-19
       TOKENS:	P19W5-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[farod_1]
   UNSPLITVOC:	(farodaF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	farod+aF
        GLOSS:	individual+[acc.indef.]

 INPUT STRING:	وانت
     IS_TRANS:	wAnt
        INDEX:	P19W5
      OFFSETS:	20-24
       TOKENS:	P19W6-P19W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>anota_1]
   UNSPLITVOC:	(wa>anota)
          POS:	CONJ+PRON_2MS
          VOC:	wa+>anota
        GLOSS:	and+you [masc.sg.]

 INPUT STRING:	خير
     IS_TRANS:	xyr
        INDEX:	P19W6
      OFFSETS:	25-28
       TOKENS:	P19W8-P19W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xayor_2]
   UNSPLITVOC:	(xayor)
          POS:	ADJ_COMP
          VOC:	xayor
        GLOSS:	better/best
