 INPUT STRING:	أكد
        GLOSS:	the+regime/government

 INPUT STRING:	الفاسد
     IS_TRANS:	AlfAsd
        INDEX:	P7W10
      OFFSETS:	51-57
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAsid_1]
   UNSPLITVOC:	(AlfAsid)
          POS:	DET+ADJ
          VOC:	Al+fAsid
        GLOSS:	the+corrupt/immoral

 INPUT STRING:	ومع
     IS_TRANS:	wmE
        INDEX:	P7W11
      OFFSETS:	58-61
       TOKENS:	P7W12-P7W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(wimaE)
          POS:	CONJ+NOUN
          VOC:	wi+maEa
        GLOSS:	and+with

 INPUT STRING:	ذلك
     IS_TRANS:	*lk
        INDEX:	P7W12
      OFFSETS:	62-65
       TOKENS:	P7W14-P7W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*alik_1]
   UNSPLITVOC:	(*alik)
          POS:	DEM_PRON_MS
          VOC:	*alik
        GLOSS:	that

 INPUT STRING:	لم
     IS_TRANS:	lm
        INDEX:	P7W13
      OFFSETS:	66-68
       TOKENS:	P7W15-P7W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lamo_1]
   UNSPLITVOC:	(lamo)
          POS:	NEG_PART
          VOC:	lamo
        GLOSS:	did not

 INPUT STRING:	نموت
     IS_TRANS:	nmwt
        INDEX:	P7W14
      OFFSETS:	69-73
       TOKENS:	P7W16-P7W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAt_1]
   UNSPLITVOC:	(nimuwt)
          POS:	IV1P+IV
          VOC:	ni+muwt
        GLOSS:	we+die/pass away

 INPUT STRING:	وكنا
     IS_TRANS:	wknA
        INDEX:	P7W15
      OFFSETS:	74-78
       TOKENS:	P7W17-P7W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(wikun~A)
          POS:	CONJ+PV+PVSUFF_SUBJ:1P
          VOC:	wi+kun+~A
        GLOSS:	and+be+we

 INPUT STRING:	عايشين
     IS_TRANS:	EAy$yn
        INDEX:	P7W16
      OFFSETS:	79-85
       TOKENS:	P7W19-P7W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyi$_1]
   UNSPLITVOC:	(EAyo$iyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	EAyo$+iyn
        GLOSS:	living+two

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W17
      OFFSETS:	85-86
       TOKENS:	P7W20-P7W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P8W1
      OFFSETS:	0-2
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	هيموتنا
     IS_TRANS:	hymwtnA
        INDEX:	P8W2
      OFFSETS:	3-10
       TOKENS:	P8W2-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAt_1]
   UNSPLITVOC:	(HayimuwtnA)
          POS:	FUT_PART+IV3MS+IV+IVSUFF_DO:1P
          VOC:	Ha+yi+muwt+nA
        GLOSS:	will+he/it+die/pass away+us

 INPUT STRING:	مليار
     IS_TRANS:	mlyAr
        INDEX:	P8W3
      OFFSETS:	11-16
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miloyAr_1]
   UNSPLITVOC:	(miloyAr)
          POS:	NOUN_NUM
          VOC:	miloyAr
        GLOSS:	billion

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P8W4
      OFFSETS:	17-20
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	2
     IS_TRANS:	2
        INDEX:	P8W5
      OFFSETS:	21-22
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(2)
          POS:	NOUN_NUM
          VOC:	2
        GLOSS:	2

 INPUT STRING:	مليار
     IS_TRANS:	mlyAr
        INDEX:	P8W6
      OFFSETS:	23-28
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miloyAr_1]
   UNSPLITVOC:	(miloyAr)
          POS:	NOUN_NUM
          VOC:	miloyAr
        GLOSS:	billion

 INPUT STRING:	بتاعت
     IS_TRANS:	btAEt
        INDEX:	P8W7
      OFFSETS:	29-34
       TOKENS:	P8W9-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bitAE_1]
   UNSPLITVOC:	(bitAEit)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bitAE+ap
        GLOSS:	of+[fem.sg.]

 INPUT STRING:	امريكا
     IS_TRANS:	AmrykA
        INDEX:	P8W8
      OFFSETS:	35-41
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amoriykA_1]
   UNSPLITVOC:	(>amoriykA)
          POS:	NOUN_PROP
          VOC:	>amoriykA
        GLOSS:	America

 INPUT STRING:	خليهالهم
     IS_TRANS:	xlyhAlhm
        INDEX:	P8W9
      OFFSETS:	42-50
       TOKENS:	P8W11-P8W11
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(xlyhAlhm)
          POS:	NO_FUNC
          VOC:	xlyhAlhm
        GLOSS:	nogloss

 INPUT STRING:	يشبعوا
     IS_TRANS:	y$bEwA
        INDEX:	P8W10
      OFFSETS:	51-57
       TOKENS:	P8W12-P8W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ibiE_1]
   UNSPLITVOC:	(yi$obaEuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+$obaE+uwA
        GLOSS:	they+be full+we

 INPUT STRING:	بيها
     IS_TRANS:	byhA
        INDEX:	P8W11
      OFFSETS:	58-62
       TOKENS:	P8W13-P8W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(biyhA)
          POS:	PREP+PRON_3FS
          VOC:	bi+hA
        GLOSS:	with+she/it

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P8W12
      OFFSETS:	62-63
       TOKENS:	P8W15-P8W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	تسقط
     IS_TRANS:	tsqT
        INDEX:	P9W1
      OFFSETS:	0-4
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saq~aT_1]
   UNSPLITVOC:	(tisaq~aT)
          POS:	IV3FS+IV
          VOC:	ti+saq~aT
        GLOSS:	it/they/she+fall down

 INPUT STRING:	أمريكا
     IS_TRANS:	>mrykA
        INDEX:	P9W2
      OFFSETS:	5-11
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amoriykA_1]
   UNSPLITVOC:	(>amoriykA)
          POS:	NOUN_PROP
          VOC:	>amoriykA
        GLOSS:	America

 INPUT STRING:	الشحاتة
     IS_TRANS:	Al$HAtp
        INDEX:	P9W3
      OFFSETS:	12-19
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$iHAtap_1]
   UNSPLITVOC:	(Al$~iHAtap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+$iHAt+ap
        GLOSS:	the+beggar+[fem.sg.]

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P9W4
      OFFSETS:	20-24
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	عايشة
     IS_TRANS:	EAy$p
        INDEX:	P9W5
      OFFSETS:	25-30
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyi$_1]
   UNSPLITVOC:	(EAyo$ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EAyo$+ap
        GLOSS:	living/alive+[fem.sg.]

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P9W6
      OFFSETS:	31-34
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	السرقة
     IS_TRANS:	Alsrqp
        INDEX:	P9W7
      OFFSETS:	35-41
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siroqap_1]
   UNSPLITVOC:	(Als~iroqap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+siroq+ap
        GLOSS:	the+robbery+[fem.sg.]

 INPUT STRING:	أمريكا
     IS_TRANS:	>mrykA
        INDEX:	P10W1
      OFFSETS:	0-6
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amoriykA_1]
   UNSPLITVOC:	(>amoriykA)
          POS:	NOUN_PROP
          VOC:	>amoriykA
        GLOSS:	America

 INPUT STRING:	أكبر
     IS_TRANS:	>kbr
        INDEX:	P10W2
      OFFSETS:	7-11
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akobar_1]
   UNSPLITVOC:	(>akobar)
          POS:	ADJ_COMP
          VOC:	>akobar
        GLOSS:	larger/largest/greater/greatest

 INPUT STRING:	قرصان
     IS_TRANS:	qrSAn
        INDEX:	P10W3
      OFFSETS:	12-17
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quroSAn_1]
   UNSPLITVOC:	(quroSAn)
          POS:	NOUN
          VOC:	quroSAn
        GLOSS:	pirate

 INPUT STRING:	دولي
     IS_TRANS:	dwly
        INDEX:	P10W4
      OFFSETS:	18-22
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawliy_1]
   UNSPLITVOC:	(dawliy)
          POS:	ADJ
          VOC:	dawliy
        GLOSS:	state/national

 INPUT STRING:	تسر
     IS_TRANS:	tsr
        INDEX:	P10W5
      OFFSETS:	23-26
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(tsr)
          POS:	TYPO
          VOC:	tsr
        GLOSS:	nogloss

 INPUT STRING:	ق
     IS_TRANS:	q
        INDEX:	P10W6
      OFFSETS:	27-28
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(q)
          POS:	TYPO
          VOC:	q
        GLOSS:	nogloss

 INPUT STRING:	العراق
     IS_TRANS:	AlErAq
        INDEX:	P10W7
      OFFSETS:	29-35
       TOKENS:	P10W7-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EirAq_1]
   UNSPLITVOC:	(AlEirAq)
          POS:	DET+NOUN_PROP
          VOC:	Al+EirAq
        GLOSS:	the+Iraq

 INPUT STRING:	تختلس
     IS_TRANS:	txtls
        INDEX:	P10W8
      OFFSETS:	36-41
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aixotalas_1]
   UNSPLITVOC:	(taxotalis)
          POS:	IV3FS+IV
          VOC:	ta+xotalis
        GLOSS:	she/it+steal

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P10W9
      OFFSETS:	42-44
       TOKENS:	P10W9-P10W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الكويت
     IS_TRANS:	Alkwyt
        INDEX:	P10W10
      OFFSETS:	45-51
       TOKENS:	P10W10-P10W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kuwayot_1]
   UNSPLITVOC:	(Alkuwayot)
          POS:	DET+NOUN_PROP
          VOC:	Al+kuwayot
        GLOSS:	the+Kuwait

 INPUT STRING:	وتنهب
     IS_TRANS:	wtnhb
        INDEX:	P10W11
      OFFSETS:	52-57
       TOKENS:	P10W11-P10W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nahab_1]
   UNSPLITVOC:	(witinohab)
          POS:	CONJ+IV3FS+IV
          VOC:	wi+ti+nohab
        GLOSS:	and+it/they/she+steal

 INPUT STRING:	أفغانستان
     IS_TRANS:	>fgAnstAn
        INDEX:	P10W12
      OFFSETS:	58-67
       TOKENS:	P10W13-P10W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>afogAnisotAn_1]
   UNSPLITVOC:	(>afogAnisotAn)
          POS:	NOUN_PROP
          VOC:	>afogAnisotAn
        GLOSS:	Afghanistan

 INPUT STRING:	هؤلاء
     IS_TRANS:	h&lA'
        INDEX:	P11W1
      OFFSETS:	0-5
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[h`*A_1]
   UNSPLITVOC:	(h`&ulA'i)
          POS:	DEM_PRON_P
          VOC:	h`&ulA'i
        GLOSS:	these

 INPUT STRING:	السذج
     IS_TRANS:	Als*j
        INDEX:	P11W2
      OFFSETS:	6-11
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sA*ij_1]
   UNSPLITVOC:	(Als~u*~aj)
          POS:	DET+ADJ
          VOC:	Al+su*~aj
        GLOSS:	the+naive

 INPUT STRING:	فكرنا
     IS_TRANS:	fkrnA
        INDEX:	P11W3
      OFFSETS:	12-17
       TOKENS:	P11W3-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikor_1]
   UNSPLITVOC:	(fikorinA)
          POS:	NOUN.VN+POSS_PRON_1P
          VOC:	fikor+nA
        GLOSS:	thought/thinking/thoughts/ideas/concepts+our

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P11W4
      OFFSETS:	18-20
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عارفين
     IS_TRANS:	EArfyn
        INDEX:	P11W5
      OFFSETS:	21-27
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofiyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	EArof+iyn
        GLOSS:	knowing/having knowledge of+two

 INPUT STRING:	انهم
     IS_TRANS:	Anhm
        INDEX:	P11W6
      OFFSETS:	28-32
       TOKENS:	P11W7-P11W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uhum)
          POS:	SUB_CONJ+PRON_3P
          VOC:	<in~+hum
        GLOSS:	that+they

 INPUT STRING:	هم
     IS_TRANS:	hm
        INDEX:	P11W7
      OFFSETS:	33-35
       TOKENS:	P11W9-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P11W8
      OFFSETS:	36-40
       TOKENS:	P11W10-P11W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who

 INPUT STRING:	محتاجين
     IS_TRANS:	mHtAjyn
        INDEX:	P11W9
      OFFSETS:	41-48
       TOKENS:	P11W11-P11W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miHotAj_1]
   UNSPLITVOC:	(miHotAjiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	miHotAj+iyn
        GLOSS:	in need/wanting/requiring+[masc.pl.]

 INPUT STRING:	لنا
     IS_TRANS:	lnA
        INDEX:	P11W10
      OFFSETS:	49-52
       TOKENS:	P11W12-P11W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(linA)
          POS:	PREP+PRON_1P
          VOC:	li+nA
        GLOSS:	to/for+us (we have)

 INPUT STRING:	روحوا
     IS_TRANS:	rwHwA
        INDEX:	P12W1
      OFFSETS:	0-5
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(ruwHuwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	ruwH+uwA
        GLOSS:	go+you

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P12W2
      OFFSETS:	6-8
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	شحاتة
     IS_TRANS:	$HAtp
        INDEX:	P12W3
      OFFSETS:	9-14
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$iHAtap_1]
   UNSPLITVOC:	($iHAtap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	$iHAt+ap
        GLOSS:	beggar+[fem.sg.]

 INPUT STRING:	هددي
     IS_TRANS:	hddy
        INDEX:	P12W4
      OFFSETS:	15-19
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[had~id_1]
   UNSPLITVOC:	(had~idiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	had~id+iy
        GLOSS:	threaten+you

 INPUT STRING:	غيرنا
     IS_TRANS:	gyrnA
        INDEX:	P12W5
      OFFSETS:	20-25
       TOKENS:	P12W5-P12W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[gayor_1]
   UNSPLITVOC:	(giyrnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	giyr+nA
        GLOSS:	not/other+our

