 INPUT STRING:	صوره

 INPUT STRING:	قدام
     IS_TRANS:	qdAm
        INDEX:	P29W8
      OFFSETS:	34-38
       TOKENS:	P29W11-P29W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qud~Am_1]
   UNSPLITVOC:	(qud~Am)
          POS:	NOUN
          VOC:	qud~Am
        GLOSS:	front/in front of

 INPUT STRING:	مجلس
     IS_TRANS:	mjls
        INDEX:	P29W9
      OFFSETS:	39-43
       TOKENS:	P29W12-P29W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(majolis)
          POS:	NOUN_PROP
          VOC:	majolis
        GLOSS:	council/board

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P29W10
      OFFSETS:	44-49
       TOKENS:	P29W13-P29W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$aEob)
          POS:	DET+NOUN_PROP
          VOC:	Al+$aEob
        GLOSS:	the+people/nation

 INPUT STRING:	الالاف
     IS_TRANS:	AlAlAf
        INDEX:	P29W11
      OFFSETS:	50-56
       TOKENS:	P29W14-P29W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alof_1]
   UNSPLITVOC:	(AlAlAf)
          POS:	DET+NOUN_NUM
          VOC:	Al+AlAf
        GLOSS:	the+thousands

 INPUT STRING:	المؤلفه
     IS_TRANS:	Alm&lfh
        INDEX:	P29W12
      OFFSETS:	57-64
       TOKENS:	P29W15-P29W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Almu&lafah_1]
   UNSPLITVOC:	(Almu&lafah)
          POS:	DET+ADJ
          VOC:	Al+mu&lafah
        GLOSS:	the+thousands

 INPUT STRING:	وهشوف
     IS_TRANS:	wh$wf
        INDEX:	P29W13
      OFFSETS:	65-70
       TOKENS:	P29W16-P29W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(wiHaAa$uwf)
          POS:	CONJ+FUT_PART+IV1S+IV
          VOC:	wi+Ha+Aa+$uwf
        GLOSS:	and+will+I+look

 INPUT STRING:	وجه
     IS_TRANS:	wjh
        INDEX:	P29W14
      OFFSETS:	71-74
       TOKENS:	P29W19-P29W19
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wajoh_1]
   UNSPLITVOC:	(wajoh)
          POS:	NOUN
          VOC:	wajoh
        GLOSS:	face/front

 INPUT STRING:	لوجه
     IS_TRANS:	lwjh
        INDEX:	P29W15
      OFFSETS:	75-79
       TOKENS:	P29W20-P29W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wajoh_1]
   UNSPLITVOC:	(liwajoh)
          POS:	PREP+NOUN
          VOC:	li+wajoh
        GLOSS:	for/to+face/front

 INPUT STRING:	دكتور
     IS_TRANS:	dktwr
        INDEX:	P29W16
      OFFSETS:	80-85
       TOKENS:	P29W22-P29W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dukotawr_1]
   UNSPLITVOC:	(dukotawr)
          POS:	NOUN
          VOC:	dukotawr
        GLOSS:	doctor

 INPUT STRING:	البرادعى
     IS_TRANS:	AlbrAdEY
        INDEX:	P29W17
      OFFSETS:	86-94
       TOKENS:	P29W23-P29W23
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[barAdiEiy~_2]
   UNSPLITVOC:	(AlbarAdiEiy~)
          POS:	DET+NOUN_PROP
          VOC:	Al+barAdiEiy~
        GLOSS:	the+Baradei

 INPUT STRING:	وحمدى
     IS_TRANS:	wHmdY
        INDEX:	P29W18
      OFFSETS:	95-100
       TOKENS:	P29W24-P29W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamodiy_1]
   UNSPLITVOC:	(wiHamodiy)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+Hamodiy
        GLOSS:	and+Hamdiy

 INPUT STRING:	قنديل
     IS_TRANS:	qndyl
        INDEX:	P29W19
      OFFSETS:	101-106
       TOKENS:	P29W26-P29W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qanodiyl_1]
   UNSPLITVOC:	(qanodiyl)
          POS:	NOUN_PROP
          VOC:	qanodiyl
        GLOSS:	qanodiyl

 INPUT STRING:	ومصطفى
     IS_TRANS:	wmSTfY
        INDEX:	P29W20
      OFFSETS:	107-113
       TOKENS:	P29W27-P29W28
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muSoTafaY_2]
   UNSPLITVOC:	(wamuSoTafaY)
          POS:	CONJ+NOUN_PROP
          VOC:	wa+muSoTafaY
        GLOSS:	and+Mustafa/Moustapha

 INPUT STRING:	بكرى
     IS_TRANS:	bkrY
        INDEX:	P29W21
      OFFSETS:	114-118
       TOKENS:	P29W29-P29W29
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bakoriy~_1]
   UNSPLITVOC:	(bakoriy~)
          POS:	NOUN_PROP
          VOC:	bakoriy~
        GLOSS:	Bakri

 INPUT STRING:	والعالم
     IS_TRANS:	wAlEAlm
        INDEX:	P29W22
      OFFSETS:	119-126
       TOKENS:	P29W30-P29W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAlam_1]
   UNSPLITVOC:	(wiAlEAlam)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+EAlam
        GLOSS:	and+the+people

 INPUT STRING:	الحلوه
     IS_TRANS:	AlHlwh
        INDEX:	P29W23
      OFFSETS:	127-133
       TOKENS:	P29W32-P29W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilow_1]
   UNSPLITVOC:	(AlHilowap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Hilow+ap
        GLOSS:	the+nice+[fem.sg.]

 INPUT STRING:	ديه
     IS_TRANS:	dyh
        INDEX:	P29W24
      OFFSETS:	134-137
       TOKENS:	P29W33-P29W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[diy~ap]
   UNSPLITVOC:	(diy~ap)
          POS:	DEM_PRON_FS
          VOC:	diy~ap
        GLOSS:	this

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P30W1
      OFFSETS:	1-3
       TOKENS:	P30W1-P30W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	PART
          VOC:	mA
        GLOSS:	[particle]

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P30W2
      OFFSETS:	4-6
       TOKENS:	P30W2-P30W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he

 INPUT STRING:	اكيد
     IS_TRANS:	Akyd
        INDEX:	P30W3
      OFFSETS:	7-11
       TOKENS:	P30W3-P30W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aakiyd_1]
   UNSPLITVOC:	(Akiyd)
          POS:	ADJ
          VOC:	Akiyd
        GLOSS:	certain/definite

 INPUT STRING:	هم
     IS_TRANS:	hm
        INDEX:	P30W4
      OFFSETS:	12-14
       TOKENS:	P30W4-P30W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P30W5
      OFFSETS:	15-17
       TOKENS:	P30W5-P30W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	no/not

 INPUT STRING:	هيقفوا
     IS_TRANS:	hyqfwA
        INDEX:	P30W6
      OFFSETS:	18-24
       TOKENS:	P30W6-P30W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[waqaf_1]
   UNSPLITVOC:	(hayuqufuwA)
          POS:	FUT_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	ha+yu+quf+uwA
        GLOSS:	will+they+stand+[pl.]

 INPUT STRING:	بره
     IS_TRANS:	brh
        INDEX:	P30W7
      OFFSETS:	25-28
       TOKENS:	P30W8-P30W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bar~ah_1]
   UNSPLITVOC:	(bar~ah)
          POS:	NOUN
          VOC:	bar~ah
        GLOSS:	outside

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P30W8
      OFFSETS:	29-31
       TOKENS:	P30W9-P30W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	هيقفوا
     IS_TRANS:	hyqfwA
        INDEX:	P30W9
      OFFSETS:	32-38
       TOKENS:	P30W10-P30W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[waqaf_1]
   UNSPLITVOC:	(hayuqufuwA)
          POS:	FUT_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	ha+yu+quf+uwA
        GLOSS:	will+they+stand+[pl.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P30W10
      OFFSETS:	39-41
       TOKENS:	P30W12-P30W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	وسط
     IS_TRANS:	wsT
        INDEX:	P30W11
      OFFSETS:	42-45
       TOKENS:	P30W13-P30W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wasaT_1]
   UNSPLITVOC:	(wasaT)
          POS:	NOUN
          VOC:	wasaT
        GLOSS:	center/environment

 INPUT STRING:	المعمعه
     IS_TRANS:	AlmEmEh
        INDEX:	P30W12
      OFFSETS:	46-53
       TOKENS:	P30W14-P30W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEomaEap_1]
   UNSPLITVOC:	(AlmaEomaEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+maEomaE+ap
        GLOSS:	the+confusion/uproar+[fem.sg.]

 INPUT STRING:	وسرعت
     IS_TRANS:	wsrEt
        INDEX:	P31W1
      OFFSETS:	1-6
       TOKENS:	P31W1-P31W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[saraE_1]
   UNSPLITVOC:	(wisaraEt)
          POS:	CONJ+PV+PVSUFF_SUBJ:1S
          VOC:	wi+saraE+t
        GLOSS:	and+hasten/hurry+I [verb]

 INPUT STRING:	خطوتى
     IS_TRANS:	xTwtY
        INDEX:	P31W2
      OFFSETS:	7-12
       TOKENS:	P31W3-P31W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xaTwap_1]
   UNSPLITVOC:	(xaTwaptiy)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	xaTw+ap+tiy
        GLOSS:	step+[fem.sg.]+my

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P31W3
      OFFSETS:	13-17
       TOKENS:	P31W5-P31W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$a>on
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	الحق
     IS_TRANS:	AlHq
        INDEX:	P31W4
      OFFSETS:	18-22
       TOKENS:	P31W7-P31W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laHaq_1]
   UNSPLITVOC:	(AaloHaq)
          POS:	IV1S+IV
          VOC:	Aa+loHaq
        GLOSS:	I+follow/attach

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P31W5
      OFFSETS:	23-30
       TOKENS:	P31W8-P31W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P31W6
      OFFSETS:	31-33
       TOKENS:	P31W9-P31W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	اوله
     IS_TRANS:	Awlh
        INDEX:	P31W7
      OFFSETS:	34-38
       TOKENS:	P31W10-P31W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aw~il_1]
   UNSPLITVOC:	(>aw~iluh)
          POS:	ADJ_NUM+POSS_PRON_3MS
          VOC:	>aw~il+uh
        GLOSS:	first+its/his

 INPUT STRING:	طبعا
     IS_TRANS:	TbEA
        INDEX:	P32W1
      OFFSETS:	1-5
       TOKENS:	P32W1-P32W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaboE_1]
   UNSPLITVOC:	(TaboEAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	TaboE+AF
        GLOSS:	temperament/naturally/of course+[acc.indef.]

 INPUT STRING:	احب
     IS_TRANS:	AHb
        INDEX:	P32W2
      OFFSETS:	6-9
       TOKENS:	P32W2-P32W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(AaHib~)
          POS:	IV1S+IV
          VOC:	Aa+Hib~
        GLOSS:	I+love

 INPUT STRING:	انى
     IS_TRANS:	AnY
        INDEX:	P32W3
      OFFSETS:	10-13
       TOKENS:	P32W3-P32W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~iy)
          POS:	SUB_CONJ+PRON_1S
          VOC:	<in~+iy
        GLOSS:	that+I

 INPUT STRING:	انبه
     IS_TRANS:	Anbh
        INDEX:	P32W4
      OFFSETS:	14-18
       TOKENS:	P32W5-P32W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nabih_]
   UNSPLITVOC:	(>anabih)
          POS:	IV1S+IV
          VOC:	>a+nabih
        GLOSS:	I+alert

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P32W5
      OFFSETS:	19-21
       TOKENS:	P32W6-P32W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ino_1]
   UNSPLITVOC:	(<ino)
          POS:	SUB_CONJ
          VOC:	<ino
        GLOSS:	that

 INPUT STRING:	عدد
     IS_TRANS:	Edd
        INDEX:	P32W6
      OFFSETS:	22-25
       TOKENS:	P32W7-P32W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eadad_1]
   UNSPLITVOC:	(Eadad)
          POS:	NOUN
          VOC:	Eadad
        GLOSS:	number/quantity/issue/numbers/issues

 INPUT STRING:	القوات
     IS_TRANS:	AlqwAt
        INDEX:	P32W7
      OFFSETS:	26-32
       TOKENS:	P32W8-P32W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quw~ap_1]
   UNSPLITVOC:	(Alquw~At)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+quw~+At
        GLOSS:	the+power/strength/force/violence/armed forces/power/forces+[fem.pl.]

 INPUT STRING:	والامن
     IS_TRANS:	wAlAmn
        INDEX:	P32W8
      OFFSETS:	33-39
       TOKENS:	P32W9-P32W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>amon_1]
   UNSPLITVOC:	(waAl>amon)
          POS:	CONJ+DET+NOUN
          VOC:	wa+Al+>amon
        GLOSS:	and+the+security/safety

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P32W9
      OFFSETS:	40-44
       TOKENS:	P32W11-P32W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	that

 INPUT STRING:	عمال
     IS_TRANS:	EmAl
        INDEX:	P32W10
      OFFSETS:	45-49
       TOKENS:	P32W12-P32W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eam~Al_1]
   UNSPLITVOC:	(Eam~Al)
          POS:	NOUN
          VOC:	Eam~Al
        GLOSS:	still

 INPUT STRING:	اشوفهم
     IS_TRANS:	A$wfhm
        INDEX:	P32W11
      OFFSETS:	50-56
       TOKENS:	P32W13-P32W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(Aa$uwfhum)
          POS:	IV1S+IV+IVSUFF_DO:3P
          VOC:	Aa+$uwf+hum
        GLOSS:	I+look+them

 INPUT STRING:	الاف
     IS_TRANS:	AlAf
        INDEX:	P32W12
      OFFSETS:	57-61
       TOKENS:	P32W15-P32W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alof_1]
   UNSPLITVOC:	(AlAf)
          POS:	NOUN_NUM
          VOC:	AlAf
        GLOSS:	thousands

 INPUT STRING:	قولت
     IS_TRANS:	qwlt
        INDEX:	P33W1
      OFFSETS:	1-5
       TOKENS:	P33W1-P33W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(quwlt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	quwl+t
        GLOSS:	said+I

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P33W2
      OFFSETS:	6-8
       TOKENS:	P33W2-P33W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	عقل
     IS_TRANS:	Eql
        INDEX:	P33W3
      OFFSETS:	9-12
       TOKENS:	P33W3-P33W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eaqol_1]
   UNSPLITVOC:	(Eaqol)
          POS:	NOUN
          VOC:	Eaqol
        GLOSS:	mind/intellect/brain

 INPUT STRING:	بالى
     IS_TRANS:	bAlY
        INDEX:	P33W4
      OFFSETS:	13-17
       TOKENS:	P33W4-P33W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAl_1]
   UNSPLITVOC:	(bAliy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	bAl+iy
        GLOSS:	mind/attention+my

 INPUT STRING:	دول
     IS_TRANS:	dwl
        INDEX:	P33W5
      OFFSETS:	18-21
       TOKENS:	P33W6-P33W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawol_1]
   UNSPLITVOC:	(dawol)
          POS:	DEM_PRON_P
          VOC:	dawol
        GLOSS:	these/those

 INPUT STRING:	قدنا
     IS_TRANS:	qdnA
        INDEX:	P33W6
      OFFSETS:	22-26
       TOKENS:	P33W7-P33W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qad~_1]
   UNSPLITVOC:	(qad~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	qad~+nA
        GLOSS:	size/physique+our

 INPUT STRING:	مائة
     IS_TRANS:	mA}p
        INDEX:	P33W7
      OFFSETS:	27-31
       TOKENS:	P33W9-P33W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miy~ap]
   UNSPLITVOC:	(miyt)
          POS:	NOUN_NUM
          VOC:	miyt
        GLOSS:	hundred

 INPUT STRING:	مره
     IS_TRANS:	mrh
        INDEX:	P33W8
      OFFSETS:	32-35
       TOKENS:	P33W10-P33W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mar~ap_1]
   UNSPLITVOC:	(mar~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mar~+ap
        GLOSS:	occasion/time/moment+[fem.sg.]

 INPUT STRING:	رد
     IS_TRANS:	rd
        INDEX:	P34W1
      OFFSETS:	1-3
       TOKENS:	P34W1-P34W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rad~_1]
   UNSPLITVOC:	(rad~)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	rad~+(null)
        GLOSS:	reply+he

 INPUT STRING:	عليا
     IS_TRANS:	ElyA
        INDEX:	P34W2
      OFFSETS:	4-8
       TOKENS:	P34W2-P34W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaYyA)
          POS:	PREP+PRON_1S
          VOC:	EalaY+yA
        GLOSS:	on/above+me

 INPUT STRING:	عقل
     IS_TRANS:	Eql
        INDEX:	P34W3
      OFFSETS:	9-12
       TOKENS:	P34W4-P34W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eaqol_1]
   UNSPLITVOC:	(Eaqol)
          POS:	NOUN
          VOC:	Eaqol
        GLOSS:	mind/intellect/brain/senses/intellects/brains/intellectually/mentally

 INPUT STRING:	بالى
     IS_TRANS:	bAlY
        INDEX:	P34W4
      OFFSETS:	13-17
       TOKENS:	P34W5-P34W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAl_1]
   UNSPLITVOC:	(bAliy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	bAl+iy
        GLOSS:	mind/attention+my

 INPUT STRING:	علطول
     IS_TRANS:	ElTwl
        INDEX:	P34W5
      OFFSETS:	18-23
       TOKENS:	P34W7-P34W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tuwl_1]
   UNSPLITVOC:	(EalaTuwl)
          POS:	PREP+NOUN
          VOC:	EalaY+Tuwl
        GLOSS:	on/above+always

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P34W6
      OFFSETS:	24-26
       TOKENS:	P34W9-P34W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	PART
          VOC:	mA
        GLOSS:	[part]

 INPUT STRING:	انتى
     IS_TRANS:	AntY
        INDEX:	P34W7
      OFFSETS:	27-31
       TOKENS:	P34W10-P34W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you

 INPUT STRING:	لسه
     IS_TRANS:	lsh
        INDEX:	P34W8
      OFFSETS:	32-35
       TOKENS:	P34W11-P34W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	still

 INPUT STRING:	مدخلتش
     IS_TRANS:	mdxlt$
        INDEX:	P34W9
      OFFSETS:	36-42
       TOKENS:	P34W12-P34W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[daxal_1]
   UNSPLITVOC:	(mAdaxaltiy$)
