 INPUT STRING:	يابنتي
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	INTERJ
          VOC:	Tay~ib
        GLOSS:	ok/so

 INPUT STRING:	بأذن
     IS_TRANS:	b>*n
        INDEX:	P8W2
      OFFSETS:	4-8
       TOKENS:	P8W2-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<i*on_1]
   UNSPLITVOC:	(bi<i*on)
          POS:	PREP+NOUN
          VOC:	bi+<i*on
        GLOSS:	with/by+permission/authorization/bonds

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P8W3
      OFFSETS:	9-13
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	god

 INPUT STRING:	هيكون
     IS_TRANS:	hykwn
        INDEX:	P8W4
      OFFSETS:	14-19
       TOKENS:	P8W5-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(Hayikuwn)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+kuwn
        GLOSS:	will+he/it+be/was/were

 INPUT STRING:	كلام
     IS_TRANS:	klAm
        INDEX:	P8W5
      OFFSETS:	20-24
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kilomap_1]
   UNSPLITVOC:	(kalAm)
          POS:	NOUN
          VOC:	kalAm
        GLOSS:	talk/remark/speech/saying

 INPUT STRING:	النائب
     IS_TRANS:	AlnA}b
        INDEX:	P8W6
      OFFSETS:	25-31
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nA}ib_1]
   UNSPLITVOC:	(Aln~A}ib)
          POS:	DET+NOUN
          VOC:	Al+nA}ib
        GLOSS:	the+deputy/delegate/vice-/deputies/delegates

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P8W7
      OFFSETS:	32-34
       TOKENS:	P8W9-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P8W8
      OFFSETS:	35-39
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whow/whom/what/whose/which

 INPUT STRING:	صح
     IS_TRANS:	SH
        INDEX:	P8W9
      OFFSETS:	40-42
       TOKENS:	P8W11-P8W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaH~_1]
   UNSPLITVOC:	(SaH~)
          POS:	ADJ
          VOC:	SaH~
        GLOSS:	right/good/true/correct

 INPUT STRING:	وربنا
     IS_TRANS:	wrbnA
        INDEX:	P8W10
      OFFSETS:	43-48
       TOKENS:	P8W12-P8W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(wirab~inA)
          POS:	CONJ+NOUN+POSS_PRON_1P
          VOC:	wi+rab~+nA
        GLOSS:	and+lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	يفضح
     IS_TRANS:	yfDH
        INDEX:	P8W11
      OFFSETS:	49-53
       TOKENS:	P8W15-P8W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faDaH_1]
   UNSPLITVOC:	(yifoDaH)
          POS:	IV3MS+IV
          VOC:	yi+foDaH
        GLOSS:	he/it+exposes

 INPUT STRING:	الكدابين
     IS_TRANS:	AlkdAbyn
        INDEX:	P8W12
      OFFSETS:	54-62
       TOKENS:	P8W16-P8W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kad~Ab_1]
   UNSPLITVOC:	(Alkad~Abiyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+kad~Ab+iyn
        GLOSS:	the+lying+two

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P8W13
      OFFSETS:	63-67
       TOKENS:	P8W17-P8W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whow/whom/what/whose/which

 INPUT STRING:	بيرموا
     IS_TRANS:	byrmwA
        INDEX:	P8W14
      OFFSETS:	68-74
       TOKENS:	P8W18-P8W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ramaY_1]
   UNSPLITVOC:	(biyiromuwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+rom+uwA
        GLOSS:	[present-tense]+they+throw/fling/shoot/be thrown/be flung/be shot+we

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P8W15
      OFFSETS:	75-80
       TOKENS:	P8W20-P8W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	بالباطل
     IS_TRANS:	bAlbATl
        INDEX:	P8W16
      OFFSETS:	81-88
       TOKENS:	P8W21-P8W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bATil_1]
   UNSPLITVOC:	(biAlbATil)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+bATil
        GLOSS:	with/by+the+falsehood

 INPUT STRING:	ماطبعا
     IS_TRANS:	mATbEA
        INDEX:	P9W1
      OFFSETS:	0-6
       TOKENS:	P9W1-P9W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mATbEA)
          POS:	NO_FUNC
          VOC:	mATbEA
        GLOSS:	nogloss

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P9W2
      OFFSETS:	7-9
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P9W3
      OFFSETS:	10-12
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	حزب
     IS_TRANS:	Hzb
        INDEX:	P9W4
      OFFSETS:	13-16
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hizob_1]
   UNSPLITVOC:	(Hizob)
          POS:	NOUN
          VOC:	Hizob
        GLOSS:	party/band/parties/bands

 INPUT STRING:	النور
     IS_TRANS:	Alnwr
        INDEX:	P9W5
      OFFSETS:	17-22
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nuwr_1]
   UNSPLITVOC:	(Aln~uwr)
          POS:	DET+NOUN_PROP
          VOC:	Al+nuwr
        GLOSS:	the+Nour/Noor

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P9W6
      OFFSETS:	23-27
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	NOUN
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	يحصل
     IS_TRANS:	yHSl
        INDEX:	P9W7
      OFFSETS:	28-32
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaSal_1]
   UNSPLITVOC:	(yiHoSal)
          POS:	IV3MS+IV
          VOC:	yi+HoSal
        GLOSS:	he/it+obtain/acquire/get/be obtained/be acquired/occur/happen/take place

 INPUT STRING:	كدة
     IS_TRANS:	kdp
        INDEX:	P9W8
      OFFSETS:	33-36
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidap_1]
   UNSPLITVOC:	(kidap)
          POS:	NOUN
          VOC:	kidap
        GLOSS:	this/like/in this way/thus/such/such as/this way

 INPUT STRING:	اومال
     IS_TRANS:	AwmAl
        INDEX:	P10W1
      OFFSETS:	0-5
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>um~Al_1]
   UNSPLITVOC:	(>um~Al)
          POS:	ADV
          VOC:	>um~Al
        GLOSS:	hence then

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P10W2
      OFFSETS:	6-9
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as/when

 INPUT STRING:	ابو
     IS_TRANS:	Abw
        INDEX:	P10W3
      OFFSETS:	10-13
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>abuw_1]
   UNSPLITVOC:	(>abuw)
          POS:	NOUN_PROP
          VOC:	>abuw
        GLOSS:	Abu

 INPUT STRING:	الفتوح
     IS_TRANS:	AlftwH
        INDEX:	P10W4
      OFFSETS:	14-20
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[futuwH_1]
   UNSPLITVOC:	(AlfutuwH)
          POS:	DET+NOUN_PROP
          VOC:	Al+futuwH
        GLOSS:	the+Fotouh/Futouh

 INPUT STRING:	والا
     IS_TRANS:	wAlA
        INDEX:	P10W5
      OFFSETS:	21-25
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wAl~A)
          POS:	CONJ
          VOC:	wAl~A
        GLOSS:	or

 INPUT STRING:	وكيل
     IS_TRANS:	wkyl
        INDEX:	P10W6
      OFFSETS:	26-30
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wakiyl_1]
   UNSPLITVOC:	(wakiyl)
          POS:	NOUN
          VOC:	wakiyl
        GLOSS:	agent

 INPUT STRING:	اللجنة
     IS_TRANS:	Alljnp
        INDEX:	P10W7
      OFFSETS:	31-37
       TOKENS:	P10W7-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lajonap_1]
   UNSPLITVOC:	(All~ajonap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+lajon+ap
        GLOSS:	the+council/committee/commission/councils/committees/commissions+[fem.sg.]

 INPUT STRING:	الصحية
     IS_TRANS:	AlSHyp
        INDEX:	P10W8
      OFFSETS:	38-44
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SiH~iy_1]
   UNSPLITVOC:	(AlS~iH~iy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+SiH~iy~+ap
        GLOSS:	the+sanitary/health+[fem.sg.]

 INPUT STRING:	حصلهم
     IS_TRANS:	HSlhm
        INDEX:	P10W9
      OFFSETS:	45-50
       TOKENS:	P10W9-P10W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaSal_1]
   UNSPLITVOC:	(HaSalhum)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3P
          VOC:	HaSal+(null)+hum
        GLOSS:	obtain/acquire/get/be obtained/be acquired/occur/happen/take place+he/it+them

 INPUT STRING:	كدة
     IS_TRANS:	kdp
        INDEX:	P10W10
      OFFSETS:	51-54
       TOKENS:	P10W11-P10W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidap_1]
   UNSPLITVOC:	(kidap)
          POS:	NOUN
          VOC:	kidap
        GLOSS:	this/like/in this way/thus/such/such as/this way

 INPUT STRING:	وناس
     IS_TRANS:	wnAs
        INDEX:	P10W11
      OFFSETS:	55-59
       TOKENS:	P10W12-P10W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(winAs)
          POS:	CONJ+NOUN
          VOC:	wi+nAs
        GLOSS:	and+people

 INPUT STRING:	طلعت
     IS_TRANS:	TlEt
        INDEX:	P10W12
      OFFSETS:	60-64
       TOKENS:	P10W14-P10W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TiliE_1]
   UNSPLITVOC:	(TiloEit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	TiloE+it
        GLOSS:	exit/go out/become/rise/appear+it/they/she

 INPUT STRING:	ضربتهم
     IS_TRANS:	Drbthm
        INDEX:	P10W13
      OFFSETS:	65-71
       TOKENS:	P10W15-P10W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Darab_1]
   UNSPLITVOC:	(Darabithum)
          POS:	PV+PVSUFF_SUBJ:3FS+PVSUFF_DO:3P
          VOC:	Darab+it+hum
        GLOSS:	strike/hit/be struck/be hit+it/they/she+them

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P10W14
      OFFSETS:	72-75
       TOKENS:	P10W17-P10W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	حسب
     IS_TRANS:	Hsb
        INDEX:	P10W15
      OFFSETS:	76-79
       TOKENS:	P10W18-P10W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hasab_1]
   UNSPLITVOC:	(Hasab)
          POS:	NOUN
          VOC:	Hasab
        GLOSS:	according to/in accordance with

 INPUT STRING:	ماقالوا
     IS_TRANS:	mAqAlwA
        INDEX:	P10W16
      OFFSETS:	80-87
       TOKENS:	P10W19-P10W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mAqAluwA]
   UNSPLITVOC:	(mAqAluwA)
          POS:	SUB_CONJ+PV+PVSUFF_SUBJ:3P
          VOC:	mA+qAl+uwA
        GLOSS:	which+said/say/be said/(for example)+they

 INPUT STRING:	معملناش
     IS_TRANS:	mEmlnA$
        INDEX:	P10W17
      OFFSETS:	88-95
       TOKENS:	P10W21-P10W21
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mEmlnA$)
          POS:	NO_FUNC
          VOC:	mEmlnA$
        GLOSS:	nogloss

 INPUT STRING:	كدة
     IS_TRANS:	kdp
        INDEX:	P10W18
      OFFSETS:	96-99
       TOKENS:	P10W22-P10W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidap_1]
   UNSPLITVOC:	(kidap)
          POS:	NOUN
          VOC:	kidap
        GLOSS:	this/like/in this way/thus/such/such as/this way

 INPUT STRING:	يعنى
     IS_TRANS:	yEnY
        INDEX:	P10W19
      OFFSETS:	100-104
       TOKENS:	P10W23-P10W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern/be meant/be signified/be concerned (with)

 INPUT STRING:	ومطلعش
     IS_TRANS:	wmTlE$
        INDEX:	P10W20
      OFFSETS:	105-111
       TOKENS:	P10W24-P10W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TiliE_1]
   UNSPLITVOC:	(wimA_TiliE$)
          POS:	CONJ+NEG_PART+PV+PVSUFF_SUBJ:3MS+NEG_PART
          VOC:	wi+mA+TiliE+(null)+$
        GLOSS:	and+not+exit/go out/become/rise/appear+he/it+not

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P10W21
      OFFSETS:	112-114
       TOKENS:	P10W28-P10W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	stop/halt/end/extent/limit/level/border/frontier

 INPUT STRING:	كدبهم
     IS_TRANS:	kdbhm
        INDEX:	P10W22
      OFFSETS:	115-120
       TOKENS:	P10W29-P10W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kad~ib_1]
   UNSPLITVOC:	(kad~ibhum)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3P
          VOC:	kad~ib+(null)+hum
        GLOSS:	accuse of lies/disbelief+he/it+them

 INPUT STRING:	وقال
     IS_TRANS:	wqAl
        INDEX:	P10W23
      OFFSETS:	121-125
       TOKENS:	P10W31-P10W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(wiqAl)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+qAl+(null)
        GLOSS:	and+said/say/be said/(for example)+he/it

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P10W24
      OFFSETS:	126-128
       TOKENS:	P10W33-P10W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not/non-

 INPUT STRING:	محصلش
     IS_TRANS:	mHSl$
        INDEX:	P10W25
      OFFSETS:	129-134
       TOKENS:	P10W34-P10W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaSal_1]
   UNSPLITVOC:	(mA_HaSal$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:3MS+NEG_PART
          VOC:	mA+HaSal+(null)+$
        GLOSS:	not+obtain/acquire/get/be obtained/be acquired/occur/happen/take place+he/it+not

 INPUT STRING:	سبحان
     IS_TRANS:	sbHAn
        INDEX:	P11W1
      OFFSETS:	0-5
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suboHAn_1]
   UNSPLITVOC:	(suboHAn)
          POS:	NOUN
          VOC:	suboHAn
        GLOSS:	praise

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P11W2
      OFFSETS:	6-10
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	god

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P11W3
      OFFSETS:	11-16
       TOKENS:	P11W3-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(wiAll~ah)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+All~ah
        GLOSS:	and+god

 INPUT STRING:	نتقى
     IS_TRANS:	ntqY
        INDEX:	P12W1
      OFFSETS:	0-4
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[<itaqaY_1]
   UNSPLITVOC:	(nitiqiy)
          POS:	IV1P+IV
          VOC:	ni+tiqiy
        GLOSS:	we+fear

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P12W2
      OFFSETS:	5-9
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	god

 INPUT STRING:	شوية
     IS_TRANS:	$wyp
        INDEX:	P12W3
      OFFSETS:	10-14
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$uway~ap_1]
   UNSPLITVOC:	($uway~ap)
          POS:	NOUN_QUANT
          VOC:	$uway~ap
        GLOSS:	few/some/a little/several/a few

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P12W4
      OFFSETS:	15-17
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	اقوالنا
     IS_TRANS:	AqwAlnA
        INDEX:	P12W5
      OFFSETS:	18-25
       TOKENS:	P12W5-P12W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawl_1]
   UNSPLITVOC:	(AqowAlnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	AqowAl+nA
        GLOSS:	statement/remark/in word/verbally/by word/statements/reports/remarks+our

 INPUT STRING:	وافعالنا
     IS_TRANS:	wAfEAlnA
        INDEX:	P12W6
      OFFSETS:	26-34
       TOKENS:	P12W7-P12W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(wiAfoEAlnA)
          POS:	CONJ+NOUN+POSS_PRON_1P
          VOC:	wi+AfoEAl+nA
        GLOSS:	and+activities+our

 INPUT STRING:	ا
     IS_TRANS:	A
        INDEX:	P13W1
      OFFSETS:	0-1
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(A)
          POS:	TYPO
          VOC:	A
        GLOSS:	nogloss

 INPUT STRING:	لنائب
     IS_TRANS:	lnA}b
        INDEX:	P13W2
      OFFSETS:	2-7
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nA}ib_1]
   UNSPLITVOC:	(AlnA}ib)
          POS:	DET+NOUN
          VOC:	Al+nA}ib
        GLOSS:	THE+deputy/delegate/vice-/deputies/delegates

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P13W3
      OFFSETS:	8-10
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	these/this

 INPUT STRING:	حط
     IS_TRANS:	HT
        INDEX:	P13W4
      OFFSETS:	11-13
       TOKENS:	P13W4-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaT~_1]
   UNSPLITVOC:	(HaT~)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	HaT~+(null)
        GLOSS:	descend/land/set down/lower+he/it

 INPUT STRING:	نفسه
     IS_TRANS:	nfsh
        INDEX:	P13W5
      OFFSETS:	14-18
       TOKENS:	P13W5-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafasuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	nafos+uh
        GLOSS:	same/self/selves/soul/souls+his/its

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P13W6
      OFFSETS:	19-21
       TOKENS:	P13W7-P13W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
