 INPUT STRING:	اللي
      OFFSETS:	48-52
       TOKENS:	P41W12-P41W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafosuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	nafos+uh
        GLOSS:	same/self/selves+his/its

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P41W11
      OFFSETS:	52-53
       TOKENS:	P41W14-P41W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	فلا
     IS_TRANS:	flA
        INDEX:	P41W12
      OFFSETS:	54-57
       TOKENS:	P41W15-P41W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(falA)
          POS:	CONJ+NEG_PART
          VOC:	fa+lA
        GLOSS:	so/and+no/not

 INPUT STRING:	تقاطعه
     IS_TRANS:	tqATEh
        INDEX:	P41W13
      OFFSETS:	58-64
       TOKENS:	P41W17-P41W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qATaE_1]
   UNSPLITVOC:	(tiqAToEuh)
          POS:	IV2MS+IV+IVSUFF_DO:3MS
          VOC:	ti+qAToE+uh
        GLOSS:	you+be angry with+them

 INPUT STRING:	مبروووك
     IS_TRANS:	mbrwwwk
        INDEX:	P42W1
      OFFSETS:	0-7
       TOKENS:	P42W1-P42W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mabruwk_1]
   UNSPLITVOC:	(mabruwk)
          POS:	ADJ
          VOC:	mabruwk
        GLOSS:	blessed

 INPUT STRING:	عليهم
     IS_TRANS:	Elyhm
        INDEX:	P42W2
      OFFSETS:	8-13
       TOKENS:	P42W2-P42W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayhum)
          POS:	PREP+PRON_3P
          VOC:	EalaY+hum
        GLOSS:	on/above+them

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P42W3
      OFFSETS:	14-17
       TOKENS:	P42W4-P42W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(miSor)
          POS:	NOUN_PROP
          VOC:	miSor
        GLOSS:	Egypt

 INPUT STRING:	فعلا
     IS_TRANS:	fElA
        INDEX:	P43W1
      OFFSETS:	0-4
       TOKENS:	P43W1-P43W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(fiEolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	fiEol+AF
        GLOSS:	doing/act/action/actually/in effect/acts/actions/deeds/exploits+[acc.indef.]

 INPUT STRING:	عرفوا
     IS_TRANS:	ErfwA
        INDEX:	P43W2
      OFFSETS:	5-10
       TOKENS:	P43W2-P43W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(EirofuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	Eirof+uwA
        GLOSS:	know+they

 INPUT STRING:	يفرقونا
     IS_TRANS:	yfrqwnA
        INDEX:	P43W3
      OFFSETS:	11-18
       TOKENS:	P43W3-P43W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[far~aq_1]
   UNSPLITVOC:	(yifar~aquwAnA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:1P
          VOC:	yi+far~aq+uwA+nA
        GLOSS:	they+seperate+they+us

 INPUT STRING:	مسلم
     IS_TRANS:	mslm
        INDEX:	P43W4
      OFFSETS:	19-23
       TOKENS:	P43W5-P43W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misal~im_1]
   UNSPLITVOC:	(misal~im)
          POS:	ADJ
          VOC:	misal~im
        GLOSS:	Muslim

 INPUT STRING:	ومسيحي
     IS_TRANS:	wmsyHy
        INDEX:	P43W5
      OFFSETS:	24-30
       TOKENS:	P43W6-P43W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misiyHiy_1]
   UNSPLITVOC:	(wimisiyHiy)
          POS:	CONJ+ADJ
          VOC:	wi+misiyHiy
        GLOSS:	and+Christian

 INPUT STRING:	اخوان
     IS_TRANS:	AxwAn
        INDEX:	P43W6
      OFFSETS:	31-36
       TOKENS:	P43W8-P43W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AixowAn_1]
   UNSPLITVOC:	(AixowAn)
          POS:	NOUN_PROP
          VOC:	AixowAn
        GLOSS:	Ikhwan

 INPUT STRING:	وسلفي
     IS_TRANS:	wslfy
        INDEX:	P43W7
      OFFSETS:	37-42
       TOKENS:	P43W9-P43W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salafiy_1]
   UNSPLITVOC:	(wisalafiy)
          POS:	CONJ+ADJ
          VOC:	wi+salafiy
        GLOSS:	and+Salafi/Salafist

 INPUT STRING:	وليبرالي
     IS_TRANS:	wlybrAly
        INDEX:	P43W8
      OFFSETS:	43-51
       TOKENS:	P43W11-P43W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[liybirAliy_1]
   UNSPLITVOC:	(wiliybirAliy)
          POS:	CONJ+ADJ
          VOC:	wi+liybirAliy
        GLOSS:	and+liberal

 INPUT STRING:	وعلماني
     IS_TRANS:	wElmAny
        INDEX:	P43W9
      OFFSETS:	52-59
       TOKENS:	P43W13-P43W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EilomAniy_1]
   UNSPLITVOC:	(wiEilomAniy)
          POS:	CONJ+ADJ
          VOC:	wi+EilomAniy
        GLOSS:	and+secular

 INPUT STRING:	قاهري
     IS_TRANS:	qAhry
        INDEX:	P43W10
      OFFSETS:	60-65
       TOKENS:	P43W15-P43W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAhiriy_1]
   UNSPLITVOC:	(qAhiriy)
          POS:	ADJ
          VOC:	qAhiriy
        GLOSS:	Cairene

 INPUT STRING:	وبورسعيدي
     IS_TRANS:	wbwrsEydy
        INDEX:	P43W11
      OFFSETS:	66-75
       TOKENS:	P43W16-P43W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[buwrosaEiydiy_1]
   UNSPLITVOC:	(wibuwrosaEiydiy)
          POS:	CONJ+ADJ
          VOC:	wi+buwrosaEiydiy
        GLOSS:	and+from/of Port Said

 INPUT STRING:	ولسه
     IS_TRANS:	wlsh
        INDEX:	P44W1
      OFFSETS:	0-4
       TOKENS:	P44W1-P44W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(wilis~ah)
          POS:	CONJ+ADV
          VOC:	wi+lis~ah
        GLOSS:	and+still

 INPUT STRING:	البقية
     IS_TRANS:	Albqyp
        INDEX:	P44W2
      OFFSETS:	5-11
       TOKENS:	P44W3-P44W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqiy~ap_1]
   UNSPLITVOC:	(Albaqiy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+baqiy~+ap
        GLOSS:	the+remainder/remnant/remainders/remnants+[fem.sg.]

 INPUT STRING:	تاتي
     IS_TRANS:	tAty
        INDEX:	P44W3
      OFFSETS:	12-16
       TOKENS:	P44W4-P44W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ataY_1]
   UNSPLITVOC:	(tAtY)
          POS:	IV3FS+IV
          VOC:	t+AtY
        GLOSS:	it/they/she+come

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P45W1
      OFFSETS:	0-5
       TOKENS:	P45W1-P45W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	الي
     IS_TRANS:	Aly
        INDEX:	P45W2
      OFFSETS:	6-9
       TOKENS:	P45W2-P45W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	بتقول
     IS_TRANS:	btqwl
        INDEX:	P45W3
      OFFSETS:	10-15
       TOKENS:	P45W3-P45W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bitiquwl)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+quwl
        GLOSS:	[present-tense]+it/they/she+said/say/be said/say/(for example)

 INPUT STRING:	البورسعيدية
     IS_TRANS:	AlbwrsEydyp
        INDEX:	P45W4
      OFFSETS:	16-27
       TOKENS:	P45W5-P45W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[buwrosaEiydiy_1]
   UNSPLITVOC:	(AlbuwrosaEiydiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+buwrosaEiydiy~+ap
        GLOSS:	the+from/of Port Said+[fem.sg.]

 INPUT STRING:	بيكرهوا
     IS_TRANS:	bykrhwA
        INDEX:	P45W5
      OFFSETS:	28-35
       TOKENS:	P45W6-P45W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kirih_1]
   UNSPLITVOC:	(biyikorahuwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+korah+uwA
        GLOSS:	[present-tense]+they+hate+they

 INPUT STRING:	القاهرية
     IS_TRANS:	AlqAhryp
        INDEX:	P45W6
      OFFSETS:	36-44
       TOKENS:	P45W8-P45W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAhiriy_1]
   UNSPLITVOC:	(AlqAhiriy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+qAhiriy~+ap
        GLOSS:	the+Cairene+[fem.sg.]

 INPUT STRING:	والاسمعلوية
     IS_TRANS:	wAlAsmElwyp
        INDEX:	P45W7
      OFFSETS:	45-56
       TOKENS:	P45W9-P45W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AismaElawiy_1]
   UNSPLITVOC:	(waAlAismaElawiy~ap)
          POS:	CONJ+DET+ADJ+NSUFF_FEM_SG
          VOC:	wa+Al+AismaElawiy~+ap
        GLOSS:	and+the+rom Ismailia+[fem.sg.]

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P45W8
      OFFSETS:	57-60
       TOKENS:	P45W11-P45W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layoh_1]
   UNSPLITVOC:	(layoh)
          POS:	INTERROG_ADV
          VOC:	layoh
        GLOSS:	why

 INPUT STRING:	احب
     IS_TRANS:	AHb
        INDEX:	P46W1
      OFFSETS:	0-3
       TOKENS:	P46W1-P46W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(AaHib~)
          POS:	IV1S+IV
          VOC:	Aa+Hib~
        GLOSS:	I+like/love

 INPUT STRING:	اقولهم
     IS_TRANS:	Aqwlhm
        INDEX:	P46W2
      OFFSETS:	4-10
       TOKENS:	P46W2-P46W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(Aaquwlluhum)
          POS:	IV1S+IV+PREP+PRON_3P
          VOC:	Aa+quwl+lu+hum
        GLOSS:	I+say+to+them

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P46W3
      OFFSETS:	11-13
       TOKENS:	P46W5-P46W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	عمرنا
     IS_TRANS:	EmrnA
        INDEX:	P46W4
      OFFSETS:	14-19
       TOKENS:	P46W6-P46W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eumor_1]
   UNSPLITVOC:	(EumorinA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	Eumor+nA
        GLOSS:	age/life/ages/age groups+our

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P46W5
      OFFSETS:	20-22
       TOKENS:	P46W8-P46W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	اتعملنا
     IS_TRANS:	AtEmlnA
        INDEX:	P46W6
      OFFSETS:	23-30
       TOKENS:	P46W9-P46W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoEamal_1]
   UNSPLITVOC:	(AitoEamalnA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	AitoEamal+nA
        GLOSS:	behave+we

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P46W7
      OFFSETS:	31-33
       TOKENS:	P46W10-P46W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maE
        GLOSS:	something with

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P46W8
      OFFSETS:	34-36
       TOKENS:	P46W11-P46W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	extent/limit/level/border/frontier/limits/person

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P46W9
      OFFSETS:	37-40
       TOKENS:	P46W12-P46W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	اساس
     IS_TRANS:	AsAs
        INDEX:	P46W10
      OFFSETS:	41-45
       TOKENS:	P46W13-P46W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asAs_1]
   UNSPLITVOC:	(>asAs)
          POS:	NOUN
          VOC:	>asAs
        GLOSS:	foundation/basis/foundations/bases/primarily/basically

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P46W11
      OFFSETS:	46-48
       TOKENS:	P46W14-P46W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he

 INPUT STRING:	منين
     IS_TRANS:	mnyn
        INDEX:	P46W12
      OFFSETS:	49-53
       TOKENS:	P46W15-P46W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[minayon_1]
   UNSPLITVOC:	(minayon)
          POS:	REL_ADV
          VOC:	minayon
        GLOSS:	from where

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P46W13
      OFFSETS:	53-54
       TOKENS:	P46W16-P46W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P46W14
      OFFSETS:	54-55
       TOKENS:	P46W17-P46W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	عايزة
     IS_TRANS:	EAyzp
        INDEX:	P46W15
      OFFSETS:	55-60
       TOKENS:	P46W18-P46W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyozap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	EAyoz+ap
        GLOSS:	wanting+[fem.sg.]

 INPUT STRING:	سبب
     IS_TRANS:	sbb
        INDEX:	P46W16
      OFFSETS:	61-64
       TOKENS:	P46W19-P46W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabab_1]
   UNSPLITVOC:	(sabab)
          POS:	NOUN
          VOC:	sabab
        GLOSS:	reason/cause/because of/due to

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P46W17
      OFFSETS:	65-70
       TOKENS:	P46W20-P46W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$a>on
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	نكرهم
     IS_TRANS:	nkrhm
        INDEX:	P46W18
      OFFSETS:	71-76
       TOKENS:	P46W22-P46W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kirih_1]
   UNSPLITVOC:	(nikrahum)
          POS:	IV1P+IV+IVSUFF_DO:3P
          VOC:	ni+kra+hum
        GLOSS:	we+hate+them

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P47W1
      OFFSETS:	0-3
       TOKENS:	P47W1-P47W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	عمر
     IS_TRANS:	Emr
        INDEX:	P47W2
      OFFSETS:	4-7
       TOKENS:	P47W2-P47W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eumor_1]
   UNSPLITVOC:	(Eumor)
          POS:	NOUN
          VOC:	Eumor
        GLOSS:	age/life/ages/age groups

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P47W3
      OFFSETS:	8-10
       TOKENS:	P47W3-P47W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	تعاملت
     IS_TRANS:	tEAmlt
        INDEX:	P47W4
      OFFSETS:	11-17
       TOKENS:	P47W4-P47W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AitEAmil_1]
   UNSPLITVOC:	(tEAmalt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	tEAmal+t
        GLOSS:	behave+I

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P47W5
      OFFSETS:	18-20
       TOKENS:	P47W5-P47W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	اي
     IS_TRANS:	Ay
        INDEX:	P47W6
      OFFSETS:	21-23
       TOKENS:	P47W6-P47W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P47W7
      OFFSETS:	24-26
       TOKENS:	P47W7-P47W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	extent/limit/level/border/frontier/limits/person

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P47W8
      OFFSETS:	27-30
       TOKENS:	P47W8-P47W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	اساس
     IS_TRANS:	AsAs
        INDEX:	P47W9
      OFFSETS:	31-35
       TOKENS:	P47W9-P47W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asAs_1]
   UNSPLITVOC:	(>asAs)
          POS:	NOUN
          VOC:	>asAs
        GLOSS:	foundation/basis/foundations/bases/primarily/basically

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P47W10
      OFFSETS:	36-38
       TOKENS:	P47W10-P47W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	دا
     IS_TRANS:	dA
        INDEX:	P47W11
      OFFSETS:	39-41
       TOKENS:	P47W11-P47W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this [masc.sg.]

 INPUT STRING:	مسيحي
     IS_TRANS:	msyHy
        INDEX:	P47W12
      OFFSETS:	42-47
       TOKENS:	P47W12-P47W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misiyHiy_1]
   UNSPLITVOC:	(misiyHiy)
          POS:	ADJ
          VOC:	misiyHiy
        GLOSS:	Christian

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P47W13
      OFFSETS:	48-51
       TOKENS:	P47W13-P47W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	دا
     IS_TRANS:	dA
        INDEX:	P47W14
      OFFSETS:	52-54
       TOKENS:	P47W14-P47W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this [masc.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P47W15
      OFFSETS:	55-57
       TOKENS:	P47W15-P47W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الاخوان
     IS_TRANS:	AlAxwAn
        INDEX:	P47W16
      OFFSETS:	58-65
       TOKENS:	P47W16-P47W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AixwAn_1]
   UNSPLITVOC:	(AlAixwAn)
          POS:	DET+NOUN_PROP
          VOC:	Al+AixwAn
        GLOSS:	the+Ikhwan

 INPUT STRING:	المسميات
     IS_TRANS:	AlmsmyAt
        INDEX:	P47W17
      OFFSETS:	66-74
       TOKENS:	P47W17-P47W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musam~ay_1]
   UNSPLITVOC:	(Almusam~ayAt)
          POS:	DET+ADJ+NSUFF_FEM_PL
          VOC:	Al+musam~ay+At
        GLOSS:	the+called/named+[fem.pl.]

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P47W18
      OFFSETS:	75-77
       TOKENS:	P47W18-P47W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
