 INPUT STRING:	من
        GLOSS:	with/by+the+grandeur

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P4W34
      OFFSETS:	176-177
       TOKENS:	P4W39-P4W39
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	الغطرسة
     IS_TRANS:	AlgTrsp
        INDEX:	P4W35
      OFFSETS:	178-185
       TOKENS:	P4W40-P4W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gaTorasap_1]
   UNSPLITVOC:	(AlgaTorasap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+gaToras+ap
        GLOSS:	the+arrogance/insolence+[fem.sg.]

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P5W1
      OFFSETS:	0-2
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	INTERROG_PRON
          VOC:	mA
        GLOSS:	what/which

 INPUT STRING:	رائيك
     IS_TRANS:	rA}yk
        INDEX:	P5W2
      OFFSETS:	3-8
       TOKENS:	P5W2-P5W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(rA}yk)
          POS:	TYPO
          VOC:	rA}yk
        GLOSS:	nogloss

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P5W3
      OFFSETS:	9-11
       TOKENS:	P5W3-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	داعية
     IS_TRANS:	dAEyp
        INDEX:	P5W4
      OFFSETS:	12-17
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dAEiyap_1]
   UNSPLITVOC:	(dAEiyap)
          POS:	NOUN
          VOC:	dAEiyap
        GLOSS:	missionary

 INPUT STRING:	اسلامي
     IS_TRANS:	AslAmy
        INDEX:	P5W5
      OFFSETS:	18-24
       TOKENS:	P5W5-P5W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isolAmiy_1]
   UNSPLITVOC:	(<isolAmiy)
          POS:	ADJ
          VOC:	<isolAmiy
        GLOSS:	Islamic/Muslim/Islamist

 INPUT STRING:	لم
     IS_TRANS:	lm
        INDEX:	P5W6
      OFFSETS:	25-27
       TOKENS:	P5W6-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lam_1]
   UNSPLITVOC:	(lam)
          POS:	NEG_PART
          VOC:	lam
        GLOSS:	did not

 INPUT STRING:	يقول
     IS_TRANS:	yqwl
        INDEX:	P5W7
      OFFSETS:	28-32
       TOKENS:	P5W7-P5W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(yaquwl)
          POS:	IV3MS+IV
          VOC:	ya+quwl
        GLOSS:	he/it+said/say/be said/(for example)

 INPUT STRING:	كلمة
     IS_TRANS:	klmp
        INDEX:	P5W8
      OFFSETS:	33-37
       TOKENS:	P5W8-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kilomap_1]
   UNSPLITVOC:	(kilomap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	kilom+ap
        GLOSS:	talk/remark/speech/saying+[fem.sg.]

 INPUT STRING:	واحدة
     IS_TRANS:	wAHdp
        INDEX:	P5W9
      OFFSETS:	38-43
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHodap_1]
   UNSPLITVOC:	(wAHodap)
          POS:	NOUN_NUM+NSUFF_FEM_SG
          VOC:	wAHod+ap
        GLOSS:	one+[fem.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P5W10
      OFFSETS:	44-46
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الدعوة
     IS_TRANS:	AldEwp
        INDEX:	P5W11
      OFFSETS:	47-53
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEowap_1]
   UNSPLITVOC:	(Ald~aEowap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+daEow+ap
        GLOSS:	the+call/invitation/supplication/calls/invitations/supplications/(Islamic) missionary work/propaganda+[fem.sg.]

 INPUT STRING:	الي
     IS_TRANS:	Aly
        INDEX:	P5W12
      OFFSETS:	54-57
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	النهوض
     IS_TRANS:	AlnhwD
        INDEX:	P5W13
      OFFSETS:	58-64
       TOKENS:	P5W13-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nuhuwD_1]
   UNSPLITVOC:	(Aln~uhuwD)
          POS:	DET+NOUN
          VOC:	Al+nuhuwD
        GLOSS:	the+promotion/advancement

 INPUT STRING:	ببلدة
     IS_TRANS:	bbldp
        INDEX:	P5W14
      OFFSETS:	65-70
       TOKENS:	P5W14-P5W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(bibaladuh)
          POS:	PREP+NOUN+POSS_PRON_3MS
          VOC:	bi+balad+uh
        GLOSS:	with/by+country/countries+his/its

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P5W15
      OFFSETS:	71-72
       TOKENS:	P5W17-P5W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	الاتحاد
     IS_TRANS:	AlAtHAd
        INDEX:	P5W16
      OFFSETS:	73-80
       TOKENS:	P5W18-P5W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ait~iHAd_1]
   UNSPLITVOC:	(AlAit~iHAd)
          POS:	DET+NOUN
          VOC:	Al+Ait~iHAd
        GLOSS:	the+union

 INPUT STRING:	والتكاتف
     IS_TRANS:	wAltkAtf
        INDEX:	P5W17
      OFFSETS:	81-89
       TOKENS:	P5W19-P5W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[takAtuf_1]
   UNSPLITVOC:	(waAltakAtuf)
          POS:	PREP+DET+NOUN
          VOC:	wa+Al+takAtuf
        GLOSS:	and+the+solidarity

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P5W18
      OFFSETS:	90-91
       TOKENS:	P5W21-P5W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P5W19
      OFFSETS:	92-94
       TOKENS:	P5W22-P5W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	كلماتة
     IS_TRANS:	klmAtp
        INDEX:	P5W20
      OFFSETS:	95-101
       TOKENS:	P5W23-P5W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kilomap_1]
   UNSPLITVOC:	(kalimAtuh)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_3MS
          VOC:	kalim+At+uh
        GLOSS:	talk/remark/speech/saying+[fem.pl.]+his/its

 INPUT STRING:	دعوات
     IS_TRANS:	dEwAt
        INDEX:	P5W21
      OFFSETS:	102-107
       TOKENS:	P5W25-P5W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEowap_1]
   UNSPLITVOC:	(daEawAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	daEaw+At
        GLOSS:	call/invitation/supplication/calls/invitations/supplications/(Islamic) missionary work/propaganda+[fem.pl.]

 INPUT STRING:	الي
     IS_TRANS:	Aly
        INDEX:	P5W22
      OFFSETS:	108-111
       TOKENS:	P5W26-P5W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	العنف
     IS_TRANS:	AlEnf
        INDEX:	P5W23
      OFFSETS:	112-117
       TOKENS:	P5W27-P5W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eunof_1]
   UNSPLITVOC:	(AlEunof)
          POS:	DET+NOUN
          VOC:	Al+Eunof
        GLOSS:	the+violence/force

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P5W24
      OFFSETS:	118-119
       TOKENS:	P5W28-P5W28
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	الفتن
     IS_TRANS:	Alftn
        INDEX:	P5W25
      OFFSETS:	120-125
       TOKENS:	P5W29-P5W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faton_1]
   UNSPLITVOC:	(Alfaton)
          POS:	DET+NOUN
          VOC:	Al+faton
        GLOSS:	the+sedition/dissension/discord

 INPUT STRING:	يكفيك
     IS_TRANS:	ykfyk
        INDEX:	P5W26
      OFFSETS:	126-131
       TOKENS:	P5W30-P5W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kafaY_1]
   UNSPLITVOC:	(yikafiyak)
          POS:	IV3MS+IV+IVSUFF_DO:2MS
          VOC:	yi+kafiy+ak
        GLOSS:	he/it+be enough/suffice+you

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P5W27
      OFFSETS:	132-135
       TOKENS:	P5W32-P5W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*A)
          POS:	DEM_PRON_MS
          VOC:	ha*A
        GLOSS:	these/this

 INPUT STRING:	اما
     IS_TRANS:	AmA
        INDEX:	P5W28
      OFFSETS:	136-139
       TOKENS:	P5W33-P5W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<im~A_1]
   UNSPLITVOC:	(<im~A)
          POS:	CONJ
          VOC:	<im~A
        GLOSS:	Either/whether/if

 INPUT STRING:	تريد
     IS_TRANS:	tryd
        INDEX:	P5W29
      OFFSETS:	140-144
       TOKENS:	P5W34-P5W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>arAd_1]
   UNSPLITVOC:	(turiyd)
          POS:	IV2MS+IV
          VOC:	tu+riyd
        GLOSS:	you+want/desire/intend/be desired/be intended

 INPUT STRING:	اسئلة
     IS_TRANS:	As}lp
        INDEX:	P5W30
      OFFSETS:	145-150
       TOKENS:	P5W35-P5W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[su&Al_1]
   UNSPLITVOC:	(>aso}ilap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	>aso}il+ap
        GLOSS:	question/inquiry/questions/inquiries+[fem.sg.]

 INPUT STRING:	اخري
     IS_TRANS:	Axry
        INDEX:	P5W31
      OFFSETS:	151-155
       TOKENS:	P5W36-P5W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[>uxoraY_1]
   UNSPLITVOC:	(>uxoraY)
          POS:	ADJ
          VOC:	>uxoraY
        GLOSS:	other/another/additional/others

 INPUT STRING:	هل
     IS_TRANS:	hl
        INDEX:	P5W32
      OFFSETS:	156-158
       TOKENS:	P5W37-P5W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(hal)
          POS:	INTERROG_PART
          VOC:	hal
        GLOSS:	do?/is?

 INPUT STRING:	تعلم
     IS_TRANS:	tElm
        INDEX:	P5W33
      OFFSETS:	159-163
       TOKENS:	P5W38-P5W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eilim_1]
   UNSPLITVOC:	(tiEolam)
          POS:	IV2MS+IV
          VOC:	ti+Eolam
        GLOSS:	you+know/find out

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P5W34
      OFFSETS:	164-166
       TOKENS:	P5W39-P5W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[man_1]
   UNSPLITVOC:	(man)
          POS:	INTERROG_PRON
          VOC:	man
        GLOSS:	who/whom

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P5W35
      OFFSETS:	167-170
       TOKENS:	P5W40-P5W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*A)
          POS:	DEM_PRON_MS
          VOC:	ha*A
        GLOSS:	these/this

 INPUT STRING:	الشخص
     IS_TRANS:	Al$xS
        INDEX:	P5W36
      OFFSETS:	171-176
       TOKENS:	P5W41-P5W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$axoS_1]
   UNSPLITVOC:	(Al$~axoS)
          POS:	DET+NOUN
          VOC:	Al+$axoS
        GLOSS:	the+individual/person/individuals/persons

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P5W37
      OFFSETS:	177-179
       TOKENS:	P5W42-P5W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he

 INPUT STRING:	ابو
     IS_TRANS:	Abw
        INDEX:	P5W38
      OFFSETS:	180-183
       TOKENS:	P5W43-P5W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>abuw_1]
   UNSPLITVOC:	(>abuw)
          POS:	NOUN_PROP
          VOC:	>abuw
        GLOSS:	Abu

 INPUT STRING:	اسماعيل
     IS_TRANS:	AsmAEyl
        INDEX:	P5W39
      OFFSETS:	184-191
       TOKENS:	P5W44-P5W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isomAEiyl_1]
   UNSPLITVOC:	(<isomAEiyl)
          POS:	NOUN_PROP
          VOC:	<isomAEiyl
        GLOSS:	Ishmael/Ismail

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P6W1
      OFFSETS:	0-2
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	سيدي
     IS_TRANS:	sydy
        INDEX:	P6W2
      OFFSETS:	3-7
       TOKENS:	P6W2-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[say~id_1]
   UNSPLITVOC:	(siydiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	siyd+iy
        GLOSS:	Sir/Mr./Mister/Sirs/Messrs./gentlement/master+my

 INPUT STRING:	نحن
     IS_TRANS:	nHn
        INDEX:	P6W3
      OFFSETS:	8-11
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naHnu_1]
   UNSPLITVOC:	(naHonu)
          POS:	PRON_1P
          VOC:	naHonu
        GLOSS:	we

 INPUT STRING:	لسنا
     IS_TRANS:	lsnA
        INDEX:	P6W4
      OFFSETS:	12-16
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[layosa_1]
   UNSPLITVOC:	(lasonA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	las+nA
        GLOSS:	not be+we

 INPUT STRING:	مسيحينن
     IS_TRANS:	msyHynn
        INDEX:	P6W5
      OFFSETS:	17-24
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(msyHynn)
          POS:	TYPO
          VOC:	msyHynn
        GLOSS:	nogloss

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P6W6
      OFFSETS:	25-26
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	مشايخنا
     IS_TRANS:	m$AyxnA
        INDEX:	P6W7
      OFFSETS:	27-34
       TOKENS:	P6W8-P6W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$iyx_1]
   UNSPLITVOC:	(ma$AyixnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	ma$Ayix+nA
        GLOSS:	Sheikhs/chieftains+our

 INPUT STRING:	مقدسين
     IS_TRANS:	mqdsyn
        INDEX:	P6W8
      OFFSETS:	35-41
       TOKENS:	P6W10-P6W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muqad~as_1]
   UNSPLITVOC:	(muqad~asiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	muqad~as+iyn
        GLOSS:	holy/sacred+pl

 INPUT STRING:	نعم
     IS_TRANS:	nEm
        INDEX:	P6W9
      OFFSETS:	42-45
       TOKENS:	P6W11-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naEam_1]
   UNSPLITVOC:	(naEam)
          POS:	INTERJ
          VOC:	naEam
        GLOSS:	yes

 INPUT STRING:	مشايخنا
     IS_TRANS:	m$AyxnA
        INDEX:	P6W10
      OFFSETS:	46-53
       TOKENS:	P6W12-P6W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$iyx_1]
   UNSPLITVOC:	(ma$AyixnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	ma$Ayix+nA
        GLOSS:	Sheikhs/chieftains+our

 INPUT STRING:	لهم
     IS_TRANS:	lhm
        INDEX:	P6W11
      OFFSETS:	54-57
       TOKENS:	P6W14-P6W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luhum)
          POS:	PREP+PRON_3P
          VOC:	li+hum
        GLOSS:	in/from/for/with/to+they

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P6W12
      OFFSETS:	58-60
       TOKENS:	P6W16-P6W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	الاحترام
     IS_TRANS:	AlAHtrAm
        INDEX:	P6W13
      OFFSETS:	61-69
       TOKENS:	P6W17-P6W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHotirAm_1]
   UNSPLITVOC:	(AlAiHotirAm)
          POS:	DET+NOUN
          VOC:	Al+AiHotirAm
        GLOSS:	the+respect/honoring

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P6W14
      OFFSETS:	70-71
       TOKENS:	P6W18-P6W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	لكن
     IS_TRANS:	lkn
        INDEX:	P6W15
      OFFSETS:	72-75
       TOKENS:	P6W19-P6W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(lakin)
          POS:	CONJ
          VOC:	lakin
        GLOSS:	Rather/even/but/yet/however/but rather

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P6W16
      OFFSETS:	76-78
       TOKENS:	P6W20-P6W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not/non-

 INPUT STRING:	نقدسهم
     IS_TRANS:	nqdshm
        INDEX:	P6W17
      OFFSETS:	79-85
       TOKENS:	P6W21-P6W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qad~as_1]
   UNSPLITVOC:	(nuqad~isohum)
          POS:	IV1P+IV+IVSUFF_MOOD:J+IVSUFF_DO:3MP
          VOC:	nu+qad~is+o+hum
        GLOSS:	we+consecrate/glorify/venerate+[jus.]+them

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P6W18
      OFFSETS:	86-88
       TOKENS:	P6W23-P6W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O/oh

 INPUT STRING:	ريت
     IS_TRANS:	ryt
        INDEX:	P6W19
      OFFSETS:	89-92
       TOKENS:	P6W24-P6W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rayot_1]
   UNSPLITVOC:	(rayot)
          POS:	PSEUDO_VERB
          VOC:	rayot
        GLOSS:	would God/would God!/I wish!/Would that!/wish/if only!/Would that/if only

 INPUT STRING:	تفكر
     IS_TRANS:	tfkr
        INDEX:	P6W20
      OFFSETS:	93-97
       TOKENS:	P6W25-P6W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fak~ar_1]
   UNSPLITVOC:	(tifak~ar)
          POS:	IV2MS+IV
          VOC:	ti+fak~ar
        GLOSS:	you+think/consider/ponder

 INPUT STRING:	بعقلك
     IS_TRANS:	bEqlk
        INDEX:	P6W21
      OFFSETS:	98-103
       TOKENS:	P6W26-P6W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eaqol_1]
   UNSPLITVOC:	(biEaqolak)
          POS:	PREP+NOUN+POSS_PRON_2MS
          VOC:	bi+Eaqol+ak
        GLOSS:	with/by+mind/intellect/brain/senses/intellects/brains/intellectually/mentally+your

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P6W22
      OFFSETS:	104-106
       TOKENS:	P6W29-P6W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بعواطفك
     IS_TRANS:	bEwATfk
        INDEX:	P6W23
      OFFSETS:	107-114
       TOKENS:	P6W30-P6W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EawTifap_1]
   UNSPLITVOC:	(biEawATifka)
          POS:	PART+NOUN+POSS_PRON_2MS
          VOC:	bi+EawATif+ka
        GLOSS:	[part.]+emotions/sentiments+your [masc.sg.]

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P7W1
      OFFSETS:	0-3
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
