 INPUT STRING:	العلمـــــــانيه
          POS:	PREP+NOUN+POSS_PRON_1S
          VOC:	bi+>ab+iy
        GLOSS:	with/by+father+my

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P21W36
      OFFSETS:	194-196
       TOKENS:	P21W58-P21W58
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he

 INPUT STRING:	وامي
     IS_TRANS:	wAmy
        INDEX:	P21W37
      OFFSETS:	197-201
       TOKENS:	P21W59-P21W61
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~_1]
   UNSPLITVOC:	(wa>um~iy)
          POS:	PREP+NOUN+POSS_PRON_1S
          VOC:	wa+>um~+iy
        GLOSS:	with+mother/maternal/mothers+my

 INPUT STRING:	ايوه
     IS_TRANS:	Aywh
        INDEX:	P22W1
      OFFSETS:	0-4
       TOKENS:	P22W1-P22W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ayowah_1]
   UNSPLITVOC:	(>ayowah)
          POS:	INTERJ
          VOC:	>ayowah
        GLOSS:	yes

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P22W2
      OFFSETS:	5-8
       TOKENS:	P22W2-P22W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	شيخ
     IS_TRANS:	$yx
        INDEX:	P22W3
      OFFSETS:	9-12
       TOKENS:	P22W3-P22W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ayx_1]
   UNSPLITVOC:	($ayx)
          POS:	NOUN
          VOC:	$ayx
        GLOSS:	Sheikh

 INPUT STRING:	بجري
     IS_TRANS:	bjry
        INDEX:	P22W4
      OFFSETS:	13-17
       TOKENS:	P22W4-P22W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jiriy_1]
   UNSPLITVOC:	(bAajoriy)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+joriy
        GLOSS:	[present-tense]+I+run

 INPUT STRING:	وبلعب
     IS_TRANS:	wblEb
        INDEX:	P22W5
      OFFSETS:	18-23
       TOKENS:	P22W6-P22W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[liEib_1]
   UNSPLITVOC:	(wibAaloEab)
          POS:	CONJ+PROG_PART+IV1S+IV
          VOC:	wi+bi+Aa+loEab
        GLOSS:	and+[present-tense]+I+play

 INPUT STRING:	وبضحك
     IS_TRANS:	wbDHk
        INDEX:	P22W6
      OFFSETS:	24-29
       TOKENS:	P22W9-P22W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DiHik_1]
   UNSPLITVOC:	(wibAaDoHak)
          POS:	CONJ+PROG_PART+IV1S+IV
          VOC:	wi+bi+Aa+DoHak
        GLOSS:	and+[present-tense]+I+laugh

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P22W7
      OFFSETS:	29-30
       TOKENS:	P22W12-P22W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P22W8
      OFFSETS:	30-31
       TOKENS:	P22W13-P22W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P22W9
      OFFSETS:	31-32
       TOKENS:	P22W14-P22W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P22W10
      OFFSETS:	32-33
       TOKENS:	P22W15-P22W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P22W11
      OFFSETS:	33-34
       TOKENS:	P22W16-P22W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P22W12
      OFFSETS:	34-35
       TOKENS:	P22W17-P22W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P22W13
      OFFSETS:	35-36
       TOKENS:	P22W18-P22W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P22W14
      OFFSETS:	37-39
       TOKENS:	P22W19-P22W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P22W15
      OFFSETS:	40-42
       TOKENS:	P22W20-P22W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	فلتان
     IS_TRANS:	fltAn
        INDEX:	P22W16
      OFFSETS:	43-48
       TOKENS:	P22W21-P22W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[falotAn_1]
   UNSPLITVOC:	(falotAn)
          POS:	ADJ
          VOC:	falotAn
        GLOSS:	wild/outlaw/out of control

 INPUT STRING:	ولاتيواني
     IS_TRANS:	wlAtywAny
        INDEX:	P22W17
      OFFSETS:	49-58
       TOKENS:	P22W22-P22W22
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wlAtywAny)
          POS:	NO_FUNC
          VOC:	wlAtywAny
        GLOSS:	nogloss

 INPUT STRING:	النبي
     IS_TRANS:	Alnby
        INDEX:	P23W1
      OFFSETS:	0-5
       TOKENS:	P23W1-P23W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nabiy_1]
   UNSPLITVOC:	(Aln~abiy)
          POS:	DET+NOUN
          VOC:	Al+nabiy
        GLOSS:	the+prophet

 INPUT STRING:	صلي
     IS_TRANS:	Sly
        INDEX:	P23W2
      OFFSETS:	6-9
       TOKENS:	P23W2-P23W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sal~ay_1]
   UNSPLITVOC:	(Sal~aY)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Sal~aY+(null)
        GLOSS:	pray/worship+he/it [verb]

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P23W3
      OFFSETS:	10-14
       TOKENS:	P23W3-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	عليه
     IS_TRANS:	Elyh
        INDEX:	P23W4
      OFFSETS:	15-19
       TOKENS:	P23W4-P23W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayh)
          POS:	PREP+PRON_3MS
          VOC:	EalaY+uh
        GLOSS:	on/above+he

 INPUT STRING:	وسلم
     IS_TRANS:	wslm
        INDEX:	P23W5
      OFFSETS:	20-24
       TOKENS:	P23W6-P23W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[salim_1]
   UNSPLITVOC:	(wasal~am)
          POS:	CONJ+PV
          VOC:	wa+sal~am
        GLOSS:	and+be safe

 INPUT STRING:	جري
     IS_TRANS:	jry
        INDEX:	P23W6
      OFFSETS:	25-28
       TOKENS:	P23W8-P23W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[joriy_1]
   UNSPLITVOC:	(jiriy)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	jiriy+(null)
        GLOSS:	run+he/it

 INPUT STRING:	ولاعب
     IS_TRANS:	wlAEb
        INDEX:	P23W7
      OFFSETS:	29-34
       TOKENS:	P23W9-P23W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAEib_1]
   UNSPLITVOC:	(wilAEib)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+lAEib+(null)
        GLOSS:	and+play with/jest with+he/it

 INPUT STRING:	السيده
     IS_TRANS:	Alsydh
        INDEX:	P23W8
      OFFSETS:	35-41
       TOKENS:	P23W11-P23W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[say~idap_1]
   UNSPLITVOC:	(Als~ay~idap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+say~id+ap
        GLOSS:	the+lady+[fem.sg.]

 INPUT STRING:	عائشه
     IS_TRANS:	EA}$h
        INDEX:	P23W9
      OFFSETS:	42-47
       TOKENS:	P23W12-P23W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EA}i$ap_1]
   UNSPLITVOC:	(EA}i$ap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	EA}i$+ap
        GLOSS:	Aisha+[fem.sg.]

 INPUT STRING:	كما
     IS_TRANS:	kmA
        INDEX:	P23W10
      OFFSETS:	48-51
       TOKENS:	P23W13-P23W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mA_7]
   UNSPLITVOC:	(kamA)
          POS:	PREP+REL_PRON
          VOC:	ka+mA
        GLOSS:	like/such as+what/which

 INPUT STRING:	ورد
     IS_TRANS:	wrd
        INDEX:	P23W11
      OFFSETS:	52-55
       TOKENS:	P23W15-P23W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[warad_1]
   UNSPLITVOC:	(warad)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	warad+(null)
        GLOSS:	appear/reach/arrive/come to/be mentioned+he/it

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P23W12
      OFFSETS:	56-58
       TOKENS:	P23W16-P23W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	السنه
     IS_TRANS:	Alsnh
        INDEX:	P23W13
      OFFSETS:	59-64
       TOKENS:	P23W17-P23W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sun~ap_1]
   UNSPLITVOC:	(Alsun~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+sun~+ap
        GLOSS:	the+customary procedure/ (Sunni) Islam+[fem.sg.]

 INPUT STRING:	انه
     IS_TRANS:	Anh
        INDEX:	P23W14
      OFFSETS:	65-68
       TOKENS:	P23W18-P23W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+he/it

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P23W15
      OFFSETS:	69-71
       TOKENS:	P23W20-P23W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	احدي
     IS_TRANS:	AHdy
        INDEX:	P23W16
      OFFSETS:	72-76
       TOKENS:	P23W21-P23W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHad_1]
   UNSPLITVOC:	(<iHodaY)
          POS:	NOUN
          VOC:	<iHodaY
        GLOSS:	one (of)/someone

 INPUT STRING:	غزواته
     IS_TRANS:	gzwAth
        INDEX:	P23W17
      OFFSETS:	77-83
       TOKENS:	P23W22-P23W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gazow_1]
   UNSPLITVOC:	(gazawAtuh)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_3MS
          VOC:	gazaw+At+uh
        GLOSS:	raids/invasions/forays/incursions+[fem.pl.]+its/his

 INPUT STRING:	قال
     IS_TRANS:	qAl
        INDEX:	P23W18
      OFFSETS:	84-87
       TOKENS:	P23W24-P23W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAl)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qAl+(null)
        GLOSS:	said/say/be said/say/(for example)+he/it

 INPUT STRING:	للجيش
     IS_TRANS:	lljy$
        INDEX:	P23W19
      OFFSETS:	88-93
       TOKENS:	P23W25-P23W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(liljay$)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+jay$
        GLOSS:	for/to+the+army/troops

 INPUT STRING:	تقدمو
     IS_TRANS:	tqdmw
        INDEX:	P23W20
      OFFSETS:	94-99
       TOKENS:	P23W27-P23W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taqad~am_1]
   UNSPLITVOC:	(taqad~amuwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	taqad~am+uwA
        GLOSS:	proceed+you

 INPUT STRING:	ثم
     IS_TRANS:	vm
        INDEX:	P23W21
      OFFSETS:	100-102
       TOKENS:	P23W28-P23W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vum~a_1]
   UNSPLITVOC:	(vum~a)
          POS:	CONJ
          VOC:	vum~a
        GLOSS:	then, afterwards, next, moreover

 INPUT STRING:	قال
     IS_TRANS:	qAl
        INDEX:	P23W22
      OFFSETS:	103-106
       TOKENS:	P23W29-P23W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAl)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qAl+(null)
        GLOSS:	said/say/be said/say/(for example)+he/it

 INPUT STRING:	لعائشه
     IS_TRANS:	lEA}$h
        INDEX:	P23W23
      OFFSETS:	107-113
       TOKENS:	P23W30-P23W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EA}i$_1]
   UNSPLITVOC:	(liEA}$ap)
          POS:	PREP+NOUN_PROP+NSUFF_FEM_SG
          VOC:	li+EA}$+ap
        GLOSS:	for/to+Aisha+[fem.sg.]

 INPUT STRING:	تسابقيني
     IS_TRANS:	tsAbqyny
        INDEX:	P23W24
      OFFSETS:	114-122
       TOKENS:	P23W32-P23W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sAbiq_1]
   UNSPLITVOC:	(tisAbqiyniy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS+IVSUFF_DO:1S
          VOC:	ti+sAbq+iy+niy
        GLOSS:	you+compete with/race with+you+me

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P23W25
      OFFSETS:	123-124
       TOKENS:	P23W34-P23W34
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	فقالت
     IS_TRANS:	fqAlt
        INDEX:	P23W26
      OFFSETS:	125-130
       TOKENS:	P23W35-P23W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(faqAlit)
          POS:	CONNEC_PART+PV+PVSUFF_SUBJ:3FS
          VOC:	fa+qAl+it
        GLOSS:	so/then+said/say/be said/say/(for example)+it/they/she

 INPUT STRING:	نعم
     IS_TRANS:	nEm
        INDEX:	P23W27
      OFFSETS:	131-134
       TOKENS:	P23W37-P23W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naEam_1]
   UNSPLITVOC:	(naEam)
          POS:	INTERJ
          VOC:	naEam
        GLOSS:	yes

 INPUT STRING:	فتسابقا
     IS_TRANS:	ftsAbqA
        INDEX:	P23W28
      OFFSETS:	135-142
       TOKENS:	P23W38-P23W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tasAbaq_1]
   UNSPLITVOC:	(fatasAbaqA)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MD
          VOC:	fa+tasAbaq+A
        GLOSS:	so/and+compete/race+they (both) [verb]

 INPUT STRING:	فسبقته
     IS_TRANS:	fsbqth
        INDEX:	P23W29
      OFFSETS:	143-149
       TOKENS:	P23W40-P23W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sabaq_1]
   UNSPLITVOC:	(fasabaqituh)
          POS:	CONJ+PV+PVSUFF_SUBJ:3FS+PVSUFF_DO:3MS
          VOC:	fa+sabaq+it+uh
        GLOSS:	so/and+precede/antecede/anticipate+it/they/she [verb]+it/him

 INPUT STRING:	السيده
     IS_TRANS:	Alsydh
        INDEX:	P23W30
      OFFSETS:	150-156
       TOKENS:	P23W43-P23W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[say~idap_1]
   UNSPLITVOC:	(Als~ay~idap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+say~id+ap
        GLOSS:	the+lady+[fem.sg.]

 INPUT STRING:	عائشه
     IS_TRANS:	EA}$h
        INDEX:	P23W31
      OFFSETS:	157-162
       TOKENS:	P23W44-P23W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EA}i$ap_1]
   UNSPLITVOC:	(EA}i$ap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	EA}i$+ap
        GLOSS:	Aisha+[fem.sg.]

 INPUT STRING:	ثم
     IS_TRANS:	vm
        INDEX:	P24W1
      OFFSETS:	0-2
       TOKENS:	P24W1-P24W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vum~a_1]
   UNSPLITVOC:	(vum~a)
          POS:	CONJ
          VOC:	vum~a
        GLOSS:	then, afterwards, next, moreover

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P24W2
      OFFSETS:	3-6
       TOKENS:	P24W2-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	فتره
     IS_TRANS:	ftrh
        INDEX:	P24W3
      OFFSETS:	7-11
       TOKENS:	P24W3-P24W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fatorap_1]
   UNSPLITVOC:	(fatorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fator+ap
        GLOSS:	phase/time period/interval/phases/time periods/intervals+[fem.sg.]

 INPUT STRING:	وكانت
     IS_TRANS:	wkAnt
        INDEX:	P24W4
      OFFSETS:	12-17
       TOKENS:	P24W4-P24W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(wikAnit)
          POS:	CONJ+PV+PVSUFF_SUBJ:3FS
          VOC:	wi+kAn+it
        GLOSS:	and+be+it/they/she

 INPUT STRING:	امنا
     IS_TRANS:	AmnA
        INDEX:	P24W5
      OFFSETS:	18-22
       TOKENS:	P24W6-P24W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~_1]
   UNSPLITVOC:	(>um~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	>um~+nA
        GLOSS:	mother/maternal/mothers+our

 INPUT STRING:	عائشه
     IS_TRANS:	EA}$h
        INDEX:	P24W6
      OFFSETS:	23-28
       TOKENS:	P24W8-P24W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EA}i$ap_1]
   UNSPLITVOC:	(EA}i$ap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	EA}i$+ap
        GLOSS:	Aisha+[fem.sg.]

 INPUT STRING:	قد
     IS_TRANS:	qd
        INDEX:	P24W7
      OFFSETS:	29-31
       TOKENS:	P24W9-P24W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qado_1]
   UNSPLITVOC:	(qado)
          POS:	VERB_PART
          VOC:	qado
        GLOSS:	may, might, perhaps, maybe, possibly, probably

 INPUT STRING:	ازداد
     IS_TRANS:	AzdAd
        INDEX:	P24W8
      OFFSETS:	32-37
       TOKENS:	P24W10-P24W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AizodAd_1]
   UNSPLITVOC:	(AizodAd)
          POS:	PV_PASS+PVSUFF_SUBJ:3MS
          VOC:	AizodAd+(null)
        GLOSS:	increase+he/it [verb]

 INPUT STRING:	وزنها
     IS_TRANS:	wznhA
        INDEX:	P24W9
      OFFSETS:	38-43
       TOKENS:	P24W11-P24W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[wazn_1]
   UNSPLITVOC:	(wazonahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	wazon+hA
        GLOSS:	weight+its/their/her

 INPUT STRING:	قال
     IS_TRANS:	qAl
        INDEX:	P24W10
      OFFSETS:	44-47
       TOKENS:	P24W13-P24W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAl)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qAl+(null)
        GLOSS:	said/say/be said/say/(for example)+he/it

 INPUT STRING:	لها
     IS_TRANS:	lhA
        INDEX:	P24W11
      OFFSETS:	48-51
       TOKENS:	P24W14-P24W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lahA)
          POS:	PREP+PRON_3FS
          VOC:	li+hA
        GLOSS:	for/to+she/it

 INPUT STRING:	اتسابقيني
     IS_TRANS:	AtsAbqyny
        INDEX:	P24W12
      OFFSETS:	52-61
       TOKENS:	P24W16-P24W16
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(AtsAbqyny)
          POS:	NO_FUNC
          VOC:	AtsAbqyny
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P24W13
      OFFSETS:	62-63
       TOKENS:	P24W17-P24W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	فقالت
     IS_TRANS:	fqAlt
        INDEX:	P24W14
      OFFSETS:	63-68
       TOKENS:	P24W18-P24W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(faqAlit)
