 INPUT STRING:	الاختلاف
      OFFSETS:	71-74
       TOKENS:	P33W21-P33W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Al_1]
   UNSPLITVOC:	($Al)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$Al+(null)
        GLOSS:	carry+he/it

 INPUT STRING:	طين
     IS_TRANS:	Tyn
        INDEX:	P33W18
      OFFSETS:	75-78
       TOKENS:	P33W22-P33W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tiyn_1]
   UNSPLITVOC:	(Tiyn)
          POS:	NOUN
          VOC:	Tiyn
        GLOSS:	clay

 INPUT STRING:	ياجمعه
     IS_TRANS:	yAjmEh
        INDEX:	P34W1
      OFFSETS:	0-6
       TOKENS:	P34W1-P34W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(yAjmEh)
          POS:	TYPO
          VOC:	yAjmEh
        GLOSS:	nogloss

 INPUT STRING:	حرام
     IS_TRANS:	HrAm
        INDEX:	P34W2
      OFFSETS:	7-11
       TOKENS:	P34W2-P34W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HarAm_1]
   UNSPLITVOC:	(HarAm)
          POS:	NOUN
          VOC:	HarAm
        GLOSS:	sin/offense

 INPUT STRING:	انتو
     IS_TRANS:	Antw
        INDEX:	P34W3
      OFFSETS:	12-16
       TOKENS:	P34W3-P34W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotuw_1]
   UNSPLITVOC:	(Ainotuw)
          POS:	PRON_2P
          VOC:	Ainotuw
        GLOSS:	you

 INPUT STRING:	فاهمن
     IS_TRANS:	fAhmn
        INDEX:	P34W4
      OFFSETS:	17-22
       TOKENS:	P34W4-P34W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(fAhmn)
          POS:	TYPO
          VOC:	fAhmn
        GLOSS:	nogloss

 INPUT STRING:	غلط
     IS_TRANS:	glT
        INDEX:	P34W5
      OFFSETS:	23-26
       TOKENS:	P34W5-P34W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[galaT_1]
   UNSPLITVOC:	(galaT)
          POS:	NOUN
          VOC:	galaT
        GLOSS:	error/blunder/mistakes/blunders

 INPUT STRING:	المشير
     IS_TRANS:	Alm$yr
        INDEX:	P34W6
      OFFSETS:	27-33
       TOKENS:	P34W6-P34W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$iyr_1]
   UNSPLITVOC:	(Almu$iyr)
          POS:	DET+NOUN
          VOC:	Al+mu$iyr
        GLOSS:	the+field marshal/general

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P34W7
      OFFSETS:	34-36
       TOKENS:	P34W7-P34W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he

 INPUT STRING:	السبب
     IS_TRANS:	Alsbb
        INDEX:	P34W8
      OFFSETS:	37-42
       TOKENS:	P34W8-P34W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabab_1]
   UNSPLITVOC:	(Als~abab)
          POS:	DET+NOUN
          VOC:	Al+sabab
        GLOSS:	the+reason/cause/because of/due to

 INPUT STRING:	ورا
     IS_TRANS:	wrA
        INDEX:	P34W9
      OFFSETS:	43-46
       TOKENS:	P34W9-P34W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[warA_1]
   UNSPLITVOC:	(warA)
          POS:	NOUN
          VOC:	warA
        GLOSS:	behind

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P34W10
      OFFSETS:	47-49
       TOKENS:	P34W10-P34W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	كله
     IS_TRANS:	klh
        INDEX:	P34W11
      OFFSETS:	50-53
       TOKENS:	P34W11-P34W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	kul~+uh
        GLOSS:	all, entire, every, whole+his/its

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P34W12
      OFFSETS:	54-58
       TOKENS:	P34W13-P34W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	بيحصل
     IS_TRANS:	byHSl
        INDEX:	P34W13
      OFFSETS:	59-64
       TOKENS:	P34W14-P34W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaSal_1]
   UNSPLITVOC:	(biyiHoSal)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+HoSal
        GLOSS:	[present-tense]+he/it+occur/happen/take place

 INPUT STRING:	انتو
     IS_TRANS:	Antw
        INDEX:	P34W14
      OFFSETS:	65-69
       TOKENS:	P34W16-P34W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotuw_1]
   UNSPLITVOC:	(Ainotuw)
          POS:	PRON_2P
          VOC:	Ainotuw
        GLOSS:	you

 INPUT STRING:	معاه
     IS_TRANS:	mEAh
        INDEX:	P34W15
      OFFSETS:	70-74
       TOKENS:	P34W17-P34W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	maEa+uh
        GLOSS:	with/at+his/its

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P34W16
      OFFSETS:	75-78
       TOKENS:	P34W19-P34W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layoh_1]
   UNSPLITVOC:	(layoh)
          POS:	INTERROG_PRON
          VOC:	layoh
        GLOSS:	why

 INPUT STRING:	اين
     IS_TRANS:	Ayn
        INDEX:	P35W1
      OFFSETS:	0-3
       TOKENS:	P35W1-P35W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ayona_1]
   UNSPLITVOC:	(>ayona)
          POS:	INTERROG_ADV
          VOC:	>ayona
        GLOSS:	where

 INPUT STRING:	الامن
     IS_TRANS:	AlAmn
        INDEX:	P35W2
      OFFSETS:	4-9
       TOKENS:	P35W2-P35W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amon_1]
   UNSPLITVOC:	(Al>amon)
          POS:	DET+NOUN
          VOC:	Al+>amon
        GLOSS:	the+security/safety

 INPUT STRING:	اين
     IS_TRANS:	Ayn
        INDEX:	P35W3
      OFFSETS:	10-13
       TOKENS:	P35W3-P35W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ayona_1]
   UNSPLITVOC:	(>ayona)
          POS:	INTERROG_ADV
          VOC:	>ayona
        GLOSS:	where

 INPUT STRING:	اين
     IS_TRANS:	Ayn
        INDEX:	P35W4
      OFFSETS:	14-17
       TOKENS:	P35W4-P35W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ayona_1]
   UNSPLITVOC:	(>ayona)
          POS:	INTERROG_ADV
          VOC:	>ayona
        GLOSS:	where

 INPUT STRING:	تحقيق
     IS_TRANS:	tHqyq
        INDEX:	P35W5
      OFFSETS:	18-23
       TOKENS:	P35W5-P35W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoqiyq_1]
   UNSPLITVOC:	(taHoqiyq)
          POS:	NOUN
          VOC:	taHoqiyq
        GLOSS:	achievement/realization

 INPUT STRING:	المطالب
     IS_TRANS:	AlmTAlb
        INDEX:	P35W6
      OFFSETS:	24-31
       TOKENS:	P35W6-P35W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maTlab_1]
   UNSPLITVOC:	(AlmaTAlib)
          POS:	DET+NOUN
          VOC:	Al+maTAlib
        GLOSS:	the+demonds

 INPUT STRING:	اين
     IS_TRANS:	Ayn
        INDEX:	P35W7
      OFFSETS:	32-35
       TOKENS:	P35W7-P35W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ayona_1]
   UNSPLITVOC:	(>ayona)
          POS:	INTERROG_ADV
          VOC:	>ayona
        GLOSS:	where

 INPUT STRING:	القصاص
     IS_TRANS:	AlqSAS
        INDEX:	P35W8
      OFFSETS:	36-42
       TOKENS:	P35W8-P35W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiSAS_1]
   UNSPLITVOC:	(AlqiSAS)
          POS:	DET+NOUN
          VOC:	Al+qiSAS
        GLOSS:	the+reprisal/retaliation/punishment

 INPUT STRING:	للشهداء
     IS_TRANS:	ll$hdA'
        INDEX:	P35W9
      OFFSETS:	43-50
       TOKENS:	P35W9-P35W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahiyd_1]
   UNSPLITVOC:	(lil$~uhadA')
          POS:	PREP+DET+NOUN
          VOC:	li+Al+$uhadA'
        GLOSS:	to/for+the+martyrs

 INPUT STRING:	زى
     IS_TRANS:	zY
        INDEX:	P35W10
      OFFSETS:	51-53
       TOKENS:	P35W11-P35W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	like/such as

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P35W11
      OFFSETS:	54-56
       TOKENS:	P35W12-P35W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that, whether

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P35W12
      OFFSETS:	57-60
       TOKENS:	P35W13-P35W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:2MS
          VOC:	kun+t
        GLOSS:	be+you

 INPUT STRING:	بتقولو
     IS_TRANS:	btqwlw
        INDEX:	P35W13
      OFFSETS:	61-67
       TOKENS:	P35W14-P35W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bitiquwluwA)
          POS:	PROG_PART+IV2P+IV+IVSUFF_SUBJ:P
          VOC:	bi+ti+quwl+uwA
        GLOSS:	[present-tense]+you+said/say/be said/say/(for example)+we

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P35W14
      OFFSETS:	68-71
       TOKENS:	P35W16-P35W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الثوار
     IS_TRANS:	AlvwAr
        INDEX:	P35W15
      OFFSETS:	72-78
       TOKENS:	P35W17-P35W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vAyir_1]
   UNSPLITVOC:	(Alv~uw~Ar)
          POS:	DET+NOUN
          VOC:	Al+vuw~Ar
        GLOSS:	the+protesters

 INPUT STRING:	بلطجيه
     IS_TRANS:	blTjyh
        INDEX:	P35W16
      OFFSETS:	79-85
       TOKENS:	P35W18-P35W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baloTajiy_1]
   UNSPLITVOC:	(baloTajiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	baloTajiy~+ap
        GLOSS:	gangster/ruffian+[fem.sg.]

 INPUT STRING:	ويريدو
     IS_TRANS:	wyrydw
        INDEX:	P35W17
      OFFSETS:	86-92
       TOKENS:	P35W19-P35W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>arAd_1]
   UNSPLITVOC:	(wiyiriyduwA)
          POS:	CONJ+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	wi+yi+riyd+uwA
        GLOSS:	and+they+want+they [pl.]

 INPUT STRING:	يخربوا
     IS_TRANS:	yxrbwA
        INDEX:	P35W18
      OFFSETS:	93-99
       TOKENS:	P35W21-P35W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xarab_1]
   UNSPLITVOC:	(yixoribuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+xorib+uwA
        GLOSS:	they+destroy/demolish+they [verb]

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P35W19
      OFFSETS:	100-105
       TOKENS:	P35W22-P35W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/country/countries

 INPUT STRING:	وبعد
     IS_TRANS:	wbEd
        INDEX:	P35W20
      OFFSETS:	106-110
       TOKENS:	P35W23-P35W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(wibaEod)
          POS:	CONJ+NOUN
          VOC:	wi+baEod
        GLOSS:	and+after

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P35W21
      OFFSETS:	111-114
       TOKENS:	P35W25-P35W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	like this

 INPUT STRING:	قلته
     IS_TRANS:	qlth
        INDEX:	P35W22
      OFFSETS:	115-119
       TOKENS:	P35W26-P35W26
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(qlth)
          POS:	TYPO
          VOC:	qlth
        GLOSS:	nogloss

 INPUT STRING:	تحيا
     IS_TRANS:	tHyA
        INDEX:	P35W23
      OFFSETS:	120-124
       TOKENS:	P35W27-P35W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HayA_1]
   UNSPLITVOC:	(tiHoyA)
          POS:	IV3FS+IV
          VOC:	ti+HoyA
        GLOSS:	it/they/she+live

 INPUT STRING:	الثوره
     IS_TRANS:	Alvwrh
        INDEX:	P35W24
      OFFSETS:	125-131
       TOKENS:	P35W28-P35W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	وتحيا
     IS_TRANS:	wtHyA
        INDEX:	P35W25
      OFFSETS:	132-137
       TOKENS:	P35W29-P35W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HayA_1]
   UNSPLITVOC:	(witiHoyA)
          POS:	CONJ+IV3FS+IV
          VOC:	wi+ti+HoyA
        GLOSS:	and+it/they/she+live

 INPUT STRING:	للشباب
     IS_TRANS:	ll$bAb
        INDEX:	P35W26
      OFFSETS:	138-144
       TOKENS:	P35W31-P35W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Ab~_1]
   UNSPLITVOC:	(lil$~abAb)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+$abAb
        GLOSS:	for/to+the+young man/young men

 INPUT STRING:	اكيد
     IS_TRANS:	Akyd
        INDEX:	P36W1
      OFFSETS:	0-4
       TOKENS:	P36W1-P36W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akiyd_1]
   UNSPLITVOC:	(>akiyd)
          POS:	NOUN
          VOC:	>akiyd
        GLOSS:	certain/definite

 INPUT STRING:	حيجى
     IS_TRANS:	HyjY
        INDEX:	P36W2
      OFFSETS:	5-9
       TOKENS:	P36W2-P36W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jih_1]
   UNSPLITVOC:	(Hayijiy)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+jiy
        GLOSS:	will+he/it+come

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P36W3
      OFFSETS:	10-13
       TOKENS:	P36W4-P36W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/some day/ever/days

 INPUT STRING:	وكل
     IS_TRANS:	wkl
        INDEX:	P36W4
      OFFSETS:	14-17
       TOKENS:	P36W5-P36W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(wikul~)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+kul~
        GLOSS:	and+all, entire, every, whole

 INPUT STRING:	شىء
     IS_TRANS:	$Y'
        INDEX:	P36W5
      OFFSETS:	18-21
       TOKENS:	P36W7-P36W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$iy'_1]
   UNSPLITVOC:	($iy')
          POS:	NOUN
          VOC:	$iy'
        GLOSS:	something/thing/things

 INPUT STRING:	يظهر
     IS_TRANS:	yZhr
        INDEX:	P36W6
      OFFSETS:	22-26
       TOKENS:	P36W8-P36W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zahar_1]
   UNSPLITVOC:	(yiZohar)
          POS:	IV3MS+IV
          VOC:	yi+Zohar
        GLOSS:	he/it+appear/emerge

 INPUT STRING:	ويبان
     IS_TRANS:	wybAn
        INDEX:	P36W7
      OFFSETS:	27-32
       TOKENS:	P36W9-P36W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAn_1]
   UNSPLITVOC:	(wiyibAn)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+bAn
        GLOSS:	and+he/it+appear/be evident

 INPUT STRING:	وتفهموا
     IS_TRANS:	wtfhmwA
        INDEX:	P36W8
      OFFSETS:	33-40
       TOKENS:	P36W11-P36W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fihim_1]
   UNSPLITVOC:	(witifohamuwA)
          POS:	CONJ+IV2P+IV+IVSUFF_SUBJ:P
          VOC:	wi+ti+foham+uwA
        GLOSS:	and+you+understand+we

 INPUT STRING:	وانا
     IS_TRANS:	wAnA
        INDEX:	P36W9
      OFFSETS:	41-45
       TOKENS:	P36W13-P36W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>anA_1]
   UNSPLITVOC:	(wi>anA)
          POS:	CONJ+PRON_1S
          VOC:	wi+>anA
        GLOSS:	and+I

 INPUT STRING:	متاكد
     IS_TRANS:	mtAkd
        INDEX:	P36W10
      OFFSETS:	46-51
       TOKENS:	P36W15-P36W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muta>ak~id_1]
   UNSPLITVOC:	(muta>ak~id)
          POS:	ADJ
          VOC:	muta>ak~id
        GLOSS:	certain/sure

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P36W11
      OFFSETS:	52-54
       TOKENS:	P36W16-P36W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	ذلك
     IS_TRANS:	*lk
        INDEX:	P36W12
      OFFSETS:	55-58
       TOKENS:	P36W17-P36W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*alik_1]
   UNSPLITVOC:	(*alik)
          POS:	DEM_PRON_MS
          VOC:	*alik
        GLOSS:	this

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P37W1
      OFFSETS:	0-2
       TOKENS:	P37W1-P37W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he

 INPUT STRING:	انتى
     IS_TRANS:	AntY
        INDEX:	P37W2
      OFFSETS:	3-7
       TOKENS:	P37W2-P37W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you

 INPUT STRING:	شايفة
     IS_TRANS:	$Ayfp
        INDEX:	P37W3
      OFFSETS:	8-13
       TOKENS:	P37W3-P37W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	($Ayofap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	$Ayof+ap
        GLOSS:	seeing+[fem.sg.]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P37W4
      OFFSETS:	14-16
       TOKENS:	P37W4-P37W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	المشير
     IS_TRANS:	Alm$yr
        INDEX:	P37W5
      OFFSETS:	17-23
       TOKENS:	P37W5-P37W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$iyr_1]
   UNSPLITVOC:	(Almu$iyr)
          POS:	DET+NOUN
          VOC:	Al+mu$iyr
        GLOSS:	the+field marshal/general

 INPUT STRING:	فرد
     IS_TRANS:	frd
        INDEX:	P37W6
      OFFSETS:	24-27
       TOKENS:	P37W6-P37W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[farod_1]
   UNSPLITVOC:	(farod)
          POS:	NOUN
          VOC:	farod
        GLOSS:	individual/unit/individually/separately/one item

 INPUT STRING:	منفردا
     IS_TRANS:	mnfrdA
        INDEX:	P37W7
      OFFSETS:	28-34
       TOKENS:	P37W7-P37W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[munofarid_1]
   UNSPLITVOC:	(munofaridAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	munofarid+AF
        GLOSS:	detached/isolated/alone+[acc.indef.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P37W8
      OFFSETS:	35-37
       TOKENS:	P37W8-P37W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	هقولك
     IS_TRANS:	hqwlk
        INDEX:	P37W9
      OFFSETS:	38-43
       TOKENS:	P37W9-P37W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(HaAaquwlik)
          POS:	FUT_PART+IV1S+IV+IVSUFF_DO:2FS
          VOC:	Ha+Aa+quwl+ik
        GLOSS:	will+I+said/say/be said/say/(for example)+you

 INPUT STRING:	المجلس
     IS_TRANS:	Almjls
        INDEX:	P37W10
      OFFSETS:	44-50
       TOKENS:	P37W12-P37W12
