 INPUT STRING:	لاحول
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>axoraq_2]
   UNSPLITVOC:	(xaroqA')
          POS:	ADJ
          VOC:	xaroqA'
        GLOSS:	clumsy/foolish

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P12W4
      OFFSETS:	13-14
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P12W5
      OFFSETS:	14-15
       TOKENS:	P12W6-P12W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	حمقاء
     IS_TRANS:	HmqA'
        INDEX:	P12W6
      OFFSETS:	15-20
       TOKENS:	P12W7-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHomaq_2]
   UNSPLITVOC:	(HamoqA')
          POS:	NOUN
          VOC:	HamoqA'
        GLOSS:	stupid

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P12W7
      OFFSETS:	21-22
       TOKENS:	P12W8-P12W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P12W8
      OFFSETS:	22-23
       TOKENS:	P12W9-P12W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	ضحله
     IS_TRANS:	DHlh
        INDEX:	P12W9
      OFFSETS:	23-27
       TOKENS:	P12W10-P12W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DaHol_1]
   UNSPLITVOC:	(DaHolap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	DaHol+ap
        GLOSS:	shallow/superficial+[fem.sg.]

 INPUT STRING:	التفكير
     IS_TRANS:	Altfkyr
        INDEX:	P12W10
      OFFSETS:	28-35
       TOKENS:	P12W11-P12W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tafokiyr_1]
   UNSPLITVOC:	(Alt~afokiyr)
          POS:	DET+NOUN
          VOC:	Al+tafokiyr
        GLOSS:	the+thinking/meditation/reflection

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P12W11
      OFFSETS:	35-36
       TOKENS:	P12W12-P12W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P12W12
      OFFSETS:	36-37
       TOKENS:	P12W13-P12W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P12W13
      OFFSETS:	37-38
       TOKENS:	P12W14-P12W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	اعقدي
     IS_TRANS:	AEqdy
        INDEX:	P13W1
      OFFSETS:	0-5
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eaqad_1]
   UNSPLITVOC:	(AiEoqidiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	AiEoqid+iy
        GLOSS:	make+you

 INPUT STRING:	بقي
     IS_TRANS:	bqy
        INDEX:	P13W2
      OFFSETS:	6-9
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	so

 INPUT STRING:	ياست
     IS_TRANS:	yAst
        INDEX:	P13W3
      OFFSETS:	10-14
       TOKENS:	P13W3-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sit~_1]
   UNSPLITVOC:	(yAsit~)
          POS:	VOC_PART+NOUN
          VOC:	yaA+sit~
        GLOSS:	oh+lady/miss/ladies/misses

 INPUT STRING:	نواره
     IS_TRANS:	nwArh
        INDEX:	P13W4
      OFFSETS:	15-20
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[naw~Arap_1]
   UNSPLITVOC:	(naw~Arap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	naw~Ar+ap
        GLOSS:	Nawara+[fem.sg.]

 INPUT STRING:	مجلس
     IS_TRANS:	mjls
        INDEX:	P13W5
      OFFSETS:	21-25
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(majolis)
          POS:	NOUN
          VOC:	majolis
        GLOSS:	council/board/Majlis

 INPUT STRING:	السيئات
     IS_TRANS:	Alsy}At
        INDEX:	P13W6
      OFFSETS:	26-33
       TOKENS:	P13W7-P13W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[say~i}ap_1]
   UNSPLITVOC:	(Als~ay~i}At)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+say~i}+At
        GLOSS:	the+offenses/misdeeds+[fem.pl.]

 INPUT STRING:	بتاعك
     IS_TRANS:	btAEk
        INDEX:	P13W7
      OFFSETS:	34-39
       TOKENS:	P13W8-P13W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bitAE_1]
   UNSPLITVOC:	(bitAEik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	bitAE+ik
        GLOSS:	with+your

 INPUT STRING:	واستدعي
     IS_TRANS:	wAstdEy
        INDEX:	P14W1
      OFFSETS:	0-7
       TOKENS:	P14W1-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotadoEay_1]
   UNSPLITVOC:	(wiAisotadoEiy)
          POS:	CONJ+CV+CVSUFF_SUBJ:2FS
          VOC:	wi+AisotadoE+iy
        GLOSS:	and+invite+you

 INPUT STRING:	ثقافتك
     IS_TRANS:	vqAftk
        INDEX:	P14W2
      OFFSETS:	8-14
       TOKENS:	P14W3-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[vaqAfap_1]
   UNSPLITVOC:	(vaqAfatak)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_2FS
          VOC:	vaqAf+at+ak
        GLOSS:	culture+[fem.sg.]+your

 INPUT STRING:	اللفظيه
     IS_TRANS:	AllfZyh
        INDEX:	P14W3
      OFFSETS:	15-22
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lafoZiy~_1]
   UNSPLITVOC:	(AllafoZiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+lafoZiy~+ap
        GLOSS:	the+literal/verbal+[fem.sg.]

 INPUT STRING:	وخليكي
     IS_TRANS:	wxlyky
        INDEX:	P14W4
      OFFSETS:	23-29
       TOKENS:	P14W6-P14W6
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wxlyky)
          POS:	NO_FUNC
          VOC:	wxlyky
        GLOSS:	nogloss

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P14W5
      OFFSETS:	30-32
       TOKENS:	P14W7-P14W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	حاله
     IS_TRANS:	HAlh
        INDEX:	P14W6
      OFFSETS:	33-37
       TOKENS:	P14W8-P14W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAlap_1]
   UNSPLITVOC:	(HAlap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAl+ap
        GLOSS:	condition/case/situation/cases/situations/instances+[fem.sg.]

 INPUT STRING:	انعقاد
     IS_TRANS:	AnEqAd
        INDEX:	P14W7
      OFFSETS:	38-44
       TOKENS:	P14W9-P14W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinoEiqAd_1]
   UNSPLITVOC:	(AinoEiqAd)
          POS:	NOUN
          VOC:	AinoEiqAd
        GLOSS:	convening/holding

 INPUT STRING:	دائم
     IS_TRANS:	dA}m
        INDEX:	P14W8
      OFFSETS:	45-49
       TOKENS:	P14W10-P14W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dA}im_1]
   UNSPLITVOC:	(dA}im)
          POS:	ADJ
          VOC:	dA}im
        GLOSS:	permanent/lasting/constant

 INPUT STRING:	الي
     IS_TRANS:	Aly
        INDEX:	P14W9
      OFFSETS:	50-53
       TOKENS:	P14W11-P14W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P14W10
      OFFSETS:	54-57
       TOKENS:	P14W12-P14W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/some day/ever/days

 INPUT STRING:	الدين
     IS_TRANS:	Aldyn
        INDEX:	P14W11
      OFFSETS:	58-63
       TOKENS:	P14W13-P14W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyn_1]
   UNSPLITVOC:	(Ald~iyn)
          POS:	DET+NOUN
          VOC:	Al+diyn
        GLOSS:	the+religion

 INPUT STRING:	واعرفي
     IS_TRANS:	wAErfy
        INDEX:	P15W1
      OFFSETS:	0-6
       TOKENS:	P15W1-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earaf_1]
   UNSPLITVOC:	(wiAiEorafiy)
          POS:	CONJ+CV+CVSUFF_SUBJ:2FS
          VOC:	wi+AiEoraf+iy
        GLOSS:	and+know/be known+you

 INPUT STRING:	معني
     IS_TRANS:	mEny
        INDEX:	P15W2
      OFFSETS:	7-11
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEonaY_1]
   UNSPLITVOC:	(maEonaY)
          POS:	NOUN
          VOC:	maEonaY
        GLOSS:	meaning/sense

 INPUT STRING:	الكلمات
     IS_TRANS:	AlklmAt
        INDEX:	P15W3
      OFFSETS:	12-19
       TOKENS:	P15W4-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kilomap_1]
   UNSPLITVOC:	(AlkalimAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+kalim+At
        GLOSS:	the+words/remarks+[fem.pl.]

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P15W4
      OFFSETS:	20-22
       TOKENS:	P15W5-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P16W1
      OFFSETS:	0-2
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	صحيح
     IS_TRANS:	SHyH
        INDEX:	P16W2
      OFFSETS:	3-7
       TOKENS:	P16W2-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaHiyH_1]
   UNSPLITVOC:	(SaHiyH)
          POS:	ADJ
          VOC:	SaHiyH
        GLOSS:	healthy/in good health

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P16W3
      OFFSETS:	8-10
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	عندها
     IS_TRANS:	EndhA
        INDEX:	P16W4
      OFFSETS:	11-16
       TOKENS:	P16W4-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(EanodahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	Eanod+hA
        GLOSS:	with+its/their/her

 INPUT STRING:	علم
     IS_TRANS:	Elm
        INDEX:	P16W5
      OFFSETS:	17-20
       TOKENS:	P16W6-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eilom_1]
   UNSPLITVOC:	(Eilom)
          POS:	NOUN
          VOC:	Eilom
        GLOSS:	knowledge

 INPUT STRING:	غزير
     IS_TRANS:	gzyr
        INDEX:	P16W6
      OFFSETS:	21-25
       TOKENS:	P16W7-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gaziyr_1]
   UNSPLITVOC:	(gaziyr)
          POS:	ADJ
          VOC:	gaziyr
        GLOSS:	much

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P16W7
      OFFSETS:	26-28
       TOKENS:	P16W8-P16W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الشتائم
     IS_TRANS:	Al$tA}m
        INDEX:	P16W8
      OFFSETS:	29-36
       TOKENS:	P16W9-P16W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$atiymap_1]
   UNSPLITVOC:	(Al$~atA}im)
          POS:	DET+NOUN
          VOC:	Al+$atA}im
        GLOSS:	the+insults/invectives

 INPUT STRING:	وحاتعرف
     IS_TRANS:	wHAtErf
        INDEX:	P16W9
      OFFSETS:	37-44
       TOKENS:	P16W10-P16W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Earaf_1]
   UNSPLITVOC:	(wiHatiEraf)
          POS:	CONJ+FUT_PART+IV3FS+IV
          VOC:	wi+Ha+ti+Eraf
        GLOSS:	and+will+she/it+know

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P16W10
      OFFSETS:	45-47
       TOKENS:	P16W13-P16W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	المعاني
     IS_TRANS:	AlmEAny
        INDEX:	P16W11
      OFFSETS:	48-55
       TOKENS:	P16W14-P16W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEonay_1]
   UNSPLITVOC:	(AlmaEAniy)
          POS:	DET+NOUN
          VOC:	Al+maEAniy
        GLOSS:	the+meanings/senses/concepts/nuances

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P16W12
      OFFSETS:	56-58
       TOKENS:	P16W15-P16W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P17W1
      OFFSETS:	0-3
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P17W2
      OFFSETS:	4-7
       TOKENS:	P17W2-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>iyh_1]
   UNSPLITVOC:	(>iyh)
          POS:	INTERROG_PRON
          VOC:	>iyh
        GLOSS:	what

 INPUT STRING:	رايك
     IS_TRANS:	rAyk
        INDEX:	P17W3
      OFFSETS:	8-12
       TOKENS:	P17W3-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(ra>oyik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	ra>oy+ik
        GLOSS:	opinion/view/idea+your

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P17W4
      OFFSETS:	13-15
       TOKENS:	P17W5-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	سامحك
     IS_TRANS:	sAmHk
        INDEX:	P17W5
      OFFSETS:	16-21
       TOKENS:	P17W6-P17W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAmiH_1]
   UNSPLITVOC:	(sAmoHik)
          POS:	ADJ.VN+PRON_2FS
          VOC:	sAmoH+ik
        GLOSS:	forgive+you

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P17W6
      OFFSETS:	22-26
       TOKENS:	P17W8-P17W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN
          VOC:	All~ah
        GLOSS:	God

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P17W7
      OFFSETS:	26-27
       TOKENS:	P17W9-P17W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P17W8
      OFFSETS:	27-28
       TOKENS:	P17W10-P17W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P17W9
      OFFSETS:	28-29
       TOKENS:	P17W11-P17W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P17W10
      OFFSETS:	29-30
       TOKENS:	P17W12-P17W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P17W11
      OFFSETS:	30-31
       TOKENS:	P17W13-P17W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P17W12
      OFFSETS:	31-35
       TOKENS:	P17W14-P17W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN
          VOC:	All~ah
        GLOSS:	God

 INPUT STRING:	يهديكي
     IS_TRANS:	yhdyky
        INDEX:	P17W13
      OFFSETS:	36-42
       TOKENS:	P17W15-P17W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hadaY_1]
   UNSPLITVOC:	(yihodiykiy)
          POS:	IV3MS+IV+IVSUFF_DO:2FS
          VOC:	yi+hodiy+ik
        GLOSS:	he/it+guide/direct/lead/be guided/be directed/be led+you

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P17W14
      OFFSETS:	43-44
       TOKENS:	P17W17-P17W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P17W15
      OFFSETS:	44-45
       TOKENS:	P17W18-P17W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P17W16
      OFFSETS:	45-46
       TOKENS:	P17W19-P17W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P17W17
      OFFSETS:	46-47
       TOKENS:	P17W20-P17W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	حسبي
     IS_TRANS:	Hsby
        INDEX:	P18W1
      OFFSETS:	0-4
       TOKENS:	P18W1-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hasab_1]
   UNSPLITVOC:	(Hasabiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Hasab+iy
        GLOSS:	according to/in accordance with+my

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P18W2
      OFFSETS:	5-9
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN
          VOC:	All~ah
        GLOSS:	God

 INPUT STRING:	ونعم
     IS_TRANS:	wnEm
        INDEX:	P18W3
      OFFSETS:	10-14
       TOKENS:	P18W4-P18W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[niEma_1]
   UNSPLITVOC:	(waniEma)
          POS:	CONJ+VERB
          VOC:	wa+niEma
        GLOSS:	and+how good

 INPUT STRING:	الوكيل
     IS_TRANS:	Alwkyl
        INDEX:	P18W4
      OFFSETS:	15-21
       TOKENS:	P18W6-P18W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wakiyl_1]
   UNSPLITVOC:	(Alwakiyl)
          POS:	DET+NOUN
          VOC:	Al+wakiyl
        GLOSS:	the+attorney

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P18W5
      OFFSETS:	22-23
       TOKENS:	P18W7-P18W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P18W6
      OFFSETS:	23-24
