 INPUT STRING:	قالوا
   UNSPLITVOC:	(samiyrap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	samiyr+ap
        GLOSS:	Samira+[fem.sg.]

 INPUT STRING:	قد
     IS_TRANS:	qd
        INDEX:	P36W3
      OFFSETS:	11-13
       TOKENS:	P36W3-P36W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qado_1]
   UNSPLITVOC:	(qado)
          POS:	VERB_PART
          VOC:	qado
        GLOSS:	may, might, perhaps, maybe, possibly, probably

 INPUT STRING:	أخبرت
     IS_TRANS:	>xbrt
        INDEX:	P36W4
      OFFSETS:	14-19
       TOKENS:	P36W4-P36W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>axobar_1]
   UNSPLITVOC:	(>axobarat)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	>axobar+at
        GLOSS:	notify/inform/communicate+it/they/she [verb]

 INPUT STRING:	البي
     IS_TRANS:	Alby
        INDEX:	P36W5
      OFFSETS:	20-24
       TOKENS:	P36W5-P36W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Alby)
          POS:	FOREIGN
          VOC:	Alby
        GLOSS:	nogloss

 INPUT STRING:	بي
     IS_TRANS:	by
        INDEX:	P36W6
      OFFSETS:	25-27
       TOKENS:	P36W6-P36W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(by)
          POS:	FOREIGN
          VOC:	by
        GLOSS:	nogloss

 INPUT STRING:	سي
     IS_TRANS:	sy
        INDEX:	P36W7
      OFFSETS:	28-30
       TOKENS:	P36W7-P36W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(sy)
          POS:	FOREIGN
          VOC:	sy
        GLOSS:	nogloss

 INPUT STRING:	أنها
     IS_TRANS:	>nhA
        INDEX:	P36W8
      OFFSETS:	31-35
       TOKENS:	P36W8-P36W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ahA)
          POS:	SUB_CONJ+PRON_3FS
          VOC:	<in~+hA
        GLOSS:	that+it/they/she

 INPUT STRING:	تنوي
     IS_TRANS:	tnwy
        INDEX:	P36W9
      OFFSETS:	36-40
       TOKENS:	P36W10-P36W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naway_1]
   UNSPLITVOC:	(tinowiy)
          POS:	IV3FS+IV
          VOC:	ti+nowiy
        GLOSS:	she/they+intend

 INPUT STRING:	مقاطعة
     IS_TRANS:	mqATEp
        INDEX:	P36W10
      OFFSETS:	41-47
       TOKENS:	P36W11-P36W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muqAToEap_1]
   UNSPLITVOC:	(muqAToEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	muqAToE+ap
        GLOSS:	boycott+[fem.sg.]

 INPUT STRING:	الانتخابات
     IS_TRANS:	AlAntxAbAt
        INDEX:	P36W11
      OFFSETS:	48-58
       TOKENS:	P36W12-P36W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inotixAb_1]
   UNSPLITVOC:	(Al<inotixAbAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+<inotixAb+At
        GLOSS:	the+elections/selections+[fem.pl.]

 INPUT STRING:	البرلمانية
     IS_TRANS:	AlbrlmAnyp
        INDEX:	P36W12
      OFFSETS:	59-69
       TOKENS:	P36W13-P36W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[barolamAniy_1]
   UNSPLITVOC:	(AlbarolamAniy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+barolamAniy~+ap
        GLOSS:	the+parliamentary+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P36W13
      OFFSETS:	69-70
       TOKENS:	P36W14-P36W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	وقالت
     IS_TRANS:	wqAlt
        INDEX:	P36W14
      OFFSETS:	71-76
       TOKENS:	P36W15-P36W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(wiqAlit)
          POS:	CONJ+PV+PVSUFF_SUBJ:3FS
          VOC:	wi+qAl+it
        GLOSS:	and+said+it/they/she [verb]

 INPUT STRING:	إنها
     IS_TRANS:	<nhA
        INDEX:	P36W15
      OFFSETS:	77-81
       TOKENS:	P36W17-P36W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ahA)
          POS:	SUB_CONJ+PRON_3FS
          VOC:	<in~+hA
        GLOSS:	that+she

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P36W16
      OFFSETS:	82-84
       TOKENS:	P36W19-P36W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	تستطيع
     IS_TRANS:	tstTyE
        INDEX:	P36W17
      OFFSETS:	85-91
       TOKENS:	P36W20-P36W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotaTAE_1]
   UNSPLITVOC:	(tisotaTiyE)
          POS:	IV3FS+IV
          VOC:	ti+sotaTiyE
        GLOSS:	they/she+be able

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P36W18
      OFFSETS:	92-94
       TOKENS:	P36W21-P36W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	تثق
     IS_TRANS:	tvq
        INDEX:	P36W19
      OFFSETS:	95-98
       TOKENS:	P36W22-P36W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[waviq_1]
   UNSPLITVOC:	(taviq)
          POS:	IV3FS+IV
          VOC:	ta+viq
        GLOSS:	she/they+trust

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P36W20
      OFFSETS:	99-101
       TOKENS:	P36W23-P36W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P36W21
      OFFSETS:	102-104
       TOKENS:	P36W24-P36W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	تكون
     IS_TRANS:	tkwn
        INDEX:	P36W22
      OFFSETS:	105-109
       TOKENS:	P36W25-P36W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(tikuwn)
          POS:	IV3FS+IV
          VOC:	ti+kuwn
        GLOSS:	it/they/she+be

 INPUT STRING:	الانتخابات
     IS_TRANS:	AlAntxAbAt
        INDEX:	P36W23
      OFFSETS:	110-120
       TOKENS:	P36W26-P36W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inotixAb_1]
   UNSPLITVOC:	(Al<inotixAbAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+<inotixAb+At
        GLOSS:	the+elections/selections+[fem.pl.]

 INPUT STRING:	حرة
     IS_TRANS:	Hrp
        INDEX:	P36W24
      OFFSETS:	121-124
       TOKENS:	P36W27-P36W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hur~_1]
   UNSPLITVOC:	(Hur~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Hur~+ap
        GLOSS:	free/independent+[fem.sg.]

 INPUT STRING:	ونزيهة
     IS_TRANS:	wnzyhp
        INDEX:	P36W25
      OFFSETS:	125-131
       TOKENS:	P36W28-P36W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naziyh_1]
   UNSPLITVOC:	(winaziyhap)
          POS:	CONJ+ADJ+NSUFF_FEM_SG
          VOC:	wi+naziyh+ap
        GLOSS:	and+blameless/righteous/fair/impartial+[fem.sg.]

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P36W26
      OFFSETS:	132-134
       TOKENS:	P36W30-P36W30
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(mA)
          POS:	TYPO
          VOC:	mA
        GLOSS:	nogloss

 INPUT STRING:	دام
     IS_TRANS:	dAm
        INDEX:	P36W27
      OFFSETS:	135-138
       TOKENS:	P36W31-P36W31
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(dAm)
          POS:	TYPO
          VOC:	dAm
        GLOSS:	nogloss

 INPUT STRING:	المجلس
     IS_TRANS:	Almjls
        INDEX:	P36W28
      OFFSETS:	139-145
       TOKENS:	P36W32-P36W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(Almajolis)
          POS:	DET+NOUN
          VOC:	Al+majolis
        GLOSS:	the+council/board/Majlis

 INPUT STRING:	العسكري
     IS_TRANS:	AlEskry
        INDEX:	P36W29
      OFFSETS:	146-153
       TOKENS:	P36W33-P36W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokariy_1]
   UNSPLITVOC:	(AlEasokariy)
          POS:	DET+ADJ
          VOC:	Al+Easokariy
        GLOSS:	the+military/army

 INPUT STRING:	مسؤولا
     IS_TRANS:	ms&wlA
        INDEX:	P36W30
      OFFSETS:	154-160
       TOKENS:	P36W34-P36W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mas&ul_1]
   UNSPLITVOC:	(ms&wlAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	mas&uwl+AF
        GLOSS:	responsible+[acc.indef.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P36W31
      OFFSETS:	160-161
       TOKENS:	P36W35-P36W35
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	ولكن
     IS_TRANS:	wlkn
        INDEX:	P37W1
      OFFSETS:	0-4
       TOKENS:	P37W1-P37W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lAkin_1]
   UNSPLITVOC:	(walAkin)
          POS:	CONJ+CONJ
          VOC:	wa+lAkin
        GLOSS:	and+But, however, yet, still, nevertheless, on the other hand

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P37W2
      OFFSETS:	5-7
       TOKENS:	P37W3-P37W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	أولى
     IS_TRANS:	>wlY
        INDEX:	P37W3
      OFFSETS:	8-12
       TOKENS:	P37W4-P37W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aw~al_2]
   UNSPLITVOC:	(>uwlaY)
          POS:	ADJ_NUM
          VOC:	>uwlaY
        GLOSS:	first

 INPUT STRING:	أيام
     IS_TRANS:	>yAm
        INDEX:	P37W4
      OFFSETS:	13-17
       TOKENS:	P37W5-P37W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[yuwom_1]
   UNSPLITVOC:	(>ay~Am)
          POS:	NOUN
          VOC:	>ay~Am
        GLOSS:	days

 INPUT STRING:	الانتخابات
     IS_TRANS:	AlAntxAbAt
        INDEX:	P37W5
      OFFSETS:	18-28
       TOKENS:	P37W6-P37W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inotixAb_1]
   UNSPLITVOC:	(Al<inotixAbAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+<inotixAb+At
        GLOSS:	the+elections/selections+[fem.pl.]

 INPUT STRING:	البرلمانية
     IS_TRANS:	AlbrlmAnyp
        INDEX:	P37W6
      OFFSETS:	29-39
       TOKENS:	P37W7-P37W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[barolamAniy_1]
   UNSPLITVOC:	(AlbarolamAniy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+barolamAniy~+ap
        GLOSS:	the+parliamentary+[fem.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P37W7
      OFFSETS:	40-42
       TOKENS:	P37W8-P37W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	نوفمبر
     IS_TRANS:	nwfmbr
        INDEX:	P37W8
      OFFSETS:	43-49
       TOKENS:	P37W9-P37W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nuwfimobir_1]
   UNSPLITVOC:	(nuwfimobir)
          POS:	NOUN_PROP
          VOC:	nuwfimobir
        GLOSS:	November

 INPUT STRING:	/
     IS_TRANS:	/
        INDEX:	P37W9
      OFFSETS:	49-50
       TOKENS:	P37W10-P37W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(/)
          POS:	PUNC
          VOC:	/
        GLOSS:	nogloss

 INPUT STRING:	تشرين
     IS_TRANS:	t$ryn
        INDEX:	P37W10
      OFFSETS:	50-55
       TOKENS:	P37W11-P37W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ti$oriyn_1]
   UNSPLITVOC:	(ti$oriyn)
          POS:	NOUN_PROP
          VOC:	ti$oriyn
        GLOSS:	Tishrin (month)

 INPUT STRING:	الثاني
     IS_TRANS:	AlvAny
        INDEX:	P37W11
      OFFSETS:	56-62
       TOKENS:	P37W12-P37W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[vAniy_1]
   UNSPLITVOC:	(AlvAniy)
          POS:	DET+ADJ_NUM
          VOC:	Al+vAniy
        GLOSS:	the+second/next

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P37W12
      OFFSETS:	63-64
       TOKENS:	P37W13-P37W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	ذهبت
     IS_TRANS:	*hbt
        INDEX:	P37W13
      OFFSETS:	65-69
       TOKENS:	P37W14-P37W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*ahab_1]
   UNSPLITVOC:	(*ahabit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	*ahab+it
        GLOSS:	go/depart+it/they/she [verb]

 INPUT STRING:	الملايين
     IS_TRANS:	AlmlAyyn
        INDEX:	P37W14
      OFFSETS:	70-78
       TOKENS:	P37W15-P37W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miloyuwn_1]
   UNSPLITVOC:	(AlmalAyiyn)
          POS:	DET+NOUN_NUM
          VOC:	Al+malAyiyn
        GLOSS:	the+millions

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P37W15
      OFFSETS:	79-81
       TOKENS:	P37W16-P37W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	النساء
     IS_TRANS:	AlnsA'
        INDEX:	P37W16
      OFFSETS:	82-88
       TOKENS:	P37W17-P37W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisA'_1]
   UNSPLITVOC:	(Aln~isA')
          POS:	DET+NOUN
          VOC:	Al+nisA'
        GLOSS:	the+women

 INPUT STRING:	لمقار
     IS_TRANS:	lmqAr
        INDEX:	P37W17
      OFFSETS:	89-94
       TOKENS:	P37W18-P37W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maqar~_1]
   UNSPLITVOC:	(lamaqAr~)
          POS:	PREP+NOUN
          VOC:	la+maqAr~
        GLOSS:	for/to+centers/headquarters/residences

 INPUT STRING:	اللجان
     IS_TRANS:	AlljAn
        INDEX:	P37W18
      OFFSETS:	95-101
       TOKENS:	P37W20-P37W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lajonap_1]
   UNSPLITVOC:	(AllijAn)
          POS:	DET+NOUN
          VOC:	Al+lijAn
        GLOSS:	the+councils/committees/commissions

 INPUT STRING:	الانتخابية
     IS_TRANS:	AlAntxAbyp
        INDEX:	P37W19
      OFFSETS:	102-112
       TOKENS:	P37W21-P37W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inotixAbiy_1]
   UNSPLITVOC:	(Al<inotixAbiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+<inotixAbiy~+ap
        GLOSS:	the+electoral/election/selection+[fem.sg.]

 INPUT STRING:	للإدلاء
     IS_TRANS:	ll<dlA'
        INDEX:	P37W20
      OFFSETS:	113-120
       TOKENS:	P37W22-P37W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<idolA'_1]
   UNSPLITVOC:	(lil<idolA')
          POS:	PREP+DET+NOUN
          VOC:	li+Al+<idolA'
        GLOSS:	to/for+the+delivery/presentation/granting

 INPUT STRING:	بأصواتهن
     IS_TRANS:	b>SwAthn
        INDEX:	P37W21
      OFFSETS:	121-129
       TOKENS:	P37W24-P37W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Sawat_1]
   UNSPLITVOC:	(bi>aSowAtihuna)
          POS:	PREP+NOUN+POSS_PRON_3FP
          VOC:	bi+>aSowAti+huna
        GLOSS:	with+votes+their

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P37W22
      OFFSETS:	129-130
       TOKENS:	P37W27-P37W27
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	صفوف
     IS_TRANS:	Sfwf
        INDEX:	P38W1
      OFFSETS:	0-4
       TOKENS:	P38W1-P38W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Saf~_1]
   UNSPLITVOC:	(Sufuwf)
          POS:	NOUN
          VOC:	Sufuwf
        GLOSS:	ranks/lines/rows/classes

 INPUT STRING:	طويلة
     IS_TRANS:	Twylp
        INDEX:	P38W2
      OFFSETS:	5-10
       TOKENS:	P38W2-P38W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tawiyl_1]
   UNSPLITVOC:	(Tawiylap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Tawiyl+ap
        GLOSS:	tall/long+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P38W3
      OFFSETS:	11-13
       TOKENS:	P38W3-P38W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	النساء
     IS_TRANS:	AlnsA'
        INDEX:	P38W4
      OFFSETS:	14-20
       TOKENS:	P38W4-P38W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisA'_1]
   UNSPLITVOC:	(Aln~isA')
          POS:	DET+NOUN
          VOC:	Al+nisA'
        GLOSS:	the+women

 INPUT STRING:	احتشدت
     IS_TRANS:	AHt$dt
        INDEX:	P38W5
      OFFSETS:	21-27
       TOKENS:	P38W5-P38W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{iHota$ad_1]
   UNSPLITVOC:	(AiHota$adat)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	{iHota$ad+at
        GLOSS:	gather/assemble+it/they/she [verb]

 INPUT STRING:	أمان
     IS_TRANS:	>mAn
        INDEX:	P38W6
      OFFSETS:	28-32
       TOKENS:	P38W6-P38W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amAn_1]
   UNSPLITVOC:	(>amAn)
          POS:	NOUN
          VOC:	>amAn
        GLOSS:	safety/protection

 INPUT STRING:	اللجان
     IS_TRANS:	AlljAn
        INDEX:	P38W7
      OFFSETS:	33-39
       TOKENS:	P38W7-P38W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lajnap_1]
   UNSPLITVOC:	(AllijAn)
          POS:	DET+NOUN
          VOC:	Al+lijAn
        GLOSS:	the+councils/committees/commissions

 INPUT STRING:	الانتخابية
     IS_TRANS:	AlAntxAbyp
        INDEX:	P38W8
      OFFSETS:	40-50
       TOKENS:	P38W8-P38W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inotixAbiy_1]
   UNSPLITVOC:	(Al<inotixAbiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+<inotixAbiy~+ap
        GLOSS:	the+electoral/election/selection+[fem.sg.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P38W9
      OFFSETS:	50-51
       TOKENS:	P38W9-P38W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	ورغم
     IS_TRANS:	wrgm
        INDEX:	P38W10
      OFFSETS:	52-56
       TOKENS:	P38W10-P38W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ragom_1]
   UNSPLITVOC:	(wiragom)
          POS:	CONJ+NOUN
          VOC:	wi+ragom
        GLOSS:	and+in spite of/despite

 INPUT STRING:	طول
     IS_TRANS:	Twl
        INDEX:	P38W11
      OFFSETS:	57-60
       TOKENS:	P38W12-P38W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tuwl_1]
   UNSPLITVOC:	(Tuwl)
          POS:	NOUN
          VOC:	Tuwl
        GLOSS:	length/height/lengths/heights

 INPUT STRING:	الانتظار
     IS_TRANS:	AlAntZAr
        INDEX:	P38W12
      OFFSETS:	61-69
       TOKENS:	P38W13-P38W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinotiZAr_1]
   UNSPLITVOC:	(AlAinotiZAr)
          POS:	DET+NOUN
          VOC:	Al+AinotiZAr
        GLOSS:	the+waiting/anticipating

 INPUT STRING:	الذي
     IS_TRANS:	Al*y
        INDEX:	P38W13
      OFFSETS:	70-74
       TOKENS:	P38W14-P38W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	which

 INPUT STRING:	قد
     IS_TRANS:	qd
        INDEX:	P38W14
