 INPUT STRING:	قناة
        GLOSS:	swayrs

 INPUT STRING:	أكيد
     IS_TRANS:	>kyd
        INDEX:	P14W1
      OFFSETS:	1-5
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aakiyd_1]
   UNSPLITVOC:	(Akiyd)
          POS:	ADJ
          VOC:	Akiyd
        GLOSS:	definitely

 INPUT STRING:	عندك
     IS_TRANS:	Endk
        INDEX:	P14W2
      OFFSETS:	6-10
       TOKENS:	P14W2-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Einod_1]
   UNSPLITVOC:	(Einodak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	Einod+ak
        GLOSS:	with / at+your

 INPUT STRING:	حق
     IS_TRANS:	Hq
        INDEX:	P14W3
      OFFSETS:	11-13
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(Haq~)
          POS:	NOUN
          VOC:	Haq~
        GLOSS:	right, prerogative, truth

 INPUT STRING:	تقول
     IS_TRANS:	tqwl
        INDEX:	P14W4
      OFFSETS:	14-18
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(tiquwl)
          POS:	IV2MS+IV
          VOC:	ti+quwl
        GLOSS:	you+said/say/be said/say/(for example)

 INPUT STRING:	عليها
     IS_TRANS:	ElyhA
        INDEX:	P14W5
      OFFSETS:	19-24
       TOKENS:	P14W6-P14W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalayhA)
          POS:	PREP+PRON_3FS
          VOC:	EalaY+hA
        GLOSS:	on/above+she/it

 INPUT STRING:	عبريه
     IS_TRANS:	Ebryh
        INDEX:	P14W6
      OFFSETS:	25-30
       TOKENS:	P14W8-P14W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eibariy~ap_1]
   UNSPLITVOC:	(Eibariy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Eibariy~+ap
        GLOSS:	Jewish+[fem.sg.]

 INPUT STRING:	التجاوزات
     IS_TRANS:	AltjAwzAt
        INDEX:	P15W1
      OFFSETS:	1-10
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tajAwuz_1]
   UNSPLITVOC:	(Alt~ajAwuzAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+tajAwuz+At
        GLOSS:	the+frauds+[fem.pl.]

 INPUT STRING:	كترت
     IS_TRANS:	ktrt
        INDEX:	P15W2
      OFFSETS:	11-15
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitir_1]
   UNSPLITVOC:	(kitorit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kitor+it
        GLOSS:	increase+it/they/she

 INPUT STRING:	أوي
     IS_TRANS:	>wy
        INDEX:	P15W3
      OFFSETS:	16-19
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qaw~iy_1]
   UNSPLITVOC:	(qaw~iy)
          POS:	ADJ
          VOC:	qaw~iy
        GLOSS:	strong

 INPUT STRING:	واحنا
     IS_TRANS:	wAHnA
        INDEX:	P15W4
      OFFSETS:	20-25
       TOKENS:	P15W4-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(waAiHonA)
          POS:	CONJ+PRON_1P
          VOC:	wa+AiHonA
        GLOSS:	and+we

 INPUT STRING:	أصبحنا
     IS_TRANS:	>SbHnA
        INDEX:	P15W5
      OFFSETS:	26-32
       TOKENS:	P15W6-P15W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSobaH_1]
   UNSPLITVOC:	(>aSobaHnA)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:1P
          VOC:	>aSobaH+(null)+nA
        GLOSS:	become/begin/start+he/it+us

 INPUT STRING:	سلعه
     IS_TRANS:	slEh
        INDEX:	P15W6
      OFFSETS:	33-37
       TOKENS:	P15W8-P15W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siloEap_1]
   UNSPLITVOC:	(siloEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	siloE+ap
        GLOSS:	commodity/commercial article/commodities/commercial goods+[fem.sg.]

 INPUT STRING:	ليهم
     IS_TRANS:	lyhm
        INDEX:	P15W7
      OFFSETS:	38-42
       TOKENS:	P15W9-P15W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liyhum)
          POS:	PREP+PRON_3P
          VOC:	li+hum
        GLOSS:	to+they

 INPUT STRING:	وللأسف
     IS_TRANS:	wll>sf
        INDEX:	P16W1
      OFFSETS:	1-7
       TOKENS:	P16W1-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asaf_1]
   UNSPLITVOC:	(wilil>asaf)
          POS:	CONJ+PREP+DET+NOUN
          VOC:	wi+li+Al+>asaf
        GLOSS:	and+for/to+the+regret/sorry

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P16W2
      OFFSETS:	8-10
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	she

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P16W3
      OFFSETS:	11-13
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	القناوات
     IS_TRANS:	AlqnAwAt
        INDEX:	P16W4
      OFFSETS:	14-22
       TOKENS:	P16W6-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qanAap_1]
   UNSPLITVOC:	(AlqanAwAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+qanAw+At
        GLOSS:	the+channels+[fem.pl.]

 INPUT STRING:	الي
     IS_TRANS:	Aly
        INDEX:	P16W5
      OFFSETS:	23-26
       TOKENS:	P16W7-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	متشافه
     IS_TRANS:	mt$Afh
        INDEX:	P16W6
      OFFSETS:	27-33
       TOKENS:	P16W8-P16W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mito$Af_1]
   UNSPLITVOC:	(mito$Afap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mito$Af+ap
        GLOSS:	seen+[fem.sg.]

 INPUT STRING:	والناس
     IS_TRANS:	wAlnAs
        INDEX:	P16W7
      OFFSETS:	34-40
       TOKENS:	P16W9-P16W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(wiAlnAs)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+nAs
        GLOSS:	and+the+people

 INPUT STRING:	ماشيه
     IS_TRANS:	mA$yh
        INDEX:	P16W8
      OFFSETS:	41-46
       TOKENS:	P16W11-P16W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA$iy_1]
   UNSPLITVOC:	(mA$oyap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mA$oy+ap
        GLOSS:	going+[fem.sg.]

 INPUT STRING:	ورا
     IS_TRANS:	wrA
        INDEX:	P16W9
      OFFSETS:	47-50
       TOKENS:	P16W12-P16W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[warA_1]
   UNSPLITVOC:	(warA)
          POS:	NOUN
          VOC:	warA
        GLOSS:	behind

 INPUT STRING:	أخبارها
     IS_TRANS:	>xbArhA
        INDEX:	P16W10
      OFFSETS:	51-58
       TOKENS:	P16W13-P16W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>axbAr_1]
   UNSPLITVOC:	(>axbArhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	>axbAr+hA
        GLOSS:	news+its/their/her

 INPUT STRING:	لأن
     IS_TRANS:	l>n
        INDEX:	P16W11
      OFFSETS:	59-62
       TOKENS:	P16W15-P16W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(li>an~)
          POS:	PREP+SUB_CONJ
          VOC:	li+>an~
        GLOSS:	for+that

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P16W12
      OFFSETS:	63-66
       TOKENS:	P16W17-P16W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+he/it

 INPUT STRING:	قنوات
     IS_TRANS:	qnwAt
        INDEX:	P16W13
      OFFSETS:	67-72
       TOKENS:	P16W19-P16W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qanAap_1]
   UNSPLITVOC:	(qanwAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	qanw+At
        GLOSS:	channels+[fem.pl.]

 INPUT STRING:	كتير
     IS_TRANS:	ktyr
        INDEX:	P16W14
      OFFSETS:	73-77
       TOKENS:	P16W20-P16W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitiyr_1]
   UNSPLITVOC:	(kitiyr)
          POS:	ADJ
          VOC:	kitiyr
        GLOSS:	many

 INPUT STRING:	أوي
     IS_TRANS:	>wy
        INDEX:	P16W15
      OFFSETS:	78-81
       TOKENS:	P16W21-P16W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qawiY~_1]
   UNSPLITVOC:	(qawiY~)
          POS:	ADJ
          VOC:	qawiY~
        GLOSS:	strong

 INPUT STRING:	محترمه
     IS_TRANS:	mHtrmh
        INDEX:	P16W16
      OFFSETS:	82-88
       TOKENS:	P16W22-P16W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHotaram_1]
   UNSPLITVOC:	(muHotaramap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	muHotaram+ap
        GLOSS:	respected+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P16W17
      OFFSETS:	89-91
       TOKENS:	P16W23-P16W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بيقدرو
     IS_TRANS:	byqdrw
        INDEX:	P16W18
      OFFSETS:	92-98
       TOKENS:	P16W24-P16W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(biyiqdruwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+qdr+uwA
        GLOSS:	[present-tense]+they+NOT_IN_LEXICON+we

 INPUT STRING:	يتابعوها
     IS_TRANS:	ytAbEwhA
        INDEX:	P16W19
      OFFSETS:	99-107
       TOKENS:	P16W26-P16W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAbiE_1]
   UNSPLITVOC:	(yitAboEuwhA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:3FS
          VOC:	yi+tAboE+uwA+hA
        GLOSS:	they+follow+we+it/them/her

 INPUT STRING:	حسبنا
     IS_TRANS:	HsbnA
        INDEX:	P17W1
      OFFSETS:	1-6
       TOKENS:	P17W1-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hasb_1]
   UNSPLITVOC:	(HasbinA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	Hasbi+nA
        GLOSS:	according+our

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P17W2
      OFFSETS:	7-11
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	God

 INPUT STRING:	ونعم
     IS_TRANS:	wnEm
        INDEX:	P17W3
      OFFSETS:	12-16
       TOKENS:	P17W4-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niEom_1]
   UNSPLITVOC:	(winiEom)
          POS:	CONJ+NOUN.VN
          VOC:	wi+niEom
        GLOSS:	and+blessed

 INPUT STRING:	الوكيل
     IS_TRANS:	Alwkyl
        INDEX:	P17W4
      OFFSETS:	17-23
       TOKENS:	P17W6-P17W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wakiyl_1]
   UNSPLITVOC:	(Alwakiyl)
          POS:	DET+NOUN
          VOC:	Al+wakiyl
        GLOSS:	the+attorney

