 INPUT STRING:	بالضبط
 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P9W2
      OFFSETS:	5-8
       TOKENS:	P9W2-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	نقل
     IS_TRANS:	nql
        INDEX:	P9W3
      OFFSETS:	9-12
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naqol_1]
   UNSPLITVOC:	(naqol)
          POS:	NOUN
          VOC:	naqol
        GLOSS:	transportation/transfer/transmission/relaying/quoting

 INPUT STRING:	المخلوع
     IS_TRANS:	AlmxlwE
        INDEX:	P9W4
      OFFSETS:	13-20
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maxoluwE_1]
   UNSPLITVOC:	(AlmaxoluwE)
          POS:	DET+ADJ
          VOC:	Al+maxoluwE
        GLOSS:	the+deposed/toppled/removed (from office)/unrestrained/irresponsible

 INPUT STRING:	الملطخة
     IS_TRANS:	AlmlTxp
        INDEX:	P9W5
      OFFSETS:	21-28
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mulaT~ax_1]
   UNSPLITVOC:	(AlmulaT~axap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+mulaT~ax+ap
        GLOSS:	the+stained/sullied+[fem.sg.]

 INPUT STRING:	يده
     IS_TRANS:	ydh
        INDEX:	P9W6
      OFFSETS:	29-32
       TOKENS:	P9W6-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yad~_1]
   UNSPLITVOC:	(yad~uh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	yad~+uh
        GLOSS:	hand+his/its

 INPUT STRING:	بدماء
     IS_TRANS:	bdmA'
        INDEX:	P9W7
      OFFSETS:	33-38
       TOKENS:	P9W8-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dimA'_1]
   UNSPLITVOC:	(bidimA')
          POS:	PREP+NOUN
          VOC:	bi+dimA'
        GLOSS:	with/by+blood

 INPUT STRING:	انقى
     IS_TRANS:	AnqY
        INDEX:	P9W8
      OFFSETS:	39-43
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AnqaY_1]
   UNSPLITVOC:	(AnqaY)
          POS:	ADJ_COMP
          VOC:	AnqaY
        GLOSS:	purer

 INPUT STRING:	الشرفاء
     IS_TRANS:	Al$rfA'
        INDEX:	P9W9
      OFFSETS:	44-51
       TOKENS:	P9W11-P9W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ariyf_2]
   UNSPLITVOC:	(Al$~urafA')
          POS:	DET+ADJ
          VOC:	Al+$urafA'
        GLOSS:	the+noble/honorable/respectable

 INPUT STRING:	بالهليكوبتر
     IS_TRANS:	bAlhlykwbtr
        INDEX:	P9W10
      OFFSETS:	52-63
       TOKENS:	P9W12-P9W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hilikuwbotar_1]
   UNSPLITVOC:	(biAlhiliykuwbotar)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+hiliykuwbotar
        GLOSS:	with/by+the+helicopter

 INPUT STRING:	الذى
     IS_TRANS:	Al*Y
        INDEX:	P9W11
      OFFSETS:	64-68
       TOKENS:	P9W14-P9W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	which/who/whom [masc.sg.]

 INPUT STRING:	لايلقاهه
     IS_TRANS:	lAylqAhh
        INDEX:	P9W12
      OFFSETS:	69-77
       TOKENS:	P9W15-P9W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[laqaY_1]
   UNSPLITVOC:	(lAyalqAh)
          POS:	NEG_PART+IV3MS+IV+IVSUFF_DO:3MS
          VOC:	lA+ya+lqA+h
        GLOSS:	not+he/it+find+him/it

 INPUT STRING:	مصاب
     IS_TRANS:	mSAb
        INDEX:	P9W13
      OFFSETS:	78-82
       TOKENS:	P9W18-P9W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muSAb_1]
   UNSPLITVOC:	(muSAb)
          POS:	NOUN
          VOC:	muSAb
        GLOSS:	afflicted/injured/wounded

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P9W14
      OFFSETS:	83-85
       TOKENS:	P9W19-P9W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P9W15
      OFFSETS:	86-92
       TOKENS:	P9W20-P9W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	بالعجز
     IS_TRANS:	bAlEjz
        INDEX:	P9W16
      OFFSETS:	93-99
       TOKENS:	P9W21-P9W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eajoz_1]
   UNSPLITVOC:	(biAlEajoz)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+Eajoz
        GLOSS:	with/by+the+deficit/insolvency

 INPUT STRING:	الكلى
     IS_TRANS:	AlklY
        INDEX:	P9W17
      OFFSETS:	100-105
       TOKENS:	P9W23-P9W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kulowap_1]
   UNSPLITVOC:	(AlkulaY)
          POS:	DET+NOUN
          VOC:	Al+kulaY
        GLOSS:	the+kidneys

 INPUT STRING:	عندما
     IS_TRANS:	EndmA
        INDEX:	P9W18
      OFFSETS:	106-111
       TOKENS:	P9W24-P9W24
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(EndmA)
          POS:	NO_FUNC
          VOC:	EndmA
        GLOSS:	nogloss

 INPUT STRING:	يحتاجها
     IS_TRANS:	yHtAjhA
        INDEX:	P9W19
      OFFSETS:	112-119
       TOKENS:	P9W25-P9W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHotAj_1]
   UNSPLITVOC:	(yiHotAjhA)
          POS:	IV3MS+IV+IVSUFF_DO:3FS
          VOC:	yi+HotAj+hA
        GLOSS:	he/it+need+it/them/her

 INPUT STRING:	للسفر
     IS_TRANS:	llsfr
        INDEX:	P9W20
      OFFSETS:	120-125
       TOKENS:	P9W27-P9W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[safar_1]
   UNSPLITVOC:	(lils~afar)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+safar
        GLOSS:	for/to+the+travel/trip/journeys

 INPUT STRING:	للعلاج
     IS_TRANS:	llElAj
        INDEX:	P9W21
      OFFSETS:	126-132
       TOKENS:	P9W29-P9W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EilAj_1]
   UNSPLITVOC:	(lilEilAj)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+EilAj
        GLOSS:	for/to+the+treatment/therapy/processing

 INPUT STRING:	ثورة
     IS_TRANS:	vwrp
        INDEX:	P10W1
      OFFSETS:	0-4
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(vawrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	vawr+ap
        GLOSS:	revolution/uprising+[fem.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P10W2
      OFFSETS:	5-8
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	ترقية
     IS_TRANS:	trqyp
        INDEX:	P10W3
      OFFSETS:	9-14
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taroqiyap_1]
   UNSPLITVOC:	(taroqiyap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	taroqiy+ap
        GLOSS:	promotion/advancement/elevation+[fem.sg.]

 INPUT STRING:	ضباط
     IS_TRANS:	DbAT
        INDEX:	P10W4
      OFFSETS:	15-19
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DAbiT_2]
   UNSPLITVOC:	(Dub~AT)
          POS:	NOUN
          VOC:	Dub~AT
        GLOSS:	officers

 INPUT STRING:	الشرطة
     IS_TRANS:	Al$rTp
        INDEX:	P10W5
      OFFSETS:	20-26
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uroTap_1]
   UNSPLITVOC:	(Al$~uroTap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+$uroT+ap
        GLOSS:	the+police+[fem.sg.]

 INPUT STRING:	القتلة
     IS_TRANS:	Alqtlp
        INDEX:	P10W6
      OFFSETS:	27-33
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qatolap_1]
   UNSPLITVOC:	(Alqatolap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+qatol+ap
        GLOSS:	the+murderers/assassins+[fem.sg.]

 INPUT STRING:	ثورة
     IS_TRANS:	vwrp
        INDEX:	P10W7
      OFFSETS:	34-38
       TOKENS:	P10W7-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(vawrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	vawr+ap
        GLOSS:	revolution/uprising+[fem.sg.]

 INPUT STRING:	للقصاص
     IS_TRANS:	llqSAS
        INDEX:	P10W8
      OFFSETS:	39-45
       TOKENS:	P10W8-P10W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiSAS_1]
   UNSPLITVOC:	(lilqiSAS)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+qiSAS
        GLOSS:	for/to+the+reprisal/retaliation/punishment

 INPUT STRING:	ثورة
     IS_TRANS:	vwrp
        INDEX:	P10W9
      OFFSETS:	46-50
       TOKENS:	P10W10-P10W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(vawrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	vawr+ap
        GLOSS:	revolution/uprising+[fem.sg.]

 INPUT STRING:	حتى
     IS_TRANS:	HtY
        INDEX:	P10W10
      OFFSETS:	51-54
       TOKENS:	P10W11-P10W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	SUB_CONJ
          VOC:	Hat~aY
        GLOSS:	so that

 INPUT STRING:	تكون
     IS_TRANS:	tkwn
        INDEX:	P10W11
      OFFSETS:	55-59
       TOKENS:	P10W12-P10W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(tikuwn)
          POS:	IV3FS+IV
          VOC:	ti+kuwn
        GLOSS:	it/they/she+be

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P10W12
      OFFSETS:	60-63
       TOKENS:	P10W13-P10W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	افضل
     IS_TRANS:	AfDl
        INDEX:	P10W13
      OFFSETS:	64-68
       TOKENS:	P10W14-P10W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>afoDal_1]
   UNSPLITVOC:	(>afoDal)
          POS:	ADJ_COMP
          VOC:	>afoDal
        GLOSS:	better, best

 INPUT STRING:	ثورة
     IS_TRANS:	vwrp
        INDEX:	P10W14
      OFFSETS:	69-73
       TOKENS:	P10W15-P10W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(vawrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	vawr+ap
        GLOSS:	revolution/uprising+[fem.sg.]

 INPUT STRING:	لعدم
     IS_TRANS:	lEdm
        INDEX:	P10W15
      OFFSETS:	74-78
       TOKENS:	P10W16-P10W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eadam_1]
   UNSPLITVOC:	(liEadam)
          POS:	PREP+NOUN
          VOC:	li+Eadam
        GLOSS:	for/to+absence of/lack of/not/non-

 INPUT STRING:	بطىء
     IS_TRANS:	bTY'
        INDEX:	P10W16
      OFFSETS:	79-83
       TOKENS:	P10W18-P10W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baTiy'_1]
   UNSPLITVOC:	(baTiy')
          POS:	ADJ
          VOC:	baTiy'
        GLOSS:	slow/tardy

 INPUT STRING:	المحاكمات
     IS_TRANS:	AlmHAkmAt
        INDEX:	P10W17
      OFFSETS:	84-93
       TOKENS:	P10W19-P10W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHAkamap_1]
   UNSPLITVOC:	(AlmuHAkamAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+muHAkam+At
        GLOSS:	the+judicial proceeding/legal prosecution+[fem.pl.]

 INPUT STRING:	ثورة
     IS_TRANS:	vwrp
        INDEX:	P11W1
      OFFSETS:	0-4
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(vawrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	vawr+ap
        GLOSS:	revolution/uprising+[fem.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P11W2
      OFFSETS:	5-8
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الظلم
     IS_TRANS:	AlZlm
        INDEX:	P11W3
      OFFSETS:	9-14
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zulom_1]
   UNSPLITVOC:	(AlZ~ulom)
          POS:	DET+NOUN
          VOC:	Al+Zulom
        GLOSS:	the+injustice

 INPUT STRING:	بطىء
     IS_TRANS:	bTY'
        INDEX:	P11W4
      OFFSETS:	15-19
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baTiy'_1]
   UNSPLITVOC:	(baTiy')
          POS:	ADJ
          VOC:	baTiy'
        GLOSS:	slow/tardy

 INPUT STRING:	العدل
     IS_TRANS:	AlEdl
        INDEX:	P11W5
      OFFSETS:	20-25
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eadol_1]
   UNSPLITVOC:	(AlEadol)
          POS:	DET+NOUN
          VOC:	Al+Eadol
        GLOSS:	the+justice/fairness

 INPUT STRING:	ظلم
     IS_TRANS:	Zlm
        INDEX:	P11W6
      OFFSETS:	26-29
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zulom_1]
   UNSPLITVOC:	(Zulom)
          POS:	NOUN
          VOC:	Zulom
        GLOSS:	injustice

 INPUT STRING:	ثورة
     IS_TRANS:	vwrp
        INDEX:	P11W7
      OFFSETS:	30-34
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(vawrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	vawr+ap
        GLOSS:	revolution/uprising+[fem.sg.]

 INPUT STRING:	ثورة
     IS_TRANS:	vwrp
        INDEX:	P11W8
      OFFSETS:	35-39
       TOKENS:	P11W8-P11W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(vawrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	vawr+ap
        GLOSS:	revolution/uprising+[fem.sg.]

 INPUT STRING:	حتى
     IS_TRANS:	HtY
        INDEX:	P11W9
      OFFSETS:	40-43
       TOKENS:	P11W9-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	PREP
          VOC:	Hat~aY
        GLOSS:	until/up to

 INPUT STRING:	العدل
     IS_TRANS:	AlEdl
        INDEX:	P11W10
      OFFSETS:	44-49
       TOKENS:	P11W10-P11W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eadol_1]
   UNSPLITVOC:	(AlEadol)
          POS:	DET+NOUN
          VOC:	Al+Eadol
        GLOSS:	the+justice/fairness

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P12W1
      OFFSETS:	0-5
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	قاعدة
     IS_TRANS:	qAEdp
        INDEX:	P12W2
      OFFSETS:	6-11
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAEid_1]
   UNSPLITVOC:	(qAEodap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	qAEod+ap
        GLOSS:	sitting/seated/lazy/inactive/evaders (draft dodgers)+[fem.sg.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P12W3
      OFFSETS:	12-14
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	البرد
     IS_TRANS:	Albrd
        INDEX:	P12W4
      OFFSETS:	15-20
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[barod_1]
   UNSPLITVOC:	(Albarod)
          POS:	DET+NOUN
          VOC:	Al+barod
        GLOSS:	the+cold/cooling

 INPUT STRING:	والدنيا
     IS_TRANS:	wAldnyA
        INDEX:	P12W5
      OFFSETS:	21-28
       TOKENS:	P12W5-P12W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dinoyA_1]
   UNSPLITVOC:	(wiAldinoyA)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+dinoyA
        GLOSS:	and+the+world

 INPUT STRING:	بتشتى
     IS_TRANS:	bt$tY
        INDEX:	P12W6
      OFFSETS:	29-34
       TOKENS:	P12W7-P12W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ataY_1]
   UNSPLITVOC:	(biti$otiy)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+$otiy
        GLOSS:	[present-tense]+it/they/she+rain

 INPUT STRING:	عليهم
     IS_TRANS:	Elyhm
        INDEX:	P12W7
      OFFSETS:	35-40
       TOKENS:	P12W9-P12W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayhum)
          POS:	PREP+PRON_3P
          VOC:	EalaY+hum
        GLOSS:	on/above+they

 INPUT STRING:	تفتكروا
     IS_TRANS:	tftkrwA
        INDEX:	P12W8
      OFFSETS:	41-48
       TOKENS:	P12W11-P12W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aiftakar_1]
   UNSPLITVOC:	(tftikruwA)
          POS:	IV2P+IV+IVSUFF_SUBJ:P
          VOC:	t+ftikr+uwA
        GLOSS:	you+think+you

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P12W9
      OFFSETS:	49-52
       TOKENS:	P12W12-P12W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layoh_1]
   UNSPLITVOC:	(layoh)
          POS:	INTERROG_ADV
          VOC:	layoh
        GLOSS:	why

 INPUT STRING:	يعنى
     IS_TRANS:	yEnY
        INDEX:	P12W10
      OFFSETS:	53-57
       TOKENS:	P12W13-P12W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P12W11
      OFFSETS:	58-61
       TOKENS:	P12W14-P12W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P12W12
      OFFSETS:	62-65
       TOKENS:	P12W15-P12W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	then

 INPUT STRING:	عاوزة
     IS_TRANS:	EAwzp
        INDEX:	P12W13
      OFFSETS:	66-71
       TOKENS:	P12W16-P12W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAwiz_1]
   UNSPLITVOC:	(EAwozap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	EAwoz+ap
        GLOSS:	wanting/needing+[fem.sg.]

 INPUT STRING:	اسألكم
     IS_TRANS:	As>lkm
        INDEX:	P12W14
      OFFSETS:	72-78
       TOKENS:	P12W17-P12W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sa>al_1]
   UNSPLITVOC:	(Aaso>alkum)
          POS:	IV1S+IV+IVSUFF_DO:2P
          VOC:	Aa+so>al+kum
        GLOSS:	I+ask/inquire/request/be asked+you

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P12W15
      OFFSETS:	79-82
       TOKENS:	P12W19-P12W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layoh_1]
   UNSPLITVOC:	(layoh)
          POS:	INTERROG_ADV
          VOC:	layoh
        GLOSS:	why

 INPUT STRING:	خايفين
     IS_TRANS:	xAyfyn
        INDEX:	P12W16
      OFFSETS:	83-89
       TOKENS:	P12W20-P12W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xAyif_1]
   UNSPLITVOC:	(xAyfiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	xAyf+iyn
        GLOSS:	fearing+[masc.pl.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P12W17
      OFFSETS:	90-92
