 INPUT STRING:	هنتخب
          VOC:	AfokAr+hum
        GLOSS:	idea/notion/concept+their

 INPUT STRING:	ونتيجة
     IS_TRANS:	wntyjp
        INDEX:	P27W11
      OFFSETS:	56-62
       TOKENS:	P27W15-P27W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[natiyjap_1]
   UNSPLITVOC:	(winatiyjap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+natiyj+ap
        GLOSS:	and+result/consequence+[fem.sg.]

 INPUT STRING:	تفكيرهم
     IS_TRANS:	tfkyrhm
        INDEX:	P27W12
      OFFSETS:	63-70
       TOKENS:	P27W17-P27W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tafokiyr_1]
   UNSPLITVOC:	(tafokiyrhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	tafokiyr+hum
        GLOSS:	thinking/meditation/reflection+their

 INPUT STRING:	واجتهادهم
     IS_TRANS:	wAjthAdhm
        INDEX:	P27W13
      OFFSETS:	71-80
       TOKENS:	P27W19-P27W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{ijotihAd_1]
   UNSPLITVOC:	(wa{ijotihAdhum)
          POS:	CONJ+NOUN+POSS_PRON_3P
          VOC:	wa+{ijotihAd+hum
        GLOSS:	and+effort/independent thinking/reinterpretation of the Koran (in light of changing circumstances)+their

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P28W1
      OFFSETS:	0-5
       TOKENS:	P28W1-P28W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$a>on
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	عذاب
     IS_TRANS:	E*Ab
        INDEX:	P28W2
      OFFSETS:	6-10
       TOKENS:	P28W3-P28W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea*Ab_1]
   UNSPLITVOC:	(Ea*Ab)
          POS:	NOUN
          VOC:	Ea*Ab
        GLOSS:	pain/punishment

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P28W3
      OFFSETS:	11-16
       TOKENS:	P28W4-P28W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation/peoples/nations

 INPUT STRING:	المصري
     IS_TRANS:	AlmSry
        INDEX:	P28W4
      OFFSETS:	17-23
       TOKENS:	P28W5-P28W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy)
          POS:	DET+ADJ
          VOC:	Al+maSoriy
        GLOSS:	the+Egyptian

 INPUT STRING:	طول
     IS_TRANS:	Twl
        INDEX:	P28W5
      OFFSETS:	24-27
       TOKENS:	P28W6-P28W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tuwl_1]
   UNSPLITVOC:	(Tuwl)
          POS:	NOUN
          VOC:	Tuwl
        GLOSS:	length/height/lengths/heights

 INPUT STRING:	السنين
     IS_TRANS:	Alsnyn
        INDEX:	P28W6
      OFFSETS:	28-34
       TOKENS:	P28W7-P28W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(Als~iniyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+sin+iyn
        GLOSS:	the+year/years+two

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P28W7
      OFFSETS:	35-39
       TOKENS:	P28W8-P28W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	what/that

 INPUT STRING:	فاتت
     IS_TRANS:	fAtt
        INDEX:	P28W8
      OFFSETS:	40-44
       TOKENS:	P28W9-P28W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAt_1]
   UNSPLITVOC:	(fAtit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	fAt+it
        GLOSS:	expire/go by+it/they/she

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P28W9
      OFFSETS:	45-48
       TOKENS:	P28W10-P28W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	تحت
     IS_TRANS:	tHt
        INDEX:	P28W10
      OFFSETS:	49-52
       TOKENS:	P28W11-P28W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHot_1]
   UNSPLITVOC:	(taHot)
          POS:	NOUN
          VOC:	taHot
        GLOSS:	under/beneath

 INPUT STRING:	عينهم
     IS_TRANS:	Eynhm
        INDEX:	P28W11
      OFFSETS:	53-58
       TOKENS:	P28W12-P28W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eayn_1]
   UNSPLITVOC:	(Eaynhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	Eayn+hum
        GLOSS:	eye/eyes/water spring/water source/water springs/water sources/notables/VIP's/Aain+their

 INPUT STRING:	وسمعهم
     IS_TRANS:	wsmEhm
        INDEX:	P28W12
      OFFSETS:	59-65
       TOKENS:	P28W14-P28W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[samoE_1]
   UNSPLITVOC:	(wasamoEhum)
          POS:	CONJ+NOUN+POSS_PRON_3P
          VOC:	wa+samoE+hum
        GLOSS:	and+hearing+their

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P29W1
      OFFSETS:	0-5
       TOKENS:	P29W1-P29W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$a>on
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	كدا
     IS_TRANS:	kdA
        INDEX:	P29W2
      OFFSETS:	6-9
       TOKENS:	P29W3-P29W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidA)
          POS:	NOUN
          VOC:	kidA
        GLOSS:	this way

 INPUT STRING:	هنتخب
     IS_TRANS:	hntxb
        INDEX:	P29W3
      OFFSETS:	10-15
       TOKENS:	P29W4-P29W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotaxab_1]
   UNSPLITVOC:	(HaAanotaxib)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+notaxib
        GLOSS:	will+I+elect/vote

 INPUT STRING:	فلول
     IS_TRANS:	flwl
        INDEX:	P29W4
      OFFSETS:	16-20
       TOKENS:	P29W6-P29W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fal~_1]
   UNSPLITVOC:	(fuluwl)
          POS:	NOUN
          VOC:	fuluwl
        GLOSS:	dents/notches/nicks

 INPUT STRING:	جزاك
     IS_TRANS:	jzAk
        INDEX:	P30W1
      OFFSETS:	0-4
       TOKENS:	P30W1-P30W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jAzaY_1]
   UNSPLITVOC:	(jAzAak)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:2MS
          VOC:	jAzA+(null)+ak
        GLOSS:	reward+he/it+you

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P30W2
      OFFSETS:	5-9
       TOKENS:	P30W3-P30W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	God/Allah

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P30W3
      OFFSETS:	10-12
       TOKENS:	P30W4-P30W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	الخير
     IS_TRANS:	Alxyr
        INDEX:	P30W4
      OFFSETS:	13-18
       TOKENS:	P30W5-P30W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xayr_1]
   UNSPLITVOC:	(Alxayr)
          POS:	DET+NOUN
          VOC:	Al+xayr
        GLOSS:	the+welfare/ prosperity/ good fortune

 INPUT STRING:	كلامك
     IS_TRANS:	klAmk
        INDEX:	P31W1
      OFFSETS:	0-5
       TOKENS:	P31W1-P31W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(kalAmak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	kalAm+ak
        GLOSS:	speech/statement/remark/talk/saying+your

 INPUT STRING:	ف
     IS_TRANS:	f
        INDEX:	P31W2
      OFFSETS:	6-7
       TOKENS:	P31W3-P31W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الصميييييييييييييييييييم
     IS_TRANS:	AlSmyyyyyyyyyyyyyyyyyyym
        INDEX:	P31W3
      OFFSETS:	8-32
       TOKENS:	P31W4-P31W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Samiym_1]
   UNSPLITVOC:	(AlSamiym)
          POS:	DET+NOUN
          VOC:	Al+Samiym
        GLOSS:	the+core/center

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P32W1
      OFFSETS:	0-5
       TOKENS:	P32W1-P32W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ah)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	with+God/Allah

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P32W2
      OFFSETS:	6-9
       TOKENS:	P32W3-P32W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	متهيألي
     IS_TRANS:	mthy>ly
        INDEX:	P32W3
      OFFSETS:	10-17
       TOKENS:	P32W4-P32W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mitohay~a>_1]
   UNSPLITVOC:	(mitohay~a>_liy)
          POS:	ADJ+PREP+PRON_1S
          VOC:	mitohay~a>+li+iy
        GLOSS:	seeming+to/for+I

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P32W4
      OFFSETS:	18-20
       TOKENS:	P32W7-P32W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	فاز
     IS_TRANS:	fAz
        INDEX:	P32W5
      OFFSETS:	21-24
       TOKENS:	P32W8-P32W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAz_1]
   UNSPLITVOC:	(fAz)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	fAz+(null)
        GLOSS:	win/be victorious+he/it

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P32W6
      OFFSETS:	25-29
       TOKENS:	P32W9-P32W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN
          VOC:	wAHid
        GLOSS:	person/ individual

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P32W7
      OFFSETS:	30-32
       TOKENS:	P32W10-P32W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الفلول
     IS_TRANS:	Alflwl
        INDEX:	P32W8
      OFFSETS:	33-39
       TOKENS:	P32W11-P32W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fal~_1]
   UNSPLITVOC:	(Alfuluwl)
          POS:	DET+NOUN
          VOC:	Al+fuluwl
        GLOSS:	the+dents/notches/nicks

 INPUT STRING:	هاتبقى
     IS_TRANS:	hAtbqY
        INDEX:	P33W1
      OFFSETS:	0-6
       TOKENS:	P33W1-P33W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(HatiboqaY)
          POS:	FUT_PART+IV3FS+IV
          VOC:	Ha+ti+boqaY
        GLOSS:	will+it/they/she+remain/become

 INPUT STRING:	فضيحتنا
     IS_TRANS:	fDyHtnA
        INDEX:	P33W2
      OFFSETS:	7-14
       TOKENS:	P33W3-P33W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[faDiyHap_1]
   UNSPLITVOC:	(faDiyHatnA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1P
          VOC:	faDiyH+at+nA
        GLOSS:	scandal/disgrace+[fem.sg.]+our

 INPUT STRING:	بجلاجل
     IS_TRANS:	bjlAjl
        INDEX:	P33W3
      OFFSETS:	15-21
       TOKENS:	P33W5-P33W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[julojul_1]
   UNSPLITVOC:	(bijalAjil)
          POS:	PREP+NOUN
          VOC:	bi+jalAjil
        GLOSS:	with/by+bells/jingles

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P33W4
      OFFSETS:	22-24
       TOKENS:	P33W7-P33W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	العالم
     IS_TRANS:	AlEAlm
        INDEX:	P33W5
      OFFSETS:	25-31
       TOKENS:	P33W8-P33W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAlam_1]
   UNSPLITVOC:	(AlEAlam)
          POS:	DET+NOUN
          VOC:	Al+EAlam
        GLOSS:	the+world/worlds

 INPUT STRING:	كله
     IS_TRANS:	klh
        INDEX:	P33W6
      OFFSETS:	32-35
       TOKENS:	P33W9-P33W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uh)
          POS:	NOUN_QUANT+POSS_PRON_3MS
          VOC:	kul~+uh
        GLOSS:	all/entire+his/its

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P34W1
      OFFSETS:	0-3
       TOKENS:	P34W1-P34W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P34W2
      OFFSETS:	4-10
       TOKENS:	P34W2-P34W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P34W3
      OFFSETS:	11-15
       TOKENS:	P34W3-P34W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	what/that

 INPUT STRING:	وقفت
     IS_TRANS:	wqft
        INDEX:	P34W4
      OFFSETS:	16-20
       TOKENS:	P34W4-P34W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waq~af_1]
   UNSPLITVOC:	(waq~afit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	waq~af+it
        GLOSS:	stop/detain+it/they/she

 INPUT STRING:	العالم
     IS_TRANS:	AlEAlm
        INDEX:	P34W5
      OFFSETS:	21-27
       TOKENS:	P34W5-P34W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAlam_1]
   UNSPLITVOC:	(AlEAlam)
          POS:	DET+NOUN
          VOC:	Al+EAlam
        GLOSS:	the+world/worlds

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P34W6
      OFFSETS:	28-31
       TOKENS:	P34W6-P34W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	رجل
     IS_TRANS:	rjl
        INDEX:	P34W7
      OFFSETS:	32-35
       TOKENS:	P34W7-P34W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rijol_1]
   UNSPLITVOC:	(rijol)
          POS:	NOUN
          VOC:	rijol
        GLOSS:	leg/legs

 INPUT STRING:	واحدة
     IS_TRANS:	wAHdp
        INDEX:	P34W8
      OFFSETS:	36-41
       TOKENS:	P34W8-P34W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHodap_1]
   UNSPLITVOC:	(wAHodap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	wAHod+ap
        GLOSS:	one+[fem.sg.]

 INPUT STRING:	وقلبت
     IS_TRANS:	wqlbt
        INDEX:	P34W9
      OFFSETS:	42-47
       TOKENS:	P34W9-P34W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qalab_1]
   UNSPLITVOC:	(wiqalabit)
          POS:	CONJ+PV+PVSUFF_SUBJ:3FS
          VOC:	wi+qalab+it
        GLOSS:	and+turn upside down+it/they/she

 INPUT STRING:	دول
     IS_TRANS:	dwl
        INDEX:	P34W10
      OFFSETS:	48-51
       TOKENS:	P34W11-P34W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(duwal)
          POS:	NOUN
          VOC:	duwal
        GLOSS:	state/country/states/countries

 INPUT STRING:	تانية
     IS_TRANS:	tAnyp
        INDEX:	P34W11
      OFFSETS:	52-57
       TOKENS:	P34W12-P34W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAniy_1]
   UNSPLITVOC:	(tAnoyap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	tAnoy+ap
        GLOSS:	second/other+[fem.sg.]

 INPUT STRING:	نجيب
     IS_TRANS:	njyb
        INDEX:	P35W1
      OFFSETS:	0-4
       TOKENS:	P35W1-P35W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAb_1]
   UNSPLITVOC:	(nijiyb)
          POS:	IV1P+IV
          VOC:	ni+jiyb
        GLOSS:	we+explore/traverse/bring

 INPUT STRING:	رئيس
     IS_TRANS:	r}ys
        INDEX:	P35W2
      OFFSETS:	5-9
       TOKENS:	P35W2-P35W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(ra}iys)
          POS:	NOUN
          VOC:	ra}iys
        GLOSS:	president/head/chairman

 INPUT STRING:	وزارة
     IS_TRANS:	wzArp
        INDEX:	P35W3
      OFFSETS:	10-15
       TOKENS:	P35W3-P35W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wizArap_1]
   UNSPLITVOC:	(wizArap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	wizAr+ap
        GLOSS:	ministry+[fem.sg.]

 INPUT STRING:	لمبارك
     IS_TRANS:	lmbArk
        INDEX:	P35W4
      OFFSETS:	16-22
       TOKENS:	P35W4-P35W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(limubArak)
          POS:	PREP+NOUN_PROP
          VOC:	li+mubArak
        GLOSS:	for/to+Mubarak

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P35W5
      OFFSETS:	23-26
       TOKENS:	P35W6-P35W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	وزير
     IS_TRANS:	wzyr
        INDEX:	P35W6
      OFFSETS:	27-31
       TOKENS:	P35W7-P35W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waziyr_1]
   UNSPLITVOC:	(waziyr)
          POS:	NOUN
          VOC:	waziyr
        GLOSS:	minister

 INPUT STRING:	خارجيته
     IS_TRANS:	xArjyth
        INDEX:	P35W7
      OFFSETS:	32-39
       TOKENS:	P35W8-P35W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xArjiy~ap_1]
   UNSPLITVOC:	(xArjiy~apuh)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	xArjiy~+ap+uh
        GLOSS:	ministry of foreing affairs+[fem.sg.]+his/its

 INPUT STRING:	دا
     IS_TRANS:	dA
        INDEX:	P36W1
      OFFSETS:	0-2
       TOKENS:	P36W1-P36W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P36W2
      OFFSETS:	3-7
       TOKENS:	P36W2-P36W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	ADJ
          VOC:	mumokin
        GLOSS:	possible

 INPUT STRING:	يتقال
     IS_TRANS:	ytqAl
        INDEX:	P36W3
      OFFSETS:	8-13
       TOKENS:	P36W3-P36W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(yitqAl)
          POS:	IV3MS+IV_PASS
          VOC:	yi+tqAl
        GLOSS:	he/it+be said

 INPUT STRING:	المصريين
     IS_TRANS:	AlmSryyn
        INDEX:	P36W4
      OFFSETS:	14-22
       TOKENS:	P36W4-P36W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy~iyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+maSoriy~+iyn
        GLOSS:	the+Egyptians+two

 INPUT STRING:	دول
     IS_TRANS:	dwl
        INDEX:	P36W5
      OFFSETS:	23-26
       TOKENS:	P36W5-P36W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawol_1]
   UNSPLITVOC:	(dawol)
          POS:	DEM_PRON_P
          VOC:	dawol
        GLOSS:	these

 INPUT STRING:	هطل
     IS_TRANS:	hTl
        INDEX:	P36W6
      OFFSETS:	27-30
       TOKENS:	P36W6-P36W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
