 INPUT STRING:	الأستاذ
        GLOSS:	[present-tense]+we+said/say/be said/say/(for example)

 INPUT STRING:	إحنا
     IS_TRANS:	<HnA
        INDEX:	P7W17
      OFFSETS:	63-67
       TOKENS:	P7W21-P7W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	اطرنا
     IS_TRANS:	ATrnA
        INDEX:	P7W18
      OFFSETS:	68-73
       TOKENS:	P7W22-P7W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aT~ar_1]
   UNSPLITVOC:	(>aT~arnA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	>aT~ar+nA
        GLOSS:	forced+we

 INPUT STRING:	نضحي
     IS_TRANS:	nDHy
        INDEX:	P7W19
      OFFSETS:	74-78
       TOKENS:	P7W23-P7W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[DaH~aY_1]
   UNSPLITVOC:	(niDaH~iy)
          POS:	IV1P+IV+IVSUFF_MOOD:I
          VOC:	ni+DaH~iy+
        GLOSS:	we+sacrifice/immolate+[ind.]

 INPUT STRING:	بالأم
     IS_TRANS:	bAl>m
        INDEX:	P7W20
      OFFSETS:	79-84
       TOKENS:	P7W24-P7W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~_1]
   UNSPLITVOC:	(biAl>um~)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+>um~
        GLOSS:	with/by+the+mother/maternal/mothers

 INPUT STRING:	والجنين
     IS_TRANS:	wAljnyn
        INDEX:	P7W21
      OFFSETS:	85-92
       TOKENS:	P7W26-P7W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[janiyn_1]
   UNSPLITVOC:	(wiAljaniyn)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+janiyn
        GLOSS:	and+the+fetus/germ/fetuses

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P7W22
      OFFSETS:	93-98
       TOKENS:	P7W28-P7W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	for+because

 INPUT STRING:	الدكتور
     IS_TRANS:	Aldktwr
        INDEX:	P7W23
      OFFSETS:	99-106
       TOKENS:	P7W30-P7W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dukotawr_1]
   UNSPLITVOC:	(Ald~ukotawr)
          POS:	DET+NOUN
          VOC:	Al+dukotawr
        GLOSS:	the+doctor

 INPUT STRING:	يعيش
     IS_TRANS:	yEy$
        INDEX:	P7W24
      OFFSETS:	107-111
       TOKENS:	P7W31-P7W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EA$_1]
   UNSPLITVOC:	(yiEiy$)
          POS:	IV3MS+IV
          VOC:	yi+Eiy$
        GLOSS:	he/it+live/experience/long live!/be lived/be experienced

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W25
      OFFSETS:	111-112
       TOKENS:	P7W32-P7W32
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W26
      OFFSETS:	112-113
       TOKENS:	P7W33-P7W33
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W27
      OFFSETS:	113-114
       TOKENS:	P7W34-P7W34
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P7W28
      OFFSETS:	114-115
       TOKENS:	P7W35-P7W35
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	أي
     IS_TRANS:	>y
        INDEX:	P7W29
      OFFSETS:	116-118
       TOKENS:	P7W36-P7W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	INTERROG_PRON
          VOC:	>ay~
        GLOSS:	which

 INPUT STRING:	منطق
     IS_TRANS:	mnTq
        INDEX:	P7W30
      OFFSETS:	119-123
       TOKENS:	P7W37-P7W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manoTiq_1]
   UNSPLITVOC:	(manoTiq)
          POS:	NOUN
          VOC:	manoTiq
        GLOSS:	logic

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P7W31
      OFFSETS:	124-127
       TOKENS:	P7W38-P7W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*A)
          POS:	DEM_PRON_MS
          VOC:	ha*A
        GLOSS:	this

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P7W32
      OFFSETS:	128-130
       TOKENS:	P7W39-P7W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	أخي
     IS_TRANS:	>xy
        INDEX:	P7W33
      OFFSETS:	131-134
       TOKENS:	P7W40-P7W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ax~_1]
   UNSPLITVOC:	(Axiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Ax+iy
        GLOSS:	brother+my

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P7W34
      OFFSETS:	134-135
       TOKENS:	P7W42-P7W42
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P8W1
      OFFSETS:	0-5
       TOKENS:	P8W1-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	for+because

 INPUT STRING:	نفك
     IS_TRANS:	nfk
        INDEX:	P8W2
      OFFSETS:	6-9
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fak~_1]
   UNSPLITVOC:	(nifuk~)
          POS:	IV1P+IV
          VOC:	ni+fuk~
        GLOSS:	we+detach

 INPUT STRING:	ونخلي
     IS_TRANS:	wnxly
        INDEX:	P8W3
      OFFSETS:	10-15
       TOKENS:	P8W4-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(winixal~iy)
          POS:	CONJ+IV1P+IV
          VOC:	wi+ni+xal~iy
        GLOSS:	and+we+release/evacuate/allow/be released/be evacuated/be allowed

 INPUT STRING:	أهل
     IS_TRANS:	>hl
        INDEX:	P8W4
      OFFSETS:	16-19
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ahol_1]
   UNSPLITVOC:	(>ahol)
          POS:	NOUN
          VOC:	>ahol
        GLOSS:	family/people/people/families/folk/families/indigenous people

 INPUT STRING:	غزة
     IS_TRANS:	gzp
        INDEX:	P8W5
      OFFSETS:	20-23
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gaz~ap_1]
   UNSPLITVOC:	(gaz~ap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	gaz~+ap
        GLOSS:	Gaza+[fem.sg.]

 INPUT STRING:	يعرفوا
     IS_TRANS:	yErfwA
        INDEX:	P8W6
      OFFSETS:	24-30
       TOKENS:	P8W8-P8W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(yiEorafuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+Eoraf+uwA
        GLOSS:	they+know/be known+they

 INPUT STRING:	يعشيوا
     IS_TRANS:	yE$ywA
        INDEX:	P8W7
      OFFSETS:	31-37
       TOKENS:	P8W9-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EA$_1]
   UNSPLITVOC:	(yiEiy$uwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+Eiy$+uwA
        GLOSS:	they+live+[masc.pl.]

 INPUT STRING:	يبقي
     IS_TRANS:	ybqy
        INDEX:	P8W8
      OFFSETS:	38-42
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(yiboqaY)
          POS:	IV3MS+IV
          VOC:	yi+boqaY
        GLOSS:	he/it+become

 INPUT STRING:	نجوعهم
     IS_TRANS:	njwEhm
        INDEX:	P8W9
      OFFSETS:	43-49
       TOKENS:	P8W11-P8W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jaw~aE_1]
   UNSPLITVOC:	(nijaw~aEhum)
          POS:	IV1P+IV+IVSUFF_DO:3P
          VOC:	ni+jaw~aE+hum
        GLOSS:	we+make starve/famish+them

 INPUT STRING:	ونحاصرهم
     IS_TRANS:	wnHASrhm
        INDEX:	P8W10
      OFFSETS:	50-58
       TOKENS:	P8W13-P8W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HASir_1]
   UNSPLITVOC:	(winiHASirhum)
          POS:	CONJ+IV1P+IV+IVSUFF_DO:3P
          VOC:	wi+ni+HASir+hum
        GLOSS:	and+we+besiege/encircle/blockade/surround+them

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P8W11
      OFFSETS:	59-61
       TOKENS:	P8W16-P8W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maE
        GLOSS:	with

 INPUT STRING:	الصهاينة
     IS_TRANS:	AlShAynp
        INDEX:	P8W12
      OFFSETS:	62-70
       TOKENS:	P8W17-P8W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Sahoyuwniy~_1]
   UNSPLITVOC:	(AlSahAynap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+SahAyn+ap
        GLOSS:	the+Zionists+[fem.sg.]

 INPUT STRING:	ونعين
     IS_TRANS:	wnEyn
        INDEX:	P8W13
      OFFSETS:	71-76
       TOKENS:	P8W18-P8W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eay~an_1]
   UNSPLITVOC:	(winiEay~in)
          POS:	CONJ+IV1P+IV
          VOC:	wi+ni+Eay~in
        GLOSS:	and+we+appoint/assign

 INPUT STRING:	عليهم
     IS_TRANS:	Elyhm
        INDEX:	P8W14
      OFFSETS:	77-82
       TOKENS:	P8W20-P8W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayhum)
          POS:	PREP+PRON_3P
          VOC:	EalaY+hum
        GLOSS:	on/above+them

 INPUT STRING:	أعداء
     IS_TRANS:	>EdA'
        INDEX:	P8W15
      OFFSETS:	83-88
       TOKENS:	P8W22-P8W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eaduw~_1]
   UNSPLITVOC:	(>aEodA')
          POS:	NOUN
          VOC:	>aEodA'
        GLOSS:	enemies

 INPUT STRING:	الأمة
     IS_TRANS:	Al>mp
        INDEX:	P8W16
      OFFSETS:	89-94
       TOKENS:	P8W23-P8W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~ap_1]
   UNSPLITVOC:	(Al>um~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+>um~+ap
        GLOSS:	the+nation/people/nations/peoples/Nations+[fem.sg.]

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P8W17
      OFFSETS:	95-100
       TOKENS:	P8W24-P8W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	for+because

 INPUT STRING:	يقتلوهم
     IS_TRANS:	yqtlwhm
        INDEX:	P8W18
      OFFSETS:	101-108
       TOKENS:	P8W26-P8W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qatal_1]
   UNSPLITVOC:	(yiqotiluwhum)
          POS:	IV3P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:3P
          VOC:	yi+qotil+uwA+hum
        GLOSS:	they (people)+kill+[masc.pl.]+them

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P8W19
      OFFSETS:	108-109
       TOKENS:	P8W28-P8W28
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P8W20
      OFFSETS:	109-110
       TOKENS:	P8W29-P8W29
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P8W21
      OFFSETS:	110-111
       TOKENS:	P8W30-P8W30
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وهو
     IS_TRANS:	whw
        INDEX:	P9W1
      OFFSETS:	0-3
       TOKENS:	P9W1-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(wahuw~a)
          POS:	CONJ+PRON_3MS
          VOC:	wa+huw~a
        GLOSS:	and+he

 INPUT STRING:	أطفال
     IS_TRANS:	>TfAl
        INDEX:	P9W2
      OFFSETS:	4-9
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tifol_1]
   UNSPLITVOC:	(>aTofAl)
          POS:	NOUN
          VOC:	>aTofAl
        GLOSS:	child/boy/child/girl/children/infants

 INPUT STRING:	غزة
     IS_TRANS:	gzp
        INDEX:	P9W3
      OFFSETS:	10-13
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gaz~ap_1]
   UNSPLITVOC:	(gaz~ap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	gaz~+ap
        GLOSS:	Gaza+[fem.sg.]

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P9W4
      OFFSETS:	14-16
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	كانوش
     IS_TRANS:	kAnw$
        INDEX:	P9W5
      OFFSETS:	17-22
       TOKENS:	P9W6-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnuw$)
          POS:	PV+PVSUFF_SUBJ:3P+NEG_PART
          VOC:	kAn+uwA+$
        GLOSS:	be+they+not

 INPUT STRING:	بيموتوا
     IS_TRANS:	bymwtwA
        INDEX:	P9W6
      OFFSETS:	23-30
       TOKENS:	P9W8-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAt_1]
   UNSPLITVOC:	(biyimuwtuwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+muwt+uwA
        GLOSS:	[present-tense]+they+die/pass away+they

 INPUT STRING:	إلا
     IS_TRANS:	<lA
        INDEX:	P9W7
      OFFSETS:	31-34
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	RESTRIC_PART
          VOC:	<il~A
        GLOSS:	only

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P9W8
      OFFSETS:	35-38
       TOKENS:	P9W11-P9W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as, when

 INPUT STRING:	حماس
     IS_TRANS:	HmAs
        INDEX:	P9W9
      OFFSETS:	39-43
       TOKENS:	P9W12-P9W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HamAs_1]
   UNSPLITVOC:	(HamAs)
          POS:	NOUN_PROP
          VOC:	HamAs
        GLOSS:	Hamas

 INPUT STRING:	وصلت
     IS_TRANS:	wSlt
        INDEX:	P9W10
      OFFSETS:	44-48
       TOKENS:	P9W13-P9W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waSal_1]
   UNSPLITVOC:	(waSalit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	waSal+it
        GLOSS:	arrive at/reach/connect+it/they/she [verb]

 INPUT STRING:	للسلطة
     IS_TRANS:	llslTp
        INDEX:	P9W11
      OFFSETS:	49-55
       TOKENS:	P9W14-P9W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suloTap_1]
   UNSPLITVOC:	(lils~uloTap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+suloT+ap
        GLOSS:	for/to+the+power/authority/rule/authorities/powers/authorities/rules+[fem.sg.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P9W12
      OFFSETS:	55-56
       TOKENS:	P9W16-P9W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	وبعدين
     IS_TRANS:	wbEdyn
        INDEX:	P10W1
      OFFSETS:	0-6
       TOKENS:	P10W1-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEodayn_1]
   UNSPLITVOC:	(wibaEodayn)
          POS:	CONJ+ADV
          VOC:	wi+baEodayn
        GLOSS:	and+next

 INPUT STRING:	إذا
     IS_TRANS:	<*A
        INDEX:	P10W2
      OFFSETS:	7-10
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai*A_1]
   UNSPLITVOC:	(<i*A)
          POS:	SUB_CONJ
          VOC:	<i*A
        GLOSS:	if

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P10W3
      OFFSETS:	11-14
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	الرئيس
     IS_TRANS:	Alr}ys
        INDEX:	P10W4
      OFFSETS:	15-21
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(Alr~a}iys)
          POS:	DET+NOUN
          VOC:	Al+ra}iys
        GLOSS:	the+president/head/chairman

 INPUT STRING:	مبارك
     IS_TRANS:	mbArk
        INDEX:	P10W5
      OFFSETS:	22-27
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArak)
          POS:	NOUN_PROP
          VOC:	mubArak
        GLOSS:	mubarak

 INPUT STRING:	قال
     IS_TRANS:	qAl
        INDEX:	P10W6
      OFFSETS:	28-31
       TOKENS:	P10W7-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAl)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qAl+(null)
        GLOSS:	said/say/be said/say/(for example)+he/it

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P10W7
      OFFSETS:	32-34
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	عيد
     IS_TRANS:	Eyd
        INDEX:	P10W8
      OFFSETS:	35-38
       TOKENS:	P10W9-P10W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eiyd_1]
   UNSPLITVOC:	(Eiyd)
          POS:	NOUN
          VOC:	Eiyd
        GLOSS:	feast/holiday/festival/holidays/feasts

 INPUT STRING:	الشرطة
     IS_TRANS:	Al$rTp
        INDEX:	P10W9
      OFFSETS:	39-45
       TOKENS:	P10W10-P10W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uroTap_1]
   UNSPLITVOC:	(Al$~uroTap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+$uroT+ap
        GLOSS:	the+police+[fem.sg.]

 INPUT STRING:	قبل
     IS_TRANS:	qbl
        INDEX:	P10W10
      OFFSETS:	46-49
       TOKENS:	P10W11-P10W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qabol_1]
   UNSPLITVOC:	(qabol)
          POS:	NOUN
          VOC:	qabol
        GLOSS:	before/previously/formerly

 INPUT STRING:	الماضي
     IS_TRANS:	AlmADy
        INDEX:	P10W11
      OFFSETS:	50-56
       TOKENS:	P10W12-P10W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mADiy_1]
   UNSPLITVOC:	(AlmADiy)
          POS:	DET+ADJ
          VOC:	Al+mADiy
        GLOSS:	the+past/bygone

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P10W12
      OFFSETS:	57-59
       TOKENS:	P10W13-P10W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	الأنفاق
     IS_TRANS:	Al>nfAq
        INDEX:	P10W13
      OFFSETS:	60-67
       TOKENS:	P10W14-P10W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafaq_1]
   UNSPLITVOC:	(Al>anofAq)
          POS:	DET+NOUN
          VOC:	Al+>anofAq
        GLOSS:	the+subway/tunnels

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P10W14
      OFFSETS:	68-70
       TOKENS:	P10W15-P10W15
