 INPUT STRING:	بصى
     IS_TRANS:	TbEA
        INDEX:	P10W2
      OFFSETS:	4-8
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaboE_1]
   UNSPLITVOC:	(TaboEAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	TaboE+AF
        GLOSS:	temperament/naturally/of course+[acc.indef.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P10W3
      OFFSETS:	9-11
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	مؤمنة
     IS_TRANS:	m&mnp
        INDEX:	P10W4
      OFFSETS:	12-17
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mu&omin_1]
   UNSPLITVOC:	(mu&ominap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	mu&omin+ap
        GLOSS:	believing+[fem.sg.]

 INPUT STRING:	بالمعتقد
     IS_TRANS:	bAlmEtqd
        INDEX:	P10W5
      OFFSETS:	18-26
       TOKENS:	P10W5-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miEotiqid_1]
   UNSPLITVOC:	(biAlmiEotiqid)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+miEotiqid
        GLOSS:	with/by+the+dogma/creed/conviction

 INPUT STRING:	البهائي
     IS_TRANS:	AlbhA}y
        INDEX:	P10W6
      OFFSETS:	27-34
       TOKENS:	P10W7-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bahA}iy_1]
   UNSPLITVOC:	(AlbahA}iy)
          POS:	DET+ADJ
          VOC:	Al+bahA}iy
        GLOSS:	the+Baha'i

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P10W7
      OFFSETS:	35-37
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	دول
     IS_TRANS:	dwl
        INDEX:	P10W8
      OFFSETS:	38-41
       TOKENS:	P10W9-P10W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawol_1]
   UNSPLITVOC:	(dawol)
          POS:	DEM_PRON_P
          VOC:	dawol
        GLOSS:	them/thier

 INPUT STRING:	مصريين
     IS_TRANS:	mSryyn
        INDEX:	P10W9
      OFFSETS:	42-48
       TOKENS:	P10W10-P10W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(maSoriy~iyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	maSoriy~+iyn
        GLOSS:	Egyptian+[masc.pl.]

 INPUT STRING:	ولازم
     IS_TRANS:	wlAzm
        INDEX:	P10W10
      OFFSETS:	49-54
       TOKENS:	P10W11-P10W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(wilAzim)
          POS:	CONJ+ADJ
          VOC:	wi+lAzim
        GLOSS:	and+necessary/required/needed

 INPUT STRING:	ياخده
     IS_TRANS:	yAxdh
        INDEX:	P10W11
      OFFSETS:	55-60
       TOKENS:	P10W13-P10W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xa*_1]
   UNSPLITVOC:	(yaAx*uw)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	ya+Ax*+uw
        GLOSS:	they+take+they

 INPUT STRING:	حقوقهم
     IS_TRANS:	Hqwqhm
        INDEX:	P10W12
      OFFSETS:	61-67
       TOKENS:	P10W14-P10W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(Huquwqhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	Huquwq+hum
        GLOSS:	right, prerogative, truth+their

 INPUT STRING:	بغض
     IS_TRANS:	bgD
        INDEX:	P10W13
      OFFSETS:	68-71
       TOKENS:	P10W16-P10W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[gaD~_1]
   UNSPLITVOC:	(bigaD~)
          POS:	PREP+NOUN
          VOC:	bi+gaD~
        GLOSS:	with/by+turning aside

 INPUT STRING:	النظر
     IS_TRANS:	AlnZr
        INDEX:	P10W14
      OFFSETS:	72-77
       TOKENS:	P10W18-P10W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naZar_1]
   UNSPLITVOC:	(Aln~aZar)
          POS:	DET+NOUN
          VOC:	Al+naZar
        GLOSS:	the+view/look/seeing/eye-sight/glances/looking

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P10W15
      OFFSETS:	78-80
       TOKENS:	P10W19-P10W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	راينا
     IS_TRANS:	rAynA
        INDEX:	P10W16
      OFFSETS:	81-86
       TOKENS:	P10W20-P10W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(ra>oyinA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	ra>oy+nA
        GLOSS:	opinion/view/idea+our

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P10W17
      OFFSETS:	87-89
       TOKENS:	P10W22-P10W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	معتقدهم
     IS_TRANS:	mEtqdhm
        INDEX:	P10W18
      OFFSETS:	90-97
       TOKENS:	P10W23-P10W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muEtaqad_1]
   UNSPLITVOC:	(muEtaqadhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	muEtaqad+hum
        GLOSS:	belief+their

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P11W1
      OFFSETS:	0-1
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	بعدين
     IS_TRANS:	bEdyn
        INDEX:	P11W2
      OFFSETS:	2-7
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEodayn_1]
   UNSPLITVOC:	(baEodayn)
          POS:	ADV
          VOC:	baEodayn
        GLOSS:	then

 INPUT STRING:	طالما
     IS_TRANS:	TAlmA
        INDEX:	P11W3
      OFFSETS:	8-13
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TAlamA_1]
   UNSPLITVOC:	(TAlamA)
          POS:	SUB_CONJ
          VOC:	TAlamA
        GLOSS:	as long as

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P11W4
      OFFSETS:	14-18
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	our

 INPUT STRING:	شايفنهم
     IS_TRANS:	$Ayfnhm
        INDEX:	P11W5
      OFFSETS:	19-26
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	($Ayfnhm)
          POS:	NO_FUNC
          VOC:	$Ayfnhm
        GLOSS:	nogloss

 INPUT STRING:	خطر
     IS_TRANS:	xTr
        INDEX:	P11W6
      OFFSETS:	27-30
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaTar_1]
   UNSPLITVOC:	(xaTar)
          POS:	NOUN
          VOC:	xaTar
        GLOSS:	danger/threat/menace

 INPUT STRING:	يبقي
     IS_TRANS:	ybqy
        INDEX:	P11W7
      OFFSETS:	31-35
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[biqiy_2]
   UNSPLITVOC:	(yiboqaY)
          POS:	IV3MS+IV
          VOC:	yi+boqaY
        GLOSS:	he/it+remain

 INPUT STRING:	الاحسن
     IS_TRANS:	AlAHsn
        INDEX:	P11W8
      OFFSETS:	36-42
       TOKENS:	P11W8-P11W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHosan_1]
   UNSPLITVOC:	(Al>aHosan)
          POS:	DET+ADJ_COMP
          VOC:	Al+>aHosan
        GLOSS:	the+better/best

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P11W9
      OFFSETS:	43-45
       TOKENS:	P11W9-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P11W10
      OFFSETS:	46-50
       TOKENS:	P11W10-P11W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yikuwn)
          POS:	IV3MS+IV
          VOC:	yi+kuwn
        GLOSS:	he/it+be

 INPUT STRING:	معروف
     IS_TRANS:	mErwf
        INDEX:	P11W11
      OFFSETS:	51-56
       TOKENS:	P11W11-P11W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEoruwf_1]
   UNSPLITVOC:	(maEoruwf)
          POS:	ADJ
          VOC:	maEoruwf
        GLOSS:	known/well-known

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P11W12
      OFFSETS:	57-59
       TOKENS:	P11W12-P11W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	دول
     IS_TRANS:	dwl
        INDEX:	P11W13
      OFFSETS:	60-63
       TOKENS:	P11W13-P11W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawol_1]
   UNSPLITVOC:	(dawol)
          POS:	DEM_PRON_P
          VOC:	dawol
        GLOSS:	these

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P11W14
      OFFSETS:	64-66
       TOKENS:	P11W14-P11W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	مسلمين
     IS_TRANS:	mslmyn
        INDEX:	P11W15
      OFFSETS:	67-73
       TOKENS:	P11W15-P11W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musolim_1]
   UNSPLITVOC:	(musolimiyn)
          POS:	NOUN+NSUFF_MASC_PL
          VOC:	musolim+iyn
        GLOSS:	muslim+[masc.pl.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P11W16
      OFFSETS:	74-75
       TOKENS:	P11W16-P11W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	يتكتب
     IS_TRANS:	ytktb
        INDEX:	P11W17
      OFFSETS:	76-81
       TOKENS:	P11W17-P11W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aitkatab_1]
   UNSPLITVOC:	(yitkatab)
          POS:	IV3MS+IV_PASS
          VOC:	yi+tkatab
        GLOSS:	he/it+be written

 INPUT STRING:	دينهم
     IS_TRANS:	dynhm
        INDEX:	P11W18
      OFFSETS:	82-87
       TOKENS:	P11W18-P11W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyn_1]
   UNSPLITVOC:	(diynhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	diyn+hum
        GLOSS:	religion+their

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P11W19
      OFFSETS:	88-90
       TOKENS:	P11W20-P11W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	البطاقة
     IS_TRANS:	AlbTAqp
        INDEX:	P11W20
      OFFSETS:	91-98
       TOKENS:	P11W21-P11W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[biTAqap_1]
   UNSPLITVOC:	(AlbiTAqap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+biTAq+ap
        GLOSS:	the+card/tag/ballot/cards/tags/ballots+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P11W21
      OFFSETS:	99-100
       TOKENS:	P11W22-P11W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	ياريت
     IS_TRANS:	yAryt
        INDEX:	P11W22
      OFFSETS:	101-106
       TOKENS:	P11W23-P11W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yArayot_1]
   UNSPLITVOC:	(yArayot)
          POS:	PSEUDO_VERB
          VOC:	yArayot
        GLOSS:	if only/wish

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P11W23
      OFFSETS:	107-111
       TOKENS:	P11W24-P11W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	بيقولوا
     IS_TRANS:	byqwlwA
        INDEX:	P11W24
      OFFSETS:	112-119
       TOKENS:	P11W25-P11W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(biyiquwluwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+quwl+uwA
        GLOSS:	[present-tense]+they+said/say/be said/say/(for example)+we

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P11W25
      OFFSETS:	120-124
       TOKENS:	P11W27-P11W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	ADJ
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	نطبق
     IS_TRANS:	nTbq
        INDEX:	P11W26
      OFFSETS:	125-129
       TOKENS:	P11W28-P11W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tab~aq_1]
   UNSPLITVOC:	(niTab~aq)
          POS:	IV1P+IV
          VOC:	ni+Tab~aq
        GLOSS:	we+apply/implement/be applied/be implemented

 INPUT STRING:	عليهم
     IS_TRANS:	Elyhm
        INDEX:	P11W27
      OFFSETS:	130-135
       TOKENS:	P11W29-P11W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayhum)
          POS:	PREP+PRON_3P
          VOC:	EalaY+hum
        GLOSS:	on/above+they

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P11W28
      OFFSETS:	136-138
       TOKENS:	P11W31-P11W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	extent/limit/level/border/frontier/limits

 INPUT STRING:	الردة
     IS_TRANS:	Alrdp
        INDEX:	P11W29
      OFFSETS:	139-144
       TOKENS:	P11W32-P11W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rid~ap_1]
   UNSPLITVOC:	(Alr~id~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+rid~+ap
        GLOSS:	the+apostasy/rebound+[fem.sg.]

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P12W1
      OFFSETS:	0-3
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	قريت
     IS_TRANS:	qryt
        INDEX:	P12W2
      OFFSETS:	4-8
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qarA_1]
   UNSPLITVOC:	(qarayt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	qar+ayt
        GLOSS:	read+I

 INPUT STRING:	القران
     IS_TRANS:	AlqrAn
        INDEX:	P12W3
      OFFSETS:	9-15
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qur|n_1]
   UNSPLITVOC:	(Alqur|n)
          POS:	DET+NOUN
          VOC:	Al+qur|n
        GLOSS:	the+Quran

 INPUT STRING:	كله
     IS_TRANS:	klh
        INDEX:	P12W4
      OFFSETS:	16-19
       TOKENS:	P12W4-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uh)
          POS:	NOUN_QUANT+POSS_PRON_3MS
          VOC:	kul~+uh
        GLOSS:	all/every/whole+his/its

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P12W5
      OFFSETS:	20-21
       TOKENS:	P12W6-P12W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	ملقتش
     IS_TRANS:	mlqt$
        INDEX:	P12W6
      OFFSETS:	22-27
       TOKENS:	P12W7-P12W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[laqaY_1]
   UNSPLITVOC:	(mAlqit$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:1S+NEG_PART
          VOC:	mA+lqi+t+$
        GLOSS:	not+not found+I+not

 INPUT STRING:	اي
     IS_TRANS:	Ay
        INDEX:	P12W7
      OFFSETS:	28-30
       TOKENS:	P12W10-P12W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	اية
     IS_TRANS:	Ayp
        INDEX:	P12W8
      OFFSETS:	31-34
       TOKENS:	P12W11-P12W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ayap_1]
   UNSPLITVOC:	(|ayap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	|ay+ap
        GLOSS:	Quranic verse+[fem.sg.]

 INPUT STRING:	بتتكلم
     IS_TRANS:	bttklm
        INDEX:	P12W9
      OFFSETS:	35-41
       TOKENS:	P12W12-P12W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitokal~im_1]
   UNSPLITVOC:	(bititokal~im)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+tokal~im
        GLOSS:	[present-tense]+it/they/she+took about

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P12W10
      OFFSETS:	42-44
       TOKENS:	P12W14-P12W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P12W11
      OFFSETS:	45-47
       TOKENS:	P12W15-P12W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	extent/limit/level/border/frontier/limits

 INPUT STRING:	الرده
     IS_TRANS:	Alrdh
        INDEX:	P12W12
      OFFSETS:	48-53
       TOKENS:	P12W16-P12W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rid~ap_1]
   UNSPLITVOC:	(Alr~id~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+rid~+ap
        GLOSS:	the+apostasy/ rebound+[fem.sg.]

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P12W13
      OFFSETS:	54-56
       TOKENS:	P12W17-P12W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P12W14
      OFFSETS:	57-59
       TOKENS:	P12W18-P12W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	any person

 INPUT STRING:	عارف
     IS_TRANS:	EArf
        INDEX:	P12W15
      OFFSETS:	60-64
       TOKENS:	P12W19-P12W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArif)
          POS:	ADJ
          VOC:	EArif
        GLOSS:	knowing/having knowledge of

 INPUT STRING:	اية
     IS_TRANS:	Ayp
        INDEX:	P12W16
      OFFSETS:	65-68
       TOKENS:	P12W20-P12W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|ayap_1]
   UNSPLITVOC:	(|ayap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	|ay+ap
        GLOSS:	Quranic verse+[fem.sg.]

 INPUT STRING:	يحطها
     IS_TRANS:	yHThA
        INDEX:	P12W17
      OFFSETS:	69-74
       TOKENS:	P12W21-P12W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaT~_1]
   UNSPLITVOC:	(yuHuT~ahA)
          POS:	IV3MS+IV+IVSUFF_DO:3FS
          VOC:	yu+HuT~+hA
        GLOSS:	he/it+put it+it/them/her

 INPUT STRING:	لان
     IS_TRANS:	lAn
        INDEX:	P12W18
      OFFSETS:	75-78
       TOKENS:	P12W23-P12W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(li<in~)
          POS:	PREP+SUB_CONJ
          VOC:	li+<in~
        GLOSS:	for+that

 INPUT STRING:	الكلام
     IS_TRANS:	AlklAm
        INDEX:	P12W19
      OFFSETS:	79-85
       TOKENS:	P12W25-P12W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(AlkalAm)
          POS:	DET+NOUN
          VOC:	Al+kalAm
        GLOSS:	the+speech/statement/remark/talk/saying

 INPUT STRING:	اللي
     IS_TRANS:	Ally
