 INPUT STRING:	الاقتصاد
          VOC:	kurosiy
        GLOSS:	chair/seat

 INPUT STRING:	ليك
     IS_TRANS:	lyk
        INDEX:	P11W37
      OFFSETS:	186-189
       TOKENS:	P11W45-P11W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liyk)
          POS:	PREP+PRON_2MS
          VOC:	li+ak
        GLOSS:	for/to+you [masc.sg.]

 INPUT STRING:	وتلاقيه
     IS_TRANS:	wtlAqyh
        INDEX:	P11W38
      OFFSETS:	190-197
       TOKENS:	P11W47-P11W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAqaY_1]
   UNSPLITVOC:	(witilAqiyuh)
          POS:	CONJ+IV2MS+IV+IVSUFF_DO:3MS
          VOC:	wi+ti+lAqiy+uh
        GLOSS:	and+you [masc.sg.]+meet/encounter+him/it

 INPUT STRING:	مكسر
     IS_TRANS:	mksr
        INDEX:	P11W39
      OFFSETS:	198-202
       TOKENS:	P11W50-P11W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mikas~ar_1]
   UNSPLITVOC:	(mikas~ar)
          POS:	ADJ
          VOC:	mikas~ar
        GLOSS:	fragmented/broken

 INPUT STRING:	ومدخن
     IS_TRANS:	wmdxn
        INDEX:	P11W40
      OFFSETS:	203-208
       TOKENS:	P11W51-P11W52
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[midax~an_1]
   UNSPLITVOC:	(wimidax~an)
          POS:	CONJ+ADJ
          VOC:	wi+midax~an
        GLOSS:	and+smoked

 INPUT STRING:	بلاش
     IS_TRANS:	blA$
        INDEX:	P11W41
      OFFSETS:	209-213
       TOKENS:	P11W53-P11W53
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[balA$_2]
   UNSPLITVOC:	(balA$)
          POS:	VERB
          VOC:	balA$
        GLOSS:	don't do

 INPUT STRING:	تتضايق
     IS_TRANS:	ttDAyq
        INDEX:	P11W42
      OFFSETS:	214-220
       TOKENS:	P11W54-P11W54
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitodAyiq_1]
   UNSPLITVOC:	(titoDAyiq)
          POS:	IV2MS+IV
          VOC:	ti+toDAyiq
        GLOSS:	you [masc.sg.]+be inconvenienced/be annoyed

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P11W43
      OFFSETS:	221-222
       TOKENS:	P11W55-P11W55
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	nogloss

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P11W44
      OFFSETS:	223-226
       TOKENS:	P11W56-P11W56
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as, when

 INPUT STRING:	تلاقي
     IS_TRANS:	tlAqy
        INDEX:	P11W45
      OFFSETS:	227-232
       TOKENS:	P11W57-P11W57
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAqaY_1]
   UNSPLITVOC:	(tilAqiy)
          POS:	IV2MS+IV
          VOC:	ti+lAqiy
        GLOSS:	you [masc.sg.]+meet/encounter

 INPUT STRING:	ابنك
     IS_TRANS:	Abnk
        INDEX:	P11W46
      OFFSETS:	233-237
       TOKENS:	P11W58-P11W59
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aibon_1]
   UNSPLITVOC:	(Aibonak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	Aibon+ak
        GLOSS:	son/junior (Jr.)+your [masc.sg.]

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P11W47
      OFFSETS:	238-241
       TOKENS:	P11W60-P11W60
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	بنتك
     IS_TRANS:	bntk
        INDEX:	P11W48
      OFFSETS:	242-246
       TOKENS:	P11W61-P11W62
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(binotak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	binot+ak
        GLOSS:	daughter/girl+your [masc.sg.]

 INPUT STRING:	بيتعلموا
     IS_TRANS:	bytElmwA
        INDEX:	P11W49
      OFFSETS:	247-255
       TOKENS:	P11W63-P11W64
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoEal~im_1]
   UNSPLITVOC:	(biyitoEal~imuwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+toEal~im+uwA
        GLOSS:	[present-tense]+they+study/learn+[pl.]

 INPUT STRING:	وبتصرف
     IS_TRANS:	wbtSrf
        INDEX:	P11W50
      OFFSETS:	256-262
       TOKENS:	P11W65-P11W67
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Saraf_1]
   UNSPLITVOC:	(wibitiSorif)
          POS:	CONJ+PROG_PART+IV2MS+IV
          VOC:	wi+bi+ti+Sorif
        GLOSS:	and+[present-tense]+you [masc.sg.]+divert/spend

 INPUT STRING:	عليهم
     IS_TRANS:	Elyhm
        INDEX:	P11W51
      OFFSETS:	263-268
       TOKENS:	P11W68-P11W69
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayhum)
          POS:	PREP+PRON_3P
          VOC:	EalaY+hum
        GLOSS:	on/above+them

 INPUT STRING:	دم
     IS_TRANS:	dm
        INDEX:	P11W52
      OFFSETS:	269-271
       TOKENS:	P11W70-P11W70
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dam~_1]
   UNSPLITVOC:	(dam~)
          POS:	NOUN
          VOC:	dam~
        GLOSS:	blood

 INPUT STRING:	قلبك
     IS_TRANS:	qlbk
        INDEX:	P11W53
      OFFSETS:	272-276
       TOKENS:	P11W71-P11W72
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[qalob_3]
   UNSPLITVOC:	(qalobak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	qalob+ak
        GLOSS:	heart/center/essence+your [masc.sg.]

 INPUT STRING:	وفي
     IS_TRANS:	wfy
        INDEX:	P11W54
      OFFSETS:	277-280
       TOKENS:	P11W73-P11W74
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(wifiy)
          POS:	CONJ+PREP
          VOC:	wi+fiy
        GLOSS:	and+in

 INPUT STRING:	الآخر
     IS_TRANS:	Al|xr
        INDEX:	P11W55
      OFFSETS:	281-286
       TOKENS:	P11W75-P11W75
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Al|xir_1]
   UNSPLITVOC:	(Al|xir)
          POS:	DET+ADJ_COMP
          VOC:	Al+|xir
        GLOSS:	the+last/end

 INPUT STRING:	ياخدوا
     IS_TRANS:	yAxdwA
        INDEX:	P11W56
      OFFSETS:	287-293
       TOKENS:	P11W76-P11W76
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>axa*]
   UNSPLITVOC:	(yAxoduwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+>axod+uwA
        GLOSS:	they+take/begin+[pl.]

 INPUT STRING:	مصروف
     IS_TRANS:	mSrwf
        INDEX:	P11W57
      OFFSETS:	294-299
       TOKENS:	P11W77-P11W77
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoruwf_1]
   UNSPLITVOC:	(maSoruwf)
          POS:	NOUN
          VOC:	maSoruwf
        GLOSS:	expenditure/expense/allowance

 INPUT STRING:	منك
     IS_TRANS:	mnk
        INDEX:	P11W58
      OFFSETS:	300-303
       TOKENS:	P11W78-P11W79
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min~ak)
          POS:	PREP+PRON_2MS
          VOC:	min~+ak
        GLOSS:	from+you [masc.sg.]

 INPUT STRING:	لانهم
     IS_TRANS:	lAnhm
        INDEX:	P11W59
      OFFSETS:	304-309
       TOKENS:	P11W80-P11W82
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(li<in~uhum)
          POS:	PREP+SUB_CONJ+PRON_3P
          VOC:	li+<in~+hum
        GLOSS:	for/to+that+they

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P11W60
      OFFSETS:	310-312
       TOKENS:	P11W83-P11W83
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	لاقيين
     IS_TRANS:	lAqyyn
        INDEX:	P11W61
      OFFSETS:	313-319
       TOKENS:	P11W84-P11W84
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAqiy_1]
   UNSPLITVOC:	(lAqoyiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	lAqoy+iyn
        GLOSS:	meeting/encountering+[masc.sg.]

 INPUT STRING:	وظايف
     IS_TRANS:	wZAyf
        INDEX:	P11W62
      OFFSETS:	320-325
       TOKENS:	P11W85-P11W85
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waZiyfap_1]
   UNSPLITVOC:	(waZAyif)
          POS:	NOUN
          VOC:	waZAyif
        GLOSS:	jobs/positions/functions

 INPUT STRING:	اياك
     IS_TRANS:	AyAk
        INDEX:	P11W63
      OFFSETS:	326-330
       TOKENS:	P11W86-P11W86
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iy~Ak_1]
   UNSPLITVOC:	(<iy~Ak)
          POS:	VERB
          VOC:	<iy~Ak
        GLOSS:	watch out

 INPUT STRING:	تشتكي
     IS_TRANS:	t$tky
        INDEX:	P11W64
      OFFSETS:	331-336
       TOKENS:	P11W87-P11W87
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai$otakaY_1]
   UNSPLITVOC:	(ti$otikiy)
          POS:	IV2MS+IV
          VOC:	ti+$otikiy
        GLOSS:	you [masc.sg.]+complain

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P11W65
      OFFSETS:	337-341
       TOKENS:	P11W88-P11W88
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	also/too

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P11W66
      OFFSETS:	342-344
       TOKENS:	P11W89-P11W89
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	سمحت
     IS_TRANS:	smHt
        INDEX:	P11W67
      OFFSETS:	345-349
       TOKENS:	P11W90-P11W90
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[samaH_1]
   UNSPLITVOC:	(samaHt)
          POS:	PV+PVSUFF_SUBJ:2MS
          VOC:	samaH+t
        GLOSS:	allow/permit/authorize+you [masc.sg.] [verb]

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P11W68
      OFFSETS:	350-352
       TOKENS:	P11W91-P11W91
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P11W69
      OFFSETS:	353-356
       TOKENS:	P11W92-P11W92
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you [masc.sg.]

 INPUT STRING:	شاب
     IS_TRANS:	$Ab
        INDEX:	P11W70
      OFFSETS:	357-360
       TOKENS:	P11W93-P11W93
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$Ab~_1]
   UNSPLITVOC:	($Ab~)
          POS:	ADJ
          VOC:	$Ab~
        GLOSS:	young man

 INPUT STRING:	وعاوز
     IS_TRANS:	wEAwz
        INDEX:	P11W71
      OFFSETS:	361-366
       TOKENS:	P11W94-P11W95
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAwiz_1]
   UNSPLITVOC:	(wiEAwiz)
          POS:	CONJ+ADJ.VN
          VOC:	wi+EAwiz
        GLOSS:	and+wanting/needing

 INPUT STRING:	تتجوز
     IS_TRANS:	ttjwz
        INDEX:	P11W72
      OFFSETS:	367-372
       TOKENS:	P11W96-P11W96
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitojaw~iz_1]
   UNSPLITVOC:	(titojaw~iz)
          POS:	IV2MS+IV
          VOC:	ti+tojaw~iz
        GLOSS:	you [masc.sg.]+get married

 INPUT STRING:	ومش
     IS_TRANS:	wm$
        INDEX:	P11W73
      OFFSETS:	373-376
       TOKENS:	P11W97-P11W98
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(wimi$)
          POS:	CONJ+NEG_PART
          VOC:	wi+mi$
        GLOSS:	and+not

 INPUT STRING:	لاقي
     IS_TRANS:	lAqy
        INDEX:	P11W74
      OFFSETS:	377-381
       TOKENS:	P11W99-P11W99
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAqiy_1]
   UNSPLITVOC:	(lAqiy)
          POS:	ADJ
          VOC:	lAqiy
        GLOSS:	meeting/encountring

 INPUT STRING:	شقه
     IS_TRANS:	$qh
        INDEX:	P11W75
      OFFSETS:	382-385
       TOKENS:	P11W100-P11W100
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aq~ap_1]
   UNSPLITVOC:	($aq~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	$aq~+ap
        GLOSS:	apartment+[fem.sg.]

 INPUT STRING:	اياك
     IS_TRANS:	AyAk
        INDEX:	P11W76
      OFFSETS:	386-390
       TOKENS:	P11W101-P11W101
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iy~Ak_1]
   UNSPLITVOC:	(<iy~Ak)
          POS:	VERB
          VOC:	<iy~Ak
        GLOSS:	watch out

 INPUT STRING:	تشتكي
     IS_TRANS:	t$tky
        INDEX:	P11W77
      OFFSETS:	391-396
       TOKENS:	P11W102-P11W102
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai$otakaY_1]
   UNSPLITVOC:	(ti$otikiy)
          POS:	IV2MS+IV
          VOC:	ti+$otikiy
        GLOSS:	you [masc.sg.]+complain

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P11W78
      OFFSETS:	397-398
       TOKENS:	P11W103-P11W103
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	nogloss

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P12W1
      OFFSETS:	0-3
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as, when

 INPUT STRING:	تكون
     IS_TRANS:	tkwn
        INDEX:	P12W2
      OFFSETS:	4-8
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(tikuwn)
          POS:	IV2MS+IV
          VOC:	ti+kuwn
        GLOSS:	you [masc.sg.]+be

 INPUT STRING:	حاسس
     IS_TRANS:	HAss
        INDEX:	P12W3
      OFFSETS:	9-13
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAsis_1]
   UNSPLITVOC:	(HAsis)
          POS:	ADJ
          VOC:	HAsis
        GLOSS:	feeling

 INPUT STRING:	بالانفلات
     IS_TRANS:	bAlAnflAt
        INDEX:	P12W4
      OFFSETS:	14-23
       TOKENS:	P12W4-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinofilAt_1]
   UNSPLITVOC:	(biAlAinofilAt)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+AinofilAt
        GLOSS:	with/by+the+evasion/release

 INPUT STRING:	الامني
     IS_TRANS:	AlAmny
        INDEX:	P12W5
      OFFSETS:	24-30
       TOKENS:	P12W6-P12W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amoniy_1]
   UNSPLITVOC:	(Al>amoniy)
          POS:	DET+ADJ
          VOC:	Al+>amoniy
        GLOSS:	the+security/safety

 INPUT STRING:	والبلطجية
     IS_TRANS:	wAlblTjyp
        INDEX:	P12W6
      OFFSETS:	31-40
       TOKENS:	P12W7-P12W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baloTajiy_1]
   UNSPLITVOC:	(wiAlbaloTajiy~ap)
          POS:	CONJ+DET+ADJ+NSUFF_FEM_SG
          VOC:	wi+Al+baloTajiy~+ap
        GLOSS:	and+the+gangster/ruffian+[fem.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P12W7
      OFFSETS:	41-43
       TOKENS:	P12W9-P12W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P12W8
      OFFSETS:	44-46
       TOKENS:	P12W10-P12W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	مكان
     IS_TRANS:	mkAn
        INDEX:	P12W9
      OFFSETS:	47-51
       TOKENS:	P12W11-P12W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[makAn_1]
   UNSPLITVOC:	(makAn)
          POS:	NOUN
          VOC:	makAn
        GLOSS:	place/location/position

 INPUT STRING:	اياك
     IS_TRANS:	AyAk
        INDEX:	P12W10
      OFFSETS:	52-56
       TOKENS:	P12W12-P12W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iy~Ak_1]
   UNSPLITVOC:	(<iy~Ak)
          POS:	VERB
          VOC:	<iy~Ak
        GLOSS:	watch out

 INPUT STRING:	تشتكي
     IS_TRANS:	t$tky
        INDEX:	P12W11
      OFFSETS:	57-62
       TOKENS:	P12W13-P12W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai$otakaY_1]
   UNSPLITVOC:	(ti$otikiy)
          POS:	IV2MS+IV
          VOC:	ti+$otikiy
        GLOSS:	you [masc.sg.]+complain

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P12W12
      OFFSETS:	63-64
       TOKENS:	P12W14-P12W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	nogloss

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P12W13
      OFFSETS:	65-68
       TOKENS:	P12W15-P12W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as, when

 INPUT STRING:	تعرف
     IS_TRANS:	tErf
        INDEX:	P12W14
      OFFSETS:	69-73
       TOKENS:	P12W16-P12W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earaf_1]
   UNSPLITVOC:	(tiEoraf)
          POS:	IV2MS+IV
          VOC:	ti+Eoraf
        GLOSS:	you [masc.sg.]+know

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P12W15
      OFFSETS:	74-76
       TOKENS:	P12W17-P12W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	معظم
     IS_TRANS:	mEZm
        INDEX:	P12W16
      OFFSETS:	77-81
       TOKENS:	P12W18-P12W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEoZam_1]
   UNSPLITVOC:	(muEoZam)
          POS:	NOUN_QUANT
          VOC:	muEoZam
        GLOSS:	most, majority

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P12W17
      OFFSETS:	82-87
       TOKENS:	P12W19-P12W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation

 INPUT STRING:	المصري
     IS_TRANS:	AlmSry
        INDEX:	P12W18
      OFFSETS:	88-94
       TOKENS:	P12W20-P12W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy)
          POS:	DET+ADJ
          VOC:	Al+maSoriy
        GLOSS:	the+Egyptian

 INPUT STRING:	مصاب
     IS_TRANS:	mSAb
        INDEX:	P12W19
      OFFSETS:	95-99
       TOKENS:	P12W21-P12W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muSAb_1]
   UNSPLITVOC:	(muSAb)
          POS:	ADJ
          VOC:	muSAb
        GLOSS:	afflicted/injured/wounded

 INPUT STRING:	بفيروس
     IS_TRANS:	bfyrws
        INDEX:	P12W20
      OFFSETS:	100-106
       TOKENS:	P12W22-P12W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fayraws_1]
   UNSPLITVOC:	(bifayraws)
          POS:	PREP+NOUN
          VOC:	bi+fayraws
        GLOSS:	with/by+virus

 INPUT STRING:	سي
     IS_TRANS:	sy
        INDEX:	P12W21
      OFFSETS:	107-109
       TOKENS:	P12W24-P12W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[siy_1]
   UNSPLITVOC:	(siy)
          POS:	ABBREV
          VOC:	siy
        GLOSS:	C.

 INPUT STRING:	وبي
     IS_TRANS:	wby
        INDEX:	P12W22
      OFFSETS:	110-113
       TOKENS:	P12W25-P12W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[biy_1]
   UNSPLITVOC:	(wibiy)
          POS:	CONJ+ABBREV
          VOC:	wi+biy
        GLOSS:	and+B.

 INPUT STRING:	والفشل
     IS_TRANS:	wAlf$l
        INDEX:	P12W23
      OFFSETS:	114-120
       TOKENS:	P12W27-P12W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fa$al_1]
