 INPUT STRING:	وصف
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_2]
   UNSPLITVOC:	(mano)
          POS:	REL_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P10W9
      OFFSETS:	36-39
       TOKENS:	P10W10-P10W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	حق
     IS_TRANS:	Hq
        INDEX:	P10W10
      OFFSETS:	40-42
       TOKENS:	P10W11-P10W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(Haq~)
          POS:	NOUN
          VOC:	Haq~
        GLOSS:	right, prerogative, truth

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P11W1
      OFFSETS:	0-2
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الشاطبى
     IS_TRANS:	Al$ATbY
        INDEX:	P11W2
      OFFSETS:	3-10
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ATobiy_1]
   UNSPLITVOC:	(Al$~ATobiy)
          POS:	DET+NOUN_PROP
          VOC:	Al+$ATobiy
        GLOSS:	the+shatbi

 INPUT STRING:	دعى
     IS_TRANS:	dEY
        INDEX:	P12W1
      OFFSETS:	0-3
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEA_1]
   UNSPLITVOC:	(daEaY)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	daEaY+(null)
        GLOSS:	call/invite/pray+he/it [verb]

 INPUT STRING:	إمام
     IS_TRANS:	<mAm
        INDEX:	P12W2
      OFFSETS:	4-8
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<imAm_1]
   UNSPLITVOC:	(<imAm)
          POS:	NOUN
          VOC:	<imAm
        GLOSS:	leader/imam

 INPUT STRING:	مسجد
     IS_TRANS:	msjd
        INDEX:	P12W3
      OFFSETS:	9-13
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misaj~id_1]
   UNSPLITVOC:	(misaj~id)
          POS:	NOUN
          VOC:	misaj~id
        GLOSS:	mosque

 INPUT STRING:	عدم
     IS_TRANS:	Edm
        INDEX:	P12W4
      OFFSETS:	14-17
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eadam_1]
   UNSPLITVOC:	(Eadam)
          POS:	NOUN
          VOC:	Eadam
        GLOSS:	absence of/lack of/not/non-

 INPUT STRING:	التظاهر
     IS_TRANS:	AltZAhr
        INDEX:	P12W5
      OFFSETS:	18-25
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taZAhur_1]
   UNSPLITVOC:	(Alt~aZAhur)
          POS:	DET+NOUN
          VOC:	Al+taZAhur
        GLOSS:	the+demonstration/exhibition/simulation

 INPUT STRING:	لاستقرار
     IS_TRANS:	lAstqrAr
        INDEX:	P12W6
      OFFSETS:	26-34
       TOKENS:	P12W6-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotiqorAr_1]
   UNSPLITVOC:	(liAisotiqorAr)
          POS:	PREP+NOUN
          VOC:	li+AisotiqorAr
        GLOSS:	for/to+stability

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P12W7
      OFFSETS:	35-38
       TOKENS:	P12W8-P12W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	فحاول
     IS_TRANS:	fHAwl
        INDEX:	P13W1
      OFFSETS:	0-5
       TOKENS:	P13W1-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAwil_1]
   UNSPLITVOC:	(faHAwil)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	fa+HAwil+(null)
        GLOSS:	so/and+attempt/try+he/it [verb]

 INPUT STRING:	الثوار
     IS_TRANS:	AlvwAr
        INDEX:	P13W2
      OFFSETS:	6-12
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vA}ir_1]
   UNSPLITVOC:	(Alv~uw~Ar)
          POS:	DET+NOUN
          VOC:	Al+vuw~Ar
        GLOSS:	the+insurgents/revolutionaries

 INPUT STRING:	الاحرار
     IS_TRANS:	AlAHrAr
        INDEX:	P13W3
      OFFSETS:	13-20
       TOKENS:	P13W4-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hur~_1]
   UNSPLITVOC:	(Al>aHorAr)
          POS:	DET+ADJ
          VOC:	Al+>aHorAr
        GLOSS:	the+free/independent

 INPUT STRING:	التعدى
     IS_TRANS:	AltEdY
        INDEX:	P13W4
      OFFSETS:	21-27
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEad~iy_1]
   UNSPLITVOC:	(Alt~aEad~iy)
          POS:	DET+NOUN
          VOC:	Al+taEad~iy
        GLOSS:	the+aggression/attack

 INPUT STRING:	عليه
     IS_TRANS:	Elyh
        INDEX:	P13W5
      OFFSETS:	28-32
       TOKENS:	P13W6-P13W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayh)
          POS:	PREP+PRON_3MS
          VOC:	EalaY+uh
        GLOSS:	on/above+it/him

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P14W1
      OFFSETS:	0-3
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*A)
          POS:	DEM_PRON_MS
          VOC:	ha*A
        GLOSS:	this [masc.sg.]

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P14W2
      OFFSETS:	4-6
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	حالنا
     IS_TRANS:	HAlnA
        INDEX:	P14W3
      OFFSETS:	7-12
       TOKENS:	P14W3-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAl_1]
   UNSPLITVOC:	(HAlnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	HAl+nA
        GLOSS:	situation/condition/case+our

 INPUT STRING:	وسيتصاعد
     IS_TRANS:	wsytSAEd
        INDEX:	P14W4
      OFFSETS:	13-21
       TOKENS:	P14W5-P14W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taSAEad_1]
   UNSPLITVOC:	(wasayataSAEad)
          POS:	CONJ+FUT_PART+IV3MS+IV
          VOC:	wa+sa+ya+taSAEad
        GLOSS:	and+will+he/it+climb/increase

 INPUT STRING:	أكثر
     IS_TRANS:	>kvr
        INDEX:	P14W5
      OFFSETS:	22-26
       TOKENS:	P14W8-P14W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>akovar_1]
   UNSPLITVOC:	(>akovar)
          POS:	ADJ_COMP
          VOC:	>akovar
        GLOSS:	more, most, majority

 INPUT STRING:	وأكثر
     IS_TRANS:	w>kvr
        INDEX:	P14W6
      OFFSETS:	27-32
       TOKENS:	P14W9-P14W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>akovar_1]
   UNSPLITVOC:	(wi>akovar)
          POS:	CONJ+ADJ_COMP
          VOC:	wi+>akovar
        GLOSS:	and+more, most, majority

 INPUT STRING:	كلما
     IS_TRANS:	klmA
        INDEX:	P15W1
      OFFSETS:	0-4
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kul~amA_1]
   UNSPLITVOC:	(kul~amA)
          POS:	REL_ADV
          VOC:	kul~amA
        GLOSS:	whenever

 INPUT STRING:	انضم
     IS_TRANS:	AnDm
        INDEX:	P15W2
      OFFSETS:	5-9
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinoDam~_1]
   UNSPLITVOC:	(AinoDam~)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	AinoDam~+(null)
        GLOSS:	join/be affiliated/be added+he/it [verb]

 INPUT STRING:	إليهم
     IS_TRANS:	<lyhm
        INDEX:	P15W3
      OFFSETS:	10-15
       TOKENS:	P15W3-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ilaY_1]
   UNSPLITVOC:	(<iliyhum)
          POS:	PREP+PRON_3P
          VOC:	<ilaY+hum
        GLOSS:	to/towards+them

 INPUT STRING:	ساقط
     IS_TRANS:	sAqT
        INDEX:	P15W4
      OFFSETS:	16-20
       TOKENS:	P15W5-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAqiT_1]
   UNSPLITVOC:	(sAqiT)
          POS:	ADJ
          VOC:	sAqiT
        GLOSS:	failing/disreputable/omitted

 INPUT STRING:	انتخابات
     IS_TRANS:	AntxAbAt
        INDEX:	P15W5
      OFFSETS:	21-29
       TOKENS:	P15W6-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinotixAb_1]
   UNSPLITVOC:	(AinotixAbAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	AinotixAb+At
        GLOSS:	elections/selections+[fem.pl.]

 INPUT STRING:	جديد
     IS_TRANS:	jdyd
        INDEX:	P15W6
      OFFSETS:	30-34
       TOKENS:	P15W7-P15W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jidiyd_1]
   UNSPLITVOC:	(jidiyd)
          POS:	ADJ
          VOC:	jidiyd
        GLOSS:	new/modern

 INPUT STRING:	وعلا
     IS_TRANS:	wElA
        INDEX:	P16W1
      OFFSETS:	0-4
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(wElA)
          POS:	TYPO
          VOC:	wElA
        GLOSS:	nogloss

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P16W2
      OFFSETS:	5-10
       TOKENS:	P16W2-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P16W3
      OFFSETS:	11-13
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الإسلامين
     IS_TRANS:	Al<slAmyn
        INDEX:	P16W4
      OFFSETS:	14-23
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Al<slAmyn)
          POS:	TYPO
          VOC:	Al<slAmyn
        GLOSS:	nogloss

 INPUT STRING:	خليهم
     IS_TRANS:	xlyhm
        INDEX:	P17W1
      OFFSETS:	0-5
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(xlyhm)
          POS:	NO_FUNC
          VOC:	xlyhm
        GLOSS:	nogloss

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P17W2
      OFFSETS:	6-8
       TOKENS:	P17W2-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	غلهم
     IS_TRANS:	glhm
        INDEX:	P17W3
      OFFSETS:	9-13
       TOKENS:	P17W3-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[gil~_1]
   UNSPLITVOC:	(gil~uhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	gil~+hum
        GLOSS:	rancor+their

 INPUT STRING:	وحقدهم
     IS_TRANS:	wHqdhm
        INDEX:	P17W4
      OFFSETS:	14-20
       TOKENS:	P17W5-P17W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hiqod_1]
   UNSPLITVOC:	(wiHiqoduhum)
          POS:	CONJ+NOUN+POSS_PRON_3P
          VOC:	wi+Hiqod+hum
        GLOSS:	and+malice/resentment+their

 INPUT STRING:	فهو
     IS_TRANS:	fhw
        INDEX:	P18W1
      OFFSETS:	0-3
       TOKENS:	P18W1-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(fahuw~a)
          POS:	CONJ+PRON_3MS
          VOC:	fa+huw~a
        GLOSS:	so/and+it/he

 INPUT STRING:	كفيل
     IS_TRANS:	kfyl
        INDEX:	P18W2
      OFFSETS:	4-8
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kafiyl_1]
   UNSPLITVOC:	(kafiyl)
          POS:	ADJ
          VOC:	kafiyl
        GLOSS:	guaranteeing

 INPUT STRING:	بحرقهم
     IS_TRANS:	bHrqhm
        INDEX:	P18W3
      OFFSETS:	9-15
       TOKENS:	P18W4-P18W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haroq_1]
   UNSPLITVOC:	(biHaroquhum)
          POS:	PREP+NOUN+POSS_PRON_3P
          VOC:	bi+Haroq+hum
        GLOSS:	with/by+burning/fire+their

 INPUT STRING:	وتدميرهم
     IS_TRANS:	wtdmyrhm
        INDEX:	P18W4
      OFFSETS:	16-24
       TOKENS:	P18W7-P18W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tadomiyr_1]
   UNSPLITVOC:	(witadomiyrhum)
          POS:	CONJ+NOUN+POSS_PRON_3P
          VOC:	wi+tadomiyr+hum
        GLOSS:	and+destruction/annihilation+their

 INPUT STRING:	فاكر
     IS_TRANS:	fAkr
        INDEX:	P19W1
      OFFSETS:	0-4
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAkir_1]
   UNSPLITVOC:	(fAkir)
          POS:	ADJ.VN
          VOC:	fAkir
        GLOSS:	thinking

 INPUT STRING:	انه
     IS_TRANS:	Anh
        INDEX:	P19W2
      OFFSETS:	5-8
       TOKENS:	P19W2-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+he/it

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P19W3
      OFFSETS:	9-13
       TOKENS:	P19W4-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Ea$An)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	on/above+matter/affair/case

 INPUT STRING:	شيخ
     IS_TRANS:	$yx
        INDEX:	P19W4
      OFFSETS:	14-17
       TOKENS:	P19W6-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ayx_1]
   UNSPLITVOC:	($ayx)
          POS:	NOUN
          VOC:	$ayx
        GLOSS:	Sheikh/chieftain/Sheikhs/chieftains

 INPUT STRING:	محدش
     IS_TRANS:	mHd$
        INDEX:	P19W5
      OFFSETS:	18-22
       TOKENS:	P19W7-P19W7
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mHd$)
          POS:	NO_FUNC
          VOC:	mHd$
        GLOSS:	nogloss

 INPUT STRING:	هيقدر
     IS_TRANS:	hyqdr
        INDEX:	P19W6
      OFFSETS:	23-28
       TOKENS:	P19W8-P19W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qidir_1]
   UNSPLITVOC:	(Hayiqodar)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+qodar
        GLOSS:	will+he/it+be able to/be capable of

 INPUT STRING:	يرد
     IS_TRANS:	yrd
        INDEX:	P19W7
      OFFSETS:	29-32
       TOKENS:	P19W10-P19W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rad~_1]
   UNSPLITVOC:	(yirud~)
          POS:	IV3MS+IV
          VOC:	yi+rud~
        GLOSS:	he/it+answer/reply/return

 INPUT STRING:	عليه
     IS_TRANS:	Elyh
        INDEX:	P19W8
      OFFSETS:	33-37
       TOKENS:	P19W11-P19W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayh)
          POS:	PREP+PRON_3MS
          VOC:	EalaY+uh
        GLOSS:	on/above+it/him

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P20W1
      OFFSETS:	0-2
       TOKENS:	P20W1-P20W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P20W2
      OFFSETS:	3-5
       TOKENS:	P20W2-P20W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	عم
     IS_TRANS:	Em
        INDEX:	P20W3
      OFFSETS:	6-8
       TOKENS:	P20W3-P20W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eam~_1]
   UNSPLITVOC:	(Eam~)
          POS:	NOUN
          VOC:	Eam~
        GLOSS:	paternal uncle/man

 INPUT STRING:	الحج
     IS_TRANS:	AlHj
        INDEX:	P20W4
      OFFSETS:	9-13
       TOKENS:	P20W4-P20W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HAj_1]
   UNSPLITVOC:	(AlHaj~)
          POS:	DET+NOUN
          VOC:	Al+HAj
        GLOSS:	the+pilgrim

 INPUT STRING:	خليك
     IS_TRANS:	xlyk
        INDEX:	P20W5
      OFFSETS:	14-18
       TOKENS:	P20W5-P20W5
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(xlyk)
          POS:	NO_FUNC
          VOC:	xlyk
        GLOSS:	nogloss

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P20W6
      OFFSETS:	19-21
       TOKENS:	P20W6-P20W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	حالك
     IS_TRANS:	HAlk
        INDEX:	P20W7
      OFFSETS:	22-26
       TOKENS:	P20W7-P20W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAl_1]
   UNSPLITVOC:	(HAlak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	HAl+ak
        GLOSS:	situation/condition/case+your [masc.sg.]

 INPUT STRING:	البنات
     IS_TRANS:	AlbnAt
        INDEX:	P21W1
      OFFSETS:	0-6
       TOKENS:	P21W1-P21W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(AlbanAt)
          POS:	DET+NOUN
          VOC:	Al+banAt
        GLOSS:	the+daughter/girl/daughters/girls

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P21W2
      OFFSETS:	7-11
       TOKENS:	P21W2-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whom/which

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P21W3
      OFFSETS:	12-14
       TOKENS:	P21W3-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	التحرير
     IS_TRANS:	AltHryr
        INDEX:	P21W4
      OFFSETS:	15-22
       TOKENS:	P21W4-P21W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoriyr_1]
   UNSPLITVOC:	(Alt~aHoriyr)
          POS:	DET+NOUN_PROP
          VOC:	Al+taHoriyr
        GLOSS:	the+tahrir

 INPUT STRING:	دول
     IS_TRANS:	dwl
        INDEX:	P21W5
      OFFSETS:	23-26
       TOKENS:	P21W5-P21W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawol_1]
   UNSPLITVOC:	(dawol)
          POS:	DEM_PRON_P
          VOC:	dawol
        GLOSS:	these

 INPUT STRING:	ارجل
     IS_TRANS:	Arjl
        INDEX:	P21W6
      OFFSETS:	27-31
       TOKENS:	P21W6-P21W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>arojal_1]
   UNSPLITVOC:	(>arojal)
          POS:	ADJ_COMP
          VOC:	>arojal
        GLOSS:	more/most manliness

 INPUT STRING:	منك
     IS_TRANS:	mnk
        INDEX:	P21W7
      OFFSETS:	32-35
       TOKENS:	P21W7-P21W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min~ak)
          POS:	PREP+PRON_2MS
          VOC:	min~+ak
        GLOSS:	from+you [masc.sg.]

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P22W1
      OFFSETS:	0-4
       TOKENS:	P22W1-P22W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whom/which

 INPUT STRING:	نزلو
     IS_TRANS:	nzlw
        INDEX:	P22W2
      OFFSETS:	5-9
       TOKENS:	P22W2-P22W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nizil_1]
   UNSPLITVOC:	(nizoluwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	nizol+uwA
        GLOSS:	descend/stay/go down+they [verb]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P22W3
      OFFSETS:	10-12
       TOKENS:	P22W3-P22W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
