 INPUT STRING:	بصراحه
     IS_TRANS:	txynh
        INDEX:	P23W7
      OFFSETS:	44-49
       TOKENS:	P23W8-P23W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tixiyn_1]
   UNSPLITVOC:	(tixiynap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	tixiyn+ap
        GLOSS:	fat+[fem.sg.]

 INPUT STRING:	خوفتك
     IS_TRANS:	xwftk
        INDEX:	P24W1
      OFFSETS:	0-5
       TOKENS:	P24W1-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xaw~af_1]
   UNSPLITVOC:	(xaw~afitik)
          POS:	PV+PVSUFF_SUBJ:1S+PVSUFF_DO:2FS
          VOC:	xaw~af+it+ik
        GLOSS:	frighten/alarm+I [verb]+you

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P24W2
      OFFSETS:	6-8
       TOKENS:	P24W3-P24W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P24W3
      OFFSETS:	9-12
       TOKENS:	P24W4-P24W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P24W4
      OFFSETS:	13-16
       TOKENS:	P24W5-P24W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aiyh_1]
   UNSPLITVOC:	(Aiyh)
          POS:	INTERROG_PRON
          VOC:	Aiyh
        GLOSS:	what

 INPUT STRING:	ى
     IS_TRANS:	Y
        INDEX:	P24W5
      OFFSETS:	17-18
       TOKENS:	P24W6-P24W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Y)
          POS:	TYPO
          VOC:	Y
        GLOSS:	nogloss

 INPUT STRING:	مصريه
     IS_TRANS:	mSryh
        INDEX:	P24W6
      OFFSETS:	19-24
       TOKENS:	P24W7-P24W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(maSoriyh)
          POS:	NOUN_PROP
          VOC:	maSoriyh
        GLOSS:	Masry

 INPUT STRING:	منورة
     IS_TRANS:	mnwrp
        INDEX:	P25W1
      OFFSETS:	0-5
       TOKENS:	P25W1-P25W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[minaw~ar_1]
   UNSPLITVOC:	(minaw~arap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	minaw~ar+ap
        GLOSS:	shining/bright+[fem.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P26W1
      OFFSETS:	0-3
       TOKENS:	P26W1-P26W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	رأيك
     IS_TRANS:	r>yk
        INDEX:	P26W2
      OFFSETS:	4-8
       TOKENS:	P26W2-P26W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(ra>oyik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	ra>oy+ik
        GLOSS:	opinion/view/idea+your

 INPUT STRING:	يارشا
     IS_TRANS:	yAr$A
        INDEX:	P26W3
      OFFSETS:	9-14
       TOKENS:	P26W4-P26W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra$A_1]
   UNSPLITVOC:	(yAra$A)
          POS:	VOC_PART+NOUN_PROP
          VOC:	yA+ra$A
        GLOSS:	oh+rasha

 INPUT STRING:	مالها
     IS_TRANS:	mAlhA
        INDEX:	P26W4
      OFFSETS:	15-20
       TOKENS:	P26W6-P26W6
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mAlhA)
          POS:	NO_FUNC
          VOC:	mAlhA
        GLOSS:	nogloss

 INPUT STRING:	ام
     IS_TRANS:	Am
        INDEX:	P26W5
      OFFSETS:	21-23
       TOKENS:	P26W7-P26W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~_1]
   UNSPLITVOC:	(>um~)
          POS:	NOUN
          VOC:	>um~
        GLOSS:	mother/maternal/mothers

 INPUT STRING:	دور
     IS_TRANS:	dwr
        INDEX:	P26W6
      OFFSETS:	24-27
       TOKENS:	P26W8-P26W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[duwr_1]
   UNSPLITVOC:	(duwr)
          POS:	NOUN
          VOC:	duwr
        GLOSS:	level

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P26W7
      OFFSETS:	28-32
       TOKENS:	P26W9-P26W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN_NUM
          VOC:	wAHid
        GLOSS:	alone/ individual/ single

 INPUT STRING:	دور
     IS_TRANS:	dwr
        INDEX:	P27W1
      OFFSETS:	0-3
       TOKENS:	P27W1-P27W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[duwr_1]
   UNSPLITVOC:	(duwr)
          POS:	NOUN
          VOC:	duwr
        GLOSS:	level

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P27W2
      OFFSETS:	4-8
       TOKENS:	P27W2-P27W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN_NUM
          VOC:	wAHid
        GLOSS:	alone/ individual/ single

 INPUT STRING:	حلوه
     IS_TRANS:	Hlwh
        INDEX:	P27W3
      OFFSETS:	9-13
       TOKENS:	P27W3-P27W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilow_1]
   UNSPLITVOC:	(Hilowap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Hilow+ap
        GLOSS:	good/fine+[fem.sg.]

 INPUT STRING:	لعيد
     IS_TRANS:	lEyd
        INDEX:	P27W4
      OFFSETS:	14-18
       TOKENS:	P27W4-P27W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eiyd_1]
   UNSPLITVOC:	(liEiyd)
          POS:	PREP+NOUN
          VOC:	li+Eiyd
        GLOSS:	for/to+feast/holiday/festival/holidays/feasts

 INPUT STRING:	الميلاد
     IS_TRANS:	AlmylAd
        INDEX:	P27W5
      OFFSETS:	19-26
       TOKENS:	P27W6-P27W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miylAd_1]
   UNSPLITVOC:	(AlmiylAd)
          POS:	DET+NOUN
          VOC:	Al+miylAd
        GLOSS:	the+birthday/birth

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P28W1
      OFFSETS:	0-2
       TOKENS:	P28W1-P28W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P28W2
      OFFSETS:	3-6
       TOKENS:	P28W2-P28W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	بتكلم
     IS_TRANS:	btklm
        INDEX:	P28W3
      OFFSETS:	7-12
       TOKENS:	P28W3-P28W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitokal~im_1]
   UNSPLITVOC:	(bAatokal~im)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+tokal~im
        GLOSS:	[present-tense]+I+talk/speake

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P28W4
      OFFSETS:	13-16
       TOKENS:	P28W5-P28W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P28W5
      OFFSETS:	17-21
       TOKENS:	P28W6-P28W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whose/which

 INPUT STRING:	بتكون
     IS_TRANS:	btkwn
        INDEX:	P28W6
      OFFSETS:	22-27
       TOKENS:	P28W7-P28W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(bitikuwn)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+kuwn
        GLOSS:	[present-tense]+it/they/she+be

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P28W7
      OFFSETS:	28-30
       TOKENS:	P28W9-P28W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الافراح
     IS_TRANS:	AlAfrAH
        INDEX:	P28W8
      OFFSETS:	31-38
       TOKENS:	P28W10-P28W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faraH_1]
   UNSPLITVOC:	(AlAforAH)
          POS:	DET+NOUN
          VOC:	Al+AforAH
        GLOSS:	the+wedding

 INPUT STRING:	يعنى
     IS_TRANS:	yEnY
        INDEX:	P29W1
      OFFSETS:	0-4
       TOKENS:	P29W1-P29W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+means

 INPUT STRING:	دورين
     IS_TRANS:	dwryn
        INDEX:	P29W2
      OFFSETS:	5-10
       TOKENS:	P29W2-P29W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawr_1]
   UNSPLITVOC:	(duwrayn)
          POS:	NOUN+NSUFF_MASC_DU
          VOC:	duwr+ayn
        GLOSS:	level/round+two

 INPUT STRING:	حلوين
     IS_TRANS:	Hlwyn
        INDEX:	P29W3
      OFFSETS:	11-16
       TOKENS:	P29W3-P29W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilow_1]
   UNSPLITVOC:	(Hilowiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	Hilow+iyn
        GLOSS:	good/fine+two

 INPUT STRING:	عقبال
     IS_TRANS:	EqbAl
        INDEX:	P30W1
      OFFSETS:	0-5
       TOKENS:	P30W1-P30W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EuqobAl_1]
   UNSPLITVOC:	(EuqobAl)
          POS:	NOUN
          VOC:	EuqobAl
        GLOSS:	following

 INPUT STRING:	فرحك
     IS_TRANS:	frHk
        INDEX:	P30W2
      OFFSETS:	6-10
       TOKENS:	P30W2-P30W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faraH_1]
   UNSPLITVOC:	(faraHik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	faraH+ik
        GLOSS:	wedding+your

 INPUT STRING:	ياجميله
     IS_TRANS:	yAjmylh
        INDEX:	P30W3
      OFFSETS:	11-18
       TOKENS:	P30W4-P30W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jamiyl_1]
   UNSPLITVOC:	(yAjamiylap)
          POS:	VOC_PART+ADJ+NSUFF_FEM_SG
          VOC:	yaA+jamiyl+ap
        GLOSS:	oh+beautiful/nice/fine+[fem.sg.]

