 INPUT STRING:	نحن
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs+[fem.sg.]

 INPUT STRING:	حقيقية
     IS_TRANS:	Hqyqyp
        INDEX:	P17W14
      OFFSETS:	71-77
       TOKENS:	P17W19-P17W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haqiyqiy_1]
   UNSPLITVOC:	(Haqiyqiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Haqiyqiy~+ap
        GLOSS:	true/real+[fem.sg.]

 INPUT STRING:	ولكنها
     IS_TRANS:	wlknhA
        INDEX:	P18W1
      OFFSETS:	0-6
       TOKENS:	P18W1-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[l`kin_1]
   UNSPLITVOC:	(wil`kin~ahA)
          POS:	PART+PSEUDO_VERB+PRON_3FS
          VOC:	wi+l`kin~a+hA
        GLOSS:	[part.]+But, however, yet, still, nevertheless, on the other hand+it/they/she

 INPUT STRING:	تحول
     IS_TRANS:	tHwl
        INDEX:	P18W2
      OFFSETS:	7-11
       TOKENS:	P18W4-P18W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taHaw~al_1]
   UNSPLITVOC:	(taHaw~al)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	taHaw~al+(null)
        GLOSS:	change+he/it

 INPUT STRING:	إلى
     IS_TRANS:	<lY
        INDEX:	P18W3
      OFFSETS:	12-15
       TOKENS:	P18W5-P18W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	وقف
     IS_TRANS:	wqf
        INDEX:	P18W4
      OFFSETS:	16-19
       TOKENS:	P18W6-P18W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqof_1]
   UNSPLITVOC:	(waqof)
          POS:	NOUN
          VOC:	waqof
        GLOSS:	stopping/ceasing

 INPUT STRING:	حال
     IS_TRANS:	HAl
        INDEX:	P18W5
      OFFSETS:	20-23
       TOKENS:	P18W7-P18W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAl_1]
   UNSPLITVOC:	(HAl)
          POS:	NOUN
          VOC:	HAl
        GLOSS:	situation/condition/case/situations/conditions/cases

 INPUT STRING:	ومصالح
     IS_TRANS:	wmSAlH
        INDEX:	P18W6
      OFFSETS:	24-30
       TOKENS:	P18W8-P18W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSolaHap_1]
   UNSPLITVOC:	(wimaSAliH)
          POS:	CONJ+NOUN
          VOC:	wi+maSAliH
        GLOSS:	and+interest/advantage/favor

 INPUT STRING:	وتهجم
     IS_TRANS:	wthjm
        INDEX:	P18W7
      OFFSETS:	31-36
       TOKENS:	P18W10-P18W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tahaj~um_1]
   UNSPLITVOC:	(witahaj~um)
          POS:	CONJ+NOUN.VN
          VOC:	wi+tahaj~um
        GLOSS:	and+raid/attack/charge

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P18W8
      OFFSETS:	37-40
       TOKENS:	P18W12-P18W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	مصلحة
     IS_TRANS:	mSlHp
        INDEX:	P18W9
      OFFSETS:	41-46
       TOKENS:	P18W13-P18W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSolaHap_1]
   UNSPLITVOC:	(maSolaHap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	maSolaH+ap
        GLOSS:	interest/advantage/favor+[fem.sg.]

 INPUT STRING:	وحرية
     IS_TRANS:	wHryp
        INDEX:	P18W10
      OFFSETS:	47-52
       TOKENS:	P18W14-P18W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hur~iy~ap_1]
   UNSPLITVOC:	(wiHur~iy~ap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+Hur~iy~+ap
        GLOSS:	and+freedom+[fem.sg.]

 INPUT STRING:	الأخر
     IS_TRANS:	Al>xr
        INDEX:	P18W11
      OFFSETS:	53-58
       TOKENS:	P18W16-P18W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>axar_1]
   UNSPLITVOC:	(Al>axar)
          POS:	DET+NOUN
          VOC:	Al+>axar
        GLOSS:	the+other

 INPUT STRING:	وهذا
     IS_TRANS:	wh*A
        INDEX:	P18W12
      OFFSETS:	59-63
       TOKENS:	P18W17-P18W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(wiha*A)
          POS:	CONJ+DEM_PRON_MS
          VOC:	wi+ha*A
        GLOSS:	and+this_1

 INPUT STRING:	مايشينها
     IS_TRANS:	mAy$ynhA
        INDEX:	P18W13
      OFFSETS:	64-72
       TOKENS:	P18W19-P18W19
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mAy$ynhA)
          POS:	NO_FUNC
          VOC:	mAy$ynhA
        GLOSS:	nogloss

 INPUT STRING:	شكرا
     IS_TRANS:	$krA
        INDEX:	P19W1
      OFFSETS:	0-4
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ukor_1]
   UNSPLITVOC:	($ukorAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	$ukor+AF
        GLOSS:	thank you/thanks+[acc.indef.]

 INPUT STRING:	جزيلا
     IS_TRANS:	jzylA
        INDEX:	P19W2
      OFFSETS:	5-10
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jAziyl_1]
   UNSPLITVOC:	(jAziylAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jAziyl+AF
        GLOSS:	abundant+[acc.indef.]

 INPUT STRING:	أستاذنا
     IS_TRANS:	>stA*nA
        INDEX:	P19W3
      OFFSETS:	11-18
       TOKENS:	P19W3-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>usotA*_1]
   UNSPLITVOC:	(>usotA*nA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	>usotA*+nA
        GLOSS:	professor+our

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P19W4
      OFFSETS:	19-22
       TOKENS:	P19W5-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P19W5
      OFFSETS:	23-30
       TOKENS:	P19W6-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue

 INPUT STRING:	ا
     IS_TRANS:	A
        INDEX:	P20W1
      OFFSETS:	0-1
       TOKENS:	P20W1-P20W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(A)
          POS:	TYPO
          VOC:	A
        GLOSS:	nogloss

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P20W2
      OFFSETS:	2-5
       TOKENS:	P20W2-P20W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(wlA)
          POS:	TYPO
          VOC:	wlA
        GLOSS:	nogloss

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P20W3
      OFFSETS:	6-7
       TOKENS:	P20W3-P20W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	أشكرك
     IS_TRANS:	>$krk
        INDEX:	P20W4
      OFFSETS:	8-13
       TOKENS:	P20W4-P20W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$akar_1]
   UNSPLITVOC:	(Aa$okurak)
          POS:	IV1S+IV+IVSUFF_DO:2MS
          VOC:	Aa+$okur+ak
        GLOSS:	I+thank/give thanks+you

 INPUT STRING:	اخي
     IS_TRANS:	Axy
        INDEX:	P20W5
      OFFSETS:	14-17
       TOKENS:	P20W6-P20W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ax~_1]
   UNSPLITVOC:	(Axiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Ax+iy
        GLOSS:	brother+my

 INPUT STRING:	الفاضل
     IS_TRANS:	AlfADl
        INDEX:	P20W6
      OFFSETS:	18-24
       TOKENS:	P20W8-P20W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fADil_1]
   UNSPLITVOC:	(AlfADil)
          POS:	DET+ADJ
          VOC:	Al+fADil
        GLOSS:	the+honorable/eminent

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P20W7
      OFFSETS:	25-28
       TOKENS:	P20W9-P20W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P20W8
      OFFSETS:	29-36
       TOKENS:	P20W10-P20W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue

 INPUT STRING:	واشكر
     IS_TRANS:	wA$kr
        INDEX:	P21W1
      OFFSETS:	0-5
       TOKENS:	P21W1-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$akar_1]
   UNSPLITVOC:	(wiAa$okur)
          POS:	CONJ+IV1S+IV
          VOC:	wi+Aa+$okur
        GLOSS:	and+I+thank/give thanks

 INPUT STRING:	الاخوه
     IS_TRANS:	AlAxwh
        INDEX:	P21W2
      OFFSETS:	6-12
       TOKENS:	P21W3-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ax~_1]
   UNSPLITVOC:	(AlAixowap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Aixow+ap
        GLOSS:	the+brothers+[fem.sg.]

 INPUT STRING:	الافاضل
     IS_TRANS:	AlAfADl
        INDEX:	P21W3
      OFFSETS:	13-20
       TOKENS:	P21W4-P21W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fADil_1]
   UNSPLITVOC:	(Al>afADil)
          POS:	DET+ADJ
          VOC:	Al+>afADil
        GLOSS:	the+honorable/eminent

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P21W4
      OFFSETS:	21-24
       TOKENS:	P21W5-P21W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	ارائهم
     IS_TRANS:	ArA}hm
        INDEX:	P21W5
      OFFSETS:	25-31
       TOKENS:	P21W6-P21W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(|rA}hum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	|rA}+hum
        GLOSS:	opinion/view/idea/opinions/views/ideas+their

 INPUT STRING:	القيمه
     IS_TRANS:	Alqymh
        INDEX:	P21W6
      OFFSETS:	32-38
       TOKENS:	P21W8-P21W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qay~im_1]
   UNSPLITVOC:	(Alqay~imap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+qay~im+ap
        GLOSS:	the+valuable+[fem.sg.]

 INPUT STRING:	ثانيا
     IS_TRANS:	vAnyA
        INDEX:	P22W1
      OFFSETS:	0-5
       TOKENS:	P22W1-P22W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[vAniy_1]
   UNSPLITVOC:	(vAniyAF)
          POS:	ADJ_NUM+CASE_INDEF_ACC
          VOC:	vAniy+AF
        GLOSS:	secondly+[acc.indef.]

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P22W2
      OFFSETS:	6-7
       TOKENS:	P22W2-P22W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	طبعا
     IS_TRANS:	TbEA
        INDEX:	P22W3
      OFFSETS:	8-12
       TOKENS:	P22W3-P22W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaboE_1]
   UNSPLITVOC:	(TaboEAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	TaboE+AF
        GLOSS:	naturally/of course+[acc.indef.]

 INPUT STRING:	كلنا
     IS_TRANS:	klnA
        INDEX:	P22W4
      OFFSETS:	13-17
       TOKENS:	P22W4-P22W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[kul~1]
   UNSPLITVOC:	(kul~inA)
          POS:	NOUN_QUANT+POSS_PRON_1P
          VOC:	kul~+nA
        GLOSS:	all/every/whole+our

 INPUT STRING:	نتحدث
     IS_TRANS:	ntHdv
        INDEX:	P22W5
      OFFSETS:	18-23
       TOKENS:	P22W6-P22W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tHad~iv_1]
   UNSPLITVOC:	(nitHad~iv)
          POS:	IV1P+IV
          VOC:	ni+tHad~iv
        GLOSS:	we+speak/discuss

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P22W6
      OFFSETS:	24-26
       TOKENS:	P22W7-P22W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P22W7
      OFFSETS:	27-30
       TOKENS:	P22W8-P22W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*A)
          POS:	DEM_PRON_MS
          VOC:	ha*A
        GLOSS:	this

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P22W8
      OFFSETS:	31-38
       TOKENS:	P22W9-P22W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue

 INPUT STRING:	والي
     IS_TRANS:	wAly
        INDEX:	P22W9
      OFFSETS:	39-43
       TOKENS:	P22W10-P22W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ilaY_1]
   UNSPLITVOC:	(wi<ilaY)
          POS:	CONJ+PREP
          VOC:	wi+<ilaY
        GLOSS:	and+to/towards

 INPUT STRING:	متي
     IS_TRANS:	mty
        INDEX:	P22W10
      OFFSETS:	44-47
       TOKENS:	P22W12-P22W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mataY_2]
   UNSPLITVOC:	(mataY)
          POS:	REL_ADV
          VOC:	mataY
        GLOSS:	when

 INPUT STRING:	تستقر
     IS_TRANS:	tstqr
        INDEX:	P22W11
      OFFSETS:	48-53
       TOKENS:	P22W13-P22W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisotaqar~_1]
   UNSPLITVOC:	(tisotaqir~)
          POS:	IV3FS+IV
          VOC:	ti+sotaqir~
        GLOSS:	it/they/she+be settled/be stabilized

 INPUT STRING:	الامور
     IS_TRANS:	AlAmwr
        INDEX:	P22W12
      OFFSETS:	54-60
       TOKENS:	P22W14-P22W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amor_1]
   UNSPLITVOC:	(AlAumuwr)
          POS:	DET+NOUN
          VOC:	Al+Aumuwr
        GLOSS:	the+matter/issue/matters/issues

 INPUT STRING:	ولكن
     IS_TRANS:	wlkn
        INDEX:	P22W13
      OFFSETS:	61-65
       TOKENS:	P22W15-P22W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(wilakin)
          POS:	PART+CONJ
          VOC:	wi+lakin
        GLOSS:	[part.]+but

 INPUT STRING:	المشكله
     IS_TRANS:	Alm$klh
        INDEX:	P22W14
      OFFSETS:	66-73
       TOKENS:	P22W17-P22W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$okilap_1]
   UNSPLITVOC:	(Almu$okilap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+mu$okil+ap
        GLOSS:	the+problem/issue+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P22W15
      OFFSETS:	74-76
       TOKENS:	P22W18-P22W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P22W16
      OFFSETS:	77-79
       TOKENS:	P22W19-P22W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	جهاز
     IS_TRANS:	jhAz
        INDEX:	P22W17
      OFFSETS:	80-84
       TOKENS:	P22W20-P22W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jihAz_1]
   UNSPLITVOC:	(jihAz)
          POS:	NOUN
          VOC:	jihAz
        GLOSS:	agency/bureau/office/agencies/bureaus/offices

 INPUT STRING:	الشرطه
     IS_TRANS:	Al$rTh
        INDEX:	P22W18
      OFFSETS:	85-91
       TOKENS:	P22W21-P22W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uroTap_1]
   UNSPLITVOC:	(Al$~uroTap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+$uroT+ap
        GLOSS:	the+police+[fem.sg.]

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P22W19
      OFFSETS:	92-94
       TOKENS:	P22W22-P22W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	امن
     IS_TRANS:	Amn
        INDEX:	P22W20
      OFFSETS:	95-98
       TOKENS:	P22W23-P22W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amon_1]
   UNSPLITVOC:	(>amon)
          POS:	NOUN
          VOC:	>amon
        GLOSS:	security/safety

 INPUT STRING:	الدوله
     IS_TRANS:	Aldwlh
        INDEX:	P22W21
      OFFSETS:	99-105
       TOKENS:	P22W24-P22W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(Ald~awlap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+dawl+ap
        GLOSS:	the+state/country/states/countries+[fem.sg.]

 INPUT STRING:	المشكله
     IS_TRANS:	Alm$klh
        INDEX:	P23W1
      OFFSETS:	0-7
       TOKENS:	P23W1-P23W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$okilap_1]
   UNSPLITVOC:	(Almu$okilap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+mu$okil+ap
        GLOSS:	the+problem/issue+[fem.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P23W2
      OFFSETS:	8-10
       TOKENS:	P23W2-P23W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	ثقافتنا
     IS_TRANS:	vqAftnA
        INDEX:	P23W3
      OFFSETS:	11-18
       TOKENS:	P23W3-P23W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[vaqAfap_1]
   UNSPLITVOC:	(vaqAfitnA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1P
          VOC:	vaqAf+ap+nA
        GLOSS:	culture/civilization+[fem.sg.]+our

 INPUT STRING:	نحن
     IS_TRANS:	nHn
        INDEX:	P23W4
      OFFSETS:	19-22
       TOKENS:	P23W5-P23W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naHnu_1]
   UNSPLITVOC:	(naHonu)
          POS:	PRON_1P
          VOC:	naHonu
        GLOSS:	we

 INPUT STRING:	تغيي
     IS_TRANS:	tgyy
        INDEX:	P23W5
      OFFSETS:	23-27
       TOKENS:	P23W6-P23W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[gay~_1]
   UNSPLITVOC:	(tagay~iy)
          POS:	PREP+NOUN+POSS_PRON_1S
          VOC:	ta+gay~+iy
        GLOSS:	by+transgression/offense+my

 INPUT STRING:	الثقافه
     IS_TRANS:	AlvqAfh
        INDEX:	P23W6
      OFFSETS:	28-35
       TOKENS:	P23W9-P23W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vaqAfap_1]
   UNSPLITVOC:	(Alv~aqAfap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vaqAf+ap
        GLOSS:	the+culture/civilization+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P23W7
      OFFSETS:	36-38
       TOKENS:	P23W10-P23W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	اساس
     IS_TRANS:	AsAs
        INDEX:	P23W8
      OFFSETS:	39-43
       TOKENS:	P23W11-P23W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asAs_1]
   UNSPLITVOC:	(AsAs)
          POS:	NOUN
          VOC:	AsAs
        GLOSS:	foundation/basis/foundations/bases/primarily/basically

 INPUT STRING:	اي
     IS_TRANS:	Ay
        INDEX:	P23W9
      OFFSETS:	44-46
       TOKENS:	P23W12-P23W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	ثوره
     IS_TRANS:	vwrh
        INDEX:	P23W10
      OFFSETS:	47-51
