 INPUT STRING:	يعنى
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation/peoples/nations

 INPUT STRING:	حايفضل
     IS_TRANS:	HAyfDl
        INDEX:	P11W16
      OFFSETS:	78-84
       TOKENS:	P11W18-P11W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiDil_1]
   UNSPLITVOC:	(HayifDal)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+fDal
        GLOSS:	will+he/it+remain/stay

 INPUT STRING:	واعي
     IS_TRANS:	wAEy
        INDEX:	P11W17
      OFFSETS:	85-89
       TOKENS:	P11W20-P11W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAEiy_1]
   UNSPLITVOC:	(wAEiy)
          POS:	ADJ
          VOC:	wAEiy
        GLOSS:	aware/alert/conscious

 INPUT STRING:	ومش
     IS_TRANS:	wm$
        INDEX:	P11W18
      OFFSETS:	90-93
       TOKENS:	P11W21-P11W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(wimi$)
          POS:	CONJ+NEG_PART
          VOC:	wi+mi$
        GLOSS:	and+not

 INPUT STRING:	حا
     IS_TRANS:	HA
        INDEX:	P11W19
      OFFSETS:	94-96
       TOKENS:	P11W23-P11W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ha_1]
   UNSPLITVOC:	(Ha)
          POS:	FUT_PART
          VOC:	Ha
        GLOSS:	will

 INPUT STRING:	يسمح
     IS_TRANS:	ysmH
        INDEX:	P11W20
      OFFSETS:	97-101
       TOKENS:	P11W24-P11W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[samaH_1]
   UNSPLITVOC:	(yisomaH)
          POS:	IV3MS+IV
          VOC:	yi+somaH
        GLOSS:	he/it+allow/permit/authorize/be allowed/be permitted/be authorized

 INPUT STRING:	لحد
     IS_TRANS:	lHd
        INDEX:	P11W21
      OFFSETS:	102-105
       TOKENS:	P11W25-P11W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(liHad~)
          POS:	PREP+NOUN
          VOC:	li+Had~
        GLOSS:	for/to+someone/individual/person

 INPUT STRING:	يلعب
     IS_TRANS:	ylEb
        INDEX:	P11W22
      OFFSETS:	106-110
       TOKENS:	P11W27-P11W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[liEib_1]
   UNSPLITVOC:	(yiloEab)
          POS:	IV3MS+IV
          VOC:	yi+loEab
        GLOSS:	he/it+play

 INPUT STRING:	بيه
     IS_TRANS:	byh
        INDEX:	P11W23
      OFFSETS:	111-114
       TOKENS:	P11W28-P11W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(biyh)
          POS:	PREP+PRON_3MS
          VOC:	bi+uh
        GLOSS:	with+he/it

 INPUT STRING:	مشكورة
     IS_TRANS:	m$kwrp
        INDEX:	P12W1
      OFFSETS:	0-6
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ma$okuwr_1]
   UNSPLITVOC:	(ma$okuwrap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	ma$okuwr+ap
        GLOSS:	praiseworthy/deserving thanks+[fem.sg.]

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P12W2
      OFFSETS:	7-9
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	قمر
     IS_TRANS:	qmr
        INDEX:	P12W3
      OFFSETS:	10-13
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qamar_1]
   UNSPLITVOC:	(qamar)
          POS:	NOUN
          VOC:	qamar
        GLOSS:	moon

 INPUT STRING:	فعلا
     IS_TRANS:	fElA
        INDEX:	P13W1
      OFFSETS:	0-4
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(fiEolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	fiEol+AF
        GLOSS:	doing/act/action/actually/in effect/acts/actions/deeds/exploits+[acc.indef.]

 INPUT STRING:	الدنيا
     IS_TRANS:	AldnyA
        INDEX:	P13W2
      OFFSETS:	5-11
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dinoyA_1]
   UNSPLITVOC:	(Ald~inoyA)
          POS:	DET+NOUN
          VOC:	Al+dinoyA
        GLOSS:	the+life

 INPUT STRING:	مقلوبة
     IS_TRANS:	mqlwbp
        INDEX:	P13W3
      OFFSETS:	12-18
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maqoluwb_1]
   UNSPLITVOC:	(maqoluwbap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	maqoluwb+ap
        GLOSS:	turned over/inverted/reversed+[fem.sg.]

 INPUT STRING:	انهاردة
     IS_TRANS:	AnhArdp
        INDEX:	P13W4
      OFFSETS:	19-26
       TOKENS:	P13W4-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nahArdah_1]
   UNSPLITVOC:	(AlnahArdah)
          POS:	DET+NOUN
          VOC:	Al+nahArdah
        GLOSS:	the+today

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P13W5
      OFFSETS:	27-32
       TOKENS:	P13W5-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$a>on
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	تامين
     IS_TRANS:	tAmyn
        INDEX:	P13W6
      OFFSETS:	33-38
       TOKENS:	P13W7-P13W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ta>omiyn_1]
   UNSPLITVOC:	(ta>omiyn)
          POS:	NOUN
          VOC:	ta>omiyn
        GLOSS:	insurance/guarantee

 INPUT STRING:	المسيرة
     IS_TRANS:	Almsyrp
        INDEX:	P13W7
      OFFSETS:	39-46
       TOKENS:	P13W8-P13W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[masiyrap_1]
   UNSPLITVOC:	(Almasiyrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+masiyr+ap
        GLOSS:	the+march/parade+[fem.sg.]

 INPUT STRING:	الجيش
     IS_TRANS:	Aljy$
        INDEX:	P14W1
      OFFSETS:	0-5
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(Aljay$)
          POS:	DET+NOUN
          VOC:	Al+jay$
        GLOSS:	the+army/troops

 INPUT STRING:	ف
     IS_TRANS:	f
        INDEX:	P14W2
      OFFSETS:	6-7
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P14W3
      OFFSETS:	8-10
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	مكان
     IS_TRANS:	mkAn
        INDEX:	P14W4
      OFFSETS:	11-15
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[makAn_1]
   UNSPLITVOC:	(makAn)
          POS:	NOUN
          VOC:	makAn
        GLOSS:	place/location/position

 INPUT STRING:	ربتا
     IS_TRANS:	rbtA
        INDEX:	P15W1
      OFFSETS:	0-4
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(rbtA)
          POS:	TYPO
          VOC:	rbtA
        GLOSS:	nogloss

 INPUT STRING:	يعدى
     IS_TRANS:	yEdY
        INDEX:	P15W2
      OFFSETS:	5-9
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ead~aY_1]
   UNSPLITVOC:	(yiEad~iy)
          POS:	IV3MS+IV
          VOC:	yi+Ead~iy
        GLOSS:	he/it+traverse/cross/be traversed/be crossed

 INPUT STRING:	اليوم
     IS_TRANS:	Alywm
        INDEX:	P15W3
      OFFSETS:	10-15
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(Alyawm)
          POS:	DET+NOUN
          VOC:	Al+yawm
        GLOSS:	the+today/some day/ever/days

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P15W4
      OFFSETS:	16-18
       TOKENS:	P15W4-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P15W5
      OFFSETS:	19-22
       TOKENS:	P15W5-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	خير
     IS_TRANS:	xyr
        INDEX:	P15W6
      OFFSETS:	23-26
       TOKENS:	P15W6-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xayr_1]
   UNSPLITVOC:	(xayr)
          POS:	NOUN
          VOC:	xayr
        GLOSS:	good

 INPUT STRING:	وما
     IS_TRANS:	wmA
        INDEX:	P15W7
      OFFSETS:	27-30
       TOKENS:	P15W7-P15W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(wimA)
          POS:	CONJ+NEG_PART
          VOC:	wi+mA
        GLOSS:	and+not

 INPUT STRING:	يجوش
     IS_TRANS:	yjw$
        INDEX:	P15W8
      OFFSETS:	31-35
       TOKENS:	P15W9-P15W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jA_1]
   UNSPLITVOC:	(yijuw$)
          POS:	IV3P+IV+IVSUFF_SUBJ:P+NEG_PART
          VOC:	yi+j+uwA+$
        GLOSS:	they+come+we+not

 INPUT STRING:	يكحلوها
     IS_TRANS:	ykHlwhA
        INDEX:	P15W9
      OFFSETS:	36-43
       TOKENS:	P15W11-P15W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kaH~al_1]
   UNSPLITVOC:	(yikaH~aluwAhA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:3FS
          VOC:	yi+kaH~al+uwA+hA
        GLOSS:	they+put an eye-liner+we+it/them/her

 INPUT STRING:	يعموها
     IS_TRANS:	yEmwhA
        INDEX:	P15W10
      OFFSETS:	44-50
       TOKENS:	P15W13-P15W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EamA_1]
   UNSPLITVOC:	(yEmuwhA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:3FS
          VOC:	y+Em+uwA+hA
        GLOSS:	they+make blind+we+it/them/her

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P16W1
      OFFSETS:	0-4
       TOKENS:	P16W1-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master+our

 INPUT STRING:	يستر
     IS_TRANS:	ystr
        INDEX:	P16W2
      OFFSETS:	5-9
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[satar_1]
   UNSPLITVOC:	(yusotur)
          POS:	IV3MS+IV
          VOC:	yu+sotur
        GLOSS:	he/it+cover/hide

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P16W3
      OFFSETS:	10-15
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/country/countries

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P16W4
      OFFSETS:	16-18
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	ناقصه
     IS_TRANS:	nAqSh
        INDEX:	P16W5
      OFFSETS:	19-24
       TOKENS:	P16W6-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAqiS_1]
   UNSPLITVOC:	(nAqoSap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	nAqoS+ap
        GLOSS:	incomplete/defective/lacking+[fem.sg.]

