 INPUT STRING:	عذرا
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1P
          VOC:	vawr+ap+nA
        GLOSS:	revolution/uprising+[fem.sg.]+our

 INPUT STRING:	مستمره
     IS_TRANS:	mstmrh
        INDEX:	P9W6
      OFFSETS:	22-28
       TOKENS:	P9W9-P9W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musotamir~_1]
   UNSPLITVOC:	(musotamir~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	musotamir~+ap
        GLOSS:	continuing/continuous/incessant+[fem.sg.]

 INPUT STRING:	ومازلت
     IS_TRANS:	wmAzlt
        INDEX:	P9W7
      OFFSETS:	29-35
       TOKENS:	P9W10-P9W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mAzala_1]
   UNSPLITVOC:	(wamAzalit)
          POS:	CONJ+NEG_PART+PV+PVSUFF_SUBJ:3FS
          VOC:	wa+mA+zali+t
        GLOSS:	and+not+still going+she

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P9W8
      OFFSETS:	36-38
       TOKENS:	P9W13-P9W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	طريقها
     IS_TRANS:	TryqhA
        INDEX:	P9W9
      OFFSETS:	39-45
       TOKENS:	P9W14-P9W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tariyq_1]
   UNSPLITVOC:	(TariyqhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	Tariyq+hA
        GLOSS:	road/way/roads/ways/means/methods+its/their/her

 INPUT STRING:	لتطهير
     IS_TRANS:	ltThyr
        INDEX:	P9W10
      OFFSETS:	46-52
       TOKENS:	P9W16-P9W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taTohiyr_1]
   UNSPLITVOC:	(litaTohiyr)
          POS:	PREP+NOUN
          VOC:	li+taTohiyr
        GLOSS:	for/to+purging/disinfecting

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W11
      OFFSETS:	52-53
       TOKENS:	P9W18-P9W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W12
      OFFSETS:	53-54
       TOKENS:	P9W19-P9W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W13
      OFFSETS:	54-55
       TOKENS:	P9W20-P9W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	فموتوا
     IS_TRANS:	fmwtwA
        INDEX:	P10W1
      OFFSETS:	0-6
       TOKENS:	P10W1-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mAt_1]
   UNSPLITVOC:	(famuwtuwA)
          POS:	SUB_CONJ+CV+CVSUFF_SUBJ:2P
          VOC:	fa+muwt+uwA
        GLOSS:	because/therefore/as a result+died+you[pl.]

 INPUT STRING:	لان
     IS_TRANS:	lAn
        INDEX:	P10W2
      OFFSETS:	7-10
       TOKENS:	P10W3-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(li<in~)
          POS:	PREP+SUB_CONJ
          VOC:	li+<in~
        GLOSS:	for+that

 INPUT STRING:	هناك
     IS_TRANS:	hnAk
        INDEX:	P10W3
      OFFSETS:	11-15
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinAk_1]
   UNSPLITVOC:	(hinAk)
          POS:	ADV
          VOC:	hinAk
        GLOSS:	there

 INPUT STRING:	الكثيرين
     IS_TRANS:	Alkvyryn
        INDEX:	P10W4
      OFFSETS:	16-24
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kaviyr_1]
   UNSPLITVOC:	(Alkaviyriyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+kaviyr+iyn
        GLOSS:	the+alot+[pl.]

 INPUT STRING:	ممن
     IS_TRANS:	mmn
        INDEX:	P10W5
      OFFSETS:	25-28
       TOKENS:	P10W7-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(minman)
          POS:	PREP+REL_PRON
          VOC:	min+man
        GLOSS:	from+whom

 INPUT STRING:	يجهضون
     IS_TRANS:	yjhDwn
        INDEX:	P10W6
      OFFSETS:	29-35
       TOKENS:	P10W9-P10W9
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(yjhDwn)
          POS:	NO_FUNC
          VOC:	yjhDwn
        GLOSS:	nogloss

 INPUT STRING:	ثورتنا
     IS_TRANS:	vwrtnA
        INDEX:	P10W7
      OFFSETS:	36-42
       TOKENS:	P10W10-P10W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(vawritnA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1P
          VOC:	vawr+ap+nA
        GLOSS:	revolution/uprising+[fem.sg.]+our

 INPUT STRING:	موتوا
     IS_TRANS:	mwtwA
        INDEX:	P11W1
      OFFSETS:	0-5
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mAt_1]
   UNSPLITVOC:	(muwtuwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	muwt+uwA
        GLOSS:	die+you[pl.]

 INPUT STRING:	لان
     IS_TRANS:	lAn
        INDEX:	P11W2
      OFFSETS:	6-9
       TOKENS:	P11W2-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(li<in~)
          POS:	PREP+SUB_CONJ
          VOC:	li+<in~
        GLOSS:	for+that

 INPUT STRING:	مازالت
     IS_TRANS:	mAzAlt
        INDEX:	P11W3
      OFFSETS:	10-16
       TOKENS:	P11W4-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zAl_1]
   UNSPLITVOC:	(mA_zAlit)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:3FS
          VOC:	mA+zAl+it
        GLOSS:	not+cease/stop being/stop doing+it/they/she [verb]

 INPUT STRING:	الكثير
     IS_TRANS:	Alkvyr
        INDEX:	P11W4
      OFFSETS:	17-23
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Alkaviyr_1]
   UNSPLITVOC:	(Alkaviyr)
          POS:	DET+ADJ
          VOC:	Al+kaviyr
        GLOSS:	the+many/much/numerous

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P11W5
      OFFSETS:	24-26
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	جيشونا
     IS_TRANS:	jy$wnA
        INDEX:	P11W6
      OFFSETS:	27-33
       TOKENS:	P11W8-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jiy$_1]
   UNSPLITVOC:	(juyuw$onA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	juyuw$o+nA
        GLOSS:	army+our

 INPUT STRING:	اضعف
     IS_TRANS:	ADEf
        INDEX:	P11W7
      OFFSETS:	34-38
       TOKENS:	P11W10-P11W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aDoEaf_2]
   UNSPLITVOC:	(>aDoEaf)
          POS:	ADJ_COMP
          VOC:	>aDoEaf
        GLOSS:	weaker/weakest

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P11W8
      OFFSETS:	39-41
       TOKENS:	P11W11-P11W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P11W9
      OFFSETS:	42-44
       TOKENS:	P11W12-P11W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~_1]
   UNSPLITVOC:	(>an~)
          POS:	SUB_CONJ
          VOC:	>an~
        GLOSS:	Although,even if, despite, in spite of the fact that, verily, truly

 INPUT STRING:	تحمي
     IS_TRANS:	tHmy
        INDEX:	P11W10
      OFFSETS:	45-49
       TOKENS:	P11W13-P11W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HamaY_1]
   UNSPLITVOC:	(taHomiy)
          POS:	IV3FS+IV+IVSUFF_MOOD:S
          VOC:	ta+Hom+iy
        GLOSS:	it/they/she+defend/protect/forbid+[sub.]

 INPUT STRING:	امراه
     IS_TRANS:	AmrAh
        INDEX:	P11W11
      OFFSETS:	50-55
       TOKENS:	P11W14-P11W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<imrA'h_1]
   UNSPLITVOC:	(<imrA'h)
          POS:	NOUN
          VOC:	<imrA'h
        GLOSS:	woman

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P11W12
      OFFSETS:	56-58
       TOKENS:	P11W15-P11W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	طفل
     IS_TRANS:	Tfl
        INDEX:	P11W13
      OFFSETS:	59-62
       TOKENS:	P11W16-P11W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tifol_1]
   UNSPLITVOC:	(Tifol)
          POS:	NOUN
          VOC:	Tifol
        GLOSS:	child/boy/child/girl/children/infants

 INPUT STRING:	منكم
     IS_TRANS:	mnkm
        INDEX:	P11W14
      OFFSETS:	63-67
       TOKENS:	P11W17-P11W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(minkum)
          POS:	PREP+PRON_2P
          VOC:	min+kum
        GLOSS:	from+you [masc.pl.]

 INPUT STRING:	ياحبيبتى
     IS_TRANS:	yAHbybtY
        INDEX:	P12W1
      OFFSETS:	0-8
       TOKENS:	P12W1-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Habiybap_1]
   UNSPLITVOC:	(yAHabiybtiy)
          POS:	VOC_PART+NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	yaA+Habiyb+ap+iy
        GLOSS:	oh+beloved+[fem.sg.]+my

 INPUT STRING:	انتى
     IS_TRANS:	AntY
        INDEX:	P12W2
      OFFSETS:	9-13
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P12W3
      OFFSETS:	14-17
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	like

 INPUT STRING:	بتتهمى
     IS_TRANS:	btthmY
        INDEX:	P12W4
      OFFSETS:	18-24
       TOKENS:	P12W6-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ait~aham_1]
   UNSPLITVOC:	(bitit~ihimiy)
          POS:	PROG_PART+IV2FS+IV
          VOC:	bi+ti+t~ihimiy
        GLOSS:	[present.tense]+you+accuse

 INPUT STRING:	مصربالخيانه
     IS_TRANS:	mSrbAlxyAnh
        INDEX:	P12W5
      OFFSETS:	25-36
       TOKENS:	P12W8-P12W8
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mSrbAlxyAnh)
          POS:	NO_FUNC
          VOC:	mSrbAlxyAnh
        GLOSS:	nogloss

 INPUT STRING:	الا
     IS_TRANS:	AlA
        INDEX:	P12W6
      OFFSETS:	37-40
       TOKENS:	P12W9-P12W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	RESTRIC_PART
          VOC:	<il~A
        GLOSS:	except for

 INPUT STRING:	اعرافه
     IS_TRANS:	AErAfh
        INDEX:	P12W7
      OFFSETS:	41-47
       TOKENS:	P12W10-P12W10
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(AErAfh)
          POS:	NO_FUNC
          VOC:	AErAfh
        GLOSS:	nogloss

 INPUT STRING:	انه
     IS_TRANS:	Anh
        INDEX:	P12W8
      OFFSETS:	48-51
       TOKENS:	P12W11-P12W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+he

 INPUT STRING:	هناك
     IS_TRANS:	hnAk
        INDEX:	P12W9
      OFFSETS:	52-56
       TOKENS:	P12W13-P12W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinAk_1]
   UNSPLITVOC:	(hinAk)
          POS:	ADV
          VOC:	hinAk
        GLOSS:	there

 INPUT STRING:	احكام
     IS_TRANS:	AHkAm
        INDEX:	P12W10
      OFFSETS:	57-62
       TOKENS:	P12W14-P12W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukom_1]
   UNSPLITVOC:	(>aHokAm)
          POS:	NOUN
          VOC:	>aHokAm
        GLOSS:	statutes/laws

 INPUT STRING:	دوليه
     IS_TRANS:	dwlyh
        INDEX:	P12W11
      OFFSETS:	63-68
       TOKENS:	P12W15-P12W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawliy_1]
   UNSPLITVOC:	(dawliy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	dawliy~+ap
        GLOSS:	international+[fem.sg.]

 INPUT STRING:	لمرور
     IS_TRANS:	lmrwr
        INDEX:	P12W12
      OFFSETS:	69-74
       TOKENS:	P12W16-P12W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muruwr_1]
   UNSPLITVOC:	(limuruwr)
          POS:	PREP+NOUN
          VOC:	li+muruwr
        GLOSS:	for/to+traffic

 INPUT STRING:	السفن
     IS_TRANS:	Alsfn
        INDEX:	P12W13
      OFFSETS:	75-80
       TOKENS:	P12W18-P12W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[safiynap_1]
   UNSPLITVOC:	(Alsufun)
          POS:	DET+NOUN
          VOC:	Al+sufun
        GLOSS:	the+ships/vessels

 INPUT STRING:	لابد
     IS_TRANS:	lAbd
        INDEX:	P12W14
      OFFSETS:	81-85
       TOKENS:	P12W19-P12W19
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(lAbd)
          POS:	NO_FUNC
          VOC:	lAbd
        GLOSS:	nogloss

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P12W15
      OFFSETS:	86-88
       TOKENS:	P12W20-P12W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	تنفيذها
     IS_TRANS:	tnfy*hA
        INDEX:	P12W16
      OFFSETS:	89-96
       TOKENS:	P12W21-P12W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tanofiy*_1]
   UNSPLITVOC:	(tanofiy*hA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	tanofiy*+hA
        GLOSS:	implementation/execution/carrying out+its/their/her

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P12W17
      OFFSETS:	97-102
       TOKENS:	P12W23-P12W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(wiAll~ah)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+All~ah
        GLOSS:	and+Allah/God

 INPUT STRING:	اعلم
     IS_TRANS:	AElm
        INDEX:	P12W18
      OFFSETS:	103-107
       TOKENS:	P12W25-P12W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aEolam_1]
   UNSPLITVOC:	(>aEolam)
          POS:	ADJ_COMP
          VOC:	>aEolam
        GLOSS:	more/most knowledgeable

 INPUT STRING:	انتى
     IS_TRANS:	AntY
        INDEX:	P13W1
      OFFSETS:	0-4
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you

 INPUT STRING:	بتتهمى
     IS_TRANS:	btthmY
        INDEX:	P13W2
      OFFSETS:	5-11
       TOKENS:	P13W2-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ait~aham_1]
   UNSPLITVOC:	(bitit~ihimiy)
          POS:	PROG_PART+IV2FS+IV
          VOC:	bi+ti+t~ihimiy
        GLOSS:	[present.tense]+you+accuse

 INPUT STRING:	بلدك
     IS_TRANS:	bldk
        INDEX:	P13W3
      OFFSETS:	12-16
       TOKENS:	P13W4-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(baladik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	balad+ik
        GLOSS:	country/country/countries+your

 INPUT STRING:	بالخيانة
     IS_TRANS:	bAlxyAnp
        INDEX:	P13W4
      OFFSETS:	17-25
       TOKENS:	P13W6-P13W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xiyAnap_1]
   UNSPLITVOC:	(biAlxiyAnap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+xiyAn+ap
        GLOSS:	with/by+the+treason/betrayal+[fem.sg.]

 INPUT STRING:	وده
     IS_TRANS:	wdh
        INDEX:	P13W5
      OFFSETS:	26-29
       TOKENS:	P13W8-P13W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(widah)
          POS:	CONJ+DEM_PRON_MS
          VOC:	wi+dah
        GLOSS:	and+this

 INPUT STRING:	اصطياد
     IS_TRANS:	ASTyAd
        INDEX:	P13W6
      OFFSETS:	30-36
       TOKENS:	P13W10-P13W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AiSoTiyAd_1]
   UNSPLITVOC:	(AiSoTiyAd)
          POS:	NOUN
          VOC:	AiSoTiyAd
        GLOSS:	hunting/fishing/trapping

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P13W7
      OFFSETS:	37-39
       TOKENS:	P13W11-P13W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الماء
     IS_TRANS:	AlmA'
        INDEX:	P13W8
      OFFSETS:	40-45
       TOKENS:	P13W12-P13W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA'_1]
   UNSPLITVOC:	(AlmA')
          POS:	DET+NOUN
          VOC:	Al+mA'
        GLOSS:	the+water/water

 INPUT STRING:	العكر
     IS_TRANS:	AlEkr
        INDEX:	P13W9
      OFFSETS:	46-51
       TOKENS:	P13W13-P13W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlEikir_1]
   UNSPLITVOC:	(AlEikir)
          POS:	DET+ADJ
          VOC:	Al+Eikir
        GLOSS:	the+disturbed/muddy/turbid

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P14W1
      OFFSETS:	0-4
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	قلوبنا
     IS_TRANS:	qlwbnA
        INDEX:	P14W2
      OFFSETS:	5-11
       TOKENS:	P14W2-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qalob_1]
   UNSPLITVOC:	(quluwbnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	quluwb+nA
        GLOSS:	heart/center/essence+our

 INPUT STRING:	بتتقطع
     IS_TRANS:	bttqTE
        INDEX:	P14W3
      OFFSETS:	12-18
       TOKENS:	P14W4-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoqaTaE_1]
   UNSPLITVOC:	(bititoqiTiE)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+toqiTiE
        GLOSS:	[present-tense]+it/they/she+to cut

 INPUT STRING:	عل
     IS_TRANS:	El
        INDEX:	P14W4
      OFFSETS:	19-21
       TOKENS:	P14W6-P14W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(El)
          POS:	TYPO
          VOC:	El
        GLOSS:	nogloss

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P14W5
      OFFSETS:	22-26
       TOKENS:	P14W7-P14W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	بيحصل
     IS_TRANS:	byHSl
        INDEX:	P14W6
      OFFSETS:	27-32
       TOKENS:	P14W8-P14W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaSal_1]
   UNSPLITVOC:	(biyiHoSal)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+HoSal
        GLOSS:	[present-tense]+he/it+occur/happen/take place

 INPUT STRING:	لاخواتنا
     IS_TRANS:	lAxwAtnA
        INDEX:	P14W7
      OFFSETS:	33-41
       TOKENS:	P14W10-P14W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ax~_1]
   UNSPLITVOC:	(li<ixowAtnA)
          POS:	PREP+NOUN+NSUFF_FEM_PL+POSS_PRON_1P
          VOC:	li+<ixow+At+nA
        GLOSS:	for/to+brother+[fem.pl.]+our

 INPUT STRING:	ف
     IS_TRANS:	f
        INDEX:	P14W8
      OFFSETS:	42-43
       TOKENS:	P14W13-P14W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	سوريا
