 INPUT STRING:	اريد
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(yixal~iy_linA)
          POS:	IV3MS+IV+PREP+PRON_1P
          VOC:	yi+xal~iy+li+nA
        GLOSS:	he/it+release/evacuate/allow/be released/be evacuated/be allowed+to/for+us

 INPUT STRING:	شعراء
     IS_TRANS:	$ErA'
        INDEX:	P15W3
      OFFSETS:	14-19
       TOKENS:	P15W7-P15W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$AEir_1]
   UNSPLITVOC:	($uEarA')
          POS:	NOUN
          VOC:	$uEarA'
        GLOSS:	poet/poets

 INPUT STRING:	العامية
     IS_TRANS:	AlEAmyp
        INDEX:	P15W4
      OFFSETS:	20-27
       TOKENS:	P15W8-P15W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAmiy~ap_1]
   UNSPLITVOC:	(AlEAmiy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+EAmiy~+ap
        GLOSS:	the+colloquial+[fem.sg.]

 INPUT STRING:	يطربونا
     IS_TRANS:	yTrbwnA
        INDEX:	P15W5
      OFFSETS:	28-35
       TOKENS:	P15W9-P15W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aTrab_1]
   UNSPLITVOC:	(yiTribuwAnA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:1P
          VOC:	yi+Trib+uwA+nA
        GLOSS:	they+please/sing+we+us

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P15W6
      OFFSETS:	36-40
       TOKENS:	P15W11-P15W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	metabolism/also/else

 INPUT STRING:	وكمان
     IS_TRANS:	wkmAn
        INDEX:	P15W7
      OFFSETS:	41-46
       TOKENS:	P15W12-P15W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(wikamAn)
          POS:	CONJ+ADV
          VOC:	wi+kamAn
        GLOSS:	and+metabolism/also/else

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P16W1
      OFFSETS:	0-2
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P16W2
      OFFSETS:	3-6
       TOKENS:	P16W2-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	شايف
     IS_TRANS:	$Ayf
        INDEX:	P16W3
      OFFSETS:	7-11
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Ayif_1]
   UNSPLITVOC:	($Ayif)
          POS:	ADJ.VN
          VOC:	$Ayif
        GLOSS:	i see/viewer/observer/onlooker/seeing/see/looking

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P16W4
      OFFSETS:	12-14
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	That

 INPUT STRING:	اللغه
     IS_TRANS:	Allgh
        INDEX:	P16W5
      OFFSETS:	15-20
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lugap_1]
   UNSPLITVOC:	(All~ugap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+lug+ap
        GLOSS:	the+language/languages+[fem.sg.]

 INPUT STRING:	العربيه
     IS_TRANS:	AlErbyh
        INDEX:	P16W6
      OFFSETS:	21-28
       TOKENS:	P16W6-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy~ap_1]
   UNSPLITVOC:	(AlEarabiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Earabiy~+ap
        GLOSS:	the+Arabic/Arab+[fem.sg.]

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P16W7
      OFFSETS:	29-31
       TOKENS:	P16W7-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	these/this

 INPUT STRING:	عامله
     IS_TRANS:	EAmlh
        INDEX:	P16W8
      OFFSETS:	32-37
       TOKENS:	P16W8-P16W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAmolap_1]
   UNSPLITVOC:	(EAmolap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EAmol+ap
        GLOSS:	active/operating/working+[fem.sg.]

 INPUT STRING:	لنا
     IS_TRANS:	lnA
        INDEX:	P16W9
      OFFSETS:	38-41
       TOKENS:	P16W9-P16W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(linA)
          POS:	PREP+PRON_1P
          VOC:	li+nA
        GLOSS:	for/to+us

 INPUT STRING:	ربط
     IS_TRANS:	rbT
        INDEX:	P16W10
      OFFSETS:	42-45
       TOKENS:	P16W11-P16W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raboT_1]
   UNSPLITVOC:	(raboT)
          POS:	NOUN
          VOC:	raboT
        GLOSS:	tying/connecting

 INPUT STRING:	ابدى
     IS_TRANS:	AbdY
        INDEX:	P16W11
      OFFSETS:	46-50
       TOKENS:	P16W12-P16W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>abadiy_1]
   UNSPLITVOC:	(>abadiy)
          POS:	ADJ
          VOC:	>abadiy
        GLOSS:	infinite/eternal

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P16W12
      OFFSETS:	51-53
       TOKENS:	P16W13-P16W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[maE_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	something with/together

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P16W13
      OFFSETS:	54-59
       TOKENS:	P16W14-P16W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P16W14
      OFFSETS:	60-64
       TOKENS:	P16W15-P16W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whow/whom/what/whose/which

 INPUT STRING:	بجزيرة
     IS_TRANS:	bjzyrp
        INDEX:	P16W15
      OFFSETS:	65-71
       TOKENS:	P16W16-P16W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jiziyrap_1]
   UNSPLITVOC:	(bijiziyrap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+jiziyr+ap
        GLOSS:	with/by+island/peninsula/islands+[fem.sg.]

 INPUT STRING:	العرب
     IS_TRANS:	AlErb
        INDEX:	P16W16
      OFFSETS:	72-77
       TOKENS:	P16W18-P16W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy_1]
   UNSPLITVOC:	(AlEarab)
          POS:	DET+NOUN
          VOC:	Al+Earab
        GLOSS:	the+Arabs/Arab

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P16W17
      OFFSETS:	78-79
       TOKENS:	P16W19-P16W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P16W18
      OFFSETS:	80-84
       TOKENS:	P16W20-P16W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+situation/case/importance/affairs/affair/that/because/matters

 INPUT STRING:	نفكنا
     IS_TRANS:	nfknA
        INDEX:	P16W19
      OFFSETS:	85-90
       TOKENS:	P16W22-P16W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fak~_1]
   UNSPLITVOC:	(nifuk~inA)
          POS:	IV1P+IV+IVSUFF_DO:1P
          VOC:	ni+fuk~+nA
        GLOSS:	we+separate/dismantle/detach/disengage+us

 INPUT STRING:	منهم
     IS_TRANS:	mnhm
        INDEX:	P16W20
      OFFSETS:	91-95
       TOKENS:	P16W24-P16W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min~uhum)
          POS:	PREP+PRON_3P
          VOC:	min~+hum
        GLOSS:	from+them

 INPUT STRING:	خالص
     IS_TRANS:	xAlS
        INDEX:	P16W21
      OFFSETS:	96-100
       TOKENS:	P16W26-P16W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAliS_1]
   UNSPLITVOC:	(xAliS)
          POS:	ADJ
          VOC:	xAliS
        GLOSS:	pure/clear/sincere

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P16W22
      OFFSETS:	101-105
       TOKENS:	P16W27-P16W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	ADJ
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	لنا
     IS_TRANS:	lnA
        INDEX:	P16W23
      OFFSETS:	106-109
       TOKENS:	P16W28-P16W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(linA)
          POS:	PREP+PRON_1P
          VOC:	li+nA
        GLOSS:	for/to+us

 INPUT STRING:	لغه
     IS_TRANS:	lgh
        INDEX:	P16W24
      OFFSETS:	110-113
       TOKENS:	P16W30-P16W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lugap_1]
   UNSPLITVOC:	(lugap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	lug+ap
        GLOSS:	language/languages+[fem.sg.]

 INPUT STRING:	مستقله
     IS_TRANS:	mstqlh
        INDEX:	P16W25
      OFFSETS:	114-120
       TOKENS:	P16W31-P16W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musotaqil~_1]
   UNSPLITVOC:	(musotaqil~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	musotaqil~+ap
        GLOSS:	independent/autonomous+[fem.sg.]

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P16W26
      OFFSETS:	121-124
       TOKENS:	P16W32-P16W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	طبعا
     IS_TRANS:	TbEA
        INDEX:	P16W27
      OFFSETS:	125-129
       TOKENS:	P16W33-P16W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaboE_1]
   UNSPLITVOC:	(TaboEAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	TaboE+AF
        GLOSS:	temperament/naturally/of course/printing+[acc.indef.]

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P16W28
      OFFSETS:	130-132
       TOKENS:	P16W34-P16W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	بناديش
     IS_TRANS:	bnAdy$
        INDEX:	P16W29
      OFFSETS:	133-139
       TOKENS:	P16W35-P16W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nadaY_1]
   UNSPLITVOC:	(bAnAdiy$)
          POS:	PROG_PART+IV1S+IV+NEG_PART
          VOC:	bi+Aa+nAdiy+$
        GLOSS:	[present-tense]+I+announce/summon+not

 INPUT STRING:	اننا
     IS_TRANS:	AnnA
        INDEX:	P16W30
      OFFSETS:	140-144
       TOKENS:	P16W38-P16W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~inA)
          POS:	SUB_CONJ+PRON_1P
          VOC:	<in~+nA
        GLOSS:	that+we

 INPUT STRING:	نرجع
     IS_TRANS:	nrjE
        INDEX:	P16W31
      OFFSETS:	145-149
       TOKENS:	P16W40-P16W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rijiE_1]
   UNSPLITVOC:	(nirojaE)
          POS:	IV1P+IV
          VOC:	ni+rojaE
        GLOSS:	we+go back/return/came back

 INPUT STRING:	يعنى
     IS_TRANS:	yEnY
        INDEX:	P16W32
      OFFSETS:	150-154
       TOKENS:	P16W41-P16W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern/be meant/be signified/be concerned (with)

 INPUT STRING:	نعيش
     IS_TRANS:	nEy$
        INDEX:	P16W33
      OFFSETS:	155-159
       TOKENS:	P16W42-P16W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EA$_1]
   UNSPLITVOC:	(niEiy$)
          POS:	IV1P+IV
          VOC:	ni+Eiy$
        GLOSS:	we+live/experience/long live!/be lived/be experienced

 INPUT STRING:	هويتنا
     IS_TRANS:	hwytnA
        INDEX:	P16W34
      OFFSETS:	160-166
       TOKENS:	P16W43-P16W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hawiy~ap_1]
   UNSPLITVOC:	(hawiy~itnA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1P
          VOC:	hawiy~+ap+nA
        GLOSS:	identity+[fem.sg.]+our

 INPUT STRING:	بنفس
     IS_TRANS:	bnfs
        INDEX:	P16W35
      OFFSETS:	167-171
       TOKENS:	P16W45-P16W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(binafos)
          POS:	PREP+NOUN
          VOC:	bi+nafos
        GLOSS:	with/by+same

 INPUT STRING:	الطريقه
     IS_TRANS:	AlTryqh
        INDEX:	P16W36
      OFFSETS:	172-179
       TOKENS:	P16W47-P16W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tariyqap_1]
   UNSPLITVOC:	(AlT~ariyqap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Tariyq+ap
        GLOSS:	the+method/procedure/methods/manners+[fem.sg.]

 INPUT STRING:	بتاعت
     IS_TRANS:	btAEt
        INDEX:	P16W37
      OFFSETS:	180-185
       TOKENS:	P16W48-P16W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bitAE_1]
   UNSPLITVOC:	(bitAEit)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bitAE+ap
        GLOSS:	thing/owned by/something/property/commodities/that of/belonging to/goods+[fem.sg.]

 INPUT STRING:	زمان
     IS_TRANS:	zmAn
        INDEX:	P16W38
      OFFSETS:	186-190
       TOKENS:	P16W49-P16W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zamAn_1]
   UNSPLITVOC:	(zamAn)
          POS:	NOUN
          VOC:	zamAn
        GLOSS:	time/duration/times/durations

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P16W39
      OFFSETS:	191-193
       TOKENS:	P16W50-P16W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P16W40
      OFFSETS:	194-197
       TOKENS:	P16W51-P16W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	بتكلم
     IS_TRANS:	btklm
        INDEX:	P16W41
      OFFSETS:	198-203
       TOKENS:	P16W52-P16W53
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitokal~im_1]
   UNSPLITVOC:	(bAatokal~im)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+tokal~im
        GLOSS:	[present-tense]+I+talk/speak

 INPUT STRING:	اننا
     IS_TRANS:	AnnA
        INDEX:	P16W42
      OFFSETS:	204-208
       TOKENS:	P16W54-P16W55
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~inA)
          POS:	SUB_CONJ+PRON_1P
          VOC:	<in~+nA
        GLOSS:	that+we

 INPUT STRING:	يبقى
     IS_TRANS:	ybqY
        INDEX:	P16W43
      OFFSETS:	209-213
       TOKENS:	P16W56-P16W56
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(yiboqaY)
          POS:	IV3MS+IV
          VOC:	yi+boqaY
        GLOSS:	he/it+be/became/become/last/remain

 INPUT STRING:	لنا
     IS_TRANS:	lnA
        INDEX:	P16W44
      OFFSETS:	214-217
       TOKENS:	P16W57-P16W58
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(linA)
          POS:	PREP+PRON_1P
          VOC:	li+nA
        GLOSS:	for/to+us

 INPUT STRING:	لغه
     IS_TRANS:	lgh
        INDEX:	P16W45
      OFFSETS:	218-221
       TOKENS:	P16W59-P16W59
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lugap_1]
   UNSPLITVOC:	(lugap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	lug+ap
        GLOSS:	language/languages+[fem.sg.]

 INPUT STRING:	مستقله
     IS_TRANS:	mstqlh
        INDEX:	P16W46
      OFFSETS:	222-228
       TOKENS:	P16W60-P16W60
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musotaqil~_1]
   UNSPLITVOC:	(musotaqil~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	musotaqil~+ap
        GLOSS:	independent/autonomous+[fem.sg.]

 INPUT STRING:	يعنى
     IS_TRANS:	yEnY
        INDEX:	P17W1
      OFFSETS:	0-4
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern/be meant/be signified/be concerned (with)

 INPUT STRING:	نطور
     IS_TRANS:	nTwr
        INDEX:	P17W2
      OFFSETS:	5-9
       TOKENS:	P17W2-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Taw~ar_1]
   UNSPLITVOC:	(niTaw~ar)
          POS:	IV1P+IV
          VOC:	ni+Taw~ar
        GLOSS:	we+promote/develop

 INPUT STRING:	القبطيه
     IS_TRANS:	AlqbTyh
        INDEX:	P17W3
      OFFSETS:	10-17
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiboTiy_1]
   UNSPLITVOC:	(AlqiboTiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+qiboTiy~+ap
        GLOSS:	the+Coptic+[fem.sg.]

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P17W4
      OFFSETS:	18-20
       TOKENS:	P17W4-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	Or/if not/unless/except if/except when

 INPUT STRING:	نعمل
     IS_TRANS:	nEml
        INDEX:	P17W5
      OFFSETS:	21-25
       TOKENS:	P17W5-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(niEomil)
          POS:	IV1P+IV
          VOC:	ni+Eomil
        GLOSS:	we+function/make/act/do

 INPUT STRING:	زي
     IS_TRANS:	zy
        INDEX:	P17W6
      OFFSETS:	26-28
       TOKENS:	P17W6-P17W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	like/such as

 INPUT STRING:	اتاتورك
     IS_TRANS:	AtAtwrk
        INDEX:	P17W7
      OFFSETS:	29-36
       TOKENS:	P17W7-P17W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AtAtuwrk_1]
   UNSPLITVOC:	(AtAtuwrk)
          POS:	NOUN_PROP
          VOC:	AtAtuwrk
        GLOSS:	Ataturk

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P17W8
      OFFSETS:	37-39
       TOKENS:	P17W8-P17W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that/if/unless/whether/as long as/as soon as

 INPUT STRING:	لغى
     IS_TRANS:	lgY
        INDEX:	P17W9
      OFFSETS:	40-43
       TOKENS:	P17W9-P17W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lagaY_1]
   UNSPLITVOC:	(lagaY)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	lagaY+(null)
        GLOSS:	cancel/delete/abrogate/be abrogated/cancellation/omit/be cancelled/repeal+he/it

 INPUT STRING:	الابجديه
     IS_TRANS:	AlAbjdyh
        INDEX:	P17W10
      OFFSETS:	44-52
       TOKENS:	P17W10-P17W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Abjadiy~ap_1]
   UNSPLITVOC:	(AlAbjadiy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Abjadiy~+ap
        GLOSS:	the+alphabet+[fem.sg.]

 INPUT STRING:	العربيه
     IS_TRANS:	AlErbyh
        INDEX:	P17W11
      OFFSETS:	53-60
       TOKENS:	P17W11-P17W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy~ap_1]
   UNSPLITVOC:	(AlEarabiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Earabiy~+ap
        GLOSS:	the+Arabic/Arab+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P17W12
      OFFSETS:	61-62
       TOKENS:	P17W12-P17W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
