 INPUT STRING:	يستمر
   UNSPLITVOC:	(EalaynA)
          POS:	PREP+PRON_1P
          VOC:	EalaY+nA
        GLOSS:	on/above+us

 INPUT STRING:	الحراميه
     IS_TRANS:	AlHrAmyh
        INDEX:	P6W17
      OFFSETS:	69-77
       TOKENS:	P6W20-P6W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HarAmiy_1]
   UNSPLITVOC:	(AlHarAmiy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+HarAmiy~+ap
        GLOSS:	the+thieves+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P6W18
      OFFSETS:	78-79
       TOKENS:	P6W21-P6W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	البلطجيه
     IS_TRANS:	AlblTjyh
        INDEX:	P6W19
      OFFSETS:	80-88
       TOKENS:	P6W22-P6W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baloTajiy_1]
   UNSPLITVOC:	(AlbaloTajiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+baloTajiy~+ap
        GLOSS:	the+gangster/ruffian+[fem.sg.]

 INPUT STRING:	بكره
     IS_TRANS:	bkrh
        INDEX:	P7W1
      OFFSETS:	0-4
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bukorap_1]
   UNSPLITVOC:	(bukorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bukor+ap
        GLOSS:	tomorrow+[fem.sg.]

 INPUT STRING:	النار
     IS_TRANS:	AlnAr
        INDEX:	P7W2
      OFFSETS:	5-10
       TOKENS:	P7W2-P7W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAr_1]
   UNSPLITVOC:	(Aln~Ar)
          POS:	DET+NOUN
          VOC:	Al+nAr
        GLOSS:	the+fire/shooting

 INPUT STRING:	تكويهم
     IS_TRANS:	tkwyhm
        INDEX:	P7W3
      OFFSETS:	11-17
       TOKENS:	P7W3-P7W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(tkwyhm)
          POS:	NO_FUNC
          VOC:	tkwyhm
        GLOSS:	nogloss

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P7W4
      OFFSETS:	18-19
       TOKENS:	P7W4-P7W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	يبتدوا
     IS_TRANS:	ybtdwA
        INDEX:	P7W5
      OFFSETS:	20-26
       TOKENS:	P7W5-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AibotadA_1]
   UNSPLITVOC:	(yibotiduwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+botid+uwA
        GLOSS:	they+begin/start+[pl.]

 INPUT STRING:	يفكروا
     IS_TRANS:	yfkrwA
        INDEX:	P7W6
      OFFSETS:	27-33
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fak~ar_1]
   UNSPLITVOC:	(yifak~aruwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+fak~ar+uwA
        GLOSS:	they (people)+think/consider/ponder+[pl.]

 INPUT STRING:	يقضوا
     IS_TRANS:	yqDwA
        INDEX:	P7W7
      OFFSETS:	34-39
       TOKENS:	P7W7-P7W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qaDaY_1]
   UNSPLITVOC:	(yiqoDuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+qoD+uwA
        GLOSS:	they (people)+execute/perform/decree+[pl.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P7W8
      OFFSETS:	40-43
       TOKENS:	P7W8-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الانفلات
     IS_TRANS:	AlAnflAt
        INDEX:	P7W9
      OFFSETS:	44-52
       TOKENS:	P7W9-P7W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinofilAt_1]
   UNSPLITVOC:	(AlAinofilAt)
          POS:	DET+NOUN
          VOC:	Al+AinofilAt
        GLOSS:	the+evasion/release

 INPUT STRING:	الامنى
     IS_TRANS:	AlAmnY
        INDEX:	P7W10
      OFFSETS:	53-59
       TOKENS:	P7W10-P7W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amoniy_1]
   UNSPLITVOC:	(Al>amoniy)
          POS:	DET+ADJ
          VOC:	Al+>amoniy
        GLOSS:	the+security/safety

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P7W11
      OFFSETS:	60-64
       TOKENS:	P7W11-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P7W12
      OFFSETS:	65-68
       TOKENS:	P7W12-P7W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	باسميه
     IS_TRANS:	bAsmyh
        INDEX:	P7W13
      OFFSETS:	69-75
       TOKENS:	P7W13-P7W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sam~aY_1]
   UNSPLITVOC:	(bAsam~iyh)
          POS:	PROG_PART+IV1S+IV+IVSUFF_DO:3MS
          VOC:	bi+A+sam~iy+uh
        GLOSS:	[present-tense]+I+name+him/it

 INPUT STRING:	اعتصام
     IS_TRANS:	AEtSAm
        INDEX:	P7W14
      OFFSETS:	77-83
       TOKENS:	P7W16-P7W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEotiSAm_1]
   UNSPLITVOC:	(AiEotiSAm)
          POS:	NOUN
          VOC:	AiEotiSAm
        GLOSS:	refuge/preservation/adhering/preserving

 INPUT STRING:	مدنى
     IS_TRANS:	mdnY
        INDEX:	P7W15
      OFFSETS:	84-88
       TOKENS:	P7W17-P7W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madaniy_1]
   UNSPLITVOC:	(madaniy)
          POS:	ADJ
          VOC:	madaniy
        GLOSS:	civillian

 INPUT STRING:	مخفى
     IS_TRANS:	mxfY
        INDEX:	P7W16
      OFFSETS:	89-93
       TOKENS:	P7W18-P7W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maxofiy_1]
   UNSPLITVOC:	(maxofiy)
          POS:	ADJ
          VOC:	maxofiy
        GLOSS:	hidden

 INPUT STRING:	لبعض
     IS_TRANS:	lbED
        INDEX:	P7W17
      OFFSETS:	94-98
       TOKENS:	P7W19-P7W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(libaEoD)
          POS:	PREP+NOUN
          VOC:	li+baEoD
        GLOSS:	for/to+some, a few, little, part

 INPUT STRING:	الضباط
     IS_TRANS:	AlDbAT
        INDEX:	P7W18
      OFFSETS:	99-105
       TOKENS:	P7W21-P7W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DAbiT_2]
   UNSPLITVOC:	(AlD~ub~AT)
          POS:	DET+NOUN
          VOC:	Al+Dub~AT
        GLOSS:	the+officers

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P8W1
      OFFSETS:	0-1
       TOKENS:	P8W1-P8W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	تحيا
     IS_TRANS:	tHyA
        INDEX:	P8W2
      OFFSETS:	2-6
       TOKENS:	P8W2-P8W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hay~_1]
   UNSPLITVOC:	(taHoyA)
          POS:	IV3FS+IV
          VOC:	ta+HoyA
        GLOSS:	she/it/they+live/experience/witness

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P8W3
      OFFSETS:	7-10
       TOKENS:	P8W3-P8W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P8W4
      OFFSETS:	11-12
       TOKENS:	P8W4-P8W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	ثوره
     IS_TRANS:	vwrh
        INDEX:	P8W5
      OFFSETS:	13-17
       TOKENS:	P8W5-P8W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(vawrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	vawr+ap
        GLOSS:	revolution/uprising+[fem.sg.]

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P8W6
      OFFSETS:	18-21
       TOKENS:	P8W6-P8W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P8W7
      OFFSETS:	22-23
       TOKENS:	P8W7-P8W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	شعبها
     IS_TRANS:	$EbhA
        INDEX:	P8W8
      OFFSETS:	24-29
       TOKENS:	P8W8-P8W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	($aEobahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	$aEob+hA
        GLOSS:	people/nation+its/their/her

 INPUT STRING:	العظيم
     IS_TRANS:	AlEZym
        INDEX:	P8W9
      OFFSETS:	30-36
       TOKENS:	P8W10-P8W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaZiym_1]
   UNSPLITVOC:	(AlEaZiym)
          POS:	DET+ADJ
          VOC:	Al+EaZiym
        GLOSS:	the+great/powerful

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P9W1
      OFFSETS:	0-4
       TOKENS:	P9W1-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/God+our

 INPUT STRING:	يستر
     IS_TRANS:	ystr
        INDEX:	P9W2
      OFFSETS:	5-9
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[satar_1]
   UNSPLITVOC:	(yusotur)
          POS:	IV3MS+IV
          VOC:	yu+sotur
        GLOSS:	he/it+cover/hide

 INPUT STRING:	عالبلد
     IS_TRANS:	EAlbld
        INDEX:	P9W3
      OFFSETS:	10-16
       TOKENS:	P9W4-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(EaAlbalad)
          POS:	PREP+DET+NOUN
          VOC:	Ea+Al+balad
        GLOSS:	like/such/on/above+the+country

 INPUT STRING:	وهيا
     IS_TRANS:	whyA
        INDEX:	P9W4
      OFFSETS:	17-21
       TOKENS:	P9W6-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(wihiy~a)
          POS:	CONJ+PRON_3FS
          VOC:	wi+hiy~a
        GLOSS:	and+she/it/they

 INPUT STRING:	الداخليه
     IS_TRANS:	AldAxlyh
        INDEX:	P9W5
      OFFSETS:	22-30
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAxoliy~ap_1]
   UNSPLITVOC:	(Ald~Axoliy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+dAxoliy~+ap
        GLOSS:	the+interior/of state+[fem.sg.]

 INPUT STRING:	مشتغلتش
     IS_TRANS:	m$tglt$
        INDEX:	P9W6
      OFFSETS:	31-38
       TOKENS:	P9W9-P9W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ai$otagal_1]
   UNSPLITVOC:	(ma_$otagalit$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:3FS+NEG_PART
          VOC:	mA+Ai$otagal+it+$
        GLOSS:	not+work/operate+she/it/they [verb]+not

 INPUT STRING:	لسه
     IS_TRANS:	lsh
        INDEX:	P9W7
      OFFSETS:	39-42
       TOKENS:	P9W12-P9W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	still

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P9W8
      OFFSETS:	43-44
       TOKENS:	P9W13-P9W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	وليه
     IS_TRANS:	wlyh
        INDEX:	P9W9
      OFFSETS:	45-49
       TOKENS:	P9W14-P9W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liyh_1]
   UNSPLITVOC:	(wiliyh)
          POS:	CONJ+INTERROG_PRON
          VOC:	wi+liyh
        GLOSS:	and+why

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P9W10
      OFFSETS:	49-50
       TOKENS:	P9W16-P9W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	دا
     IS_TRANS:	dA
        INDEX:	P10W1
      OFFSETS:	0-2
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this[masc.sg.]

 INPUT STRING:	يوضحلنا
     IS_TRANS:	ywDHlnA
        INDEX:	P10W2
      OFFSETS:	3-10
       TOKENS:	P10W2-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[waD~aH_1]
   UNSPLITVOC:	(yiwaD~aH_linA)
          POS:	IV3MS+IV+PREP+PRON_1P
          VOC:	yi+waD~aH+li+nA
        GLOSS:	he/it+illustrate/clarify+to/for+us

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P10W3
      OFFSETS:	11-13
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	المحافظ
     IS_TRANS:	AlmHAfZ
        INDEX:	P10W4
      OFFSETS:	14-21
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHAfiZ_1]
   UNSPLITVOC:	(AlmuHAfiZ)
          POS:	DET+NOUN
          VOC:	Al+muHAfiZ
        GLOSS:	the+governor

 INPUT STRING:	زية
     IS_TRANS:	zyp
        INDEX:	P10W5
      OFFSETS:	22-25
       TOKENS:	P10W7-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~uh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	zay~+uh
        GLOSS:	something like+his/its

 INPUT STRING:	زى
     IS_TRANS:	zY
        INDEX:	P10W6
      OFFSETS:	26-28
       TOKENS:	P10W9-P10W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	something like

 INPUT STRING:	اى
     IS_TRANS:	AY
        INDEX:	P10W7
      OFFSETS:	29-31
       TOKENS:	P10W10-P10W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P10W8
      OFFSETS:	32-36
       TOKENS:	P10W11-P10W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN_NUM
          VOC:	wAHid
        GLOSS:	one

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P10W9
      OFFSETS:	37-39
       TOKENS:	P10W12-P10W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P10W10
      OFFSETS:	40-45
       TOKENS:	P10W13-P10W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation

 INPUT STRING:	بيتسرق
     IS_TRANS:	bytsrq
        INDEX:	P10W11
      OFFSETS:	46-52
       TOKENS:	P10W14-P10W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saraq_1]
   UNSPLITVOC:	(biyitosiriq)
          POS:	PROG_PART+IV3MS+IV_PASS
          VOC:	bi+yi+tosiriq
        GLOSS:	[present-tense]+he/it+be robbed/be stolen

 INPUT STRING:	ويتثبت
     IS_TRANS:	wytvbt
        INDEX:	P10W12
      OFFSETS:	53-59
       TOKENS:	P10W16-P10W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aitovab~it_1]
   UNSPLITVOC:	(wiyitovab~it)
          POS:	CONJ+IV3MS+IV_PASS
          VOC:	wi+yi+tovab~it
        GLOSS:	and+he/it+be fixed/be stopped

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P10W13
      OFFSETS:	60-64
       TOKENS:	P10W18-P10W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	also/too

 INPUT STRING:	وكمان
     IS_TRANS:	wkmAn
        INDEX:	P11W1
      OFFSETS:	0-5
       TOKENS:	P11W1-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(wikamAn)
          POS:	CONJ+ADV
          VOC:	wi+kamAn
        GLOSS:	and+also/too

 INPUT STRING:	هنا
     IS_TRANS:	hnA
        INDEX:	P11W2
      OFFSETS:	6-9
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinA_1]
   UNSPLITVOC:	(hinA)
          POS:	ADV
          VOC:	hinA
        GLOSS:	here

 INPUT STRING:	بيوضح
     IS_TRANS:	bywDH
        INDEX:	P11W3
      OFFSETS:	10-15
       TOKENS:	P11W4-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waDaH_1]
   UNSPLITVOC:	(biyiwoDaH)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+woDaH
        GLOSS:	[present-tense]+he/it+become clear/become evident/appear

 INPUT STRING:	الايدى
     IS_TRANS:	AlAydY
        INDEX:	P11W4
      OFFSETS:	16-22
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yad_1]
   UNSPLITVOC:	(Al>aydiy)
          POS:	DET+NOUN
          VOC:	Al+>aydiy
        GLOSS:	the+hands

 INPUT STRING:	الخفية
     IS_TRANS:	Alxfyp
        INDEX:	P11W5
      OFFSETS:	23-29
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Alxafiy_1]
   UNSPLITVOC:	(Alxafiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+xafiy~+ap
        GLOSS:	the+hidden/secret/invisible+[fem.sg.]

 INPUT STRING:	التى
     IS_TRANS:	AltY
        INDEX:	P11W6
      OFFSETS:	30-34
       TOKENS:	P11W8-P11W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which/who/whom [fem.sg.]

 INPUT STRING:	تعبث
     IS_TRANS:	tEbv
        INDEX:	P11W7
      OFFSETS:	35-39
       TOKENS:	P11W9-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eabav_1]
   UNSPLITVOC:	(tiEobav)
          POS:	IV3FS+IV
          VOC:	ti+Eobav
        GLOSS:	it/she/they+manipulate/amuse onself

 INPUT STRING:	بأمن
     IS_TRANS:	b>mn
        INDEX:	P11W8
      OFFSETS:	40-44
       TOKENS:	P11W10-P11W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amon_1]
   UNSPLITVOC:	(bi>amon)
          POS:	PREP+NOUN
          VOC:	bi+>amon
        GLOSS:	with/by+security/safety

 INPUT STRING:	الوطن
     IS_TRANS:	AlwTn
        INDEX:	P11W9
      OFFSETS:	45-50
       TOKENS:	P11W12-P11W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waTan_1]
   UNSPLITVOC:	(AlwaTan)
          POS:	DET+NOUN
          VOC:	Al+waTan
        GLOSS:	the+nation/homeland

 INPUT STRING:	هى
     IS_TRANS:	hY
        INDEX:	P11W10
      OFFSETS:	51-53
       TOKENS:	P11W13-P11W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	she/it/they

 INPUT STRING:	مين
     IS_TRANS:	myn
        INDEX:	P11W11
      OFFSETS:	54-57
       TOKENS:	P11W14-P11W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(miyn)
          POS:	REL_PRON
          VOC:	miyn
        GLOSS:	who

 INPUT STRING:	يعنى
     IS_TRANS:	yEnY
        INDEX:	P11W12
      OFFSETS:	58-62
