 INPUT STRING:	لماذا
     IS_TRANS:	byHAsb
        INDEX:	P26W12
      OFFSETS:	51-57
       TOKENS:	P26W16-P26W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAsib_1]
   UNSPLITVOC:	(biyiHAsib)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+HAsib
        GLOSS:	[present-tense]+he/it+hold responsible

 INPUT STRING:	وان
     IS_TRANS:	wAn
        INDEX:	P26W13
      OFFSETS:	58-61
       TOKENS:	P26W18-P26W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(wa<in~)
          POS:	CONJ+SUB_CONJ
          VOC:	wa+<in~
        GLOSS:	and+that

 INPUT STRING:	الرسول
     IS_TRANS:	Alrswl
        INDEX:	P26W14
      OFFSETS:	62-68
       TOKENS:	P26W20-P26W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rasuwl_1]
   UNSPLITVOC:	(Alr~asuwl)
          POS:	DET+NOUN
          VOC:	Al+rasuwl
        GLOSS:	the+messenger/apostle

 INPUT STRING:	الكريم
     IS_TRANS:	Alkrym
        INDEX:	P26W15
      OFFSETS:	69-75
       TOKENS:	P26W21-P26W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kariym_1]
   UNSPLITVOC:	(Alkariym)
          POS:	DET+ADJ
          VOC:	Al+kariym
        GLOSS:	the+distinguished/generous/noble/precious

 INPUT STRING:	صلى
     IS_TRANS:	SlY
        INDEX:	P26W16
      OFFSETS:	76-79
       TOKENS:	P26W22-P26W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sal~ay_1]
   UNSPLITVOC:	(Sal~aY)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Sal~aY+(null)
        GLOSS:	pray/worship+he/it [verb]

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P26W17
      OFFSETS:	80-84
       TOKENS:	P26W23-P26W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN
          VOC:	All~ah
        GLOSS:	God

 INPUT STRING:	عليه
     IS_TRANS:	Elyh
        INDEX:	P26W18
      OFFSETS:	85-89
       TOKENS:	P26W24-P26W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayh)
          POS:	PREP+PRON_3MS
          VOC:	EalaY+uh
        GLOSS:	on/above+he/it

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P26W19
      OFFSETS:	90-91
       TOKENS:	P26W26-P26W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	سلم
     IS_TRANS:	slm
        INDEX:	P26W20
      OFFSETS:	92-95
       TOKENS:	P26W27-P26W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sal~im_1]
   UNSPLITVOC:	(sal~im)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	sal~im+(null)
        GLOSS:	greet+he/it

 INPUT STRING:	قال
     IS_TRANS:	qAl
        INDEX:	P26W21
      OFFSETS:	96-99
       TOKENS:	P26W28-P26W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAl)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qAl+(null)
        GLOSS:	said/say/be said/say/(for example)+he/it

 INPUT STRING:	فيما
     IS_TRANS:	fymA
        INDEX:	P26W22
      OFFSETS:	100-104
       TOKENS:	P26W29-P26W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiymA)
          POS:	PREP+REL_PRON
          VOC:	fiy+mA
        GLOSS:	in, by+what/which

 INPUT STRING:	معناه
     IS_TRANS:	mEnAh
        INDEX:	P26W23
      OFFSETS:	105-110
       TOKENS:	P26W31-P26W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEonaY_1]
   UNSPLITVOC:	(maEonAh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	maEonA+uh
        GLOSS:	meaning/sense+his/its

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P26W24
      OFFSETS:	111-113
       TOKENS:	P26W33-P26W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P26W25
      OFFSETS:	114-118
       TOKENS:	P26W34-P26W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who

 INPUT STRING:	يقول
     IS_TRANS:	yqwl
        INDEX:	P26W26
      OFFSETS:	119-123
       TOKENS:	P26W35-P26W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(yiquwl)
          POS:	IV3MS+IV
          VOC:	yi+quwl
        GLOSS:	he/it+said/say/be said/say/(for example)

 INPUT STRING:	ع
     IS_TRANS:	E
        INDEX:	P26W27
      OFFSETS:	124-125
       TOKENS:	P26W36-P26W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P26W28
      OFFSETS:	126-128
       TOKENS:	P26W37-P26W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	someone

 INPUT STRING:	كافر
     IS_TRANS:	kAfr
        INDEX:	P26W29
      OFFSETS:	129-133
       TOKENS:	P26W38-P26W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAfir_1]
   UNSPLITVOC:	(kAfir)
          POS:	NOUN
          VOC:	kAfir
        GLOSS:	infidel/infidels

 INPUT STRING:	فقد
     IS_TRANS:	fqd
        INDEX:	P26W30
      OFFSETS:	134-137
       TOKENS:	P26W39-P26W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qado_1]
   UNSPLITVOC:	(faqado)
          POS:	CONJ+VERB_PART
          VOC:	fa+qado
        GLOSS:	so/and+may, might, perhaps, maybe, possibly, probably

 INPUT STRING:	باء
     IS_TRANS:	bA'
        INDEX:	P26W31
      OFFSETS:	138-141
       TOKENS:	P26W41-P26W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bA'-u_1]
   UNSPLITVOC:	(bA'a)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	bA'+a
        GLOSS:	return/incur+he/it [verb]

 INPUT STRING:	بها
     IS_TRANS:	bhA
        INDEX:	P26W32
      OFFSETS:	142-145
       TOKENS:	P26W42-P26W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(bihA)
          POS:	PREP+PRON_3FS
          VOC:	bi+hA
        GLOSS:	with+she/it

 INPUT STRING:	احدهما
     IS_TRANS:	AHdhmA
        INDEX:	P26W33
      OFFSETS:	146-152
       TOKENS:	P26W44-P26W45
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aHad_1]
   UNSPLITVOC:	(>aHadahumA)
          POS:	NOUN+CASE_DEF_ACC+POSS_PRON_3D
          VOC:	>aHad+a+humA
        GLOSS:	one (of)/someone/anyone/no-one+[def.acc.]+their

 INPUT STRING:	اتمنى
     IS_TRANS:	AtmnY
        INDEX:	P27W1
      OFFSETS:	0-5
       TOKENS:	P27W1-P27W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitoman~aY_1]
   UNSPLITVOC:	(Aatoman~aY)
          POS:	IV1S+IV
          VOC:	Aa+toman~aY
        GLOSS:	I+wish

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P27W2
      OFFSETS:	6-8
       TOKENS:	P27W2-P27W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P27W3
      OFFSETS:	9-11
       TOKENS:	P27W3-P27W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	قلبى
     IS_TRANS:	qlbY
        INDEX:	P27W4
      OFFSETS:	12-16
       TOKENS:	P27W4-P27W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qalob_1]
   UNSPLITVOC:	(qalobiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	qalob+iy
        GLOSS:	heart/center/essence+my

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P27W5
      OFFSETS:	17-19
       TOKENS:	P27W6-P27W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P27W6
      OFFSETS:	20-23
       TOKENS:	P27W7-P27W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(miSor)
          POS:	NOUN_PROP
          VOC:	miSor
        GLOSS:	Egypt

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P27W7
      OFFSETS:	24-26
       TOKENS:	P27W8-P27W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	تبقاش
     IS_TRANS:	tbqA$
        INDEX:	P27W8
      OFFSETS:	27-32
       TOKENS:	P27W9-P27W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(tiboqA$)
          POS:	IV3FS+IV+NEG_PART
          VOC:	ti+boqA+$
        GLOSS:	it/they/she+remain+not

 INPUT STRING:	سعودية
     IS_TRANS:	sEwdyp
        INDEX:	P27W9
      OFFSETS:	33-39
       TOKENS:	P27W11-P27W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saEuwdiy~ap_1]
   UNSPLITVOC:	(saEuwdiy~ap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	saEuwdiy~+ap
        GLOSS:	Saudi Arabia+[fem.sg.]

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P27W10
      OFFSETS:	40-43
       TOKENS:	P27W12-P27W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[lA_2]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+no/not

 INPUT STRING:	افغانستان
     IS_TRANS:	AfgAnstAn
        INDEX:	P27W11
      OFFSETS:	44-53
       TOKENS:	P27W14-P27W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>afogAnisotAn_1]
   UNSPLITVOC:	(>afogAnisotAn)
          POS:	NOUN_PROP
          VOC:	>afogAnisotAn
        GLOSS:	Afghanistan

 INPUT STRING:	تانية
     IS_TRANS:	tAnyp
        INDEX:	P27W12
      OFFSETS:	54-59
       TOKENS:	P27W15-P27W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAniy_1]
   UNSPLITVOC:	(tAnoyap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	tAnoy+ap
        GLOSS:	second/another+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P27W13
      OFFSETS:	60-61
       TOKENS:	P27W16-P27W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	موضوعك
     IS_TRANS:	mwDwEk
        INDEX:	P27W14
      OFFSETS:	62-68
       TOKENS:	P27W17-P27W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(mawDuwEik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	mawDuwE+ik
        GLOSS:	subject/theme/issue+your

 INPUT STRING:	هايل
     IS_TRANS:	hAyl
        INDEX:	P27W15
      OFFSETS:	69-73
       TOKENS:	P27W19-P27W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hAyil_1]
   UNSPLITVOC:	(hAyil)
          POS:	ADJ
          VOC:	hAyil
        GLOSS:	great

 INPUT STRING:	والتقييم
     IS_TRANS:	wAltqyym
        INDEX:	P27W16
      OFFSETS:	74-82
       TOKENS:	P27W20-P27W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taqoyiym_1]
   UNSPLITVOC:	(wiAltaqoyiym)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+taqoyiym
        GLOSS:	and+the+evaluation/assessment/rating

 INPUT STRING:	ممتاااااااااااز
     IS_TRANS:	mmtAAAAAAAAAAAz
        INDEX:	P27W17
      OFFSETS:	83-98
       TOKENS:	P27W22-P27W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mumtAz_1]
   UNSPLITVOC:	(mumtAz)
          POS:	ADJ
          VOC:	mumtAz
        GLOSS:	great/excellent

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P28W1
      OFFSETS:	0-3
       TOKENS:	P28W1-P28W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P28W2
      OFFSETS:	4-6
       TOKENS:	P28W2-P28W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	الدولة
     IS_TRANS:	Aldwlp
        INDEX:	P28W3
      OFFSETS:	7-13
       TOKENS:	P28W3-P28W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(Ald~awlap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+dawl+ap
        GLOSS:	the+state/country/states/countries+[fem.sg.]

 INPUT STRING:	المدينة
     IS_TRANS:	Almdynp
        INDEX:	P28W4
      OFFSETS:	14-21
       TOKENS:	P28W4-P28W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madiynap_1]
   UNSPLITVOC:	(Almadiynap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+madiyn+ap
        GLOSS:	the+city+[fem.sg.]

 INPUT STRING:	ومع
     IS_TRANS:	wmE
        INDEX:	P28W5
      OFFSETS:	22-25
       TOKENS:	P28W5-P28W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(wimaE)
          POS:	CONJ+NOUN
          VOC:	wi+maEa
        GLOSS:	and+with

 INPUT STRING:	رئيس
     IS_TRANS:	r}ys
        INDEX:	P28W6
      OFFSETS:	26-30
       TOKENS:	P28W7-P28W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(ra}iys)
          POS:	NOUN
          VOC:	ra}iys
        GLOSS:	president/head/chairman

 INPUT STRING:	مدينى
     IS_TRANS:	mdynY
        INDEX:	P28W7
      OFFSETS:	31-36
       TOKENS:	P28W8-P28W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(mdynY)
          POS:	TYPO
          VOC:	mdynY
        GLOSS:	nogloss

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P28W8
      OFFSETS:	37-39
       TOKENS:	P28W9-P28W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	ينتمى
     IS_TRANS:	yntmY
        INDEX:	P28W9
      OFFSETS:	40-45
       TOKENS:	P28W10-P28W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AintamaY_1]
   UNSPLITVOC:	(yantamiy)
          POS:	IV3MS+IV
          VOC:	ya+ntamiy
        GLOSS:	he/it+belong

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P28W10
      OFFSETS:	46-49
       TOKENS:	P28W11-P28W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to

 INPUT STRING:	اى
     IS_TRANS:	AY
        INDEX:	P28W11
      OFFSETS:	50-52
       TOKENS:	P28W12-P28W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	تيارات
     IS_TRANS:	tyArAt
        INDEX:	P28W12
      OFFSETS:	53-59
       TOKENS:	P28W13-P28W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tay~Ar_1]
   UNSPLITVOC:	(tay~ArAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	tay~Ar+At
        GLOSS:	currents/streams+[fem.pl.]

 INPUT STRING:	سواء
     IS_TRANS:	swA'
        INDEX:	P28W13
      OFFSETS:	60-64
       TOKENS:	P28W14-P28W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sawA'_1]
   UNSPLITVOC:	(sawA')
          POS:	NOUN
          VOC:	sawA'
        GLOSS:	except/whether/regardless

 INPUT STRING:	اسلامية
     IS_TRANS:	AslAmyp
        INDEX:	P28W14
      OFFSETS:	65-72
       TOKENS:	P28W15-P28W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isolAmiy_1]
   UNSPLITVOC:	(<isolAmiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	<isolAmiy~+ap
        GLOSS:	Islamic/Islamist/Muslim+[fem.sg.]

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P28W15
      OFFSETS:	73-75
       TOKENS:	P28W16-P28W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	علميانية
     IS_TRANS:	ElmyAnyp
        INDEX:	P28W16
      OFFSETS:	76-84
       TOKENS:	P28W17-P28W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EilmyAniy~_1]
   UNSPLITVOC:	(EilmyAniy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EilmyAniy~+ap
        GLOSS:	secular+[fem.sg.]

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P28W17
      OFFSETS:	85-87
       TOKENS:	P28W18-P28W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P28W18
      OFFSETS:	87-88
       TOKENS:	P28W19-P28W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P28W19
      OFFSETS:	88-89
       TOKENS:	P28W20-P28W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P28W20
      OFFSETS:	89-90
       TOKENS:	P28W21-P28W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P28W21
      OFFSETS:	90-91
       TOKENS:	P28W22-P28W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P28W22
      OFFSETS:	91-92
       TOKENS:	P28W23-P28W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P28W23
      OFFSETS:	92-93
       TOKENS:	P28W24-P28W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P28W24
      OFFSETS:	93-94
       TOKENS:	P28W25-P28W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P28W25
      OFFSETS:	94-95
       TOKENS:	P28W26-P28W26
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P28W26
      OFFSETS:	95-96
       TOKENS:	P28W27-P28W27
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P28W27
      OFFSETS:	96-97
       TOKENS:	P28W28-P28W28
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P28W28
      OFFSETS:	97-98
       TOKENS:	P28W29-P28W29
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
