 INPUT STRING:	عجبت
          POS:	NOUN
          VOC:	>aHad
        GLOSS:	one of /someone/ anyone/no-one/ones

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P19W5
      OFFSETS:	16-18
       TOKENS:	P19W5-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P19W6
      OFFSETS:	19-21
       TOKENS:	P19W6-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	what/which

 INPUT STRING:	نحن
     IS_TRANS:	nHn
        INDEX:	P19W7
      OFFSETS:	22-25
       TOKENS:	P19W7-P19W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[naHonu_1]
   UNSPLITVOC:	(naHonu)
          POS:	PRON_1P
          VOC:	naHonu
        GLOSS:	we

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P19W8
      OFFSETS:	26-29
       TOKENS:	P19W8-P19W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/him

 INPUT STRING:	جهاد
     IS_TRANS:	jhAd
        INDEX:	P19W9
      OFFSETS:	30-34
       TOKENS:	P19W10-P19W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jihAd_1]
   UNSPLITVOC:	(jihAd)
          POS:	NOUN
          VOC:	jihAd
        GLOSS:	Jihad/holy war/ struggle

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P19W10
      OFFSETS:	34-35
       TOKENS:	P19W11-P19W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	وإن
     IS_TRANS:	w<n
        INDEX:	P19W11
      OFFSETS:	36-39
       TOKENS:	P19W12-P19W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(wi<in)
          POS:	CONJ+SUB_CONJ
          VOC:	wi+<in
        GLOSS:	and+Although,even if, despite, in spite of the fact

 INPUT STRING:	لم
     IS_TRANS:	lm
        INDEX:	P19W12
      OFFSETS:	40-42
       TOKENS:	P19W14-P19W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lamo_1]
   UNSPLITVOC:	(lamo)
          POS:	NEG_PART
          VOC:	lamo
        GLOSS:	did not

 INPUT STRING:	يكن
     IS_TRANS:	ykn
        INDEX:	P19W13
      OFFSETS:	43-46
       TOKENS:	P19W15-P19W15
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kAn-u_1]
   UNSPLITVOC:	(yakuno)
          POS:	IV3MS+IV+IVSUFF_MOOD:J
          VOC:	ya+kun+o
        GLOSS:	he/it+be+[jus.]

 INPUT STRING:	بالسيف
     IS_TRANS:	bAlsyf
        INDEX:	P19W14
      OFFSETS:	47-53
       TOKENS:	P19W16-P19W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sayf_1]
   UNSPLITVOC:	(biAls~ayf)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+sayf
        GLOSS:	with/by+the+sword

 INPUT STRING:	فهو
     IS_TRANS:	fhw
        INDEX:	P19W15
      OFFSETS:	54-57
       TOKENS:	P19W18-P19W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(fahuw~a)
          POS:	RC_PART+PRON_3MS
          VOC:	fa+huw~a
        GLOSS:	so/then+it/he

 INPUT STRING:	بالفكر
     IS_TRANS:	bAlfkr
        INDEX:	P19W16
      OFFSETS:	58-64
       TOKENS:	P19W20-P19W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikor_1]
   UNSPLITVOC:	(biAlfikor)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+fikor
        GLOSS:	with/by+the+thought/thinking

 INPUT STRING:	واستعمال
     IS_TRANS:	wAstEmAl
        INDEX:	P19W17
      OFFSETS:	65-73
       TOKENS:	P19W22-P19W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotiEomAl_1]
   UNSPLITVOC:	(wiAisotiEomAl)
          POS:	CONJ+NOUN
          VOC:	wi+AisotiEomAl
        GLOSS:	and+use/application

 INPUT STRING:	السياسة
     IS_TRANS:	AlsyAsp
        INDEX:	P19W18
      OFFSETS:	74-81
       TOKENS:	P19W24-P19W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAsap_1]
   UNSPLITVOC:	(Als~iyAsap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+siyAs+ap
        GLOSS:	the+politics+[fem.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P19W19
      OFFSETS:	82-84
       TOKENS:	P19W25-P19W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	تثبيت
     IS_TRANS:	tvbyt
        INDEX:	P19W20
      OFFSETS:	85-90
       TOKENS:	P19W26-P19W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tavobiyt_1]
   UNSPLITVOC:	(tavobiyt)
          POS:	NOUN
          VOC:	tavobiyt
        GLOSS:	substantiation/stabilization

 INPUT STRING:	أمر
     IS_TRANS:	>mr
        INDEX:	P19W21
      OFFSETS:	91-94
       TOKENS:	P19W27-P19W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amor_1]
   UNSPLITVOC:	(>amor)
          POS:	NOUN
          VOC:	>amor
        GLOSS:	order/command

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P19W22
      OFFSETS:	95-99
       TOKENS:	P19W28-P19W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P19W23
      OFFSETS:	100-102
       TOKENS:	P19W29-P19W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	البلاد
     IS_TRANS:	AlblAd
        INDEX:	P19W24
      OFFSETS:	103-109
       TOKENS:	P19W30-P19W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(AlbilAd)
          POS:	DET+NOUN
          VOC:	Al+bilAd
        GLOSS:	the+country/countries

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P19W25
      OFFSETS:	109-110
       TOKENS:	P19W31-P19W31
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	فكيف
     IS_TRANS:	fkyf
        INDEX:	P20W1
      OFFSETS:	0-4
       TOKENS:	P20W1-P20W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kayof_1]
   UNSPLITVOC:	(fakayof)
          POS:	CONJ+INTERROG_ADV
          VOC:	fa+kayof
        GLOSS:	so/and+how

 INPUT STRING:	لرئيس
     IS_TRANS:	lr}ys
        INDEX:	P20W2
      OFFSETS:	5-10
       TOKENS:	P20W3-P20W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(lira}iys)
          POS:	PREP+NOUN
          VOC:	li+ra}iys
        GLOSS:	for/to+president/head/chairman

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P20W3
      OFFSETS:	11-14
       TOKENS:	P20W5-P20W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[giyr_1]
   UNSPLITVOC:	(giyr)
          POS:	NOUN
          VOC:	giyr
        GLOSS:	not/other

 INPUT STRING:	إسلامي
     IS_TRANS:	<slAmy
        INDEX:	P20W4
      OFFSETS:	15-21
       TOKENS:	P20W6-P20W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isolAmiy_1]
   UNSPLITVOC:	(<isolAmiy)
          POS:	ADJ
          VOC:	<isolAmiy
        GLOSS:	Islamic/Islamist/Muslim

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P20W5
      OFFSETS:	22-24
       TOKENS:	P20W7-P20W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	يطبق
     IS_TRANS:	yTbq
        INDEX:	P20W6
      OFFSETS:	25-29
       TOKENS:	P20W8-P20W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tab~aq_1]
   UNSPLITVOC:	(yiTab~aq)
          POS:	IV3MS+IV
          VOC:	yi+Tab~aq
        GLOSS:	he/it+apply/implement

 INPUT STRING:	شرع
     IS_TRANS:	$rE
        INDEX:	P20W7
      OFFSETS:	30-33
       TOKENS:	P20W9-P20W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aroE_1]
   UNSPLITVOC:	($aroE)
          POS:	NOUN
          VOC:	$aroE
        GLOSS:	law

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P20W8
      OFFSETS:	34-38
       TOKENS:	P20W10-P20W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	فينا
     IS_TRANS:	fynA
        INDEX:	P20W9
      OFFSETS:	39-43
       TOKENS:	P20W11-P20W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiynA)
          POS:	PREP+PRON_1P
          VOC:	fiy+nA
        GLOSS:	in+us

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P20W10
      OFFSETS:	43-44
       TOKENS:	P20W13-P20W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P20W11
      OFFSETS:	44-45
       TOKENS:	P20W14-P20W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	شرع
     IS_TRANS:	$rE
        INDEX:	P21W1
      OFFSETS:	0-3
       TOKENS:	P21W1-P21W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aroE_1]
   UNSPLITVOC:	($aroE)
          POS:	NOUN
          VOC:	$aroE
        GLOSS:	law

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P21W2
      OFFSETS:	4-8
       TOKENS:	P21W2-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	الذي
     IS_TRANS:	Al*y
        INDEX:	P21W3
      OFFSETS:	9-13
       TOKENS:	P21W3-P21W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	which/who/whom [masc.sg.]

 INPUT STRING:	كنا
     IS_TRANS:	knA
        INDEX:	P21W4
      OFFSETS:	14-17
       TOKENS:	P21W4-P21W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kun~A)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	kun+~A
        GLOSS:	be+we [verb]

 INPUT STRING:	ننتظره
     IS_TRANS:	nntZrh
        INDEX:	P21W5
      OFFSETS:	18-24
       TOKENS:	P21W5-P21W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinotaZar_1]
   UNSPLITVOC:	(ninotiZiruh)
          POS:	IV1P+IV+IVSUFF_DO:3MS
          VOC:	ni+notiZir+uh
        GLOSS:	we+expect/wait+it/him

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P21W6
      OFFSETS:	25-27
       TOKENS:	P21W7-P21W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	سنوات
     IS_TRANS:	snwAt
        INDEX:	P21W7
      OFFSETS:	28-33
       TOKENS:	P21W8-P21W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(sanawAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	sanaw+At
        GLOSS:	year/years+[fem.pl.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P21W8
      OFFSETS:	33-34
       TOKENS:	P21W9-P21W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	ليتنى
     IS_TRANS:	lytnY
        INDEX:	P21W9
      OFFSETS:	35-40
       TOKENS:	P21W10-P21W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[layota_1]
   UNSPLITVOC:	(layotaniy)
          POS:	PSEUDO_VERB+PRON_1S
          VOC:	layota+niy
        GLOSS:	Would that!, would God!, I wish!, if only!+I

 INPUT STRING:	أجد
     IS_TRANS:	>jd
        INDEX:	P21W10
      OFFSETS:	41-44
       TOKENS:	P21W12-P21W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wajad_1]
   UNSPLITVOC:	(Aajod)
          POS:	IV1S+IV
          VOC:	Aa+jod
        GLOSS:	I+find

 INPUT STRING:	لديك
     IS_TRANS:	ldyk
        INDEX:	P21W11
      OFFSETS:	45-49
       TOKENS:	P21W13-P21W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[ladaY_1]
   UNSPLITVOC:	(ladayk)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	ladaY+ak
        GLOSS:	with/by+you [masc.sg.]

 INPUT STRING:	إجابة
     IS_TRANS:	<jAbp
        INDEX:	P21W12
      OFFSETS:	50-55
       TOKENS:	P21W15-P21W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ijAbap_1]
   UNSPLITVOC:	(<ijAbap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	<ijAb+ap
        GLOSS:	answer/response/consent+[fem.sg.]

 INPUT STRING:	واضحة
     IS_TRANS:	wADHp
        INDEX:	P21W13
      OFFSETS:	56-61
       TOKENS:	P21W16-P21W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wADiH_1]
   UNSPLITVOC:	(wADoHap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	wADoH+ap
        GLOSS:	clear/obvious/visible+[fem.sg.]

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P21W14
      OFFSETS:	62-64
       TOKENS:	P21W17-P21W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	تساؤلاتي
     IS_TRANS:	tsA&lAty
        INDEX:	P21W15
      OFFSETS:	65-73
       TOKENS:	P21W18-P21W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tasA&ul_1]
   UNSPLITVOC:	(tasA&ulAtiy)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_1S
          VOC:	tasA&ul+At+iy
        GLOSS:	questions/doubts+[fem.pl.]+my

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P21W16
      OFFSETS:	74-76
       TOKENS:	P21W20-P21W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	دكتور
     IS_TRANS:	dktwr
        INDEX:	P21W17
      OFFSETS:	77-82
       TOKENS:	P21W21-P21W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dukotawr_1]
   UNSPLITVOC:	(dukotawr)
          POS:	NOUN
          VOC:	dukotawr
        GLOSS:	doctor/Doctor/Dr.

 INPUT STRING:	بديع
     IS_TRANS:	bdyE
        INDEX:	P21W18
      OFFSETS:	83-87
       TOKENS:	P21W22-P21W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[badiyE_1]
   UNSPLITVOC:	(badiyE)
          POS:	NOUN_PROP
          VOC:	badiyE
        GLOSS:	Badie

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P21W19
      OFFSETS:	87-88
       TOKENS:	P21W23-P21W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	ولم
     IS_TRANS:	wlm
        INDEX:	P21W20
      OFFSETS:	89-92
       TOKENS:	P21W24-P21W25
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lima_1]
   UNSPLITVOC:	(walima)
          POS:	CONJ+INTERROG_ADV
          VOC:	wa+lima
        GLOSS:	and+why

 INPUT STRING:	كنتم
     IS_TRANS:	kntm
        INDEX:	P21W21
      OFFSETS:	93-97
       TOKENS:	P21W26-P21W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kuntum)
          POS:	PV+PVSUFF_SUBJ:2P
          VOC:	kun+tum
        GLOSS:	be+you [pl.] [verb]

 INPUT STRING:	تخرجون
     IS_TRANS:	txrjwn
        INDEX:	P21W22
      OFFSETS:	98-104
       TOKENS:	P21W27-P21W27
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(txrjwn)
          POS:	NO_FUNC
          VOC:	txrjwn
        GLOSS:	nogloss

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P21W23
      OFFSETS:	105-107
       TOKENS:	P21W28-P21W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مظاهرات
     IS_TRANS:	mZAhrAt
        INDEX:	P21W24
      OFFSETS:	108-115
       TOKENS:	P21W29-P21W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muZAhorap_1]
   UNSPLITVOC:	(muZAhorAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	muZAhor+At
        GLOSS:	demonstrations/rallies+[fem.pl.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P21W25
      OFFSETS:	115-116
       TOKENS:	P21W30-P21W30
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	ولم
     IS_TRANS:	wlm
        INDEX:	P21W26
      OFFSETS:	117-120
       TOKENS:	P21W31-P21W32
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lima_1]
   UNSPLITVOC:	(walima)
          POS:	CONJ+INTERROG_ADV
          VOC:	wa+lima
        GLOSS:	and+why

 INPUT STRING:	تحملتم
     IS_TRANS:	tHmltm
        INDEX:	P21W27
      OFFSETS:	121-127
       TOKENS:	P21W33-P21W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taHam~al_1]
   UNSPLITVOC:	(taHam~alotum)
          POS:	PV+PVSUFF_SUBJ:2P
          VOC:	taHam~al+tum
        GLOSS:	assume/bear (reponsibility)+you [masc.pl.] [verb]

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P21W28
      OFFSETS:	128-130
       TOKENS:	P21W34-P21W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P21W29
      OFFSETS:	131-134
       TOKENS:	P21W35-P21W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*A)
          POS:	DEM_PRON_MS
          VOC:	ha*A
        GLOSS:	this [masc.sg.]

 INPUT STRING:	العناء
     IS_TRANS:	AlEnA'
        INDEX:	P21W30
      OFFSETS:	135-141
       TOKENS:	P21W36-P21W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanA'_1]
   UNSPLITVOC:	(AlEanA')
          POS:	DET+NOUN
          VOC:	Al+EanA'
        GLOSS:	the+hardship/preoccupation

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P21W31
      OFFSETS:	141-142
       TOKENS:	P21W37-P21W37
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	لماذا
     IS_TRANS:	lmA*A
        INDEX:	P22W1
      OFFSETS:	0-5
       TOKENS:	P22W1-P22W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[limA*A_1]
   UNSPLITVOC:	(limA*A)
          POS:	INTERROG_ADV
          VOC:	limA*A
        GLOSS:	why

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P22W2
      OFFSETS:	6-9
       TOKENS:	P22W2-P22W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it [verb]

 INPUT STRING:	الهتاف
     IS_TRANS:	AlhtAf
        INDEX:	P22W3
      OFFSETS:	10-16
       TOKENS:	P22W3-P22W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hitAf_1]
   UNSPLITVOC:	(AlhitAf)
          POS:	DET+NOUN
          VOC:	Al+hitAf
        GLOSS:	the+shouting/cheering/shouts

 INPUT STRING:	إسلامية
