 INPUT STRING:	البحث
          POS:	INTERROG_ADV
          VOC:	layoh
        GLOSS:	why

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P11W3
      OFFSETS:	10-12
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	تخليهاش
     IS_TRANS:	txlyhA$
        INDEX:	P11W4
      OFFSETS:	13-20
       TOKENS:	P11W5-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(tixal~iyhA$)
          POS:	IV3FS+IV+IVSUFF_DO:3FS+NEG_PART
          VOC:	ti+xal~iy+hA+$
        GLOSS:	it/they/she+release/evacuate/allow/be released/be evacuated/be allowed+it/them/her+not

 INPUT STRING:	للعرب
     IS_TRANS:	llErb
        INDEX:	P11W5
      OFFSETS:	21-26
       TOKENS:	P11W8-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy_1]
   UNSPLITVOC:	(lilEarab)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+Earab
        GLOSS:	for/to+the+Arabs

 INPUT STRING:	كلهم
     IS_TRANS:	klhm
        INDEX:	P11W6
      OFFSETS:	27-31
       TOKENS:	P11W10-P11W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uhum)
          POS:	NOUN_QUANT+POSS_PRON_3P
          VOC:	kul~+hum
        GLOSS:	all, entire, every, whole+their

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P11W7
      OFFSETS:	32-33
       TOKENS:	P11W12-P11W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	تخلص
     IS_TRANS:	txlS
        INDEX:	P11W8
      OFFSETS:	34-38
       TOKENS:	P11W13-P11W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aS_1]
   UNSPLITVOC:	(tixal~aS)
          POS:	IV2MS+IV
          VOC:	ti+xal~aS
        GLOSS:	you+purify/refine/clarify

 INPUT STRING:	قسم
     IS_TRANS:	qsm
        INDEX:	P11W9
      OFFSETS:	39-42
       TOKENS:	P11W14-P11W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qisom_1]
   UNSPLITVOC:	(qisom)
          POS:	NOUN
          VOC:	qisom
        GLOSS:	department/division/section

 INPUT STRING:	منها
     IS_TRANS:	mnhA
        INDEX:	P11W10
      OFFSETS:	43-47
       TOKENS:	P11W15-P11W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min~ahA)
          POS:	PREP+PRON_3FS
          VOC:	min~+hA
        GLOSS:	from+it/them/her

 INPUT STRING:	للمصريين
     IS_TRANS:	llmSryyn
        INDEX:	P11W11
      OFFSETS:	48-56
       TOKENS:	P11W17-P11W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(lilmaSoriy~iyn)
          POS:	PREP+DET+NOUN+NSUFF_MASC_PL
          VOC:	li+Al+maSoriy~+iyn
        GLOSS:	for/to+the+Egyptian+[masc.pl.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P11W12
      OFFSETS:	57-58
       TOKENS:	P11W19-P11W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	بكده
     IS_TRANS:	bkdh
        INDEX:	P11W13
      OFFSETS:	59-63
       TOKENS:	P11W20-P11W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(bikidah)
          POS:	PREP+NOUN
          VOC:	bi+kidah
        GLOSS:	with/by+this

 INPUT STRING:	تضرب
     IS_TRANS:	tDrb
        INDEX:	P11W14
      OFFSETS:	64-68
       TOKENS:	P11W22-P11W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Darab_1]
   UNSPLITVOC:	(tiDorab)
          POS:	IV2MS+IV
          VOC:	ti+Dorab
        GLOSS:	you+strike/hit/be struck/be hit

 INPUT STRING:	عصفورين
     IS_TRANS:	ESfwryn
        INDEX:	P11W15
      OFFSETS:	69-76
       TOKENS:	P11W23-P11W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EaSofuwr_1]
   UNSPLITVOC:	(EaSfuwriyn)
          POS:	NOUN+NSUFF_MASC_DU
          VOC:	EaSfuwr+iyn
        GLOSS:	bird/sparrow+two

 INPUT STRING:	بحجر
     IS_TRANS:	bHjr
        INDEX:	P11W16
      OFFSETS:	77-81
       TOKENS:	P11W24-P11W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hajar_1]
   UNSPLITVOC:	(biHajar)
          POS:	PREP+NOUN
          VOC:	bi+Hajar
        GLOSS:	with/by+stone

 INPUT STRING:	فكرة
     IS_TRANS:	fkrp
        INDEX:	P12W1
      OFFSETS:	1-5
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikorap_1]
   UNSPLITVOC:	(fikorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fikor+ap
        GLOSS:	idea/notion/concept+[fem.sg.]

 INPUT STRING:	حلوة
     IS_TRANS:	Hlwp
        INDEX:	P12W2
      OFFSETS:	6-10
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilow_1]
   UNSPLITVOC:	(Hilowap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Hilow+ap
        GLOSS:	good+[fem.sg.]

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P12W3
      OFFSETS:	11-13
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	بسبوسة
     IS_TRANS:	bsbwsp
        INDEX:	P12W4
      OFFSETS:	14-20
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[basobuwsap_1]
   UNSPLITVOC:	(basobuwsap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	basobuws+ap
        GLOSS:	basbousah (semolina cake)+[fem.sg.]

 INPUT STRING:	وانا
     IS_TRANS:	wAnA
        INDEX:	P13W1
      OFFSETS:	1-5
       TOKENS:	P13W1-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(waAnA)
          POS:	CONJ+PRON_1S
          VOC:	wa+AnA
        GLOSS:	and+I

 INPUT STRING:	برضو
     IS_TRANS:	brDw
        INDEX:	P13W2
      OFFSETS:	6-10
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baroDuw_1]
   UNSPLITVOC:	(baroDuw)
          POS:	ADV
          VOC:	baroDuw
        GLOSS:	also/too

 INPUT STRING:	بضم
     IS_TRANS:	bDm
        INDEX:	P13W3
      OFFSETS:	11-14
       TOKENS:	P13W4-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Dam_1]
   UNSPLITVOC:	(bADum)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+Dum
        GLOSS:	[present-tense]+I+include/comprise/incorporate

 INPUT STRING:	صوتي
     IS_TRANS:	Swty
        INDEX:	P13W4
      OFFSETS:	15-19
       TOKENS:	P13W6-P13W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sawt_1]
   UNSPLITVOC:	(Suwtiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Suwt+iy
        GLOSS:	vote/votes+my

 INPUT STRING:	لصوت
     IS_TRANS:	lSwt
        INDEX:	P13W5
      OFFSETS:	20-24
       TOKENS:	P13W8-P13W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sawt_1]
   UNSPLITVOC:	(liSawt)
          POS:	PREP+NOUN
          VOC:	li+Sawt
        GLOSS:	for/to+vote/votes

 INPUT STRING:	احمد
     IS_TRANS:	AHmd
        INDEX:	P13W6
      OFFSETS:	25-29
       TOKENS:	P13W10-P13W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHomad_1]
   UNSPLITVOC:	(>aHomad)
          POS:	NOUN_PROP
          VOC:	>aHomad
        GLOSS:	Ahmad/Ahmed

 INPUT STRING:	وبقول
     IS_TRANS:	wbqwl
        INDEX:	P13W7
      OFFSETS:	30-35
       TOKENS:	P13W11-P13W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(wibAaquwl)
          POS:	CONJ+PROG_PART+IV1S+IV
          VOC:	wi+bi+Aa+quwl
        GLOSS:	and+[present-tense]+I+said/say/be said/say/(for example)

 INPUT STRING:	خليها
     IS_TRANS:	xlyhA
        INDEX:	P13W8
      OFFSETS:	36-41
       TOKENS:	P13W14-P13W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(xal~iyhA)
          POS:	CV+CVSUFF_SUBJ:2MS+CVSUFF_DO:3FS
          VOC:	xal~iy+(null)+hA
        GLOSS:	release/evacuate/allow/be released/be evacuated/be allowed+you+it/them/her

 INPUT STRING:	للعرب
     IS_TRANS:	llErb
        INDEX:	P13W9
      OFFSETS:	42-47
       TOKENS:	P13W16-P13W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy_1]
   UNSPLITVOC:	(lilEarab)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+Earab
        GLOSS:	for/to+the+Arabs

 INPUT STRING:	كلهم
     IS_TRANS:	klhm
        INDEX:	P13W10
      OFFSETS:	48-52
       TOKENS:	P13W18-P13W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uhum)
          POS:	NOUN_QUANT+POSS_PRON_3P
          VOC:	kul~+hum
        GLOSS:	all, entire, every, whole+their

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P14W1
      OFFSETS:	1-3
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although,even if, despite, in spite of the fact that, verily, truly

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P14W2
      OFFSETS:	4-7
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P14W3
      OFFSETS:	8-12
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	تلاقي
     IS_TRANS:	tlAqy
        INDEX:	P14W4
      OFFSETS:	13-18
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAqaY_1]
   UNSPLITVOC:	(tilAqiy)
          POS:	IV2MS+IV
          VOC:	ti+lAqiy
        GLOSS:	you+meet/encounter/be met/be encountered

 INPUT STRING:	استجابة
     IS_TRANS:	AstjAbp
        INDEX:	P14W5
      OFFSETS:	19-26
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotijAbap_1]
   UNSPLITVOC:	(AisotijAbap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	AisotijAb+ap
        GLOSS:	compliance/replying+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P14W6
      OFFSETS:	27-29
       TOKENS:	P14W6-P14W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الجميع
     IS_TRANS:	AljmyE
        INDEX:	P14W7
      OFFSETS:	30-36
       TOKENS:	P14W7-P14W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamiyE_1]
   UNSPLITVOC:	(AljamiyE)
          POS:	DET+NOUN
          VOC:	Al+jamiyE
        GLOSS:	the+all, entire, every, whole

 INPUT STRING:	وتحقق
     IS_TRANS:	wtHqq
        INDEX:	P14W8
      OFFSETS:	37-42
       TOKENS:	P14W8-P14W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Haq~aq_1]
   UNSPLITVOC:	(witHaq~aq)
          POS:	CONJ+IV2MS+IV
          VOC:	wi+t+Haq~aq
        GLOSS:	and+you+achieve/realize/reach

 INPUT STRING:	الغاية
     IS_TRANS:	AlgAyp
        INDEX:	P14W9
      OFFSETS:	43-49
       TOKENS:	P14W10-P14W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gAyap_1]
   UNSPLITVOC:	(AlgAyap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+gAy+ap
        GLOSS:	the+goal/objective/purpose/intention/goals/objectives+[fem.sg.]

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P14W10
      OFFSETS:	50-54
       TOKENS:	P14W11-P14W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P14W11
      OFFSETS:	55-58
       TOKENS:	P14W12-P14W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you

 INPUT STRING:	وراها
     IS_TRANS:	wrAhA
        INDEX:	P14W12
      OFFSETS:	59-64
       TOKENS:	P14W13-P14W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[warA_1]
   UNSPLITVOC:	(warAhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	warA+hA
        GLOSS:	behind/rear/back+its/their/her

 INPUT STRING:	تحياتي
     IS_TRANS:	tHyAty
        INDEX:	P15W1
      OFFSETS:	1-7
       TOKENS:	P15W1-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHiy~ap_1]
   UNSPLITVOC:	(taHiy~Atiy)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_1S
          VOC:	taHiy~+At+iy
        GLOSS:	greeting/salute+[fem.pl.]+my

