 INPUT STRING:	صححححححححححححححححححححححححححححححح
   UNSPLITVOC:	(wi<in~uh)
          POS:	CONJ+SUB_CONJ+PRON_3MS
          VOC:	wi+<in~+uh
        GLOSS:	and+that+it/he

 INPUT STRING:	نفع
     IS_TRANS:	nfE
        INDEX:	P9W23
      OFFSETS:	102-105
       TOKENS:	P9W30-P9W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nifiE_1]
   UNSPLITVOC:	(yinfaE)
          POS:	IV3MS+IV
          VOC:	yi+nfaE
        GLOSS:	he/it+be useful to/be advantageous to

 INPUT STRING:	يحكم
     IS_TRANS:	yHkm
        INDEX:	P9W24
      OFFSETS:	106-110
       TOKENS:	P9W31-P9W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hakam_1]
   UNSPLITVOC:	(yiHokum)
          POS:	IV3MS+IV
          VOC:	yi+Hokum
        GLOSS:	he/it+rule/govern

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P9W25
      OFFSETS:	111-114
       TOKENS:	P9W32-P9W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P9W26
      OFFSETS:	115-117
       TOKENS:	P9W33-P9W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P9W27
      OFFSETS:	118-122
       TOKENS:	P9W34-P9W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	ودى
     IS_TRANS:	wdY
        INDEX:	P9W28
      OFFSETS:	123-126
       TOKENS:	P9W35-P9W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(widiy)
          POS:	CONJ+DEM_PRON_FS
          VOC:	wi+diy
        GLOSS:	and+this

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P9W29
      OFFSETS:	127-131
       TOKENS:	P9W37-P9W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P10W1
      OFFSETS:	0-5
       TOKENS:	P10W1-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ah)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	with+Allah/God

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P10W2
      OFFSETS:	6-8
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	حازم
     IS_TRANS:	HAzm
        INDEX:	P10W3
      OFFSETS:	9-13
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAzim_1]
   UNSPLITVOC:	(HAzim)
          POS:	NOUN_PROP
          VOC:	HAzim
        GLOSS:	Hazim

 INPUT STRING:	ابو
     IS_TRANS:	Abw
        INDEX:	P10W4
      OFFSETS:	14-17
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>abuw_1]
   UNSPLITVOC:	(>abuw)
          POS:	NOUN_PROP
          VOC:	>abuw
        GLOSS:	Abu

 INPUT STRING:	اسماعيل
     IS_TRANS:	AsmAEyl
        INDEX:	P10W5
      OFFSETS:	18-25
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisomAEiyl_1]
   UNSPLITVOC:	(AisomAEiyl)
          POS:	NOUN_PROP
          VOC:	AisomAEiyl
        GLOSS:	Ismaiel

 INPUT STRING:	عمل
     IS_TRANS:	Eml
        INDEX:	P10W6
      OFFSETS:	26-29
       TOKENS:	P10W7-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(Eamal)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Eamal+(null)
        GLOSS:	work/function/act+he/it

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P10W7
      OFFSETS:	30-33
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which

 INPUT STRING:	ميتعمل
     IS_TRANS:	mytEml
        INDEX:	P10W8
      OFFSETS:	34-40
       TOKENS:	P10W9-P10W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoEamal_1]
   UNSPLITVOC:	(mA_yitoEimil)
          POS:	NEG_PART+IV3MS+IV
          VOC:	mA+yi+toEimil
        GLOSS:	not+he/it+work/function/act

 INPUT STRING:	والناس
     IS_TRANS:	wAlnAs
        INDEX:	P10W9
      OFFSETS:	41-47
       TOKENS:	P10W11-P10W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(wiAlnAs)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+nAs
        GLOSS:	and+the+people

 INPUT STRING:	برده
     IS_TRANS:	brdh
        INDEX:	P10W10
      OFFSETS:	48-52
       TOKENS:	P10W13-P10W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baroDuh_1]
   UNSPLITVOC:	(baroDuh)
          POS:	ADV
          VOC:	baroDuh
        GLOSS:	also/too

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P10W11
      OFFSETS:	53-55
       TOKENS:	P10W14-P10W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	كويسة
     IS_TRANS:	kwysp
        INDEX:	P10W12
      OFFSETS:	56-61
       TOKENS:	P10W15-P10W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kuway~is_1]
   UNSPLITVOC:	(kuway~isap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	kuway~is+ap
        GLOSS:	good+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P10W13
      OFFSETS:	62-64
       TOKENS:	P10W16-P10W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	هيعرف
     IS_TRANS:	hyErf
        INDEX:	P10W14
      OFFSETS:	65-70
       TOKENS:	P10W17-P10W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(HayiEoraf)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+Eoraf
        GLOSS:	will+he/it+know/be known

 INPUT STRING:	يعمل
     IS_TRANS:	yEml
        INDEX:	P10W15
      OFFSETS:	71-75
       TOKENS:	P10W19-P10W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(yiEomil)
          POS:	IV3MS+IV
          VOC:	yi+Eomil
        GLOSS:	he/it+work/function/act

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P10W16
      OFFSETS:	76-80
       TOKENS:	P10W20-P10W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	ملهاش
     IS_TRANS:	mlhA$
        INDEX:	P10W17
      OFFSETS:	81-86
       TOKENS:	P10W21-P10W21
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mlhA$)
          POS:	NO_FUNC
          VOC:	mlhA$
        GLOSS:	nogloss

 INPUT STRING:	علاقة
     IS_TRANS:	ElAqp
        INDEX:	P10W18
      OFFSETS:	87-92
       TOKENS:	P10W22-P10W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EilAqap_1]
   UNSPLITVOC:	(EilAqap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	EilAq+ap
        GLOSS:	connection/relation/link+[fem.sg.]

 INPUT STRING:	بتطبيق
     IS_TRANS:	btTbyq
        INDEX:	P10W19
      OFFSETS:	93-99
       TOKENS:	P10W23-P10W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taTobiyq_1]
   UNSPLITVOC:	(bitaTobiyq)
          POS:	PREP+NOUN
          VOC:	bi+taTobiyq
        GLOSS:	with/by+application

 INPUT STRING:	الشريعة
     IS_TRANS:	Al$ryEp
        INDEX:	P10W20
      OFFSETS:	100-107
       TOKENS:	P10W25-P10W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ariyEap_1]
   UNSPLITVOC:	(Al$~ariyEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+$ariyE+ap
        GLOSS:	the+religious law/prescriptions of religious law+[fem.sg.]

 INPUT STRING:	الاسلامية
     IS_TRANS:	AlAslAmyp
        INDEX:	P10W21
      OFFSETS:	108-117
       TOKENS:	P10W26-P10W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AislAmiy_1]
   UNSPLITVOC:	(AlAislAmiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+AislAmiy~+ap
        GLOSS:	the+Islamic/Islamist/Muslim+[fem.sg.]

 INPUT STRING:	لان
     IS_TRANS:	lAn
        INDEX:	P10W22
      OFFSETS:	118-121
       TOKENS:	P10W27-P10W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(li<in~)
          POS:	PREP+SUB_CONJ
          VOC:	li+<in~
        GLOSS:	for+that

 INPUT STRING:	ببساطة
     IS_TRANS:	bbsATp
        INDEX:	P10W23
      OFFSETS:	122-128
       TOKENS:	P10W29-P10W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[basATap_1]
   UNSPLITVOC:	(bibasATap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+basAT+ap
        GLOSS:	with/by+frankness/sincerity/simplicity/plainness+[fem.sg.]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P10W24
      OFFSETS:	129-131
       TOKENS:	P10W31-P10W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P10W25
      OFFSETS:	132-136
       TOKENS:	P10W32-P10W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P10W26
      OFFSETS:	137-139
       TOKENS:	P10W33-P10W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	يغير
     IS_TRANS:	ygyr
        INDEX:	P10W27
      OFFSETS:	140-144
       TOKENS:	P10W34-P10W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[gay~ar_1]
   UNSPLITVOC:	(yugay~ir)
          POS:	IV3MS+IV
          VOC:	yu+gay~ir
        GLOSS:	he/it+change/modify

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P10W28
      OFFSETS:	145-147
       TOKENS:	P10W35-P10W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	what/which

 INPUT STRING:	بقوم
     IS_TRANS:	bqwm
        INDEX:	P10W29
      OFFSETS:	148-152
       TOKENS:	P10W36-P10W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawm_1]
   UNSPLITVOC:	(biqawm)
          POS:	PREP+NOUN
          VOC:	bi+qawm
        GLOSS:	with/by+people/nation

 INPUT STRING:	حتى
     IS_TRANS:	HtY
        INDEX:	P10W30
      OFFSETS:	153-156
       TOKENS:	P10W38-P10W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	PREP
          VOC:	Hat~aY
        GLOSS:	until/up to

 INPUT STRING:	يغيروا
     IS_TRANS:	ygyrwA
        INDEX:	P10W31
      OFFSETS:	157-163
       TOKENS:	P10W39-P10W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[gay~ar_1]
   UNSPLITVOC:	(yugay~iruwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yu+gay~ir+uwA
        GLOSS:	they+change+we

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P10W32
      OFFSETS:	164-166
       TOKENS:	P10W40-P10W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	what/which

 INPUT STRING:	بأنفسهم
     IS_TRANS:	b>nfshm
        INDEX:	P10W33
      OFFSETS:	167-174
       TOKENS:	P10W41-P10W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(bi>anfushum)
          POS:	PREP+NOUN+POSS_PRON_3P
          VOC:	bi+>anfus+hum
        GLOSS:	with/by+selves+their

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P11W1
      OFFSETS:	0-2
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P11W2
      OFFSETS:	3-7
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN_NUM
          VOC:	wAHid
        GLOSS:	person/ individual

 INPUT STRING:	حر
     IS_TRANS:	Hr
        INDEX:	P11W3
      OFFSETS:	8-10
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hur~_1]
   UNSPLITVOC:	(Hur~)
          POS:	ADJ
          VOC:	Hur~
        GLOSS:	free

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P11W4
      OFFSETS:	11-13
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	اختاره
     IS_TRANS:	AxtArh
        INDEX:	P11W5
      OFFSETS:	14-20
       TOKENS:	P11W5-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AixtiyAr_1]
   UNSPLITVOC:	(AixtiyAruh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	AixtiyAr+uh
        GLOSS:	choice/selection/preference+its/his

 INPUT STRING:	المهمم
     IS_TRANS:	Almhmm
        INDEX:	P11W6
      OFFSETS:	21-27
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muhim~_2]
   UNSPLITVOC:	(Almuhim~)
          POS:	DET+NOUN
          VOC:	Al+muhim~
        GLOSS:	the+main thing/most important thing

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P11W7
      OFFSETS:	28-32
       TOKENS:	P11W8-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master+our

 INPUT STRING:	يوليها
     IS_TRANS:	ywlyhA
        INDEX:	P11W8
      OFFSETS:	33-39
       TOKENS:	P11W10-P11W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~ay_1]
   UNSPLITVOC:	(yiwal~iyhA)
          POS:	IV3MS+IV+IVSUFF_DO:3FS
          VOC:	yi+wal~iy+hA
        GLOSS:	he/it+put in charge/entrust/commission+it/them/her

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P11W9
      OFFSETS:	40-42
       TOKENS:	P11W12-P11W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(mano)
          POS:	REL_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	صلح
     IS_TRANS:	SlH
        INDEX:	P11W10
      OFFSETS:	43-46
       TOKENS:	P11W13-P11W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aSlaH_1]
   UNSPLITVOC:	(yuSliH)
          POS:	IV3MS+IV
          VOC:	yu+SliH
        GLOSS:	he/it+put in order/repair

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P11W11
      OFFSETS:	47-51
       TOKENS:	P11W14-P11W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+it/them/her

