 INPUT STRING:	اية
      OFFSETS:	16-18
       TOKENS:	P15W5-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	لانه
     IS_TRANS:	lAnh
        INDEX:	P15W5
      OFFSETS:	19-23
       TOKENS:	P15W6-P15W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(li<in~uh)
          POS:	PREP+SUB_CONJ+PRON_3MS
          VOC:	li+<in~+uh
        GLOSS:	for+that+it/he

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P15W6
      OFFSETS:	24-26
       TOKENS:	P15W9-P15W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	هيقدم
     IS_TRANS:	hyqdm
        INDEX:	P15W7
      OFFSETS:	27-32
       TOKENS:	P15W10-P15W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qad~im_1]
   UNSPLITVOC:	(Hayiqad~im)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+qad~im
        GLOSS:	will+he/it+advance/progress/present

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P15W8
      OFFSETS:	33-36
       TOKENS:	P15W12-P15W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(walA)
          POS:	CONJ+CONJ
          VOC:	wa+lA
        GLOSS:	and+nor, neither

 INPUT STRING:	هياخر
     IS_TRANS:	hyAxr
        INDEX:	P15W9
      OFFSETS:	37-42
       TOKENS:	P15W14-P15W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ax~ar_1]
   UNSPLITVOC:	(Hayi>ax~ar)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+>ax~ar
        GLOSS:	will+he/it+delay/regress

 INPUT STRING:	بل
     IS_TRANS:	bl
        INDEX:	P15W10
      OFFSETS:	43-45
       TOKENS:	P15W16-P15W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bal_1]
   UNSPLITVOC:	(bal)
          POS:	CONJ
          VOC:	bal
        GLOSS:	Rather, even, but, yet, however

 INPUT STRING:	بالعكس
     IS_TRANS:	bAlEks
        INDEX:	P15W11
      OFFSETS:	46-52
       TOKENS:	P15W17-P15W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eakos_1]
   UNSPLITVOC:	(biAlEakos)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+Eakos
        GLOSS:	with/by+the+opposite/contrary

 INPUT STRING:	هيقرفنا
     IS_TRANS:	hyqrfnA
        INDEX:	P15W12
      OFFSETS:	53-60
       TOKENS:	P15W19-P15W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaraf_1]
   UNSPLITVOC:	(HayiqorifnA)
          POS:	FUT_PART+IV3MS+IV+IVSUFF_DO:1P
          VOC:	Ha+yi+qorif+nA
        GLOSS:	will+he/it+arouse disgust+us

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P15W13
      OFFSETS:	61-65
       TOKENS:	P15W22-P15W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	us

 INPUT STRING:	لان
     IS_TRANS:	lAn
        INDEX:	P16W1
      OFFSETS:	1-4
       TOKENS:	P16W1-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(li<in~)
          POS:	PREP+SUB_CONJ
          VOC:	li+<in~
        GLOSS:	for/to+that

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P16W2
      OFFSETS:	5-8
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	مثلا
     IS_TRANS:	mvlA
        INDEX:	P16W3
      OFFSETS:	9-13
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maval_1]
   UNSPLITVOC:	(mavalAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	maval+AF
        GLOSS:	example/proverb/for example+[acc.indef.]

 INPUT STRING:	ف
     IS_TRANS:	f
        INDEX:	P16W4
      OFFSETS:	14-15
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	اولي
     IS_TRANS:	Awly
        INDEX:	P16W5
      OFFSETS:	16-20
       TOKENS:	P16W6-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aw~al_2]
   UNSPLITVOC:	(>uwlaY)
          POS:	ADJ_NUM
          VOC:	>uwlaY
        GLOSS:	first

 INPUT STRING:	ثانوي
     IS_TRANS:	vAnwy
        INDEX:	P16W6
      OFFSETS:	21-26
       TOKENS:	P16W7-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vAnawiy_1]
   UNSPLITVOC:	(vAnawiy)
          POS:	ADJ
          VOC:	vAnawiy
        GLOSS:	secondary

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P16W7
      OFFSETS:	27-30
       TOKENS:	P16W8-P16W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	بادخ
     IS_TRANS:	bAdx
        INDEX:	P16W8
      OFFSETS:	31-35
       TOKENS:	P16W9-P16W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(bAdx)
          POS:	TYPO
          VOC:	bAdx
        GLOSS:	nogloss

 INPUT STRING:	درس
     IS_TRANS:	drs
        INDEX:	P16W9
      OFFSETS:	36-39
       TOKENS:	P16W10-P16W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daros_1]
   UNSPLITVOC:	(daros)
          POS:	NOUN
          VOC:	daros
        GLOSS:	lesson/study/lessons/classes

 INPUT STRING:	ف
     IS_TRANS:	f
        INDEX:	P16W10
      OFFSETS:	40-41
       TOKENS:	P16W11-P16W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الرياضه
     IS_TRANS:	AlryADh
        INDEX:	P16W11
      OFFSETS:	42-49
       TOKENS:	P16W12-P16W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[riyADap_1]
   UNSPLITVOC:	(Alr~iyADap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+riyAD+ap
        GLOSS:	the+sport/physical exercise/mathematics+[fem.sg.]

 INPUT STRING:	والانجلش
     IS_TRANS:	wAlAnjl$
        INDEX:	P16W12
      OFFSETS:	50-58
       TOKENS:	P16W13-P16W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(wAlAnjl$)
          POS:	FOREIGN
          VOC:	wAlAnjl$
        GLOSS:	nogloss

 INPUT STRING:	والفرنساوي
     IS_TRANS:	wAlfrnsAwy
        INDEX:	P16W13
      OFFSETS:	59-69
       TOKENS:	P16W14-P16W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faranosAwiy_1]
   UNSPLITVOC:	(wiAlfaranosAwiy)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+faranosAwiy
        GLOSS:	and+the+French

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P16W14
      OFFSETS:	70-72
       TOKENS:	P16W16-P16W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	only

 INPUT STRING:	وعندي
     IS_TRANS:	wEndy
        INDEX:	P17W1
      OFFSETS:	1-6
       TOKENS:	P17W1-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Einod_1]
   UNSPLITVOC:	(wiEinodiy)
          POS:	CONJ+NOUN+POSS_PRON_1S
          VOC:	wi+Einod+iy
        GLOSS:	and+with/at+my

 INPUT STRING:	احياء
     IS_TRANS:	AHyA'
        INDEX:	P17W2
      OFFSETS:	7-12
       TOKENS:	P17W4-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hay~_2]
   UNSPLITVOC:	(>aHoyA')
          POS:	NOUN
          VOC:	>aHoyA'
        GLOSS:	creatures/living things/biology (Eilm >aHoyA')

 INPUT STRING:	وكيمياء
     IS_TRANS:	wkymyA'
        INDEX:	P17W3
      OFFSETS:	13-20
       TOKENS:	P17W5-P17W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kiymiyA'_1]
   UNSPLITVOC:	(wikiymiyA')
          POS:	CONJ+NOUN
          VOC:	wi+kiymiyA'
        GLOSS:	and+chemistry

 INPUT STRING:	وتاريخ
     IS_TRANS:	wtAryx
        INDEX:	P17W4
      OFFSETS:	21-27
       TOKENS:	P17W7-P17W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAriyx_1]
   UNSPLITVOC:	(witAriyx)
          POS:	CONJ+NOUN
          VOC:	wi+tAriyx
        GLOSS:	and+history/date

 INPUT STRING:	دول
     IS_TRANS:	dwl
        INDEX:	P17W5
      OFFSETS:	28-31
       TOKENS:	P17W9-P17W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawol_1]
   UNSPLITVOC:	(dawol)
          POS:	DEM_PRON_P
          VOC:	dawol
        GLOSS:	these

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P17W6
      OFFSETS:	32-34
       TOKENS:	P17W10-P17W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	باخد
     IS_TRANS:	bAxd
        INDEX:	P17W7
      OFFSETS:	35-39
       TOKENS:	P17W11-P17W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Axad_1]
   UNSPLITVOC:	(biAaxud)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+xud
        GLOSS:	[present-tense]+I+take

 INPUT STRING:	فيهم
     IS_TRANS:	fyhm
        INDEX:	P17W8
      OFFSETS:	40-44
       TOKENS:	P17W13-P17W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhum)
          POS:	PREP+PRON_3P
          VOC:	fiy+hum
        GLOSS:	in+them [pl.]

 INPUT STRING:	دروس
     IS_TRANS:	drws
        INDEX:	P17W9
      OFFSETS:	45-49
       TOKENS:	P17W15-P17W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daros_1]
   UNSPLITVOC:	(diruws)
          POS:	NOUN
          VOC:	diruws
        GLOSS:	lesson/study/lessons/classes

 INPUT STRING:	فطبعا
     IS_TRANS:	fTbEA
        INDEX:	P17W10
      OFFSETS:	50-55
       TOKENS:	P17W16-P17W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaboE_1]
   UNSPLITVOC:	(faTaboEAF)
          POS:	CONJ+NOUN+CASE_INDEF_ACC
          VOC:	fa+TaboE+AF
        GLOSS:	so/and+temperament/naturally/of course+[acc.indef.]

 INPUT STRING:	عايزة
     IS_TRANS:	EAyzp
        INDEX:	P17W11
      OFFSETS:	56-61
       TOKENS:	P17W18-P17W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyozap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	EAyoz+ap
        GLOSS:	wanting/desiring+[fem.sg.]

 INPUT STRING:	اعتمد
     IS_TRANS:	AEtmd
        INDEX:	P17W12
      OFFSETS:	62-67
       TOKENS:	P17W19-P17W19
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(AEtmd)
          POS:	NO_FUNC
          VOC:	AEtmd
        GLOSS:	nogloss

 INPUT STRING:	ع
     IS_TRANS:	E
        INDEX:	P17W13
      OFFSETS:	68-69
       TOKENS:	P17W20-P17W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	المدرسه
     IS_TRANS:	Almdrsh
        INDEX:	P17W14
      OFFSETS:	70-77
       TOKENS:	P17W21-P17W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madorasap_1]
   UNSPLITVOC:	(Almadorasap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+madoras+ap
        GLOSS:	the+school+[fem.sg.]

 INPUT STRING:	فيهم
     IS_TRANS:	fyhm
        INDEX:	P17W15
      OFFSETS:	78-82
       TOKENS:	P17W22-P17W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhum)
          POS:	PREP+PRON_3P
          VOC:	fiy+hum
        GLOSS:	in+them

 INPUT STRING:	فياتري
     IS_TRANS:	fyAtry
        INDEX:	P17W16
      OFFSETS:	83-89
       TOKENS:	P17W24-P17W24
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(fyAtry)
          POS:	NO_FUNC
          VOC:	fyAtry
        GLOSS:	nogloss

 INPUT STRING:	هنلحق
     IS_TRANS:	hnlHq
        INDEX:	P17W17
      OFFSETS:	90-95
       TOKENS:	P17W25-P17W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laHaq_1]
   UNSPLITVOC:	(HaniloHaq)
          POS:	FUT_PART+IV1P+IV
          VOC:	Ha+ni+loHaq
        GLOSS:	will+we+manage to

 INPUT STRING:	نخلصهم
     IS_TRANS:	nxlShm
        INDEX:	P17W18
      OFFSETS:	96-102
       TOKENS:	P17W27-P17W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aS_1]
   UNSPLITVOC:	(nixal~aShum)
          POS:	IV1P+IV+IVSUFF_DO:3P
          VOC:	ni+xal~aS+hum
        GLOSS:	we+finish+them

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P17W19
      OFFSETS:	103-105
       TOKENS:	P17W29-P17W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maE
        GLOSS:	something with

 INPUT STRING:	المدرسه
     IS_TRANS:	Almdrsh
        INDEX:	P17W20
      OFFSETS:	106-113
       TOKENS:	P17W30-P17W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madorasap_1]
   UNSPLITVOC:	(Almadorasap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+madoras+ap
        GLOSS:	the+school+[fem.sg.]

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P17W21
      OFFSETS:	114-117
       TOKENS:	P17W31-P17W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P17W22
      OFFSETS:	118-121
       TOKENS:	P17W32-P17W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P17W23
      OFFSETS:	122-126
       TOKENS:	P17W33-P17W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	Gloss:TBA

 INPUT STRING:	هذاكرهم
     IS_TRANS:	h*Akrhm
        INDEX:	P17W24
      OFFSETS:	127-134
       TOKENS:	P17W34-P17W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*Akir_1]
   UNSPLITVOC:	(HaAa*Akirhum)
          POS:	FUT_PART+IV1S+IV+IVSUFF_DO:3P
          VOC:	Ha+Aa+*Akir+hum
        GLOSS:	will+I+review/revise+them

 INPUT STRING:	لواحدي
     IS_TRANS:	lwAHdy
        INDEX:	P17W25
      OFFSETS:	135-141
       TOKENS:	P17W37-P17W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waHod_1]
   UNSPLITVOC:	(liwAHodiy)
          POS:	PREP+NOUN+POSS_PRON_1S
          VOC:	li+wAHod+iy
        GLOSS:	for/to+alone/only+my

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P17W26
      OFFSETS:	141-142
       TOKENS:	P17W40-P17W40
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P17W27
      OFFSETS:	142-143
       TOKENS:	P17W41-P17W41
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	وبعدين
     IS_TRANS:	wbEdyn
        INDEX:	P18W1
      OFFSETS:	1-7
       TOKENS:	P18W1-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEodayn_1]
   UNSPLITVOC:	(wibaEodayn)
          POS:	CONJ+ADV
          VOC:	wi+baEodayn
        GLOSS:	and+later/next

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P18W2
      OFFSETS:	8-10
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	FOCUS_PART
          VOC:	mA
        GLOSS:	indeed

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P18W3
      OFFSETS:	11-16
       TOKENS:	P18W4-P18W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P18W4
      OFFSETS:	17-21
       TOKENS:	P18W5-P18W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whom/whose/which

 INPUT STRING:	معانا
     IS_TRANS:	mEAnA
        INDEX:	P18W5
      OFFSETS:	22-27
       TOKENS:	P18W6-P18W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	maEa+nA
        GLOSS:	something with+our

 INPUT STRING:	ف
     IS_TRANS:	f
        INDEX:	P18W6
      OFFSETS:	28-29
       TOKENS:	P18W8-P18W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	المدرسه
     IS_TRANS:	Almdrsh
        INDEX:	P18W7
      OFFSETS:	30-37
       TOKENS:	P18W9-P18W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madorasap_1]
   UNSPLITVOC:	(Almadorasap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+madoras+ap
        GLOSS:	the+school+[fem.sg.]

 INPUT STRING:	هما
     IS_TRANS:	hmA
        INDEX:	P18W8
      OFFSETS:	38-41
       TOKENS:	P18W10-P18W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they

 INPUT STRING:	نفس
     IS_TRANS:	nfs
        INDEX:	P18W9
      OFFSETS:	42-45
       TOKENS:	P18W11-P18W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafos)
          POS:	NOUN
          VOC:	nafos
        GLOSS:	same/self/selves

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P18W10
      OFFSETS:	46-51
       TOKENS:	P18W12-P18W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P18W11
      OFFSETS:	52-56
       TOKENS:	P18W13-P18W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whom/whose/which

 INPUT STRING:	معانا
     IS_TRANS:	mEAnA
        INDEX:	P18W12
      OFFSETS:	57-62
       TOKENS:	P18W14-P18W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	maEa+nA
        GLOSS:	something with+our

 INPUT STRING:	ف
     IS_TRANS:	f
        INDEX:	P18W13
      OFFSETS:	63-64
       TOKENS:	P18W16-P18W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الدرس
     IS_TRANS:	Aldrs
        INDEX:	P18W14
      OFFSETS:	65-70
       TOKENS:	P18W17-P18W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daros_1]
   UNSPLITVOC:	(Ald~aros)
          POS:	DET+NOUN
          VOC:	Al+daros
        GLOSS:	the+lesson/study/lessons/classes

 INPUT STRING:	يبقي
     IS_TRANS:	ybqy
        INDEX:	P18W15
      OFFSETS:	71-75
       TOKENS:	P18W18-P18W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baqiy-a_1]
