 INPUT STRING:	تعرض

 INPUT STRING:	طرة
     IS_TRANS:	Trp
        INDEX:	P16W7
      OFFSETS:	32-35
       TOKENS:	P16W7-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tur~ap_1]
   UNSPLITVOC:	(Tur~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Tur~+ap
        GLOSS:	forelock/knotted cloth/forelocks/knotted cloth+[fem.sg.]

 INPUT STRING:	ومستشفيات
     IS_TRANS:	wmst$fyAt
        INDEX:	P16W8
      OFFSETS:	36-45
       TOKENS:	P16W8-P16W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musota$ofaY_1]
   UNSPLITVOC:	(wimusota$ofayAt)
          POS:	CONJ+NOUN+NSUFF_FEM_PL
          VOC:	wi+musota$ofay+At
        GLOSS:	and+hospital+[fem.pl.]

 INPUT STRING:	7
     IS_TRANS:	7
        INDEX:	P16W9
      OFFSETS:	46-47
       TOKENS:	P16W10-P16W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(7)
          POS:	NOUN_NUM
          VOC:	7
        GLOSS:	7

 INPUT STRING:	نجوووووم
     IS_TRANS:	njwwwwwm
        INDEX:	P16W10
      OFFSETS:	48-56
       TOKENS:	P16W11-P16W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nijm_1]
   UNSPLITVOC:	(njuwm)
          POS:	NOUN
          VOC:	njuwm
        GLOSS:	stars

 INPUT STRING:	ويحسب
     IS_TRANS:	wyHsb
        INDEX:	P16W11
      OFFSETS:	57-62
       TOKENS:	P16W12-P16W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hasab_1]
   UNSPLITVOC:	(wiyiHosib)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+Hosib
        GLOSS:	and+he/it+count

 INPUT STRING:	لهم
     IS_TRANS:	lhm
        INDEX:	P16W12
      OFFSETS:	63-66
       TOKENS:	P16W14-P16W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luhum)
          POS:	PREP+PRON_3P
          VOC:	li+hum
        GLOSS:	to+they

 INPUT STRING:	الف
     IS_TRANS:	Alf
        INDEX:	P16W13
      OFFSETS:	67-70
       TOKENS:	P16W16-P16W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alof_1]
   UNSPLITVOC:	(Alof)
          POS:	NOUN_NUM
          VOC:	Alof
        GLOSS:	thousand

 INPUT STRING:	حساب
     IS_TRANS:	HsAb
        INDEX:	P16W14
      OFFSETS:	71-75
       TOKENS:	P16W17-P16W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HisAb_1]
   UNSPLITVOC:	(HisAb)
          POS:	NOUN
          VOC:	HisAb
        GLOSS:	calculation/appraisal

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P16W15
      OFFSETS:	76-78
       TOKENS:	P16W18-P16W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P16W16
      OFFSETS:	79-83
       TOKENS:	P16W19-P16W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	حامينهم
     IS_TRANS:	HAmynhm
        INDEX:	P16W17
      OFFSETS:	84-91
       TOKENS:	P16W20-P16W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HAmiy_1]
   UNSPLITVOC:	(HAmiynhum)
          POS:	ADJ+NSUFF_MASC_PL+PRON_3P
          VOC:	HAm+iyn+hum
        GLOSS:	protecting+two+they

 INPUT STRING:	طول
     IS_TRANS:	Twl
        INDEX:	P16W18
      OFFSETS:	92-95
       TOKENS:	P16W22-P16W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tuwl_1]
   UNSPLITVOC:	(Tuwl)
          POS:	NOUN
          VOC:	Tuwl
        GLOSS:	length/height/lengths/heights

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P16W19
      OFFSETS:	96-98
       TOKENS:	P16W23-P16W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that, whether

 INPUT STRING:	ايديهم
     IS_TRANS:	Aydyhm
        INDEX:	P16W20
      OFFSETS:	99-105
       TOKENS:	P16W24-P16W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aiyd_1]
   UNSPLITVOC:	(Aiydiyhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	Aiydiy+hum
        GLOSS:	hand+their

 INPUT STRING:	ستلوث
     IS_TRANS:	stlwv
        INDEX:	P16W21
      OFFSETS:	106-111
       TOKENS:	P16W26-P16W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[law~iv_1]
   UNSPLITVOC:	(satulaw~av)
          POS:	FUT_PART+IV3FS+IV_PASS
          VOC:	sa+tu+law~av
        GLOSS:	will+she/it+be dirtied

 INPUT STRING:	بدماء
     IS_TRANS:	bdmA'
        INDEX:	P16W22
      OFFSETS:	112-117
       TOKENS:	P16W28-P16W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dimA'_1]
   UNSPLITVOC:	(bidimA')
          POS:	PREP+NOUN
          VOC:	bi+dimA'
        GLOSS:	with/by+blood

 INPUT STRING:	الاحرار
     IS_TRANS:	AlAHrAr
        INDEX:	P16W23
      OFFSETS:	118-125
       TOKENS:	P16W30-P16W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hur~_1]
   UNSPLITVOC:	(AlAHorAr)
          POS:	DET+ADJ
          VOC:	Al+AHorAr
        GLOSS:	the+free/independent

 INPUT STRING:	ام
     IS_TRANS:	Am
        INDEX:	P17W1
      OFFSETS:	0-2
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>amo_1]
   UNSPLITVOC:	(>amo)
          POS:	CONJ
          VOC:	>amo
        GLOSS:	or

 INPUT STRING:	تحسبونهم
     IS_TRANS:	tHsbwnhm
        INDEX:	P17W2
      OFFSETS:	3-11
       TOKENS:	P17W2-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hasab_1]
   UNSPLITVOC:	(tiHsibuwnhum)
          POS:	IV2P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:3P
          VOC:	ti+Hsib+uwn+hum
        GLOSS:	you+consider+you+they

 INPUT STRING:	سيتركونكم
     IS_TRANS:	sytrkwnkm
        INDEX:	P17W3
      OFFSETS:	12-21
       TOKENS:	P17W4-P17W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tarak-u_1]
   UNSPLITVOC:	(sayatorukuwnakum)
          POS:	FUT_PART+IV3MP+IV+IVSUFF_SUBJ:3MP_MOOD:I+IVSUFF_DO:2MP
          VOC:	sa+ya+toruk+uwna+kum
        GLOSS:	will+they (people)+leave/quit+[masc.pl.]+you [masc.pl.]

 INPUT STRING:	تحبسونهم
     IS_TRANS:	tHbswnhm
        INDEX:	P17W4
      OFFSETS:	22-30
       TOKENS:	P17W7-P17W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Habas_1]
   UNSPLITVOC:	(taHbisuwnhum)
          POS:	IV2P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:3P
          VOC:	ta+Hbis+uwn+hum
        GLOSS:	you+lock+you+them

 INPUT STRING:	وتعيشوا
     IS_TRANS:	wtEy$wA
        INDEX:	P17W5
      OFFSETS:	31-38
       TOKENS:	P17W9-P17W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EA$_1]
   UNSPLITVOC:	(witiEiy$uwA)
          POS:	SUB_CONJ+IV2P+IV+IVSUFF_SUBJ:P
          VOC:	wi+ti+Eiy$+uwA
        GLOSS:	while+you+live/experience/long live!/be lived/be experienced+we

 INPUT STRING:	انتم
     IS_TRANS:	Antm
        INDEX:	P17W6
      OFFSETS:	39-43
       TOKENS:	P17W11-P17W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotum_1]
   UNSPLITVOC:	(Ainotum)
          POS:	PRON_2P
          VOC:	Ainotum
        GLOSS:	you [pl.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P17W7
      OFFSETS:	44-46
       TOKENS:	P17W12-P17W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P17W8
      OFFSETS:	47-50
       TOKENS:	P17W13-P17W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	جديدة
     IS_TRANS:	jdydp
        INDEX:	P17W9
      OFFSETS:	51-56
       TOKENS:	P17W14-P17W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jidiyd_1]
   UNSPLITVOC:	(jidiydap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	jidiyd+ap
        GLOSS:	new+[fem.sg.]

 INPUT STRING:	قويه
     IS_TRANS:	qwyh
        INDEX:	P17W10
      OFFSETS:	57-61
       TOKENS:	P17W15-P17W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(qawiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	qawiy~+ap
        GLOSS:	strong/powerful+[fem.sg.]

 INPUT STRING:	بل
     IS_TRANS:	bl
        INDEX:	P18W1
      OFFSETS:	0-2
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bal_1]
   UNSPLITVOC:	(bal)
          POS:	CONJ
          VOC:	bal
        GLOSS:	Rather, even, but, yet, however

 INPUT STRING:	سيهدون
     IS_TRANS:	syhdwn
        INDEX:	P18W2
      OFFSETS:	3-9
       TOKENS:	P18W2-P18W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ahodaY_1]
   UNSPLITVOC:	(sayuhoduwna)
          POS:	FUT_PART+IV3MP+IV+IVSUFF_SUBJ:MP_MOOD:I
          VOC:	sa+yu+hod+uwna
        GLOSS:	will+they (people)+convey/present/lead+[masc.pl.]

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P18W3
      OFFSETS:	10-12
       TOKENS:	P18W4-P18W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	شئ
     IS_TRANS:	$}
        INDEX:	P18W4
      OFFSETS:	13-15
       TOKENS:	P18W5-P18W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$ayo'_1]
   UNSPLITVOC:	($a})
          POS:	NOUN
          VOC:	$a}
        GLOSS:	something/thing

 INPUT STRING:	حتي
     IS_TRANS:	Hty
        INDEX:	P18W5
      OFFSETS:	16-19
       TOKENS:	P18W6-P18W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	PREP
          VOC:	Hat~aY
        GLOSS:	until/up to

 INPUT STRING:	يخرجوا
     IS_TRANS:	yxrjwA
        INDEX:	P18W6
      OFFSETS:	20-26
       TOKENS:	P18W7-P18W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaraj_1]
   UNSPLITVOC:	(yuxorujuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yu+xoruj+uwA
        GLOSS:	they+oust/remove+we

 INPUT STRING:	مرة
     IS_TRANS:	mrp
        INDEX:	P18W7
      OFFSETS:	27-30
       TOKENS:	P18W8-P18W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mar~ap_1]
   UNSPLITVOC:	(mar~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mar~+ap
        GLOSS:	occasion/time/moment/occasions/times/moments+[fem.sg.]

 INPUT STRING:	ثانيه
     IS_TRANS:	vAnyh
        INDEX:	P18W8
      OFFSETS:	31-36
       TOKENS:	P18W9-P18W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[vAniy_1]
   UNSPLITVOC:	(vAniyap)
          POS:	ADJ_NUM+NSUFF_FEM_SG
          VOC:	vAniy+ap
        GLOSS:	second/next+[fem.sg.]

 INPUT STRING:	ليتمتعوا
     IS_TRANS:	lytmtEwA
        INDEX:	P18W9
      OFFSETS:	37-45
       TOKENS:	P18W10-P18W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tamat~aE_1]
   UNSPLITVOC:	(liyatamat~aEuwA)
          POS:	PREP+IV3MP+IV+IVSUFF_SUBJ:MP_MOOD:SJ
          VOC:	li+ya+tamat~aE+uwA
        GLOSS:	for+them (people) to+enjoy+[masc.pl.]

 INPUT STRING:	بأموالهم
     IS_TRANS:	b>mwAlhm
        INDEX:	P18W10
      OFFSETS:	46-54
       TOKENS:	P18W12-P18W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mAl_1]
   UNSPLITVOC:	(bi>amwAlhum)
          POS:	PREP+NOUN+POSS_PRON_3P
          VOC:	bi+>amwAl+hum
        GLOSS:	with/by+money+their

 INPUT STRING:	صدق
     IS_TRANS:	Sdq
        INDEX:	P19W1
      OFFSETS:	0-3
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sadaq_1]
   UNSPLITVOC:	(Sadaq)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Sadaq+(null)
        GLOSS:	be sincere/tell the truth/be correct+he/it

 INPUT STRING:	الرسول
     IS_TRANS:	Alrswl
        INDEX:	P19W2
      OFFSETS:	4-10
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rasuwl_1]
   UNSPLITVOC:	(Alr~asuwl)
          POS:	DET+NOUN
          VOC:	Al+rasuwl
        GLOSS:	the+messenger (Muhammad)

 INPUT STRING:	الكريم
     IS_TRANS:	Alkrym
        INDEX:	P19W3
      OFFSETS:	11-17
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kariym_1]
   UNSPLITVOC:	(Alkariym)
          POS:	DET+ADJ
          VOC:	Al+kariym
        GLOSS:	the+distinguished/generous/noble/precious

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P19W4
      OFFSETS:	18-20
       TOKENS:	P19W4-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~a_1]
   UNSPLITVOC:	(<in~a)
          POS:	PSEUDO_VERB
          VOC:	<in~a
        GLOSS:	indeed

 INPUT STRING:	ترك
     IS_TRANS:	trk
        INDEX:	P19W5
      OFFSETS:	21-24
       TOKENS:	P19W5-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tarok_1]
   UNSPLITVOC:	(tarok)
          POS:	NOUN
          VOC:	tarok
        GLOSS:	leaving/omission

 INPUT STRING:	السارقين
     IS_TRANS:	AlsArqyn
        INDEX:	P19W6
      OFFSETS:	25-33
       TOKENS:	P19W6-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAriq_1]
   UNSPLITVOC:	(Als~Ariqiyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+sAriq+iyn
        GLOSS:	the+thieves+[masc.pl.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P19W7
      OFFSETS:	34-36
       TOKENS:	P19W7-P19W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الاغنياء
     IS_TRANS:	AlAgnyA'
        INDEX:	P19W8
      OFFSETS:	37-45
       TOKENS:	P19W8-P19W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ganiy_1]
   UNSPLITVOC:	(Al>agoniyA')
          POS:	DET+ADJ
          VOC:	Al+>agoniyA'
        GLOSS:	the+rich/wealthy

 INPUT STRING:	هلكنا
     IS_TRANS:	hlknA
        INDEX:	P19W9
      OFFSETS:	46-51
       TOKENS:	P19W9-P19W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[halak_1]
   UNSPLITVOC:	(halaknA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	halak+nA
        GLOSS:	be destroyed+we [verb]

 INPUT STRING:	نحن
     IS_TRANS:	nHn
        INDEX:	P19W10
      OFFSETS:	52-55
       TOKENS:	P19W10-P19W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naHnu_1]
   UNSPLITVOC:	(naHonu)
          POS:	PRON_1P
          VOC:	naHonu
        GLOSS:	we

 INPUT STRING:	وهما
     IS_TRANS:	whmA
        INDEX:	P20W1
      OFFSETS:	0-4
       TOKENS:	P20W1-P20W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(wihum~a)
          POS:	CONJ+PRON_3P
          VOC:	wi+hum~a
        GLOSS:	and+they

 INPUT STRING:	دول
     IS_TRANS:	dwl
        INDEX:	P20W2
      OFFSETS:	5-8
       TOKENS:	P20W3-P20W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawol_1]
   UNSPLITVOC:	(dawol)
          POS:	DEM_PRON_P
          VOC:	dawol
        GLOSS:	those

 INPUT STRING:	هماهم
     IS_TRANS:	hmAhm
        INDEX:	P20W3
      OFFSETS:	9-14
       TOKENS:	P20W4-P20W4
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(hmAhm)
          POS:	NO_FUNC
          VOC:	hmAhm
        GLOSS:	nogloss

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P20W4
      OFFSETS:	15-19
       TOKENS:	P20W5-P20W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who

 INPUT STRING:	قتلوا
     IS_TRANS:	qtlwA
        INDEX:	P20W5
      OFFSETS:	20-25
       TOKENS:	P20W6-P20W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qatal_1]
   UNSPLITVOC:	(qataluwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	qatal+uwA
        GLOSS:	kill+they

 INPUT STRING:	الشيخ
     IS_TRANS:	Al$yx
        INDEX:	P20W6
      OFFSETS:	26-31
       TOKENS:	P20W7-P20W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ayx_1]
   UNSPLITVOC:	(Al$~ayx)
          POS:	DET+NOUN
          VOC:	Al+$ayx
        GLOSS:	the+Sheikh

 INPUT STRING:	عماد
     IS_TRANS:	EmAd
        INDEX:	P20W7
      OFFSETS:	32-36
       TOKENS:	P20W8-P20W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EimAd_1]
   UNSPLITVOC:	(EimAd)
          POS:	NOUN_PROP
          VOC:	EimAd
        GLOSS:	Imad

 INPUT STRING:	عفت
     IS_TRANS:	Eft
        INDEX:	P20W8
      OFFSETS:	37-40
       TOKENS:	P20W9-P20W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eif~at_1]
   UNSPLITVOC:	(Eif~at)
          POS:	NOUN_PROP
          VOC:	Eif~at
        GLOSS:	Ifat

 INPUT STRING:	وغيره
     IS_TRANS:	wgyrh
        INDEX:	P20W9
      OFFSETS:	41-46
       TOKENS:	P20W10-P20W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gayor_1]
   UNSPLITVOC:	(wigayoruh)
          POS:	CONJ+NOUN+POSS_PRON_3MS
          VOC:	wi+gayor+uh
        GLOSS:	and+not/other+his/its

 INPUT STRING:	اكيد
     IS_TRANS:	Akyd
        INDEX:	P20W10
      OFFSETS:	47-51
       TOKENS:	P20W13-P20W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aakiyd_1]
   UNSPLITVOC:	(Akiyd)
          POS:	ADJ
          VOC:	Akiyd
        GLOSS:	certain

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P20W11
      OFFSETS:	51-52
       TOKENS:	P20W14-P20W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P20W12
      OFFSETS:	52-53
       TOKENS:	P20W15-P20W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P21W1
      OFFSETS:	0-2
       TOKENS:	P21W1-P21W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	بكرة
     IS_TRANS:	bkrp
        INDEX:	P21W2
      OFFSETS:	3-7
       TOKENS:	P21W2-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bukorap_1]
   UNSPLITVOC:	(bukorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bukor+ap
        GLOSS:	tomorrow+[fem.sg.]

 INPUT STRING:	تلاقيها
     IS_TRANS:	tlAqyhA
        INDEX:	P21W3
      OFFSETS:	8-15
       TOKENS:	P21W3-P21W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAqaY_1]
   UNSPLITVOC:	(tilAqiyhA)
          POS:	IV2MS+IV+IVSUFF_DO:3FS
          VOC:	ti+lAqiy+hA
        GLOSS:	you+meet/encounter/be met/be encountered+it/them/her

 INPUT STRING:	متلزقة
     IS_TRANS:	mtlzqp
        INDEX:	P21W4
      OFFSETS:	16-22
       TOKENS:	P21W5-P21W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mitolaz~aq_1]
   UNSPLITVOC:	(mitolaz~aqap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mitolaz~aq+ap
        GLOSS:	stuck+[fem.sg.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P21W5
      OFFSETS:	23-25
       TOKENS:	P21W6-P21W6
