 INPUT STRING:	اخواتي
     IS_TRANS:	mtxfy$
        INDEX:	P19W1
      OFFSETS:	0-6
       TOKENS:	P19W1-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaf~_1]
   UNSPLITVOC:	(mA_tixif~iy$)
          POS:	NEG_PART+IV2FS+IV+IVSUFF_SUBJ:2FS+NEG_PART
          VOC:	mA+ti+xif~+iy+$
        GLOSS:	not+you+be afraid+you+not

 INPUT STRING:	وتوكلى
     IS_TRANS:	wtwklY
        INDEX:	P19W2
      OFFSETS:	7-13
       TOKENS:	P19W4-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawak~al_1]
   UNSPLITVOC:	(witawak~aliy)
          POS:	CONJ+CV+CVSUFF_SUBJ:2FS
          VOC:	wi+tawak~al+iy
        GLOSS:	and+depend+you

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P19W3
      OFFSETS:	14-17
       TOKENS:	P19W6-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P19W4
      OFFSETS:	18-22
       TOKENS:	P19W7-P19W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN
          VOC:	All~ah
        GLOSS:	god

 INPUT STRING:	ومتهيالى
     IS_TRANS:	wmthyAlY
        INDEX:	P19W5
      OFFSETS:	23-31
       TOKENS:	P19W8-P19W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mitohay~a>_1]
   UNSPLITVOC:	(wimitohay~a>_liy)
          POS:	CONJ+ADJ+PREP+PRON_1S
          VOC:	wi+mitohay~a>+li+iy
        GLOSS:	and+think/guess+to/for+I

 INPUT STRING:	هياجلو
     IS_TRANS:	hyAjlw
        INDEX:	P19W6
      OFFSETS:	32-38
       TOKENS:	P19W12-P19W12
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(hyAjlw)
          POS:	NO_FUNC
          VOC:	hyAjlw
        GLOSS:	nogloss

 INPUT STRING:	المدارس
     IS_TRANS:	AlmdArs
        INDEX:	P19W7
      OFFSETS:	39-46
       TOKENS:	P19W13-P19W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madorasap_1]
   UNSPLITVOC:	(AlmadAris)
          POS:	DET+NOUN
          VOC:	Al+madAris
        GLOSS:	the+school

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P20W1
      OFFSETS:	0-4
       TOKENS:	P20W1-P20W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	عندنا
     IS_TRANS:	EndnA
        INDEX:	P20W2
      OFFSETS:	5-10
       TOKENS:	P20W2-P20W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(EanodinA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	Eanod+nA
        GLOSS:	at+our

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P20W3
      OFFSETS:	11-13
       TOKENS:	P20W4-P20W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	بورسعيد
     IS_TRANS:	bwrsEyd
        INDEX:	P20W4
      OFFSETS:	14-21
       TOKENS:	P20W5-P20W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[buwrsaEiyd_1]
   UNSPLITVOC:	(buwrsaEiyd)
          POS:	NOUN_PROP
          VOC:	buwrsaEiyd
        GLOSS:	Port Said

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P20W5
      OFFSETS:	22-24
       TOKENS:	P20W6-P20W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	سنه
     IS_TRANS:	snh
        INDEX:	P20W6
      OFFSETS:	25-28
       TOKENS:	P20W7-P20W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(sanap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	san+ap
        GLOSS:	year/years+[fem.sg.]

 INPUT STRING:	والى
     IS_TRANS:	wAlY
        INDEX:	P20W7
      OFFSETS:	29-33
       TOKENS:	P20W8-P20W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ilaY_1]
   UNSPLITVOC:	(wa<ilaY)
          POS:	CONJ+PREP
          VOC:	wa+<ilaY
        GLOSS:	and+to/towards

 INPUT STRING:	الان
     IS_TRANS:	AlAn
        INDEX:	P20W8
      OFFSETS:	34-38
       TOKENS:	P20W10-P20W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|n_1]
   UNSPLITVOC:	(Al|n)
          POS:	DET+NOUN
          VOC:	Al+|n
        GLOSS:	the+time/moment

 INPUT STRING:	حالات
     IS_TRANS:	HAlAt
        INDEX:	P20W9
      OFFSETS:	39-44
       TOKENS:	P20W11-P20W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAlap_1]
   UNSPLITVOC:	(HAlAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	HAl+At
        GLOSS:	cases+[fem.pl.]

 INPUT STRING:	اختطاف
     IS_TRANS:	AxtTAf
        INDEX:	P20W10
      OFFSETS:	45-51
       TOKENS:	P20W12-P20W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AixotiTAf_2]
   UNSPLITVOC:	(AixotiTAf)
          POS:	NOUN
          VOC:	AixotiTAf
        GLOSS:	abduction/kidnapping

 INPUT STRING:	وقتل
     IS_TRANS:	wqtl
        INDEX:	P20W11
      OFFSETS:	52-56
       TOKENS:	P20W13-P20W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qatol_1]
   UNSPLITVOC:	(wiqatol)
          POS:	CONJ+NOUN
          VOC:	wi+qatol
        GLOSS:	and+murder/killing

 INPUT STRING:	المختطفين
     IS_TRANS:	AlmxtTfyn
        INDEX:	P20W12
      OFFSETS:	57-66
       TOKENS:	P20W15-P20W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muxotaTaf_1]
   UNSPLITVOC:	(AlmuxotaTafiyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+muxotaTaf+iyn
        GLOSS:	the+kidnapped+[masc.pl.]

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P20W13
      OFFSETS:	67-71
       TOKENS:	P20W16-P20W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+matter/affair

 INPUT STRING:	الاهالى
     IS_TRANS:	AlAhAlY
        INDEX:	P20W14
      OFFSETS:	72-79
       TOKENS:	P20W18-P20W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ahol_1]
   UNSPLITVOC:	(AlAhAliy)
          POS:	DET+NOUN
          VOC:	Al+AhAliy
        GLOSS:	the+family/people/people/families/folk/families/indigenous people

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P20W15
      OFFSETS:	80-82
       TOKENS:	P20W19-P20W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	معاها
     IS_TRANS:	mEAhA
        INDEX:	P20W16
      OFFSETS:	83-88
       TOKENS:	P20W20-P20W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	maEa+hA
        GLOSS:	some thing with+its/their/her

 INPUT STRING:	الفديه
     IS_TRANS:	Alfdyh
        INDEX:	P20W17
      OFFSETS:	89-95
       TOKENS:	P20W22-P20W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fidoyap_1]
   UNSPLITVOC:	(Alfidoyap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+fidoy+ap
        GLOSS:	the+ransom/ransoms+[fem.sg.]

 INPUT STRING:	وفى
     IS_TRANS:	wfY
        INDEX:	P21W1
      OFFSETS:	0-3
       TOKENS:	P21W1-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(wafiy)
          POS:	CONJ+PREP
          VOC:	wa+fiy
        GLOSS:	and+in

 INPUT STRING:	الغالب
     IS_TRANS:	AlgAlb
        INDEX:	P21W2
      OFFSETS:	4-10
       TOKENS:	P21W3-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gAlib_1]
   UNSPLITVOC:	(AlgAlib)
          POS:	DET+ADJ
          VOC:	Al+gAlib
        GLOSS:	the+majority/predominant/generally/commonly/typically

 INPUT STRING:	بيبقى
     IS_TRANS:	bybqY
        INDEX:	P21W3
      OFFSETS:	11-16
       TOKENS:	P21W4-P21W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(biyuboqaY)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yu+boqaY
        GLOSS:	[present-tense]+he/it+become

 INPUT STRING:	اولاد
     IS_TRANS:	AwlAd
        INDEX:	P21W4
      OFFSETS:	17-22
       TOKENS:	P21W6-P21W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[walad_1]
   UNSPLITVOC:	(AwolAd)
          POS:	NOUN
          VOC:	AwolAd
        GLOSS:	child/son

 INPUT STRING:	تجار
     IS_TRANS:	tjAr
        INDEX:	P21W5
      OFFSETS:	23-27
       TOKENS:	P21W7-P21W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAjir_1]
   UNSPLITVOC:	(tuj~Ar)
          POS:	NOUN
          VOC:	tuj~Ar
        GLOSS:	merchants

 INPUT STRING:	الو
     IS_TRANS:	Alw
        INDEX:	P21W6
      OFFSETS:	28-31
       TOKENS:	P21W8-P21W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAluwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	qAl+uwA
        GLOSS:	said+they[pl.]

 INPUT STRING:	ناس
     IS_TRANS:	nAs
        INDEX:	P21W7
      OFFSETS:	32-35
       TOKENS:	P21W9-P21W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(nAs)
          POS:	NOUN
          VOC:	nAs
        GLOSS:	people

 INPUT STRING:	معروفه
     IS_TRANS:	mErwfh
        INDEX:	P21W8
      OFFSETS:	36-42
       TOKENS:	P21W10-P21W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEoruwf_1]
   UNSPLITVOC:	(maEoruwfap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	maEoruwf+ap
        GLOSS:	known/well-known+[fem.sg.]

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P21W9
      OFFSETS:	43-45
       TOKENS:	P21W11-P21W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	بنت
     IS_TRANS:	bnt
        INDEX:	P21W10
      OFFSETS:	46-49
       TOKENS:	P21W12-P21W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(binot)
          POS:	NOUN
          VOC:	binot
        GLOSS:	daughter/girl/daughters/girls

 INPUT STRING:	لابسه
     IS_TRANS:	lAbsh
        INDEX:	P21W11
      OFFSETS:	50-55
       TOKENS:	P21W13-P21W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAbis_1]
   UNSPLITVOC:	(lAbosap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	lAbos+ap
        GLOSS:	wearing+[fem.sg.]

 INPUT STRING:	دهب
     IS_TRANS:	dhb
        INDEX:	P21W12
      OFFSETS:	56-59
       TOKENS:	P21W14-P21W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dahab_1]
   UNSPLITVOC:	(dahab)
          POS:	NOUN
          VOC:	dahab
        GLOSS:	gold

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P21W13
      OFFSETS:	60-62
       TOKENS:	P21W15-P21W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	كدا
     IS_TRANS:	kdA
        INDEX:	P21W14
      OFFSETS:	63-66
       TOKENS:	P21W16-P21W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidA_1]
   UNSPLITVOC:	(kidA)
          POS:	NOUN
          VOC:	kidA
        GLOSS:	this

 INPUT STRING:	لسه
     IS_TRANS:	lsh
        INDEX:	P22W1
      OFFSETS:	0-3
       TOKENS:	P22W1-P22W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	still

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P22W2
      OFFSETS:	4-6
       TOKENS:	P22W2-P22W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	يومين
     IS_TRANS:	ywmyn
        INDEX:	P22W3
      OFFSETS:	7-12
       TOKENS:	P22W3-P22W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yuwmayn)
          POS:	NOUN+NSUFF_MASC_DU
          VOC:	yuwm+ayn
        GLOSS:	today/some day/ever/days+two

 INPUT STRING:	ابن
     IS_TRANS:	Abn
        INDEX:	P22W4
      OFFSETS:	13-16
       TOKENS:	P22W4-P22W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aibon_1]
   UNSPLITVOC:	(Aibon)
          POS:	NOUN
          VOC:	Aibon
        GLOSS:	son

 INPUT STRING:	تاجر
     IS_TRANS:	tAjr
        INDEX:	P22W5
      OFFSETS:	17-21
       TOKENS:	P22W5-P22W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAjir_1]
   UNSPLITVOC:	(tAjir)
          POS:	NOUN
          VOC:	tAjir
        GLOSS:	merchant/businessman

 INPUT STRING:	مقتول
     IS_TRANS:	mqtwl
        INDEX:	P22W6
      OFFSETS:	22-27
       TOKENS:	P22W6-P22W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maqotuwl_1]
   UNSPLITVOC:	(maqotuwl)
          POS:	ADJ
          VOC:	maqotuwl
        GLOSS:	dead

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P22W7
      OFFSETS:	28-32
       TOKENS:	P22W7-P22W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+matter/affair

 INPUT STRING:	مدفعش
     IS_TRANS:	mdfE$
        INDEX:	P22W8
      OFFSETS:	33-38
       TOKENS:	P22W9-P22W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dafaE_1]
   UNSPLITVOC:	(mA_dafaE$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:3MS+NEG_PART
          VOC:	mA+dafaE+(null)+$
        GLOSS:	not+push/motivate/pay/be pushed/be motivated/be paid+he/it+not

 INPUT STRING:	الفديه
     IS_TRANS:	Alfdyh
        INDEX:	P22W9
      OFFSETS:	39-45
       TOKENS:	P22W12-P22W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fidoyap_1]
   UNSPLITVOC:	(Alfidoyap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+fidoy+ap
        GLOSS:	the+ransom/ransoms+[fem.sg.]

 INPUT STRING:	المليون
     IS_TRANS:	Almlywn
        INDEX:	P22W10
      OFFSETS:	46-53
       TOKENS:	P22W13-P22W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miloyawon_1]
   UNSPLITVOC:	(Almiloyawon)
          POS:	DET+NOUN_NUM
          VOC:	Al+miloyawon
        GLOSS:	the+million

 INPUT STRING:	جنيه
     IS_TRANS:	jnyh
        INDEX:	P22W11
      OFFSETS:	54-58
       TOKENS:	P22W14-P22W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jinayh_1]
   UNSPLITVOC:	(jinayh)
          POS:	NOUN
          VOC:	jinayh
        GLOSS:	pound

 INPUT STRING:	وسابو
     IS_TRANS:	wsAbw
        INDEX:	P23W1
      OFFSETS:	0-5
       TOKENS:	P23W1-P23W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wsAbw)
          POS:	NO_FUNC
          VOC:	wsAbw
        GLOSS:	nogloss

 INPUT STRING:	ابنه
     IS_TRANS:	Abnh
        INDEX:	P23W2
      OFFSETS:	6-10
       TOKENS:	P23W2-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{ibon_1]
   UNSPLITVOC:	({ibonhu)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	{ibon+hu
        GLOSS:	son/junior (Jr.)+its/his

 INPUT STRING:	ع
     IS_TRANS:	E
        INDEX:	P23W3
      OFFSETS:	11-12
       TOKENS:	P23W4-P23W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الدائرى
     IS_TRANS:	AldA}rY
        INDEX:	P23W4
      OFFSETS:	13-20
       TOKENS:	P23W5-P23W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dA}iriy_1]
   UNSPLITVOC:	(Ald~A}iriy)
          POS:	DET+ADJ
          VOC:	Al+dA}iriy
        GLOSS:	the+round

 INPUT STRING:	مدبوح
     IS_TRANS:	mdbwH
        INDEX:	P23W5
      OFFSETS:	21-26
       TOKENS:	P23W6-P23W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madobuwH_1]
   UNSPLITVOC:	(madobuwH)
          POS:	ADJ.VN
          VOC:	madobuwH
        GLOSS:	slaughtered

 INPUT STRING:	واتصلو
     IS_TRANS:	wAtSlw
        INDEX:	P23W6
      OFFSETS:	27-33
       TOKENS:	P23W7-P23W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ait~aSal_1]
   UNSPLITVOC:	(wiAit~aSaluwA)
          POS:	CONJ+PV+PVSUFF_SUBJ:3P
          VOC:	wi+Ait~aSal+uwA
        GLOSS:	and+call+they

 INPUT STRING:	بيه
     IS_TRANS:	byh
        INDEX:	P23W7
      OFFSETS:	34-37
       TOKENS:	P23W9-P23W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(biyh)
          POS:	PREP+PRON_3MS
          VOC:	bi+uh
        GLOSS:	with/by+him

 INPUT STRING:	قالولو
     IS_TRANS:	qAlwlw
        INDEX:	P23W8
      OFFSETS:	38-44
       TOKENS:	P23W11-P23W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAluwA_luh)
          POS:	PV+PVSUFF_SUBJ:3P+PREP+PRON_3MS
          VOC:	qAl+uwA+li+uh
        GLOSS:	said/say/be said/say/(for example)+they+to/for+him

 INPUT STRING:	تعال
     IS_TRANS:	tEAl
        INDEX:	P23W9
      OFFSETS:	45-49
       TOKENS:	P23W14-P23W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEAl_1]
   UNSPLITVOC:	(taEAl)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	taEAl+(null)
        GLOSS:	come+you

 INPUT STRING:	خد
     IS_TRANS:	xd
        INDEX:	P23W10
      OFFSETS:	50-52
       TOKENS:	P23W15-P23W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaxad_1]
   UNSPLITVOC:	(xud)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	xud+(null)
        GLOSS:	take+you

 INPUT STRING:	ابنك
     IS_TRANS:	Abnk
        INDEX:	P23W11
      OFFSETS:	53-57
       TOKENS:	P23W16-P23W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{ibon_1]
   UNSPLITVOC:	({ibonak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	{ibon+ak
        GLOSS:	son/junior (Jr.)+your [masc.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P23W12
      OFFSETS:	58-60
       TOKENS:	P23W18-P23W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	ع
     IS_TRANS:	E
        INDEX:	P23W13
      OFFSETS:	61-62
       TOKENS:	P23W19-P23W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الدائرى
     IS_TRANS:	AldA}rY
        INDEX:	P23W14
      OFFSETS:	63-70
       TOKENS:	P23W20-P23W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dA}iriy_1]
   UNSPLITVOC:	(Ald~A}iriy)
          POS:	DET+ADJ
          VOC:	Al+dA}iriy
        GLOSS:	the+round

 INPUT STRING:	شوفتى
     IS_TRANS:	$wftY
        INDEX:	P24W1
      OFFSETS:	0-5
       TOKENS:	P24W1-P24W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	($uwftiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	$uwf+tiy
        GLOSS:	see+you

 INPUT STRING:	وصلنا
     IS_TRANS:	wSlnA
        INDEX:	P24W2
      OFFSETS:	6-11
       TOKENS:	P24W2-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waSal_1]
