 INPUT STRING:	ياجماعه
        GLOSS:	the+police+[fem.sg.]

 INPUT STRING:	تنزل
     IS_TRANS:	tnzl
        INDEX:	P4W15
      OFFSETS:	68-72
       TOKENS:	P4W17-P4W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nizil_1]
   UNSPLITVOC:	(tinozil)
          POS:	IV3FS+IV
          VOC:	ti+nozil
        GLOSS:	it/they/she+get down/go down

 INPUT STRING:	تانى
     IS_TRANS:	tAnY
        INDEX:	P4W16
      OFFSETS:	73-77
       TOKENS:	P4W18-P4W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAniy_1]
   UNSPLITVOC:	(tAniy)
          POS:	ADJ
          VOC:	tAniy
        GLOSS:	second/next/II/secondly

 INPUT STRING:	الحاجه
     IS_TRANS:	AlHAjh
        INDEX:	P4W17
      OFFSETS:	78-84
       TOKENS:	P4W19-P4W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(AlHAjap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+HAj+ap
        GLOSS:	the+need/needs+[fem.sg.]

 INPUT STRING:	الانتخبات
     IS_TRANS:	AlAntxbAt
        INDEX:	P4W18
      OFFSETS:	85-94
       TOKENS:	P4W20-P4W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inotixAb_1]
   UNSPLITVOC:	(Al<inotixabAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+<inotixab+At
        GLOSS:	the+election+[fem.pl.]

 INPUT STRING:	القاتله
     IS_TRANS:	AlqAtlh
        INDEX:	P4W19
      OFFSETS:	95-102
       TOKENS:	P4W21-P4W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAtil_1]
   UNSPLITVOC:	(AlqAtilap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+qAtil+ap
        GLOSS:	the+deadly/fatal+[fem.sg.]

 INPUT STRING:	الرياسه
     IS_TRANS:	AlryAsh
        INDEX:	P4W20
      OFFSETS:	103-110
       TOKENS:	P4W22-P4W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[riyAsap_1]
   UNSPLITVOC:	(Alr~iyAsap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+riyAs+ap
        GLOSS:	the+presidency/leadership/chairmanship+[fem.sg.]

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P4W21
      OFFSETS:	111-115
       TOKENS:	P4W23-P4W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	يسترها
     IS_TRANS:	ystrhA
        INDEX:	P4W22
      OFFSETS:	116-122
       TOKENS:	P4W25-P4W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[satar_1]
   UNSPLITVOC:	(yusoturahA)
          POS:	IV3MS+IV+IVSUFF_DO:3FS
          VOC:	yu+sotur+hA
        GLOSS:	he/it+cover/hide+it/them/her

 INPUT STRING:	علينا
     IS_TRANS:	ElynA
        INDEX:	P4W23
      OFFSETS:	123-128
       TOKENS:	P4W27-P4W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaynA)
          POS:	PREP+PRON_1P
          VOC:	EalaY+nA
        GLOSS:	on/above+us

 INPUT STRING:	اه
     IS_TRANS:	Ah
        INDEX:	P5W1
      OFFSETS:	0-2
       TOKENS:	P5W1-P5W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ah_1]
   UNSPLITVOC:	(>ah)
          POS:	INTERJ
          VOC:	>ah
        GLOSS:	ah!/ouch!

 INPUT STRING:	قلبنا
     IS_TRANS:	qlbnA
        INDEX:	P5W2
      OFFSETS:	3-8
       TOKENS:	P5W2-P5W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[qalob_3]
   UNSPLITVOC:	(qalobinA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	qalob+nA
        GLOSS:	overthrowing/toppling/reversal/inversion/heart/center/essence/hearts+our

 INPUT STRING:	ابيض
     IS_TRANS:	AbyD
        INDEX:	P5W3
      OFFSETS:	9-13
       TOKENS:	P5W4-P5W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aboyaD_1]
   UNSPLITVOC:	(>aboyaD)
          POS:	ADJ
          VOC:	>aboyaD
        GLOSS:	white

 INPUT STRING:	بننسي
     IS_TRANS:	bnnsy
        INDEX:	P5W4
      OFFSETS:	14-19
       TOKENS:	P5W5-P5W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisiy_1]
   UNSPLITVOC:	(bininosaY)
          POS:	PROG_PART+IV1P+IV
          VOC:	bi+ni+nosaY
        GLOSS:	[present-tense]+we+forget

 INPUT STRING:	بسرعه
     IS_TRANS:	bsrEh
        INDEX:	P5W5
      OFFSETS:	20-25
       TOKENS:	P5W7-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suroEap_1]
   UNSPLITVOC:	(bisuroEap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+suroE+ap
        GLOSS:	with/by+speed/velocity/promptness/speeds+[fem.sg.]

 INPUT STRING:	هانعمل
     IS_TRANS:	hAnEml
        INDEX:	P5W6
      OFFSETS:	26-32
       TOKENS:	P5W9-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(HaniEomil)
          POS:	FUT_PART+IV1P+IV
          VOC:	Ha+ni+Eomil
        GLOSS:	will+we+to do

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P5W7
      OFFSETS:	33-36
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	REL_PRON
          VOC:	<iyh
        GLOSS:	why/where/when/whatever/what/which

 INPUT STRING:	مقدمناش
     IS_TRANS:	mqdmnA$
        INDEX:	P5W8
      OFFSETS:	37-44
       TOKENS:	P5W12-P5W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qud~am_1]
   UNSPLITVOC:	(mAqud~imnA$)
          POS:	NEG_PART+NOUN+POSS_PRON_1P+NEG_PART
          VOC:	mA+qud~im+nA+$
        GLOSS:	not+in front+us+not

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P5W9
      OFFSETS:	45-48
       TOKENS:	P5W16-P5W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[giyr_1]
   UNSPLITVOC:	(giyr)
          POS:	NOUN
          VOC:	giyr
        GLOSS:	apart from/without/other/execpt/except/not

 INPUT STRING:	التناسي
     IS_TRANS:	AltnAsy
        INDEX:	P5W10
      OFFSETS:	49-56
       TOKENS:	P5W17-P5W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tanAsiy_1]
   UNSPLITVOC:	(AltanAsiy)
          POS:	DET+NOUN
          VOC:	Al+tanAsiy
        GLOSS:	the+forgetting

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P5W11
      OFFSETS:	57-61
       TOKENS:	P5W18-P5W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/lords/masters/owner/proprietor/owners/proprietors+our

 INPUT STRING:	يصلح
     IS_TRANS:	ySlH
        INDEX:	P5W12
      OFFSETS:	62-66
       TOKENS:	P5W20-P5W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSolaH_1]
   UNSPLITVOC:	(yiSoliH)
          POS:	IV3MS+IV
          VOC:	yi+SoliH
        GLOSS:	he/it+put in order/repair/be put in order/be repaired

 INPUT STRING:	حال
     IS_TRANS:	HAl
        INDEX:	P5W13
      OFFSETS:	67-70
       TOKENS:	P5W21-P5W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAl_1]
   UNSPLITVOC:	(HAl)
          POS:	NOUN
          VOC:	HAl
        GLOSS:	situation/condition/case/situations/conditions/cases

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P5W14
      OFFSETS:	71-74
       TOKENS:	P5W22-P5W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	انتى
     IS_TRANS:	AntY
        INDEX:	P6W1
      OFFSETS:	0-4
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you

 INPUT STRING:	بتفتحى
     IS_TRANS:	btftHY
        INDEX:	P6W2
      OFFSETS:	5-11
       TOKENS:	P6W2-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fataH_1]
   UNSPLITVOC:	(bitifotaHiy)
          POS:	PROG_PART+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	bi+ti+fotaH+iy
        GLOSS:	[present-tense]+you+open/conquer/be opened/be conquered+[fem.sg.]

 INPUT STRING:	الجرح
     IS_TRANS:	AljrH
        INDEX:	P6W3
      OFFSETS:	12-17
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jaroH_1]
   UNSPLITVOC:	(AljaroH)
          POS:	DET+NOUN
          VOC:	Al+jaroH
        GLOSS:	the+wound/injury/wounds/injuries/a wound/an injury/injure/hurt place

 INPUT STRING:	لية
     IS_TRANS:	lyp
        INDEX:	P6W4
      OFFSETS:	18-21
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layoh_1]
   UNSPLITVOC:	(layoh)
          POS:	INTERROG_ADV
          VOC:	layoh
        GLOSS:	why/like this

 INPUT STRING:	تانى
     IS_TRANS:	tAnY
        INDEX:	P6W5
      OFFSETS:	22-26
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAniy_1]
   UNSPLITVOC:	(tAniy)
          POS:	ADJ
          VOC:	tAniy
        GLOSS:	second/next/II/secondly

 INPUT STRING:	ومين
     IS_TRANS:	wmyn
        INDEX:	P6W6
      OFFSETS:	27-31
       TOKENS:	P6W7-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miyn_1]
   UNSPLITVOC:	(wimiyn)
          POS:	CONJ+INTERROG_PRON
          VOC:	wi+miyn
        GLOSS:	and+who

 INPUT STRING:	قالك
     IS_TRANS:	qAlk
        INDEX:	P6W7
      OFFSETS:	32-36
       TOKENS:	P6W9-P6W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAl~ik)
          POS:	PV+PVSUFF_SUBJ:3MS+PREP+PRON_2FS
          VOC:	qAl+(null)+li+ik
        GLOSS:	said+he+to+you

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P6W8
      OFFSETS:	37-39
       TOKENS:	P6W12-P6W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	Although,even if, despite, in spite of the fact that, verily, truly

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P6W9
      OFFSETS:	40-42
       TOKENS:	P6W13-P6W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P6W10
      OFFSETS:	43-45
       TOKENS:	P6W14-P6W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	individual

 INPUT STRING:	نسى
     IS_TRANS:	nsY
        INDEX:	P6W11
      OFFSETS:	46-49
       TOKENS:	P6W15-P6W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisiy_1]
   UNSPLITVOC:	(nisiy)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	nisiy+(null)
        GLOSS:	forget+he/it

 INPUT STRING:	الجرح
     IS_TRANS:	AljrH
        INDEX:	P6W12
      OFFSETS:	50-55
       TOKENS:	P6W16-P6W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jaroH_1]
   UNSPLITVOC:	(AljaroH)
          POS:	DET+NOUN
          VOC:	Al+jaroH
        GLOSS:	the+wound/injury/wounds/injuries/a wound/an injury/injure/hurt place

 INPUT STRING:	جوة
     IS_TRANS:	jwp
        INDEX:	P6W13
      OFFSETS:	56-59
       TOKENS:	P6W17-P6W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[juw~ah_1]
   UNSPLITVOC:	(juw~ah)
          POS:	NOUN
          VOC:	juw~ah
        GLOSS:	inside/inside of/interior

 INPUT STRING:	القلب
     IS_TRANS:	Alqlb
        INDEX:	P6W14
      OFFSETS:	60-65
       TOKENS:	P6W18-P6W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qalob_1]
   UNSPLITVOC:	(Alqalob)
          POS:	DET+NOUN
          VOC:	Al+qalob
        GLOSS:	the+heart/center/essence/hearts

 INPUT STRING:	موجود
     IS_TRANS:	mwjwd
        INDEX:	P6W15
      OFFSETS:	66-71
       TOKENS:	P6W19-P6W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawjuwd_1]
   UNSPLITVOC:	(mawjuwd)
          POS:	ADJ
          VOC:	mawjuwd
        GLOSS:	present/existing/found

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P6W16
      OFFSETS:	72-74
       TOKENS:	P6W20-P6W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	these/this

 INPUT STRING:	اكتر
     IS_TRANS:	Aktr
        INDEX:	P6W17
      OFFSETS:	75-79
       TOKENS:	P6W21-P6W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akotar_1]
   UNSPLITVOC:	(>akotar)
          POS:	ADJ_COMP
          VOC:	>akotar
        GLOSS:	most/majority/more than/more

 INPUT STRING:	جريمة
     IS_TRANS:	jrymp
        INDEX:	P6W18
      OFFSETS:	80-85
       TOKENS:	P6W22-P6W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jariymap_1]
   UNSPLITVOC:	(jariymap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	jariym+ap
        GLOSS:	crime/crimes+[fem.sg.]

 INPUT STRING:	هزت
     IS_TRANS:	hzt
        INDEX:	P6W19
      OFFSETS:	86-89
       TOKENS:	P6W23-P6W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[haz~_1]
   UNSPLITVOC:	(haz~it)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	haz~+it
        GLOSS:	shake/jolt/rock+it/they/she

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P6W20
      OFFSETS:	90-93
       TOKENS:	P6W24-P6W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P6W21
      OFFSETS:	94-96
       TOKENS:	P6W25-P6W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	ساعة
     IS_TRANS:	sAEp
        INDEX:	P6W22
      OFFSETS:	97-101
       TOKENS:	P6W26-P6W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAEap_1]
   UNSPLITVOC:	(sAEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	sAE+ap
        GLOSS:	hour/time/hours+[fem.sg.]

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P6W23
      OFFSETS:	102-108
       TOKENS:	P6W27-P6W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	مالوش
     IS_TRANS:	mAlw$
        INDEX:	P6W24
      OFFSETS:	109-114
       TOKENS:	P6W28-P6W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mA_4]
   UNSPLITVOC:	(mAluw$)
          POS:	NEG_PART+PREP+PRON_3MS+NEG_PART
          VOC:	mA+li+uh+$
        GLOSS:	not+to+him+not

 INPUT STRING:	لزوم
     IS_TRANS:	lzwm
        INDEX:	P6W25
      OFFSETS:	115-119
       TOKENS:	P6W32-P6W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[luzuwm_1]
   UNSPLITVOC:	(luzuwm)
          POS:	NOUN
          VOC:	luzuwm
        GLOSS:	requirement/necessity/exigency

 INPUT STRING:	نصحى
     IS_TRANS:	nSHY
        INDEX:	P6W26
      OFFSETS:	120-124
       TOKENS:	P6W33-P6W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaH~aY_1]
   UNSPLITVOC:	(niSaH~iy)
          POS:	IV1P+IV
          VOC:	ni+SaH~iy
        GLOSS:	we+awaken/rouse/be awakened/be roused

 INPUT STRING:	الجروح
     IS_TRANS:	AljrwH
        INDEX:	P6W27
      OFFSETS:	125-131
       TOKENS:	P6W34-P6W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jaroH_1]
   UNSPLITVOC:	(AljuruwH)
          POS:	DET+NOUN
          VOC:	Al+juruwH
        GLOSS:	the+wounds/injuries

 INPUT STRING:	تانى
     IS_TRANS:	tAnY
        INDEX:	P6W28
      OFFSETS:	132-136
       TOKENS:	P6W35-P6W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAniy_1]
   UNSPLITVOC:	(tAniy)
          POS:	ADJ
          VOC:	tAniy
        GLOSS:	second/next/II/secondly

 INPUT STRING:	وندعيلهم
     IS_TRANS:	wndEylhm
        INDEX:	P6W29
      OFFSETS:	137-145
       TOKENS:	P6W36-P6W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEA_1]
   UNSPLITVOC:	(winidoEiy_luhum)
          POS:	CONJ+IV1P+IV+PREP+PRON_3P
          VOC:	wi+ni+doEiy+li+hum
        GLOSS:	and+we+invoke+to/for+them

 INPUT STRING:	بالرحمة
     IS_TRANS:	bAlrHmp
        INDEX:	P6W30
      OFFSETS:	146-153
       TOKENS:	P6W40-P6W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raHomap_1]
   UNSPLITVOC:	(biAlr~aHomap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+raHom+ap
        GLOSS:	with/by+the+compassion/mercy+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P7W1
      OFFSETS:	0-2
       TOKENS:	P7W1-P7W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	ناسيهم
     IS_TRANS:	nAsyhm
        INDEX:	P7W2
      OFFSETS:	3-9
       TOKENS:	P7W2-P7W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nAsiy_1]
   UNSPLITVOC:	(nAsiyhum)
          POS:	ADJ+POSS_PRON_3P
          VOC:	nAsiy+hum
        GLOSS:	forgot+they

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P7W3
      OFFSETS:	10-15
       TOKENS:	P7W4-P7W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(wiAll~ah)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+All~ah
        GLOSS:	and+Allah/God

 INPUT STRING:	اعلم
     IS_TRANS:	AElm
        INDEX:	P7W4
      OFFSETS:	16-20
       TOKENS:	P7W6-P7W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aEolam_1]
   UNSPLITVOC:	(>aEolam)
          POS:	ADJ_COMP
          VOC:	>aEolam
        GLOSS:	more/most knowledgeable

 INPUT STRING:	بيا
     IS_TRANS:	byA
        INDEX:	P7W5
      OFFSETS:	21-24
       TOKENS:	P7W7-P7W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(biyA)
          POS:	PREP+PRON_1S
          VOC:	bi+yA
        GLOSS:	with/by+me

 INPUT STRING:	وباللي
     IS_TRANS:	wbAlly
        INDEX:	P7W6
      OFFSETS:	25-31
       TOKENS:	P7W9-P7W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aill~iy_1]
   UNSPLITVOC:	(wibiAill~iy)
          POS:	CONJ+PREP+REL_PRON
          VOC:	wi+bi+Aill~iy
        GLOSS:	and+with+which

 INPUT STRING:	بيحصلي
     IS_TRANS:	byHSly
        INDEX:	P7W7
      OFFSETS:	32-38
       TOKENS:	P7W12-P7W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaS~al_1]
   UNSPLITVOC:	(biyiHaS~al~iy)
          POS:	PROG_PART+IV3MS+IV+IVSUFF_DO:1S
          VOC:	bi+yi+HaS~al+niy
        GLOSS:	[present-tense]+he/it+happen+me

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P7W8
      OFFSETS:	39-41
       TOKENS:	P7W15-P7W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every/whole

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P7W9
      OFFSETS:	42-45
       TOKENS:	P7W16-P7W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	ever/period/day/today/some day

 INPUT STRING:	وبدعيي
     IS_TRANS:	wbdEyy
        INDEX:	P7W10
      OFFSETS:	46-52
       TOKENS:	P7W17-P7W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[daEA_1]
