 INPUT STRING:	تداول
     IS_TRANS:	ATmnY
        INDEX:	P9W1
      OFFSETS:	0-5
       TOKENS:	P9W1-P9W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tam~in_1]
   UNSPLITVOC:	(AaTam~in~iy)
          POS:	IV1S+IV+IVSUFF_DO:1S
          VOC:	Aa+Tam~in+niy
        GLOSS:	I+pacify+me

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P9W2
      OFFSETS:	6-11
       TOKENS:	P9W3-P9W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/country/countries

 INPUT STRING:	والعه
     IS_TRANS:	wAlEh
        INDEX:	P9W3
      OFFSETS:	12-17
       TOKENS:	P9W4-P9W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wAlEap_1]
   UNSPLITVOC:	(wAlEap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	wAlE+ap
        GLOSS:	fire+[fem.sg.]

 INPUT STRING:	والعه
     IS_TRANS:	wAlEh
        INDEX:	P9W4
      OFFSETS:	18-23
       TOKENS:	P9W5-P9W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wAlEap_1]
   UNSPLITVOC:	(wAlEap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	wAlE+ap
        GLOSS:	fire+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P9W5
      OFFSETS:	24-26
       TOKENS:	P9W6-P9W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	ناقصه
     IS_TRANS:	nAqSh
        INDEX:	P9W6
      OFFSETS:	27-32
       TOKENS:	P9W7-P9W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAqiS_1]
   UNSPLITVOC:	(nAqoSap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	nAqoS+ap
        GLOSS:	incomplete/defective/lacking+[fem.sg.]

 INPUT STRING:	كلام
     IS_TRANS:	klAm
        INDEX:	P9W7
      OFFSETS:	33-37
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(kalAm)
          POS:	NOUN
          VOC:	kalAm
        GLOSS:	speech/statement/remark/talk/saying

 INPUT STRING:	حضرتك
     IS_TRANS:	HDrtk
        INDEX:	P9W8
      OFFSETS:	38-43
       TOKENS:	P9W9-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaDorap_1]
   UNSPLITVOC:	(HaDoritik)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_2FS
          VOC:	HaDor+ap+ik
        GLOSS:	presence/eminent/honorable+[fem.sg.]+your

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P9W9
      OFFSETS:	44-47
       TOKENS:	P9W11-P9W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	تسخينك
     IS_TRANS:	tsxynk
        INDEX:	P9W10
      OFFSETS:	48-54
       TOKENS:	P9W12-P9W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tasoxiyn_1]
   UNSPLITVOC:	(tasoxiynik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	tasoxiyn+ik
        GLOSS:	heating+your[fem.sg.]

 INPUT STRING:	ارحمنى
     IS_TRANS:	ArHmnY
        INDEX:	P10W1
      OFFSETS:	0-6
       TOKENS:	P10W1-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[raHam_1]
   UNSPLITVOC:	(AiroHam~niy)
          POS:	CV+CVSUFF_SUBJ:2MS+CVSUFF_DO:1S
          VOC:	AiroHam+(null)+niy
        GLOSS:	have mercy+you+me

 INPUT STRING:	ياااارب
     IS_TRANS:	yAAAArb
        INDEX:	P10W2
      OFFSETS:	7-14
       TOKENS:	P10W3-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(yArab~)
          POS:	VOC_PART+NOUN
          VOC:	yA+rab~
        GLOSS:	oh+god

 INPUT STRING:	نسيتى
     IS_TRANS:	nsytY
        INDEX:	P11W1
      OFFSETS:	0-5
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisiy_1]
   UNSPLITVOC:	(nisiytiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	nisiy+tiy
        GLOSS:	forget+you

 INPUT STRING:	حاجه
     IS_TRANS:	HAjh
        INDEX:	P11W2
      OFFSETS:	6-10
       TOKENS:	P11W2-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	راحت
     IS_TRANS:	rAHt
        INDEX:	P12W1
      OFFSETS:	0-4
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(rAHit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	rAH+it
        GLOSS:	go+it/they/she

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P12W2
      OFFSETS:	5-9
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	also

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P12W3
      OFFSETS:	10-14
       TOKENS:	P12W3-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	تشتم
     IS_TRANS:	t$tm
        INDEX:	P12W4
      OFFSETS:	15-19
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$atam_1]
   UNSPLITVOC:	(ti$otim)
          POS:	IV3FS+IV
          VOC:	ti+$otim
        GLOSS:	it/they/she+revile/curse

 INPUT STRING:	المجلس
     IS_TRANS:	Almjls
        INDEX:	P12W5
      OFFSETS:	20-26
       TOKENS:	P12W6-P12W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(Almajolis)
          POS:	DET+NOUN
          VOC:	Al+majolis
        GLOSS:	the+council/board/Majlis

 INPUT STRING:	العسكرى
     IS_TRANS:	AlEskrY
        INDEX:	P12W6
      OFFSETS:	27-34
       TOKENS:	P12W7-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokariy_1]
   UNSPLITVOC:	(AlEasokariy)
          POS:	DET+ADJ
          VOC:	Al+Easokariy
        GLOSS:	the+military/army

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P12W7
      OFFSETS:	35-38
       TOKENS:	P12W8-P12W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P12W8
      OFFSETS:	39-42
       TOKENS:	P12W9-P12W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyoh_1]
   UNSPLITVOC:	(<iyoh)
          POS:	REL_PRON
          VOC:	<iyoh
        GLOSS:	what

 INPUT STRING:	تحبى
     IS_TRANS:	tHbY
        INDEX:	P12W9
      OFFSETS:	43-47
       TOKENS:	P12W10-P12W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(tiHib~iy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+Hib~+iy
        GLOSS:	you+love+you

 INPUT STRING:	اجيبلك
     IS_TRANS:	Ajyblk
        INDEX:	P12W10
      OFFSETS:	48-54
       TOKENS:	P12W11-P12W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAb_1]
   UNSPLITVOC:	(Aajiyb_lik)
          POS:	IV1S+IV+PREP+PRON_2FS
          VOC:	Aa+jiyb+li+ik
        GLOSS:	I+i give you+to/for+you

 INPUT STRING:	الفيديو
     IS_TRANS:	Alfydyw
        INDEX:	P12W11
      OFFSETS:	55-62
       TOKENS:	P12W14-P12W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiydyuw_1]
   UNSPLITVOC:	(Alfiydyuw)
          POS:	DET+NOUN
          VOC:	Al+fiydyuw
        GLOSS:	the+video

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P12W12
      OFFSETS:	63-66
       TOKENS:	P12W15-P12W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	اقولك
     IS_TRANS:	Aqwlk
        INDEX:	P12W13
      OFFSETS:	67-72
       TOKENS:	P12W16-P12W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(Aaquwlik)
          POS:	IV1S+IV+IVSUFF_DO:2FS
          VOC:	Aa+quwl+ik
        GLOSS:	I+said/say/be said/say/(for example)+you

 INPUT STRING:	انتو
     IS_TRANS:	Antw
        INDEX:	P12W14
      OFFSETS:	73-77
       TOKENS:	P12W18-P12W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotuw_1]
   UNSPLITVOC:	(Ainotuw)
          POS:	PRON_2P
          VOC:	Ainotuw
        GLOSS:	you

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P12W15
      OFFSETS:	78-82
       TOKENS:	P12W19-P12W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who / which / whose

 INPUT STRING:	انتو
     IS_TRANS:	Antw
        INDEX:	P12W16
      OFFSETS:	83-87
       TOKENS:	P12W20-P12W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotuw_1]
   UNSPLITVOC:	(Ainotuw)
          POS:	PRON_2P
          VOC:	Ainotuw
        GLOSS:	you

 INPUT STRING:	عايزينه
     IS_TRANS:	EAyzynh
        INDEX:	P12W17
      OFFSETS:	88-95
       TOKENS:	P12W21-P12W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyoziynuh)
          POS:	ADJ+NSUFF_MASC_PL+PRON_3MS
          VOC:	EAyoz+iyn+uh
        GLOSS:	wanting+[masc.pl.]+him

 INPUT STRING:	بتصدقوه
     IS_TRANS:	btSdqwh
        INDEX:	P12W18
      OFFSETS:	96-103
       TOKENS:	P12W23-P12W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sad~aq_1]
   UNSPLITVOC:	(bitiSad~aquwh)
          POS:	PROG_PART+IV2P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:3MS
          VOC:	bi+ti+Sad~aq+uwA+uh
        GLOSS:	[present-tense]+you+believe/give credence to/confirm/be believed+we+them

 INPUT STRING:	يارب
     IS_TRANS:	yArb
        INDEX:	P13W1
      OFFSETS:	0-4
       TOKENS:	P13W1-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(yArab~)
          POS:	VOC_PART+NOUN
          VOC:	yaA+rab~
        GLOSS:	oh+lord/master

 INPUT STRING:	ارحمنا
     IS_TRANS:	ArHmnA
        INDEX:	P13W2
      OFFSETS:	5-11
       TOKENS:	P13W3-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raHam_1]
   UNSPLITVOC:	(AiroHamnA)
          POS:	CV+CVSUFF_SUBJ:2MS+CVSUFF_DO:1P
          VOC:	AiroHam+(null)+nA
        GLOSS:	have mercy+you+us

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P13W3
      OFFSETS:	12-16
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	our

 INPUT STRING:	ماصدقنا
     IS_TRANS:	mASdqnA
        INDEX:	P13W4
      OFFSETS:	17-24
       TOKENS:	P13W6-P13W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sadaq_1]
   UNSPLITVOC:	(mA_Sad~aqnA)
          POS:	SUB_CONJ+PV+PVSUFF_SUBJ:1P
          VOC:	mA+Sad~aq+nA
        GLOSS:	that+ratify/adopt+we

 INPUT STRING:	نسينا
     IS_TRANS:	nsynA
        INDEX:	P13W5
      OFFSETS:	25-30
       TOKENS:	P13W8-P13W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nasay_1]
   UNSPLITVOC:	(nasiyonA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	nasiy+nA
        GLOSS:	forget+we [verb]

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P13W6
      OFFSETS:	31-34
       TOKENS:	P13W9-P13W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	then

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P14W1
      OFFSETS:	0-4
       TOKENS:	P14W1-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master+our

 INPUT STRING:	يستر
     IS_TRANS:	ystr
        INDEX:	P14W2
      OFFSETS:	5-9
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[satar_1]
   UNSPLITVOC:	(yusotur)
          POS:	IV3MS+IV
          VOC:	yu+sotur
        GLOSS:	he/it+cover/hide

 INPUT STRING:	بجد
     IS_TRANS:	bjd
        INDEX:	P14W3
      OFFSETS:	10-13
       TOKENS:	P14W4-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jad~_1]
   UNSPLITVOC:	(bijad~)
          POS:	PREP+NOUN
          VOC:	bi+jad~
        GLOSS:	with/by+really

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P14W4
      OFFSETS:	14-17
       TOKENS:	P14W6-P14W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/ above

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P14W5
      OFFSETS:	18-23
       TOKENS:	P14W7-P14W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/country/countries

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P14W6
      OFFSETS:	24-26
       TOKENS:	P14W8-P14W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	وايه
     IS_TRANS:	wAyh
        INDEX:	P15W1
      OFFSETS:	0-4
       TOKENS:	P15W1-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyoh_1]
   UNSPLITVOC:	(wa<iyoh)
          POS:	CONJ+INTERROG_PRON
          VOC:	wa+<iyoh
        GLOSS:	and+what

 INPUT STRING:	يعنى
     IS_TRANS:	yEnY
        INDEX:	P15W2
      OFFSETS:	5-9
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P15W3
      OFFSETS:	10-13
       TOKENS:	P15W4-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as, when

 INPUT STRING:	تروح
     IS_TRANS:	trwH
        INDEX:	P15W4
      OFFSETS:	14-18
       TOKENS:	P15W5-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(turuwH)
          POS:	IV3FS+IV
          VOC:	tu+ruwH
        GLOSS:	it/they/she+go

 INPUT STRING:	بالعكس
     IS_TRANS:	bAlEks
        INDEX:	P16W1
      OFFSETS:	0-6
       TOKENS:	P16W1-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eakos_1]
   UNSPLITVOC:	(biAlEakos)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+Eakos
        GLOSS:	with/by+the+opposite/contrary

 INPUT STRING:	واحدة
     IS_TRANS:	wAHdp
        INDEX:	P16W2
      OFFSETS:	7-12
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHodap_1]
   UNSPLITVOC:	(wAHodap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	wAHod+ap
        GLOSS:	some one+[fem.sg.]

 INPUT STRING:	احترمها
     IS_TRANS:	AHtrmhA
        INDEX:	P16W3
      OFFSETS:	13-20
       TOKENS:	P16W4-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iHotaram_1]
   UNSPLITVOC:	(>aHotarimhA)
          POS:	IV1S+IV+IVSUFF_DO:3FS
          VOC:	>a+Hotarim+hA
        GLOSS:	i+respect/revere+it /them/her

 INPUT STRING:	جدا
     IS_TRANS:	jdA
        INDEX:	P16W4
      OFFSETS:	21-24
       TOKENS:	P16W6-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(jid~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	very/much+[acc.indef.]

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P16W5
      OFFSETS:	25-27
       TOKENS:	P16W7-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	استسلمتش
     IS_TRANS:	Astslmt$
        INDEX:	P16W6
      OFFSETS:	28-36
       TOKENS:	P16W8-P16W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aisotasolam_1]
   UNSPLITVOC:	(Aisotasolamit$)
          POS:	PV+PVSUFF_SUBJ:3FS+NEG_PART
          VOC:	Aisotasolam+it+$
        GLOSS:	surrender/capitulate+it/they/she+not

 INPUT STRING:	وكملت
     IS_TRANS:	wkmlt
        INDEX:	P16W7
      OFFSETS:	37-42
       TOKENS:	P16W10-P16W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kam~il_1]
   UNSPLITVOC:	(wikam~ilit)
          POS:	CONJ+PV+PVSUFF_SUBJ:3FS
          VOC:	wi+kam~il+it
        GLOSS:	and+become complete+it/they/she

 INPUT STRING:	حاجه
     IS_TRANS:	HAjh
        INDEX:	P16W8
      OFFSETS:	43-47
       TOKENS:	P16W12-P16W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	هى
     IS_TRANS:	hY
        INDEX:	P16W9
      OFFSETS:	48-50
       TOKENS:	P16W13-P16W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	مقتنعها
     IS_TRANS:	mqtnEhA
        INDEX:	P16W10
      OFFSETS:	51-58
       TOKENS:	P16W14-P16W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muqotaniE_1]
   UNSPLITVOC:	(muqotaniEhA)
          POS:	ADJ+POSS_PRON_3FS
          VOC:	muqotaniE+hA
        GLOSS:	satisfied/content/convinced+its/their/her

 INPUT STRING:	بيها
     IS_TRANS:	byhA
        INDEX:	P16W11
      OFFSETS:	59-63
       TOKENS:	P16W16-P16W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(biyhA)
          POS:	PREP+PRON_3FS
          VOC:	bi+hA
        GLOSS:	with+her

 INPUT STRING:	ارحمونا
     IS_TRANS:	ArHmwnA
        INDEX:	P17W1
      OFFSETS:	0-7
       TOKENS:	P17W1-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raHam_1]
   UNSPLITVOC:	(AiroHamuwnA)
          POS:	CV+CVSUFF_SUBJ:2P+CVSUFF_DO:1P
          VOC:	AiroHam+uwA+nA
        GLOSS:	have mercy+you+us

 INPUT STRING:	بقة
     IS_TRANS:	bqp
        INDEX:	P17W2
      OFFSETS:	8-11
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	so/then

 INPUT STRING:	للناس
     IS_TRANS:	llnAs
        INDEX:	P18W1
      OFFSETS:	0-5
       TOKENS:	P18W1-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(liln~As)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+nAs
        GLOSS:	for/to+the+people

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P18W2
      OFFSETS:	6-10
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who / which / whose

 INPUT STRING:	رداخلة
     IS_TRANS:	rdAxlp
        INDEX:	P18W3
