 INPUT STRING:	كانت
          POS:	CONJ+NOUN+POSS_PRON_3P
          VOC:	wi+maEa+hum
        GLOSS:	and+with something+their

 INPUT STRING:	سكاكين
     IS_TRANS:	skAkyn
        INDEX:	P10W16
      OFFSETS:	86-92
       TOKENS:	P10W19-P10W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sik~iyn_1]
   UNSPLITVOC:	(sakAkiyn)
          POS:	NOUN
          VOC:	sakAkiyn
        GLOSS:	knives

 INPUT STRING:	ومطاوي
     IS_TRANS:	wmTAwy
        INDEX:	P10W17
      OFFSETS:	93-99
       TOKENS:	P10W20-P10W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maTowap_1]
   UNSPLITVOC:	(wimaTAwiy)
          POS:	CONJ+NOUN
          VOC:	wi+maTAwiy
        GLOSS:	and+hour/time/moment

 INPUT STRING:	يهددوا
     IS_TRANS:	yhddwA
        INDEX:	P10W18
      OFFSETS:	100-106
       TOKENS:	P10W22-P10W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[had~ad_1]
   UNSPLITVOC:	(yuhad~iduwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yu+had~id+uwA
        GLOSS:	they (people)+threaten/intimidate/menace+[pl.]

 INPUT STRING:	الجمهور
     IS_TRANS:	Aljmhwr
        INDEX:	P10W19
      OFFSETS:	107-114
       TOKENS:	P10W23-P10W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jumohuwr_1]
   UNSPLITVOC:	(Aljumohuwr)
          POS:	DET+NOUN
          VOC:	Al+jumohuwr
        GLOSS:	the+multitude/public/masses

 INPUT STRING:	المصري
     IS_TRANS:	AlmSry
        INDEX:	P10W20
      OFFSETS:	115-121
       TOKENS:	P10W24-P10W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy)
          POS:	DET+ADJ
          VOC:	Al+maSoriy
        GLOSS:	the+Egyptian

 INPUT STRING:	بيها
     IS_TRANS:	byhA
        INDEX:	P10W21
      OFFSETS:	122-126
       TOKENS:	P10W25-P10W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(biyhA)
          POS:	PREP+PRON_3FS
          VOC:	bi+hA
        GLOSS:	with/by+it/them/her

 INPUT STRING:	اقصد
     IS_TRANS:	AqSd
        INDEX:	P10W22
      OFFSETS:	127-131
       TOKENS:	P10W27-P10W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaSad_1]
   UNSPLITVOC:	(AaqoSud)
          POS:	IV1S+IV
          VOC:	Aa+qoSud
        GLOSS:	I+intend/mean/pursue/be intended/be meant/be pursued

 INPUT STRING:	يشجعوا
     IS_TRANS:	y$jEwA
        INDEX:	P10W23
      OFFSETS:	132-138
       TOKENS:	P10W28-P10W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aj~aE_1]
   UNSPLITVOC:	(yi$aj~aEuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+$aj~aE+uwA
        GLOSS:	they+encourage/promote/support+[pl.]

 INPUT STRING:	بيها
     IS_TRANS:	byhA
        INDEX:	P10W24
      OFFSETS:	139-143
       TOKENS:	P10W29-P10W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(biyhA)
          POS:	PREP+PRON_3FS
          VOC:	bi+hA
        GLOSS:	with/by+it/them/her

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P11W1
      OFFSETS:	1-3
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	وكمان
     IS_TRANS:	wkmAn
        INDEX:	P11W2
      OFFSETS:	4-9
       TOKENS:	P11W2-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(wikamAn)
          POS:	CONJ+ADV
          VOC:	wi+kamAn
        GLOSS:	and+also/too

 INPUT STRING:	يحوقوا
     IS_TRANS:	yHwqwA
        INDEX:	P11W3
      OFFSETS:	10-16
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(yHwqwA)
          POS:	TYPO
          VOC:	yHwqwA
        GLOSS:	nogloss

 INPUT STRING:	علمنا
     IS_TRANS:	ElmnA
        INDEX:	P11W4
      OFFSETS:	17-22
       TOKENS:	P11W5-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ealam_1]
   UNSPLITVOC:	(EalamnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	Ealam+nA
        GLOSS:	flag/banner/badge+our

 INPUT STRING:	ويكسروا
     IS_TRANS:	wyksrwA
        INDEX:	P11W5
      OFFSETS:	23-30
       TOKENS:	P11W7-P11W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kasar_1]
   UNSPLITVOC:	(wiyikosaruwA)
          POS:	CONJ+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	wi+yi+kosar+uwA
        GLOSS:	and+they+shatter/smash+[pl.]

 INPUT STRING:	ويدمروا
     IS_TRANS:	wydmrwA
        INDEX:	P11W6
      OFFSETS:	31-38
       TOKENS:	P11W9-P11W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dam~ar_1]
   UNSPLITVOC:	(wiyidam~aruwA)
          POS:	CONJ+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	wi+yi+dam~ar+uwA
        GLOSS:	and+they (people)+destroy/wreck+[pl.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P11W7
      OFFSETS:	39-41
       TOKENS:	P11W11-P11W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	ممتلكتنا
     IS_TRANS:	mmtlktnA
        INDEX:	P11W8
      OFFSETS:	42-50
       TOKENS:	P11W12-P11W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mumtalak_1]
   UNSPLITVOC:	(mumtalkAtnA)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_1P
          VOC:	mumtalk+At+nA
        GLOSS:	possession+[fem.pl.]+our

 INPUT STRING:	وكمان
     IS_TRANS:	wkmAn
        INDEX:	P11W9
      OFFSETS:	51-56
       TOKENS:	P11W14-P11W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(wikamAn)
          POS:	CONJ+ADV
          VOC:	wi+kamAn
        GLOSS:	and+also/too

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P11W10
      OFFSETS:	57-60
       TOKENS:	P11W16-P11W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P11W11
      OFFSETS:	61-63
       TOKENS:	P11W17-P11W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that, whether

 INPUT STRING:	فازوا
     IS_TRANS:	fAzwA
        INDEX:	P11W12
      OFFSETS:	64-69
       TOKENS:	P11W18-P11W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(fAzwA)
          POS:	ADJ_COMP
          VOC:	fAzwA
        GLOSS:	NOT_IN_LEXICON

 INPUT STRING:	ويهينوا
     IS_TRANS:	wyhynwA
        INDEX:	P11W13
      OFFSETS:	70-77
       TOKENS:	P11W19-P11W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hAn_1]
   UNSPLITVOC:	(wiyihiynuwA)
          POS:	CONJ+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	wi+yi+hiyn+uwA
        GLOSS:	and+they+be insignificant/be contemptible+[pl.]

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P11W14
      OFFSETS:	78-80
       TOKENS:	P11W21-P11W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	مصري
     IS_TRANS:	mSry
        INDEX:	P11W15
      OFFSETS:	81-85
       TOKENS:	P11W22-P11W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(maSoriy)
          POS:	ADJ
          VOC:	maSoriy
        GLOSS:	Egyptian

 INPUT STRING:	امال
     IS_TRANS:	AmAl
        INDEX:	P11W16
      OFFSETS:	86-90
       TOKENS:	P11W23-P11W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~Al_1]
   UNSPLITVOC:	(>um~Al)
          POS:	ADV
          VOC:	>um~Al
        GLOSS:	hence/then/so

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P11W17
      OFFSETS:	91-93
       TOKENS:	P11W24-P11W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	كانوا
     IS_TRANS:	kAnwA
        INDEX:	P11W18
      OFFSETS:	94-99
       TOKENS:	P11W25-P11W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	kAn+uwA
        GLOSS:	be+they

 INPUT STRING:	خسروا
     IS_TRANS:	xsrwA
        INDEX:	P11W19
      OFFSETS:	100-105
       TOKENS:	P11W26-P11W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xisir_1]
   UNSPLITVOC:	(xisoruwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	xisor+uwA
        GLOSS:	lose+they [verb]

 INPUT STRING:	اكيد
     IS_TRANS:	Akyd
        INDEX:	P11W20
      OFFSETS:	106-110
       TOKENS:	P11W27-P11W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aakiyd_1]
   UNSPLITVOC:	(Akiyd)
          POS:	ADJ
          VOC:	Akiyd
        GLOSS:	certain/definite

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P11W21
      OFFSETS:	111-113
       TOKENS:	P11W28-P11W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P11W22
      OFFSETS:	114-116
       TOKENS:	P11W29-P11W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	ميستهلش
     IS_TRANS:	mysthl$
        INDEX:	P11W23
      OFFSETS:	117-124
       TOKENS:	P11W30-P11W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aistahal_1]
   UNSPLITVOC:	(mAyistahil$)
          POS:	NEG_PART+IV3MS+IV+NEG_PART
          VOC:	mA+yi+stahil+$
        GLOSS:	not+he/it+deserve+not

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P11W24
      OFFSETS:	125-127
       TOKENS:	P11W33-P11W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although,even if, despite, in spite of the fact that, verily, truly

 INPUT STRING:	القيادة
     IS_TRANS:	AlqyAdp
        INDEX:	P11W25
      OFFSETS:	128-135
       TOKENS:	P11W34-P11W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiyAdap_1]
   UNSPLITVOC:	(AlqiyAdap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+qiyAd+ap
        GLOSS:	the+leaders/commanders+[fem.sg.]

 INPUT STRING:	السياسية
     IS_TRANS:	AlsyAsyp
        INDEX:	P11W26
      OFFSETS:	136-144
       TOKENS:	P11W35-P11W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAsiy_1]
   UNSPLITVOC:	(Als~iyAsiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+siyAsiy~+ap
        GLOSS:	the+political+[fem.sg.]

 INPUT STRING:	تتدخل
     IS_TRANS:	ttdxl
        INDEX:	P11W27
      OFFSETS:	145-150
       TOKENS:	P11W36-P11W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitodax~al_1]
   UNSPLITVOC:	(titodax~al)
          POS:	IV3FS+IV
          VOC:	ti+todax~al
        GLOSS:	it/they/she+interfer

 INPUT STRING:	صح
     IS_TRANS:	SH
        INDEX:	P12W1
      OFFSETS:	1-3
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[SaH~_1]
   UNSPLITVOC:	(SaH~)
          POS:	INTERJ
          VOC:	SaH~
        GLOSS:	ok

 INPUT STRING:	محنا
     IS_TRANS:	mHnA
        INDEX:	P12W2
      OFFSETS:	4-8
       TOKENS:	P12W2-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(maAiHonA)
          POS:	PART+PRON_1P
          VOC:	ma+AiHonA
        GLOSS:	[emphasis]+we

 INPUT STRING:	بقينا
     IS_TRANS:	bqynA
        INDEX:	P12W3
      OFFSETS:	9-14
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqiynA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	baqiy+nA
        GLOSS:	become+we

 INPUT STRING:	ملطشه
     IS_TRANS:	mlT$h
        INDEX:	P12W4
      OFFSETS:	15-20
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maloTa$ap_1]
   UNSPLITVOC:	(maloTa$ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	maloTa$+ap
        GLOSS:	butt/bullied+[fem.sg.]

 INPUT STRING:	مين
     IS_TRANS:	myn
        INDEX:	P12W5
      OFFSETS:	21-24
       TOKENS:	P12W6-P12W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miyn_1]
   UNSPLITVOC:	(miyn)
          POS:	INTERROG_PRON
          VOC:	miyn
        GLOSS:	who

 INPUT STRING:	عليه
     IS_TRANS:	Elyh
        INDEX:	P12W6
      OFFSETS:	25-29
       TOKENS:	P12W7-P12W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayh)
          POS:	PREP+PRON_3MS
          VOC:	EalaY+uh
        GLOSS:	on/above+it/him

 INPUT STRING:	الدور
     IS_TRANS:	Aldwr
        INDEX:	P12W7
      OFFSETS:	30-35
       TOKENS:	P12W9-P12W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[duwr_1]
   UNSPLITVOC:	(Alduwr)
          POS:	DET+NOUN
          VOC:	Al+duwr
        GLOSS:	the+round/turn

 INPUT STRING:	يمرمطنا
     IS_TRANS:	ymrmTnA
        INDEX:	P12W8
      OFFSETS:	36-43
       TOKENS:	P12W10-P12W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maromaT_1]
   UNSPLITVOC:	(ymaromaTnA)
          POS:	IV3MS+IV+IVSUFF_DO:1P
          VOC:	y+maromaT+nA
        GLOSS:	he/it+damage/spoil+us

 INPUT STRING:	محنا
     IS_TRANS:	mHnA
        INDEX:	P12W9
      OFFSETS:	44-48
       TOKENS:	P12W12-P12W12
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mHnA)
          POS:	NO_FUNC
          VOC:	mHnA
        GLOSS:	nogloss

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P12W10
      OFFSETS:	49-53
       TOKENS:	P12W13-P12W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	ADJ
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	نتساهل
     IS_TRANS:	ntsAhl
        INDEX:	P12W11
      OFFSETS:	54-60
       TOKENS:	P12W14-P12W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitosAhil_1]
   UNSPLITVOC:	(nitosAhal)
          POS:	IV1P+IV
          VOC:	ni+tosAhal
        GLOSS:	we+behave with tolerance and lenience

 INPUT STRING:	ونتسامح
     IS_TRANS:	wntsAmH
        INDEX:	P12W12
      OFFSETS:	61-68
       TOKENS:	P12W15-P12W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tsAmaH_1]
   UNSPLITVOC:	(winitsAmaH)
          POS:	CONJ+IV1P+IV
          VOC:	wi+ni+tsAmaH
        GLOSS:	and+we+be tolerant

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P12W13
      OFFSETS:	69-73
       TOKENS:	P12W17-P12W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Ea$An)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P12W14
      OFFSETS:	74-78
       TOKENS:	P12W19-P12W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	الكبار
     IS_TRANS:	AlkbAr
        INDEX:	P12W15
      OFFSETS:	79-85
       TOKENS:	P12W20-P12W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kibiyr_1]
   UNSPLITVOC:	(AlkubAr)
          POS:	DET+ADJ
          VOC:	Al+kubAr
        GLOSS:	the+older/bigger

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P12W16
      OFFSETS:	86-88
       TOKENS:	P12W21-P12W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	تنفع
     IS_TRANS:	tnfE
        INDEX:	P12W17
      OFFSETS:	89-93
       TOKENS:	P12W22-P12W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafaE_1]
   UNSPLITVOC:	(tinofaE)
          POS:	IV3FS+IV
          VOC:	ti+nofaE
        GLOSS:	it/they/she+utilize

 INPUT STRING:	نكته
     IS_TRANS:	nkth
        INDEX:	P12W18
      OFFSETS:	94-98
       TOKENS:	P12W23-P12W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nukotap_1]
   UNSPLITVOC:	(nukotap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	nukot+ap
        GLOSS:	joke/wisecrack+[fem.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P12W19
      OFFSETS:	99-102
       TOKENS:	P12W24-P12W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	فكرة
     IS_TRANS:	fkrp
        INDEX:	P12W20
      OFFSETS:	103-107
       TOKENS:	P12W25-P12W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikorap_1]
   UNSPLITVOC:	(fikorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fikor+ap
        GLOSS:	idea/notion/concept+[fem.sg.]

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P12W21
      OFFSETS:	108-110
       TOKENS:	P12W26-P12W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	Gloss:TBA

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P12W22
      OFFSETS:	111-115
       TOKENS:	P12W27-P12W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	be+it/they/she

 INPUT STRING:	حرب
     IS_TRANS:	Hrb
        INDEX:	P12W23
      OFFSETS:	116-119
       TOKENS:	P12W28-P12W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Harob_1]
   UNSPLITVOC:	(Harob)
          POS:	NOUN
          VOC:	Harob
        GLOSS:	war/warfare/wars

 INPUT STRING:	وهما
     IS_TRANS:	whmA
        INDEX:	P12W24
      OFFSETS:	120-124
       TOKENS:	P12W29-P12W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(wihum~a)
          POS:	CONJ+PRON_3P
          VOC:	wi+hum~a
        GLOSS:	and+they

 INPUT STRING:	الي
     IS_TRANS:	Aly
        INDEX:	P12W25
      OFFSETS:	125-128
       TOKENS:	P12W31-P12W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	خلوها
     IS_TRANS:	xlwhA
        INDEX:	P12W26
      OFFSETS:	129-134
       TOKENS:	P12W32-P12W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(xal~uwhA)
          POS:	PV+PVSUFF_SUBJ:3P+PVSUFF_DO:3FS
          VOC:	xal~+uwA+hA
        GLOSS:	release/evacuate/allow/be released/be evacuated/be allowed+they+it/them/her

 INPUT STRING:	حرب
     IS_TRANS:	Hrb
        INDEX:	P12W27
      OFFSETS:	135-138
       TOKENS:	P12W34-P12W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Harob_1]
   UNSPLITVOC:	(Harob)
          POS:	NOUN
          VOC:	Harob
        GLOSS:	war/warfare/wars

 INPUT STRING:	حاجه
     IS_TRANS:	HAjh
        INDEX:	P12W28
      OFFSETS:	139-143
       TOKENS:	P12W35-P12W35
