 INPUT STRING:	دلوقت
        INDEX:	P19W37
      OFFSETS:	161-166
       TOKENS:	P19W45-P19W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Safowat_1]
   UNSPLITVOC:	(wiSafowat)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+Safowat
        GLOSS:	and+Safwat

 INPUT STRING:	الشريف
     IS_TRANS:	Al$ryf
        INDEX:	P19W38
      OFFSETS:	167-173
       TOKENS:	P19W47-P19W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$iriyf_1]
   UNSPLITVOC:	(Al$~iriyf)
          POS:	DET+NOUN_PROP
          VOC:	Al+$iriyf
        GLOSS:	the+Shirif

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P19W39
      OFFSETS:	173-174
       TOKENS:	P19W48-P19W48
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	ولم
     IS_TRANS:	wlm
        INDEX:	P19W40
      OFFSETS:	175-178
       TOKENS:	P19W49-P19W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lamo_1]
   UNSPLITVOC:	(wilamo)
          POS:	CONJ+NEG_PART
          VOC:	wi+lamo
        GLOSS:	and+did not

 INPUT STRING:	يفكر
     IS_TRANS:	yfkr
        INDEX:	P19W41
      OFFSETS:	179-183
       TOKENS:	P19W51-P19W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fak~ar_1]
   UNSPLITVOC:	(yifak~ar)
          POS:	IV3MS+IV
          VOC:	yi+fak~ar
        GLOSS:	he/it+think/consider/ponder

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P19W42
      OFFSETS:	184-187
       TOKENS:	P19W52-P19W52
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	الصلاة
     IS_TRANS:	AlSlAp
        INDEX:	P19W43
      OFFSETS:	188-194
       TOKENS:	P19W53-P19W53
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[SalAap_1]
   UNSPLITVOC:	(AlSalAap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+SalA+ap
        GLOSS:	the+prayer/salat+[fem.sg.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P19W44
      OFFSETS:	195-197
       TOKENS:	P19W54-P19W54
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P19W45
      OFFSETS:	198-200
       TOKENS:	P19W55-P19W55
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(>an~)
          POS:	SUB_CONJ
          VOC:	>an~
        GLOSS:	that

 INPUT STRING:	يقول
     IS_TRANS:	yqwl
        INDEX:	P19W46
      OFFSETS:	201-205
       TOKENS:	P19W56-P19W56
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(yiquwl)
          POS:	IV3MS+IV
          VOC:	yi+quwl
        GLOSS:	he/it+say

 INPUT STRING:	لهم
     IS_TRANS:	lhm
        INDEX:	P19W47
      OFFSETS:	206-209
       TOKENS:	P19W57-P19W58
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luhum)
          POS:	PREP+PRON_3P
          VOC:	li+hum
        GLOSS:	for/to+them

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P19W48
      OFFSETS:	209-210
       TOKENS:	P19W59-P19W59
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	اتقوا
     IS_TRANS:	AtqwA
        INDEX:	P19W49
      OFFSETS:	211-216
       TOKENS:	P19W60-P19W60
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitaqay_1]
   UNSPLITVOC:	(AitaquwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	Aitaq+uwA
        GLOSS:	beware/be on guard+you [pl.]

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P19W50
      OFFSETS:	217-221
       TOKENS:	P19W61-P19W61
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	…
     IS_TRANS:	&#x2026;
        INDEX:	P19W51
      OFFSETS:	221-222
       TOKENS:	P19W62-P19W62
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(&#x2026;)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	العيال
     IS_TRANS:	AlEyAl
        INDEX:	P19W52
      OFFSETS:	223-229
       TOKENS:	P19W63-P19W63
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eay~il_1]
   UNSPLITVOC:	(AlEiyAl)
          POS:	DET+NOUN
          VOC:	Al+EiyAl
        GLOSS:	the+dependents/children

 INPUT STRING:	المرمية
     IS_TRANS:	Almrmyp
        INDEX:	P19W53
      OFFSETS:	230-237
       TOKENS:	P19W64-P19W64
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maromiy_1]
   UNSPLITVOC:	(Almaromiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+maromiy~+ap
        GLOSS:	the+thrown/discarded+[fem.sg.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P19W54
      OFFSETS:	238-240
       TOKENS:	P19W65-P19W65
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	السجن
     IS_TRANS:	Alsjn
        INDEX:	P19W55
      OFFSETS:	241-246
       TOKENS:	P19W66-P19W66
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sijon_1]
   UNSPLITVOC:	(Als~ijon)
          POS:	DET+NOUN
          VOC:	Al+sijon
        GLOSS:	the+prison

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P19W56
      OFFSETS:	247-249
       TOKENS:	P19W67-P19W67
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON
          VOC:	diy
        GLOSS:	this/these

 INPUT STRING:	ماعملتش
     IS_TRANS:	mAEmlt$
        INDEX:	P19W57
      OFFSETS:	250-257
       TOKENS:	P19W68-P19W70
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(mA_Eamalit$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:3FS+NEG_PART
          VOC:	mA+Eamal+it+$
        GLOSS:	not+work/function/act+it/they/she  [verb]+not

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P19W58
      OFFSETS:	258-262
       TOKENS:	P19W71-P19W71
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P19W59
      OFFSETS:	262-263
       TOKENS:	P19W72-P19W72
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P20W1
      OFFSETS:	0-4
       TOKENS:	P20W1-P20W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master+our

 INPUT STRING:	نفخ
     IS_TRANS:	nfx
        INDEX:	P20W2
      OFFSETS:	5-8
       TOKENS:	P20W3-P20W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafax_1]
   UNSPLITVOC:	(nafax)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	nafax+(null)
        GLOSS:	inflate/blow into+he/it [verb]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P20W3
      OFFSETS:	9-11
       TOKENS:	P20W4-P20W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	صورتكم
     IS_TRANS:	Swrtkm
        INDEX:	P20W4
      OFFSETS:	12-18
       TOKENS:	P20W5-P20W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(Suwritkum)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_2P
          VOC:	Suwr+ap+kum
        GLOSS:	picture/image/illustration/photo+[fem.sg.]+your [pl.]

 INPUT STRING:	وخرجتو
     IS_TRANS:	wxrjtw
        INDEX:	P20W5
      OFFSETS:	19-25
       TOKENS:	P20W7-P20W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaraj_1]
   UNSPLITVOC:	(wixarajtuwA)
          POS:	CONJ+PV+PVSUFF_SUBJ:2P
          VOC:	wi+xaraj+tuwA
        GLOSS:	and+go out/exit/leave+you [pl.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P20W6
      OFFSETS:	26-28
       TOKENS:	P20W9-P20W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	السجن
     IS_TRANS:	Alsjn
        INDEX:	P20W7
      OFFSETS:	29-34
       TOKENS:	P20W10-P20W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sijon_1]
   UNSPLITVOC:	(Als~ijon)
          POS:	DET+NOUN
          VOC:	Al+sijon
        GLOSS:	the+prison

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P20W8
      OFFSETS:	34-35
       TOKENS:	P20W11-P20W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وأصبح
     IS_TRANS:	w>SbH
        INDEX:	P20W9
      OFFSETS:	36-41
       TOKENS:	P20W12-P20W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSobaH_1]
   UNSPLITVOC:	(wi>aSobaH)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+>aSobaH+(null)
        GLOSS:	and+become/begin/start+he/it [verb]

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P20W10
      OFFSETS:	42-44
       TOKENS:	P20W14-P20W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	السالف
     IS_TRANS:	AlsAlf
        INDEX:	P20W11
      OFFSETS:	45-51
       TOKENS:	P20W15-P20W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAlif_1]
   UNSPLITVOC:	(Als~Alif)
          POS:	DET+ADJ
          VOC:	Al+sAlif
        GLOSS:	the+previous/preceding/former/previously/formerly

 INPUT STRING:	ذكرهم
     IS_TRANS:	*krhm
        INDEX:	P20W12
      OFFSETS:	52-57
       TOKENS:	P20W16-P20W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*ikor_1]
   UNSPLITVOC:	(*ikoruhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	*ikor+hum
        GLOSS:	mention/citation/memory+their

 INPUT STRING:	ممن
     IS_TRANS:	mmn
        INDEX:	P20W13
      OFFSETS:	58-61
       TOKENS:	P20W18-P20W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mim~an_1]
   UNSPLITVOC:	(minman)
          POS:	PREP+REL_PRON
          VOC:	min+man
        GLOSS:	from+whom

 INPUT STRING:	ساندوكم
     IS_TRANS:	sAndwkm
        INDEX:	P20W14
      OFFSETS:	62-69
       TOKENS:	P20W20-P20W20
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(sAndwkm)
          POS:	NO_FUNC
          VOC:	sAndwkm
        GLOSS:	nogloss

 INPUT STRING:	ودافعوا
     IS_TRANS:	wdAfEwA
        INDEX:	P20W15
      OFFSETS:	70-77
       TOKENS:	P20W21-P20W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAfaE_1]
   UNSPLITVOC:	(widAfaEuwA)
          POS:	CONJ+PV+PVSUFF_SUBJ:3P
          VOC:	wi+dAfaE+uwA
        GLOSS:	and+defend+they [verb]

 INPUT STRING:	عنكم
     IS_TRANS:	Enkm
        INDEX:	P20W16
      OFFSETS:	78-82
       TOKENS:	P20W23-P20W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Eankum)
          POS:	PREP+PRON_2P
          VOC:	Ean+kum
        GLOSS:	(away) from, off, about, on, over+you [pl.]

 INPUT STRING:	واتجرجروا
     IS_TRANS:	wAtjrjrwA
        INDEX:	P20W17
      OFFSETS:	83-92
       TOKENS:	P20W25-P20W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitojarojar_1]
   UNSPLITVOC:	(wiAitojarojaruwA)
          POS:	CONJ+PV_PASS+PVSUFF_SUBJ:3P
          VOC:	wi+Aitojarojar+uwA
        GLOSS:	and+be gargled/be draged+they [verb]

 INPUT STRING:	وراكم
     IS_TRANS:	wrAkm
        INDEX:	P20W18
      OFFSETS:	93-98
       TOKENS:	P20W27-P20W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[warA_1]
   UNSPLITVOC:	(warAkum)
          POS:	NOUN+POSS_PRON_2P
          VOC:	warA+kum
        GLOSS:	behind/past/beyond+your [pl.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P20W19
      OFFSETS:	98-99
       TOKENS:	P20W29-P20W29
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	هم
     IS_TRANS:	hm
        INDEX:	P20W20
      OFFSETS:	100-102
       TOKENS:	P20W30-P20W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they

 INPUT STRING:	الكفرة
     IS_TRANS:	Alkfrp
        INDEX:	P20W21
      OFFSETS:	103-109
       TOKENS:	P20W31-P20W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAfir_1]
   UNSPLITVOC:	(Alkafarap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+kafar+ap
        GLOSS:	the+infidels+[fem.sg.]

 INPUT STRING:	الملاحدة
     IS_TRANS:	AlmlAHdp
        INDEX:	P20W22
      OFFSETS:	110-118
       TOKENS:	P20W32-P20W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muloHid_1]
   UNSPLITVOC:	(AlmalAHodap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+malAHod+ap
        GLOSS:	the+atheists/heretics+[fem.sg.]

 INPUT STRING:	الشواذ
     IS_TRANS:	Al$wA*
        INDEX:	P20W23
      OFFSETS:	119-125
       TOKENS:	P20W33-P20W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A*~_1]
   UNSPLITVOC:	(Al$~awA*)
          POS:	DET+NOUN
          VOC:	Al+$awA*
        GLOSS:	the+deviant

 INPUT STRING:	الشيعة
     IS_TRANS:	Al$yEp
        INDEX:	P20W24
      OFFSETS:	126-132
       TOKENS:	P20W34-P20W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$iyEap_1]
   UNSPLITVOC:	(Al$~iyEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+$iyE+ap
        GLOSS:	the+partisans/followers+[fem.sg.]

 INPUT STRING:	الماسون
     IS_TRANS:	AlmAswn
        INDEX:	P20W25
      OFFSETS:	133-140
       TOKENS:	P20W35-P20W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAsuwn_1]
   UNSPLITVOC:	(AlmAsuwn)
          POS:	DET+NOUN
          VOC:	Al+mAsuwn
        GLOSS:	the+Freemason

 INPUT STRING:	الليبراليين
     IS_TRANS:	AllybrAlyyn
        INDEX:	P20W26
      OFFSETS:	141-152
       TOKENS:	P20W36-P20W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liybirAliy~_1]
   UNSPLITVOC:	(AlliybirAliy~iyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+liybirAliy~+iyn
        GLOSS:	the+liberal+[masc.pl.]

 INPUT STRING:	البى
     IS_TRANS:	AlbY
        INDEX:	P20W27
      OFFSETS:	153-157
       TOKENS:	P20W37-P20W37
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(AlbY)
          POS:	FOREIGN
          VOC:	AlbY
        GLOSS:	nogloss

 INPUT STRING:	فور
     IS_TRANS:	fwr
        INDEX:	P20W28
      OFFSETS:	158-161
       TOKENS:	P20W38-P20W38
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(fwr)
          POS:	FOREIGN
          VOC:	fwr
        GLOSS:	nogloss

 INPUT STRING:	بانديتا
     IS_TRANS:	bAndytA
        INDEX:	P20W29
      OFFSETS:	162-169
       TOKENS:	P20W39-P20W39
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[partial_word]
   UNSPLITVOC:	(bAndytA)
          POS:	PARTIAL
          VOC:	bAndytA
        GLOSS:	nogloss

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P20W30
      OFFSETS:	169-170
       TOKENS:	P20W40-P20W40
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وأصبح
     IS_TRANS:	w>SbH
        INDEX:	P20W31
      OFFSETS:	171-176
       TOKENS:	P20W41-P20W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSobaH_1]
   UNSPLITVOC:	(wi>aSobaH)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+>aSobaH+(null)
        GLOSS:	and+become/begin/start+he/it [verb]

 INPUT STRING:	الروينى
     IS_TRANS:	AlrwynY
        INDEX:	P20W32
      OFFSETS:	177-184
       TOKENS:	P20W43-P20W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[riwiyniy_1]
   UNSPLITVOC:	(Alr~iwiyniy)
          POS:	DET+NOUN
          VOC:	Al+riwiyniy
        GLOSS:	the+Rewiny

 INPUT STRING:	الذى
     IS_TRANS:	Al*Y
        INDEX:	P20W33
      OFFSETS:	185-189
       TOKENS:	P20W44-P20W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	which/who/whom [masc.sg.]

 INPUT STRING:	صدق
     IS_TRANS:	Sdq
        INDEX:	P20W34
      OFFSETS:	190-193
       TOKENS:	P20W45-P20W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sad~aq_1]
   UNSPLITVOC:	(Sad~aq)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Sad~aq+(null)
        GLOSS:	believe/give credence to/confirm+he/it [verb]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P20W35
      OFFSETS:	194-197
       TOKENS:	P20W46-P20W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الأحكام
     IS_TRANS:	Al>HkAm
        INDEX:	P20W36
      OFFSETS:	198-205
       TOKENS:	P20W47-P20W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukom_1]
   UNSPLITVOC:	(Al>aHokAm)
          POS:	DET+NOUN
          VOC:	Al+>aHokAm
        GLOSS:	the+judgments/decisions//verdicts

 INPUT STRING:	العسكرية
     IS_TRANS:	AlEskryp
        INDEX:	P20W37
      OFFSETS:	206-214
       TOKENS:	P20W48-P20W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokariy_1]
   UNSPLITVOC:	(AlEasokariy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Easokariy~+ap
        GLOSS:	the+military/army+[fem.sg.]

 INPUT STRING:	ضدكم
     IS_TRANS:	Ddkm
        INDEX:	P20W38
      OFFSETS:	215-219
       TOKENS:	P20W49-P20W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Did~_1]
   UNSPLITVOC:	(Did~ukum)
          POS:	NOUN+POSS_PRON_2P
          VOC:	Did~+kum
        GLOSS:	contrary/against/opposed/anti-/counter-+your [pl.]

 INPUT STRING:	حليفكم
     IS_TRANS:	Hlyfkm
        INDEX:	P20W39
      OFFSETS:	220-226
       TOKENS:	P20W51-P20W52
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haliyf_1]
   UNSPLITVOC:	(Haliyfkum)
          POS:	NOUN+POSS_PRON_2P
          VOC:	Haliyf+kum
        GLOSS:	ally/allied/confederate+your [pl.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P20W40
      OFFSETS:	226-227
       TOKENS:	P20W53-P20W53
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وأصبح
     IS_TRANS:	w>SbH
        INDEX:	P20W41
      OFFSETS:	228-233
       TOKENS:	P20W54-P20W55
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSobaH_1]
   UNSPLITVOC:	(wi>aSobaH)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+>aSobaH+(null)
