 INPUT STRING:	الملاحظ
       TOKENS:	P22W20-P22W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aiz~Ay_1]
   UNSPLITVOC:	(Aiz~Ay)
          POS:	REL_ADV
          VOC:	Aiz~Ay
        GLOSS:	how

 INPUT STRING:	وكمان
     IS_TRANS:	wkmAn
        INDEX:	P23W1
      OFFSETS:	0-5
       TOKENS:	P23W1-P23W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(wikamAn)
          POS:	CONJ+ADV
          VOC:	wi+kamAn
        GLOSS:	and+also/too

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P23W2
      OFFSETS:	6-10
       TOKENS:	P23W3-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	متقدم
     IS_TRANS:	mtqdm
        INDEX:	P23W3
      OFFSETS:	11-16
       TOKENS:	P23W4-P23W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mitoqad~im_1]
   UNSPLITVOC:	(mitoqad~im)
          POS:	NOUN
          VOC:	mitoqad~im
        GLOSS:	advanced

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P23W4
      OFFSETS:	17-21
       TOKENS:	P23W5-P23W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	also/too

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P23W5
      OFFSETS:	22-25
       TOKENS:	P23W6-P23W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	i

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P23W6
      OFFSETS:	26-28
       TOKENS:	P23W7-P23W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	رايي
     IS_TRANS:	rAyy
        INDEX:	P23W7
      OFFSETS:	29-33
       TOKENS:	P23W8-P23W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(ra>oyiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	ra>oy+iy
        GLOSS:	opinion/view/idea+my

 INPUT STRING:	يساويها
     IS_TRANS:	ysAwyhA
        INDEX:	P23W8
      OFFSETS:	34-41
       TOKENS:	P23W10-P23W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sAwaY_1]
   UNSPLITVOC:	(yisAwiyhA)
          POS:	IV3MS+IV+IVSUFF_DO:3FS
          VOC:	yi+sAwiy+hA
        GLOSS:	he/it+settle/be equivalent/equalize+it/them/her

 INPUT STRING:	ماديا
     IS_TRANS:	mAdyA
        INDEX:	P23W9
      OFFSETS:	42-47
       TOKENS:	P23W12-P23W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAd~iy~_1]
   UNSPLITVOC:	(mAd~iy~AF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	mAd~iy~+AF
        GLOSS:	materialistic+[acc.indef.]

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P23W10
      OFFSETS:	48-50
       TOKENS:	P23W13-P23W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>awo_1]
   UNSPLITVOC:	(>awo)
          POS:	CONJ
          VOC:	>awo
        GLOSS:	Or, if not, unless, except if, except when

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P23W11
      OFFSETS:	51-55
       TOKENS:	P23W14-P23W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yikuwn)
          POS:	IV3MS+IV
          VOC:	yi+kuwn
        GLOSS:	he/it+be

 INPUT STRING:	اكثر
     IS_TRANS:	Akvr
        INDEX:	P23W12
      OFFSETS:	56-60
       TOKENS:	P23W15-P23W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>akovar_1]
   UNSPLITVOC:	(>akovar)
          POS:	ADJ_COMP
          VOC:	>akovar
        GLOSS:	more, most, majority

 INPUT STRING:	منها
     IS_TRANS:	mnhA
        INDEX:	P23W13
      OFFSETS:	61-65
       TOKENS:	P23W16-P23W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(minhA)
          POS:	PREP+PRON_3FS
          VOC:	min+hA
        GLOSS:	from+it/them/her

 INPUT STRING:	وكمااااااان
     IS_TRANS:	wkmAAAAAAAn
        INDEX:	P23W14
      OFFSETS:	66-77
       TOKENS:	P23W18-P23W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(wikamAn)
          POS:	CONJ+ADV
          VOC:	wi+kamAn
        GLOSS:	and+also/too

 INPUT STRING:	طبعا
     IS_TRANS:	TbEA
        INDEX:	P23W15
      OFFSETS:	78-82
       TOKENS:	P23W20-P23W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaboE_1]
   UNSPLITVOC:	(TaboEAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	TaboE+AF
        GLOSS:	temperament/naturally/of course+[acc.indef.]

 INPUT STRING:	دينيا
     IS_TRANS:	dynyA
        INDEX:	P23W16
      OFFSETS:	83-88
       TOKENS:	P23W21-P23W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyniy_1]
   UNSPLITVOC:	(diyniy~AF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	diyniy~+AF
        GLOSS:	religious+[acc.indef.]

 INPUT STRING:	قبل
     IS_TRANS:	qbl
        INDEX:	P23W17
      OFFSETS:	89-92
       TOKENS:	P23W22-P23W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qabol_1]
   UNSPLITVOC:	(qabol)
          POS:	NOUN
          VOC:	qabol
        GLOSS:	before/previously/formerly

 INPUT STRING:	ماليا
     IS_TRANS:	mAlyA
        INDEX:	P23W18
      OFFSETS:	93-98
       TOKENS:	P23W23-P23W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAliy~_1]
   UNSPLITVOC:	(mAliy~AF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	mAliy~+AF
        GLOSS:	financial/monetary+[acc.indef.]

 INPUT STRING:	واخلاقيا
     IS_TRANS:	wAxlAqyA
        INDEX:	P23W19
      OFFSETS:	99-107
       TOKENS:	P23W24-P23W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>axolAqiy_1]
   UNSPLITVOC:	(wa>axolAqiy~AF)
          POS:	CONJ+ADJ+CASE_INDEF_ACC
          VOC:	wa+>axolAqiy~+AF
        GLOSS:	and+moral/ethical+[ind.acc.]

 INPUT STRING:	وكمان
     IS_TRANS:	wkmAn
        INDEX:	P24W1
      OFFSETS:	0-5
       TOKENS:	P24W1-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(wikamAn)
          POS:	CONJ+ADV
          VOC:	wi+kamAn
        GLOSS:	and+also/too

 INPUT STRING:	سبب
     IS_TRANS:	sbb
        INDEX:	P24W2
      OFFSETS:	6-9
       TOKENS:	P24W3-P24W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabab_1]
   UNSPLITVOC:	(sabab)
          POS:	NOUN
          VOC:	sabab
        GLOSS:	reason/cause/because of/due to

 INPUT STRING:	تانى
     IS_TRANS:	tAnY
        INDEX:	P24W3
      OFFSETS:	10-14
       TOKENS:	P24W4-P24W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAniy_1]
   UNSPLITVOC:	(tAniy)
          POS:	NOUN
          VOC:	tAniy
        GLOSS:	other

 INPUT STRING:	لارتفاع
     IS_TRANS:	lArtfAE
        INDEX:	P24W4
      OFFSETS:	15-22
       TOKENS:	P24W5-P24W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AirotifAE_1]
   UNSPLITVOC:	(liAirotifAE)
          POS:	PREP+NOUN
          VOC:	li+AirotifAE
        GLOSS:	for/to+rise/increase/elevation

 INPUT STRING:	التكاليف
     IS_TRANS:	AltkAlyf
        INDEX:	P24W5
      OFFSETS:	23-31
       TOKENS:	P24W7-P24W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[takolifap_1]
   UNSPLITVOC:	(Alt~akAliyf)
          POS:	DET+NOUN
          VOC:	Al+takAliyf
        GLOSS:	the+cost computation

 INPUT STRING:	ارتفااااااااااااااااااااااااااااااااع
     IS_TRANS:	ArtfAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAE
        INDEX:	P24W6
      OFFSETS:	32-69
       TOKENS:	P24W8-P24W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AartifAE_1]
   UNSPLITVOC:	(AartifAE)
          POS:	NOUN
          VOC:	AartifAE
        GLOSS:	raise

 INPUT STRING:	الاسعار
     IS_TRANS:	AlAsEAr
        INDEX:	P24W7
      OFFSETS:	70-77
       TOKENS:	P24W9-P24W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siEor_1]
   UNSPLITVOC:	(AlAsoEAr)
          POS:	DET+NOUN
          VOC:	Al+AsoEAr
        GLOSS:	the+price/rate

 INPUT STRING:	ياااااااااااه
     IS_TRANS:	yAAAAAAAAAAAh
        INDEX:	P25W1
      OFFSETS:	0-13
       TOKENS:	P25W1-P25W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yAh_1]
   UNSPLITVOC:	(yAh)
          POS:	INTERJ
          VOC:	yAh
        GLOSS:	wish

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P25W2
      OFFSETS:	14-16
       TOKENS:	P25W2-P25W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	انخفضت
     IS_TRANS:	AnxfDt
        INDEX:	P25W3
      OFFSETS:	17-23
       TOKENS:	P25W3-P25W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AinoxafaD_1]
   UNSPLITVOC:	(AinoxafaDit)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	AinoxafaD+it
        GLOSS:	be lowered/decrease+it/they/she [verb]

 INPUT STRING:	الاسعار
     IS_TRANS:	AlAsEAr
        INDEX:	P25W4
      OFFSETS:	24-31
       TOKENS:	P25W4-P25W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siEor_1]
   UNSPLITVOC:	(AlAsoEAr)
          POS:	DET+NOUN
          VOC:	Al+AsoEAr
        GLOSS:	the+price/rate

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P25W5
      OFFSETS:	32-34
       TOKENS:	P25W5-P25W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P25W6
      OFFSETS:	35-39
       TOKENS:	P25W6-P25W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	هتتيسر
     IS_TRANS:	httysr
        INDEX:	P25W7
      OFFSETS:	40-46
       TOKENS:	P25W7-P25W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<itoyas~ar_1]
   UNSPLITVOC:	(hatatayas~ar)
          POS:	FUT_PART+IV3FS+IV
          VOC:	ha+ta+tayas~ar
        GLOSS:	will+it/they/she+easy

 INPUT STRING:	وكمان
     IS_TRANS:	wkmAn
        INDEX:	P26W1
      OFFSETS:	0-5
       TOKENS:	P26W1-P26W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(wikamAn)
          POS:	CONJ+ADV
          VOC:	wi+kamAn
        GLOSS:	and+also/too

 INPUT STRING:	الاسعااااال
     IS_TRANS:	AlAsEAAAAAl
        INDEX:	P26W2
      OFFSETS:	6-17
       TOKENS:	P26W3-P26W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AlAsEAAAAAl)
          POS:	TYPO
          VOC:	AlAsEAAAAAl
        GLOSS:	nogloss

 INPUT STRING:	بردووو
     IS_TRANS:	brdwww
        INDEX:	P26W3
      OFFSETS:	18-24
       TOKENS:	P26W4-P26W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(brdwww)
          POS:	TYPO
          VOC:	brdwww
        GLOSS:	nogloss

 INPUT STRING:	نبين
     IS_TRANS:	nbyn
        INDEX:	P26W4
      OFFSETS:	25-29
       TOKENS:	P26W5-P26W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bay~in_1]
   UNSPLITVOC:	(nibay~in)
          POS:	IV1P+IV
          VOC:	ni+bay~in
        GLOSS:	we+declare/demonstrate

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P26W5
      OFFSETS:	30-34
       TOKENS:	P26W6-P26W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	يعنى
     IS_TRANS:	yEnY
        INDEX:	P26W6
      OFFSETS:	35-39
       TOKENS:	P26W7-P26W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/concern

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P26W7
      OFFSETS:	40-42
       TOKENS:	P26W8-P26W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	هتنخفض
     IS_TRANS:	htnxfD
        INDEX:	P26W8
      OFFSETS:	43-49
       TOKENS:	P26W9-P26W9
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(htnxfD)
          POS:	NO_FUNC
          VOC:	htnxfD
        GLOSS:	nogloss

 INPUT STRING:	الا
     IS_TRANS:	AlA
        INDEX:	P26W9
      OFFSETS:	50-53
       TOKENS:	P26W10-P26W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	RESTRIC_PART
          VOC:	<il~A
        GLOSS:	except for

 INPUT STRING:	طبعا
     IS_TRANS:	TbEA
        INDEX:	P26W10
      OFFSETS:	54-58
       TOKENS:	P26W11-P26W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaboE_1]
   UNSPLITVOC:	(TaboEAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	TaboE+AF
        GLOSS:	temperament/naturally/of course+[acc.indef.]

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P26W11
      OFFSETS:	59-61
       TOKENS:	P26W12-P26W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P26W12
      OFFSETS:	62-66
       TOKENS:	P26W13-P26W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	اشتغلنا
     IS_TRANS:	A$tglnA
        INDEX:	P26W13
      OFFSETS:	67-74
       TOKENS:	P26W14-P26W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai$otagal_1]
   UNSPLITVOC:	(Aa$otagalnA)
          POS:	IV1S+IV+IVSUFF_DO:1P
          VOC:	Aa+$otagal+nA
        GLOSS:	I+work/actuation+us

 INPUT STRING:	وتعبنا
     IS_TRANS:	wtEbnA
        INDEX:	P26W14
      OFFSETS:	75-81
       TOKENS:	P26W16-P26W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEab_1]
   UNSPLITVOC:	(witaEabnA)
          POS:	CONJ+PV+PVSUFF_SUBJ:1P
          VOC:	wi+taEab+nA
        GLOSS:	and+be tired/work hard+we

 INPUT STRING:	وبنينا
     IS_TRANS:	wbnynA
        INDEX:	P26W15
      OFFSETS:	82-88
       TOKENS:	P26W18-P26W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[banaY_1]
   UNSPLITVOC:	(wibanaynA)
          POS:	CONJ+PV+PVSUFF_SUBJ:1P
          VOC:	wi+ban+aynA
        GLOSS:	and+build/erect/be built/be erected+we

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P26W16
      OFFSETS:	89-94
       TOKENS:	P26W20-P26W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/country/countries

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P26W17
      OFFSETS:	95-97
       TOKENS:	P26W21-P26W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P26W18
      OFFSETS:	98-100
       TOKENS:	P26W22-P26W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	تانى
     IS_TRANS:	tAnY
        INDEX:	P26W19
      OFFSETS:	101-105
       TOKENS:	P26W23-P26W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAniy_1]
   UNSPLITVOC:	(tAniy)
          POS:	NOUN
          VOC:	tAniy
        GLOSS:	other

 INPUT STRING:	يعنى
     IS_TRANS:	yEnY
        INDEX:	P27W1
      OFFSETS:	0-4
       TOKENS:	P27W1-P27W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/concern

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P27W2
      OFFSETS:	5-9
       TOKENS:	P27W2-P27W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P27W3
      OFFSETS:	10-12
       TOKENS:	P27W3-P27W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	مسكنا
     IS_TRANS:	msknA
        INDEX:	P27W4
      OFFSETS:	13-18
       TOKENS:	P27W4-P27W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misik_1]
   UNSPLITVOC:	(misiknA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	misik+nA
        GLOSS:	catch+we

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P27W5
      OFFSETS:	19-26
       TOKENS:	P27W5-P27W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue

 INPUT STRING:	هلاقى
     IS_TRANS:	hlAqY
        INDEX:	P27W6
      OFFSETS:	27-32
       TOKENS:	P27W6-P27W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAqaY_1]
   UNSPLITVOC:	(HaAalAqiy)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+lAqiy
        GLOSS:	will+I+find

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P27W7
      OFFSETS:	33-35
       TOKENS:	P27W8-P27W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	سبب
     IS_TRANS:	sbb
        INDEX:	P27W8
      OFFSETS:	36-39
       TOKENS:	P27W9-P27W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabab_1]
   UNSPLITVOC:	(sabab)
          POS:	NOUN
          VOC:	sabab
        GLOSS:	reason/cause/because of/due to

 INPUT STRING:	بيطلع
     IS_TRANS:	byTlE
        INDEX:	P27W9
      OFFSETS:	40-45
       TOKENS:	P27W10-P27W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tal~aE_1]
   UNSPLITVOC:	(biyiTal~aE)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+Tal~aE
        GLOSS:	[present-tense]+he/it+produces

 INPUT STRING:	سبب
     IS_TRANS:	sbb
        INDEX:	P27W10
      OFFSETS:	46-49
       TOKENS:	P27W12-P27W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabab_1]
   UNSPLITVOC:	(sabab)
          POS:	NOUN
          VOC:	sabab
        GLOSS:	reason/cause/because of/due to

 INPUT STRING:	تانى
     IS_TRANS:	tAnY
        INDEX:	P27W11
      OFFSETS:	50-54
       TOKENS:	P27W13-P27W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAniy_1]
   UNSPLITVOC:	(tAniy)
          POS:	NOUN
          VOC:	tAniy
        GLOSS:	other

 INPUT STRING:	ادهى
     IS_TRANS:	AdhY
        INDEX:	P27W12
      OFFSETS:	55-59
       TOKENS:	P27W14-P27W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>adohaY_1]
   UNSPLITVOC:	(>adohaY)
          POS:	ADJ_COMP
          VOC:	>adohaY
        GLOSS:	shrewder/shrewdest
