 INPUT STRING:	الطرف
          POS:	REL_PRON
          VOC:	Al~a*iyna
        GLOSS:	who

 INPUT STRING:	أفسدوا
     IS_TRANS:	>fsdwA
        INDEX:	P9W9
      OFFSETS:	41-47
       TOKENS:	P9W10-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>afosad_1]
   UNSPLITVOC:	(>afosaduwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	>afosad+uwA
        GLOSS:	spoil+they

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P9W10
      OFFSETS:	48-51
       TOKENS:	P9W11-P9W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	وكانوا
     IS_TRANS:	wkAnwA
        INDEX:	P9W11
      OFFSETS:	52-58
       TOKENS:	P9W12-P9W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(wikAnuwA)
          POS:	CONJ+PV+PVSUFF_SUBJ:3P
          VOC:	wi+kAn+uwA
        GLOSS:	and+be+they

 INPUT STRING:	سببا
     IS_TRANS:	sbbA
        INDEX:	P9W12
      OFFSETS:	59-63
       TOKENS:	P9W14-P9W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabab_1]
   UNSPLITVOC:	(sababAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	sabab+AF
        GLOSS:	reason/cause+[acc.indef.]

 INPUT STRING:	لإهدار
     IS_TRANS:	l<hdAr
        INDEX:	P9W13
      OFFSETS:	64-70
       TOKENS:	P9W15-P9W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AihodAr_1]
   UNSPLITVOC:	(liAihodAr)
          POS:	PREP+NOUN
          VOC:	li+AihodAr
        GLOSS:	for/to+abandoning/relinquishing/surrendering

 INPUT STRING:	دماء
     IS_TRANS:	dmA'
        INDEX:	P9W14
      OFFSETS:	71-75
       TOKENS:	P9W17-P9W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dimA'_1]
   UNSPLITVOC:	(dimA')
          POS:	NOUN
          VOC:	dimA'
        GLOSS:	blood

 INPUT STRING:	خيرة
     IS_TRANS:	xyrp
        INDEX:	P9W15
      OFFSETS:	76-80
       TOKENS:	P9W18-P9W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xiyrap_1]
   UNSPLITVOC:	(xiyrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	xiyr+ap
        GLOSS:	choice/pick/elite+[fem.sg.]

 INPUT STRING:	شباب
     IS_TRANS:	$bAb
        INDEX:	P9W16
      OFFSETS:	81-85
       TOKENS:	P9W19-P9W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Ab~_1]
   UNSPLITVOC:	($abAb)
          POS:	NOUN
          VOC:	$abAb
        GLOSS:	young man/young men

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P9W17
      OFFSETS:	86-89
       TOKENS:	P9W20-P9W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	الأبرار
     IS_TRANS:	Al>brAr
        INDEX:	P9W18
      OFFSETS:	90-97
       TOKENS:	P9W21-P9W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bAr~_1]
   UNSPLITVOC:	(Al>abrAr)
          POS:	DET+NOUN
          VOC:	Al+>abrAr
        GLOSS:	the+pious/charitable

 INPUT STRING:	الذين
     IS_TRANS:	Al*yn
        INDEX:	P9W19
      OFFSETS:	98-103
       TOKENS:	P9W22-P9W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Al~a*iyna_1]
   UNSPLITVOC:	(Al~a*iyna)
          POS:	REL_PRON
          VOC:	Al~a*iyna
        GLOSS:	who

 INPUT STRING:	غرروا
     IS_TRANS:	grrwA
        INDEX:	P9W20
      OFFSETS:	104-109
       TOKENS:	P9W23-P9W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[gr~ar_1]
   UNSPLITVOC:	(gr~aruwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	gr~ar+uwA
        GLOSS:	deceive/endanger+they [verb]

 INPUT STRING:	بشباب
     IS_TRANS:	b$bAb
        INDEX:	P9W21
      OFFSETS:	110-115
       TOKENS:	P9W24-P9W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Ab~_1]
   UNSPLITVOC:	(bi$abAb)
          POS:	PREP+NOUN
          VOC:	bi+$abAb
        GLOSS:	with/by+young man/young men

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P9W22
      OFFSETS:	116-119
       TOKENS:	P9W26-P9W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	بجد
     IS_TRANS:	bjd
        INDEX:	P10W1
      OFFSETS:	0-3
       TOKENS:	P10W1-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jad~_1]
   UNSPLITVOC:	(bijad~)
          POS:	PREP+NOUN
          VOC:	bi+jad~
        GLOSS:	with/by+seriousness/earnestness

 INPUT STRING:	تعبت
     IS_TRANS:	tEbt
        INDEX:	P10W2
      OFFSETS:	4-8
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tiEib_1]
   UNSPLITVOC:	(tiEibt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	tiEib+t
        GLOSS:	tired+I

 INPUT STRING:	ولحد
     IS_TRANS:	wlHd
        INDEX:	P10W3
      OFFSETS:	9-13
       TOKENS:	P10W4-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(wiliHad~)
          POS:	CONJ+PREP+NOUN
          VOC:	wi+li+Had~
        GLOSS:	and+for/to+extent/limit/level/border/frontier/limits

 INPUT STRING:	امتي
     IS_TRANS:	Amty
        INDEX:	P10W4
      OFFSETS:	14-18
       TOKENS:	P10W7-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<imotaY_1]
   UNSPLITVOC:	(<imotaY)
          POS:	INTERROG_ADV
          VOC:	<imotaY
        GLOSS:	when

 INPUT STRING:	هنفضل
     IS_TRANS:	hnfDl
        INDEX:	P10W5
      OFFSETS:	19-24
       TOKENS:	P10W8-P10W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiDil_1]
   UNSPLITVOC:	(HanifoDal)
          POS:	FUT_PART+IV1P+IV
          VOC:	Ha+ni+foDal
        GLOSS:	will+we+remain

 INPUT STRING:	تحت
     IS_TRANS:	tHt
        INDEX:	P10W6
      OFFSETS:	25-28
       TOKENS:	P10W10-P10W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHot_1]
   UNSPLITVOC:	(taHot)
          POS:	NOUN
          VOC:	taHot
        GLOSS:	under

 INPUT STRING:	رحمة
     IS_TRANS:	rHmp
        INDEX:	P10W7
      OFFSETS:	29-33
       TOKENS:	P10W11-P10W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raHomap_1]
   UNSPLITVOC:	(raHomap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	raHom+ap
        GLOSS:	compassion/mercy+[fem.sg.]

 INPUT STRING:	اللهو
     IS_TRANS:	Allhw
        INDEX:	P10W8
      OFFSETS:	34-39
       TOKENS:	P10W12-P10W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lahow_1]
   UNSPLITVOC:	(All~ahow)
          POS:	DET+NOUN
          VOC:	Al+lahow
        GLOSS:	the+entertainment/amusement

 INPUT STRING:	الخفي
     IS_TRANS:	Alxfy
        INDEX:	P10W9
      OFFSETS:	40-45
       TOKENS:	P10W13-P10W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xafiy_1]
   UNSPLITVOC:	(Alxafiy)
          POS:	DET+ADJ
          VOC:	Al+xafiy
        GLOSS:	the+hidden/secret/invisible

 INPUT STRING:	لك
     IS_TRANS:	lk
        INDEX:	P11W1
      OFFSETS:	0-2
       TOKENS:	P11W1-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(laki)
          POS:	PREP+PRON_2FS
          VOC:	li+ki
        GLOSS:	to/for+you [fem.sg.]

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P11W2
      OFFSETS:	3-7
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah

 INPUT STRING:	ياااااااااااامصر
     IS_TRANS:	yAAAAAAAAAAAAmSr
        INDEX:	P11W3
      OFFSETS:	8-24
       TOKENS:	P11W4-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maSr_1]
   UNSPLITVOC:	(yAmaSr)
          POS:	VOC_PART+NOUN_PROP
          VOC:	yA+maSr
        GLOSS:	oh+Egypt

 INPUT STRING:	ياخسارة
     IS_TRANS:	yAxsArp
        INDEX:	P12W1
      OFFSETS:	0-7
       TOKENS:	P12W1-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xusArap_1]
   UNSPLITVOC:	(yAxusArap)
          POS:	VOC_PART+NOUN+NSUFF_FEM_SG
          VOC:	yA+xusAr+ap
        GLOSS:	oh+loss+[fem.sg.]

 INPUT STRING:	يامصر
     IS_TRANS:	yAmSr
        INDEX:	P12W2
      OFFSETS:	8-13
       TOKENS:	P12W3-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(yAmaSor)
          POS:	VOC_PART+NOUN_PROP
          VOC:	yA+maSor
        GLOSS:	oh+Egypt

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P13W1
      OFFSETS:	0-4
       TOKENS:	P13W1-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master+our

 INPUT STRING:	ياخدهم
     IS_TRANS:	yAxdhm
        INDEX:	P13W2
      OFFSETS:	5-11
       TOKENS:	P13W3-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>axa*_1]
   UNSPLITVOC:	(yAxu*hum)
          POS:	IV3MS+IV+IVSUFF_DO:3P
          VOC:	y+Axu*+hum
        GLOSS:	he/it+take+them

 INPUT STRING:	كلهم
     IS_TRANS:	klhm
        INDEX:	P13W3
      OFFSETS:	12-16
       TOKENS:	P13W5-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~hum)
          POS:	NOUN_QUANT+POSS_PRON_3P
          VOC:	kul~+hum
        GLOSS:	all/entire/whole+their

 INPUT STRING:	يبقي
     IS_TRANS:	ybqy
        INDEX:	P14W1
      OFFSETS:	0-4
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(yiboqaY)
          POS:	IV3MS+IV
          VOC:	yi+boqaY
        GLOSS:	he/it+become

 INPUT STRING:	لاززززززززم
     IS_TRANS:	lAzzzzzzzzm
        INDEX:	P14W2
      OFFSETS:	5-16
       TOKENS:	P14W2-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	ADJ
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	المعارض
     IS_TRANS:	AlmEArD
        INDEX:	P14W3
      OFFSETS:	17-24
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miEAriD_1]
   UNSPLITVOC:	(AlmiEAriD)
          POS:	DET+NOUN
          VOC:	Al+miEAriD
        GLOSS:	the+opponent/adversary/opposition

 INPUT STRING:	والمؤيد
     IS_TRANS:	wAlm&yd
        INDEX:	P14W4
      OFFSETS:	25-32
       TOKENS:	P14W4-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu&ay~id_1]
   UNSPLITVOC:	(wiAlmu&ay~id)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+mu&ay~id
        GLOSS:	and+the+supporter

 INPUT STRING:	يتحدوا
     IS_TRANS:	ytHdwA
        INDEX:	P15W1
      OFFSETS:	0-6
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ait~aHad_1]
   UNSPLITVOC:	(yit~aHduwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+t~aHd+uwA
        GLOSS:	they+unite+they [verb]

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P15W2
      OFFSETS:	7-9
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with/at

 INPUT STRING:	بعض
     IS_TRANS:	bED
        INDEX:	P15W3
      OFFSETS:	10-13
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(baEoD)
          POS:	NOUN_QUANT
          VOC:	baEoD
        GLOSS:	some, a few, little, part

 INPUT STRING:	وسيبنا
     IS_TRANS:	wsybnA
        INDEX:	P15W4
      OFFSETS:	14-20
       TOKENS:	P15W4-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAb_1]
   UNSPLITVOC:	(wisiybnA)
          POS:	CONJ+CV+CVSUFF_SUBJ:2MS+CVSUFF_DO:1P
          VOC:	wi+siyb+(null)+nA
        GLOSS:	and+leave+you+us

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P15W5
      OFFSETS:	21-23
       TOKENS:	P15W7-P15W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	النم
     IS_TRANS:	Alnm
        INDEX:	P15W6
      OFFSETS:	24-28
       TOKENS:	P15W8-P15W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nim_1]
   UNSPLITVOC:	(Aln~im)
          POS:	DET+NOUN
          VOC:	Al+nim
        GLOSS:	the+slander/gossip

 INPUT STRING:	واختلاق
     IS_TRANS:	wAxtlAq
        INDEX:	P15W7
      OFFSETS:	29-36
       TOKENS:	P15W9-P15W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AixtilAq_1]
   UNSPLITVOC:	(wiAixtilAq)
          POS:	CONJ+NOUN
          VOC:	wi+AixtilAq
        GLOSS:	and+creating

 INPUT STRING:	المشاكل
     IS_TRANS:	Alm$Akl
        INDEX:	P15W8
      OFFSETS:	37-44
       TOKENS:	P15W11-P15W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$okilap_1]
   UNSPLITVOC:	(Alma$Akil)
          POS:	DET+NOUN
          VOC:	Al+ma$Akil
        GLOSS:	the+problem/issue

 INPUT STRING:	لان
     IS_TRANS:	lAn
        INDEX:	P16W1
      OFFSETS:	0-3
       TOKENS:	P16W1-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(li<in~)
          POS:	PREP+SUB_CONJ
          VOC:	li+<in~
        GLOSS:	for/to+that

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P16W2
      OFFSETS:	4-7
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	like this

 INPUT STRING:	الوضع
     IS_TRANS:	AlwDE
        INDEX:	P16W3
      OFFSETS:	8-13
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waDoE_1]
   UNSPLITVOC:	(AlwaDoE)
          POS:	DET+NOUN
          VOC:	Al+waDoE
        GLOSS:	the+situation/status/condition

 INPUT STRING:	بيصعب
     IS_TRANS:	bySEb
        INDEX:	P16W4
      OFFSETS:	14-19
       TOKENS:	P16W5-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SiEib_1]
   UNSPLITVOC:	(biyiSoEab)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+SoEab
        GLOSS:	[present-tense]+he/it+be difficult

 INPUT STRING:	اكتر
     IS_TRANS:	Aktr
        INDEX:	P16W5
      OFFSETS:	20-24
       TOKENS:	P16W7-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akotar_1]
   UNSPLITVOC:	(>akotar)
          POS:	ADJ_COMP
          VOC:	>akotar
        GLOSS:	more

 INPUT STRING:	واكتر
     IS_TRANS:	wAktr
        INDEX:	P16W6
      OFFSETS:	25-30
       TOKENS:	P16W8-P16W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akotar_1]
   UNSPLITVOC:	(wi>akotar)
          POS:	CONJ+ADJ_COMP
          VOC:	wi+>akotar
        GLOSS:	and+more

 INPUT STRING:	وبلااااااااش
     IS_TRANS:	wblAAAAAAAA$
        INDEX:	P17W1
      OFFSETS:	0-12
       TOKENS:	P17W1-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[balA$_2]
   UNSPLITVOC:	(wibalA$)
          POS:	CONJ+VERB
          VOC:	wi+balA$
        GLOSS:	and+don't do

 INPUT STRING:	نقول
     IS_TRANS:	nqwl
        INDEX:	P17W2
      OFFSETS:	13-17
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(niquwl)
          POS:	IV1P+IV
          VOC:	ni+quwl
        GLOSS:	we+said/say/be said/say/(for example)

 INPUT STRING:	المجلس
     IS_TRANS:	Almjls
        INDEX:	P17W3
      OFFSETS:	18-24
       TOKENS:	P17W4-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(Almajolis)
          POS:	DET+NOUN
          VOC:	Al+majolis
        GLOSS:	the+council/board/Majlis

 INPUT STRING:	العسكري
     IS_TRANS:	AlEskry
        INDEX:	P17W4
      OFFSETS:	25-32
       TOKENS:	P17W5-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokariy_1]
   UNSPLITVOC:	(AlEasokariy)
          POS:	DET+ADJ
          VOC:	Al+Easokariy
        GLOSS:	the+military/army

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P18W1
      OFFSETS:	0-3
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P18W2
      OFFSETS:	4-7
       TOKENS:	P18W2-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	like this

 INPUT STRING:	بتقع
     IS_TRANS:	btqE
        INDEX:	P18W3
      OFFSETS:	8-12
       TOKENS:	P18W3-P18W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqaE_1]
   UNSPLITVOC:	(bituqaE)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+tu+qaE
        GLOSS:	[present-tense]+it/they/she+fall down

 INPUT STRING:	لاااااااااازم
     IS_TRANS:	lAAAAAAAAAAzm
        INDEX:	P18W4
      OFFSETS:	13-26
       TOKENS:	P18W5-P18W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	ADJ
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	ضميرنا
     IS_TRANS:	DmyrnA
        INDEX:	P18W5
      OFFSETS:	27-33
       TOKENS:	P18W6-P18W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Damiyr_1]
   UNSPLITVOC:	(DamiyrnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	Damiyr+nA
        GLOSS:	conscience/pronoun/consciences/pronouns+our

 INPUT STRING:	يصحي
     IS_TRANS:	ySHy
        INDEX:	P18W6
      OFFSETS:	34-38
       TOKENS:	P18W8-P18W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SiHiy_1]
   UNSPLITVOC:	(yiSoHaY)
          POS:	IV3MS+IV
          VOC:	yi+SoHaY
        GLOSS:	he/it+wake up

 INPUT STRING:	هما
     IS_TRANS:	hmA
        INDEX:	P19W1
      OFFSETS:	0-3
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they

 INPUT STRING:	بيحاربونا
     IS_TRANS:	byHArbwnA
        INDEX:	P19W2
      OFFSETS:	4-13
       TOKENS:	P19W2-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HArib_1]
   UNSPLITVOC:	(biyiHArobuwnA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:1P
          VOC:	bi+yi+HArob+uwA+nA
        GLOSS:	[present-tense]+they+fight/wage war+they [verb]+us

 INPUT STRING:	بطرق
     IS_TRANS:	bTrq
        INDEX:	P19W3
      OFFSETS:	14-18
       TOKENS:	P19W5-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tariyqap_1]
   UNSPLITVOC:	(biTuruq)
          POS:	PREP+NOUN
          VOC:	bi+Turuq
        GLOSS:	with/by+method/procedure/methods/manners

 INPUT STRING:	اليهود
     IS_TRANS:	Alyhwd
        INDEX:	P19W4
      OFFSETS:	19-25
       TOKENS:	P19W7-P19W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yahuwdiy_1]
   UNSPLITVOC:	(Alyahuwd)
          POS:	DET+NOUN
          VOC:	Al+yahuwd
        GLOSS:	the+jewish

 INPUT STRING:	والارهاب
     IS_TRANS:	wAlArhAb
        INDEX:	P19W5
      OFFSETS:	26-34
       TOKENS:	P19W8-P19W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
