 INPUT STRING:	وصيـــــــــــــــه
      OFFSETS:	6-7
       TOKENS:	P40W2-P40W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	إنته
     IS_TRANS:	<nth
        INDEX:	P40W3
      OFFSETS:	8-12
       TOKENS:	P40W3-P40W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<intah_1]
   UNSPLITVOC:	(<intah)
          POS:	PRON_2MS
          VOC:	<intah
        GLOSS:	you

 INPUT STRING:	أكيد
     IS_TRANS:	>kyd
        INDEX:	P40W4
      OFFSETS:	13-17
       TOKENS:	P40W4-P40W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aakiyd_1]
   UNSPLITVOC:	(Akiyd)
          POS:	ADV
          VOC:	Akiyd
        GLOSS:	sure

 INPUT STRING:	مخبول
     IS_TRANS:	mxbwl
        INDEX:	P40W5
      OFFSETS:	18-23
       TOKENS:	P40W5-P40W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maxobuwl_1]
   UNSPLITVOC:	(maxobuwl)
          POS:	ADJ
          VOC:	maxobuwl
        GLOSS:	insane

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P40W6
      OFFSETS:	24-25
       TOKENS:	P40W6-P40W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P40W7
      OFFSETS:	25-26
       TOKENS:	P40W7-P40W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P40W8
      OFFSETS:	26-27
       TOKENS:	P40W8-P40W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	مليار
     IS_TRANS:	mlyAr
        INDEX:	P40W9
      OFFSETS:	28-33
       TOKENS:	P40W9-P40W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[milyAr_1]
   UNSPLITVOC:	(mlyAr)
          POS:	NOUN_QUANT
          VOC:	mlyAr
        GLOSS:	million

 INPUT STRING:	ونص
     IS_TRANS:	wnS
        INDEX:	P40W10
      OFFSETS:	34-37
       TOKENS:	P40W10-P40W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nuS~_1]
   UNSPLITVOC:	(winuS~)
          POS:	CONJ+NOUN_QUANT
          VOC:	wi+nuS~
        GLOSS:	and+half

 INPUT STRING:	دولار
     IS_TRANS:	dwlAr
        INDEX:	P40W11
      OFFSETS:	38-43
       TOKENS:	P40W12-P40W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duwlAr_1]
   UNSPLITVOC:	(duwlAr)
          POS:	NOUN
          VOC:	duwlAr
        GLOSS:	dollar/dollars

 INPUT STRING:	صدقة
     IS_TRANS:	Sdqp
        INDEX:	P40W12
      OFFSETS:	44-48
       TOKENS:	P40W13-P40W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sadaqap_1]
   UNSPLITVOC:	(Sadaqap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Sadaq+ap
        GLOSS:	alms/charity+[fem.sg.]

 INPUT STRING:	جارية
     IS_TRANS:	jAryp
        INDEX:	P40W13
      OFFSETS:	49-54
       TOKENS:	P40W14-P40W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAriy_1]
   UNSPLITVOC:	(jAroyap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	jAroy+ap
        GLOSS:	current/present/proceeding/taking place+[fem.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P40W14
      OFFSETS:	55-58
       TOKENS:	P40W15-P40W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	روحك
     IS_TRANS:	rwHk
        INDEX:	P40W15
      OFFSETS:	59-63
       TOKENS:	P40W16-P40W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rawH_1]
   UNSPLITVOC:	(ruwHik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	ruwH+ik
        GLOSS:	soul or spirit+your

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P40W16
      OFFSETS:	64-65
       TOKENS:	P40W18-P40W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P40W17
      OFFSETS:	65-66
       TOKENS:	P40W19-P40W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P40W18
      OFFSETS:	66-67
       TOKENS:	P40W20-P40W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P40W19
      OFFSETS:	67-68
       TOKENS:	P40W21-P40W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	جمال
     IS_TRANS:	jmAl
        INDEX:	P41W1
      OFFSETS:	1-5
       TOKENS:	P41W1-P41W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamAl_1]
   UNSPLITVOC:	(jamAl)
          POS:	NOUN_PROP
          VOC:	jamAl
        GLOSS:	Gamal

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P41W2
      OFFSETS:	5-6
       TOKENS:	P41W2-P41W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P41W3
      OFFSETS:	7-9
       TOKENS:	P41W3-P41W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	تاخديش
     IS_TRANS:	tAxdy$
        INDEX:	P41W4
      OFFSETS:	10-16
       TOKENS:	P41W4-P41W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaxad_1]
   UNSPLITVOC:	(tAxodiy$)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS+NEG_PART
          VOC:	t+Axod+iy+$
        GLOSS:	you+take+you+not

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P41W5
      OFFSETS:	17-20
       TOKENS:	P41W6-P41W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	كلامه
     IS_TRANS:	klAmh
        INDEX:	P41W6
      OFFSETS:	21-26
       TOKENS:	P41W7-P41W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(kalAmuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	kalAm+uh
        GLOSS:	speech/statement/remark/talk/saying+his/its

 INPUT STRING:	ياماما
     IS_TRANS:	yAmAmA
        INDEX:	P41W7
      OFFSETS:	27-33
       TOKENS:	P41W9-P41W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mAmA_1]
   UNSPLITVOC:	(yAmAmA)
          POS:	VOC_PART+NOUN
          VOC:	yaA+mAmA
        GLOSS:	oh+mama

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P41W8
      OFFSETS:	34-35
       TOKENS:	P41W11-P41W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P41W9
      OFFSETS:	35-36
       TOKENS:	P41W12-P41W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P41W10
      OFFSETS:	36-37
       TOKENS:	P41W13-P41W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P41W11
      OFFSETS:	37-38
       TOKENS:	P41W14-P41W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P41W12
      OFFSETS:	39-41
       TOKENS:	P41W15-P41W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	يبقى
     IS_TRANS:	ybqY
        INDEX:	P41W13
      OFFSETS:	42-46
       TOKENS:	P41W16-P41W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(yiboqaY)
          POS:	IV3MS+IV
          VOC:	yi+boqaY
        GLOSS:	he/it+remain

 INPUT STRING:	كتير
     IS_TRANS:	ktyr
        INDEX:	P41W14
      OFFSETS:	47-51
       TOKENS:	P41W17-P41W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitiyr_1]
   UNSPLITVOC:	(kitiyr)
          POS:	ADJ
          VOC:	kitiyr
        GLOSS:	much/a lot

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P41W15
      OFFSETS:	52-54
       TOKENS:	P41W18-P41W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	طلعنا
     IS_TRANS:	TlEnA
        INDEX:	P41W16
      OFFSETS:	55-60
       TOKENS:	P41W19-P41W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tal~aE_1]
   UNSPLITVOC:	(Tal~aEnA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	Tal~aE+nA
        GLOSS:	remove/oust/emit/extricate+we

 INPUT STRING:	100
     IS_TRANS:	100
        INDEX:	P41W17
      OFFSETS:	61-64
       TOKENS:	P41W20-P41W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(100)
          POS:	ADJ_NUM
          VOC:	100
        GLOSS:	100

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P41W18
      OFFSETS:	65-68
       TOKENS:	P41W21-P41W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	200
     IS_TRANS:	200
        INDEX:	P41W19
      OFFSETS:	69-72
       TOKENS:	P41W22-P41W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(200)
          POS:	ADJ_NUM
          VOC:	200
        GLOSS:	200

 INPUT STRING:	جنيه
     IS_TRANS:	jnyh
        INDEX:	P41W20
      OFFSETS:	73-77
       TOKENS:	P41W23-P41W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jniyh_1]
   UNSPLITVOC:	(jnyh)
          POS:	NOUN_QUANT
          VOC:	jnyh
        GLOSS:	pound

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P41W21
      OFFSETS:	78-81
       TOKENS:	P41W24-P41W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	روحه
     IS_TRANS:	rwHh
        INDEX:	P41W22
      OFFSETS:	82-86
       TOKENS:	P41W25-P41W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rawH_1]
   UNSPLITVOC:	(ruwHuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	ruwH+uh
        GLOSS:	soul or spirit+his/its

 INPUT STRING:	للفقرا
     IS_TRANS:	llfqrA
        INDEX:	P41W23
      OFFSETS:	87-93
       TOKENS:	P41W27-P41W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faqiyr_1]
   UNSPLITVOC:	(lilfuqarA)
          POS:	PREP+DET+ADJ
          VOC:	li+Al+fuqarA
        GLOSS:	for/to+the+poor/destitute

 INPUT STRING:	علاء
     IS_TRANS:	ElA'
        INDEX:	P42W1
      OFFSETS:	1-5
       TOKENS:	P42W1-P42W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalA'_1]
   UNSPLITVOC:	(EalA')
          POS:	NOUN_PROP
          VOC:	EalA'
        GLOSS:	Alaa

 INPUT STRING:	وهو
     IS_TRANS:	whw
        INDEX:	P42W2
      OFFSETS:	6-9
       TOKENS:	P42W2-P42W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(wihuw~a)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	wi+huw~a
        GLOSS:	while+he/it

 INPUT STRING:	يمسك
     IS_TRANS:	ymsk
        INDEX:	P42W3
      OFFSETS:	10-14
       TOKENS:	P42W4-P42W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misik_1]
   UNSPLITVOC:	(yimosik)
          POS:	IV3MS+IV
          VOC:	yi+mosik
        GLOSS:	he/it+take

 INPUT STRING:	بالألة
     IS_TRANS:	bAl>lp
        INDEX:	P42W4
      OFFSETS:	15-21
       TOKENS:	P42W5-P42W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Al|alap_1]
   UNSPLITVOC:	(biAl|alap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+|al+ap
        GLOSS:	with+the+instrument+[fem.sg.]

 INPUT STRING:	الحاسبة
     IS_TRANS:	AlHAsbp
        INDEX:	P42W5
      OFFSETS:	22-29
       TOKENS:	P42W7-P42W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HAsib_1]
   UNSPLITVOC:	(AlHAsobuh)
          POS:	DET+NOUN+POSS_PRON_3MS
          VOC:	Al+HAsob+uh
        GLOSS:	the+calculator/computer+him

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P42W6
      OFFSETS:	29-30
       TOKENS:	P42W9-P42W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P42W7
      OFFSETS:	31-35
       TOKENS:	P42W10-P42W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	ADJ
          VOC:	mumokin
        GLOSS:	possible

 INPUT STRING:	نطلع
     IS_TRANS:	nTlE
        INDEX:	P42W8
      OFFSETS:	36-40
       TOKENS:	P42W11-P42W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tal~aE_1]
   UNSPLITVOC:	(niTal~aE)
          POS:	IV1P+IV
          VOC:	ni+Tal~aE
        GLOSS:	we+remove/oust/emit/extricate

 INPUT STRING:	لحد
     IS_TRANS:	lHd
        INDEX:	P42W9
      OFFSETS:	41-44
       TOKENS:	P42W12-P42W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laHod_1]
   UNSPLITVOC:	(laHod)
          POS:	NOUN
          VOC:	laHod
        GLOSS:	one/someone

 INPUT STRING:	ألف
     IS_TRANS:	>lf
        INDEX:	P42W10
      OFFSETS:	45-48
       TOKENS:	P42W13-P42W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alof_1]
   UNSPLITVOC:	(Alof)
          POS:	NOUN_NUM
          VOC:	Alof
        GLOSS:	thousand

 INPUT STRING:	جنيه
     IS_TRANS:	jnyh
        INDEX:	P42W11
      OFFSETS:	49-53
       TOKENS:	P42W14-P42W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jinayh_1]
   UNSPLITVOC:	(jinayh)
          POS:	NOUN
          VOC:	jinayh
        GLOSS:	pound

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P42W12
      OFFSETS:	54-56
       TOKENS:	P42W15-P42W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	جمال
     IS_TRANS:	jmAl
        INDEX:	P42W13
      OFFSETS:	57-61
       TOKENS:	P42W16-P42W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamAl_1]
   UNSPLITVOC:	(jamAl)
          POS:	NOUN_PROP
          VOC:	jamAl
        GLOSS:	Gamal

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P42W14
      OFFSETS:	62-63
       TOKENS:	P42W17-P42W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P42W15
      OFFSETS:	63-64
       TOKENS:	P42W18-P42W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P42W16
      OFFSETS:	64-65
       TOKENS:	P42W19-P42W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	السيولة
     IS_TRANS:	Alsywlp
        INDEX:	P42W17
      OFFSETS:	66-73
       TOKENS:	P42W20-P42W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyuwlap_1]
   UNSPLITVOC:	(Als~iyuwlap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+siyuwl+ap
        GLOSS:	the+flow/liquid+[fem.sg.]

 INPUT STRING:	تسمح
     IS_TRANS:	tsmH
        INDEX:	P42W18
      OFFSETS:	74-78
       TOKENS:	P42W21-P42W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[samaH_1]
   UNSPLITVOC:	(tisomaH)
          POS:	IV3FS+IV
          VOC:	ti+somaH
        GLOSS:	it/they/she+allow/permit/authorize/be allowed/be permitted/be authorized

 INPUT STRING:	حسنى
     IS_TRANS:	HsnY
        INDEX:	P43W1
      OFFSETS:	1-5
       TOKENS:	P43W1-P43W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Husoniy_1]
   UNSPLITVOC:	(Husoniy)
          POS:	NOUN_PROP
          VOC:	Husoniy
        GLOSS:	Hosni

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P43W2
      OFFSETS:	5-6
       TOKENS:	P43W2-P43W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	أوعوا
     IS_TRANS:	>wEwA
        INDEX:	P43W3
      OFFSETS:	7-12
       TOKENS:	P43W3-P43W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[waca_0]
   UNSPLITVOC:	(>uwEuwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	>uwE+uwA
        GLOSS:	beware+they

 INPUT STRING:	تفرطوا
     IS_TRANS:	tfrTwA
        INDEX:	P43W4
      OFFSETS:	13-19
       TOKENS:	P43W4-P43W4
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(tfrTwA)
          POS:	NO_FUNC
          VOC:	tfrTwA
        GLOSS:	nogloss

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P43W5
      OFFSETS:	20-22
       TOKENS:	P43W5-P43W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	حبيب
     IS_TRANS:	Hbyb
        INDEX:	P43W6
      OFFSETS:	23-27
       TOKENS:	P43W6-P43W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Habiyb_1]
   UNSPLITVOC:	(Hbyb)
          POS:	NOUN_NUM
          VOC:	Hbyb
        GLOSS:	Habib

 INPUT STRING:	العادلى
     IS_TRANS:	AlEAdlY
        INDEX:	P43W7
      OFFSETS:	28-35
       TOKENS:	P43W7-P43W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aladliy_1]
   UNSPLITVOC:	(AlEAdlY)
          POS:	DET+NOUN_PROP
          VOC:	Al+EAdlY
        GLOSS:	the+Al Adly

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P43W8
      OFFSETS:	36-38
       TOKENS:	P43W8-P43W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	بعدى
     IS_TRANS:	bEdY
        INDEX:	P43W9
      OFFSETS:	39-43
       TOKENS:	P43W9-P43W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEodiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	baEod+iy
        GLOSS:	after+my

 INPUT STRING:	يا
     IS_TRANS:	yA
