 INPUT STRING:	-

 INPUT STRING:	صح
     IS_TRANS:	SH
        INDEX:	P37W3
      OFFSETS:	12-14
       TOKENS:	P37W5-P37W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaH~_1]
   UNSPLITVOC:	(SaH~)
          POS:	ADJ
          VOC:	SaH~
        GLOSS:	true/right

 INPUT STRING:	جدا
     IS_TRANS:	jdA
        INDEX:	P37W4
      OFFSETS:	15-18
       TOKENS:	P37W6-P37W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(jid~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	very/much+[acc.indef.]

 INPUT STRING:	اتهرينا
     IS_TRANS:	AthrynA
        INDEX:	P37W5
      OFFSETS:	19-26
       TOKENS:	P37W7-P37W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<itoharay_1]
   UNSPLITVOC:	(<itohariynA)
          POS:	PV_PASS+PVSUFF_SUBJ:1P
          VOC:	<itohariy+nA
        GLOSS:	be mashed+we

 INPUT STRING:	تبرعات
     IS_TRANS:	tbrEAt
        INDEX:	P37W6
      OFFSETS:	27-33
       TOKENS:	P37W8-P37W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tabar~uE_1]
   UNSPLITVOC:	(tabar~uEAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	tabar~uE+At
        GLOSS:	donations+[fem.sg.]

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P37W7
      OFFSETS:	34-37
       TOKENS:	P37W9-P37W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	INTERJ
          VOC:	Tay~ib
        GLOSS:	ok

 INPUT STRING:	وفين
     IS_TRANS:	wfyn
        INDEX:	P37W8
      OFFSETS:	38-42
       TOKENS:	P37W10-P37W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fayon_1]
   UNSPLITVOC:	(wifayon)
          POS:	PART+INTERROG_ADV
          VOC:	wi+fayon
        GLOSS:	[part.]+where

 INPUT STRING:	الفلوس
     IS_TRANS:	Alflws
        INDEX:	P37W9
      OFFSETS:	43-49
       TOKENS:	P37W12-P37W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[filuws_1]
   UNSPLITVOC:	(Alfiluws)
          POS:	DET+NOUN
          VOC:	Al+filuws
        GLOSS:	the+money

 INPUT STRING:	المنهوبة
     IS_TRANS:	Almnhwbp
        INDEX:	P37W10
      OFFSETS:	50-58
       TOKENS:	P37W13-P37W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manohuwb_1]
   UNSPLITVOC:	(Almanohuwbap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+manohuwb+ap
        GLOSS:	the+stolen+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P37W11
      OFFSETS:	59-61
       TOKENS:	P37W14-P37W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	مصراللى
     IS_TRANS:	mSrAllY
        INDEX:	P37W12
      OFFSETS:	62-69
       TOKENS:	P37W15-P37W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(mSrAllY)
          POS:	TYPO
          VOC:	mSrAllY
        GLOSS:	nogloss

 INPUT STRING:	ف
     IS_TRANS:	f
        INDEX:	P37W13
      OFFSETS:	70-71
       TOKENS:	P37W16-P37W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الخارج
     IS_TRANS:	AlxArj
        INDEX:	P37W14
      OFFSETS:	72-78
       TOKENS:	P37W17-P37W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xArij_1]
   UNSPLITVOC:	(AlxArij)
          POS:	DET+NOUN
          VOC:	Al+xArij
        GLOSS:	the+outside/outer part

 INPUT STRING:	وقالوا
     IS_TRANS:	wqAlwA
        INDEX:	P37W15
      OFFSETS:	79-85
       TOKENS:	P37W18-P37W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(wiqAluwA)
          POS:	CONJ+PV+PVSUFF_SUBJ:3P
          VOC:	wi+qAl+uwA
        GLOSS:	and+said/say/be said/say/(for example)+they

 INPUT STRING:	هيرجعوها
     IS_TRANS:	hyrjEwhA
        INDEX:	P37W16
      OFFSETS:	86-94
       TOKENS:	P37W20-P37W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raj~aE_1]
   UNSPLITVOC:	(Hayiraj~aEuwhA)
          POS:	FUT_PART+IV3P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:3FS
          VOC:	Ha+yi+raj~aE+uwA+hA
        GLOSS:	will+they+send back/be sent back+we+it/them/her

 INPUT STRING:	دة
     IS_TRANS:	dp
        INDEX:	P37W17
      OFFSETS:	95-97
       TOKENS:	P37W23-P37W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P37W18
      OFFSETS:	98-101
       TOKENS:	P37W24-P37W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[giyr_1]
   UNSPLITVOC:	(giyr)
          POS:	NOUN
          VOC:	giyr
        GLOSS:	not/other

 INPUT STRING:	افكار
     IS_TRANS:	AfkAr
        INDEX:	P37W19
      OFFSETS:	102-107
       TOKENS:	P37W25-P37W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikorap_1]
   UNSPLITVOC:	(>afokAr)
          POS:	NOUN
          VOC:	>afokAr
        GLOSS:	thoughts/ideas/concepts

 INPUT STRING:	كتيرة
     IS_TRANS:	ktyrp
        INDEX:	P37W20
      OFFSETS:	108-113
       TOKENS:	P37W26-P37W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitiyr_1]
   UNSPLITVOC:	(kitiyrap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	kitiyr+ap
        GLOSS:	alot+[fem.sg.]

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P37W21
      OFFSETS:	114-118
       TOKENS:	P37W27-P37W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	NOUN
          VOC:	mumokin
        GLOSS:	possibilities

 INPUT STRING:	تجيب
     IS_TRANS:	tjyb
        INDEX:	P37W22
      OFFSETS:	119-123
       TOKENS:	P37W28-P37W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAb_1]
   UNSPLITVOC:	(tijiyb)
          POS:	IV3FS+IV
          VOC:	ti+jiyb
        GLOSS:	it/they/she+bring

 INPUT STRING:	فلوس
     IS_TRANS:	flws
        INDEX:	P37W23
      OFFSETS:	124-128
       TOKENS:	P37W29-P37W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[filuws_1]
   UNSPLITVOC:	(filuws)
          POS:	NOUN
          VOC:	filuws
        GLOSS:	money

 INPUT STRING:	للحكومة
     IS_TRANS:	llHkwmp
        INDEX:	P37W24
      OFFSETS:	129-136
       TOKENS:	P37W30-P37W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukuwmap_1]
   UNSPLITVOC:	(lilHukuwmap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+Hukuwm+ap
        GLOSS:	for/to+the+government/administration/governments/administrations+[fem.sg.]

 INPUT STRING:	زى
     IS_TRANS:	zY
        INDEX:	P37W25
      OFFSETS:	137-139
       TOKENS:	P37W32-P37W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	as

 INPUT STRING:	مثل
     IS_TRANS:	mvl
        INDEX:	P37W26
      OFFSETS:	140-143
       TOKENS:	P37W33-P37W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mivol_1]
   UNSPLITVOC:	(mivol)
          POS:	NOUN
          VOC:	mivol
        GLOSS:	like/such as

 INPUT STRING:	تمليك
     IS_TRANS:	tmlyk
        INDEX:	P37W27
      OFFSETS:	144-149
       TOKENS:	P37W34-P37W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamoliyk_1]
   UNSPLITVOC:	(tamoliyk)
          POS:	NOUN
          VOC:	tamoliyk
        GLOSS:	transfer of ownership

 INPUT STRING:	الاراضى
     IS_TRANS:	AlArADY
        INDEX:	P37W28
      OFFSETS:	150-157
       TOKENS:	P37W35-P37W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aroD_1]
   UNSPLITVOC:	(Al>arADiy)
          POS:	DET+NOUN
          VOC:	Al+>arADiy
        GLOSS:	the+territories/land

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P37W29
      OFFSETS:	158-162
       TOKENS:	P37W36-P37W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	المزارعين
     IS_TRANS:	AlmzArEyn
        INDEX:	P37W30
      OFFSETS:	163-172
       TOKENS:	P37W37-P37W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muzAriE_1]
   UNSPLITVOC:	(AlmuzAriEiyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+muzAriE+iyn
        GLOSS:	the+farmers+[masc.pl.]

 INPUT STRING:	وضعين
     IS_TRANS:	wDEyn
        INDEX:	P37W31
      OFFSETS:	173-178
       TOKENS:	P37W38-P37W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[waDiE_1]
   UNSPLITVOC:	(waDoEiyn)
          POS:	ADJ.VN+NSUFF_FEM_PL
          VOC:	waDoE+iyn
        GLOSS:	put+[masc.pl.]

 INPUT STRING:	ايديهم
     IS_TRANS:	Aydyhm
        INDEX:	P37W32
      OFFSETS:	179-185
       TOKENS:	P37W39-P37W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>iyd_1]
   UNSPLITVOC:	(>iydhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	>iyd+hum
        GLOSS:	hands+their

 INPUT STRING:	عليها
     IS_TRANS:	ElyhA
        INDEX:	P37W33
      OFFSETS:	186-191
       TOKENS:	P37W41-P37W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalayhA)
          POS:	PREP+PRON_3FS
          VOC:	EalaY+hA
        GLOSS:	on/above+it/her

 INPUT STRING:	اولا
     IS_TRANS:	AwlA
        INDEX:	P37W34
      OFFSETS:	192-196
       TOKENS:	P37W43-P37W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw~al_1]
   UNSPLITVOC:	(>aw~alAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	>aw~al+AF
        GLOSS:	first of all/primarily/in the first place+[acc.indef.]

 INPUT STRING:	كدة
     IS_TRANS:	kdp
        INDEX:	P37W35
      OFFSETS:	197-200
       TOKENS:	P37W44-P37W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidap_1]
   UNSPLITVOC:	(kidap)
          POS:	NOUN
          VOC:	kidap
        GLOSS:	this

 INPUT STRING:	كدة
     IS_TRANS:	kdp
        INDEX:	P37W36
      OFFSETS:	201-204
       TOKENS:	P37W45-P37W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidap_1]
   UNSPLITVOC:	(kidap)
          POS:	NOUN
          VOC:	kidap
        GLOSS:	this

 INPUT STRING:	واضعين
     IS_TRANS:	wADEyn
        INDEX:	P37W37
      OFFSETS:	205-211
       TOKENS:	P37W46-P37W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wADiE_1]
   UNSPLITVOC:	(wADoEiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	wADoE+iyn
        GLOSS:	put+[masc.pl.]

 INPUT STRING:	ايديهم
     IS_TRANS:	Aydyhm
        INDEX:	P37W38
      OFFSETS:	212-218
       TOKENS:	P37W47-P37W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyd_1]
   UNSPLITVOC:	(<iydhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	<iyd+hum
        GLOSS:	hands+their

 INPUT STRING:	عليها
     IS_TRANS:	ElyhA
        INDEX:	P37W39
      OFFSETS:	219-224
       TOKENS:	P37W49-P37W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalayhA)
          POS:	PREP+PRON_3FS
          VOC:	EalaY+hA
        GLOSS:	on/above+her/it

 INPUT STRING:	وهى
     IS_TRANS:	whY
        INDEX:	P37W40
      OFFSETS:	225-228
       TOKENS:	P37W51-P37W52
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hiya_1]
   UNSPLITVOC:	(wihiya)
          POS:	CONJ+PRON_3FS
          VOC:	wi+hiya
        GLOSS:	and+it/they/she

 INPUT STRING:	بتاعت
     IS_TRANS:	btAEt
        INDEX:	P37W41
      OFFSETS:	229-234
       TOKENS:	P37W53-P37W53
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bitAE_1]
   UNSPLITVOC:	(bitAEap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	bitAE+ap
        GLOSS:	owned by+[fem.sg.]

 INPUT STRING:	الحكومة
     IS_TRANS:	AlHkwmp
        INDEX:	P37W42
      OFFSETS:	235-242
       TOKENS:	P37W54-P37W54
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukuwmap_1]
   UNSPLITVOC:	(AlHukuwmap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Hukuwm+ap
        GLOSS:	the+government/administration+[fem.sg.]

 INPUT STRING:	دة
     IS_TRANS:	dp
        INDEX:	P38W1
      OFFSETS:	0-2
       TOKENS:	P38W1-P38W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P38W2
      OFFSETS:	3-6
       TOKENS:	P38W2-P38W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[giyr_1]
   UNSPLITVOC:	(giyr)
          POS:	NOUN
          VOC:	giyr
        GLOSS:	not/other

 INPUT STRING:	انهم
     IS_TRANS:	Anhm
        INDEX:	P38W3
      OFFSETS:	7-11
       TOKENS:	P38W3-P38W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uhum)
          POS:	SUB_CONJ+PRON_3P
          VOC:	<in~+hum
        GLOSS:	that+them

 INPUT STRING:	يتمنوا
     IS_TRANS:	ytmnwA
        INDEX:	P38W4
      OFFSETS:	12-18
       TOKENS:	P38W5-P38W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[<itomanaY_1]
   UNSPLITVOC:	(yitoman~uwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+toman~+uwA
        GLOSS:	they+wish+they[masc.pl.]

 INPUT STRING:	طبعااااااا
     IS_TRANS:	TbEAAAAAAA
        INDEX:	P38W5
      OFFSETS:	19-29
       TOKENS:	P38W6-P38W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[TabEAF_1]
   UNSPLITVOC:	(TabEAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	TabE+AF
        GLOSS:	naturally /of course+[acc.indef.]

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P38W6
      OFFSETS:	30-34
       TOKENS:	P38W7-P38W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yikuwn)
          POS:	IV3MS+IV
          VOC:	yi+kuwn
        GLOSS:	he/it+be

 INPUT STRING:	معاهم
     IS_TRANS:	mEAhm
        INDEX:	P38W7
      OFFSETS:	35-40
       TOKENS:	P38W8-P38W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	maEa+hum
        GLOSS:	with+them

 INPUT STRING:	عقد
     IS_TRANS:	Eqd
        INDEX:	P38W8
      OFFSETS:	41-44
       TOKENS:	P38W10-P38W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eaqod_1]
   UNSPLITVOC:	(Eaqod)
          POS:	NOUN
          VOC:	Eaqod
        GLOSS:	contract/agreement

 INPUT STRING:	تمليك
     IS_TRANS:	tmlyk
        INDEX:	P38W9
      OFFSETS:	45-50
       TOKENS:	P38W11-P38W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamoliyk_1]
   UNSPLITVOC:	(tamoliyk)
          POS:	NOUN
          VOC:	tamoliyk
        GLOSS:	transfer of ownership

 INPUT STRING:	وكدة
     IS_TRANS:	wkdp
        INDEX:	P38W10
      OFFSETS:	51-55
       TOKENS:	P38W12-P38W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(wikidah)
          POS:	CONJ+NOUN
          VOC:	wi+kidah
        GLOSS:	and+this

 INPUT STRING:	الحكومة
     IS_TRANS:	AlHkwmp
        INDEX:	P38W11
      OFFSETS:	56-63
       TOKENS:	P38W14-P38W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukuwmap_1]
   UNSPLITVOC:	(AlHukuwmap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Hukuwm+ap
        GLOSS:	the+government/administration/governments/administrations+[fem.sg.]

 INPUT STRING:	هتدخل
     IS_TRANS:	htdxl
        INDEX:	P38W12
      OFFSETS:	64-69
       TOKENS:	P38W15-P38W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daxal_1]
   UNSPLITVOC:	(Hatudoxul)
          POS:	FUT_PART+IV3FS+IV
          VOC:	Ha+tu+doxul
        GLOSS:	will+it/they/she+enter/be entered

 INPUT STRING:	ليها
     IS_TRANS:	lyhA
        INDEX:	P38W13
      OFFSETS:	70-74
       TOKENS:	P38W17-P38W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liyhA)
          POS:	PREP+PRON_3FS
          VOC:	li+hA
        GLOSS:	for/to+her

 INPUT STRING:	ملاين
     IS_TRANS:	mlAyn
        INDEX:	P38W14
      OFFSETS:	75-80
       TOKENS:	P38W19-P38W19
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mlAyn)
          POS:	NO_FUNC
          VOC:	mlAyn
        GLOSS:	nogloss

 INPUT STRING:	والمزارع
     IS_TRANS:	wAlmzArE
        INDEX:	P38W15
      OFFSETS:	81-89
       TOKENS:	P38W20-P38W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muzAriE_1]
   UNSPLITVOC:	(wiAlmuzAriE)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+muzAriE
        GLOSS:	and+the+farms/plantations

 INPUT STRING:	يستفيد
     IS_TRANS:	ystfyd
        INDEX:	P38W16
      OFFSETS:	90-96
       TOKENS:	P38W22-P38W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotafAd_1]
   UNSPLITVOC:	(yisotafiyd)
          POS:	IV3MS+IV
          VOC:	yi+sotafiyd
        GLOSS:	he/it+make use

 INPUT STRING:	وكمان
     IS_TRANS:	wkmAn
        INDEX:	P38W17
      OFFSETS:	97-102
       TOKENS:	P38W23-P38W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(wikamAn)
          POS:	CONJ+ADV
          VOC:	wi+kamAn
        GLOSS:	and+also

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P38W18
      OFFSETS:	103-106
       TOKENS:	P38W25-P38W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	نفسى
     IS_TRANS:	nfsY
        INDEX:	P38W19
      OFFSETS:	107-111
       TOKENS:	P38W26-P38W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nifos_1]
   UNSPLITVOC:	(nifosiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	nifos+iy
        GLOSS:	wish+me

 INPUT STRING:	اسال
     IS_TRANS:	AsAl
        INDEX:	P38W20
      OFFSETS:	112-116
       TOKENS:	P38W28-P38W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sa>al_1]
   UNSPLITVOC:	(Aaso>al)
          POS:	IV1S+IV
          VOC:	Aa+so>al
        GLOSS:	I+ask

 INPUT STRING:	القرض
     IS_TRANS:	AlqrD
        INDEX:	P38W21
      OFFSETS:	117-122
       TOKENS:	P38W29-P38W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaroD_1]
   UNSPLITVOC:	(AlqaroD)
          POS:	DET+NOUN
          VOC:	Al+qaroD
        GLOSS:	the+loan

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P38W22
      OFFSETS:	123-127
       TOKENS:	P38W30-P38W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	اخدتة
     IS_TRANS:	Axdtp
        INDEX:	P38W23
      OFFSETS:	128-133
       TOKENS:	P38W31-P38W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaxad_1]
   UNSPLITVOC:	(>axadituh)
          POS:	PV+PVSUFF_SUBJ:3FS+PVSUFF_DO:3MS
          VOC:	>axad+it+uh
        GLOSS:	take+it/they/she+it/him

 INPUT STRING:	حكومة
     IS_TRANS:	Hkwmp
        INDEX:	P38W24
      OFFSETS:	134-139
       TOKENS:	P38W33-P38W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukuwmap_1]
   UNSPLITVOC:	(Hukuwmap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Hukuwm+ap
