 INPUT STRING:	مخطوفة
   UNSPLITVOC:	(Al$~uroTap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+$uroT+ap
        GLOSS:	the+police+[fem.sg.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P13W5
      OFFSETS:	22-23
       TOKENS:	P13W7-P13W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	هل
     IS_TRANS:	hl
        INDEX:	P14W1
      OFFSETS:	0-2
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(hal)
          POS:	INTERROG_PART
          VOC:	hal
        GLOSS:	do?/is?

 INPUT STRING:	ستحاول
     IS_TRANS:	stHAwl
        INDEX:	P14W2
      OFFSETS:	3-9
       TOKENS:	P14W2-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HAwil_1]
   UNSPLITVOC:	(satuHAwil)
          POS:	FUT_PART+IV2MS+IV
          VOC:	sa+tu+HAwil
        GLOSS:	will+you[masc.sg.]+attempt/try

 INPUT STRING:	المراوغة
     IS_TRANS:	AlmrAwgp
        INDEX:	P14W3
      OFFSETS:	10-18
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[murAwagap_1]
   UNSPLITVOC:	(AlmurAwagap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+murAwag+ap
        GLOSS:	the+underhanded dealing/artifice+[fem.sg.]

 INPUT STRING:	والمساومة
     IS_TRANS:	wAlmsAwmp
        INDEX:	P14W4
      OFFSETS:	19-28
       TOKENS:	P14W5-P14W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misAwomap_1]
   UNSPLITVOC:	(wiAlmisAwomap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+misAwom+ap
        GLOSS:	and+the+bargaining/haggling+[fem.sg.]

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P14W5
      OFFSETS:	29-32
       TOKENS:	P14W7-P14W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	أمل
     IS_TRANS:	>ml
        INDEX:	P14W6
      OFFSETS:	33-36
       TOKENS:	P14W8-P14W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amal_1]
   UNSPLITVOC:	(>amal)
          POS:	NOUN
          VOC:	>amal
        GLOSS:	hope/wish/hopes/wishes

 INPUT STRING:	معرفة
     IS_TRANS:	mErfp
        INDEX:	P14W7
      OFFSETS:	37-42
       TOKENS:	P14W9-P14W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEorifap_1]
   UNSPLITVOC:	(maEorifap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	maEorif+ap
        GLOSS:	knowing+[fem.sg.]

 INPUT STRING:	الخاطفين
     IS_TRANS:	AlxATfyn
        INDEX:	P14W8
      OFFSETS:	43-51
       TOKENS:	P14W10-P14W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlxATif_1]
   UNSPLITVOC:	(AlxATifiyon)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+xATif+iyon
        GLOSS:	the+kidnappers+[masc.pl.]

 INPUT STRING:	والوصول
     IS_TRANS:	wAlwSwl
        INDEX:	P14W9
      OFFSETS:	52-59
       TOKENS:	P14W11-P14W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wuSuwl_1]
   UNSPLITVOC:	(wiAlwuSuwl)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+wuSuwl
        GLOSS:	and+the+arrival/achievement

 INPUT STRING:	إلي
     IS_TRANS:	<ly
        INDEX:	P14W10
      OFFSETS:	60-63
       TOKENS:	P14W13-P14W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to

 INPUT STRING:	اتفاق
     IS_TRANS:	AtfAq
        INDEX:	P14W11
      OFFSETS:	64-69
       TOKENS:	P14W14-P14W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ait~ifAq_1]
   UNSPLITVOC:	(Ait~ifAq)
          POS:	NOUN
          VOC:	Ait~ifAq
        GLOSS:	agreement

 INPUT STRING:	ودي
     IS_TRANS:	wdy
        INDEX:	P14W12
      OFFSETS:	70-73
       TOKENS:	P14W15-P14W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wid~iy_1]
   UNSPLITVOC:	(wid~iy)
          POS:	ADJ
          VOC:	wid~iy
        GLOSS:	friendly

 INPUT STRING:	للإفراج
     IS_TRANS:	ll<frAj
        INDEX:	P14W13
      OFFSETS:	74-81
       TOKENS:	P14W16-P14W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiforAj_1]
   UNSPLITVOC:	(lilAiforAj)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+AiforAj
        GLOSS:	for/to+the+release

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P14W14
      OFFSETS:	82-84
       TOKENS:	P14W18-P14W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	قريبك
     IS_TRANS:	qrybk
        INDEX:	P14W15
      OFFSETS:	85-90
       TOKENS:	P14W19-P14W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qariyb_1]
   UNSPLITVOC:	(qariybak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	qariyb+ak
        GLOSS:	relative+your

 INPUT STRING:	المخطوف
     IS_TRANS:	AlmxTwf
        INDEX:	P14W16
      OFFSETS:	91-98
       TOKENS:	P14W21-P14W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maxoTuwf_1]
   UNSPLITVOC:	(AlmaxoTuwf)
          POS:	DET+ADJ
          VOC:	Al+maxoTuwf
        GLOSS:	the+abducted/kidnapped

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P14W17
      OFFSETS:	98-99
       TOKENS:	P14W22-P14W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	إذا
     IS_TRANS:	<*A
        INDEX:	P15W1
      OFFSETS:	0-3
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai*A_1]
   UNSPLITVOC:	(<i*A)
          POS:	SUB_CONJ
          VOC:	<i*A
        GLOSS:	if

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P15W2
      OFFSETS:	4-7
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	المخطوف
     IS_TRANS:	AlmxTwf
        INDEX:	P15W3
      OFFSETS:	8-15
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maxoTuwf_1]
   UNSPLITVOC:	(AlmaxoTuwf)
          POS:	DET+ADJ
          VOC:	Al+maxoTuwf
        GLOSS:	the+abducted/kidnapped

 INPUT STRING:	فتاة
     IS_TRANS:	ftAp
        INDEX:	P15W4
      OFFSETS:	16-20
       TOKENS:	P15W4-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fatAp_1]
   UNSPLITVOC:	(fatAp)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fatA+ap
        GLOSS:	young girl+[fem.sg.]

 INPUT STRING:	أو
     IS_TRANS:	>w
        INDEX:	P15W5
      OFFSETS:	21-23
       TOKENS:	P15W5-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	سيدة
     IS_TRANS:	sydp
        INDEX:	P15W6
      OFFSETS:	24-28
       TOKENS:	P15W6-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[say~idap_1]
   UNSPLITVOC:	(say~idap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	say~id+ap
        GLOSS:	lady+[fem.sg.]

 INPUT STRING:	هل
     IS_TRANS:	hl
        INDEX:	P15W7
      OFFSETS:	29-31
       TOKENS:	P15W7-P15W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(hal)
          POS:	INTERROG_PART
          VOC:	hal
        GLOSS:	do?/is?

 INPUT STRING:	الوضع
     IS_TRANS:	AlwDE
        INDEX:	P15W8
      OFFSETS:	32-37
       TOKENS:	P15W8-P15W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waDoE_1]
   UNSPLITVOC:	(AlwaDoE)
          POS:	DET+NOUN
          VOC:	Al+waDoE
        GLOSS:	the+situation/status/condition

 INPUT STRING:	سيكون
     IS_TRANS:	sykwn
        INDEX:	P15W9
      OFFSETS:	38-43
       TOKENS:	P15W9-P15W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(sayakuwn)
          POS:	FUT_PART+IV3MS+IV
          VOC:	sa+ya+kuwn
        GLOSS:	will+he/it+be

 INPUT STRING:	مختلفاً
     IS_TRANS:	mxtlfAF
        INDEX:	P15W10
      OFFSETS:	44-51
       TOKENS:	P15W11-P15W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muxotalif_1]
   UNSPLITVOC:	(muxotalif)
          POS:	ADJ
          VOC:	muxotalif
        GLOSS:	different/various

 INPUT STRING:	لأنها
     IS_TRANS:	l>nhA
        INDEX:	P15W11
      OFFSETS:	52-57
       TOKENS:	P15W12-P15W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>an~_1]
   UNSPLITVOC:	(li>an~ahA)
          POS:	PREP+SUB_CONJ+PRON_3FS
          VOC:	li+>an~+hA
        GLOSS:	for/to+that+she/it

 INPUT STRING:	معرضة
     IS_TRANS:	mErDp
        INDEX:	P15W12
      OFFSETS:	58-63
       TOKENS:	P15W15-P15W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muEar~aD_1]
   UNSPLITVOC:	(muEar~aDap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	muEar~aD+ap
        GLOSS:	exposed/vulnerable+[fem.sg.]

 INPUT STRING:	للاغتصاب
     IS_TRANS:	llAgtSAb
        INDEX:	P15W13
      OFFSETS:	64-72
       TOKENS:	P15W16-P15W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AigotiSAb_1]
   UNSPLITVOC:	(lilAigotiSAb)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+AigotiSAb
        GLOSS:	for/to+the+rape

 INPUT STRING:	وهتك
     IS_TRANS:	whtk
        INDEX:	P15W14
      OFFSETS:	73-77
       TOKENS:	P15W18-P15W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hatok_1]
   UNSPLITVOC:	(wihatok)
          POS:	CONJ+NOUN
          VOC:	wi+hatok
        GLOSS:	and+tearing apart/disclosure/degradation

 INPUT STRING:	العرض
     IS_TRANS:	AlErD
        INDEX:	P15W15
      OFFSETS:	78-83
       TOKENS:	P15W20-P15W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaroD_1]
   UNSPLITVOC:	(AlEaroD)
          POS:	DET+NOUN
          VOC:	Al+EaroD
        GLOSS:	the+honor

 INPUT STRING:	أو
     IS_TRANS:	>w
        INDEX:	P15W16
      OFFSETS:	84-86
       TOKENS:	P15W21-P15W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	حتي
     IS_TRANS:	Hty
        INDEX:	P15W17
      OFFSETS:	87-90
       TOKENS:	P15W22-P15W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	PART
          VOC:	Hat~aY
        GLOSS:	even/including

 INPUT STRING:	التهديد
     IS_TRANS:	Althdyd
        INDEX:	P15W18
      OFFSETS:	91-98
       TOKENS:	P15W23-P15W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tahodiyd_1]
   UNSPLITVOC:	(Alt~ahodiyd)
          POS:	DET+NOUN
          VOC:	Al+tahodiyd
        GLOSS:	the+threatening/menacing

 INPUT STRING:	به
     IS_TRANS:	bh
        INDEX:	P15W19
      OFFSETS:	99-101
       TOKENS:	P15W24-P15W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(buh)
          POS:	PREP+PRON_3MS
          VOC:	bi+uh
        GLOSS:	with/by+it/he

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P15W20
      OFFSETS:	101-102
       TOKENS:	P15W26-P15W26
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	طبعا
     IS_TRANS:	TbEA
        INDEX:	P16W1
      OFFSETS:	0-4
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaboE_1]
   UNSPLITVOC:	(TaboEAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	TaboE+AF
        GLOSS:	naturally/of course+[acc.indef.]

 INPUT STRING:	جرائم
     IS_TRANS:	jrA}m
        INDEX:	P16W2
      OFFSETS:	5-10
       TOKENS:	P16W2-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jariymap_1]
   UNSPLITVOC:	(jarA}im)
          POS:	NOUN
          VOC:	jarA}im
        GLOSS:	crimes

 INPUT STRING:	الاختطاف
     IS_TRANS:	AlAxtTAf
        INDEX:	P16W3
      OFFSETS:	11-19
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ixotiTAf_2]
   UNSPLITVOC:	(AlAixotiTAf)
          POS:	DET+NOUN
          VOC:	Al+<ixotiTAf
        GLOSS:	the+abduction/kidnapping

 INPUT STRING:	لم
     IS_TRANS:	lm
        INDEX:	P16W4
      OFFSETS:	20-22
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lamo_1]
   UNSPLITVOC:	(lamo)
          POS:	NEG_PART
          VOC:	lamo
        GLOSS:	did not

 INPUT STRING:	تكن
     IS_TRANS:	tkn
        INDEX:	P16W5
      OFFSETS:	23-26
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(takun)
          POS:	IV3FS+IV
          VOC:	ta+kun
        GLOSS:	she/it+be

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P16W6
      OFFSETS:	27-29
       TOKENS:	P16W6-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	سجل
     IS_TRANS:	sjl
        INDEX:	P16W7
      OFFSETS:	30-33
       TOKENS:	P16W7-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sijil~_1]
   UNSPLITVOC:	(sijil~)
          POS:	NOUN
          VOC:	sijil~
        GLOSS:	register/record/archive

 INPUT STRING:	الجرائم
     IS_TRANS:	AljrA}m
        INDEX:	P16W8
      OFFSETS:	34-41
       TOKENS:	P16W8-P16W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jariymap_1]
   UNSPLITVOC:	(AljarA}im)
          POS:	DET+NOUN
          VOC:	Al+jarA}im
        GLOSS:	the+crimes

 INPUT STRING:	المعتادة
     IS_TRANS:	AlmEtAdp
        INDEX:	P16W9
      OFFSETS:	42-50
       TOKENS:	P16W9-P16W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEotAd_1]
   UNSPLITVOC:	(AlmuEotAdap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+muEotAd+ap
        GLOSS:	the+typical/usual/habitual/customary+[fem.sg.]

 INPUT STRING:	قبل
     IS_TRANS:	qbl
        INDEX:	P16W10
      OFFSETS:	51-54
       TOKENS:	P16W10-P16W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qabol_1]
   UNSPLITVOC:	(qabol)
          POS:	NOUN
          VOC:	qabol
        GLOSS:	before/previously/formerly

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P16W11
      OFFSETS:	55-61
       TOKENS:	P16W11-P16W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	وأن
     IS_TRANS:	w>n
        INDEX:	P16W12
      OFFSETS:	62-65
       TOKENS:	P16W12-P16W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(wi<in~)
          POS:	CONJ+SUB_CONJ
          VOC:	wi+<in~
        GLOSS:	and+that

 INPUT STRING:	انهيار
     IS_TRANS:	AnhyAr
        INDEX:	P16W13
      OFFSETS:	66-72
       TOKENS:	P16W14-P16W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinohiyAr_1]
   UNSPLITVOC:	(AinohiyAr)
          POS:	NOUN
          VOC:	AinohiyAr
        GLOSS:	collapse/fall down

 INPUT STRING:	الشرطة
     IS_TRANS:	Al$rTp
        INDEX:	P16W14
      OFFSETS:	73-79
       TOKENS:	P16W15-P16W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uroTap_1]
   UNSPLITVOC:	(Al$~uroTap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+$uroT+ap
        GLOSS:	the+police+[fem.sg.]

 INPUT STRING:	وانتشار
     IS_TRANS:	wAnt$Ar
        INDEX:	P16W15
      OFFSETS:	80-87
       TOKENS:	P16W16-P16W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainoti$Ar_1]
   UNSPLITVOC:	(wiAinoti$Ar)
          POS:	CONJ+NOUN
          VOC:	wi+Ainoti$Ar
        GLOSS:	and+spreading/spread/diffusion

 INPUT STRING:	البلطجة
     IS_TRANS:	AlblTjp
        INDEX:	P16W16
      OFFSETS:	88-95
       TOKENS:	P16W18-P16W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baloTajap_1]
   UNSPLITVOC:	(AlbaloTajap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+baloTaj+ap
        GLOSS:	the+gangsterism+[fem.sg.]

 INPUT STRING:	وهروب
     IS_TRANS:	whrwb
        INDEX:	P16W17
      OFFSETS:	96-101
       TOKENS:	P16W19-P16W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huruwb_1]
   UNSPLITVOC:	(wihuruwb)
          POS:	CONJ+NOUN
          VOC:	wi+huruwb
        GLOSS:	and+escape/fleeing

 INPUT STRING:	المساجين
     IS_TRANS:	AlmsAjyn
        INDEX:	P16W18
      OFFSETS:	102-110
       TOKENS:	P16W21-P16W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[masojuwn_1]
   UNSPLITVOC:	(AlmasAjiyn)
          POS:	DET+NOUN
          VOC:	Al+masAjiyn
        GLOSS:	the+prisoners

 INPUT STRING:	وزيادة
     IS_TRANS:	wzyAdp
        INDEX:	P16W19
      OFFSETS:	111-117
       TOKENS:	P16W22-P16W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ziyAdap_1]
   UNSPLITVOC:	(wiziyAdap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+ziyAd+ap
        GLOSS:	and+increase/addition+[fem.sg.]

 INPUT STRING:	البطالة
     IS_TRANS:	AlbTAlp
        INDEX:	P16W20
      OFFSETS:	118-125
       TOKENS:	P16W24-P16W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[biTAlap_1]
   UNSPLITVOC:	(AlbiTAlap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+biTAl+ap
        GLOSS:	the+idleness/joblessness+[fem.sg.]

 INPUT STRING:	وانخفاض
     IS_TRANS:	wAnxfAD
        INDEX:	P16W21
      OFFSETS:	126-133
       TOKENS:	P16W25-P16W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinoxifAD_1]
   UNSPLITVOC:	(wiAinoxifAD)
          POS:	CONJ+NOUN
          VOC:	wi+AinoxifAD
        GLOSS:	and+decrease

 INPUT STRING:	الدخل
     IS_TRANS:	Aldxl
        INDEX:	P16W22
      OFFSETS:	134-139
       TOKENS:	P16W27-P16W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daxol_1]
   UNSPLITVOC:	(Ald~axol)
          POS:	DET+NOUN
          VOC:	Al+daxol
        GLOSS:	the+income/revenue/business

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P16W23
      OFFSETS:	140-142
       TOKENS:	P16W28-P16W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	every/all/entire

 INPUT STRING:	ذلك
     IS_TRANS:	*lk
        INDEX:	P16W24
      OFFSETS:	143-146
       TOKENS:	P16W29-P16W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*alik_1]
   UNSPLITVOC:	(*alik)
          POS:	DEM_PRON_MS
          VOC:	*alik
        GLOSS:	this

 INPUT STRING:	أدي
     IS_TRANS:	>dy
        INDEX:	P16W25
      OFFSETS:	147-150
       TOKENS:	P16W30-P16W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ad~aY_1]
   UNSPLITVOC:	(>ad~aY)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	>ad~aY+(null)
        GLOSS:	direct/guide/lead/be directed/be guided/be lead+he/it

 INPUT STRING:	إلي
     IS_TRANS:	<ly
        INDEX:	P16W26
      OFFSETS:	151-154
       TOKENS:	P16W31-P16W31
