 INPUT STRING:	بســـم
     IS_TRANS:	Almwqf
        INDEX:	P20W6
      OFFSETS:	26-32
       TOKENS:	P20W7-P20W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawqif_1]
   UNSPLITVOC:	(Almawqif)
          POS:	DET+NOUN
          VOC:	Al+mawqif
        GLOSS:	the+position/positions/situation

 INPUT STRING:	يسلمو
     IS_TRANS:	yslmw
        INDEX:	P21W1
      OFFSETS:	0-5
       TOKENS:	P21W1-P21W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sal~im_1]
   UNSPLITVOC:	(yisal~imuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+sal~im+uwA
        GLOSS:	they+be safe+[pl.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P21W2
      OFFSETS:	6-9
       TOKENS:	P21W2-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P21W3
      OFFSETS:	10-13
       TOKENS:	P21W3-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*A)
          POS:	DEM_PRON_MS
          VOC:	ha*A
        GLOSS:	these/this

 INPUT STRING:	الطرح
     IS_TRANS:	AlTrH
        INDEX:	P21W4
      OFFSETS:	14-19
       TOKENS:	P21W4-P21W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaroH_1]
   UNSPLITVOC:	(AlT~aroH)
          POS:	DET+NOUN
          VOC:	Al+TaroH
        GLOSS:	the+suggestion/proposal/suggestions/proposals

 INPUT STRING:	بلال
     IS_TRANS:	blAl
        INDEX:	P22W1
      OFFSETS:	0-4
       TOKENS:	P22W1-P22W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bilAl_1]
   UNSPLITVOC:	(bilAl)
          POS:	NOUN_PROP
          VOC:	bilAl
        GLOSS:	Bilal

 INPUT STRING:	المشكله
     IS_TRANS:	Alm$klh
        INDEX:	P23W1
      OFFSETS:	0-7
       TOKENS:	P23W1-P23W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$okilap_1]
   UNSPLITVOC:	(Almu$okilap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+mu$okil+ap
        GLOSS:	the+problem/issue/problems/issues/inconveniences+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P23W2
      OFFSETS:	8-10
       TOKENS:	P23W2-P23W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	مين
     IS_TRANS:	myn
        INDEX:	P23W3
      OFFSETS:	11-14
       TOKENS:	P23W3-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miyn_1]
   UNSPLITVOC:	(miyn)
          POS:	INTERROG_PRON
          VOC:	miyn
        GLOSS:	who

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P23W4
      OFFSETS:	15-19
       TOKENS:	P23W4-P23W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whow/whom/what/whose/which

 INPUT STRING:	غلطان
     IS_TRANS:	glTAn
        INDEX:	P23W5
      OFFSETS:	20-25
       TOKENS:	P23W5-P23W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[galoTAn_1]
   UNSPLITVOC:	(galoTAn)
          POS:	ADJ
          VOC:	galoTAn
        GLOSS:	wrong/erring

 INPUT STRING:	المشكله
     IS_TRANS:	Alm$klh
        INDEX:	P24W1
      OFFSETS:	0-7
       TOKENS:	P24W1-P24W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$okilap_1]
   UNSPLITVOC:	(Almu$okilap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+mu$okil+ap
        GLOSS:	the+problem/issue/problems/issues/inconveniences+[fem.sg.]

 INPUT STRING:	بناء
     IS_TRANS:	bnA'
        INDEX:	P24W2
      OFFSETS:	8-12
       TOKENS:	P24W2-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binA'_1]
   UNSPLITVOC:	(binA')
          POS:	NOUN
          VOC:	binA'
        GLOSS:	constructing/building/based on/according to/structure/edifice/structures/edifices

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P24W3
      OFFSETS:	13-16
       TOKENS:	P24W3-P24W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P24W4
      OFFSETS:	17-20
       TOKENS:	P24W4-P24W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aiyh_1]
   UNSPLITVOC:	(Aiyh)
          POS:	INTERROG_PRON
          VOC:	Aiyh
        GLOSS:	what

 INPUT STRING:	بيتكلمه
     IS_TRANS:	bytklmh
        INDEX:	P24W5
      OFFSETS:	21-28
       TOKENS:	P24W5-P24W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aitokal~im_1]
   UNSPLITVOC:	(biyitokal~imuwA)
          POS:	PROG_PART+IV3MS+IV+IVSUFF_DO:3MS
          VOC:	bi+yi+tokal~im+uwA
        GLOSS:	[present-tense]+they+talk/speak+[masc.pl.]

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P25W1
      OFFSETS:	0-2
       TOKENS:	P25W1-P25W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	INTERROG_PRON
          VOC:	mA
        GLOSS:	what/which

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P25W2
      OFFSETS:	3-5
       TOKENS:	P25W2-P25W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he

 INPUT STRING:	النهايه
     IS_TRANS:	AlnhAyh
        INDEX:	P25W3
      OFFSETS:	6-13
       TOKENS:	P25W3-P25W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nihAyap_1]
   UNSPLITVOC:	(Aln~ihAyap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+nihAy+ap
        GLOSS:	the+end/termination/ultimately/finally+[fem.sg.]

 INPUT STRING:	وما
     IS_TRANS:	wmA
        INDEX:	P25W4
      OFFSETS:	14-17
       TOKENS:	P25W4-P25W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(wamA)
          POS:	CONJ+INTERROG_PRON
          VOC:	wa+mA
        GLOSS:	and+what/which

 INPUT STRING:	الغرض
     IS_TRANS:	AlgrD
        INDEX:	P25W5
      OFFSETS:	18-23
       TOKENS:	P25W6-P25W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[garaD_1]
   UNSPLITVOC:	(AlgaraD)
          POS:	DET+NOUN
          VOC:	Al+garaD
        GLOSS:	the+goal/purpose/objective/goals/objectives/articles/items/things

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P26W1
      OFFSETS:	0-2
       TOKENS:	P26W1-P26W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P26W2
      OFFSETS:	3-6
       TOKENS:	P26W2-P26W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be/was/were+he/it

 INPUT STRING:	الولد
     IS_TRANS:	Alwld
        INDEX:	P26W3
      OFFSETS:	7-12
       TOKENS:	P26W3-P26W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[walad_1]
   UNSPLITVOC:	(Alwalad)
          POS:	DET+NOUN
          VOC:	Al+walad
        GLOSS:	the+child/son/children

 INPUT STRING:	بحب
     IS_TRANS:	bHb
        INDEX:	P26W4
      OFFSETS:	13-16
       TOKENS:	P26W4-P26W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hub~_1]
   UNSPLITVOC:	(biHub~)
          POS:	PREP+NOUN.VN
          VOC:	bi+Hub~
        GLOSS:	with/by+love/affection/out of affection for/for love of

 INPUT STRING:	البنت
     IS_TRANS:	Albnt
        INDEX:	P26W5
      OFFSETS:	17-22
       TOKENS:	P26W6-P26W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(Albinot)
          POS:	DET+NOUN
          VOC:	Al+binot
        GLOSS:	the+daughter/girl/daughters/girls

 INPUT STRING:	فالمفروض
     IS_TRANS:	fAlmfrwD
        INDEX:	P26W6
      OFFSETS:	23-31
       TOKENS:	P26W7-P26W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maforuwD_1]
   UNSPLITVOC:	(faAlmaforuwD)
          POS:	CONNEC_PART+DET+NOUN
          VOC:	fa+Al+maforuwD
        GLOSS:	so/then+the+obligation/duty/obligations/duties

 INPUT STRING:	يدخل
     IS_TRANS:	ydxl
        INDEX:	P26W7
      OFFSETS:	32-36
       TOKENS:	P26W9-P26W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daxal_1]
   UNSPLITVOC:	(yidoxul)
          POS:	IV3MS+IV
          VOC:	yi+doxul
        GLOSS:	he/it+enter/be entered

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P26W8
      OFFSETS:	37-39
       TOKENS:	P26W10-P26W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الباب
     IS_TRANS:	AlbAb
        INDEX:	P26W9
      OFFSETS:	40-45
       TOKENS:	P26W11-P26W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAb_1]
   UNSPLITVOC:	(AlbAb)
          POS:	DET+NOUN
          VOC:	Al+bAb
        GLOSS:	the+door/gate/doors/gates/category/rubric/categories/rubrics

 INPUT STRING:	اما
     IS_TRANS:	AmA
        INDEX:	P27W1
      OFFSETS:	0-3
       TOKENS:	P27W1-P27W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>am~A_1]
   UNSPLITVOC:	(>am~A)
          POS:	FOCUS_PART
          VOC:	>am~A
        GLOSS:	As to/as for/as far as he (she/it/..etc) is concerned/but/however/yet

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P27W2
      OFFSETS:	4-6
       TOKENS:	P27W2-P27W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	عايز
     IS_TRANS:	EAyz
        INDEX:	P27W3
      OFFSETS:	7-11
       TOKENS:	P27W3-P27W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyiz)
          POS:	ADJ.VN
          VOC:	EAyiz
        GLOSS:	wanting

 INPUT STRING:	يتسلا
     IS_TRANS:	ytslA
        INDEX:	P27W4
      OFFSETS:	12-17
       TOKENS:	P27W4-P27W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aitosal~aY_1]
   UNSPLITVOC:	(yitosal~aY)
          POS:	IV3MS+IV
          VOC:	yi+tosal~aY
        GLOSS:	he/it+have fun

 INPUT STRING:	فاعتقد
     IS_TRANS:	fAEtqd
        INDEX:	P27W5
      OFFSETS:	18-24
       TOKENS:	P27W5-P27W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEotaqad_1]
   UNSPLITVOC:	(faAaEotaqid)
          POS:	CONJ+IV1S+IV
          VOC:	fa+Aa+Eotaqid
        GLOSS:	so/and+I+believe/think

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P27W6
      OFFSETS:	25-27
       TOKENS:	P27W7-P27W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	مفيش
     IS_TRANS:	mfy$
        INDEX:	P27W7
      OFFSETS:	28-32
       TOKENS:	P27W8-P27W8
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mfy$)
          POS:	NO_FUNC
          VOC:	mfy$
        GLOSS:	nogloss

 INPUT STRING:	بنت
     IS_TRANS:	bnt
        INDEX:	P27W8
      OFFSETS:	33-36
       TOKENS:	P27W9-P27W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(binot)
          POS:	NOUN
          VOC:	binot
        GLOSS:	daughter/girl/daughters/girls

 INPUT STRING:	محترمه
     IS_TRANS:	mHtrmh
        INDEX:	P27W9
      OFFSETS:	37-43
       TOKENS:	P27W10-P27W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHotaram_1]
   UNSPLITVOC:	(muHotaramap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	muHotaram+ap
        GLOSS:	esteemed/respected/respectable+[fem.sg.]

 INPUT STRING:	تقبل
     IS_TRANS:	tqbl
        INDEX:	P27W10
      OFFSETS:	44-48
       TOKENS:	P27W11-P27W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qabal_1]
   UNSPLITVOC:	(tiqobal)
          POS:	IV2FS+IV
          VOC:	ti+qobal
        GLOSS:	you+agree/receive/accept

 INPUT STRING:	تكون
     IS_TRANS:	tkwn
        INDEX:	P27W11
      OFFSETS:	49-53
       TOKENS:	P27W12-P27W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(tikuwn)
          POS:	IV3FS+IV
          VOC:	ti+kuwn
        GLOSS:	it/they/she+be/was/were

 INPUT STRING:	شويه
     IS_TRANS:	$wyh
        INDEX:	P28W1
      OFFSETS:	0-4
       TOKENS:	P28W1-P28W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$uway~ap_1]
   UNSPLITVOC:	($uway~ap)
          POS:	NOUN_QUANT
          VOC:	$uway~ap
        GLOSS:	few/some/a little/several/a few

 INPUT STRING:	لب
     IS_TRANS:	lb
        INDEX:	P28W2
      OFFSETS:	5-7
       TOKENS:	P28W2-P28W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lib~Ayap_1]
   UNSPLITVOC:	(lib~)
          POS:	NOUN
          VOC:	lib~
        GLOSS:	seeds

 INPUT STRING:	وسودانى
     IS_TRANS:	wswdAnY
        INDEX:	P28W3
      OFFSETS:	8-15
       TOKENS:	P28W3-P28W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[suwdAniy_1]
   UNSPLITVOC:	(wisuwdAniy)
          POS:	CONJ+NOUN
          VOC:	wi+suwdAniy
        GLOSS:	and+peanuts

 INPUT STRING:	الولد
     IS_TRANS:	Alwld
        INDEX:	P28W4
      OFFSETS:	16-21
       TOKENS:	P28W5-P28W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[walad_1]
   UNSPLITVOC:	(Alwalad)
          POS:	DET+NOUN
          VOC:	Al+walad
        GLOSS:	the+child/son/children

 INPUT STRING:	يتسله
     IS_TRANS:	ytslh
        INDEX:	P28W5
      OFFSETS:	22-27
       TOKENS:	P28W6-P28W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(ytslh)
          POS:	TYPO
          VOC:	ytslh
        GLOSS:	nogloss

 INPUT STRING:	بيهم
     IS_TRANS:	byhm
        INDEX:	P28W6
      OFFSETS:	28-32
       TOKENS:	P28W7-P28W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(biyhum)
          POS:	PREP+PRON_3P
          VOC:	bi+hum
        GLOSS:	with/by/him/them/her+they

 INPUT STRING:	وقت
     IS_TRANS:	wqt
        INDEX:	P28W7
      OFFSETS:	33-36
       TOKENS:	P28W9-P28W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqot_1]
   UNSPLITVOC:	(waqot)
          POS:	NOUN
          VOC:	waqot
        GLOSS:	time/moment/period of time/moments/times

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P28W8
      OFFSETS:	37-39
       TOKENS:	P28W10-P28W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that/if/unless/whether/as long as/as soon as

 INPUT STRING:	يحب
     IS_TRANS:	yHb
        INDEX:	P28W9
      OFFSETS:	40-43
       TOKENS:	P28W11-P28W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(yiHib~)
          POS:	IV3MS+IV
          VOC:	yi+Hib~
        GLOSS:	he/it+love/like/want

 INPUT STRING:	الا
     IS_TRANS:	AlA
        INDEX:	P29W1
      OFFSETS:	0-3
       TOKENS:	P29W1-P29W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	RESTRIC_PART
          VOC:	<il~A
        GLOSS:	except for

 INPUT STRING:	اذا
     IS_TRANS:	A*A
        INDEX:	P29W2
      OFFSETS:	4-7
       TOKENS:	P29W2-P29W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai*A_1]
   UNSPLITVOC:	(<i*A)
          POS:	SUB_CONJ
          VOC:	<i*A
        GLOSS:	If/whether/when/whenever

 INPUT STRING:	هى
     IS_TRANS:	hY
        INDEX:	P29W3
      OFFSETS:	8-10
       TOKENS:	P29W3-P29W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	DEM_PRON_FS
          VOC:	hiy~a
        GLOSS:	she/it

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P29W4
      OFFSETS:	11-15
       TOKENS:	P29W4-P29W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	be/was/were+it/they/she

 INPUT STRING:	عايزه
     IS_TRANS:	EAyzh
        INDEX:	P29W5
      OFFSETS:	16-21
       TOKENS:	P29W5-P29W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyozap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EAyoz+ap
        GLOSS:	wanting+[fem.sg.]

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P29W6
      OFFSETS:	22-25
       TOKENS:	P29W6-P29W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[kidA_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this/like/something like/such/like that/that way/that

 INPUT STRING:	وفى
     IS_TRANS:	wfY
        INDEX:	P30W1
      OFFSETS:	0-3
       TOKENS:	P30W1-P30W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(wifiy)
          POS:	CONJ+PREP
          VOC:	wi+fiy
        GLOSS:	and+in

 INPUT STRING:	النهايه
     IS_TRANS:	AlnhAyh
        INDEX:	P30W2
      OFFSETS:	4-11
       TOKENS:	P30W3-P30W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nihAyap_1]
   UNSPLITVOC:	(Aln~ihAyap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+nihAy+ap
        GLOSS:	the+end/termination/ultimately/finally+[fem.sg.]

 INPUT STRING:	اكيد
     IS_TRANS:	Akyd
        INDEX:	P30W3
      OFFSETS:	12-16
       TOKENS:	P30W4-P30W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akiyd_1]
   UNSPLITVOC:	(>akiyd)
          POS:	NOUN
          VOC:	>akiyd
        GLOSS:	certain/definite

 INPUT STRING:	عرفت
     IS_TRANS:	Erft
        INDEX:	P30W4
      OFFSETS:	17-21
       TOKENS:	P30W5-P30W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(Eirift)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	Eirif+t
        GLOSS:	be known/know+I

 INPUT STRING:	مين
     IS_TRANS:	myn
        INDEX:	P30W5
      OFFSETS:	22-25
       TOKENS:	P30W6-P30W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(miyn)
          POS:	REL_PRON
          VOC:	miyn
        GLOSS:	who/whom

 INPUT STRING:	المذنب
     IS_TRANS:	Alm*nb
        INDEX:	P30W6
      OFFSETS:	26-32
       TOKENS:	P30W7-P30W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu*onib_1]
   UNSPLITVOC:	(Almu*onib)
          POS:	DET+NOUN
          VOC:	Al+mu*onib
        GLOSS:	the+guilty/delinquent/culpable

 INPUT STRING:	شكرا
     IS_TRANS:	$krA
        INDEX:	P31W1
      OFFSETS:	0-4
       TOKENS:	P31W1-P31W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ukor_1]
   UNSPLITVOC:	($ukorAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	$ukor+AF
        GLOSS:	thankfulness/thanks/thank you+[acc.indef.]

 INPUT STRING:	ليك
     IS_TRANS:	lyk
        INDEX:	P31W2
      OFFSETS:	5-8
       TOKENS:	P31W2-P31W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liyk)
          POS:	PREP+PRON_2MS
          VOC:	li+ak
        GLOSS:	for/to+you

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P31W3
      OFFSETS:	9-11
       TOKENS:	P31W4-P31W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
