 INPUT STRING:	اولا
      COMMENT:	[]
        LEMMA:	[HayAp_1]
   UNSPLITVOC:	(HayAtnA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1P
          VOC:	Hay+At+nA
        GLOSS:	life+[fem.sg.]+our

 INPUT STRING:	ارحمووونا
     IS_TRANS:	ArHmwwwnA
        INDEX:	P38W1
      OFFSETS:	0-9
       TOKENS:	P38W1-P38W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[raHim_1]
   UNSPLITVOC:	(AirHamuwnA)
          POS:	CV+CVSUFF_SUBJ:2P+CVSUFF_DO:1P
          VOC:	AirHam+uw+nA
        GLOSS:	have mercy with+you [verb] [pl.]+us

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P38W2
      OFFSETS:	10-13
       TOKENS:	P38W3-P38W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	so/thus

 INPUT STRING:	بلاش
     IS_TRANS:	blA$
        INDEX:	P38W3
      OFFSETS:	14-18
       TOKENS:	P38W4-P38W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[balA$_1]
   UNSPLITVOC:	(balA$)
          POS:	VERB
          VOC:	balA$
        GLOSS:	don't/without

 INPUT STRING:	قرف
     IS_TRANS:	qrf
        INDEX:	P38W4
      OFFSETS:	19-22
       TOKENS:	P38W5-P38W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaraf_1]
   UNSPLITVOC:	(qaraf)
          POS:	NOUN
          VOC:	qaraf
        GLOSS:	loathing

 INPUT STRING:	ولو
     IS_TRANS:	wlw
        INDEX:	P39W1
      OFFSETS:	0-3
       TOKENS:	P39W1-P39W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(wilaw)
          POS:	CONJ+SUB_CONJ
          VOC:	wi+law
        GLOSS:	and+if

 INPUT STRING:	سكتناااااا
     IS_TRANS:	sktnAAAAAA
        INDEX:	P39W2
      OFFSETS:	4-14
       TOKENS:	P39W3-P39W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sikit_1]
   UNSPLITVOC:	(sikitnA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	sikit+nA
        GLOSS:	be silent+we

 INPUT STRING:	المرة
     IS_TRANS:	Almrp
        INDEX:	P39W3
      OFFSETS:	15-20
       TOKENS:	P39W4-P39W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mar~ap_1]
   UNSPLITVOC:	(Almar~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+mar~+ap
        GLOSS:	the+occasion/time/moment/occasions/times/moments+[fem.sg.]

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P39W4
      OFFSETS:	21-23
       TOKENS:	P39W5-P39W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this/that

 INPUT STRING:	خلاص
     IS_TRANS:	xlAS
        INDEX:	P39W5
      OFFSETS:	24-28
       TOKENS:	P39W6-P39W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalAS_1]
   UNSPLITVOC:	(xalAS)
          POS:	NOUN
          VOC:	xalAS
        GLOSS:	deliverance/salvation/settlement

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P39W6
      OFFSETS:	29-32
       TOKENS:	P39W7-P39W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	so/thus

 INPUT STRING:	يبقى
     IS_TRANS:	ybqY
        INDEX:	P39W7
      OFFSETS:	33-37
       TOKENS:	P39W8-P39W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(yiboqaY)
          POS:	IV3MS+IV
          VOC:	yi+boqaY
        GLOSS:	he/it+remain

 INPUT STRING:	عليكى
     IS_TRANS:	ElykY
        INDEX:	P39W8
      OFFSETS:	38-43
       TOKENS:	P39W9-P39W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealaykiy)
          POS:	PREP+PRON_2FS
          VOC:	EalaY+ik
        GLOSS:	on/above+you

 INPUT STRING:	العوض
     IS_TRANS:	AlEwD
        INDEX:	P39W9
      OFFSETS:	44-49
       TOKENS:	P39W11-P39W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EawaD_1]
   UNSPLITVOC:	(AlEawaD)
          POS:	DET+NOUN
          VOC:	Al+EawaD
        GLOSS:	the+compensation

 INPUT STRING:	ومنو
     IS_TRANS:	wmnw
        INDEX:	P39W10
      OFFSETS:	50-54
       TOKENS:	P39W12-P39W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wiminuw)
          POS:	CONJ+PREP+PRON_3MS
          VOC:	wi+min+uw
        GLOSS:	and+from+it/him

 INPUT STRING:	العوض
     IS_TRANS:	AlEwD
        INDEX:	P39W11
      OFFSETS:	55-60
       TOKENS:	P39W15-P39W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EawaD_1]
   UNSPLITVOC:	(AlEawaD)
          POS:	DET+NOUN
          VOC:	Al+EawaD
        GLOSS:	the+compensation

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P39W12
      OFFSETS:	61-63
       TOKENS:	P39W16-P39W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P39W13
      OFFSETS:	64-67
       TOKENS:	P39W17-P39W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egyptian

 INPUT STRING:	ويقولو
     IS_TRANS:	wyqwlw
        INDEX:	P40W1
      OFFSETS:	0-6
       TOKENS:	P40W1-P40W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(wiyiquwluwA)
          POS:	CONJ+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	wi+yi+quwl+uwA
        GLOSS:	and+they+said/say/be said/say/(for example)+[pl.]

 INPUT STRING:	اجنداااااات
     IS_TRANS:	AjndAAAAAAt
        INDEX:	P40W2
      OFFSETS:	7-18
       TOKENS:	P40W3-P40W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(AjndAAAAAAt)
          POS:	FOREIGN
          VOC:	AjndAAAAAAt
        GLOSS:	nogloss

 INPUT STRING:	خرجية
     IS_TRANS:	xrjyp
        INDEX:	P40W3
      OFFSETS:	19-24
       TOKENS:	P40W4-P40W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xArijiy_1]
   UNSPLITVOC:	(xArijiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	xArijiy~+ap
        GLOSS:	foreign/outside+[fem.sg.]

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P40W4
      OFFSETS:	25-27
       TOKENS:	P40W5-P40W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	FOCUS_PART
          VOC:	mA
        GLOSS:	indeed

 INPUT STRING:	انتو
     IS_TRANS:	Antw
        INDEX:	P40W5
      OFFSETS:	28-32
       TOKENS:	P40W6-P40W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotuw_1]
   UNSPLITVOC:	(Ainotuw)
          POS:	PRON_2P
          VOC:	Ainotuw
        GLOSS:	you

 INPUT STRING:	بطبقوهاااااا
     IS_TRANS:	bTbqwhAAAAAA
        INDEX:	P40W6
      OFFSETS:	33-45
       TOKENS:	P40W7-P40W7
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(bTbqwhAAAAAA)
          POS:	NO_FUNC
          VOC:	bTbqwhAAAAAA
        GLOSS:	nogloss

 INPUT STRING:	اهو
     IS_TRANS:	Ahw
        INDEX:	P41W1
      OFFSETS:	0-3
       TOKENS:	P41W1-P41W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ahuw_1]
   UNSPLITVOC:	(Ahuw~a)
          POS:	DEM_PRON_MS
          VOC:	Ahuw~a
        GLOSS:	this/that

 INPUT STRING:	اسرئل
     IS_TRANS:	Asr}l
        INDEX:	P41W2
      OFFSETS:	4-9
       TOKENS:	P41W2-P41W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AisrA}iyl_1]
   UNSPLITVOC:	(AisrA}iyl)
          POS:	NOUN_PROP
          VOC:	AisrA}iyl
        GLOSS:	Israel

 INPUT STRING:	بتحربنا
     IS_TRANS:	btHrbnA
        INDEX:	P41W3
      OFFSETS:	10-17
       TOKENS:	P41W3-P41W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HArab_1]
   UNSPLITVOC:	(bitHAribnA)
          POS:	PROG_PART+IV3FS+IV+IVSUFF_DO:1P
          VOC:	bi+t+HArib+nA
        GLOSS:	[present-tense]+it/they/she+fight/wage war+us

 INPUT STRING:	بجشناااااا
     IS_TRANS:	bj$nAAAAAA
        INDEX:	P41W4
      OFFSETS:	18-28
       TOKENS:	P41W6-P41W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ji$_1]
   UNSPLITVOC:	(biji$nA)
          POS:	PREP+NOUN+POSS_PRON_1P
          VOC:	bi+ji$+nA
        GLOSS:	with/by+army+our

 INPUT STRING:	ومشيرنااااااا
     IS_TRANS:	wm$yrnAAAAAAA
        INDEX:	P41W5
      OFFSETS:	29-42
       TOKENS:	P41W9-P41W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mu$iyr_1]
   UNSPLITVOC:	(wimu$iyrnA)
          POS:	CONJ+NOUN+POSS_PRON_1P
          VOC:	wi+mu$iyr+nA
        GLOSS:	and+field marshal/general+our

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P41W6
      OFFSETS:	43-46
       TOKENS:	P41W12-P41W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	حميناااا
     IS_TRANS:	HmynAAAA
        INDEX:	P41W7
      OFFSETS:	47-55
       TOKENS:	P41W13-P41W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HamaY_1]
   UNSPLITVOC:	(HamiynA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	Hamiy+nA
        GLOSS:	protect+we

 INPUT STRING:	اكبر
     IS_TRANS:	Akbr
        INDEX:	P41W8
      OFFSETS:	56-60
       TOKENS:	P41W14-P41W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akobar_1]
   UNSPLITVOC:	(>akobar)
          POS:	ADJ_COMP
          VOC:	>akobar
        GLOSS:	larger/largest/greater/greatest

 INPUT STRING:	خااااااااين
     IS_TRANS:	xAAAAAAAAyn
        INDEX:	P41W9
      OFFSETS:	61-72
       TOKENS:	P41W15-P41W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xAyin_1]
   UNSPLITVOC:	(xAyin)
          POS:	NOUN
          VOC:	xAyin
        GLOSS:	traitor/treacherous

 INPUT STRING:	اتقى
     IS_TRANS:	AtqY
        INDEX:	P42W1
      OFFSETS:	0-4
       TOKENS:	P42W1-P42W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ait~aqay_1]
   UNSPLITVOC:	(Ait~aqiy)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	Ait~aqiy+(null)
        GLOSS:	beware/be on guard+you [verb] [masc.sg.]

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P42W2
      OFFSETS:	5-9
       TOKENS:	P42W2-P42W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P42W3
      OFFSETS:	10-12
       TOKENS:	P42W3-P42W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	اخى
     IS_TRANS:	AxY
        INDEX:	P42W4
      OFFSETS:	13-16
       TOKENS:	P42W4-P42W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ax~_1]
   UNSPLITVOC:	(Axiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Ax+iy
        GLOSS:	brother+my

 INPUT STRING:	اتقى
     IS_TRANS:	AtqY
        INDEX:	P42W5
      OFFSETS:	17-21
       TOKENS:	P42W6-P42W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ait~aqay_1]
   UNSPLITVOC:	(Ait~aqiy)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	Ait~aqiy+(null)
        GLOSS:	beware/be on guard+you [verb] [masc.sg.]

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P42W6
      OFFSETS:	22-26
       TOKENS:	P42W7-P42W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	دول
     IS_TRANS:	dwl
        INDEX:	P42W7
      OFFSETS:	27-30
       TOKENS:	P42W8-P42W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawol_1]
   UNSPLITVOC:	(dawol)
          POS:	DEM_PRON_P
          VOC:	dawol
        GLOSS:	these/those

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P42W8
      OFFSETS:	31-33
       TOKENS:	P42W9-P42W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	فراااااااخ
     IS_TRANS:	frAAAAAAAx
        INDEX:	P42W9
      OFFSETS:	34-44
       TOKENS:	P42W10-P42W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[farx_1]
   UNSPLITVOC:	(firAx)
          POS:	NOUN
          VOC:	firAx
        GLOSS:	chicken

 INPUT STRING:	هيصعبو
     IS_TRANS:	hySEbw
        INDEX:	P42W10
      OFFSETS:	45-51
       TOKENS:	P42W11-P42W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SiEib_1]
   UNSPLITVOC:	(HayiSoEabuwA)
          POS:	FUT_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	Ha+yi+SoEab+uwA
        GLOSS:	will+they+be difficult+[pl.]

 INPUT STRING:	عللللللللللللليك
     IS_TRANS:	Elllllllllllllyk
        INDEX:	P42W11
      OFFSETS:	52-68
       TOKENS:	P42W13-P42W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaYik)
          POS:	PREP+PRON_2MS
          VOC:	EalaY+ik
        GLOSS:	on/above+you

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P42W12
      OFFSETS:	69-72
       TOKENS:	P42W15-P42W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	حسة
     IS_TRANS:	Hsp
        INDEX:	P42W13
      OFFSETS:	73-76
       TOKENS:	P42W16-P42W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAs~_1]
   UNSPLITVOC:	(Has~ap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	Has~+ap
        GLOSS:	feeling+[fem.sg.]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P42W14
      OFFSETS:	77-79
       TOKENS:	P42W17-P42W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	جالى
     IS_TRANS:	jAlY
        INDEX:	P42W15
      OFFSETS:	80-84
       TOKENS:	P42W18-P42W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jih_1]
   UNSPLITVOC:	(jA_liy)
          POS:	PV+PVSUFF_SUBJ:3MS+PREP+PRON_1S
          VOC:	jA+(null)+li+iy
        GLOSS:	come+he/it+to/for+me

 INPUT STRING:	الضغط
     IS_TRANS:	AlDgT
        INDEX:	P42W16
      OFFSETS:	85-90
       TOKENS:	P42W21-P42W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DagoT_1]
   UNSPLITVOC:	(AlD~agoT)
          POS:	DET+NOUN
          VOC:	Al+DagoT
        GLOSS:	the+pressure/stress/voltage/pressures/stresses

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P43W1
      OFFSETS:	0-3
       TOKENS:	P43W1-P43W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P43W2
      OFFSETS:	4-7
       TOKENS:	P43W2-P43W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	فكرة
     IS_TRANS:	fkrp
        INDEX:	P43W3
      OFFSETS:	8-12
       TOKENS:	P43W3-P43W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikorap_1]
   UNSPLITVOC:	(fikorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fikor+ap
        GLOSS:	idea/notion/concept+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P43W4
      OFFSETS:	13-15
       TOKENS:	P43W4-P43W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	بورسعيد
     IS_TRANS:	bwrsEyd
        INDEX:	P43W5
      OFFSETS:	16-23
       TOKENS:	P43W5-P43W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[buwrsaEiyd_1]
   UNSPLITVOC:	(buwrsaEiyd)
          POS:	NOUN_PROP
          VOC:	buwrsaEiyd
        GLOSS:	Boursaid

 INPUT STRING:	ومتقولوش
     IS_TRANS:	wmtqwlw$
        INDEX:	P43W6
      OFFSETS:	24-32
       TOKENS:	P43W6-P43W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(wimA_tiquwluw$)
          POS:	CONJ+NEG_PART+IV2P+IV+IVSUFF_SUBJ:P+NEG_PART
          VOC:	wi+mA+ti+quwl+uwA+$
        GLOSS:	and+not+you+said/say/be said/say/(for example)+we+not

 INPUT STRING:	انى
     IS_TRANS:	AnY
        INDEX:	P43W7
      OFFSETS:	33-36
       TOKENS:	P43W10-P43W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ain~_1]
   UNSPLITVOC:	(Ain~iy)
          POS:	SUB_CONJ+PRON_1S
          VOC:	Ain~+iy
        GLOSS:	that+I

 INPUT STRING:	بقول
     IS_TRANS:	bqwl
        INDEX:	P43W8
      OFFSETS:	37-41
       TOKENS:	P43W12-P43W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bAaquwl)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+quwl
        GLOSS:	[present-tense]+I+said/say/be said/say/(for example)

 INPUT STRING:	كدة
     IS_TRANS:	kdp
        INDEX:	P43W9
      OFFSETS:	42-45
       TOKENS:	P43W14-P43W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	like this/this way

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P43W10
      OFFSETS:	46-51
       TOKENS:	P43W15-P43W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$a>on
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	بورسعيديا
     IS_TRANS:	bwrsEydyA
        INDEX:	P43W11
      OFFSETS:	52-61
       TOKENS:	P43W17-P43W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[buwrosaEiydiy_1]
   UNSPLITVOC:	(buwrosaEiydiy~aA)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	buwrosaEiydiy~+ap
        GLOSS:	from Boursaid+[fem.sg.]

 INPUT STRING:	بووووووورسعيد
     IS_TRANS:	bwwwwwwwrsEyd
        INDEX:	P44W1
      OFFSETS:	0-13
       TOKENS:	P44W1-P44W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[buwrsaEiyd_1]
   UNSPLITVOC:	(buwrsaEiyd)
          POS:	NOUN_PROP
          VOC:	buwrsaEiyd
        GLOSS:	Boursaid

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P44W2
      OFFSETS:	14-16
       TOKENS:	P44W2-P44W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	حالة
     IS_TRANS:	HAlp
        INDEX:	P44W3
      OFFSETS:	17-21
       TOKENS:	P44W3-P44W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAlap_1]
   UNSPLITVOC:	(HAlap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAl+ap
        GLOSS:	condition/case/situation/cases/situations/instances+[fem.sg.]

 INPUT STRING:	حزن
     IS_TRANS:	Hzn
        INDEX:	P44W4
      OFFSETS:	22-25
       TOKENS:	P44W4-P44W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Huzon_1]
   UNSPLITVOC:	(Huzon)
          POS:	NOUN
          VOC:	Huzon
        GLOSS:	sadness

 INPUT STRING:	وشببهااااااا
