 INPUT STRING:	متى
       TOKENS:	P20W3-P20W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ma$okuwr_1]
   UNSPLITVOC:	(ma$okuwrap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	ma$okuwr+ap
        GLOSS:	praiseworthy/deserving thanks+[fem.sg.]

 INPUT STRING:	استاذة
     IS_TRANS:	AstA*p
        INDEX:	P20W4
      OFFSETS:	18-24
       TOKENS:	P20W4-P20W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>usotA*_1]
   UNSPLITVOC:	(>usotA*ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	>usotA*+ap
        GLOSS:	professor+[fem.sg.]

 INPUT STRING:	نغم
     IS_TRANS:	ngm
        INDEX:	P20W5
      OFFSETS:	25-28
       TOKENS:	P20W5-P20W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nagam_1]
   UNSPLITVOC:	(nagam)
          POS:	NOUN_PROP
          VOC:	nagam
        GLOSS:	Nagham

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P20W6
      OFFSETS:	28-29
       TOKENS:	P20W6-P20W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	عندما
     IS_TRANS:	EndmA
        INDEX:	P21W1
      OFFSETS:	0-5
       TOKENS:	P21W1-P21W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EinodamA_1]
   UNSPLITVOC:	(EindamA)
          POS:	NOUN+CASE_DEF_ACC+SUB_CONJ
          VOC:	Einod+a+mA
        GLOSS:	the time when+[def.acc.]+that

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P21W2
      OFFSETS:	6-8
       TOKENS:	P21W3-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	اكون
     IS_TRANS:	Akwn
        INDEX:	P21W3
      OFFSETS:	9-13
       TOKENS:	P21W4-P21W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(Aakuwn)
          POS:	IV1S+IV
          VOC:	Aa+kuwn
        GLOSS:	I+be

 INPUT STRING:	صادقا
     IS_TRANS:	SAdqA
        INDEX:	P21W4
      OFFSETS:	14-19
       TOKENS:	P21W5-P21W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAdiq_1]
   UNSPLITVOC:	(SAdiqAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	SAdiq+AF
        GLOSS:	veracious/truthful+[acc.indef.]

 INPUT STRING:	وهل
     IS_TRANS:	whl
        INDEX:	P22W1
      OFFSETS:	0-3
       TOKENS:	P22W1-P22W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(wihal)
          POS:	CONJ+INTERROG_PART
          VOC:	wi+hal
        GLOSS:	and+do?/is?

 INPUT STRING:	هناك
     IS_TRANS:	hnAk
        INDEX:	P22W2
      OFFSETS:	4-8
       TOKENS:	P22W3-P22W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinAk_1]
   UNSPLITVOC:	(hinAk)
          POS:	NOUN
          VOC:	hinAk
        GLOSS:	there

 INPUT STRING:	كذب
     IS_TRANS:	k*b
        INDEX:	P22W3
      OFFSETS:	9-12
       TOKENS:	P22W4-P22W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ki*ob_1]
   UNSPLITVOC:	(ki*ob)
          POS:	NOUN
          VOC:	ki*ob
        GLOSS:	lying/falsehood

 INPUT STRING:	ابيض
     IS_TRANS:	AbyD
        INDEX:	P22W4
      OFFSETS:	13-17
       TOKENS:	P22W5-P22W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aboyaD_1]
   UNSPLITVOC:	(>aboyaD)
          POS:	ADJ
          VOC:	>aboyaD
        GLOSS:	white

 INPUT STRING:	وكذب
     IS_TRANS:	wk*b
        INDEX:	P22W5
      OFFSETS:	18-22
       TOKENS:	P22W6-P22W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ki*ob_1]
   UNSPLITVOC:	(wiki*ob)
          POS:	CONJ+NOUN
          VOC:	wi+ki*ob
        GLOSS:	and+lying/falsehood

 INPUT STRING:	اسود
     IS_TRANS:	Aswd
        INDEX:	P22W6
      OFFSETS:	23-27
       TOKENS:	P22W8-P22W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isowid_1]
   UNSPLITVOC:	(<isowid)
          POS:	ADJ
          VOC:	<isowid
        GLOSS:	black

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P22W7
      OFFSETS:	27-28
       TOKENS:	P22W9-P22W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P23W1
      OFFSETS:	0-2
       TOKENS:	P23W1-P23W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	اعتقد
     IS_TRANS:	AEtqd
        INDEX:	P23W2
      OFFSETS:	3-8
       TOKENS:	P23W2-P23W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEotaqad_1]
   UNSPLITVOC:	(AaEotaqid)
          POS:	IV1S+IV
          VOC:	Aa+Eotaqid
        GLOSS:	I+believe/think

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P23W3
      OFFSETS:	9-11
       TOKENS:	P23W3-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	للكذب
     IS_TRANS:	llk*b
        INDEX:	P23W4
      OFFSETS:	12-17
       TOKENS:	P23W4-P23W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ki*ob_1]
   UNSPLITVOC:	(lilki*ob)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+ki*ob
        GLOSS:	to/for+the+lying/falsehood

 INPUT STRING:	الوان
     IS_TRANS:	AlwAn
        INDEX:	P23W5
      OFFSETS:	18-23
       TOKENS:	P23W6-P23W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[luwn_1]
   UNSPLITVOC:	(AlowAn)
          POS:	NOUN
          VOC:	AlowAn
        GLOSS:	colors/tints

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P23W6
      OFFSETS:	23-24
       TOKENS:	P23W7-P23W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	اذا
     IS_TRANS:	A*A
        INDEX:	P23W7
      OFFSETS:	25-28
       TOKENS:	P23W8-P23W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai*A_1]
   UNSPLITVOC:	(<i*A)
          POS:	SUB_CONJ
          VOC:	<i*A
        GLOSS:	If, whether, when, whenever

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P23W8
      OFFSETS:	29-32
       TOKENS:	P23W9-P23W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be+you [masc.sg.] [verb]

 INPUT STRING:	تكذب
     IS_TRANS:	tk*b
        INDEX:	P23W9
      OFFSETS:	33-37
       TOKENS:	P23W10-P23W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ki*ib_1]
   UNSPLITVOC:	(tiko*ib)
          POS:	IV2MS+IV
          VOC:	ti+ko*ib
        GLOSS:	you [masc.sg.]+lie/deceive

 INPUT STRING:	فأنت
     IS_TRANS:	f>nt
        INDEX:	P23W10
      OFFSETS:	38-42
       TOKENS:	P23W11-P23W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ainta_1]
   UNSPLITVOC:	(faAinta)
          POS:	RC_PART+PRON_2MS
          VOC:	fa+Ainta
        GLOSS:	so/then+you [masc.sg.]

 INPUT STRING:	تكذب
     IS_TRANS:	tk*b
        INDEX:	P23W11
      OFFSETS:	43-47
       TOKENS:	P23W13-P23W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ki*ib_1]
   UNSPLITVOC:	(tiko*ib)
          POS:	IV2MS+IV
          VOC:	ti+ko*ib
        GLOSS:	you [masc.sg.]+lie/deceive

 INPUT STRING:	هناك
     IS_TRANS:	hnAk
        INDEX:	P24W1
      OFFSETS:	0-4
       TOKENS:	P24W1-P24W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinAk_1]
   UNSPLITVOC:	(hinAk)
          POS:	ADV
          VOC:	hinAk
        GLOSS:	there

 INPUT STRING:	بعض
     IS_TRANS:	bED
        INDEX:	P24W2
      OFFSETS:	5-8
       TOKENS:	P24W2-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(baEoD)
          POS:	NOUN_QUANT
          VOC:	baEoD
        GLOSS:	some, a few, little, part

 INPUT STRING:	المواقف
     IS_TRANS:	AlmwAqf
        INDEX:	P24W3
      OFFSETS:	9-16
       TOKENS:	P24W3-P24W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawqif_1]
   UNSPLITVOC:	(AlmawAqif)
          POS:	DET+NOUN
          VOC:	Al+mawAqif
        GLOSS:	the+positions/situations

 INPUT STRING:	تضعنا
     IS_TRANS:	tDEnA
        INDEX:	P24W4
      OFFSETS:	17-22
       TOKENS:	P24W4-P24W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[waDaE_1]
   UNSPLITVOC:	(taDaEonA)
          POS:	IV3FS+IV+IVSUFF_MOOD:J+IVSUFF_DO:1P
          VOC:	ta+DaE+o+nA
        GLOSS:	it/they/she+put/place+[jus.]+us

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P24W5
      OFFSETS:	23-25
       TOKENS:	P24W6-P24W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	موقف
     IS_TRANS:	mwqf
        INDEX:	P24W6
      OFFSETS:	26-30
       TOKENS:	P24W7-P24W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawqif_1]
   UNSPLITVOC:	(mawqif)
          POS:	NOUN
          VOC:	mawqif
        GLOSS:	position/situation

 INPUT STRING:	محرج
     IS_TRANS:	mHrj
        INDEX:	P24W7
      OFFSETS:	31-35
       TOKENS:	P24W8-P24W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHorij_1]
   UNSPLITVOC:	(muHorij)
          POS:	ADJ
          VOC:	muHorij
        GLOSS:	embarrassing

 INPUT STRING:	وصعب
     IS_TRANS:	wSEb
        INDEX:	P24W8
      OFFSETS:	36-40
       TOKENS:	P24W9-P24W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaEob_1]
   UNSPLITVOC:	(wiSaEob)
          POS:	CONJ+ADJ
          VOC:	wi+SaEob
        GLOSS:	and+difficult/hard/arduous

 INPUT STRING:	فنضطر
     IS_TRANS:	fnDTr
        INDEX:	P24W9
      OFFSETS:	41-46
       TOKENS:	P24W11-P24W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiDoTar~_1]
   UNSPLITVOC:	(faniDoTar~)
          POS:	CONJ+IV1P+IV
          VOC:	fa+ni+DoTar~
        GLOSS:	so/and+we+compel/force/oblige

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P24W10
      OFFSETS:	47-51
       TOKENS:	P24W13-P24W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+her/it/them

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P24W11
      OFFSETS:	52-55
       TOKENS:	P24W15-P24W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	الكذب
     IS_TRANS:	Alk*b
        INDEX:	P24W12
      OFFSETS:	56-61
       TOKENS:	P24W16-P24W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ki*ob_1]
   UNSPLITVOC:	(Alki*ob)
          POS:	DET+NOUN
          VOC:	Al+ki*ob
        GLOSS:	the+lying/falsehood

 INPUT STRING:	لنداري
     IS_TRANS:	lndAry
        INDEX:	P24W13
      OFFSETS:	62-68
       TOKENS:	P24W17-P24W17
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(lndAry)
          POS:	NO_FUNC
          VOC:	lndAry
        GLOSS:	nogloss

 INPUT STRING:	الموقف
     IS_TRANS:	Almwqf
        INDEX:	P24W14
      OFFSETS:	69-75
       TOKENS:	P24W18-P24W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawqif_1]
   UNSPLITVOC:	(Almawqif)
          POS:	DET+NOUN
          VOC:	Al+mawqif
        GLOSS:	the+position/situation

 INPUT STRING:	ويكون
     IS_TRANS:	wykwn
        INDEX:	P24W15
      OFFSETS:	76-81
       TOKENS:	P24W19-P24W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(wiyikuwn)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+kuwn
        GLOSS:	and+he/it+be

 INPUT STRING:	الكذب
     IS_TRANS:	Alk*b
        INDEX:	P24W16
      OFFSETS:	82-87
       TOKENS:	P24W21-P24W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ki*ob_1]
   UNSPLITVOC:	(Alki*ob)
          POS:	DET+NOUN
          VOC:	Al+ki*ob
        GLOSS:	the+lying/falsehood

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P24W17
      OFFSETS:	88-91
       TOKENS:	P24W22-P24W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+him/it

 INPUT STRING:	افضل
     IS_TRANS:	AfDl
        INDEX:	P24W18
      OFFSETS:	92-96
       TOKENS:	P24W24-P24W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>afoDal_1]
   UNSPLITVOC:	(>afoDal)
          POS:	ADJ_COMP
          VOC:	>afoDal
        GLOSS:	better/best

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P24W19
      OFFSETS:	97-99
       TOKENS:	P24W25-P24W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الصدق
     IS_TRANS:	AlSdq
        INDEX:	P24W20
      OFFSETS:	100-105
       TOKENS:	P24W26-P24W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sidoq_1]
   UNSPLITVOC:	(AlS~idoq)
          POS:	DET+NOUN
          VOC:	Al+Sidoq
        GLOSS:	the+sincerity/candor

 INPUT STRING:	والصراحة
     IS_TRANS:	wAlSrAHp
        INDEX:	P24W21
      OFFSETS:	106-114
       TOKENS:	P24W27-P24W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SarAHap_1]
   UNSPLITVOC:	(wiAlSarAHap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+SarAH+ap
        GLOSS:	and+the+sincerity/candor/frankness/explicitly/openly+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P24W22
      OFFSETS:	114-115
       TOKENS:	P24W29-P24W29
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P24W23
      OFFSETS:	115-116
       TOKENS:	P24W30-P24W30
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	هل
     IS_TRANS:	hl
        INDEX:	P24W24
      OFFSETS:	117-119
       TOKENS:	P24W31-P24W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(hal)
          POS:	INTERROG_PART
          VOC:	hal
        GLOSS:	do?/is?

 INPUT STRING:	يوجد
     IS_TRANS:	ywjd
        INDEX:	P24W25
      OFFSETS:	120-124
       TOKENS:	P24W32-P24W32
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wajad-i_1]
   UNSPLITVOC:	(yuwjada)
          POS:	IV3MS+IV_PASS+IVSUFF_MOOD:S
          VOC:	yu+wjad+a
        GLOSS:	he/it+be found/exist+[sub.]

 INPUT STRING:	تبرير
     IS_TRANS:	tbryr
        INDEX:	P24W26
      OFFSETS:	125-130
       TOKENS:	P24W33-P24W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taboriyr_1]
   UNSPLITVOC:	(taboriyr)
          POS:	NOUN
          VOC:	taboriyr
        GLOSS:	justification/pretext

 INPUT STRING:	للكذب
     IS_TRANS:	llk*b
        INDEX:	P24W27
      OFFSETS:	131-136
       TOKENS:	P24W34-P24W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ki*ob_1]
   UNSPLITVOC:	(lilki*ob)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+ki*ob
        GLOSS:	to/for+the+lying/falsehood

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P24W28
      OFFSETS:	136-137
       TOKENS:	P24W36-P24W36
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	هناك
     IS_TRANS:	hnAk
        INDEX:	P25W1
      OFFSETS:	0-4
       TOKENS:	P25W1-P25W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinAk_1]
   UNSPLITVOC:	(hinAk)
          POS:	ADV
          VOC:	hinAk
        GLOSS:	there

 INPUT STRING:	تبرير
     IS_TRANS:	tbryr
        INDEX:	P25W2
      OFFSETS:	5-10
       TOKENS:	P25W2-P25W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taboriyr_1]
   UNSPLITVOC:	(taboriyr)
          POS:	NOUN
          VOC:	taboriyr
        GLOSS:	justification/pretext

 INPUT STRING:	لكل
     IS_TRANS:	lkl
        INDEX:	P25W3
      OFFSETS:	11-14
       TOKENS:	P25W3-P25W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(likul~)
          POS:	PREP+NOUN_QUANT
          VOC:	li+kul~
        GLOSS:	for/to+all, entire, every, whole

 INPUT STRING:	شىء
     IS_TRANS:	$Y'
        INDEX:	P25W4
      OFFSETS:	15-18
       TOKENS:	P25W5-P25W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$iy'_1]
   UNSPLITVOC:	($iy')
          POS:	NOUN
          VOC:	$iy'
        GLOSS:	something/thing

 INPUT STRING:	حتى
     IS_TRANS:	HtY
        INDEX:	P25W5
      OFFSETS:	19-22
       TOKENS:	P25W6-P25W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	PART
          VOC:	Hat~aY
        GLOSS:	even/including

 INPUT STRING:	الكذب
     IS_TRANS:	Alk*b
        INDEX:	P25W6
      OFFSETS:	23-28
       TOKENS:	P25W7-P25W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ki*ob_1]
   UNSPLITVOC:	(Alki*ob)
          POS:	DET+NOUN
          VOC:	Al+ki*ob
        GLOSS:	the+lying/falsehood

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P25W7
      OFFSETS:	28-29
       TOKENS:	P25W8-P25W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	فقد
     IS_TRANS:	fqd
        INDEX:	P25W8
      OFFSETS:	30-33
       TOKENS:	P25W9-P25W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qado_1]
   UNSPLITVOC:	(faqado)
          POS:	CONJ+VERB_PART
          VOC:	fa+qado
        GLOSS:	so/and+may, might, perhaps, maybe, possibly, probably

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P25W9
      OFFSETS:	34-38
       TOKENS:	P25W11-P25W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yikuwn)
          POS:	IV3MS+IV
          VOC:	yi+kuwn
        GLOSS:	he/it+be

 INPUT STRING:	الكذب
     IS_TRANS:	Alk*b
        INDEX:	P25W10
      OFFSETS:	39-44
       TOKENS:	P25W12-P25W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ki*ob_1]
   UNSPLITVOC:	(Alki*ob)
          POS:	DET+NOUN
          VOC:	Al+ki*ob
        GLOSS:	the+lying/falsehood

 INPUT STRING:	افضل
     IS_TRANS:	AfDl
        INDEX:	P25W11
      OFFSETS:	45-49
       TOKENS:	P25W13-P25W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>afoDal_1]
   UNSPLITVOC:	(>afoDal)
          POS:	ADJ_COMP
          VOC:	>afoDal
        GLOSS:	better/best

 INPUT STRING:	لك
     IS_TRANS:	lk
        INDEX:	P25W12
      OFFSETS:	50-52
       TOKENS:	P25W14-P25W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lak)
          POS:	PREP+PRON_2MS
          VOC:	li+ak
        GLOSS:	for/to+you [masc.sg.]

 INPUT STRING:	عندما
     IS_TRANS:	EndmA
        INDEX:	P25W13
      OFFSETS:	53-58
