 INPUT STRING:	وبدات

 INPUT STRING:	فقط
     IS_TRANS:	fqT
        INDEX:	P29W3
      OFFSETS:	13-16
       TOKENS:	P29W4-P29W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faqaT_1]
   UNSPLITVOC:	(faqaT)
          POS:	NOUN
          VOC:	faqaT
        GLOSS:	only

 INPUT STRING:	فقط
     IS_TRANS:	fqT
        INDEX:	P29W4
      OFFSETS:	17-20
       TOKENS:	P29W5-P29W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faqaT_1]
   UNSPLITVOC:	(faqaT)
          POS:	NOUN
          VOC:	faqaT
        GLOSS:	only

 INPUT STRING:	منورين
     IS_TRANS:	mnwryn
        INDEX:	P30W1
      OFFSETS:	0-6
       TOKENS:	P30W1-P30W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[manowar_1]
   UNSPLITVOC:	(manowariyn)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	manowar+iyn
        GLOSS:	shining+[pl.]

 INPUT STRING:	ياقمرات
     IS_TRANS:	yAqmrAt
        INDEX:	P30W2
      OFFSETS:	7-14
       TOKENS:	P30W2-P30W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qamar_1]
   UNSPLITVOC:	(yAqamarAt)
          POS:	VOC_PART+NOUN+NSUFF_FEM_PL
          VOC:	yA+qamar+At
        GLOSS:	oh+moonlight+[fem.pl.]

 INPUT STRING:	زيزى
     IS_TRANS:	zyzY
        INDEX:	P31W1
      OFFSETS:	0-4
       TOKENS:	P31W1-P31W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ziyziy_1]
   UNSPLITVOC:	(ziyziy)
          POS:	NOUN_PROP
          VOC:	ziyziy
        GLOSS:	zizi

 INPUT STRING:	وحشانى
     IS_TRANS:	wH$AnY
        INDEX:	P31W2
      OFFSETS:	5-11
       TOKENS:	P31W2-P31W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wAHi$_1]
   UNSPLITVOC:	(waH$apniy)
          POS:	ADJ+NSUFF_FEM_SG+PRON_1S
          VOC:	waH$+ap+niy
        GLOSS:	missing+[fem.sg.]+me

 INPUT STRING:	اوى
     IS_TRANS:	AwY
        INDEX:	P31W3
      OFFSETS:	12-15
       TOKENS:	P31W4-P31W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(>awiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	very much/strong

 INPUT STRING:	ياجميله
     IS_TRANS:	yAjmylh
        INDEX:	P31W4
      OFFSETS:	16-23
       TOKENS:	P31W5-P31W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jamiyl_1]
   UNSPLITVOC:	(yAjamiylap)
          POS:	VOC_PART+ADJ+NSUFF_FEM_SG
          VOC:	yaA+jamiyl+ap
        GLOSS:	oh+beautiful/nice/fine+[fem.sg.]

 INPUT STRING:	انتى
     IS_TRANS:	AntY
        INDEX:	P31W5
      OFFSETS:	24-28
       TOKENS:	P31W7-P31W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you

 INPUT STRING:	فين
     IS_TRANS:	fyn
        INDEX:	P31W6
      OFFSETS:	29-32
       TOKENS:	P31W8-P31W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fayon_1]
   UNSPLITVOC:	(fayon)
          POS:	INTERROG_ADV
          VOC:	fayon
        GLOSS:	where

 INPUT STRING:	وقام
     IS_TRANS:	wqAm
        INDEX:	P32W1
      OFFSETS:	0-4
       TOKENS:	P32W1-P32W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAm_1]
   UNSPLITVOC:	(wiqAm)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+qAm+(null)
        GLOSS:	and+be based (on)+he/it

 INPUT STRING:	عدد
     IS_TRANS:	Edd
        INDEX:	P32W2
      OFFSETS:	5-8
       TOKENS:	P32W3-P32W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eadad_1]
   UNSPLITVOC:	(Eadad)
          POS:	NOUN
          VOC:	Eadad
        GLOSS:	number/quantity/issue/numbers/issues

 INPUT STRING:	كبير
     IS_TRANS:	kbyr
        INDEX:	P32W3
      OFFSETS:	9-13
       TOKENS:	P32W4-P32W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kabiyr_1]
   UNSPLITVOC:	(kabiyr)
          POS:	ADJ
          VOC:	kabiyr
        GLOSS:	large/great/important/major/senior/senior/important

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P32W4
      OFFSETS:	14-16
       TOKENS:	P32W5-P32W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الموظفين
     IS_TRANS:	AlmwZfyn
        INDEX:	P32W5
      OFFSETS:	17-25
       TOKENS:	P32W6-P32W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muwaZ~af_1]
   UNSPLITVOC:	(AlmuwaZ~afiyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+muwaZ~af+iyn
        GLOSS:	the+employee+[masc.pl.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P32W6
      OFFSETS:	26-28
       TOKENS:	P32W7-P32W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	المستشفي
     IS_TRANS:	Almst$fy
        INDEX:	P32W7
      OFFSETS:	29-37
       TOKENS:	P32W8-P32W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musota$ofaY_1]
   UNSPLITVOC:	(Almusota$ofaY)
          POS:	DET+NOUN
          VOC:	Al+musota$ofaY
        GLOSS:	the+hospital

 INPUT STRING:	بمنع
     IS_TRANS:	bmnE
        INDEX:	P32W8
      OFFSETS:	38-42
       TOKENS:	P32W9-P32W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manoE_1]
   UNSPLITVOC:	(bimanoE)
          POS:	PREP+NOUN
          VOC:	bi+manoE
        GLOSS:	with/by+prevention/interdiction

 INPUT STRING:	وصول
     IS_TRANS:	wSwl
        INDEX:	P32W9
      OFFSETS:	43-47
       TOKENS:	P32W11-P32W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wuSuwl_1]
   UNSPLITVOC:	(wuSuwl)
          POS:	NOUN
          VOC:	wuSuwl
        GLOSS:	arriving/achieving

 INPUT STRING:	الأغذية
     IS_TRANS:	Al>g*yp
        INDEX:	P32W10
      OFFSETS:	48-55
       TOKENS:	P32W12-P32W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gi*A'_1]
   UNSPLITVOC:	(Al>ago*iyap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+>ago*iy+ap
        GLOSS:	the+food/provisions+[fem.sg.]

 INPUT STRING:	للمعتصمين
     IS_TRANS:	llmEtSmyn
        INDEX:	P32W11
      OFFSETS:	56-65
       TOKENS:	P32W13-P32W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEotaSim_1]
   UNSPLITVOC:	(lilmuEotaSimiyn)
          POS:	PREP+DET+NOUN+NSUFF_MASC_PL
          VOC:	li+Al+muEotaSim+iyn
        GLOSS:	to/for+the+seeking refuge/resorting to+[masc.pl.]

 INPUT STRING:	المتواجدين
     IS_TRANS:	AlmtwAjdyn
        INDEX:	P32W12
      OFFSETS:	66-76
       TOKENS:	P32W15-P32W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mutawAjid_1]
   UNSPLITVOC:	(AlmutawAjidiyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+mutawAjid+iyn
        GLOSS:	the+present/available+[masc.pl.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P32W13
      OFFSETS:	77-79
       TOKENS:	P32W16-P32W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	التحرير
     IS_TRANS:	AltHryr
        INDEX:	P32W14
      OFFSETS:	80-87
       TOKENS:	P32W17-P32W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoriyr_1]
   UNSPLITVOC:	(Alt~aHoriyr)
          POS:	DET+NOUN_PROP
          VOC:	Al+taHoriyr
        GLOSS:	the+tahrir

 INPUT STRING:	واللي
     IS_TRANS:	wAlly
        INDEX:	P33W1
      OFFSETS:	0-5
       TOKENS:	P33W1-P33W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~iy_1]
   UNSPLITVOC:	(waAll~iy)
          POS:	CONJ+REL_PRON
          VOC:	wa+All~iy
        GLOSS:	and+whose/which/who

 INPUT STRING:	بيؤكد
     IS_TRANS:	by&kd
        INDEX:	P33W2
      OFFSETS:	6-11
       TOKENS:	P33W3-P33W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ak~id_1]
   UNSPLITVOC:	(biyi&ak~id)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+&ak~id
        GLOSS:	[present-tense]+he/it+affirm/assure/confirm/guarantee

 INPUT STRING:	الكلام
     IS_TRANS:	AlklAm
        INDEX:	P33W3
      OFFSETS:	12-18
       TOKENS:	P33W5-P33W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(AlkalAm)
          POS:	DET+NOUN
          VOC:	Al+kalAm
        GLOSS:	the+speech/statement/remark/talk/saying

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P33W4
      OFFSETS:	19-21
       TOKENS:	P33W6-P33W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	المذكرة
     IS_TRANS:	Alm*krp
        INDEX:	P33W5
      OFFSETS:	22-29
       TOKENS:	P33W7-P33W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu*ak~irap_1]
   UNSPLITVOC:	(Almu*ak~irap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+mu*ak~ir+ap
        GLOSS:	the+reminder/memorandum+[fem.sg.]

 INPUT STRING:	رقم
     IS_TRANS:	rqm
        INDEX:	P33W6
      OFFSETS:	30-33
       TOKENS:	P33W8-P33W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raqam_1]
   UNSPLITVOC:	(raqam)
          POS:	NOUN
          VOC:	raqam
        GLOSS:	number/numeral/record/numbers/numerals

 INPUT STRING:	86
     IS_TRANS:	86
        INDEX:	P33W7
      OFFSETS:	34-36
       TOKENS:	P33W9-P33W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[86_1]
   UNSPLITVOC:	(86)
          POS:	NOUN_NUM
          VOC:	86
        GLOSS:	86

 INPUT STRING:	لسنة
     IS_TRANS:	lsnp
        INDEX:	P33W8
      OFFSETS:	37-41
       TOKENS:	P33W10-P33W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(lisanap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+san+ap
        GLOSS:	for/to+year/years+[fem.sg.]

 INPUT STRING:	2011
     IS_TRANS:	2011
        INDEX:	P33W9
      OFFSETS:	42-46
       TOKENS:	P33W12-P33W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[2011]
   UNSPLITVOC:	(2011)
          POS:	NOUN_NUM
          VOC:	2011
        GLOSS:	2011

 INPUT STRING:	واللي
     IS_TRANS:	wAlly
        INDEX:	P33W10
      OFFSETS:	47-52
       TOKENS:	P33W13-P33W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~iy_1]
   UNSPLITVOC:	(waAll~iy)
          POS:	CONJ+REL_PRON
          VOC:	wa+All~iy
        GLOSS:	and+whose/which/who

 INPUT STRING:	قامت
     IS_TRANS:	qAmt
        INDEX:	P33W11
      OFFSETS:	53-57
       TOKENS:	P33W15-P33W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAm_1]
   UNSPLITVOC:	(qAmit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	qAm+it
        GLOSS:	be based (on)+it/they/she

 INPUT STRING:	بتحريرها
     IS_TRANS:	btHryrhA
        INDEX:	P33W12
      OFFSETS:	58-66
       TOKENS:	P33W16-P33W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoriyr_1]
   UNSPLITVOC:	(bitaHoriyrhA)
          POS:	PREP+NOUN+POSS_PRON_3FS
          VOC:	bi+taHoriyr+hA
        GLOSS:	with/by+liberation/liberating+its/their/her

 INPUT STRING:	الدكتورة
     IS_TRANS:	Aldktwrp
        INDEX:	P33W13
      OFFSETS:	67-75
       TOKENS:	P33W19-P33W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dukotuwr_1]
   UNSPLITVOC:	(Ald~ukotuwrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+dukotuwr+ap
        GLOSS:	the+doctor/Doctor/Dr.+[fem.sg.]

 INPUT STRING:	لميس
     IS_TRANS:	lmys
        INDEX:	P33W14
      OFFSETS:	76-80
       TOKENS:	P33W20-P33W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lamiys_1]
   UNSPLITVOC:	(lamiys)
          POS:	NOUN_PROP
          VOC:	lamiys
        GLOSS:	lamis

 INPUT STRING:	رجب
     IS_TRANS:	rjb
        INDEX:	P33W15
      OFFSETS:	81-84
       TOKENS:	P33W21-P33W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rajab_1]
   UNSPLITVOC:	(rajab)
          POS:	NOUN_PROP
          VOC:	rajab
        GLOSS:	Rajab

 INPUT STRING:	عميدة
     IS_TRANS:	Emydp
        INDEX:	P33W16
      OFFSETS:	85-90
       TOKENS:	P33W22-P33W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eamiydap_1]
   UNSPLITVOC:	(Eamiydap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Eamiyd+ap
        GLOSS:	dean/chief+[fem.sg.]

 INPUT STRING:	كلية
     IS_TRANS:	klyp
        INDEX:	P33W17
      OFFSETS:	91-95
       TOKENS:	P33W23-P33W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~iy~ap_1]
   UNSPLITVOC:	(kul~iy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	kul~iy~+ap
        GLOSS:	faculty/college/institute+[fem.sg.]

 INPUT STRING:	الطب
     IS_TRANS:	AlTb
        INDEX:	P33W18
      OFFSETS:	96-100
       TOKENS:	P33W24-P33W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tib~_1]
   UNSPLITVOC:	(AlT~ib~)
          POS:	DET+NOUN
          VOC:	Al+Tib~
        GLOSS:	the+medicine/medical treatment

 INPUT STRING:	السابقة
     IS_TRANS:	AlsAbqp
        INDEX:	P33W19
      OFFSETS:	101-108
       TOKENS:	P33W25-P33W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sAbiq_1]
   UNSPLITVOC:	(AlsAbiqap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+sAbiq+ap
        GLOSS:	the+former/previous/preceding+[fem.sg.]

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P34W1
      OFFSETS:	0-3
       TOKENS:	P34W1-P34W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	ADJ
          VOC:	Tay~ib
        GLOSS:	good/pleasant

 INPUT STRING:	ماله
     IS_TRANS:	mAlh
        INDEX:	P34W2
      OFFSETS:	4-8
       TOKENS:	P34W2-P34W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAl_1]
   UNSPLITVOC:	(mAluh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	mAl+uh
        GLOSS:	what his+his/its

 INPUT STRING:	الراجل
     IS_TRANS:	AlrAjl
        INDEX:	P34W3
      OFFSETS:	9-15
       TOKENS:	P34W4-P34W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAjil_1]
   UNSPLITVOC:	(Alr~Ajil)
          POS:	DET+NOUN
          VOC:	Al+rAjil
        GLOSS:	the+man

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P34W4
      OFFSETS:	16-18
       TOKENS:	P34W5-P34W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	بقي
     IS_TRANS:	bqy
        INDEX:	P34W5
      OFFSETS:	19-22
       TOKENS:	P34W6-P34W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	so/then

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P34W6
      OFFSETS:	22-23
       TOKENS:	P34W7-P34W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P34W7
      OFFSETS:	23-24
       TOKENS:	P34W8-P34W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P34W8
      OFFSETS:	24-25
       TOKENS:	P34W9-P34W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P34W9
      OFFSETS:	25-26
       TOKENS:	P34W10-P34W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P34W10
      OFFSETS:	26-27
       TOKENS:	P34W11-P34W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P34W11
      OFFSETS:	27-28
       TOKENS:	P34W12-P34W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P34W12
      OFFSETS:	28-29
       TOKENS:	P34W13-P34W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P34W13
      OFFSETS:	29-30
       TOKENS:	P34W14-P34W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	البأف
     IS_TRANS:	Alb>f
        INDEX:	P35W1
      OFFSETS:	0-5
       TOKENS:	P35W1-P35W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ba>of_1]
   UNSPLITVOC:	(Alba>of)
          POS:	DET+NOUN
          VOC:	Al+ba>of
        GLOSS:	the+donkey

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P35W2
      OFFSETS:	6-8
       TOKENS:	P35W2-P35W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	إتعين
     IS_TRANS:	<tEyn
        INDEX:	P35W3
      OFFSETS:	9-14
       TOKENS:	P35W3-P35W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eay~in_1]
   UNSPLITVOC:	(AitoEay~in)
          POS:	PV_PASS+PVSUFF_SUBJ:3MS
          VOC:	AitoEay~in+(null)
        GLOSS:	be appointed+he/it

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P35W4
      OFFSETS:	15-17
       TOKENS:	P35W4-P35W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	حكومة
     IS_TRANS:	Hkwmp
        INDEX:	P35W5
      OFFSETS:	18-23
       TOKENS:	P35W5-P35W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukuwmap_1]
   UNSPLITVOC:	(Hukuwmap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Hukuwm+ap
        GLOSS:	government/administration/governments/administrations+[fem.sg.]

 INPUT STRING:	الدكتور
     IS_TRANS:	Aldktwr
        INDEX:	P35W6
      OFFSETS:	24-31
       TOKENS:	P35W6-P35W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dukotawr_1]
   UNSPLITVOC:	(Ald~ukotawr)
          POS:	DET+NOUN
          VOC:	Al+dukotawr
        GLOSS:	the+doctor/Doctor/Dr.

 INPUT STRING:	جنزر
     IS_TRANS:	jnzr
        INDEX:	P35W7
      OFFSETS:	32-36
       TOKENS:	P35W7-P35W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[janozar_1]
   UNSPLITVOC:	(janozar)
          POS:	NOUN_PROP
          VOC:	janozar
        GLOSS:	ganzory

 INPUT STRING:	كأمين
     IS_TRANS:	k>myn
        INDEX:	P35W8
      OFFSETS:	38-43
       TOKENS:	P35W8-P35W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amiyn_3]
   UNSPLITVOC:	(ka>amiyn)
          POS:	PREP+NOUN
          VOC:	ka+>amiyn
        GLOSS:	like/such as+secretary

 INPUT STRING:	عام
     IS_TRANS:	EAm
        INDEX:	P35W9
      OFFSETS:	44-47
       TOKENS:	P35W10-P35W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
