 INPUT STRING:	الان
 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P16W8
      OFFSETS:	18-19
       TOKENS:	P16W9-P16W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	ممتاز
     IS_TRANS:	mmtAz
        INDEX:	P17W1
      OFFSETS:	0-5
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumotAz_1]
   UNSPLITVOC:	(mumotAz)
          POS:	ADJ
          VOC:	mumotAz
        GLOSS:	excellent/superior/first-rate

 INPUT STRING:	يابوسى
     IS_TRANS:	yAbwsY
        INDEX:	P17W2
      OFFSETS:	6-12
       TOKENS:	P17W2-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[buwsiy_1]
   UNSPLITVOC:	(yA_buwsiy)
          POS:	VOC_PART+NOUN_PROP
          VOC:	yA+buwsiy
        GLOSS:	oh+posy

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P18W1
      OFFSETS:	0-5
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P18W2
      OFFSETS:	6-10
       TOKENS:	P18W2-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	زعلانة
     IS_TRANS:	zElAnp
        INDEX:	P18W3
      OFFSETS:	11-17
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zaEolAn_1]
   UNSPLITVOC:	(zaEolAnap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	zaEolAn+ap
        GLOSS:	angry/annoyed+[fem.sg.]

 INPUT STRING:	اوى
     IS_TRANS:	AwY
        INDEX:	P18W4
      OFFSETS:	18-21
       TOKENS:	P18W4-P18W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(>awiy)
          POS:	ADJ
          VOC:	qawiy
        GLOSS:	strongly/so much

 INPUT STRING:	وقيمت
     IS_TRANS:	wqymt
        INDEX:	P18W5
      OFFSETS:	22-27
       TOKENS:	P18W5-P18W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qay~im_1]
   UNSPLITVOC:	(waqay~imt)
          POS:	CONJ+PV+PVSUFF_SUBJ:1S
          VOC:	wa+qay~im+t
        GLOSS:	and+evaluate/assess/rate+I [verb]

 INPUT STRING:	سئ
     IS_TRANS:	s}
        INDEX:	P18W6
      OFFSETS:	28-30
       TOKENS:	P18W7-P18W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[say}_1]
   UNSPLITVOC:	(say})
          POS:	ADJ
          VOC:	say}
        GLOSS:	bad

 INPUT STRING:	شويه
     IS_TRANS:	$wyh
        INDEX:	P19W1
      OFFSETS:	0-4
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$uway~ap_1]
   UNSPLITVOC:	($uway~ap)
          POS:	NOUN_QUANT+NSUFF_FEM_SG
          VOC:	$uway~+ap
        GLOSS:	a little bit+[fem.sg.]

 INPUT STRING:	واوريكو
     IS_TRANS:	wAwrykw
        INDEX:	P19W2
      OFFSETS:	5-12
       TOKENS:	P19W2-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[war~aY_1]
   UNSPLITVOC:	(wiAawar~iykuw)
          POS:	CONJ+IV1S+IV+IVSUFF_DO:2P
          VOC:	wi+Aa+war~iy+kuw
        GLOSS:	and+I+see+you

 INPUT STRING:	حقيقه
     IS_TRANS:	Hqyqh
        INDEX:	P19W3
      OFFSETS:	13-18
       TOKENS:	P19W5-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haqiyqap_1]
   UNSPLITVOC:	(Haqiyqap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Haqiyq+ap
        GLOSS:	truth/reality/truth/facts+[fem.sg.]

 INPUT STRING:	توفيق
     IS_TRANS:	twfyq
        INDEX:	P19W4
      OFFSETS:	19-24
       TOKENS:	P19W6-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawfiyq_1]
   UNSPLITVOC:	(tawfiyq)
          POS:	NOUN_PROP
          VOC:	tawfiyq
        GLOSS:	Tawfiq

 INPUT STRING:	عكاشة
     IS_TRANS:	EkA$p
        INDEX:	P19W5
      OFFSETS:	25-30
       TOKENS:	P19W7-P19W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EukA$ap_1]
   UNSPLITVOC:	(EukA$ap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	EukA$+ap
        GLOSS:	Aukasha+[fem.sg.]

 INPUT STRING:	ومستنداته
     IS_TRANS:	wmstndAth
        INDEX:	P19W6
      OFFSETS:	31-40
       TOKENS:	P19W8-P19W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musotanad_1]
   UNSPLITVOC:	(wimusotanadAtuh)
          POS:	CONJ+NOUN+NSUFF_FEM_PL+POSS_PRON_3MS
          VOC:	wi+musotanad+At+uh
        GLOSS:	and+deeds/vouchers/receipts+[fem.pl.]+his/its

 INPUT STRING:	وكله
     IS_TRANS:	wklh
        INDEX:	P20W1
      OFFSETS:	0-4
       TOKENS:	P20W1-P20W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(wikul~uh)
          POS:	CONJ+NOUN_QUANT+POSS_PRON_3MS
          VOC:	wi+kul~+uh
        GLOSS:	and+all+his/its

 INPUT STRING:	بالمستندات
     IS_TRANS:	bAlmstndAt
        INDEX:	P20W2
      OFFSETS:	5-15
       TOKENS:	P20W4-P20W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musotanad_1]
   UNSPLITVOC:	(biAlmusotanadAt)
          POS:	PREP+DET+NOUN+NSUFF_FEM_PL
          VOC:	bi+Al+musotanad+At
        GLOSS:	with/by+the+deeds/vouchers/receipts+[fem.pl.]

 INPUT STRING:	والصور
     IS_TRANS:	wAlSwr
        INDEX:	P20W3
      OFFSETS:	16-22
       TOKENS:	P20W6-P20W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(wiAlSuwar)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+Suwar
        GLOSS:	and+the+picture/image/illustration/photo/pictures/photographs/illustrations/photos

 INPUT STRING:	هههههه
     IS_TRANS:	hhhhhh
        INDEX:	P20W4
      OFFSETS:	23-29
       TOKENS:	P20W8-P20W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hah_1]
   UNSPLITVOC:	(hah)
          POS:	INTERJ
          VOC:	hah
        GLOSS:	happiness

 INPUT STRING:	وعوكشة
     IS_TRANS:	wEwk$p
        INDEX:	P21W1
      OFFSETS:	0-6
       TOKENS:	P21W1-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Euwka$ap_1]
   UNSPLITVOC:	(wiEuwka$ap)
          POS:	CONJ+NOUN_PROP+NSUFF_FEM_SG
          VOC:	wi+Euwka$+ap
        GLOSS:	and+Aukashah+[fem.sg.]

 INPUT STRING:	راح
     IS_TRANS:	rAH
        INDEX:	P21W2
      OFFSETS:	7-10
       TOKENS:	P21W3-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(rAH)
          POS:	FUT_PART
          VOC:	rAH
        GLOSS:	will

 INPUT STRING:	يعمل
     IS_TRANS:	yEml
        INDEX:	P21W3
      OFFSETS:	11-15
       TOKENS:	P21W4-P21W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(yaEomil)
          POS:	IV3MS+IV
          VOC:	ya+Eomil
        GLOSS:	he/it+do/work

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P21W4
      OFFSETS:	16-19
       TOKENS:	P21W5-P21W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>iyoh_1]
   UNSPLITVOC:	(>iyoh)
          POS:	INTERROG_PRON
          VOC:	>iyoh
        GLOSS:	what

 INPUT STRING:	هناك
     IS_TRANS:	hnAk
        INDEX:	P21W5
      OFFSETS:	20-24
       TOKENS:	P21W6-P21W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinAk_1]
   UNSPLITVOC:	(hinAk)
          POS:	ADV
          VOC:	hinAk
        GLOSS:	there

 INPUT STRING:	وايه
     IS_TRANS:	wAyh
        INDEX:	P21W6
      OFFSETS:	25-29
       TOKENS:	P21W7-P21W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(wa>ayoh)
          POS:	CONJ+INTERROG_PRON
          VOC:	wa+>ayoh
        GLOSS:	and+what

 INPUT STRING:	اهميته
     IS_TRANS:	Ahmyth
        INDEX:	P21W7
      OFFSETS:	30-36
       TOKENS:	P21W9-P21W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ahmiy~ap_1]
   UNSPLITVOC:	(>ahmiy~atuh)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	>ahmiy~+ap+uh
        GLOSS:	importance+[fem.sg.]+his/its

 INPUT STRING:	الاستيراتيجية
     IS_TRANS:	AlAstyrAtyjyp
        INDEX:	P21W8
      OFFSETS:	37-50
       TOKENS:	P21W11-P21W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Al<istiyrAtiyjiy~_1]
   UNSPLITVOC:	(Al<istiyrAtiyjiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+<istiyrAtiyjiy~+ap
        GLOSS:	the+strategic+[fem.sg.]

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P21W9
      OFFSETS:	51-56
       TOKENS:	P21W12-P21W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	for+because

 INPUT STRING:	يعملوله
     IS_TRANS:	yEmlwlh
        INDEX:	P21W10
      OFFSETS:	57-64
       TOKENS:	P21W14-P21W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(yiEomiluwA_luh)
          POS:	IV3P+IV+IVSUFF_SUBJ:P+PREP+PRON_3MS
          VOC:	yi+Eomil+uwA+li+uh
        GLOSS:	they+do+we+to/for+him

 INPUT STRING:	زفه
     IS_TRANS:	zfh
        INDEX:	P21W11
      OFFSETS:	65-68
       TOKENS:	P21W17-P21W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zaf~ap_1]
   UNSPLITVOC:	(zaf~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	zaf~+ap
        GLOSS:	procession/once/one time+[fem.sg.]

 INPUT STRING:	الحراسة
     IS_TRANS:	AlHrAsp
        INDEX:	P21W12
      OFFSETS:	69-76
       TOKENS:	P21W18-P21W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HirAsap_1]
   UNSPLITVOC:	(AlHirAsap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+HirAs+ap
        GLOSS:	the+guard/escort/protection+[fem.sg.]

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P21W13
      OFFSETS:	77-79
       TOKENS:	P21W19-P21W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P22W1
      OFFSETS:	0-2
       TOKENS:	P22W1-P22W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	اله
     IS_TRANS:	Alh
        INDEX:	P22W2
      OFFSETS:	3-6
       TOKENS:	P22W2-P22W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ilah_1]
   UNSPLITVOC:	(<ilah)
          POS:	NOUN
          VOC:	<ilah
        GLOSS:	God

 INPUT STRING:	الا
     IS_TRANS:	AlA
        INDEX:	P22W3
      OFFSETS:	7-10
       TOKENS:	P22W3-P22W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	RESTRIC_PART
          VOC:	<il~A
        GLOSS:	only

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P22W4
      OFFSETS:	11-15
       TOKENS:	P22W4-P22W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	طب
     IS_TRANS:	Tb
        INDEX:	P22W5
      OFFSETS:	16-18
       TOKENS:	P22W5-P22W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tab_1]
   UNSPLITVOC:	(Tab)
          POS:	INTERJ
          VOC:	Tab
        GLOSS:	ok

 INPUT STRING:	بيامنوه
     IS_TRANS:	byAmnwh
        INDEX:	P22W6
      OFFSETS:	19-26
       TOKENS:	P22W6-P22W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(byAmnwh)
          POS:	TYPO
          VOC:	byAmnwh
        GLOSS:	nogloss

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P22W7
      OFFSETS:	27-30
       TOKENS:	P22W7-P22W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layoh_1]
   UNSPLITVOC:	(layoh)
          POS:	INTERROG_ADV
          VOC:	layoh
        GLOSS:	why

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P22W8
      OFFSETS:	31-33
       TOKENS:	P22W8-P22W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	neither

 INPUT STRING:	هوه
     IS_TRANS:	hwh
        INDEX:	P22W9
      OFFSETS:	34-37
       TOKENS:	P22W9-P22W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	DEM_PRON_MS
          VOC:	huw~a
        GLOSS:	he

 INPUT STRING:	عضو
     IS_TRANS:	EDw
        INDEX:	P22W10
      OFFSETS:	38-41
       TOKENS:	P22W10-P22W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EuDow_1]
   UNSPLITVOC:	(EuDow)
          POS:	NOUN
          VOC:	EuDow
        GLOSS:	member/members

 INPUT STRING:	مجلس
     IS_TRANS:	mjls
        INDEX:	P22W11
      OFFSETS:	42-46
       TOKENS:	P22W11-P22W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(majolis)
          POS:	NOUN
          VOC:	majolis
        GLOSS:	council/board/Majlis

 INPUT STRING:	شعب
     IS_TRANS:	$Eb
        INDEX:	P22W12
      OFFSETS:	47-50
       TOKENS:	P22W12-P22W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	($aEob)
          POS:	NOUN
          VOC:	$aEob
        GLOSS:	people/nation

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P22W13
      OFFSETS:	51-54
       TOKENS:	P22W13-P22W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+nor

 INPUT STRING:	مرشح
     IS_TRANS:	mr$H
        INDEX:	P22W14
      OFFSETS:	55-59
       TOKENS:	P22W15-P22W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mura$~aH_1]
   UNSPLITVOC:	(mura$~aH)
          POS:	ADJ
          VOC:	mura$~aH
        GLOSS:	candidate/nominee

 INPUT STRING:	رئاسه
     IS_TRANS:	r}Ash
        INDEX:	P22W15
      OFFSETS:	60-65
       TOKENS:	P22W16-P22W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ri}Asap_1]
   UNSPLITVOC:	(ri}Asap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	ri}As+ap
        GLOSS:	presidency/leadership/chairmanship/presidencies/leaderships/chairmanships+[fem.sg.]

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P22W16
      OFFSETS:	66-69
       TOKENS:	P22W17-P22W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P22W17
      OFFSETS:	70-74
       TOKENS:	P22W18-P22W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$An
        GLOSS:	for+because

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P22W18
      OFFSETS:	75-80
       TOKENS:	P22W20-P22W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	رفضاه
     IS_TRANS:	rfDAh
        INDEX:	P22W19
      OFFSETS:	81-86
       TOKENS:	P22W21-P22W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rafaD]
   UNSPLITVOC:	(rafDAh)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3MS
          VOC:	rafDA+(null)+uh
        GLOSS:	refuse/reject+he/it+it/him

 INPUT STRING:	واستكمالا
     IS_TRANS:	wAstkmAlA
        INDEX:	P22W20
      OFFSETS:	87-96
       TOKENS:	P22W23-P22W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AisotikomAl_1]
   UNSPLITVOC:	(waAisotikomAlAF)
          POS:	CONJ+NOUN+CASE_INDEF_ACC
          VOC:	wa+AisotikomAl+AF
        GLOSS:	and+conclusion/termination+[acc.indef.]

 INPUT STRING:	لمضيقه
     IS_TRANS:	lmDyqh
        INDEX:	P22W21
      OFFSETS:	97-103
       TOKENS:	P22W25-P22W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[moDay~qap_1]
   UNSPLITVOC:	(limoDay~qap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+moDay~q+ap
        GLOSS:	for/to+annoying/harassment/discomfort/disturbance+[fem.sg.]

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P22W22
      OFFSETS:	104-109
       TOKENS:	P22W27-P22W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	وخلاص
     IS_TRANS:	wxlAS
        INDEX:	P22W23
      OFFSETS:	110-115
       TOKENS:	P22W28-P22W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalAS_1]
   UNSPLITVOC:	(wixalAS)
          POS:	CONJ+NOUN
          VOC:	wi+xalAS
        GLOSS:	and+deliverance/salvation/settlement

 INPUT STRING:	وبقيت
     IS_TRANS:	wbqyt
        INDEX:	P23W1
      OFFSETS:	0-5
       TOKENS:	P23W1-P23W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqiy~ap_1]
   UNSPLITVOC:	(wibaqiy~it)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+baqiy~+ap
        GLOSS:	and+remainder/remnant/remainders/remnants+[fem.sg.]

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P23W2
      OFFSETS:	6-11
       TOKENS:	P23W3-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/country/countries

 INPUT STRING:	متتامنش
     IS_TRANS:	mttAmn$
        INDEX:	P23W3
      OFFSETS:	12-19
       TOKENS:	P23W4-P23W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aitov~Amin_1]
   UNSPLITVOC:	(mAtiv~Amin$)
          POS:	NEG_PART+IV3FS+IV_PASS+NEG_PART
          VOC:	mA+ti+v~Amin+$
        GLOSS:	not+you+appraise/estimate+not

