 INPUT STRING:	اقصد
       TOKENS:	P21W10-P21W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	يحصل
     IS_TRANS:	yHSl
        INDEX:	P21W9
      OFFSETS:	36-40
       TOKENS:	P21W11-P21W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaSal_1]
   UNSPLITVOC:	(yiHoSal)
          POS:	IV3MS+IV
          VOC:	yi+HoSal
        GLOSS:	he/it+occur/happen/take place

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P21W10
      OFFSETS:	41-43
       TOKENS:	P21W12-P21W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	سيناء
     IS_TRANS:	synA'
        INDEX:	P21W11
      OFFSETS:	44-49
       TOKENS:	P21W13-P21W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siynA'_1]
   UNSPLITVOC:	(siynA')
          POS:	NOUN_PROP
          VOC:	siynA'
        GLOSS:	Sinai

 INPUT STRING:	شغب
     IS_TRANS:	$gb
        INDEX:	P21W12
      OFFSETS:	50-53
       TOKENS:	P21W14-P21W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$agab_1]
   UNSPLITVOC:	($agab)
          POS:	NOUN
          VOC:	$agab
        GLOSS:	unrest/disturbance

 INPUT STRING:	بين
     IS_TRANS:	byn
        INDEX:	P21W13
      OFFSETS:	54-57
       TOKENS:	P21W15-P21W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[biyn_1]
   UNSPLITVOC:	(biyn)
          POS:	NOUN
          VOC:	biyn
        GLOSS:	between/among

 INPUT STRING:	الشرطه
     IS_TRANS:	Al$rTh
        INDEX:	P21W14
      OFFSETS:	58-64
       TOKENS:	P21W16-P21W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uroTap_1]
   UNSPLITVOC:	(Al$~uroTap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+$uroT+ap
        GLOSS:	the+police+[fem.sg.]

 INPUT STRING:	والاهل
     IS_TRANS:	wAlAhl
        INDEX:	P21W15
      OFFSETS:	65-71
       TOKENS:	P21W17-P21W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ahol_1]
   UNSPLITVOC:	(wiAl>ahol)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+>ahol
        GLOSS:	and+the+family/people/people/families/folk/families/indigenous people

 INPUT STRING:	سيناء
     IS_TRANS:	synA'
        INDEX:	P21W16
      OFFSETS:	72-77
       TOKENS:	P21W19-P21W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siynA'_1]
   UNSPLITVOC:	(siynA')
          POS:	NOUN_PROP
          VOC:	siynA'
        GLOSS:	Sinai

 INPUT STRING:	وتنضم
     IS_TRANS:	wtnDm
        INDEX:	P21W17
      OFFSETS:	78-83
       TOKENS:	P21W20-P21W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinoDam~_1]
   UNSPLITVOC:	(witinoDam~)
          POS:	CONJ+IV3FS+IV
          VOC:	wi+ti+noDam~
        GLOSS:	and+it/they/she+join/be affiliated/be added

 INPUT STRING:	السويس
     IS_TRANS:	Alswys
        INDEX:	P21W18
      OFFSETS:	84-90
       TOKENS:	P21W22-P21W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[siwiys_1]
   UNSPLITVOC:	(Alsiwiys)
          POS:	DET+NOUN_PROP
          VOC:	Al+siwiys
        GLOSS:	the+Suez

 INPUT STRING:	وتبقي
     IS_TRANS:	wtbqy
        INDEX:	P21W19
      OFFSETS:	91-96
       TOKENS:	P21W23-P21W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaHY_2]
   UNSPLITVOC:	(witiboqaY)
          POS:	CONJ+IV3FS+IV
          VOC:	wi+ti+boqaY
        GLOSS:	and+it/they/she+become/remain

 INPUT STRING:	عاوزه
     IS_TRANS:	EAwzh
        INDEX:	P21W20
      OFFSETS:	97-102
       TOKENS:	P21W25-P21W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAwiz_1]
   UNSPLITVOC:	(EAwozap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	EAwoz+ap
        GLOSS:	wanting/needing+[fem.sg.]

 INPUT STRING:	تاخد
     IS_TRANS:	tAxd
        INDEX:	P21W21
      OFFSETS:	103-107
       TOKENS:	P21W26-P21W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaxad_1]
   UNSPLITVOC:	(tAxud)
          POS:	IV3FS+IV
          VOC:	t+Axud
        GLOSS:	it/they/she+take

 INPUT STRING:	قناه
     IS_TRANS:	qnAh
        INDEX:	P21W22
      OFFSETS:	108-112
       TOKENS:	P21W27-P21W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qanAp_1]
   UNSPLITVOC:	(qanAp)
          POS:	NOUN
          VOC:	qanAp
        GLOSS:	canal/canals

 INPUT STRING:	السويس
     IS_TRANS:	Alswys
        INDEX:	P21W23
      OFFSETS:	113-119
       TOKENS:	P21W28-P21W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[siwiys_1]
   UNSPLITVOC:	(Alsiwiys)
          POS:	DET+NOUN_PROP
          VOC:	Al+siwiys
        GLOSS:	the+Suez

 INPUT STRING:	لها
     IS_TRANS:	lhA
        INDEX:	P21W24
      OFFSETS:	120-123
       TOKENS:	P21W29-P21W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lahA)
          POS:	PREP+PRON_3FS
          VOC:	li+hA
        GLOSS:	to/for+it/her/them

 INPUT STRING:	والشحن
     IS_TRANS:	wAl$Hn
        INDEX:	P21W25
      OFFSETS:	124-130
       TOKENS:	P21W31-P21W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aHon_1]
   UNSPLITVOC:	(wiAl$aHon)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+$aHon
        GLOSS:	and+the+transportation/shipment/freighting

 INPUT STRING:	يبقي
     IS_TRANS:	ybqy
        INDEX:	P21W26
      OFFSETS:	131-135
       TOKENS:	P21W33-P21W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(yiboqaY)
          POS:	IV3MS+IV
          VOC:	yi+boqaY
        GLOSS:	he/it+become/remain

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P21W27
      OFFSETS:	136-139
       TOKENS:	P21W34-P21W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	3
     IS_TRANS:	3
        INDEX:	P21W28
      OFFSETS:	140-141
       TOKENS:	P21W35-P21W35
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(3)
          POS:	NOUN_NUM
          VOC:	3
        GLOSS:	3

 INPUT STRING:	محافظات
     IS_TRANS:	mHAfZAt
        INDEX:	P21W29
      OFFSETS:	142-149
       TOKENS:	P21W36-P21W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHAfoZap_1]
   UNSPLITVOC:	(muHAfoZAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	muHAfoZ+At
        GLOSS:	province/governorate+[fem.pl.]

 INPUT STRING:	هانه
     IS_TRANS:	hAnh
        INDEX:	P21W30
      OFFSETS:	150-154
       TOKENS:	P21W37-P21W37
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(hAnh)
          POS:	TYPO
          VOC:	hAnh
        GLOSS:	nogloss

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P21W31
      OFFSETS:	155-157
       TOKENS:	P21W38-P21W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P21W32
      OFFSETS:	158-161
       TOKENS:	P21W39-P21W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	السويس
     IS_TRANS:	Alswys
        INDEX:	P21W33
      OFFSETS:	162-168
       TOKENS:	P21W40-P21W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[siwiys_1]
   UNSPLITVOC:	(Alsiwiys)
          POS:	DET+NOUN_PROP
          VOC:	Al+siwiys
        GLOSS:	the+Suez

 INPUT STRING:	وبورسعيد
     IS_TRANS:	wbwrsEyd
        INDEX:	P21W34
      OFFSETS:	169-177
       TOKENS:	P21W41-P21W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[buwrsaEiyd_1]
   UNSPLITVOC:	(wibuwrsaEiyd)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+buwrsaEiyd
        GLOSS:	and+Port Said

 INPUT STRING:	وسيناء
     IS_TRANS:	wsynA'
        INDEX:	P21W35
      OFFSETS:	178-184
       TOKENS:	P21W43-P21W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siynA'_1]
   UNSPLITVOC:	(wisiynA')
          POS:	CONJ+NOUN_PROP
          VOC:	wi+siynA'
        GLOSS:	and+Sinai

 INPUT STRING:	والخطوه
     IS_TRANS:	wAlxTwh
        INDEX:	P21W36
      OFFSETS:	185-192
       TOKENS:	P21W45-P21W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaTowap_1]
   UNSPLITVOC:	(wiAlxaTowap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+xaTow+ap
        GLOSS:	and+the+step/stride/steps/strides+[fem.sg.]

 INPUT STRING:	الجايه
     IS_TRANS:	AljAyh
        INDEX:	P21W37
      OFFSETS:	193-199
       TOKENS:	P21W47-P21W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAy~_1]
   UNSPLITVOC:	(AljAy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+jAy~+ap
        GLOSS:	the+next/following/future+[fem.sg.]

 INPUT STRING:	بخمن
     IS_TRANS:	bxmn
        INDEX:	P21W38
      OFFSETS:	200-204
       TOKENS:	P21W48-P21W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xam~in_1]
   UNSPLITVOC:	(bAaxam~in)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+xam~in
        GLOSS:	[present-tense]+I+guess

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P21W39
      OFFSETS:	205-208
       TOKENS:	P21W50-P21W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this

 INPUT STRING:	ماما
     IS_TRANS:	mAmA
        INDEX:	P21W40
      OFFSETS:	209-213
       TOKENS:	P21W51-P21W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAmA_1]
   UNSPLITVOC:	(mAmA)
          POS:	NOUN
          VOC:	mAmA
        GLOSS:	Mama

 INPUT STRING:	امريكا
     IS_TRANS:	AmrykA
        INDEX:	P21W41
      OFFSETS:	214-220
       TOKENS:	P21W52-P21W52
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AamoriykA_1]
   UNSPLITVOC:	(AmoriykA)
          POS:	NOUN_PROP
          VOC:	AmoriykA
        GLOSS:	America

 INPUT STRING:	تقولنا
     IS_TRANS:	tqwlnA
        INDEX:	P21W42
      OFFSETS:	221-227
       TOKENS:	P21W53-P21W55
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(tiquwl~inA)
          POS:	IV3FS+IV+PREP+PRON_1P
          VOC:	ti+quwl+li+nA
        GLOSS:	it/they/she+say/said+to/for+us

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P21W43
      OFFSETS:	228-232
       TOKENS:	P21W56-P21W56
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	هندخل
     IS_TRANS:	hndxl
        INDEX:	P21W44
      OFFSETS:	233-238
       TOKENS:	P21W57-P21W58
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daxal_1]
   UNSPLITVOC:	(Hanidoxul)
          POS:	FUT_PART+IV1P+IV
          VOC:	Ha+ni+doxul
        GLOSS:	will+we+enter/be entered

 INPUT STRING:	نحميهم
     IS_TRANS:	nHmyhm
        INDEX:	P21W45
      OFFSETS:	239-245
       TOKENS:	P21W59-P21W60
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HamaY_1]
   UNSPLITVOC:	(niHomiyhum)
          POS:	IV1P+IV+IVSUFF_DO:3P
          VOC:	ni+Homiy+hum
        GLOSS:	we+defend/protect/forbid/be defended/be protected/be forbidden+them

 INPUT STRING:	منكم
     IS_TRANS:	mnkm
        INDEX:	P21W46
      OFFSETS:	246-250
       TOKENS:	P21W61-P21W62
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min~ukum)
          POS:	PREP+PRON_2P
          VOC:	min+kum
        GLOSS:	from+you

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P21W47
      OFFSETS:	251-253
       TOKENS:	P21W63-P21W63
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	وحشين
     IS_TRANS:	wH$yn
        INDEX:	P21W48
      OFFSETS:	254-259
       TOKENS:	P21W64-P21W64
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wiHi$_1]
   UNSPLITVOC:	(wiHo$iyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	wiHo$+iyn
        GLOSS:	bad+[pl.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P21W49
      OFFSETS:	259-260
       TOKENS:	P21W65-P21W65
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P21W50
      OFFSETS:	260-261
       TOKENS:	P21W66-P21W66
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P21W51
      OFFSETS:	261-262
       TOKENS:	P21W67-P21W67
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P21W52
      OFFSETS:	262-263
       TOKENS:	P21W68-P21W68
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P21W53
      OFFSETS:	263-264
       TOKENS:	P21W69-P21W69
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P21W54
      OFFSETS:	264-265
       TOKENS:	P21W70-P21W70
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	عفوا
     IS_TRANS:	EfwA
        INDEX:	P22W1
      OFFSETS:	0-4
       TOKENS:	P22W1-P22W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eafow_1]
   UNSPLITVOC:	(EafowAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	Eafow+AF
        GLOSS:	excuse me!+[acc.indef.]

 INPUT STRING:	ايها
     IS_TRANS:	AyhA
        INDEX:	P22W2
      OFFSETS:	5-9
       TOKENS:	P22W2-P22W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ay~uhA_1]
   UNSPLITVOC:	(>ay~uhA)
          POS:	VOC_PART
          VOC:	>ay~uhA
        GLOSS:	O, oh

 INPUT STRING:	الاغبياء
     IS_TRANS:	AlAgbyA'
        INDEX:	P22W3
      OFFSETS:	10-18
       TOKENS:	P22W3-P22W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gabiy_1]
   UNSPLITVOC:	(Al>agobiyA')
          POS:	DET+ADJ
          VOC:	Al+>agobiyA'
        GLOSS:	the+ignorant/stupid

 INPUT STRING:	انتم
     IS_TRANS:	Antm
        INDEX:	P22W4
      OFFSETS:	19-23
       TOKENS:	P22W4-P22W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotum_1]
   UNSPLITVOC:	(Ainotum)
          POS:	PRON_2P
          VOC:	Ainotum
        GLOSS:	you

 INPUT STRING:	لاتعرفون
     IS_TRANS:	lAtErfwn
        INDEX:	P22W5
      OFFSETS:	24-32
       TOKENS:	P22W5-P22W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(lAtaEorifuwn)
          POS:	NEG_PART+IV2P+IV+IVSUFF_SUBJ:P
          VOC:	lA+ta+Eorif+uwn
        GLOSS:	not+you [pl.]+know+[pl.]

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P22W6
      OFFSETS:	33-36
       TOKENS:	P22W7-P22W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	وابناءها
     IS_TRANS:	wAbnA'hA
        INDEX:	P22W7
      OFFSETS:	37-45
       TOKENS:	P22W8-P22W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aibon_1]
   UNSPLITVOC:	(wiAbnA'hA)
          POS:	CONJ+NOUN+POSS_PRON_3FS
          VOC:	wi+AbnA'+hA
        GLOSS:	and+sons/children+its/their/her

 INPUT STRING:	فعلا
     IS_TRANS:	fElA
        INDEX:	P22W8
      OFFSETS:	46-50
       TOKENS:	P22W11-P22W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(fiEolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	fiEol+AF
        GLOSS:	doing/act/action/actually/in effect/acts/actions/deeds/exploits+[acc.indef.]

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P22W9
      OFFSETS:	51-55
       TOKENS:	P22W12-P22W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	ممك
     IS_TRANS:	mmk
        INDEX:	P22W10
      OFFSETS:	56-59
       TOKENS:	P22W13-P22W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(mmk)
          POS:	TYPO
          VOC:	mmk
        GLOSS:	nogloss

 INPUT STRING:	نكون
     IS_TRANS:	nkwn
        INDEX:	P22W11
      OFFSETS:	60-64
       TOKENS:	P22W14-P22W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(nikuwn)
          POS:	IV1P+IV
          VOC:	ni+kuwn
        GLOSS:	we+be

 INPUT STRING:	احيانا
     IS_TRANS:	AHyAnA
        INDEX:	P22W12
      OFFSETS:	65-71
       TOKENS:	P22W15-P22W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AaHoyAn_1]
   UNSPLITVOC:	(AHoyAnAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	AHoyAn+AF
        GLOSS:	sometimes/occasionally+[acc.indef.]

 INPUT STRING:	فوضويين
     IS_TRANS:	fwDwyyn
        INDEX:	P22W13
      OFFSETS:	72-79
       TOKENS:	P22W16-P22W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fawDawiy_1]
   UNSPLITVOC:	(fawDawiy~iyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	fawDawiy~+iyn
        GLOSS:	anarchic/chaotic+[pl.]

 INPUT STRING:	وغير
     IS_TRANS:	wgyr
        INDEX:	P22W14
      OFFSETS:	80-84
       TOKENS:	P22W17-P22W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[giyr_1]
   UNSPLITVOC:	(wigiyr)
          POS:	CONJ+NOUN
          VOC:	wi+giyr
        GLOSS:	and+not/other

 INPUT STRING:	طموحين
     IS_TRANS:	TmwHyn
        INDEX:	P22W15
      OFFSETS:	85-91
       TOKENS:	P22W19-P22W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TamuwH_1]
   UNSPLITVOC:	(TamuwHiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	TamuwH+iyn
        GLOSS:	ambitious/desirous+[pl.]

 INPUT STRING:	وممكن
     IS_TRANS:	wmmkn
        INDEX:	P22W16
      OFFSETS:	92-97
       TOKENS:	P22W20-P22W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(wimumokin)
          POS:	CONJ+ADJ
          VOC:	wi+mumokin
        GLOSS:	and+possible

 INPUT STRING:	نكون
     IS_TRANS:	nkwn
        INDEX:	P22W17
      OFFSETS:	98-102
       TOKENS:	P22W22-P22W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(nikuwn)
          POS:	IV1P+IV
          VOC:	ni+kuwn
        GLOSS:	we+be

 INPUT STRING:	كسولين
     IS_TRANS:	kswlyn
        INDEX:	P22W18
      OFFSETS:	103-109
       TOKENS:	P22W23-P22W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kasuwl_1]
   UNSPLITVOC:	(kasuwliyn)
          POS:	ADJ+NSUFF_MASC_PL
