 INPUT STRING:	سلاموا
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muwsaY_1]
   UNSPLITVOC:	(muwsaY)
          POS:	NOUN_PROP
          VOC:	muwsaY
        GLOSS:	Mousa/Moussa

 INPUT STRING:	حتى
     IS_TRANS:	HtY
        INDEX:	P24W3
      OFFSETS:	11-14
       TOKENS:	P24W4-P24W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	PREP
          VOC:	Hat~aY
        GLOSS:	until/up to

 INPUT STRING:	لحظتنا
     IS_TRANS:	lHZtnA
        INDEX:	P24W4
      OFFSETS:	15-21
       TOKENS:	P24W5-P24W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[laHZap_1]
   UNSPLITVOC:	(laHZatnA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1P
          VOC:	laHZ+at+nA
        GLOSS:	moment/instant+[fem.sg.]+our

 INPUT STRING:	محتجز
     IS_TRANS:	mHtjz
        INDEX:	P24W5
      OFFSETS:	22-27
       TOKENS:	P24W7-P24W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHotajaz_1]
   UNSPLITVOC:	(muHotajaz)
          POS:	ADJ
          VOC:	muHotajaz
        GLOSS:	detained/under arrest/held captive

 INPUT STRING:	جوا
     IS_TRANS:	jwA
        INDEX:	P24W6
      OFFSETS:	28-31
       TOKENS:	P24W8-P24W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[juw~ap_1]
   UNSPLITVOC:	(juw~A)
          POS:	NOUN
          VOC:	juw~A
        GLOSS:	inside of/interior/inside

 INPUT STRING:	نادى
     IS_TRANS:	nAdY
        INDEX:	P24W7
      OFFSETS:	32-36
       TOKENS:	P24W9-P24W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAdiy_1]
   UNSPLITVOC:	(nAdiy)
          POS:	NOUN
          VOC:	nAdiy
        GLOSS:	club/association

 INPUT STRING:	الشرقيه
     IS_TRANS:	Al$rqyh
        INDEX:	P24W8
      OFFSETS:	37-44
       TOKENS:	P24W10-P24W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aroqiy~ap_1]
   UNSPLITVOC:	(Al$~aroqiy~ap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+$aroqiy~+ap
        GLOSS:	the+Sharkia+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P25W1
      OFFSETS:	0-2
       TOKENS:	P25W1-P25W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	ملاحظاتى
     IS_TRANS:	mlAHZAtY
        INDEX:	P25W2
      OFFSETS:	3-11
       TOKENS:	P25W2-P25W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mulAHaZap_2]
   UNSPLITVOC:	(mulAHoZAtiy)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_1S
          VOC:	mulAHoZ+At+iy
        GLOSS:	notes/remarks/observations+[fem.pl.]+my

 INPUT STRING:	للناس
     IS_TRANS:	llnAs
        INDEX:	P25W3
      OFFSETS:	12-17
       TOKENS:	P25W4-P25W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(liln~As)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+nAs
        GLOSS:	for/to+the+people

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P25W4
      OFFSETS:	18-22
       TOKENS:	P25W6-P25W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P25W5
      OFFSETS:	23-27
       TOKENS:	P25W7-P25W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	be+it/they/she

 INPUT STRING:	حاضره
     IS_TRANS:	HADrh
        INDEX:	P25W6
      OFFSETS:	28-33
       TOKENS:	P25W8-P25W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HADir_1]
   UNSPLITVOC:	(HADorap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	HADor+ap
        GLOSS:	present/attending+[fem.sg.]

 INPUT STRING:	خناقه
     IS_TRANS:	xnAqh
        INDEX:	P25W7
      OFFSETS:	34-39
       TOKENS:	P25W9-P25W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xinAqap_1]
   UNSPLITVOC:	(xinAqap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	xinAq+ap
        GLOSS:	quarrel/fight+[fem.sg.]

 INPUT STRING:	عمرو
     IS_TRANS:	Emrw
        INDEX:	P25W8
      OFFSETS:	40-44
       TOKENS:	P25W10-P25W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamorw_1]
   UNSPLITVOC:	(Eamorw)
          POS:	NOUN_PROP
          VOC:	Eamorw
        GLOSS:	Amr

 INPUT STRING:	موسى
     IS_TRANS:	mwsY
        INDEX:	P25W9
      OFFSETS:	45-49
       TOKENS:	P25W11-P25W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muwsaY_1]
   UNSPLITVOC:	(muwsaY)
          POS:	NOUN_PROP
          VOC:	muwsaY
        GLOSS:	Mousa/Moussa

 INPUT STRING:	فينقسموا
     IS_TRANS:	fynqsmwA
        INDEX:	P25W10
      OFFSETS:	50-58
       TOKENS:	P25W12-P25W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainoqasam_1]
   UNSPLITVOC:	(fayinoqisomuwA)
          POS:	CONJ+IV3P+IV_PASS+IVSUFF_SUBJ:P
          VOC:	fa+yi+noqisom+uwA
        GLOSS:	so/then+they (people)+be fragmented/be divided/be distributed+[pl.]

 INPUT STRING:	لتلات
     IS_TRANS:	ltlAt
        INDEX:	P25W11
      OFFSETS:	59-64
       TOKENS:	P25W14-P25W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[valAv_1]
   UNSPLITVOC:	(livalAv)
          POS:	PREP+NOUN_NUM
          VOC:	li+valAv
        GLOSS:	for/to+three

 INPUT STRING:	أنواع
     IS_TRANS:	>nwAE
        INDEX:	P25W12
      OFFSETS:	65-70
       TOKENS:	P25W16-P25W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nuwE_1]
   UNSPLITVOC:	(>anowAE)
          POS:	NOUN
          VOC:	>anowAE
        GLOSS:	type/kind/form

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P25W13
      OFFSETS:	70-71
       TOKENS:	P25W17-P25W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	نوع
     IS_TRANS:	nwE
        INDEX:	P26W1
      OFFSETS:	0-3
       TOKENS:	P26W1-P26W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nawE_1]
   UNSPLITVOC:	(nawE)
          POS:	NOUN
          VOC:	nawE
        GLOSS:	type/kind/form

 INPUT STRING:	كبير
     IS_TRANS:	kbyr
        INDEX:	P26W2
      OFFSETS:	4-8
       TOKENS:	P26W2-P26W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kibiyr_1]
   UNSPLITVOC:	(kibiyr)
          POS:	ADJ
          VOC:	kibiyr
        GLOSS:	large/great/important/major/senior

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P26W3
      OFFSETS:	9-11
       TOKENS:	P26W3-P26W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	السن
     IS_TRANS:	Alsn
        INDEX:	P26W4
      OFFSETS:	12-16
       TOKENS:	P26W4-P26W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sin~_1]
   UNSPLITVOC:	(Als~in~)
          POS:	DET+NOUN
          VOC:	Al+sin~
        GLOSS:	the+age (of a person)

 INPUT STRING:	جدا
     IS_TRANS:	jdA
        INDEX:	P26W5
      OFFSETS:	17-20
       TOKENS:	P26W5-P26W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(jid~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	very/much+[acc.indef.]

 INPUT STRING:	والنوع
     IS_TRANS:	wAlnwE
        INDEX:	P27W1
      OFFSETS:	0-6
       TOKENS:	P27W1-P27W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nawE_1]
   UNSPLITVOC:	(wiAlnawE)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+nawE
        GLOSS:	and+the+type/kind/form

 INPUT STRING:	التأنى
     IS_TRANS:	Alt>nY
        INDEX:	P27W2
      OFFSETS:	7-13
       TOKENS:	P27W3-P27W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[vAniy_1]
   UNSPLITVOC:	(AlvAniy)
          POS:	DET+ADJ_NUM
          VOC:	Al+vAniy
        GLOSS:	the+second/II

 INPUT STRING:	فلول
     IS_TRANS:	flwl
        INDEX:	P27W3
      OFFSETS:	14-18
       TOKENS:	P27W4-P27W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fil~_1]
   UNSPLITVOC:	(fuluwl)
          POS:	NOUN
          VOC:	fuluwl
        GLOSS:	remnants

 INPUT STRING:	جدا
     IS_TRANS:	jdA
        INDEX:	P27W4
      OFFSETS:	19-22
       TOKENS:	P27W5-P27W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(jid~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	very/much+[acc.indef.]

 INPUT STRING:	ومعروفين
     IS_TRANS:	wmErwfyn
        INDEX:	P27W5
      OFFSETS:	23-31
       TOKENS:	P27W6-P27W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEoruwf_1]
   UNSPLITVOC:	(wimaEoruwfiyn)
          POS:	CONJ+ADJ+NSUFF_MASC_PL
          VOC:	wi+maEoruwf+iyn
        GLOSS:	and+known/well-known+[masc.pl.]

 INPUT STRING:	هنا
     IS_TRANS:	hnA
        INDEX:	P27W6
      OFFSETS:	32-35
       TOKENS:	P27W8-P27W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinA_1]
   UNSPLITVOC:	(hinA)
          POS:	ADV
          VOC:	hinA
        GLOSS:	here

 INPUT STRING:	والنوع
     IS_TRANS:	wAlnwE
        INDEX:	P28W1
      OFFSETS:	0-6
       TOKENS:	P28W1-P28W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nawE_1]
   UNSPLITVOC:	(wiAlnawE)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+nawE
        GLOSS:	and+the+type/kind/form

 INPUT STRING:	التالت
     IS_TRANS:	AltAlt
        INDEX:	P28W2
      OFFSETS:	7-13
       TOKENS:	P28W3-P28W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAlit_1]
   UNSPLITVOC:	(Alt~Alit)
          POS:	DET+ADJ
          VOC:	Al+tAlit
        GLOSS:	the+third

 INPUT STRING:	وهم
     IS_TRANS:	whm
        INDEX:	P28W3
      OFFSETS:	14-17
       TOKENS:	P28W4-P28W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(wihum~a)
          POS:	PART+PRON_3P
          VOC:	wi+hum~a
        GLOSS:	[no gloss]+they

 INPUT STRING:	البلطجيه
     IS_TRANS:	AlblTjyh
        INDEX:	P28W4
      OFFSETS:	18-26
       TOKENS:	P28W6-P28W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baloTajiy_1]
   UNSPLITVOC:	(AlbaloTajiy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+baloTajiy~+ap
        GLOSS:	the+gangsters/ruffians+[fem.sg.]

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P28W5
      OFFSETS:	27-31
       TOKENS:	P28W7-P28W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P28W6
      OFFSETS:	32-35
       TOKENS:	P28W8-P28W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it [verb]

 INPUT STRING:	جايبهم
     IS_TRANS:	jAybhm
        INDEX:	P28W7
      OFFSETS:	36-42
       TOKENS:	P28W9-P28W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jAyib_1]
   UNSPLITVOC:	(jAyibhum)
          POS:	ADJ+POSS_PRON_3P
          VOC:	jAyib+hum
        GLOSS:	bringing+their

 INPUT STRING:	معاه
     IS_TRANS:	mEAh
        INDEX:	P28W8
      OFFSETS:	43-47
       TOKENS:	P28W11-P28W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	maEa+uh
        GLOSS:	something with+his/its

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P28W9
      OFFSETS:	48-50
       TOKENS:	P28W13-P28W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الإسماعيليه
     IS_TRANS:	Al<smAEylyh
        INDEX:	P28W10
      OFFSETS:	51-62
       TOKENS:	P28W14-P28W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisomAEiyliy~ap_1]
   UNSPLITVOC:	(AlAisomAEiyliy~ap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+AisomAEiyliy~+ap
        GLOSS:	the+Ismailia+[fem.sg.]

 INPUT STRING:	وأغلبهم
     IS_TRANS:	w>glbhm
        INDEX:	P29W1
      OFFSETS:	0-7
       TOKENS:	P29W1-P29W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[>aglab_1]
   UNSPLITVOC:	(wi>agolabhum)
          POS:	CONJ+NOUN_QUANT+POSS_PRON_3P
          VOC:	wi+>agolab+hum
        GLOSS:	and+most (of), the majority (of), the greater portion of part (of)+their

 INPUT STRING:	صبيه
     IS_TRANS:	Sbyh
        INDEX:	P29W2
      OFFSETS:	8-12
       TOKENS:	P29W4-P29W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sabiy~ap_1]
   UNSPLITVOC:	(Sabiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Sabiy~+ap
        GLOSS:	young boys/youths+[fem.sg.]

 INPUT STRING:	صغار
     IS_TRANS:	SgAr
        INDEX:	P29W3
      OFFSETS:	13-17
       TOKENS:	P29W5-P29W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sugay~ar_1]
   UNSPLITVOC:	(SigAr)
          POS:	ADJ
          VOC:	SigAr
        GLOSS:	small/young

 INPUT STRING:	آلسن
     IS_TRANS:	|lsn
        INDEX:	P29W4
      OFFSETS:	18-22
       TOKENS:	P29W6-P29W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sin~_2]
   UNSPLITVOC:	(Als~in~)
          POS:	DET+NOUN
          VOC:	Al+sin~
        GLOSS:	the+age (of a person)

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P30W1
      OFFSETS:	0-4
       TOKENS:	P30W1-P30W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	اعلم
     IS_TRANS:	AElm
        INDEX:	P30W2
      OFFSETS:	5-9
       TOKENS:	P30W2-P30W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aEolam_1]
   UNSPLITVOC:	(>aEolam)
          POS:	ADJ_COMP
          VOC:	>aEolam
        GLOSS:	more/most knowledgeable

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P31W1
      OFFSETS:	0-2
       TOKENS:	P31W1-P31W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P31W2
      OFFSETS:	3-5
       TOKENS:	P31W2-P31W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	هايعمل
     IS_TRANS:	hAyEml
        INDEX:	P31W3
      OFFSETS:	6-12
       TOKENS:	P31W3-P31W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(HayiEomil)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+Eomil
        GLOSS:	will+he/it+work/function/act

 INPUT STRING:	لية
     IS_TRANS:	lyp
        INDEX:	P31W4
      OFFSETS:	13-16
       TOKENS:	P31W5-P31W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layoh_1]
   UNSPLITVOC:	(layoh)
          POS:	INTERROG_ADV
          VOC:	layoh
        GLOSS:	why

 INPUT STRING:	كدة
     IS_TRANS:	kdp
        INDEX:	P31W5
      OFFSETS:	17-20
       TOKENS:	P31W6-P31W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	like that

 INPUT STRING:	دة
     IS_TRANS:	dp
        INDEX:	P32W1
      OFFSETS:	0-2
       TOKENS:	P32W1-P32W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	هما
     IS_TRANS:	hmA
        INDEX:	P32W2
      OFFSETS:	3-6
       TOKENS:	P32W2-P32W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they

 INPUT STRING:	حاولوا
     IS_TRANS:	HAwlwA
        INDEX:	P32W3
      OFFSETS:	7-13
       TOKENS:	P32W3-P32W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAwil_1]
   UNSPLITVOC:	(HAwoluwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	HAwol+uwA
        GLOSS:	attempt/try+they [verb]

 INPUT STRING:	يعتدوا
     IS_TRANS:	yEtdwA
        INDEX:	P32W4
      OFFSETS:	14-20
       TOKENS:	P32W4-P32W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[AiEotadaY_1]
   UNSPLITVOC:	(yiEotiduwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+Eotid+uwA
        GLOSS:	they (people)+attack/assault/encroach on/infringe upon+[pl.]

 INPUT STRING:	علية
     IS_TRANS:	Elyp
        INDEX:	P32W5
      OFFSETS:	21-25
       TOKENS:	P32W5-P32W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayh)
          POS:	PREP+PRON_3MS
          VOC:	EalaY+uh
        GLOSS:	on/above+him/it

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P32W6
      OFFSETS:	26-28
       TOKENS:	P32W7-P32W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	شخصيا
     IS_TRANS:	$xSyA
        INDEX:	P32W7
      OFFSETS:	29-34
       TOKENS:	P32W8-P32W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$axoSiy~_1]
   UNSPLITVOC:	($axoSiy~AF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	$axoSiy~+AF
        GLOSS:	in person/personally+[acc.indef.]

 INPUT STRING:	عمر
     IS_TRANS:	Emr
        INDEX:	P33W1
      OFFSETS:	0-3
       TOKENS:	P33W1-P33W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eumar_1]
   UNSPLITVOC:	(Eumar)
          POS:	NOUN_PROP
          VOC:	Eumar
        GLOSS:	Omar/Umar

 INPUT STRING:	موسي
     IS_TRANS:	mwsy
        INDEX:	P33W2
      OFFSETS:	4-8
       TOKENS:	P33W2-P33W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muwsaY_1]
   UNSPLITVOC:	(muwsaY)
          POS:	NOUN_PROP
          VOC:	muwsaY
        GLOSS:	Mousa/Moussa

 INPUT STRING:	عامل
     IS_TRANS:	EAml
        INDEX:	P33W3
      OFFSETS:	9-13
       TOKENS:	P33W3-P33W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAmil_1]
   UNSPLITVOC:	(EAmil)
          POS:	ADJ
          VOC:	EAmil
        GLOSS:	active/operating/working

 INPUT STRING:	شو
     IS_TRANS:	$w
        INDEX:	P33W4
      OFFSETS:	14-16
       TOKENS:	P33W4-P33W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$w_1]
   UNSPLITVOC:	($w)
          POS:	FOREIGN
          VOC:	$w
        GLOSS:	show

 INPUT STRING:	لزوم
     IS_TRANS:	lzwm
        INDEX:	P33W5
      OFFSETS:	17-21
       TOKENS:	P33W5-P33W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[luzuwm_1]
   UNSPLITVOC:	(luzuwm)
          POS:	NOUN
          VOC:	luzuwm
        GLOSS:	requirement/necessity/exigency

 INPUT STRING:	الدعايه
     IS_TRANS:	AldEAyh
        INDEX:	P33W6
      OFFSETS:	22-29
       TOKENS:	P33W6-P33W6
