 INPUT STRING:	ستار
      OFFSETS:	21-25
       TOKENS:	P25W7-P25W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(niEomil)
          POS:	IV1P+IV
          VOC:	ni+Eomil
        GLOSS:	we+do/make

 INPUT STRING:	حاجه
     IS_TRANS:	HAjh
        INDEX:	P25W5
      OFFSETS:	26-30
       TOKENS:	P25W8-P25W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P25W6
      OFFSETS:	31-34
       TOKENS:	P25W9-P25W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gayor_1]
   UNSPLITVOC:	(gayor)
          POS:	NOUN
          VOC:	gayor
        GLOSS:	not/other

 INPUT STRING:	اننا
     IS_TRANS:	AnnA
        INDEX:	P25W7
      OFFSETS:	35-39
       TOKENS:	P25W10-P25W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~inA)
          POS:	SUB_CONJ+PRON_1P
          VOC:	<in~+nA
        GLOSS:	that+we

 INPUT STRING:	نبكي
     IS_TRANS:	nbky
        INDEX:	P25W8
      OFFSETS:	40-44
       TOKENS:	P25W12-P25W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bakaY_1]
   UNSPLITVOC:	(nbkY)
          POS:	IV1P+IV
          VOC:	n+bkY
        GLOSS:	we+cry

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P25W9
      OFFSETS:	45-48
       TOKENS:	P25W13-P25W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	حالنا
     IS_TRANS:	HAlnA
        INDEX:	P25W10
      OFFSETS:	49-54
       TOKENS:	P25W14-P25W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAl_1]
   UNSPLITVOC:	(HAlnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	HAl+nA
        GLOSS:	situation/condition/case/situations/conditions/cases+our

 INPUT STRING:	ومش
     IS_TRANS:	wm$
        INDEX:	P26W1
      OFFSETS:	1-4
       TOKENS:	P26W1-P26W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(wami$)
          POS:	CONJ+NEG_PART
          VOC:	wa+mi$
        GLOSS:	and+not

 INPUT STRING:	حنعرف
     IS_TRANS:	HnErf
        INDEX:	P26W2
      OFFSETS:	5-10
       TOKENS:	P26W3-P26W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earaf_1]
   UNSPLITVOC:	(HaniEoraf)
          POS:	FUT_PART+IV1P+IV
          VOC:	Ha+ni+Eoraf
        GLOSS:	will+we+know/be known

 INPUT STRING:	نعمل
     IS_TRANS:	nEml
        INDEX:	P26W3
      OFFSETS:	11-15
       TOKENS:	P26W5-P26W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(niEomil)
          POS:	IV1P+IV
          VOC:	ni+Eomil
        GLOSS:	we+do/make

 INPUT STRING:	حاجه
     IS_TRANS:	HAjh
        INDEX:	P26W4
      OFFSETS:	16-20
       TOKENS:	P26W6-P26W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	خلاص
     IS_TRANS:	xlAS
        INDEX:	P26W5
      OFFSETS:	21-25
       TOKENS:	P26W7-P26W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalAS_1]
   UNSPLITVOC:	(xalAS)
          POS:	NOUN
          VOC:	xalAS
        GLOSS:	deliverance/salvation/settlement/at the end

 INPUT STRING:	استغرب
     IS_TRANS:	Astgrb
        INDEX:	P27W1
      OFFSETS:	8-14
       TOKENS:	P27W1-P27W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisotagorab_1]
   UNSPLITVOC:	(Aasotagorab)
          POS:	IV1S+IV
          VOC:	Aa+sotagorab
        GLOSS:	I+be surprized

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P27W2
      OFFSETS:	15-17
       TOKENS:	P27W2-P27W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P27W3
      OFFSETS:	18-21
       TOKENS:	P27W3-P27W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(>ayoh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	دانا
     IS_TRANS:	dAnA
        INDEX:	P27W4
      OFFSETS:	22-26
       TOKENS:	P27W4-P27W4
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(dAnA)
          POS:	NO_FUNC
          VOC:	dAnA
        GLOSS:	nogloss

 INPUT STRING:	مستغربه
     IS_TRANS:	mstgrbh
        INDEX:	P27W5
      OFFSETS:	27-34
       TOKENS:	P27W5-P27W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misotagorab_1]
   UNSPLITVOC:	(misotagorabap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	misotagorab+ap
        GLOSS:	surprized+[fem.sg.]

 INPUT STRING:	انه
     IS_TRANS:	Anh
        INDEX:	P27W6
      OFFSETS:	35-38
       TOKENS:	P27W6-P27W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+it/he

 INPUT STRING:	معملش
     IS_TRANS:	mEml$
        INDEX:	P27W7
      OFFSETS:	39-44
       TOKENS:	P27W8-P27W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(mA_Eamal$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:3MS+NEG_PART
          VOC:	mA+Eamal+(null)+$
        GLOSS:	not+do/make+he/it+not

 INPUT STRING:	اكتر
     IS_TRANS:	Aktr
        INDEX:	P27W8
      OFFSETS:	45-49
       TOKENS:	P27W11-P27W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akotar_1]
   UNSPLITVOC:	(>akotar)
          POS:	ADJ_COMP
          VOC:	>akotar
        GLOSS:	more/most

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P27W9
      OFFSETS:	50-52
       TOKENS:	P27W12-P27W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P27W10
      OFFSETS:	53-56
       TOKENS:	P27W13-P27W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	ADV
          VOC:	kidah
        GLOSS:	that/like that

 INPUT STRING:	خلاص
     IS_TRANS:	xlAS
        INDEX:	P28W1
      OFFSETS:	1-5
       TOKENS:	P28W1-P28W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalAS_1]
   UNSPLITVOC:	(xalAS)
          POS:	NOUN
          VOC:	xalAS
        GLOSS:	deliverance/salvation/settlement/enough

 INPUT STRING:	الواحد
     IS_TRANS:	AlwAHd
        INDEX:	P28W2
      OFFSETS:	6-12
       TOKENS:	P28W2-P28W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(AlwAHid)
          POS:	DET+NOUN
          VOC:	Al+wAHid
        GLOSS:	the+one

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P28W3
      OFFSETS:	13-16
       TOKENS:	P28W3-P28W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	become/remain

 INPUT STRING:	دايما
     IS_TRANS:	dAymA
        INDEX:	P28W4
      OFFSETS:	17-22
       TOKENS:	P28W4-P28W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAyomAF_1]
   UNSPLITVOC:	(dAyomAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	dAyom+AF
        GLOSS:	always+[acc.indef.]

 INPUT STRING:	متوقع
     IS_TRANS:	mtwqE
        INDEX:	P28W5
      OFFSETS:	23-28
       TOKENS:	P28W5-P28W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mutawaq~iE_1]
   UNSPLITVOC:	(mutawaq~iE)
          POS:	ADJ
          VOC:	mutawaq~iE
        GLOSS:	expecting/anticipating

 INPUT STRING:	الاسوأ
     IS_TRANS:	AlAsw>
        INDEX:	P28W6
      OFFSETS:	29-35
       TOKENS:	P28W6-P28W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asowa>_1]
   UNSPLITVOC:	(Al>asowa>)
          POS:	DET+ADJ_COMP
          VOC:	Al+>asowa>
        GLOSS:	the+worse/worst

 INPUT STRING:	والاكيد
     IS_TRANS:	wAlAkyd
        INDEX:	P28W7
      OFFSETS:	36-43
       TOKENS:	P28W7-P28W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aakiyd_1]
   UNSPLITVOC:	(wiAlAkiyd)
          POS:	CONJ+DET+ADJ
          VOC:	wi+Al+Akiyd
        GLOSS:	and+the+certain/definite

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P28W8
      OFFSETS:	44-46
       TOKENS:	P28W9-P28W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	الاسوأ
     IS_TRANS:	AlAsw>
        INDEX:	P28W9
      OFFSETS:	47-53
       TOKENS:	P28W10-P28W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asowa>_1]
   UNSPLITVOC:	(Al>asowa>)
          POS:	DET+ADJ_COMP
          VOC:	Al+>asowa>
        GLOSS:	the+worse/worst

 INPUT STRING:	جاي
     IS_TRANS:	jAy
        INDEX:	P28W10
      OFFSETS:	54-57
       TOKENS:	P28W11-P28W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAy~_1]
   UNSPLITVOC:	(jAy~)
          POS:	ADJ
          VOC:	jAy~
        GLOSS:	coming

 INPUT STRING:	قريب
     IS_TRANS:	qryb
        INDEX:	P28W11
      OFFSETS:	58-62
       TOKENS:	P28W12-P28W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quray~ib_1]
   UNSPLITVOC:	(quray~ib)
          POS:	ADJ
          VOC:	quray~ib
        GLOSS:	close/near/soon

 INPUT STRING:	ماهو
     IS_TRANS:	mAhw
        INDEX:	P29W1
      OFFSETS:	1-5
       TOKENS:	P29W1-P29W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mAhw)
          POS:	NO_FUNC
          VOC:	mAhw
        GLOSS:	nogloss

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P29W2
      OFFSETS:	6-9
       TOKENS:	P29W2-P29W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	قبله
     IS_TRANS:	qblh
        INDEX:	P29W3
      OFFSETS:	10-14
       TOKENS:	P29W3-P29W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qabol_1]
   UNSPLITVOC:	(qaboluh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	qabol+uh
        GLOSS:	before/previously/formerly+his/its

 INPUT STRING:	هزي
     IS_TRANS:	hzy
        INDEX:	P29W4
      OFFSETS:	15-18
       TOKENS:	P29W5-P29W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[haz~_1]
   UNSPLITVOC:	(hiz~iy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	hiz~+iy
        GLOSS:	shake+you

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P29W5
      OFFSETS:	19-21
       TOKENS:	P29W6-P29W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	نواعم
     IS_TRANS:	nwAEm
        INDEX:	P29W6
      OFFSETS:	22-27
       TOKENS:	P29W7-P29W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nawAEim_1]
   UNSPLITVOC:	(nawAEim)
          POS:	NOUN_PROP
          VOC:	nawAEim
        GLOSS:	Nawaim

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P29W7
      OFFSETS:	28-32
       TOKENS:	P29W8-P29W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	عاملينه
     IS_TRANS:	EAmlynh
        INDEX:	P29W8
      OFFSETS:	33-40
       TOKENS:	P29W9-P29W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAmil_1]
   UNSPLITVOC:	(EAmoliynuh)
          POS:	ADJ.VN+NSUFF_MASC_PL+PRON_3MS
          VOC:	EAmol+iyn+uh
        GLOSS:	active/operating/working+[pl.]+him

 INPUT STRING:	مسابقه
     IS_TRANS:	msAbqh
        INDEX:	P29W9
      OFFSETS:	41-47
       TOKENS:	P29W11-P29W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[musAbqap_1]
   UNSPLITVOC:	(musAbqap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	musAbq+ap
        GLOSS:	race/competition+[fem.sg.]

 INPUT STRING:	للرقص
     IS_TRANS:	llrqS
        INDEX:	P29W10
      OFFSETS:	48-53
       TOKENS:	P29W12-P29W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raqoS_1]
   UNSPLITVOC:	(lilr~aqoS)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+raqoS
        GLOSS:	for/to+the+dancing/dance

 INPUT STRING:	الشرقي
     IS_TRANS:	Al$rqy
        INDEX:	P29W11
      OFFSETS:	54-60
       TOKENS:	P29W14-P29W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aroqiy_1]
   UNSPLITVOC:	(Al$~aroqiy)
          POS:	DET+ADJ
          VOC:	Al+$aroqiy
        GLOSS:	the+Eastern/Oriental

 INPUT STRING:	ومحدش
     IS_TRANS:	wmHd$
        INDEX:	P29W12
      OFFSETS:	61-66
       TOKENS:	P29W15-P29W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(wimA_Had~i$)
          POS:	CONJ+NEG_PART+NOUN+NEG_PART
          VOC:	wi+mA+Had~+$
        GLOSS:	and+not+extent/limit/level/border/frontier/limits/one/person+not

 INPUT STRING:	نطق
     IS_TRANS:	nTq
        INDEX:	P29W13
      OFFSETS:	67-70
       TOKENS:	P29W19-P29W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naTaq_1]
   UNSPLITVOC:	(naTaq)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	naTaq+(null)
        GLOSS:	speak/utter/pronounce/be spoken/be uttered/be pronounced+he/it

 INPUT STRING:	بحرف
     IS_TRANS:	bHrf
        INDEX:	P29W14
      OFFSETS:	71-75
       TOKENS:	P29W20-P29W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Harof_1]
   UNSPLITVOC:	(biHarof)
          POS:	PREP+NOUN
          VOC:	bi+Harof
        GLOSS:	with/by+letter/letters

 INPUT STRING:	اشمعنى
     IS_TRANS:	A$mEnY
        INDEX:	P30W1
      OFFSETS:	1-7
       TOKENS:	P30W1-P30W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(A$mEnY)
          POS:	NO_FUNC
          VOC:	A$mEnY
        GLOSS:	nogloss

 INPUT STRING:	عادل
     IS_TRANS:	EAdl
        INDEX:	P30W2
      OFFSETS:	8-12
       TOKENS:	P30W2-P30W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAdil_1]
   UNSPLITVOC:	(EAdil)
          POS:	NOUN_PROP
          VOC:	EAdil
        GLOSS:	Adel/Adil

 INPUT STRING:	امام
     IS_TRANS:	AmAm
        INDEX:	P30W3
      OFFSETS:	13-17
       TOKENS:	P30W3-P30W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[imAm_1]
   UNSPLITVOC:	(AimAm)
          POS:	NOUN_PROP
          VOC:	AimAm
        GLOSS:	Imam

 INPUT STRING:	مايعملش
     IS_TRANS:	mAyEml$
        INDEX:	P30W4
      OFFSETS:	18-25
       TOKENS:	P30W4-P30W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(mA_yiEomil$)
          POS:	NEG_PART+IV3MS+IV+NEG_PART
          VOC:	mA+yi+Eomil+$
        GLOSS:	not+he/it+do/make+not

 INPUT STRING:	حاجه
     IS_TRANS:	HAjh
        INDEX:	P30W5
      OFFSETS:	26-30
       TOKENS:	P30W7-P30W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	هوا
     IS_TRANS:	hwA
        INDEX:	P30W6
      OFFSETS:	31-34
       TOKENS:	P30W8-P30W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P30W7
      OFFSETS:	35-39
       TOKENS:	P30W9-P30W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	also

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P30W8
      OFFSETS:	39-40
       TOKENS:	P30W10-P30W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	رؤيتي
     IS_TRANS:	r&yty
        INDEX:	P31W1
      OFFSETS:	1-6
       TOKENS:	P31W1-P31W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ru&oyap_1]
   UNSPLITVOC:	(ru&oyatiy)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	ru&oy+ap+iy
        GLOSS:	vision/sight/view/viewing+[fem.sg.]+my

 INPUT STRING:	اروح
     IS_TRANS:	ArwH
        INDEX:	P31W2
      OFFSETS:	7-11
       TOKENS:	P31W3-P31W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(AaruwH)
          POS:	IV1S+IV
          VOC:	Aa+ruwH
        GLOSS:	I+go

 INPUT STRING:	فين
     IS_TRANS:	fyn
        INDEX:	P31W3
      OFFSETS:	12-15
       TOKENS:	P31W4-P31W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fayon_1]
   UNSPLITVOC:	(fayon)
          POS:	INTERROG_ADV
          VOC:	fayon
        GLOSS:	where

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P31W4
      OFFSETS:	16-17
       TOKENS:	P31W5-P31W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P31W5
      OFFSETS:	17-18
       TOKENS:	P31W6-P31W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	دانا
     IS_TRANS:	dAnA
        INDEX:	P32W1
      OFFSETS:	1-5
       TOKENS:	P32W1-P32W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(dAnA)
          POS:	NO_FUNC
          VOC:	dAnA
        GLOSS:	nogloss

 INPUT STRING:	نفسي
     IS_TRANS:	nfsy
        INDEX:	P32W2
      OFFSETS:	6-10
       TOKENS:	P32W2-P32W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nifos_1]
   UNSPLITVOC:	(nifosiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	nifos+iy
        GLOSS:	appetite+my

 INPUT STRING:	اتسدت
     IS_TRANS:	Atsdt
        INDEX:	P32W3
      OFFSETS:	11-16
       TOKENS:	P32W4-P32W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitosad~_1]
   UNSPLITVOC:	(Aitosad~it)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	Aitosad~+it
        GLOSS:	be obstructed+it/they/she

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P32W4
      OFFSETS:	17-19
       TOKENS:	P32W5-P32W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P32W5
      OFFSETS:	20-22
       TOKENS:	P32W6-P32W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that/if/unless/whether/as long as/as soon as

 INPUT STRING:	اروح
     IS_TRANS:	ArwH
        INDEX:	P32W6
      OFFSETS:	23-27
       TOKENS:	P32W7-P32W7
