 INPUT STRING:	ثقافه
       TOKENS:	P30W19-P30W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[giyr_1]
   UNSPLITVOC:	(giyr)
          POS:	NOUN
          VOC:	giyr
        GLOSS:	not/other

 INPUT STRING:	منسجمة
     IS_TRANS:	mnsjmp
        INDEX:	P30W16
      OFFSETS:	88-94
       TOKENS:	P30W20-P30W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[munosajim_1]
   UNSPLITVOC:	(munosajimap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	munosajim+ap
        GLOSS:	harmonious+[fem.sg.]

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P30W17
      OFFSETS:	95-97
       TOKENS:	P30W21-P30W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	بعضها
     IS_TRANS:	bEDhA
        INDEX:	P30W18
      OFFSETS:	98-103
       TOKENS:	P30W22-P30W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(baEoDahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	baEoD+hA
        GLOSS:	some, a few, little, part+its/their/her

 INPUT STRING:	وده
     IS_TRANS:	wdh
        INDEX:	P31W1
      OFFSETS:	0-3
       TOKENS:	P31W1-P31W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(widah)
          POS:	CONJ+DEM_PRON_MS
          VOC:	wi+dah
        GLOSS:	and+this

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P31W2
      OFFSETS:	4-8
       TOKENS:	P31W3-P31W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	بيخلى
     IS_TRANS:	byxlY
        INDEX:	P31W3
      OFFSETS:	9-14
       TOKENS:	P31W4-P31W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(biyixal~iy)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+xal~iy
        GLOSS:	[present-tense]+he/it+release/evacuate/allow/be released/be evacuated/be allowed

 INPUT STRING:	الجيل
     IS_TRANS:	Aljyl
        INDEX:	P31W4
      OFFSETS:	15-20
       TOKENS:	P31W6-P31W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jiyl_1]
   UNSPLITVOC:	(Aljiyl)
          POS:	DET+NOUN
          VOC:	Al+jiyl
        GLOSS:	the+generation/epoch/generations/epochs

 INPUT STRING:	الحالى
     IS_TRANS:	AlHAlY
        INDEX:	P31W5
      OFFSETS:	21-27
       TOKENS:	P31W7-P31W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAliy_1]
   UNSPLITVOC:	(AlHAliy)
          POS:	DET+ADJ
          VOC:	Al+HAliy
        GLOSS:	the+present/current

 INPUT STRING:	موجه
     IS_TRANS:	mwjh
        INDEX:	P31W6
      OFFSETS:	28-32
       TOKENS:	P31W8-P31W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawjap_1]
   UNSPLITVOC:	(mawjap)
          POS:	NOUN.VN+NSUFF_FEM_SG
          VOC:	mawj+ap
        GLOSS:	wave/waves+[fem.sg.]

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P31W7
      OFFSETS:	33-35
       TOKENS:	P31W9-P31W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	for/to+him

 INPUT STRING:	اتهامات
     IS_TRANS:	AthAmAt
        INDEX:	P31W8
      OFFSETS:	36-43
       TOKENS:	P31W11-P31W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ait~ihAm_1]
   UNSPLITVOC:	(Ait~ihAmAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	Ait~ihAm+At
        GLOSS:	accusations/charges+[fem.pl.]

 INPUT STRING:	كبيرة
     IS_TRANS:	kbyrp
        INDEX:	P31W9
      OFFSETS:	44-49
       TOKENS:	P31W12-P31W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kibiyr_1]
   UNSPLITVOC:	(kibiyrap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	kibiyr+ap
        GLOSS:	large/big/old+[fem.sg.]

 INPUT STRING:	لأن
     IS_TRANS:	l>n
        INDEX:	P31W10
      OFFSETS:	50-53
       TOKENS:	P31W13-P31W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(li<in~)
          POS:	PREP+SUB_CONJ
          VOC:	li+<in~
        GLOSS:	for/in order+to

 INPUT STRING:	معنى
     IS_TRANS:	mEnY
        INDEX:	P31W11
      OFFSETS:	54-58
       TOKENS:	P31W15-P31W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEonaY_1]
   UNSPLITVOC:	(maEonaY)
          POS:	NOUN
          VOC:	maEonaY
        GLOSS:	meaning/sense

 INPUT STRING:	كلمة
     IS_TRANS:	klmp
        INDEX:	P31W12
      OFFSETS:	59-63
       TOKENS:	P31W16-P31W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kilomap_1]
   UNSPLITVOC:	(kilomap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	kilom+ap
        GLOSS:	word+[fem.sg.]

 INPUT STRING:	الثقافة
     IS_TRANS:	AlvqAfp
        INDEX:	P31W13
      OFFSETS:	64-71
       TOKENS:	P31W17-P31W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vaqAfap_1]
   UNSPLITVOC:	(Alv~aqAfap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vaqAf+ap
        GLOSS:	the+culture/civilization+[fem.sg.]

 INPUT STRING:	انها
     IS_TRANS:	AnhA
        INDEX:	P31W14
      OFFSETS:	72-76
       TOKENS:	P31W18-P31W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ahA)
          POS:	SUB_CONJ+PRON_3FS
          VOC:	<in~+hA
        GLOSS:	that+she/it

 INPUT STRING:	سلوك
     IS_TRANS:	slwk
        INDEX:	P31W15
      OFFSETS:	77-81
       TOKENS:	P31W20-P31W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suluwk_1]
   UNSPLITVOC:	(suluwk)
          POS:	NOUN
          VOC:	suluwk
        GLOSS:	behavior/conduct

 INPUT STRING:	مكتسب
     IS_TRANS:	mktsb
        INDEX:	P31W16
      OFFSETS:	82-87
       TOKENS:	P31W21-P31W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mukotasab_1]
   UNSPLITVOC:	(mukotasab)
          POS:	ADJ
          VOC:	mukotasab
        GLOSS:	acquired/gained

 INPUT STRING:	والسلوك
     IS_TRANS:	wAlslwk
        INDEX:	P31W17
      OFFSETS:	88-95
       TOKENS:	P31W22-P31W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suluwk_1]
   UNSPLITVOC:	(wiAlsuluwk)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+suluwk
        GLOSS:	and+the+behavior/conduct

 INPUT STRING:	المكتسب
     IS_TRANS:	Almktsb
        INDEX:	P31W18
      OFFSETS:	96-103
       TOKENS:	P31W24-P31W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mukotasab_1]
   UNSPLITVOC:	(Almukotasab)
          POS:	DET+ADJ
          VOC:	Al+mukotasab
        GLOSS:	the+acquired/gained

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P31W19
      OFFSETS:	104-106
       TOKENS:	P31W25-P31W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	ظل
     IS_TRANS:	Zl
        INDEX:	P31W20
      OFFSETS:	107-109
       TOKENS:	P31W26-P31W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zil~_1]
   UNSPLITVOC:	(Zil~)
          POS:	NOUN
          VOC:	Zil~
        GLOSS:	patronage/shelter/shade/auspices/shelter

 INPUT STRING:	التقدم
     IS_TRANS:	Altqdm
        INDEX:	P31W21
      OFFSETS:	110-116
       TOKENS:	P31W27-P31W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taqad~um_1]
   UNSPLITVOC:	(Alt~aqad~um)
          POS:	DET+NOUN
          VOC:	Al+taqad~um
        GLOSS:	the+progress/advancement/coming forward

 INPUT STRING:	العلمى
     IS_TRANS:	AlElmY
        INDEX:	P31W22
      OFFSETS:	117-123
       TOKENS:	P31W28-P31W28
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eilomiy~_1]
   UNSPLITVOC:	(AlEilomiy~)
          POS:	DET+ADJ
          VOC:	Al+Eilomiy~
        GLOSS:	the+scientific/scholarly/academic

 INPUT STRING:	وطفرة
     IS_TRANS:	wTfrp
        INDEX:	P31W23
      OFFSETS:	124-129
       TOKENS:	P31W29-P31W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Taforap_1]
   UNSPLITVOC:	(wiTaforap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+Tafor+ap
        GLOSS:	and+leap/jump/leaps/jumps+[fem.sg.]

 INPUT STRING:	عالم
     IS_TRANS:	EAlm
        INDEX:	P31W24
      OFFSETS:	130-134
       TOKENS:	P31W31-P31W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAlim_1]
   UNSPLITVOC:	(EAlim)
          POS:	NOUN
          VOC:	EAlim
        GLOSS:	scientist/scholar/scholars/scientists

 INPUT STRING:	الاتصالات
     IS_TRANS:	AlAtSAlAt
        INDEX:	P31W25
      OFFSETS:	135-144
       TOKENS:	P31W32-P31W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ait~iSAl_1]
   UNSPLITVOC:	(AlAit~iSAlAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+Ait~iSAl+At
        GLOSS:	the+contact/communication+[fem.pl.]

 INPUT STRING:	خلت
     IS_TRANS:	xlt
        INDEX:	P31W26
      OFFSETS:	145-148
       TOKENS:	P31W33-P31W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(xal~it)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	xal~+it
        GLOSS:	release/evacuate/allow/be released/be evacuated/be allowed+it/they/she

 INPUT STRING:	الشباب
     IS_TRANS:	Al$bAb
        INDEX:	P31W27
      OFFSETS:	149-155
       TOKENS:	P31W34-P31W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Ab~_1]
   UNSPLITVOC:	(Al$~abAb)
          POS:	DET+NOUN
          VOC:	Al+$abAb
        GLOSS:	the+young man/young men

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P31W28
      OFFSETS:	156-158
       TOKENS:	P31W35-P31W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	تصرفاته
     IS_TRANS:	tSrfAth
        INDEX:	P31W29
      OFFSETS:	159-166
       TOKENS:	P31W36-P31W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taSar~uf_1]
   UNSPLITVOC:	(taSar~ufAtuh)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_3MS
          VOC:	taSar~uf+At+uh
        GLOSS:	behavior/conduct/disposal+[fem.pl.]+his/its

 INPUT STRING:	سطحى
     IS_TRANS:	sTHY
        INDEX:	P31W30
      OFFSETS:	167-171
       TOKENS:	P31W38-P31W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saToHiy_1]
   UNSPLITVOC:	(saToHiy)
          POS:	ADJ
          VOC:	saToHiy
        GLOSS:	superficial/outward/surface

 INPUT STRING:	سريع
     IS_TRANS:	sryE
        INDEX:	P31W31
      OFFSETS:	172-176
       TOKENS:	P31W39-P31W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sariyE_1]
   UNSPLITVOC:	(sariyE)
          POS:	ADJ
          VOC:	sariyE
        GLOSS:	quick/prompt/express/quickly/promptly

 INPUT STRING:	غالبا
     IS_TRANS:	gAlbA
        INDEX:	P31W32
      OFFSETS:	177-182
       TOKENS:	P31W40-P31W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gAlib_1]
   UNSPLITVOC:	(gAlibAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	gAlib+AF
        GLOSS:	majority/predominant/generally/commonly/typically+[acc.indef.]

 INPUT STRING:	متهور
     IS_TRANS:	mthwr
        INDEX:	P31W33
      OFFSETS:	183-188
       TOKENS:	P31W41-P31W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mutahaw~ir_1]
   UNSPLITVOC:	(mutahaw~ir)
          POS:	ADJ
          VOC:	mutahaw~ir
        GLOSS:	reckless/foolhardy/rash

 INPUT STRING:	وحركته
     IS_TRANS:	wHrkth
        INDEX:	P31W34
      OFFSETS:	189-195
       TOKENS:	P31W42-P31W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Harakap_1]
   UNSPLITVOC:	(wiHarakituh)
          POS:	CONJ+NOUN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	wi+Harak+ap+uh
        GLOSS:	and+movement/activity/organization+[fem.sg.]+his/its

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P31W35
      OFFSETS:	196-198
       TOKENS:	P31W45-P31W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	متوافقه
     IS_TRANS:	mtwAfqh
        INDEX:	P31W36
      OFFSETS:	199-206
       TOKENS:	P31W46-P31W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mutawAfoq_1]
   UNSPLITVOC:	(mutawAfoqap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mutawAfoq+ap
        GLOSS:	mutually agreeing/mutually  consenting/corresponding to each other+[fem.sg.]

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P31W37
      OFFSETS:	207-209
       TOKENS:	P31W47-P31W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P31W38
      OFFSETS:	210-212
       TOKENS:	P31W48-P31W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	هم
     IS_TRANS:	hm
        INDEX:	P31W39
      OFFSETS:	213-215
       TOKENS:	P31W49-P31W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they

 INPUT STRING:	قبله
     IS_TRANS:	qblh
        INDEX:	P31W40
      OFFSETS:	216-220
       TOKENS:	P31W50-P31W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qabol_1]
   UNSPLITVOC:	(qaboluh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	qabol+uh
        GLOSS:	before/previously/formerly+his/its

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P31W41
      OFFSETS:	221-223
       TOKENS:	P31W52-P31W52
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الاجيال
     IS_TRANS:	AlAjyAl
        INDEX:	P31W42
      OFFSETS:	224-231
       TOKENS:	P31W53-P31W53
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jiyl_1]
   UNSPLITVOC:	(Al>ajoyAl)
          POS:	DET+NOUN
          VOC:	Al+>ajoyAl
        GLOSS:	the+generations/epochs

 INPUT STRING:	واختلفت
     IS_TRANS:	wAxtlft
        INDEX:	P32W1
      OFFSETS:	0-7
       TOKENS:	P32W1-P32W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aixotalof_1]
   UNSPLITVOC:	(wiAixotalofit)
          POS:	CONJ+PV+PVSUFF_SUBJ:3FS
          VOC:	wi+Aixotalof+it
        GLOSS:	and+differ/be different/disagree+it/they/she [verb]

 INPUT STRING:	الحياة
     IS_TRANS:	AlHyAp
        INDEX:	P32W2
      OFFSETS:	8-14
       TOKENS:	P32W3-P32W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HayAp_1]
   UNSPLITVOC:	(AlHayAp)
          POS:	DET+NOUN
          VOC:	Al+HayAp
        GLOSS:	the+life/lives

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P32W3
      OFFSETS:	15-17
       TOKENS:	P32W4-P32W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	شكلها
     IS_TRANS:	$klhA
        INDEX:	P32W4
      OFFSETS:	18-23
       TOKENS:	P32W5-P32W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$akol_1]
   UNSPLITVOC:	($akolahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	$akol+hA
        GLOSS:	manner/form/configuration/manners / types/forms/configurations+its/their/her

 INPUT STRING:	العام
     IS_TRANS:	AlEAm
        INDEX:	P32W5
      OFFSETS:	24-29
       TOKENS:	P32W7-P32W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAm_1]
   UNSPLITVOC:	(AlEAm)
          POS:	DET+ADJ
          VOC:	Al+EAm
        GLOSS:	the+general/common/public

 INPUT STRING:	واصبحت
     IS_TRANS:	wASbHt
        INDEX:	P32W6
      OFFSETS:	30-36
       TOKENS:	P32W8-P32W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSobaH_1]
   UNSPLITVOC:	(wi>aSobaHit)
          POS:	CONJ+PV+PVSUFF_SUBJ:3FS
          VOC:	wi+>aSobaH+it
        GLOSS:	and+become/begin/start+it/they/she [verb]

 INPUT STRING:	المتع
     IS_TRANS:	AlmtE
        INDEX:	P32W7
      OFFSETS:	37-42
       TOKENS:	P32W10-P32W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mutoEap_1]
   UNSPLITVOC:	(AlmutaE)
          POS:	DET+NOUN
          VOC:	Al+mutaE
        GLOSS:	the+pleasure/enjoyment

 INPUT STRING:	اللحظية
     IS_TRANS:	AllHZyp
        INDEX:	P32W8
      OFFSETS:	43-50
       TOKENS:	P32W11-P32W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AllaHZiy_1]
   UNSPLITVOC:	(Al~aHZiy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+laHZiy~+ap
        GLOSS:	the+momentary+[fem.sg.]

 INPUT STRING:	هى
     IS_TRANS:	hY
        INDEX:	P32W9
      OFFSETS:	51-53
       TOKENS:	P32W12-P32W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	she/it

 INPUT STRING:	المسيطرة
     IS_TRANS:	AlmsyTrp
        INDEX:	P32W10
      OFFSETS:	54-62
       TOKENS:	P32W13-P32W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[musayoTir_1]
   UNSPLITVOC:	(AlmusayoTirap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+musayoTir+ap
        GLOSS:	the+ruling/controlling+[fem.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P32W11
      OFFSETS:	63-66
       TOKENS:	P32W14-P32W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	مزاجات
     IS_TRANS:	mzAjAt
        INDEX:	P32W12
      OFFSETS:	67-73
       TOKENS:	P32W15-P32W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mzAj_1]
   UNSPLITVOC:	(mazAjAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	mzAj+At
        GLOSS:	mood/taste+[fem.pl.]

 INPUT STRING:	الشباب
     IS_TRANS:	Al$bAb
        INDEX:	P32W13
      OFFSETS:	74-80
       TOKENS:	P32W16-P32W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Ab~_1]
   UNSPLITVOC:	(Al$~abAb)
          POS:	DET+NOUN
          VOC:	Al+$abAb
        GLOSS:	the+young man/young men

 INPUT STRING:	لأنها
     IS_TRANS:	l>nhA
        INDEX:	P32W14
      OFFSETS:	81-86
       TOKENS:	P32W17-P32W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>an~_1]
   UNSPLITVOC:	(li>an~ahA)
          POS:	PREP+SUB_CONJ+PRON_3FS
          VOC:	li+>an~+hA
        GLOSS:	for+that+it/they/she

 INPUT STRING:	تتفق
     IS_TRANS:	ttfq
        INDEX:	P32W15
      OFFSETS:	87-91
       TOKENS:	P32W20-P32W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ait~afaq_1]
   UNSPLITVOC:	(tit~ifiq)
          POS:	IV3FS+IV
          VOC:	ti+t~ifiq
        GLOSS:	it/they/she+agree

 INPUT STRING:	ورتم
     IS_TRANS:	wrtm
        INDEX:	P32W16
      OFFSETS:	92-96
       TOKENS:	P32W21-P32W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ritom_1]
   UNSPLITVOC:	(waritom)
          POS:	CONJ+NOUN
          VOC:	wa+ritom
        GLOSS:	and+melody

 INPUT STRING:	الحياة
     IS_TRANS:	AlHyAp
        INDEX:	P32W17
      OFFSETS:	97-103
       TOKENS:	P32W23-P32W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HayAp_1]
   UNSPLITVOC:	(AlHayAp)
          POS:	DET+NOUN
          VOC:	Al+HayAp
        GLOSS:	the+life/lives

 INPUT STRING:	وبعد
     IS_TRANS:	wbEd
        INDEX:	P33W1
      OFFSETS:	0-4
